actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
32,PT09M21.00S,2022-02-01T00:44:44.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,0,2022-02-01T00:44:47Z,320000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,
33,PT09M15.00S,2022-02-01T00:44:53.0Z,1,REGULAR,foul,personal,[],1628389,,,1610612738,5,0,2022-02-01T00:45:02Z,330000,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1627759]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,201245.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
35,PT09M07.00S,2022-02-01T00:45:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,81.2910643889619,34.80392156862745,1610612738,7,0,2022-02-01T00:45:24Z,350000,-76.0,123.0,1,right,J. Tatum 14' pullup Jump Shot (5 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,Made,,,,,14.49,,,,,,5.0,,,
36,PT08M51.00S,2022-02-01T00:45:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,5.995400788436268,55.392156862745104,1610612748,7,2,2022-02-01T00:45:51Z,360000,-27.0,4.0,1,left,C. Martin reverse Layup (2 PTS) (B. Adebayo 1 AST),"[1628997, 1628389]",1610612748.0,MIA,reverse,,,Martin,C. Martin,,,,,,,,,,Made,,,,,2.73,,,,,,2.0,B. Adebayo,1628389.0,1.0
38,PT08M36.00S,2022-02-01T00:45:50.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,77.61169513797634,49.26470588235294,1610612738,9,2,2022-02-01T00:45:56Z,380000,-4.0,158.0,1,right,J. Brown 15' fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,,,,,,Made,,,,,15.8,,,,,,2.0,,,
39,PT08M22.00S,2022-02-01T00:46:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,8.754927726675426,44.11764705882353,1610612748,9,2,2022-02-01T00:46:13Z,390000,29.0,30.0,1,left,MISS B. Adebayo cutting Layup,[1628389],1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,,,,,,Missed,,,,,4.19,,,,,,,,,
40,PT08M19.00S,2022-02-01T00:46:07.8Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,9,2,2022-02-01T00:46:13Z,400000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,39.0,3.0,2.0,1.0,,,,,,,,,,
41,PT08M07.00S,2022-02-01T00:46:19.6Z,1,REGULAR,3pt,Jump Shot,[],203935,94.1688567674113,94.85294117647058,1610612738,12,2,2022-02-01T00:46:33Z,410000,224.0,2.0,1,right,M. Smart 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Made,,,,,22.43,,,,,,3.0,J. Tatum,1628369.0,1.0
43,PT07M48.00S,2022-02-01T00:46:38.4Z,1,REGULAR,3pt,Jump Shot,[],1629622,12.828515111695138,3.1862745098039214,1610612748,12,5,2022-02-01T00:46:45Z,430000,234.0,68.0,1,left,M. Strus 24' 3PT  (3 PTS) (C. Martin 1 AST),"[1629622, 1628997]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,Made,,,,,24.38,,,,,,3.0,C. Martin,1628997.0,1.0
45,PT07M36.00S,2022-02-01T00:46:53.2Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612738,12,5,2022-02-01T00:47:02Z,450000,,,0,,D. Robinson shooting personal FOUL (2 PF) (Horford 2 FT),"[1629130, 201143]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,2882.0,2.0,0.0,Horford,201143.0,,,,,,,,,,,,,,,
47,PT07M36.00S,2022-02-01T00:47:24.5Z,1,REGULAR,freethrow,1 of 2,[],201143,,,1610612738,12,5,2022-02-01T00:47:24Z,470000,,,0,,MISS A. Horford Free Throw 1 of 2,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,Missed,,,,,,,,,,,,,,
48,PT07M36.00S,2022-02-01T00:47:24.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,12,5,2022-02-01T00:47:24Z,480000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,
49,PT07M36.00S,2022-02-01T00:47:26.1Z,1,REGULAR,substitution,out,[],1629130,,,1610612738,12,5,2022-02-01T00:47:31Z,490000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M36.00S,2022-02-01T00:47:26.1Z,1,REGULAR,substitution,in,[],1629639,,,1610612738,12,5,2022-02-01T00:47:31Z,500000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M36.00S,2022-02-01T00:47:50.9Z,1,REGULAR,freethrow,2 of 2,[],201143,,,1610612738,13,5,2022-02-01T00:47:50Z,510000,,,0,,A. Horford Free Throw 2 of 2 (1 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,Made,,,,,,,,,,,1.0,,,
52,PT07M26.00S,2022-02-01T00:48:01.2Z,1,REGULAR,2pt,Jump Shot,[],1629216,22.28975032851511,37.254901960784316,1610612748,13,7,2022-02-01T00:48:06Z,520000,64.0,157.0,1,left,G. Vincent 16' pullup Jump Shot (2 PTS),[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,,,,,,Made,,,,,16.94,,,,,,2.0,,,
53,PT07M13.00S,2022-02-01T00:48:13.6Z,1,REGULAR,3pt,Jump Shot,[],201143,85.49605781865965,2.450980392156863,1610612738,16,7,2022-02-01T00:48:18Z,530000,-238.0,84.0,1,right,A. Horford 25' 3PT  (4 PTS) (M. Smart 2 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,Made,,,,,25.2,,,,,,4.0,M. Smart,203935.0,2.0
55,PT07M02.00S,2022-02-01T00:48:25.7Z,1,REGULAR,2pt,Jump Shot,[],1629216,25.04927726675427,58.08823529411765,1610612748,16,7,2022-02-01T00:48:49Z,550000,-40.0,183.0,1,left,MISS G. Vincent 18' pullup Shot,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,,,,,,Missed,,,,,18.74,,,,,,,,,
56,PT06M59.00S,2022-02-01T00:48:28.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,16,7,2022-02-01T00:48:49Z,560000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,
57,PT06M59.00S,2022-02-01T00:48:39.8Z,1,REGULAR,foul,personal,[],201143,,,1610612748,16,7,2022-02-01T00:48:46Z,570000,,,0,,A. Horford loose ball personal FOUL (1 PF),"[201143, 1628389]",1610612738.0,BOS,loose ball,,,Horford,A. Horford,,,,,2882.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
59,PT06M59.00S,2022-02-01T00:48:50.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,16,7,2022-02-01T00:48:50Z,590000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M52.00S,2022-02-01T00:51:55.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629639,15.111695137976348,41.85049019607843,1610612748,16,7,2022-02-01T00:52:06Z,600000,41.0,90.0,1,left,MISS T. Herro 9' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,,,,,,Missed,,,,,9.83,,,,,,,,,
63,PT06M49.00S,2022-02-01T00:51:58.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,16,7,2022-02-01T00:52:06Z,610000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,
64,PT06M39.00S,2022-02-01T00:52:07.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,88.25558475689881,49.50980392156863,1610612738,18,7,2022-02-01T00:52:13Z,620000,-2.0,58.0,1,right,A. Horford turnaround Hook (6 PTS) (M. Smart 3 AST),"[201143, 203935]",1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,,,,,,Made,,,,,5.8,,,,,,6.0,M. Smart,203935.0,3.0
66,PT06M24.00S,2022-02-01T00:52:22.8Z,1,REGULAR,2pt,Layup,[],1628997,4.28712220762155,65.93137254901961,1610612748,18,7,2022-02-01T00:52:31Z,640000,-80.0,-12.0,1,left,MISS C. Martin 8' driving Layup - blocked,"[1628997, 1629057]",1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,,,,,,Missed,,,,,8.06,Williams III,1629057.0,,,,,,,
67,PT06M24.00S,2022-02-01T00:52:22.8Z,1,REGULAR,block,,[],1629057,,,1610612748,18,7,2022-02-01T00:52:26Z,650000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M21.00S,2022-02-01T00:52:25.8Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,18,7,2022-02-01T00:52:31Z,660000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,66.0,1.0,0.0,1.0,,,,,,,,,,
69,PT06M18.00S,2022-02-01T00:52:28.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,28.597240473061763,19.607843137254903,1610612748,18,7,2022-02-01T00:52:35Z,670000,152.0,216.0,1,left,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,Missed,,,,,26.44,,,,,,,,,
70,PT06M16.00S,2022-02-01T00:52:30.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,18,7,2022-02-01T00:52:35Z,680000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,69.0,4.0,3.0,1.0,,,,,,,,,,
71,PT06M10.00S,2022-02-01T00:52:37.3Z,1,REGULAR,3pt,Jump Shot,[],201143,65.78515111695138,49.26470588235294,1610612738,18,7,2022-02-01T00:52:42Z,690000,-4.0,269.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,Missed,,,,,26.91,,,,,,,,,
72,PT06M07.00S,2022-02-01T00:52:40.3Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,18,7,2022-02-01T00:52:42Z,700000,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,
73,PT06M00.00S,2022-02-01T00:52:49.0Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,18,7,2022-02-01T00:53:14Z,710000,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,1.0,,,,,,
74,PT06M00.00S,2022-02-01T00:52:58.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,18,7,2022-02-01T00:53:03Z,720000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M00.00S,2022-02-01T00:52:58.4Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,18,7,2022-02-01T00:53:03Z,730000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M38.00S,2022-02-01T00:53:31.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626196,63.55124835742444,48.28431372549019,1610612738,18,7,2022-02-01T00:53:41Z,740000,-9.0,290.0,1,right,MISS J. Richardson 29' 3PT,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,Missed,,,,,29.02,,,,,,,,,
77,PT05M36.00S,2022-02-01T00:53:33.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,18,7,2022-02-01T00:53:41Z,750000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,
78,PT05M36.00S,2022-02-01T00:53:36.0Z,1,REGULAR,substitution,out,[],201143,,,1610612748,18,7,2022-02-01T00:53:41Z,760000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M36.00S,2022-02-01T00:53:36.0Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,18,7,2022-02-01T00:53:41Z,770000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M36.00S,2022-02-01T00:53:36.0Z,1,REGULAR,substitution,in,[],1629684,,,1610612748,18,7,2022-02-01T00:53:41Z,780000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M36.00S,2022-02-01T00:53:36.0Z,1,REGULAR,substitution,in,[],203473,,,1610612748,18,7,2022-02-01T00:53:41Z,790000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M29.00S,2022-02-01T00:53:57.5Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,18,7,2022-02-01T00:54:08Z,800000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1629639]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,2882.0,1.0,0.0,Herro,1629639.0,,,,,,,,,,,,,,,
84,PT05M20.00S,2022-02-01T00:54:27.2Z,1,REGULAR,turnover,bad pass,[],1629622,,,1610612748,18,7,2022-02-01T00:54:33Z,820000,,,0,,M. Strus bad pass TURNOVER (1 TO),"[1629622, 1627759]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,1.0,Brown,1627759.0,,,,
85,PT05M20.00S,2022-02-01T00:54:27.2Z,1,REGULAR,steal,,[],1627759,,,1610612738,18,7,2022-02-01T00:54:28Z,830000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M04.00S,2022-02-01T00:54:42.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,72.48685939553219,16.911764705882355,1610612738,21,7,2022-02-01T00:54:50Z,840000,-165.0,206.0,1,right,M. Smart 26' 3PT  (6 PTS) (G. Williams 1 AST),"[203935, 1629684]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Made,,,,,26.43,,,,,,6.0,G. Williams,1629684.0,1.0
88,PT05M02.00S,2022-02-01T00:54:50.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,21,7,2022-02-01T00:54:50Z,860000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M02.00S,2022-02-01T00:57:23.0Z,1,REGULAR,substitution,out,[],1629622,,,1610612748,21,7,2022-02-01T00:57:40Z,870000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M02.00S,2022-02-01T00:57:23.0Z,1,REGULAR,substitution,in,[],1629130,,,1610612748,21,7,2022-02-01T00:57:40Z,880000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M42.00S,2022-02-01T00:58:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,5.995400788436268,49.50980392156863,1610612748,21,9,2022-02-01T00:58:25Z,890000,2.0,4.0,1,left,C. Martin cutting Layup (4 PTS) (G. Vincent 1 AST),"[1628997, 1629216]",1610612748.0,MIA,cutting,,,Martin,C. Martin,,,,,,,,,,Made,,,,,0.46,,,,,,4.0,G. Vincent,1629216.0,1.0
93,PT04M42.00S,2022-02-01T00:58:16.8Z,1,REGULAR,foul,personal,['1freethrow'],203935,,,1610612748,21,9,2022-02-01T00:58:29Z,910000,,,0,,M. Smart shooting personal FOUL (1 PF) (Martin 1 FT),"[203935, 1628997]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,1626302.0,1.0,0.0,Martin,1628997.0,,,,,,,,,,,,,,,
