actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT11M05.00S,2022-02-12T00:43:34.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,2,2022-02-12T00:44:28Z,170000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M45.00S,2022-02-12T00:43:52.1Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,3,2,2022-02-12T00:43:56Z,180000,,,0,,N. Jokic bad pass TURNOVER (2 TO),"[203999, 203935]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,2.0,,,,,,,,,,,,,,,Smart,203935.0,,
19,PT10M45.00S,2022-02-12T00:43:52.1Z,1,REGULAR,steal,,[],203935,,,1610612738,3,2,2022-02-12T00:43:53Z,190000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2022-02-12T00:43:56.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,92.9862023653088,46.81372549019608,1610612738,5,2,2022-02-12T00:44:06Z,200000,-16.0,13.0,1,right,J. Tatum running finger roll Layup (2 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,,,2.08,Made,2.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,
22,PT10M17.00S,2022-02-12T00:44:20.5Z,1,REGULAR,2pt,Jump Shot,[],203999,10.85742444152431,27.696078431372552,1610612743,5,4,2022-02-12T00:44:26Z,220000,112.0,50.0,1,left,N. Jokic 12' fadeaway Jump Shot (2 PTS),[203999],1610612743.0,DEN,fadeaway,,,Jokic,N. Jokic,,,,,,,12.2,Made,2.0,,,,,,,,,,,,,,,
23,PT10M10.00S,2022-02-12T00:44:29.7Z,1,REGULAR,foul,personal,[],203115,,,1610612738,5,4,2022-02-12T00:44:40Z,230000,,,0,,W. Barton personal FOUL (1 PF),"[203115, 1627759]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,2534.0,,,,,,,,1.0,0.0,Brown,1627759.0,,,,,,,,
25,PT10M04.00S,2022-02-12T00:44:54.5Z,1,REGULAR,2pt,Jump Shot,[],1627759,75.9526938239159,57.59420955882353,1610612738,5,4,2022-02-12T00:45:12Z,250000,38.0,174.0,1,right,MISS J. Brown 17' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,,,17.76,Missed,,,,,,,,,,,,,,,,
26,PT09M59.00S,2022-02-12T00:44:59.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,4,2022-02-12T00:45:12Z,260000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,
27,PT09M47.00S,2022-02-12T00:45:11.5Z,1,REGULAR,3pt,Jump Shot,[],201145,1.5275952693823915,95.09803921568627,1610612743,5,7,2022-02-12T00:45:16Z,270000,-225.0,-38.0,1,left,J. Green 3PT  (5 PTS) (N. Jokic 1 AST),"[201145, 203999]",1610612743.0,DEN,,,,Green,J. Green,,,,,,,22.87,Made,5.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,
29,PT09M33.00S,2022-02-12T00:45:24.5Z,1,REGULAR,3pt,Jump Shot,[],203935,85.62746386333771,3.6764705882352944,1610612738,5,7,2022-02-12T00:45:29Z,290000,-232.0,83.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,24.59,Missed,,,,,,,,,,,,,,,,
30,PT09M30.00S,2022-02-12T00:45:27.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,7,2022-02-12T00:45:29Z,300000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,29.0,3.0,3.0,0.0,,,,
31,PT09M23.00S,2022-02-12T00:45:34.6Z,1,REGULAR,3pt,Jump Shot,[],203115,28.07161629434954,17.401960784313726,1610612743,5,10,2022-02-12T00:45:39Z,310000,163.0,211.0,1,left,W. Barton 26' 3PT step back (3 PTS),[203115],1610612743.0,DEN,step back,,,Barton,W. Barton,,,,,,,26.69,Made,3.0,,,,,,,,,,,,,,,
32,PT08M59.00S,2022-02-12T00:45:59.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,75.24638633377135,85.7843137254902,1610612738,5,10,2022-02-12T00:46:06Z,320000,179.0,180.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,25.39,Missed,,,,,,,,,,,,,,,,
33,PT08M57.00S,2022-02-12T00:46:01.4Z,1,REGULAR,rebound,defensive,[],1630538,,,1610612743,5,10,2022-02-12T00:46:06Z,330000,,,0,,B. Hyland REBOUND (Off:0 Def:1),[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,
34,PT08M51.00S,2022-02-12T00:46:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,8.409986859395532,64.19270833333334,1610612743,5,10,2022-02-12T00:46:40Z,340000,-71.0,27.0,1,left,MISS J. Green 7' driving Layup,[201145],1610612743.0,DEN,driving,,,Green,J. Green,,,,,,,7.58,Missed,,,,,,,,,,,,,,,,
35,PT08M47.00S,2022-02-12T00:46:11.4Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,5,10,2022-02-12T00:46:40Z,350000,,,0,,N. Jokic REBOUND (Off:1 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,34.0,4.0,3.0,1.0,,,,
36,PT08M47.00S,2022-02-12T00:46:13.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,5.590000152587891,50.0,1610612743,5,12,2022-02-12T00:46:13Z,360000,0.0,0.0,1,left,N. Jokic putback Layup (4 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,
37,PT08M47.00S,2022-02-12T00:46:16.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,5,12,2022-02-12T00:46:16Z,370000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M31.00S,2022-02-12T00:49:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,91.40932982917214,54.90196078431373,1610612738,5,12,2022-02-12T00:49:42Z,380000,25.0,28.0,1,right,MISS A. Horford driving Layup,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,,,3.74,Missed,,,,,,,,,,,,,,,,
39,PT08M29.00S,2022-02-12T00:49:28.4Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,5,12,2022-02-12T00:49:55Z,390000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,38.0,1.0,0.0,1.0,,,,
46,PT08M27.00S,2022-02-12T00:49:29.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201143,93.9060446780552,52.69607843137255,1610612738,5,12,2022-02-12T00:51:36Z,395000,13.0,5.0,1,right,MISS A. Horford tip Layup,[201143],1610612738.0,BOS,tip,,,Horford,A. Horford,,,,,,,1.43,Missed,,,,,,,,,,,,,,,,
47,PT08M26.00S,2022-02-12T00:49:30.3Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,5,12,2022-02-12T00:50:42Z,397500,,,0,,A. Horford REBOUND (Off:2 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,46.0,2.0,0.0,2.0,,,,
40,PT08M25.00S,2022-02-12T00:49:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201143,94.40999984741211,50.0,1610612738,7,12,2022-02-12T00:50:42Z,400000,0.0,0.0,1,right,A. Horford tip Layup (5 PTS),[201143],1610612738.0,BOS,tip,,,Horford,A. Horford,,,,,,,0.0,Made,5.0,,,,,,,,,,,,,,,
41,PT08M16.00S,2022-02-12T00:49:40.9Z,1,REGULAR,3pt,Jump Shot,[],203999,31.225361366622867,40.68627450980392,1610612743,7,12,2022-02-12T00:49:46Z,410000,47.0,241.0,1,left,MISS N. Jokic 24' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,24.55,Missed,,,,,,,,,,,,,,,,
42,PT08M14.00S,2022-02-12T00:49:42.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,7,12,2022-02-12T00:49:46Z,420000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,
43,PT08M08.00S,2022-02-12T00:49:51.1Z,1,REGULAR,foul,personal,['2freethrow'],1630538,,,1610612738,7,12,2022-02-12T00:49:56Z,430000,,,0,,B. Hyland shooting personal FOUL (1 PF) (Brown 2 FT),"[1630538, 1627759]",1610612743.0,DEN,shooting,,,Hyland,B. Hyland,,,,,1204.0,,,,,,,,1.0,0.0,Brown,1627759.0,,,,,,,,
45,PT08M08.00S,2022-02-12T00:50:17.9Z,1,REGULAR,stoppage,blood rule,[],0,,,1610612738,7,12,2022-02-12T00:50:17Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M08.00S,2022-02-12T00:51:35.0Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,8,12,2022-02-12T00:51:35Z,460000,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
49,PT08M08.00S,2022-02-12T00:51:51.6Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,9,12,2022-02-12T00:51:51Z,470000,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
50,PT07M56.00S,2022-02-12T00:52:06.2Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,9,12,2022-02-12T00:52:12Z,480000,,,0,,N. Jokic bad pass TURNOVER (3 TO),"[203999, 203935]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,3.0,,,,,,,,,,,,,,,Smart,203935.0,,
51,PT07M56.00S,2022-02-12T00:52:06.2Z,1,REGULAR,steal,,[],203935,,,1610612738,9,12,2022-02-12T00:52:08Z,490000,,,0,,M. Smart STEAL (2 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M53.00S,2022-02-12T00:52:10.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,93.77463863337714,51.470588235294116,1610612738,11,12,2022-02-12T00:52:16Z,500000,7.0,6.0,1,right,J. Tatum running finger roll Layup (4 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,,,0.95,Made,4.0,M. Smart,203935.0,2.0,,,,,,,,,,,,
54,PT07M47.00S,2022-02-12T00:52:14.8Z,1,REGULAR,3pt,Jump Shot,[],203932,25.969119579500656,15.441176470588236,1610612743,11,12,2022-02-12T00:52:21Z,520000,173.0,192.0,1,left,MISS A. Gordon 25' pullup 3PT,[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,,,25.8,Missed,,,,,,,,,,,,,,,,
55,PT07M45.00S,2022-02-12T00:52:16.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,12,2022-02-12T00:52:21Z,530000,,,0,,A. Horford REBOUND (Off:2 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,54.0,3.0,1.0,2.0,,,,
56,PT07M39.00S,2022-02-12T00:52:23.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,75.1149802890933,89.2156862745098,1610612738,11,12,2022-02-12T00:52:33Z,540000,196.0,181.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,26.71,Missed,,,,,,,,,,,,,,,,
57,PT07M36.00S,2022-02-12T00:52:26.1Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,11,12,2022-02-12T00:52:33Z,550000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,
58,PT07M30.00S,2022-02-12T00:52:32.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201145,10.988830486202366,2.941176470588235,1610612743,11,12,2022-02-12T00:52:46Z,560000,235.0,51.0,1,left,MISS J. Green 24' 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,24.07,Missed,,,,,,,,,,,,,,,,
59,PT07M28.00S,2022-02-12T00:52:34.3Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,11,12,2022-02-12T00:52:34Z,570000,,,0,,N. Jokic REBOUND (Off:2 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,58.0,5.0,3.0,2.0,,,,
60,PT07M26.00S,2022-02-12T00:52:36.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203932,5.338370565045992,49.754901960784316,1610612743,11,14,2022-02-12T00:52:51Z,580000,1.0,-2.0,1,left,A. Gordon cutting DUNK (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,,,0.26,Made,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,
62,PT07M11.00S,2022-02-12T00:52:50.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203935,87.72996057818659,55.14705882352941,1610612738,13,14,2022-02-12T00:52:56Z,600000,26.0,63.0,1,right,M. Smart 6' turnaround Hook (2 PTS),[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,,,6.79,Made,2.0,,,,,,,,,,,,,,,
63,PT07M01.00S,2022-02-12T00:53:01.6Z,1,REGULAR,3pt,Jump Shot,[],1630538,9.149145860709593,94.11764705882352,1610612743,13,14,2022-02-12T00:53:08Z,610000,-221.0,34.0,1,left,MISS B. Hyland 3PT,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,22.31,Missed,,,,,,,,,,,,,,,,
64,PT06M59.00S,2022-02-12T00:53:03.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,13,14,2022-02-12T00:53:08Z,620000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,63.0,3.0,2.0,1.0,,,,
65,PT06M53.00S,2022-02-12T00:53:10.0Z,1,REGULAR,3pt,Jump Shot,[],201143,79.97700394218134,93.62745098039215,1610612738,13,14,2022-02-12T00:53:17Z,630000,218.0,136.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,25.69,Missed,,,,,,,,,,,,,,,,
66,PT06M51.00S,2022-02-12T00:53:12.0Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,13,14,2022-02-12T00:53:17Z,640000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,
67,PT06M43.00S,2022-02-12T00:53:19.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,5.732588699080158,47.30392156862745,1610612743,13,16,2022-02-12T00:53:24Z,650000,13.0,1.0,1,left,A. Gordon cutting Layup (4 PTS) (N. Jokic 3 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,,,1.36,Made,4.0,N. Jokic,203999.0,3.0,,,,,,,,,,,,
69,PT06M31.00S,2022-02-12T00:53:30.6Z,1,REGULAR,2pt,Jump Shot,[],1627759,95.48291721419186,77.20588235294117,1610612738,13,16,2022-02-12T00:53:38Z,670000,136.0,-10.0,1,right,MISS J. Brown 13' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,,,13.64,Missed,,,,,,,,,,,,,,,,
70,PT06M29.00S,2022-02-12T00:53:32.6Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,13,16,2022-02-12T00:53:38Z,680000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,
71,PT06M24.00S,2022-02-12T00:53:38.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,31.35676741130092,31.61764705882353,1610612743,13,19,2022-02-12T00:54:41Z,690000,92.0,242.0,1,left,W. Barton 25' 3PT running pullup (6 PTS),[203115],1610612743.0,DEN,running pullup,,,Barton,W. Barton,,,,,,,25.91,Made,6.0,,,,,,,,,,,,,,,
72,PT05M59.00S,2022-02-12T00:54:02.6Z,1,REGULAR,3pt,Jump Shot,[],203935,75.64060446780552,12.990196078431374,1610612738,13,19,2022-02-12T00:54:08Z,700000,-185.0,176.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,25.57,Missed,,,,,,,,,,,,,,,,
73,PT05M56.00S,2022-02-12T00:54:05.6Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,13,19,2022-02-12T00:54:08Z,710000,,,0,,W. Barton REBOUND (Off:0 Def:2),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,
74,PT05M44.00S,2022-02-12T00:54:17.7Z,1,REGULAR,3pt,Jump Shot,[],203999,25.443495400788436,15.441176470588236,1610612743,13,22,2022-02-12T00:54:22Z,720000,173.0,187.0,1,left,N. Jokic 25' 3PT  (7 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,25.44,Made,7.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,
76,PT05M25.00S,2022-02-12T00:54:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.9862023653088,53.18627450980392,1610612738,15,22,2022-02-12T00:54:41Z,740000,16.0,13.0,1,right,J. Tatum driving finger roll Layup (6 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,,,2.08,Made,6.0,,,,,,,,,,,,,,,
77,PT05M11.00S,2022-02-12T00:54:51.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,6.438896189224705,48.20389093137255,1610612743,15,24,2022-02-12T00:54:59Z,750000,9.0,8.0,1,left,A. Gordon cutting DUNK (6 PTS) (N. Jokic 4 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,,,1.2,Made,6.0,N. Jokic,203999.0,4.0,,,,,,,,,,,,
79,PT04M58.00S,2022-02-12T00:55:04.3Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,15,24,2022-02-12T00:55:08Z,770000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 201145]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,1.0,,,,,,,,,,,,,,,Green,201145.0,,
80,PT04M58.00S,2022-02-12T00:55:04.3Z,1,REGULAR,steal,,[],201145,,,1610612743,15,24,2022-02-12T00:55:05Z,780000,,,0,,J. Green STEAL (1 STL),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M54.00S,2022-02-12T00:55:08.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630538,5.601182654402102,48.28431372549019,1610612743,15,26,2022-02-12T00:55:13Z,790000,9.0,0.0,1,left,B. Hyland running Layup (2 PTS),[1630538],1610612743.0,DEN,running,,,Hyland,B. Hyland,,,,,,,0.86,Made,2.0,,,,,,,,,,,,,,,
82,PT04M39.00S,2022-02-12T00:55:26.0Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612738,15,26,2022-02-12T00:55:35Z,800000,,,0,,A. Gordon shooting personal FOUL (1 PF) (Tatum 2 FT),"[203932, 1628369]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,2534.0,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,,,,
84,PT04M39.00S,2022-02-12T00:55:50.9Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,15,26,2022-02-12T00:55:50Z,820000,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,
85,PT04M39.00S,2022-02-12T00:55:50.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,15,26,2022-02-12T00:55:50Z,830000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,
86,PT04M39.00S,2022-02-12T00:55:52.0Z,1,REGULAR,substitution,out,[],201143,,,1610612738,15,26,2022-02-12T00:56:03Z,840000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M39.00S,2022-02-12T00:55:52.0Z,1,REGULAR,substitution,out,[],201145,,,1610612738,15,26,2022-02-12T00:56:03Z,850000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M39.00S,2022-02-12T00:55:52.0Z,1,REGULAR,substitution,out,[],1630538,,,1610612738,15,26,2022-02-12T00:56:03Z,860000,,,0,,SUB out: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M39.00S,2022-02-12T00:55:52.0Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,15,26,2022-02-12T00:56:03Z,870000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
