actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
15,PT11M04.00S,2022-03-27T22:11:53.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2022-03-27T22:11:56Z,150000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT11M00.00S,2022-03-27T22:11:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,92.59198423127464,52.94117647058824,1610612738,0,0,2022-03-27T22:12:06Z,160000,15.0,17.0,1,right,MISS M. Smart running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,2.25,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2022-03-27T22:12:01.5Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,0,0,2022-03-27T22:12:06Z,170000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
18,PT10M55.00S,2022-03-27T22:12:01.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,94.40999984741211,50.0,1610612738,2,0,2022-03-27T22:12:01Z,180000,0.0,0.0,1,right,J. Brown tip Layup (2 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
19,PT10M51.00S,2022-03-27T22:12:05.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629020,6.258212877792378,48.529411764705884,1610612750,2,2,2022-03-27T22:12:15Z,190000,7.0,6.0,1,left,J. Vanderbilt cutting DUNK (2 PTS) (D. Russell 1 AST),"[1629020, 1626156]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,0.97,Made,,,,,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,
21,PT10M41.00S,2022-03-27T22:12:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,93.11760840998686,50.245098039215684,1610612738,4,2,2022-03-27T22:12:19Z,210000,1.0,12.0,1,right,M. Smart driving Layup (2 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,1.23,Made,,,,,2.0,,,,,,,,,,,,,,
22,PT10M25.00S,2022-03-27T22:12:34.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,9.280551905387648,43.13725490196079,1610612750,4,2,2022-03-27T22:12:48Z,220000,34.0,35.0,1,left,MISS K. Towns driving Layup - blocked,"[1626157, 1629057]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,4.88,Missed,,,,,,,,,Williams III,1629057.0,,,,,,,,,
23,PT10M25.00S,2022-03-27T22:12:34.0Z,1,REGULAR,block,,[],1629057,,,1610612750,4,2,2022-03-27T22:12:37Z,230000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M23.00S,2022-03-27T22:12:36.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,4,2,2022-03-27T22:12:48Z,240000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
25,PT10M23.00S,2022-03-27T22:12:39.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,4,2,2022-03-27T22:12:39Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M19.00S,2022-03-27T22:12:54.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626157,5.469776609724048,46.81372549019608,1610612750,4,4,2022-03-27T22:13:02Z,260000,16.0,-1.0,1,left,K. Towns driving DUNK (2 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,1.59,Made,,,,,2.0,,,,,,,,,,,,,,
27,PT10M01.00S,2022-03-27T22:13:14.5Z,1,REGULAR,3pt,Jump Shot,[],203935,73.53810775295663,83.82352941176471,1610612738,4,4,2022-03-27T22:13:31Z,270000,169.0,196.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M58.00S,2022-03-27T22:13:17.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,4,4,2022-03-27T22:13:31Z,280000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
29,PT09M58.00S,2022-03-27T22:13:19.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,4,4,2022-03-27T22:13:19Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M52.00S,2022-03-27T22:13:33.3Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,4,4,2022-03-27T22:16:43Z,300000,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,202049.0,1.0,,,,,,,
31,PT09M47.00S,2022-03-27T22:13:42.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,91.67214191852825,49.50980392156863,1610612738,6,4,2022-03-27T22:16:56Z,310000,-2.0,26.0,1,right,J. Brown cutting Layup (4 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,2.59,Made,,,,,4.0,M. Smart,203935.0,1.0,,,,,,,,,,,
33,PT09M32.00S,2022-03-27T22:13:56.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629020,5.995400788436268,50.245098039215684,1610612750,6,6,2022-03-27T22:14:02Z,330000,-1.0,4.0,1,left,J. Vanderbilt DUNK (4 PTS) (A. Edwards 1 AST),"[1629020, 1630162]",1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,0.41,Made,,,,,4.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,
35,PT09M20.00S,2022-03-27T22:14:08.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,68.54467805519053,67.40196078431373,1610612738,9,6,2022-03-27T22:14:12Z,350000,87.0,243.0,1,right,J. Brown 25' 3PT  (7 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.83,Made,,,,,7.0,M. Smart,203935.0,2.0,,,,,,,,,,,
37,PT09M03.00S,2022-03-27T22:14:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,5.863994743758213,49.01960784313725,1610612750,9,8,2022-03-27T22:14:31Z,370000,5.0,3.0,1,left,J. Vanderbilt cutting Layup (6 PTS) (K. Towns 1 AST),"[1629020, 1626157]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,0.55,Made,,,,,6.0,K. Towns,1626157.0,1.0,,,,,,,,,,,
39,PT08M54.00S,2022-03-27T22:14:39.0Z,1,REGULAR,violation,kicked ball,[],1629020,,,1610612738,9,8,2022-03-27T22:14:52Z,390000,,,0,,J. Vanderbilt kicked ball VIOLATION,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,204058.0,,,,,,,,
40,PT08M50.00S,2022-03-27T22:14:50.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.43561103810775,79.65686274509804,1610612738,9,8,2022-03-27T22:14:58Z,400000,148.0,216.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.2,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M47.00S,2022-03-27T22:14:53.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,9,8,2022-03-27T22:14:58Z,410000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
42,PT08M43.00S,2022-03-27T22:14:57.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629020,6.1268068331143235,49.50980392156863,1610612750,9,8,2022-03-27T22:15:03Z,420000,2.0,5.0,1,left,MISS J. Vanderbilt running Layup,[1629020],1610612750.0,MIN,running,,,Vanderbilt,J. Vanderbilt,,,,,0.57,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M41.00S,2022-03-27T22:14:59.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,8,2022-03-27T22:15:03Z,430000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
44,PT08M33.00S,2022-03-27T22:15:07.1Z,1,REGULAR,3pt,Jump Shot,[],203935,71.43561103810775,78.92156862745098,1610612738,9,8,2022-03-27T22:15:12Z,440000,145.0,216.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M31.00S,2022-03-27T22:15:09.1Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,9,8,2022-03-27T22:15:12Z,450000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
46,PT08M31.00S,2022-03-27T22:15:13.1Z,1,REGULAR,foul,personal,[],203935,,,1610612750,9,8,2022-03-27T22:18:46Z,460000,,,0,,M. Smart take personal FOUL (1 PF),"[203935, 1630162]",1610612738.0,BOS,take,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1627964.0,,1.0,0.0,Edwards,1630162.0,,,
48,PT08M23.00S,2022-03-27T22:15:39.1Z,1,REGULAR,2pt,Jump Shot,[],1629020,7.440867279894875,25.98039215686275,1610612750,9,8,2022-03-27T22:19:16Z,480000,120.0,17.0,1,left,MISS J. Vanderbilt 12' floating Shot,[1629020],1610612750.0,MIN,floating,,,Vanderbilt,J. Vanderbilt,,,,,12.14,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M21.00S,2022-03-27T22:15:41.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,8,2022-03-27T22:15:45Z,490000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,48.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
50,PT08M13.00S,2022-03-27T22:15:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.59198423127464,48.28431372549019,1610612738,11,8,2022-03-27T22:15:54Z,500000,-9.0,17.0,1,right,J. Tatum Layup (2 PTS) (M. Smart 3 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1.91,Made,,,,,2.0,M. Smart,203935.0,3.0,,,,,,,,,,,
52,PT08M00.00S,2022-03-27T22:16:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,9.149145860709593,58.08823529411765,1610612750,11,8,2022-03-27T22:16:19Z,520000,-40.0,34.0,1,left,MISS K. Towns driving Layup - blocked,"[1626157, 1628369]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,5.25,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,,,
53,PT08M00.00S,2022-03-27T22:16:05.9Z,1,REGULAR,block,,[],1628369,,,1610612750,11,8,2022-03-27T22:16:10Z,530000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M58.00S,2022-03-27T22:16:07.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,11,8,2022-03-27T22:16:19Z,540000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,
55,PT07M58.00S,2022-03-27T22:16:14.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,11,8,2022-03-27T22:16:14Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M48.00S,2022-03-27T22:16:28.2Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,11,8,2022-03-27T22:16:35Z,560000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,,,,,,,,,,,,,202049.0,1.0,,,,,,,
57,PT07M39.00S,2022-03-27T22:16:43.2Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,11,8,2022-03-27T22:16:54Z,570000,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 203935]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,1.0,,,,,Smart,203935.0,
58,PT07M39.00S,2022-03-27T22:16:43.2Z,1,REGULAR,steal,,[],203935,,,1610612738,11,8,2022-03-27T22:16:45Z,580000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M35.00S,2022-03-27T22:16:46.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203935,92.72339027595268,51.225490196078425,1610612738,13,8,2022-03-27T22:20:17Z,590000,6.0,16.0,1,right,M. Smart running DUNK (4 PTS),[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,1.7,Made,,,,,4.0,,,,,,,,,,,,,,
60,PT07M28.00S,2022-03-27T22:16:54.7Z,1,REGULAR,3pt,Jump Shot,[],1626156,27.151773981603156,76.7156862745098,1610612750,13,8,2022-03-27T22:17:03Z,600000,-134.0,203.0,1,left,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M26.00S,2022-03-27T22:16:56.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,8,2022-03-27T22:17:03Z,610000,,,0,,J. Brown REBOUND (Off:1 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,60.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
62,PT07M19.00S,2022-03-27T22:17:03.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,91.80354796320631,29.65686274509804,1610612738,13,8,2022-03-27T22:17:12Z,620000,-102.0,25.0,1,right,MISS J. Tatum 10' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,10.46,Missed,,,,,,,,,,,,,,,,,,,
63,PT07M18.00S,2022-03-27T22:17:04.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,13,8,2022-03-27T22:17:23Z,630000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
64,PT07M18.00S,2022-03-27T22:17:08.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629057,94.40999984741211,50.0,1610612738,15,8,2022-03-27T22:17:27Z,640000,0.0,0.0,1,right,R. Williams III tip DUNK (2 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
65,PT07M11.00S,2022-03-27T22:17:17.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,15,8,2022-03-27T22:17:17Z,650000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M01.00S,2022-03-27T22:20:22.5Z,1,REGULAR,3pt,Jump Shot,[],1626157,34.21895532194481,51.616115196078425,1610612750,15,11,2022-03-27T22:20:35Z,670000,-8.0,269.0,1,left,K. Towns 26' 3PT  (5 PTS) (D. Russell 2 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,26.93,Made,,,,,5.0,D. Russell,1626156.0,2.0,,,,,,,,,,,
69,PT06M41.00S,2022-03-27T22:20:42.2Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,15,11,2022-03-27T22:20:48Z,690000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1626156]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,1.0,,,,,Russell,1626156.0,
70,PT06M41.00S,2022-03-27T22:20:42.2Z,1,REGULAR,steal,,[],1626156,,,1610612750,15,11,2022-03-27T22:23:13Z,700000,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M36.00S,2022-03-27T22:20:48.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626156,30.042706964520367,67.64705882352942,1610612750,15,11,2022-03-27T22:21:08Z,710000,-88.0,230.0,1,left,MISS D. Russell 24' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,24.62,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M33.00S,2022-03-27T22:20:51.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,11,2022-03-27T22:21:08Z,720000,,,0,,J. Brown REBOUND (Off:1 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,71.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
73,PT06M16.00S,2022-03-27T22:21:06.9Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,15,11,2022-03-27T22:21:12Z,730000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 201976]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,1.0,,,,,Beverley,201976.0,
74,PT06M16.00S,2022-03-27T22:21:06.9Z,1,REGULAR,steal,,[],201976,,,1610612750,15,11,2022-03-27T22:21:09Z,740000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M11.00S,2022-03-27T22:21:13.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201976,5.469776609724048,95.09803921568627,1610612750,15,11,2022-03-27T22:21:27Z,750000,-225.0,-1.0,1,left,MISS P. Beverley 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,,
76,PT06M06.00S,2022-03-27T22:21:18.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,15,11,2022-03-27T22:21:27Z,760000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,75.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
77,PT05M58.00S,2022-03-27T22:21:25.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,82.21090670170827,94.6078431372549,1610612738,18,11,2022-03-27T22:21:30Z,770000,223.0,115.0,1,right,J. Tatum 25' 3PT step back (5 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.08,Made,,,,,5.0,,,,,,,,,,,,,,
78,PT05M39.00S,2022-03-27T22:21:44.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,10.5946123521682,60.29411764705882,1610612750,18,13,2022-03-27T22:21:53Z,780000,-51.0,47.0,1,left,K. Towns 6' turnaround Hook (7 PTS),[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,6.98,Made,,,,,7.0,,,,,,,,,,,,,,
79,PT05M16.00S,2022-03-27T22:22:07.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,71.43561103810775,42.8921568627451,1610612738,18,13,2022-03-27T22:23:57Z,790000,-36.0,216.0,1,right,MISS J. Brown 21' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,21.89,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M13.00S,2022-03-27T22:22:10.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,18,13,2022-03-27T22:22:17Z,800000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
81,PT05M05.00S,2022-03-27T22:22:18.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1626156,10.85742444152431,57.107843137254896,1610612750,18,15,2022-03-27T23:19:21Z,810000,-36.0,50.0,1,left,D. Russell 6' driving floating Jump Shot (2 PTS),[1626156],1610612750.0,MIN,driving floating,,,Russell,D. Russell,,,,,6.1,Made,,,,,2.0,,,,,,,,,,,,,,
82,PT05M05.00S,2022-03-27T22:22:33.3Z,1,REGULAR,violation,defensive goaltending,[],1629057,,,1610612750,18,15,2022-03-27T22:22:56Z,820000,,,0,,R. Williams III defensive goaltending VIOLATION,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,1627964.0,,,,,,,,
83,PT04M51.00S,2022-03-27T22:22:53.0Z,1,REGULAR,3pt,Jump Shot,[],203935,90.88370565045992,3.431372549019608,1610612738,18,15,2022-03-27T22:22:59Z,830000,-233.0,33.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.52,Missed,,,,,,,,,,,,,,,,,,,
84,PT04M47.00S,2022-03-27T22:22:57.0Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,18,15,2022-03-27T22:22:59Z,840000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,83.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
85,PT04M45.00S,2022-03-27T22:22:57.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,92.06636005256242,47.549019607843135,1610612738,20,15,2022-03-27T22:26:34Z,850000,-12.0,22.0,1,right,R. Williams III putback DUNK (4 PTS),[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,2.53,Made,,,,,4.0,,,,,,,,,,,,,,
