actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
22,PT09M55.00S,2022-01-22T00:44:21.0Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,2,4,2022-01-22T00:44:25Z,220000,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 203471]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,1.0,,,,Schroder,203471.0,,,
23,PT09M55.00S,2022-01-22T00:44:21.0Z,1,REGULAR,steal,,[],203471,,,1610612738,2,4,2022-01-22T00:44:23Z,230000,,,0,,D. Schroder STEAL (1 STL),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2022-01-22T00:44:28.6Z,1,REGULAR,foul,personal,[],203496,,,1610612738,2,4,2022-01-22T00:44:39Z,240000,,,0,,R. Covington personal FOUL (1 PF),"[203496, 201143]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,202035.0,1.0,0.0,Horford,201143.0,,,,,,,,,,
26,PT09M48.00S,2022-01-22T00:44:44.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,74.24441524310119,70.8563112745098,1610612738,4,4,2022-01-22T00:45:07Z,260000,104.0,190.0,1,right,J. Brown 21' Jump Shot (2 PTS) (D. Schroder 1 AST),"[1627759, 203471]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,21.64,Made,,,,,,,,,,2.0,,D. Schroder,203471.0,1.0,,,,,
28,PT09M30.00S,2022-01-22T00:45:02.1Z,1,REGULAR,3pt,Jump Shot,[],203468,14.14257555847569,2.450980392156863,1610612757,4,7,2022-01-22T00:45:12Z,280000,238.0,80.0,1,left,C. McCollum 25' 3PT  (3 PTS) (J. Nurkic 1 AST),"[203468, 203994]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,25.09,Made,,,,,,,,,,3.0,,J. Nurkic,203994.0,1.0,,,,,
30,PT09M21.00S,2022-01-22T00:45:13.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,4,7,2022-01-22T00:45:13Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M11.00S,2022-01-22T00:45:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.5407358738502,49.50980392156863,1610612738,6,7,2022-01-22T00:45:36Z,310000,-2.0,27.0,1,right,J. Tatum driving finger roll Layup (2 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,2.71,Made,,,,,,,,,,2.0,,,,,,,,,
32,PT09M01.00S,2022-01-22T00:45:43.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,6,7,2022-01-22T00:45:43Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M50.00S,2022-01-22T00:46:07.5Z,1,REGULAR,3pt,Jump Shot,[],1629014,22.421156373193167,90.44117647058823,1610612757,6,10,2022-01-22T00:46:11Z,330000,-202.0,158.0,1,left,A. Simons 25' 3PT  (3 PTS) (N. Little 1 AST),"[1629014, 1629642]",1610612757.0,POR,,,,Simons,A. Simons,,,,,25.68,Made,,,,,,,,,,3.0,,N. Little,1629642.0,1.0,,,,,
35,PT08M25.00S,2022-01-22T00:46:32.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,89.83245729303549,39.705882352941174,1610612738,8,10,2022-01-22T00:46:36Z,350000,-51.0,43.0,1,right,D. Schroder 6' driving floating bank Jump Shot (2 PTS),[203471],1610612738.0,BOS,driving floating bank,,,Schroder,D. Schroder,,,,,6.72,Made,,,,,,,,,,2.0,,,,,,,,,
36,PT08M05.00S,2022-01-22T00:46:51.9Z,1,REGULAR,2pt,Jump Shot,[],1629014,8.886333771353483,11.029411764705882,1610612757,8,12,2022-01-22T00:49:06Z,360000,195.0,31.0,1,left,A. Simons 19' step back Jump Shot (5 PTS),[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,19.73,Made,,,,,,,,,,5.0,,,,,,,,,
37,PT07M54.00S,2022-01-22T00:47:03.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,79.58278580814718,5.147058823529411,1610612738,8,12,2022-01-22T00:47:25Z,370000,-224.0,139.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.41,Missed,,,,,,,,,,,,,,,,,,,
38,PT07M51.00S,2022-01-22T00:47:06.8Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,8,12,2022-01-22T00:47:25Z,380000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
39,PT07M49.00S,2022-01-22T00:47:08.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203471,69.72733245729303,73.0392156862745,1610612738,8,12,2022-01-22T00:47:14Z,390000,115.0,232.0,1,right,MISS D. Schroder 25' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,25.91,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M47.00S,2022-01-22T00:47:10.0Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,8,12,2022-01-22T00:47:14Z,400000,,,0,,N. Little REBOUND (Off:0 Def:2),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
41,PT07M34.00S,2022-01-22T00:47:23.1Z,1,REGULAR,turnover,lost ball,[],203994,,,1610612757,8,12,2022-01-22T00:47:28Z,410000,,,0,,J. Nurkic lost ball TURNOVER (2 TO),"[203994, 203471]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,2.0,,,,Schroder,203471.0,,,
42,PT07M34.00S,2022-01-22T00:47:23.1Z,1,REGULAR,steal,,[],203471,,,1610612738,8,12,2022-01-22T00:47:24Z,420000,,,0,,D. Schroder STEAL (2 STL),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M17.00S,2022-01-22T00:47:39.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,66.96780551905388,34.068627450980394,1610612738,8,12,2022-01-22T00:47:51Z,430000,-80.0,258.0,1,right,MISS A. Horford 27' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,27.0,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M14.00S,2022-01-22T00:47:42.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,8,12,2022-01-22T00:47:51Z,440000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
45,PT07M01.00S,2022-01-22T00:47:55.7Z,1,REGULAR,turnover,lost ball,[],1629642,,,1610612757,8,12,2022-01-22T00:48:00Z,450000,,,0,,N. Little lost ball TURNOVER (1 TO),"[1629642, 203471]",1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,1.0,,,,Schroder,203471.0,,,
46,PT07M01.00S,2022-01-22T00:47:55.7Z,1,REGULAR,steal,,[],203471,,,1610612738,8,12,2022-01-22T00:47:57Z,460000,,,0,,D. Schroder STEAL (3 STL),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M50.00S,2022-01-22T00:48:07.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,92.72339027595268,95.83333333333334,1610612738,11,12,2022-01-22T00:48:12Z,470000,229.0,16.0,1,right,J. Brown 3PT  (5 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.98,Made,,,,,,,,,,5.0,,J. Tatum,1628369.0,2.0,,,,,
49,PT06M28.00S,2022-01-22T00:48:31.3Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612757,11,12,2022-01-22T00:51:22Z,490000,,,0,,A. Horford shooting personal FOUL (1 PF) (McCollum 2 FT),"[201143, 203468]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,1662.0,1.0,0.0,McCollum,203468.0,,,,,,,,,,
51,PT06M28.00S,2022-01-22T00:48:44.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,11,12,2022-01-22T00:48:44Z,510000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M28.00S,2022-01-22T00:51:02.5Z,1,REGULAR,substitution,out,[],1629642,,,1610612757,11,12,2022-01-22T00:51:20Z,520000,,,0,,SUB out: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M28.00S,2022-01-22T00:51:02.5Z,1,REGULAR,substitution,in,[],1629604,,,1610612757,11,12,2022-01-22T00:51:20Z,530000,,,0,,SUB in: C. Elleby,[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M28.00S,2022-01-22T00:51:39.7Z,1,REGULAR,freethrow,1 of 2,[],203468,,,1610612757,11,13,2022-01-22T00:51:39Z,540000,,,0,,C. McCollum Free Throw 1 of 2 (4 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
55,PT06M28.00S,2022-01-22T00:51:53.1Z,1,REGULAR,freethrow,2 of 2,[],203468,,,1610612757,11,14,2022-01-22T00:51:53Z,550000,,,0,,C. McCollum Free Throw 2 of 2 (5 PTS),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,Made,,,,,,,,,,5.0,,,,,,,,,
56,PT06M11.00S,2022-01-22T00:52:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.85479632063075,54.41176470588235,1610612738,11,14,2022-01-22T00:52:22Z,560000,22.0,15.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.65,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M08.00S,2022-01-22T00:52:17.2Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,11,14,2022-01-22T00:52:22Z,570000,,,0,,C. Elleby REBOUND (Off:0 Def:1),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
58,PT05M57.00S,2022-01-22T00:52:27.7Z,1,REGULAR,3pt,Jump Shot,[],203468,25.18068331143233,81.37254901960785,1610612757,11,17,2022-01-22T00:52:33Z,580000,-157.0,184.0,1,left,C. McCollum 24' 3PT turnaround (8 PTS),[203468],1610612757.0,POR,turnaround,,,McCollum,C. McCollum,,,,,24.2,Made,,,,,,,,,,8.0,,,,,,,,,
59,PT05M36.00S,2022-01-22T00:52:50.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,84.57621550591328,60.049019607843135,1610612738,13,17,2022-01-22T00:52:58Z,590000,50.0,92.0,1,right,A. Horford 10' Jump Shot (4 PTS) (R. Williams III 1 AST),"[201143, 1629057]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,10.52,Made,,,,,,,,,,4.0,,R. Williams III,1629057.0,1.0,,,,,
61,PT05M18.00S,2022-01-22T00:53:10.4Z,1,REGULAR,foul,personal,[],203471,,,1610612757,13,17,2022-01-22T00:53:25Z,610000,,,0,,D. Schroder personal FOUL (1 PF),"[203471, 203994]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,202035.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,
63,PT05M18.00S,2022-01-22T00:53:16.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612757,13,17,2022-01-22T00:53:22Z,630000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M18.00S,2022-01-22T00:53:16.8Z,1,REGULAR,substitution,out,[],203468,,,1610612757,13,17,2022-01-22T00:53:22Z,640000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M18.00S,2022-01-22T00:53:16.8Z,1,REGULAR,substitution,in,[],1626196,,,1610612757,13,17,2022-01-22T00:53:22Z,650000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M18.00S,2022-01-22T00:53:16.8Z,1,REGULAR,substitution,in,[],203463,,,1610612757,13,17,2022-01-22T00:53:22Z,660000,,,0,,SUB in: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M06.00S,2022-01-22T00:53:43.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203496,7.703679369250986,60.5392156862745,1610612757,13,17,2022-01-22T00:53:50Z,670000,-53.0,20.0,1,left,MISS R. Covington driving Layup - blocked,"[203496, 1629057]",1610612757.0,POR,driving,,,Covington,R. Covington,,,,,5.63,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0,
68,PT05M06.00S,2022-01-22T00:53:43.6Z,1,REGULAR,block,,[],1629057,,,1610612757,13,17,2022-01-22T00:53:45Z,680000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M04.00S,2022-01-22T00:53:45.6Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,13,17,2022-01-22T00:53:50Z,690000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
70,PT04M55.00S,2022-01-22T00:53:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,89.43823915900131,38.48039215686275,1610612738,13,17,2022-01-22T00:54:04Z,700000,-58.0,47.0,1,right,MISS D. Schroder 7' driving Layup,[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,7.42,Missed,,,,,,,,,,,,,,,,,,,
71,PT04M53.00S,2022-01-22T00:53:56.5Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,13,17,2022-01-22T00:54:04Z,710000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
72,PT04M41.00S,2022-01-22T00:54:07.8Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,13,17,2022-01-22T00:54:11Z,720000,,,0,,J. Nurkic bad pass TURNOVER (3 TO),"[203994, 1629057]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,3.0,,,,Williams III,1629057.0,,,
73,PT04M41.00S,2022-01-22T00:54:07.8Z,1,REGULAR,steal,,[],1629057,,,1610612738,13,17,2022-01-22T00:54:09Z,730000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M37.00S,2022-01-22T00:54:12.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626196,71.82982917214193,80.88235294117648,1610612738,16,17,2022-01-22T00:54:32Z,740000,154.0,212.0,1,right,J. Richardson 26' 3PT running pullup (3 PTS) (D. Schroder 2 AST),"[1626196, 203471]",1610612738.0,BOS,running pullup,,,Richardson,J. Richardson,,,,,26.25,Made,,,,,,,,,,3.0,,D. Schroder,203471.0,2.0,,,,,
75,PT04M21.00S,2022-01-22T00:54:30.4Z,1,REGULAR,3pt,Jump Shot,[],203463,5.995400788436268,4.166666666666666,1610612757,16,17,2022-01-22T00:54:40Z,750000,229.0,4.0,1,left,MISS B. McLemore 3PT,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
76,PT04M19.00S,2022-01-22T00:54:32.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,16,17,2022-01-22T00:54:40Z,760000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,75.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
77,PT04M12.00S,2022-01-22T00:54:36.7Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,16,17,2022-01-22T00:54:48Z,770000,,,0,,R. Williams III bad pass TURNOVER (1 TO),"[1629057, 1629604]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,1.0,,,,Elleby,1629604.0,,,
78,PT04M12.00S,2022-01-22T00:54:36.7Z,1,REGULAR,steal,,[],1629604,,,1610612757,16,17,2022-01-22T00:54:39Z,780000,,,0,,C. Elleby STEAL (1 STL),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M09.00S,2022-01-22T00:54:39.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629604,6.783837056504599,45.83333333333333,1610612757,16,19,2022-01-22T00:54:51Z,790000,21.0,11.0,1,left,C. Elleby driving Layup (2 PTS),[1629604],1610612757.0,POR,driving,,,Elleby,C. Elleby,,,,,2.37,Made,,,,,,,,,,2.0,,,,,,,,,
81,PT03M48.00S,2022-01-22T00:55:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,88.64980289093299,57.84313725490197,1610612738,18,19,2022-01-22T00:55:06Z,800000,39.0,54.0,1,right,J. Richardson 6' driving floating Jump Shot (5 PTS) (D. Schroder 3 AST),"[1626196, 203471]",1610612738.0,BOS,driving floating,,,Richardson,J. Richardson,,,,,6.69,Made,,,,,,,,,,5.0,,D. Schroder,203471.0,3.0,,,,,
83,PT03M30.00S,2022-01-22T00:55:18.9Z,1,REGULAR,3pt,Jump Shot,[],203463,13.61695137976347,3.1862745098039214,1610612757,18,22,2022-01-22T00:55:25Z,820000,234.0,75.0,1,left,B. McLemore 24' 3PT  (3 PTS) (J. Nurkic 2 AST),"[203463, 203994]",1610612757.0,POR,,,,McLemore,B. McLemore,,,,,24.6,Made,,,,,,,,,,3.0,,J. Nurkic,203994.0,2.0,,,,,
85,PT03M13.00S,2022-01-22T00:55:35.8Z,1,REGULAR,3pt,Jump Shot,[],201143,91.27792378449409,3.1862745098039214,1610612738,18,22,2022-01-22T00:55:41Z,840000,-234.0,29.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,23.6,Missed,,,,,,,,,,,,,,,,,,,
86,PT03M10.00S,2022-01-22T00:55:38.8Z,1,REGULAR,rebound,defensive,[],203463,,,1610612757,18,22,2022-01-22T00:55:41Z,850000,,,0,,B. McLemore REBOUND (Off:0 Def:1),[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
87,PT02M55.00S,2022-01-22T00:55:54.6Z,1,REGULAR,foul,personal,['2freethrow'],1626196,,,1610612757,18,22,2022-01-22T00:59:33Z,860000,,,0,,J. Richardson shooting personal FOUL (1 PF) (Elleby 2 FT),"[1626196, 1629604]",1610612738.0,BOS,shooting,,,Richardson,J. Richardson,,,,,,,,,,,1662.0,1.0,0.0,Elleby,1629604.0,,,,,,,,,,
89,PT02M55.00S,2022-01-22T00:56:12.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,18,22,2022-01-22T00:56:12Z,880000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT02M55.00S,2022-01-22T00:58:42.5Z,1,REGULAR,substitution,out,[],1629057,,,1610612757,18,22,2022-01-22T00:58:59Z,890000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT02M55.00S,2022-01-22T00:58:42.5Z,1,REGULAR,substitution,out,[],1629014,,,1610612757,18,22,2022-01-22T00:58:59Z,900000,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT02M55.00S,2022-01-22T00:58:42.5Z,1,REGULAR,substitution,out,[],203994,,,1610612757,18,22,2022-01-22T00:58:59Z,910000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT02M55.00S,2022-01-22T00:58:42.5Z,1,REGULAR,substitution,out,[],203496,,,1610612757,18,22,2022-01-22T00:58:59Z,920000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
