actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
17,PT10M35.00S,2021-10-27T23:41:58.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,4,2021-10-27T23:41:58Z,170000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M26.00S,2021-10-27T23:42:06.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,66.83639947437582,29.901960784313726,1610612738,2,4,2021-10-27T23:42:11Z,180000,-100.0,259.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.8,Missed,,,,,,,,,,,,,,,,,,
19,PT10M23.00S,2021-10-27T23:42:09.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,2,4,2021-10-27T23:42:11Z,190000,,,0,,D. Gafford REBOUND (Off:0 Def:3),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,18.0,3.0,3.0,0.0,,,,,,,,,,
20,PT10M15.00S,2021-10-27T23:42:22.3Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612764,2,4,2021-10-27T23:42:37Z,200000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Gafford 2 FT),"[1629057, 1629655]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,1201.0,1.0,0.0,Gafford,1629655.0,,,,,
22,PT10M15.00S,2021-10-27T23:42:49.4Z,1,REGULAR,freethrow,1 of 2,[],1629655,,,1610612764,2,4,2021-10-27T23:43:30Z,220000,,,0,,MISS D. Gafford Free Throw 1 of 2,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT10M15.00S,2021-10-27T23:42:49.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612764,2,4,2021-10-27T23:43:30Z,230000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,
25,PT10M15.00S,2021-10-27T23:42:49.4Z,1,REGULAR,freethrow,2 of 2,[],1629655,,,1610612764,2,4,2021-10-27T23:43:30Z,250000,,,0,,MISS D. Gafford Free Throw 2 of 2,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,Missed,,,,,,,,,,,,,,,,,,
26,PT10M12.00S,2021-10-27T23:42:52.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,4,2021-10-27T23:43:30Z,260000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT10M01.00S,2021-10-27T23:43:37.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,81.553876478318,31.61764705882353,1610612738,2,4,2021-10-27T23:43:41Z,280000,-92.0,121.0,1,right,MISS J. Brown 15' Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,15.19,Missed,,,,,,,,,,,,,,,,,,
28,PT09M57.00S,2021-10-27T23:43:41.7Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,2,4,2021-10-27T23:43:41Z,290000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M56.00S,2021-10-27T23:43:37.7Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612764,2,4,2021-10-28T00:11:58Z,295000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M52.00S,2021-10-27T23:43:45.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203078,33.327858081471746,42.15686274509804,1610612764,2,4,2021-10-27T23:43:53Z,300000,39.0,261.0,1,left,MISS B. Beal 26' pullup 3PT,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,
30,PT09M50.00S,2021-10-27T23:43:47.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,4,2021-10-27T23:43:53Z,310000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,
31,PT09M49.00S,2021-10-27T23:43:54.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,4,2021-10-27T23:43:54Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M38.00S,2021-10-27T23:44:04.6Z,1,REGULAR,3pt,Jump Shot,[],203935,67.09921156373193,68.87254901960785,1610612738,5,4,2021-10-27T23:44:09Z,330000,94.0,257.0,1,right,M. Smart 27' 3PT  (3 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.36,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
34,PT09M17.00S,2021-10-27T23:44:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,13.354139290407357,43.13725490196079,1610612764,5,4,2021-10-27T23:44:32Z,350000,34.0,73.0,1,left,MISS S. Dinwiddie 8' turnaround Shot,[203915],1610612764.0,WAS,turnaround,,,Dinwiddie,S. Dinwiddie,,,,,8.07,Missed,,,,,,,,,,,,,,,,,,
35,PT09M14.00S,2021-10-27T23:44:27.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,5,4,2021-10-27T23:44:32Z,360000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT09M05.00S,2021-10-27T23:44:39.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,90.75229960578186,70.34313725490196,1610612738,5,4,2021-10-27T23:44:49Z,370000,102.0,34.0,1,right,MISS J. Tatum 10' Jump Shot - blocked,"[1628369, 203078]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,10.74,Missed,,,,,,,,,,,,,,Beal,203078.0,,,
37,PT09M05.00S,2021-10-27T23:44:39.7Z,1,REGULAR,block,,[],203078,,,1610612738,5,4,2021-10-27T23:44:43Z,380000,,,0,,B. Beal BLOCK (1 BLK),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M05.00S,2021-10-27T23:44:39.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,5,4,2021-10-27T23:44:49Z,390000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,
39,PT09M05.00S,2021-10-27T23:44:49.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,5,4,2021-10-27T23:44:49Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M56.00S,2021-10-27T23:45:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201143,95.3515111695138,56.61764705882353,1610612738,5,4,2021-10-27T23:45:15Z,410000,33.0,-9.0,1,right,MISS A. Horford Layup - blocked,"[201143, 1629655]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,3.42,Missed,,,,,,,,,,,,,,Gafford,1629655.0,,,
41,PT08M56.00S,2021-10-27T23:45:06.0Z,1,REGULAR,block,,[],1629655,,,1610612738,5,4,2021-10-27T23:45:11Z,420000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M48.00S,2021-10-27T23:45:14.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,4,2021-10-27T23:45:15Z,430000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,
43,PT08M45.00S,2021-10-27T23:45:16.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628398,20.05584756898817,90.68627450980392,1610612764,5,4,2021-10-27T23:45:22Z,440000,-203.0,136.0,1,left,MISS K. Kuzma 24' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,24.47,Missed,,,,,,,,,,,,,,,,,,
44,PT08M42.00S,2021-10-27T23:45:19.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,4,2021-10-27T23:45:44Z,450000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,
45,PT08M36.00S,2021-10-27T23:45:25.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,88.91261498028909,2.2058823529411766,1610612738,5,4,2021-10-27T23:45:30Z,460000,-239.0,52.0,1,right,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.45,Missed,,,,,,,,,,,,,,,,,,
46,PT08M32.00S,2021-10-27T23:45:29.0Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,5,4,2021-10-27T23:45:30Z,470000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,
47,PT08M31.00S,2021-10-27T23:45:30.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,92.32917214191852,50.0,1610612738,5,4,2021-10-27T23:45:42Z,480000,0.0,20.0,1,right,MISS R. Williams III putback Layup - blocked,"[1629057, 1628398]",1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,1.96,Missed,,,,,,,,,,,,,,Kuzma,1628398.0,,,
48,PT08M31.00S,2021-10-27T23:45:30.9Z,1,REGULAR,block,,[],1628398,,,1610612738,5,4,2021-10-27T23:57:45Z,490000,,,0,,K. Kuzma BLOCK (1 BLK),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M26.00S,2021-10-27T23:45:35.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,5,4,2021-10-27T23:45:42Z,500000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,
50,PT08M12.00S,2021-10-27T23:45:49.7Z,1,REGULAR,2pt,Hook,[],203915,9.280551905387648,29.901960784313726,1610612764,5,4,2021-10-27T23:45:54Z,510000,100.0,35.0,1,left,MISS S. Dinwiddie 10' Hook,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,10.63,Missed,,,,,,,,,,,,,,,,,,
51,PT08M09.00S,2021-10-27T23:45:52.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,4,2021-10-27T23:45:54Z,520000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,
52,PT08M07.00S,2021-10-27T23:46:01.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,5,4,2021-10-27T23:46:01Z,530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M06.00S,2021-10-27T23:46:22.3Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,5,4,2021-10-28T00:00:32Z,540000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203078]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,1.0,Beal,203078.0
54,PT08M06.00S,2021-10-27T23:46:22.3Z,1,REGULAR,steal,,[],203078,,,1610612764,5,4,2021-10-27T23:57:54Z,550000,,,0,,B. Beal STEAL (1 STL),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M01.00S,2021-10-27T23:46:26.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203484,5.913272010512484,31.966145833333332,1610612764,5,4,2021-10-27T23:46:45Z,560000,90.0,3.0,1,left,MISS K. Caldwell-Pope 9' Jump Shot - blocked,"[203484, 201143]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,9.03,Missed,,,,,,,,,,,,,,Horford,201143.0,,,
56,PT08M01.00S,2021-10-27T23:46:26.3Z,1,REGULAR,block,,[],201143,,,1610612764,5,4,2021-10-27T23:46:30Z,570000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M01.00S,2021-10-27T23:46:26.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,5,4,2021-10-27T23:46:45Z,580000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,
58,PT08M01.00S,2021-10-27T23:46:34.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,5,4,2021-10-27T23:46:34Z,590000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT07M59.00S,2021-10-27T23:46:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628398,4.599211563731932,56.15042892156863,1610612764,5,4,2021-10-28T00:07:28Z,595000,-31.0,-9.0,1,left,MISS K. Kuzma driving Layup - blocked,"[1628398, 1629057]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,3.22,Missed,,,,,,,,,,,,,,Williams III,1629057.0,,,
174,PT07M59.00S,2021-10-27T23:46:45.1Z,1,REGULAR,block,,[],1629057,,,1610612764,5,4,2021-10-28T00:07:13Z,597500,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
175,PT07M57.00S,2021-10-27T23:46:47.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,5,4,2021-10-28T00:07:28Z,598750,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,173.0,,,,,,,,,,,,,
59,PT07M57.00S,2021-10-27T23:46:56.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,5,4,2021-10-27T23:46:56Z,600000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M53.00S,2021-10-27T23:47:01.2Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",203078,24.917871222076215,53.92156862745098,1610612764,5,4,2021-10-28T00:07:13Z,610000,-20.0,182.0,1,left,MISS B. Beal 18' Jump Shot,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,18.28,Missed,,,,,,,,,,,,,,,,,,
61,PT07M52.00S,2021-10-27T23:47:02.2Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,5,4,2021-10-28T00:11:24Z,620000,,,0,,D. Gafford REBOUND (Off:1 Def:3),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,60.0,4.0,3.0,1.0,,,,,,,,,,
187,PT07M51.00S,2021-10-27T23:47:06.4Z,1,REGULAR,turnover,lost ball,[],1629655,,,1610612764,5,4,2021-10-28T00:08:53Z,625000,,,0,,D. Gafford lost ball TURNOVER (1 TO),"[1629655, 201143]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,1.0,Horford,201143.0
188,PT07M51.00S,2021-10-27T23:47:06.4Z,1,REGULAR,steal,,[],201143,,,1610612738,5,4,2021-10-28T00:08:40Z,627500,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M42.00S,2021-10-27T23:47:11.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629057,92.9862023653088,51.71568627450981,1610612738,7,4,2021-10-28T00:08:40Z,630000,9.0,13.0,1,right,R. Williams III running Layup (4 PTS) (A. Horford 1 AST),"[1629057, 201143]",1610612738.0,BOS,running,,,Williams III,R. Williams III,,,,,1.59,Made,4.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
64,PT07M26.00S,2021-10-27T23:47:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203078,12.302890932982917,48.28431372549019,1610612764,7,4,2021-10-27T23:47:36Z,650000,9.0,63.0,1,left,MISS B. Beal 6' driving floating bank Shot,[203078],1610612764.0,WAS,driving floating bank,,,Beal,B. Beal,,,,,6.37,Missed,,,,,,,,,,,,,,,,,,
65,PT07M21.00S,2021-10-27T23:47:33.3Z,1,REGULAR,rebound,offensive,[],203078,,,1610612764,7,4,2021-10-27T23:47:56Z,660000,,,0,,B. Beal REBOUND (Off:1 Def:0),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,64.0,1.0,0.0,1.0,,,,,,,,,,
66,PT07M19.00S,2021-10-27T23:47:35.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203078,5.590000152587891,50.0,1610612764,7,6,2021-10-27T23:47:35Z,670000,0.0,0.0,1,left,B. Beal putback Layup (4 PTS),[203078],1610612764.0,WAS,putback,,,Beal,B. Beal,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,
67,PT07M09.00S,2021-10-27T23:47:45.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,66.5735873850197,35.294117647058826,1610612738,10,6,2021-10-27T23:47:49Z,680000,-74.0,262.0,1,right,J. Brown 27' 3PT  (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.18,Made,3.0,,,,,,,,,,,,,,,,,
68,PT06M51.00S,2021-10-27T23:48:02.4Z,1,REGULAR,3pt,Jump Shot,[],203915,21.76412614980289,8.333333333333332,1610612764,10,6,2021-10-27T23:48:06Z,690000,208.0,152.0,1,left,MISS S. Dinwiddie 25' 3PT,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,25.79,Missed,,,,,,,,,,,,,,,,,,
69,PT06M48.00S,2021-10-27T23:48:05.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,10,6,2021-10-27T23:48:06Z,700000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,,,,,
70,PT06M37.00S,2021-10-27T23:48:15.9Z,1,REGULAR,3pt,Jump Shot,[],203935,66.3107752956636,22.54901960784314,1610612738,10,6,2021-10-27T23:48:24Z,710000,-137.0,264.0,1,right,MISS M. Smart 29' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,29.77,Missed,,,,,,,,,,,,,,,,,,
71,PT06M33.00S,2021-10-27T23:48:20.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,10,6,2021-10-27T23:48:20Z,720000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,70.0,3.0,1.0,2.0,,,,,,,,,,
72,PT06M31.00S,2021-10-27T23:48:22.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,68.9388961892247,17.647058823529413,1610612738,10,6,2021-10-27T23:48:27Z,730000,-162.0,239.0,1,right,MISS M. Smart 28' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,28.9,Missed,,,,,,,,,,,,,,,,,,
73,PT06M27.00S,2021-10-27T23:48:26.7Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,10,6,2021-10-27T23:48:27Z,740000,,,0,,B. Beal REBOUND (Off:1 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,72.0,2.0,1.0,1.0,,,,,,,,,,
74,PT06M22.00S,2021-10-27T23:48:31.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203078,6.1268068331143235,95.83333333333334,1610612764,10,6,2021-10-27T23:48:38Z,750000,-229.0,5.0,1,left,MISS B. Beal 3PT,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,
75,PT06M18.00S,2021-10-27T23:48:35.8Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,10,6,2021-10-27T23:48:38Z,760000,,,0,,R. Williams III REBOUND (Off:2 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,74.0,4.0,2.0,2.0,,,,,,,,,,
76,PT06M14.00S,2021-10-27T23:48:39.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,88.38699080157687,45.83333333333333,1610612738,12,6,2021-10-28T00:04:49Z,770000,-21.0,57.0,1,right,J. Tatum 6' running Layup (2 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,6.04,Made,2.0,,,,,,,,,,,,,,,,,
77,PT06M13.00S,2021-10-27T23:48:49.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,12,6,2021-10-27T23:48:49Z,780000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M13.00S,2021-10-27T23:51:07.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612764,12,6,2021-10-27T23:51:35Z,790000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M13.00S,2021-10-27T23:51:07.4Z,1,REGULAR,substitution,out,[],1629057,,,1610612764,12,6,2021-10-27T23:51:35Z,800000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M13.00S,2021-10-27T23:51:07.4Z,1,REGULAR,substitution,out,[],203484,,,1610612764,12,6,2021-10-27T23:51:35Z,810000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,
