actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
86,PT05M03.00S,2022-01-11T00:53:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,90.88370565045992,43.13725490196079,1610612738,10,6,2022-01-11T00:53:43Z,860000,-34.0,33.0,1,right,MISS J. Brown Layup - blocked,"[1627759, 1626167]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,4.77,Missed,,,,,,,,,,,,,,,,,Turner,1626167.0,
87,PT05M03.00S,2022-01-11T00:53:33.3Z,1,REGULAR,block,,[],1626167,,,1610612738,10,6,2022-01-11T00:53:35Z,870000,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M59.00S,2022-01-11T00:53:37.3Z,1,REGULAR,rebound,defensive,[],203087,,,1610612754,10,6,2022-01-11T00:56:56Z,880000,,,0,,J. Lamb REBOUND (Off:0 Def:1),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,
109,PT04M50.00S,2022-01-11T00:53:40.1Z,1,REGULAR,turnover,lost ball,[],1626167,,,1610612754,10,6,2022-01-11T00:56:37Z,885000,,,0,,M. Turner lost ball TURNOVER (1 TO),"[1626167, 1629684]",1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,1.0,,,,Williams,1629684.0,,,
110,PT04M50.00S,2022-01-11T00:53:40.1Z,1,REGULAR,steal,,[],1629684,,,1610612738,10,6,2022-01-11T00:56:37Z,887500,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M40.00S,2022-01-11T00:53:57.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,91.27792378449409,2.941176470588235,1610612738,10,6,2022-01-11T00:56:42Z,910000,-235.0,29.0,1,right,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.71,Missed,,,,,,,,,,,,,,,,,,,
93,PT04M35.00S,2022-01-11T00:54:02.0Z,1,REGULAR,rebound,defensive,[],203087,,,1610612754,10,6,2022-01-11T01:02:30Z,920000,,,0,,J. Lamb REBOUND (Off:0 Def:2),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,92.0,2.0,2.0,0.0,,,,,,,,,,,
94,PT04M28.00S,2022-01-11T00:54:08.2Z,1,REGULAR,2pt,Jump Shot,[],203087,11.12023653088042,72.30392156862744,1610612754,10,6,2022-01-11T00:59:46Z,930000,-112.0,52.0,1,left,MISS J. Lamb 12' pullup Shot,[203087],1610612754.0,IND,pullup,,,Lamb,J. Lamb,,,,,12.3,Missed,,,,,,,,,,,,,,,,,,,
95,PT04M26.00S,2022-01-11T00:54:10.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,10,6,2022-01-11T00:54:20Z,940000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,94.0,3.0,3.0,0.0,,,,,,,,,,,
96,PT04M22.00S,2022-01-11T00:54:14.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,92.59198423127464,52.69607843137255,1610612738,12,6,2022-01-11T01:00:29Z,950000,13.0,17.0,1,right,J. Brown driving Layup (6 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.18,Made,6.0,,,,,,,,,,,,,,,,,,
97,PT04M04.00S,2022-01-11T00:54:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628470,6.783837056504599,51.9607843137255,1610612754,12,8,2022-01-11T00:54:40Z,960000,-10.0,11.0,1,left,T. Craig driving reverse Layup (2 PTS),[1628470],1610612754.0,IND,driving reverse,,,Craig,T. Craig,,,,,1.5,Made,2.0,,,,,,,,,,,,,,,,,,
98,PT03M43.00S,2022-01-11T00:54:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,84.31340341655716,44.85294117647059,1610612738,12,8,2022-01-11T00:55:00Z,970000,-26.0,95.0,1,right,MISS M. Smart 9' turnaround Shot,[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,9.84,Missed,,,,,,,,,,,,,,,,,,,
99,PT03M40.00S,2022-01-11T00:54:55.9Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,12,8,2022-01-11T00:55:00Z,980000,,,0,,O. Brissett REBOUND (Off:0 Def:2),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,98.0,2.0,2.0,0.0,,,,,,,,,,,
100,PT03M32.00S,2022-01-11T00:55:04.8Z,1,REGULAR,3pt,Jump Shot,[],203087,23.47240473061761,13.480392156862745,1610612754,12,11,2022-01-11T00:55:12Z,990000,183.0,168.0,1,left,J. Lamb 24' 3PT  (3 PTS) (O. Brissett 1 AST),"[203087, 1629052]",1610612754.0,IND,,,,Lamb,J. Lamb,,,,,24.82,Made,3.0,,,,,,,,,,,O. Brissett,1629052.0,1.0,,,,,
102,PT03M10.00S,2022-01-11T00:55:26.2Z,1,REGULAR,3pt,Jump Shot,[],203935,79.71419185282524,94.36274509803921,1610612738,15,11,2022-01-11T00:55:32Z,1010000,222.0,138.0,1,right,M. Smart 26' 3PT  (3 PTS) (R. Williams III 1 AST),"[203935, 1629057]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.13,Made,3.0,,,,,,,,,,,R. Williams III,1629057.0,1.0,,,,,
104,PT02M52.00S,2022-01-11T00:55:43.9Z,1,REGULAR,3pt,Jump Shot,[],202362,28.597240473061763,79.90196078431373,1610612754,15,11,2022-01-11T00:55:52Z,1030000,-150.0,216.0,1,left,MISS L. Stephenson 26' pullup 3PT,[202362],1610612754.0,IND,pullup,,,Stephenson,L. Stephenson,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,,
105,PT02M50.00S,2022-01-11T00:55:45.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,11,2022-01-11T00:55:52Z,1040000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,104.0,3.0,3.0,0.0,,,,,,,,,,,
106,PT02M47.00S,2022-01-11T00:55:49.4Z,1,REGULAR,foul,personal,['2freethrow'],1629052,,,1610612738,15,11,2022-01-11T00:56:15Z,1050000,,,0,,O. Brissett shooting personal FOUL (1 PF) (Williams III 2 FT),"[1629052, 1629057]",1610612754.0,IND,shooting,,,Brissett,O. Brissett,,,,,,,,202007.0,1.0,0.0,,,,,Williams III,1629057.0,,,,,,,,,
108,PT02M47.00S,2022-01-11T00:56:11.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,11,2022-01-11T00:56:11Z,1070000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M47.00S,2022-01-11T00:59:03.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629057,,,1610612738,16,11,2022-01-11T01:05:28Z,1075000,,,0,,R. Williams III Free Throw 1 of 2 (5 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
118,PT02M47.00S,2022-01-11T00:59:03.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629057,,,1610612738,17,11,2022-01-11T01:05:28Z,1077500,,,0,,R. Williams III Free Throw 2 of 2 (6 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
111,PT02M47.00S,2022-01-11T00:59:11.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612754,17,11,2022-01-11T01:05:28Z,1080000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M47.00S,2022-01-11T00:59:11.3Z,1,REGULAR,substitution,out,[],203935,,,1610612754,17,11,2022-01-11T01:05:28Z,1090000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M47.00S,2022-01-11T00:59:11.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612754,17,11,2022-01-11T01:05:28Z,1100000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M47.00S,2022-01-11T00:59:11.3Z,1,REGULAR,substitution,in,[],203471,,,1610612754,17,11,2022-01-11T01:05:28Z,1110000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M47.00S,2022-01-11T00:59:11.9Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,17,11,2022-01-11T01:05:28Z,1130000,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M47.00S,2022-01-11T00:59:11.9Z,1,REGULAR,substitution,in,[],1627734,,,1610612754,17,11,2022-01-11T01:05:28Z,1140000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M32.00S,2022-01-11T00:59:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202362,6.258212877792378,57.35294117647059,1610612754,17,11,2022-01-11T01:02:12Z,1148750,-37.0,6.0,1,left,MISS L. Stephenson driving finger roll Layup - blocked,"[202362, 1629057]",1610612754.0,IND,driving finger roll,,,Stephenson,L. Stephenson,,,,,3.73,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0,
120,PT02M32.00S,2022-01-11T00:59:47.2Z,1,REGULAR,block,,[],1629057,,,1610612754,17,11,2022-01-11T00:59:49Z,1149375,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M32.00S,2022-01-11T00:59:47.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,17,11,2022-01-11T01:02:12Z,1149687,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,
122,PT02M32.00S,2022-01-11T00:59:51.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,17,11,2022-01-11T01:06:14Z,1167265,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M32.00S,2022-01-11T00:59:53.5Z,1,REGULAR,substitution,out,[],1629057,,,1610612754,17,11,2022-01-11T01:05:28Z,1184843,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M32.00S,2022-01-11T00:59:53.5Z,1,REGULAR,substitution,in,[],202683,,,1610612754,17,11,2022-01-11T01:05:28Z,1202421,,,0,,SUB in: E. Freedom,[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M23.00S,2022-01-11T01:00:12.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,17,11,2022-01-11T01:00:43Z,1230000,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,,,,202058.0,,,,,,,,,,,,,,,,,
126,PT02M11.00S,2022-01-11T01:00:35.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,90.88370565045992,57.35294117647059,1610612738,17,11,2022-01-11T01:00:50Z,1240000,37.0,33.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,4.96,Missed,,,,,,,,,,,,,,,,,,,
127,PT02M09.00S,2022-01-11T01:00:37.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,17,11,2022-01-11T01:00:37Z,1250000,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,126.0,3.0,3.0,0.0,,,,,,,,,,,
128,PT01M57.00S,2022-01-11T01:00:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203087,12.302890932982917,45.09803921568628,1610612754,17,13,2022-01-11T01:01:00Z,1260000,25.0,63.0,1,left,J. Lamb 6' driving floating Jump Shot (5 PTS),[203087],1610612754.0,IND,driving floating,,,Lamb,J. Lamb,,,,,6.77,Made,5.0,,,,,,,,,,,,,,,,,,
129,PT01M42.00S,2022-01-11T01:01:10.2Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,17,13,2022-01-11T01:01:32Z,1270000,,,0,,J. Tatum offensive FOUL (1 PF),"[1628369, 1629052]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,202058.0,1.0,0.0,,,,,Brissett,1629052.0,,,,,,,,,
131,PT01M42.00S,2022-01-11T01:01:10.2Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,17,13,2022-01-11T01:01:10Z,1290000,,,0,,J. Tatum offensive foul TURNOVER (2 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,202058.0,,,,,,,,,2.0,,,,,,,,
132,PT01M22.00S,2022-01-11T01:01:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,11.12023653088042,51.225490196078425,1610612754,17,13,2022-01-11T01:01:47Z,1300000,-6.0,52.0,1,left,MISS D. Sabonis Layup,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,5.24,Missed,,,,,,,,,,,,,,,,,,,
133,PT01M20.00S,2022-01-11T01:01:42.9Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,17,13,2022-01-11T01:01:47Z,1310000,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,132.0,4.0,3.0,1.0,,,,,,,,,,,
134,PT01M19.00S,2022-01-11T01:01:43.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627734,9.411957950065702,52.450980392156865,1610612754,17,13,2022-01-11T01:01:55Z,1320000,-12.0,36.0,1,left,MISS D. Sabonis putback Layup,[1627734],1610612754.0,IND,putback,,,Sabonis,D. Sabonis,,,,,3.8,Missed,,,,,,,,,,,,,,,,,,,
135,PT01M19.00S,2022-01-11T01:01:43.0Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,17,13,2022-01-11T01:01:55Z,1330000,,,0,,D. Sabonis REBOUND (Off:2 Def:3),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,134.0,5.0,3.0,2.0,,,,,,,,,,,
136,PT01M19.00S,2022-01-11T01:01:53.0Z,1,REGULAR,foul,personal,[],202683,,,1610612754,17,13,2022-01-11T01:02:04Z,1340000,,,0,,E. Freedom personal FOUL (1 PF),"[202683, 1627734]",1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,202007.0,1.0,0.0,,,,,Sabonis,1627734.0,,,,,,,,,
138,PT01M06.00S,2022-01-11T01:02:23.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627734,9.674770039421814,51.225490196078425,1610612754,17,13,2022-01-11T01:02:37Z,1360000,-6.0,38.0,1,left,MISS D. Sabonis driving Layup - blocked,"[1627734, 202683]",1610612754.0,IND,driving,,,Sabonis,D. Sabonis,,,,,3.89,Missed,,,,,,,,,,,,,,,,,Freedom,202683.0,
139,PT01M06.00S,2022-01-11T01:02:23.9Z,1,REGULAR,block,,[],202683,,,1610612754,17,13,2022-01-11T01:09:46Z,1370000,,,0,,E. Freedom BLOCK (1 BLK),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M04.00S,2022-01-11T01:02:25.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,17,13,2022-01-11T01:02:37Z,1380000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,138.0,3.0,3.0,0.0,,,,,,,,,,,
141,PT01M02.00S,2022-01-11T01:02:27.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,91.40932982917214,48.28431372549019,1610612738,19,13,2022-01-11T01:02:42Z,1390000,-9.0,28.0,1,right,J. Tatum running finger roll Layup (4 PTS),[1628369],1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,2.96,Made,4.0,,,,,,,,,,,,,,,,,,
142,PT00M47.10S,2022-01-11T01:02:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203087,5.338370565045992,52.94117647058824,1610612754,19,15,2022-01-11T01:02:55Z,1400000,-15.0,-2.0,1,left,J. Lamb cutting finger roll Layup (7 PTS),[203087],1610612754.0,IND,cutting finger roll,,,Lamb,J. Lamb,,,,,1.49,Made,7.0,,,,,,,,,,,,,,,,,,
143,PT00M36.40S,2022-01-11T01:03:02.0Z,1,REGULAR,foul,personal,[],1628470,,,1610612738,19,15,2022-01-11T01:03:09Z,1410000,,,0,,T. Craig personal FOUL (1 PF),"[1628470, 1628369]",1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,203591.0,1.0,0.0,,,,,Tatum,1628369.0,,,,,,,,,
145,PT00M28.90S,2022-01-11T01:03:28.4Z,1,REGULAR,3pt,Jump Shot,[],1629684,83.65637319316689,94.85294117647058,1610612738,19,15,2022-01-11T01:03:37Z,1430000,224.0,101.0,1,right,MISS G. Williams 24' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,,
146,PT00M26.00S,2022-01-11T01:03:31.3Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,19,15,2022-01-11T01:03:37Z,1440000,,,0,,E. Freedom REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,145.0,1.0,0.0,1.0,,,,,,,,,,,
147,PT00M26.00S,2022-01-11T01:03:31.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202683,90.62089356110381,49.50980392156863,1610612738,21,15,2022-01-11T01:03:42Z,1450000,-2.0,36.0,1,right,E. Freedom putback Layup (2 PTS),[202683],1610612738.0,BOS,putback,,,Freedom,E. Freedom,,,,,3.58,Made,2.0,,,,,,,,,,,,,,,,,,
148,PT00M12.20S,2022-01-11T01:03:47.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202362,6.389618922470433,45.588235294117645,1610612754,21,17,2022-01-11T01:03:53Z,1460000,22.0,8.0,1,left,L. Stephenson driving Layup (2 PTS),[202362],1610612754.0,IND,driving,,,Stephenson,L. Stephenson,,,,,2.34,Made,2.0,,,,,,,,,,,,,,,,,,
149,PT00M02.60S,2022-01-11T01:04:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,81.94809461235218,59.068627450980394,1610612738,21,17,2022-01-11T01:04:12Z,1470000,45.0,117.0,1,right,MISS D. Schroder 12' turnaround Shot,[203471],1610612738.0,BOS,turnaround,,,Schroder,D. Schroder,,,,,12.57,Missed,,,,,,,,,,,,,,,,,,,
150,PT00M00.60S,2022-01-11T01:04:04.3Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,21,17,2022-01-11T01:04:04Z,1480000,,,0,,E. Freedom REBOUND (Off:2 Def:0),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,149.0,2.0,0.0,2.0,,,,,,,,,,,
151,PT00M00.60S,2022-01-11T01:04:04.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202683,91.40932982917214,45.09803921568628,1610612738,23,17,2022-01-11T01:04:15Z,1490000,-25.0,28.0,1,right,E. Freedom putback Layup (4 PTS),[202683],1610612738.0,BOS,putback,,,Freedom,E. Freedom,,,,,3.74,Made,4.0,,,,,,,,,,,,,,,,,,
152,PT00M00.00S,2022-01-11T01:04:10.3Z,1,REGULAR,period,end,[],0,,,1610612754,23,17,2022-01-11T01:04:10Z,1500000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-01-11T01:06:55.8Z,2,REGULAR,period,start,[],0,,,1610612754,23,17,2022-01-11T01:06:55Z,1510000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT11M47.00S,2022-01-11T01:07:10.4Z,2,REGULAR,foul,personal,[],203471,,,1610612754,23,17,2022-01-11T01:07:18Z,1520000,,,0,,D. Schroder personal FOUL (1 PF),"[203471, 203087]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,202058.0,1.0,0.0,,,,,Lamb,203087.0,,,,,,,,,
156,PT11M40.00S,2022-01-11T01:07:36.5Z,2,REGULAR,foul,personal,['2freethrow'],202683,,,1610612754,23,17,2022-01-11T01:07:51Z,1540000,,,0,,E. Freedom shooting personal FOUL (2 PF) (Stephenson 2 FT),"[202683, 202362]",1610612738.0,BOS,shooting,,,Freedom,E. Freedom,,,,,,,,202058.0,2.0,0.0,,,,,Stephenson,202362.0,,,,,,,,,
158,PT11M40.00S,2022-01-11T01:07:56.6Z,2,REGULAR,freethrow,1 of 2,[],202362,,,1610612754,23,17,2022-01-11T01:07:56Z,1560000,,,0,,MISS L. Stephenson Free Throw 1 of 2,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
159,PT11M40.00S,2022-01-11T01:07:56.6Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,23,17,2022-01-11T01:07:56Z,1570000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,
160,PT11M40.00S,2022-01-11T01:08:06.7Z,2,REGULAR,freethrow,2 of 2,[],202362,,,1610612754,23,18,2022-01-11T01:08:06Z,1580000,,,0,,L. Stephenson Free Throw 2 of 2 (3 PTS),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
161,PT11M23.00S,2022-01-11T01:08:26.6Z,2,REGULAR,3pt,Jump Shot,[],203471,66.17936925098554,57.35294117647059,1610612738,23,18,2022-01-11T01:08:42Z,1590000,37.0,265.0,1,right,MISS D. Schroder 26' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,,
162,PT11M21.00S,2022-01-11T01:08:28.6Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612754,23,18,2022-01-11T01:08:42Z,1600000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,
163,PT11M21.00S,2022-01-11T01:08:32.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,23,18,2022-01-11T01:08:32Z,1610000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT11M02.00S,2022-01-11T01:08:54.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203087,18.2161629434954,62.745098039215684,1610612754,23,18,2022-01-11T01:09:07Z,1620000,-64.0,119.0,1,left,MISS J. Lamb 13' turnaround fadeaway Shot,[203087],1610612754.0,IND,turnaround fadeaway,,,Lamb,J. Lamb,,,,,13.47,Missed,,,,,,,,,,,,,,,,,,,
165,PT10M59.00S,2022-01-11T01:08:57.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,18,2022-01-11T01:09:07Z,1630000,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,164.0,4.0,4.0,0.0,,,,,,,,,,,
166,PT10M47.00S,2022-01-11T01:09:10.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202683,91.01511169513797,46.07843137254902,1610612738,25,18,2022-01-11T01:09:22Z,1640000,-20.0,32.0,1,right,E. Freedom running finger roll Layup (6 PTS) (J. Tatum 1 AST),"[202683, 1628369]",1610612738.0,BOS,running finger roll,,,Freedom,E. Freedom,,,,,3.75,Made,6.0,,,,,,,,,,,J. Tatum,1628369.0,1.0,,,,,
168,PT10M30.00S,2022-01-11T01:09:27.4Z,2,REGULAR,2pt,Jump Shot,[],202362,25.837713534822605,55.63725490196079,1610612754,25,18,2022-01-11T01:12:59Z,1660000,-28.0,190.0,1,left,MISS L. Stephenson 19' pullup Shot,[202362],1610612754.0,IND,pullup,,,Stephenson,L. Stephenson,,,,,19.25,Missed,,,,,,,,,,,,,,,,,,,
169,PT10M28.00S,2022-01-11T01:09:29.4Z,2,REGULAR,rebound,defensive,[],203471,,,1610612738,25,18,2022-01-11T01:09:35Z,1670000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,168.0,1.0,1.0,0.0,,,,,,,,,,,
170,PT10M22.00S,2022-01-11T01:09:37.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1626196,88.91261498028909,50.245098039215684,1610612738,27,18,2022-01-11T01:09:48Z,1680000,1.0,52.0,1,right,J. Richardson turnaround Jump Shot (2 PTS),[1626196],1610612738.0,BOS,turnaround,,,Richardson,J. Richardson,,,,,5.17,Made,2.0,,,,,,,,,,,,,,,,,,
171,PT10M20.00S,2022-01-11T01:09:43.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,27,18,2022-01-11T01:09:43Z,1690000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT10M20.00S,2022-01-11T01:12:02.3Z,2,REGULAR,substitution,out,[],202362,,,1610612754,27,18,2022-01-11T01:12:29Z,1700000,,,0,,SUB out: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT10M20.00S,2022-01-11T01:12:02.3Z,2,REGULAR,substitution,out,[],1629052,,,1610612754,27,18,2022-01-11T01:12:29Z,1710000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT10M20.00S,2022-01-11T01:12:02.3Z,2,REGULAR,substitution,out,[],1628470,,,1610612754,27,18,2022-01-11T01:12:29Z,1720000,,,0,,SUB out: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
