actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
76,PT11M19.00S,2024-11-10T03:44:46.6Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,0,1,2024-11-10T03:55:17Z,138750,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Zubac,I. Zubac,74.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M16.00S,2024-11-10T03:44:58.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627826,7.178055190538765,50.49019607843137,1610612746,2,1,2024-11-10T03:55:17Z,140000,False,-2.0,15.0,1,left,I. Zubac turnaround Hook (2 PTS),[1627826],1610612746.0,LAC,turnaround,,,,,,Restricted Area,0-8 Center,1.52,Made,Zubac,I. Zubac,,,,,,,,,,2.0,,,,,,,,
15,PT10M55.00S,2024-11-10T03:45:18.2Z,1,REGULAR,3pt,Jump Shot,[],1630534,88.78120893561103,2.941176470588235,1610612761,2,1,2024-11-10T03:45:22Z,150000,False,-235.0,53.0,1,right,MISS O. Agbaji 24' 3PT,[1630534],1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,24.12,Missed,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,
16,PT10M53.00S,2024-11-10T03:45:20.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,1,2024-11-10T03:48:35Z,160000,False,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,,,,Left Corner 3,24+ Left,,,Zubac,I. Zubac,15.0,2.0,1.0,1.0,,,,,,,,,,,,,,
17,PT10M49.00S,2024-11-10T03:45:27.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626181,26.49474375821288,76.9607843137255,1610612746,5,1,2024-11-10T03:45:34Z,170000,False,-135.0,197.0,1,left,N. Powell 3PT running pullup (3 PTS) (J. Harden 1 AST),"[1626181, 201935]",1610612746.0,LAC,running pullup,,,,,,Mid-Range,24+ Left Center,23.84,Made,Powell,N. Powell,,,,,,,,,,3.0,,,J. Harden,201935.0,1.0,,,
19,PT10M49.00S,2024-11-10T03:45:30.8Z,1,REGULAR,foul,personal,['1freethrow'],1630534,,,1610612746,5,1,2024-11-10T03:45:45Z,190000,False,,,0,,O. Agbaji shooting personal FOUL (1 PF) (Powell 1 FT),"[1630534, 1626181]",1610612761.0,TOR,shooting,,,,,,Mid-Range,24+ Left Center,,,Agbaji,O. Agbaji,,,,,1204.0,1.0,0.0,Powell,1626181.0,,,,,,,,,
21,PT10M49.00S,2024-11-10T03:45:56.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1626181,,,1610612746,6,1,2024-11-10T03:45:56Z,210000,False,,,0,,N. Powell Free Throw 1 of 1 (4 PTS),[1626181],1610612746.0,LAC,,,,,,,,,,Made,Powell,N. Powell,,,,,,,,,,4.0,,,,,,,,
22,PT10M37.00S,2024-11-10T03:46:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,86.28449408672799,47.30392156862745,1610612761,6,3,2024-11-10T03:46:17Z,220000,False,-13.0,76.0,1,right,I. Quickley 7' driving floating Jump Shot (2 PTS),[1630193],1610612761.0,TOR,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.76,Made,Quickley,I. Quickley,,,,,,,,,,2.0,,,,,,,,
23,PT10M12.00S,2024-11-10T03:46:36.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,6.389618922470433,51.225490196078425,1610612746,8,3,2024-11-10T03:46:40Z,230000,False,-6.0,8.0,1,left,I. Zubac driving reverse Layup (4 PTS),[1627826],1610612746.0,LAC,driving reverse,,,,,,Restricted Area,0-8 Center,0.97,Made,Zubac,I. Zubac,,,,,,,,,,4.0,,,,,,,,
24,PT09M56.00S,2024-11-10T03:46:54.7Z,1,REGULAR,foul,personal,['2freethrow'],1627884,,,1610612761,8,3,2024-11-10T03:47:00Z,240000,False,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Dick 2 FT),"[1627884, 1641711]",1610612746.0,LAC,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,Jones Jr.,D. Jones Jr.,,,,,2534.0,1.0,0.0,Dick,1641711.0,,,,,,,,,
26,PT09M56.00S,2024-11-10T03:47:19.8Z,1,REGULAR,freethrow,1 of 2,[],1641711,,,1610612761,8,4,2024-11-10T03:47:19Z,260000,False,,,0,,G. Dick Free Throw 1 of 2 (2 PTS),[1641711],1610612761.0,TOR,,,,,,,,,,Made,Dick,G. Dick,,,,,,,,,,2.0,,,,,,,,
27,PT09M56.00S,2024-11-10T03:47:32.9Z,1,REGULAR,freethrow,2 of 2,[],1641711,,,1610612761,8,5,2024-11-10T03:47:32Z,270000,False,,,0,,G. Dick Free Throw 2 of 2 (3 PTS),[1641711],1610612761.0,TOR,,,,,,,,,,Made,Dick,G. Dick,,,,,,,,,,3.0,,,,,,,,
28,PT09M37.00S,2024-11-10T03:47:51.5Z,1,REGULAR,3pt,Jump Shot,[],1627884,12.434296977660972,95.58823529411765,1610612746,8,5,2024-11-10T03:47:57Z,280000,False,-228.0,64.0,1,left,MISS D. Jones Jr. 3PT,[1627884],1610612746.0,LAC,,,,,,,Left Corner 3,24+ Left,23.68,Missed,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,
29,PT09M34.00S,2024-11-10T03:47:54.5Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612761,8,5,2024-11-10T03:47:57Z,290000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:1),[1630534],1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,,,Agbaji,O. Agbaji,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M32.00S,2024-11-10T03:47:58.9Z,1,REGULAR,foul,personal,[],1627884,,,1610612761,8,5,2024-11-10T03:48:23Z,300000,False,,,0,,D. Jones Jr. personal FOUL (2 PF),"[1627884, 1629628]",1610612746.0,LAC,,,,,,,Mid-Range,16-24 Right Center,,,Jones Jr.,D. Jones Jr.,,,,,202007.0,2.0,0.0,Barrett,1629628.0,,,,,,,,,
32,PT09M27.00S,2024-11-10T03:48:36.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630193,86.46517739816032,37.997855392156865,1610612761,8,5,2024-11-10T03:49:53Z,320000,False,-60.0,75.0,1,right,MISS I. Quickley 9' driving Layup,[1630193],1610612761.0,TOR,driving,,,,,,In The Paint (Non-RA),8-16 Left,9.58,Missed,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,
33,PT09M25.00S,2024-11-10T03:48:38.5Z,1,REGULAR,rebound,offensive,[],1630534,,,1610612761,8,5,2024-11-10T03:49:39Z,330000,False,,,0,,O. Agbaji REBOUND (Off:1 Def:1),[1630534],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,,,Agbaji,O. Agbaji,32.0,2.0,1.0,1.0,,,,,,,,,,,,,,
34,PT09M23.00S,2024-11-10T03:48:41.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630534,94.40999984741211,50.0,1610612761,8,7,2024-11-10T03:49:50Z,340000,False,0.0,0.0,1,right,O. Agbaji putback Layup (2 PTS),[1630534],1610612761.0,TOR,putback,,,,,,Restricted Area,0-8 Center,0.0,Made,Agbaji,O. Agbaji,,,,,,,,,,2.0,,,,,,,,
35,PT08M55.00S,2024-11-10T03:49:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.1268068331143235,53.18627450980392,1610612746,8,7,2024-11-10T03:49:14Z,350000,False,-16.0,5.0,1,left,MISS J. Harden driving Layup,[201935],1610612746.0,LAC,driving,,,,,,Restricted Area,0-8 Center,1.67,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,
36,PT08M53.00S,2024-11-10T03:49:10.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,8,7,2024-11-10T03:49:22Z,360000,False,,,0,,J. Pöltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,,,,Restricted Area,0-8 Center,,,Pöltl,J. Pöltl,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M43.00S,2024-11-10T03:49:21.6Z,1,REGULAR,2pt,Jump Shot,[],1641711,96.27135348226018,72.54901960784314,1610612761,8,7,2024-11-10T03:50:50Z,370000,False,113.0,-17.0,1,right,MISS G. Dick 11' pullup Shot,[1641711],1610612761.0,TOR,pullup,,,,,,Mid-Range,8-16 Right,11.41,Missed,Dick,G. Dick,,,,,,,,,,,,,,,,,,
38,PT08M41.00S,2024-11-10T03:49:23.6Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,8,7,2024-11-10T03:50:50Z,380000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,,,,Mid-Range,8-16 Right,,,Mann,T. Mann,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M27.00S,2024-11-10T03:49:35.2Z,1,REGULAR,3pt,Jump Shot,[],1626181,19.136005256241788,93.62745098039215,1610612746,11,7,2024-11-10T03:51:09Z,390000,False,-218.0,127.0,1,left,N. Powell 25' 3PT step back (7 PTS),[1626181],1610612746.0,LAC,step back,,,,,,Above the Break 3,24+ Left Center,25.26,Made,Powell,N. Powell,,,,,,,,,,7.0,,,,,,,,
40,PT08M14.00S,2024-11-10T03:49:51.9Z,1,REGULAR,3pt,Jump Shot,[],1630193,91.06438896189225,3.699448529411765,1610612761,11,7,2024-11-10T03:52:23Z,400000,False,-232.0,31.0,1,right,MISS I. Quickley 3PT,[1630193],1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,23.36,Missed,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,
41,PT08M12.00S,2024-11-10T03:49:53.9Z,1,REGULAR,rebound,offensive,[],1630534,,,1610612761,11,7,2024-11-10T03:51:31Z,410000,False,,,0,,O. Agbaji REBOUND (Off:2 Def:1),[1630534],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,,Agbaji,O. Agbaji,40.0,3.0,1.0,2.0,,,,,,,,,,,,,,
42,PT08M11.00S,2024-11-10T03:50:00.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630534,94.40999984741211,50.0,1610612761,11,9,2024-11-10T03:51:46Z,420000,False,0.0,0.0,1,right,O. Agbaji tip Layup (4 PTS),[1630534],1610612761.0,TOR,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,Agbaji,O. Agbaji,,,,,,,,,,4.0,,,,,,,,
43,PT07M58.00S,2024-11-10T03:50:06.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,11.777266754270697,44.6078431372549,1610612746,11,9,2024-11-10T03:52:09Z,430000,False,27.0,58.0,1,left,MISS I. Zubac 6' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.42,Missed,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,
44,PT07M56.00S,2024-11-10T03:50:08.1Z,1,REGULAR,rebound,offensive,[],1629611,,,1610612746,11,9,2024-11-10T03:52:09Z,440000,False,,,0,,T. Mann REBOUND (Off:1 Def:1),[1629611],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Mann,T. Mann,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,
45,PT07M54.00S,2024-11-10T03:50:11.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626181,34.11629434954008,18.38235294117647,1610612746,11,9,2024-11-10T03:52:36Z,450000,False,158.0,268.0,1,left,MISS N. Powell 31' 3PT,[1626181],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,31.13,Missed,Powell,N. Powell,,,,,,,,,,,,,,,,,,
46,PT07M52.00S,2024-11-10T03:50:13.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,11,9,2024-11-10T03:52:36Z,460000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,,,,,45.0,,,,,,,,,,,,,,,,,
48,PT07M43.00S,2024-11-10T03:50:29.1Z,1,REGULAR,foul,personal,['2freethrow'],1627884,,,1610612761,11,9,2024-11-10T03:50:37Z,480000,False,,,0,,D. Jones Jr. shooting personal FOUL (3 PF) (Pöltl 2 FT),"[1627884, 1627751]",1610612746.0,LAC,shooting,,,,,,Restricted Area,0-8 Center,,,Jones Jr.,D. Jones Jr.,,,,,1204.0,3.0,0.0,Pöltl,1627751.0,,,,,,,,,
50,PT07M43.00S,2024-11-10T03:51:02.0Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612761,11,10,2024-11-10T03:51:39Z,500000,False,,,0,,J. Pöltl Free Throw 1 of 2 (1 PTS),[1627751],1610612761.0,TOR,,,,,,,,,,Made,Pöltl,J. Pöltl,,,,,,,,,,1.0,,,,,,,,
51,PT07M43.00S,2024-11-10T03:51:12.3Z,1,REGULAR,substitution,out,[],1627884,,,1610612761,11,10,2024-11-10T03:51:18Z,510000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612746.0,LAC,,,,,,,,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,
52,PT07M43.00S,2024-11-10T03:51:12.3Z,1,REGULAR,substitution,in,[],1627739,,,1610612761,11,10,2024-11-10T03:51:18Z,520000,False,,,0,,SUB in: K. Dunn,[1627739],1610612746.0,LAC,,,,,,,,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,
53,PT07M43.00S,2024-11-10T03:51:02.0Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612761,11,10,2024-11-10T03:51:39Z,530000,False,,,0,,MISS J. Pöltl Free Throw 2 of 2,[1627751],1610612761.0,TOR,,,,,,,,,,Missed,Pöltl,J. Pöltl,,,,,,,,,,,,,,,,,,
54,PT07M40.00S,2024-11-10T03:51:05.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,11,10,2024-11-10T03:51:39Z,540000,False,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,,,,,,,,Zubac,I. Zubac,53.0,3.0,2.0,1.0,,,,,,,,,,,,,,
55,PT07M32.00S,2024-11-10T03:51:37.9Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612746,11,10,2024-11-10T03:51:41Z,550000,False,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1629628]",1610612746.0,LAC,,,,,,,Mid-Range,8-16 Center,,,Harden,J. Harden,,,,,,,,,,,,,,,,1.0,Barrett,1629628.0
56,PT07M32.00S,2024-11-10T03:51:37.9Z,1,REGULAR,steal,,[],1629628,,,1610612761,11,10,2024-11-10T03:51:40Z,560000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,,,,Mid-Range,8-16 Center,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
57,PT07M22.00S,2024-11-10T03:51:47.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630193,89.96386333771353,33.82352941176471,1610612761,11,10,2024-11-10T03:51:54Z,570000,False,-81.0,42.0,1,right,MISS I. Quickley 9' driving floating bank Shot,[1630193],1610612761.0,TOR,driving floating bank,,,,,,Mid-Range,8-16 Left,9.11,Missed,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,
58,PT07M21.00S,2024-11-10T03:51:48.4Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,11,10,2024-11-10T03:56:09Z,580000,False,,,0,,J. Pöltl REBOUND (Off:1 Def:1),[1627751],1610612761.0,TOR,,,,,,,Mid-Range,8-16 Left,,,Pöltl,J. Pöltl,57.0,2.0,1.0,1.0,,,,,,,,,,,,,,
59,PT07M20.00S,2024-11-10T03:51:53.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627751,94.40999984741211,50.0,1610612761,11,12,2024-11-10T03:56:13Z,590000,False,0.0,0.0,1,right,J. Pöltl tip Layup (3 PTS),[1627751],1610612761.0,TOR,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,Pöltl,J. Pöltl,,,,,,,,,,3.0,,,,,,,,
60,PT07M11.00S,2024-11-10T03:52:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,7.5722733245729295,55.63725490196079,1610612746,11,12,2024-11-10T03:56:52Z,600000,False,-28.0,19.0,1,left,MISS N. Powell driving Layup,[1626181],1610612746.0,LAC,driving,,,,,,Restricted Area,0-8 Center,3.38,Missed,Powell,N. Powell,,,,,,,,,,,,,,,,,,
61,PT07M09.00S,2024-11-10T03:52:03.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,11,12,2024-11-10T03:56:52Z,610000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,,,60.0,,,,,,,,,,,,,,,,,
63,PT07M08.00S,2024-11-10T03:52:24.5Z,1,REGULAR,foul,personal,[],1630193,,,1610612746,11,12,2024-11-10T03:52:33Z,630000,False,,,0,,I. Quickley personal FOUL (1 PF),"[1630193, 201935]",1610612761.0,TOR,,,,,,,Mid-Range,8-16 Left,,,Quickley,I. Quickley,,,,,2534.0,1.0,0.0,Harden,201935.0,,,,,,,,,
65,PT07M08.00S,2024-11-10T03:52:39.8Z,1,REGULAR,substitution,out,[],1630193,,,1610612746,11,12,2024-11-10T03:52:45Z,650000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,,,,,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,
66,PT07M08.00S,2024-11-10T03:52:39.8Z,1,REGULAR,substitution,in,[],1630558,,,1610612746,11,12,2024-11-10T03:52:45Z,660000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612761.0,TOR,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
67,PT07M02.00S,2024-11-10T03:53:00.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201935,29.6484888304862,25.98039215686275,1610612746,11,12,2024-11-10T03:53:04Z,670000,False,120.0,226.0,1,left,MISS J. Harden 25' 3PT,[201935],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,25.61,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,
68,PT07M00.00S,2024-11-10T03:53:02.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,11,12,2024-11-10T03:57:26Z,680000,False,,,0,,J. Pöltl REBOUND (Off:1 Def:2),[1627751],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,,,Pöltl,J. Pöltl,67.0,3.0,2.0,1.0,,,,,,,,,,,,,,
69,PT06M48.00S,2024-11-10T03:53:13.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,83.52496714848883,48.529411764705884,1610612761,11,12,2024-11-10T03:53:17Z,690000,False,-7.0,102.0,1,right,MISS D. Mitchell 10' driving floating Shot,[1630558],1610612761.0,TOR,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.27,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
70,PT06M46.00S,2024-11-10T03:53:15.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,11,12,2024-11-10T03:53:17Z,700000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,Harden,J. Harden,69.0,2.0,2.0,0.0,,,,,,,,,,,,,,
71,PT06M34.00S,2024-11-10T03:53:28.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,8.886333771353483,38.48039215686275,1610612746,13,12,2024-11-10T03:53:37Z,710000,False,58.0,31.0,1,left,I. Zubac 6' driving bank Hook (6 PTS) (J. Harden 2 AST),"[1627826, 201935]",1610612746.0,LAC,driving bank,,,,,,In The Paint (Non-RA),0-8 Center,6.54,Made,Zubac,I. Zubac,,,,,,,,,,6.0,,,J. Harden,201935.0,2.0,,,
73,PT06M28.00S,2024-11-10T03:53:40.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,13,12,2024-11-10T03:53:40Z,730000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M12.00S,2024-11-10T03:56:53.1Z,1,REGULAR,2pt,Jump Shot,[],1630534,90.88370565045992,24.264705882352942,1610612761,13,14,2024-11-10T03:56:58Z,740000,False,-129.0,33.0,1,right,O. Agbaji 13' fadeaway Jump Shot (6 PTS) (R. Barrett 1 AST),"[1630534, 1629628]",1610612761.0,TOR,fadeaway,,,,,,Mid-Range,8-16 Left,13.29,Made,Agbaji,O. Agbaji,,,,,,,,,,6.0,,,R. Barrett,1629628.0,1.0,,,
80,PT05M50.00S,2024-11-10T03:57:14.6Z,1,REGULAR,3pt,Jump Shot,[],1626181,13.222733245729303,2.941176470588235,1610612746,13,14,2024-11-10T03:57:18Z,760000,False,235.0,72.0,1,left,MISS N. Powell 24' step back 3PT,[1626181],1610612746.0,LAC,step back,,,,,,Right Corner 3,24+ Right,24.6,Missed,Powell,N. Powell,,,,,,,,,,,,,,,,,,
81,PT05M48.00S,2024-11-10T03:57:16.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,13,14,2024-11-10T03:57:18Z,770000,False,,,0,,J. Pöltl REBOUND (Off:1 Def:3),[1627751],1610612761.0,TOR,,,,,,,Right Corner 3,24+ Right,,,Pöltl,J. Pöltl,80.0,4.0,3.0,1.0,,,,,,,,,,,,,,
82,PT05M37.00S,2024-11-10T03:57:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.9862023653088,42.64705882352941,1610612761,13,14,2024-11-10T03:57:30Z,780000,False,-37.0,13.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612761.0,TOR,driving,,,,,,Restricted Area,0-8 Center,3.92,Missed,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,
83,PT05M36.00S,2024-11-10T03:57:28.9Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,13,14,2024-11-10T03:57:30Z,790000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Dunn,K. Dunn,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,
