actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
70,PT06M03.00S,2024-11-07T03:27:32.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626162,,,1610612746,12,13,2024-11-07T03:27:39Z,660000,False,,,0,,K. Oubre Jr. personal FOUL (2 PF) (Powell 2 FT),"[1626162, 1626181]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,202901.0,,2.0,0.0,Powell,1626181.0,,,,,,,,,,,,,,
72,PT06M03.00S,2024-11-07T03:27:57.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626181,,,1610612746,13,13,2024-11-07T03:27:57Z,680000,False,,,0,,N. Powell Free Throw 1 of 2 (3 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,
73,PT06M03.00S,2024-11-07T03:27:58.2Z,1,REGULAR,substitution,out,[],1626162,,,1610612746,13,13,2024-11-07T03:28:03Z,690000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M03.00S,2024-11-07T03:27:58.2Z,1,REGULAR,substitution,in,[],201569,,,1610612746,13,13,2024-11-07T03:28:03Z,700000,False,,,0,,SUB in: E. Gordon,[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M03.00S,2024-11-07T03:28:20.9Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,13,13,2024-11-07T03:28:23Z,710000,False,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M03.00S,2024-11-07T03:28:20.9Z,1,REGULAR,substitution,in,[],1630539,,,1610612746,13,13,2024-11-07T03:28:23Z,720000,False,,,0,,SUB in: K. Jones,[1630539],1610612746.0,LAC,,,,Jones,K. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M03.00S,2024-11-07T03:28:40.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626181,,,1610612746,14,13,2024-11-07T03:28:40Z,730000,False,,,0,,N. Powell Free Throw 2 of 2 (4 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,
78,PT05M42.00S,2024-11-07T03:29:02.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,9.411957950065702,3.1862745098039214,1610612755,14,16,2024-11-07T03:29:07Z,740000,False,234.0,36.0,1,left,T. Maxey 3PT  (3 PTS) (E. Gordon 1 AST),"[1630178, 201569]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,,,,,,,23.69,Made,3.0,E. Gordon,201569.0,1.0,,,,,,,,
80,PT05M24.00S,2024-11-07T03:29:19.8Z,1,REGULAR,3pt,Jump Shot,[],1626181,70.25295663600527,18.872549019607842,1610612746,17,16,2024-11-07T03:29:26Z,760000,False,-156.0,227.0,1,right,N. Powell 27' 3PT pullup (7 PTS),[1626181],1610612746.0,LAC,pullup,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,,,,,,,27.53,Made,7.0,,,,,,,,,,,
81,PT05M03.00S,2024-11-07T03:29:41.9Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,17,16,2024-11-07T03:29:48Z,770000,False,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 201935]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Right Center,,1.0,,,,,,,,,,,,,,,,,Harden,201935.0
82,PT05M03.00S,2024-11-07T03:29:41.9Z,1,REGULAR,steal,,[],201935,,,1610612746,17,16,2024-11-07T03:32:35Z,780000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
83,PT04M58.00S,2024-11-07T03:29:47.2Z,1,REGULAR,turnover,bad pass,[],1630539,,,1610612746,17,16,2024-11-07T03:29:50Z,790000,False,,,0,,K. Jones bad pass TURNOVER (1 TO),"[1630539, 200768]",1610612746.0,LAC,,,,Jones,K. Jones,,,,,Mid-Range,16-24 Right Center,,1.0,,,,,,,,,,,,,,,,,Lowry,200768.0
84,PT04M58.00S,2024-11-07T03:29:47.2Z,1,REGULAR,steal,,[],200768,,,1610612755,17,16,2024-11-07T03:29:48Z,800000,False,,,0,,K. Lowry STEAL (1 STL),[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
85,PT04M54.00S,2024-11-07T03:29:51.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,25.18068331143233,85.5392156862745,1610612755,17,16,2024-11-07T03:29:56Z,810000,False,-178.0,184.0,1,left,MISS T. Maxey 25' running pullup 3PT,[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,25.59,Missed,,,,,,,,,,,,
86,PT04M51.00S,2024-11-07T03:29:54.2Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,17,16,2024-11-07T03:29:54Z,820000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,85.0,1.0,0.0,1.0,,,,
87,PT04M46.00S,2024-11-07T03:29:58.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",200768,33.196452036793694,47.30392156862745,1610612755,17,16,2024-11-07T03:30:05Z,830000,False,13.0,260.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Center,,,,,,,25.99,Missed,,,,,,,,,,,,
88,PT04M44.00S,2024-11-07T03:30:00.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,17,16,2024-11-07T03:30:05Z,840000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,87.0,,,,,,,
90,PT04M44.00S,2024-11-07T03:30:08.1Z,1,REGULAR,substitution,out,[],203083,,,1610612755,17,16,2024-11-07T03:30:13Z,860000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M44.00S,2024-11-07T03:30:08.1Z,1,REGULAR,substitution,in,[],1627824,,,1610612755,17,16,2024-11-07T03:30:13Z,870000,False,,,0,,SUB in: G. Yabusele,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M36.00S,2024-11-07T03:30:31.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630178,31.750985545335087,72.54901960784314,1610612755,17,16,2024-11-07T03:30:37Z,880000,False,-113.0,246.0,1,left,MISS T. Maxey 27' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,27.06,Missed,,,,,,,,,,,,
93,PT04M32.00S,2024-11-07T03:30:35.5Z,1,REGULAR,rebound,offensive,[],1627824,,,1610612755,17,16,2024-11-07T03:30:37Z,890000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:0),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,92.0,1.0,0.0,1.0,,,,
94,PT04M28.00S,2024-11-07T03:30:39.0Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612755,17,16,2024-11-07T03:30:44Z,900000,False,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 201935]",1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Center,,1.0,,,,,,,,,,,,,,,,,Harden,201935.0
