actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
39,PT08M39.00S,2025-04-06T02:45:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641726,7.440867279894875,55.88235294117647,1610612742,8,4,2025-04-06T02:45:20Z,390000,False,-29.0,17.0,1,left,D. Lively II Layup (2 PTS) (S. Dinwiddie 2 AST),"[1641726, 203915]",1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,3.42,Made,2.0,,S. Dinwiddie,203915.0,2.0,,,,,,,,,,
42,PT08M26.00S,2025-04-06T02:45:39.8Z,1,REGULAR,substitution,out,[],1641726,,,1610612746,8,4,2025-04-06T02:45:42Z,420000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M26.00S,2025-04-06T02:45:39.8Z,1,REGULAR,substitution,in,[],1630230,,,1610612746,8,4,2025-04-06T02:45:42Z,430000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M20.00S,2025-04-06T02:46:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202695,89.04402102496715,49.26470588235294,1610612746,8,4,2025-04-06T02:46:18Z,440000,False,-4.0,50.0,1,right,MISS K. Leonard Layup,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,,5.06,Missed,,,,,,,,,,,,,,,
46,PT08M17.00S,2025-04-06T02:46:13.6Z,1,REGULAR,rebound,offensive,[],202695,,,1610612746,8,4,2025-04-06T02:46:18Z,450000,False,,,0,,K. Leonard REBOUND (Off:1 Def:0),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,45.0,1.0,0.0,1.0,,,,,,
47,PT08M17.00S,2025-04-06T02:46:13.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202695,94.40999984741211,50.0,1610612746,8,4,2025-04-06T02:46:19Z,460000,False,0.0,0.0,1,right,MISS K. Leonard tip Layup,[202695],1610612746.0,LAC,tip,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
48,PT08M16.00S,2025-04-06T02:46:14.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,8,4,2025-04-06T02:46:19Z,470000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,
50,PT08M07.00S,2025-04-06T02:46:23.2Z,1,REGULAR,3pt,Jump Shot,[],203076,33.065045992115635,49.26470588235294,1610612742,8,7,2025-04-06T02:46:27Z,490000,False,4.0,258.0,1,left,A. Davis 25' 3PT  (5 PTS),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,,,,25.83,Made,5.0,,,,,,,,,,,,,,
51,PT07M51.00S,2025-04-06T02:46:39.1Z,1,REGULAR,3pt,Jump Shot,[],201935,65.52233902759527,62.254901960784316,1610612746,8,7,2025-04-06T02:46:45Z,500000,False,61.0,272.0,1,right,MISS J. Harden 27' step back 3PT,[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,27.84,Missed,,,,,,,,,,,,,,,
52,PT07M46.00S,2025-04-06T02:46:44.1Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,8,7,2025-04-06T02:46:45Z,510000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,
53,PT07M39.00S,2025-04-06T02:46:50.7Z,1,REGULAR,3pt,Jump Shot,[],203076,26.10052562417871,85.5392156862745,1610612742,8,7,2025-04-06T02:46:56Z,520000,False,-178.0,193.0,1,left,MISS A. Davis 26' 3PT,[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,26.22,Missed,,,,,,,,,,,,,,,
54,PT07M36.00S,2025-04-06T02:46:53.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,8,7,2025-04-06T02:46:56Z,530000,False,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,53.0,3.0,3.0,0.0,,,,,,
56,PT07M34.00S,2025-04-06T02:46:56.8Z,1,REGULAR,turnover,lost ball,[],1626181,,,1610612746,8,7,2025-04-06T02:47:03Z,540000,False,,,0,,N. Powell lost ball TURNOVER (1 TO),"[1626181, 203076]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,1.0,Davis,203076.0,,,,,,,,,,,,,,,,,
57,PT07M34.00S,2025-04-06T02:46:56.8Z,1,REGULAR,steal,,[],203076,,,1610612742,8,7,2025-04-06T02:46:59Z,550000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
58,PT07M30.00S,2025-04-06T02:47:06.4Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612742,8,7,2025-04-06T02:47:12Z,560000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Davis 2 FT),"[1627826, 203076]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,202035.0,,,,,,,,,,1.0,0.0,Davis,203076.0
60,PT07M30.00S,2025-04-06T02:47:42.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203076,,,1610612742,8,7,2025-04-06T02:47:44Z,580000,False,,,0,,MISS A. Davis Free Throw 1 of 2,[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
61,PT07M30.00S,2025-04-06T02:47:42.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,8,7,2025-04-06T02:47:44Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,
62,PT07M30.00S,2025-04-06T02:47:42.6Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",203076,,,1610612742,8,8,2025-04-06T02:52:45Z,600000,False,,,0,,A. Davis Free Throw 2 of 2 (6 PTS),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
63,PT07M21.00S,2025-04-06T02:48:14.4Z,1,REGULAR,3pt,Jump Shot,[],201935,69.20170827858082,72.54901960784314,1610612746,11,8,2025-04-06T02:48:24Z,610000,False,113.0,237.0,1,right,J. Harden 26' 3PT pullup (7 PTS),[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,26.24,Made,7.0,,,,,,,,,,,,,,
64,PT06M58.00S,2025-04-06T02:48:39.0Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612742,11,8,2025-04-06T02:48:44Z,620000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Davis 2 FT),"[1627739, 203076]",1610612746.0,LAC,shooting,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,,,,2882.0,,,,,,,,,,1.0,0.0,Davis,203076.0
66,PT06M58.00S,2025-04-06T02:49:07.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,11,8,2025-04-06T02:49:07Z,640000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M58.00S,2025-04-06T02:52:05.4Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612742,11,9,2025-04-06T02:52:38Z,650000,False,,,0,,A. Davis Free Throw 1 of 2 (7 PTS),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
68,PT06M58.00S,2025-04-06T02:52:05.4Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612742,11,9,2025-04-06T02:52:38Z,660000,False,,,0,,MISS A. Davis Free Throw 2 of 2,[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
69,PT06M56.00S,2025-04-06T02:52:07.4Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,11,9,2025-04-06T02:52:38Z,670000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,
70,PT06M45.00S,2025-04-06T02:52:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,87.72996057818659,43.872549019607845,1610612746,13,9,2025-04-06T02:52:40Z,680000,False,-31.0,63.0,1,right,K. Leonard 6' driving floating Jump Shot (2 PTS) (K. Dunn 1 AST),"[202695, 1627739]",1610612746.0,LAC,driving floating,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,,6.99,Made,2.0,,K. Dunn,1627739.0,1.0,,,,,,,,,,
73,PT06M24.00S,2025-04-06T02:53:10.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,19.267411300919843,39.705882352941174,1610612742,13,9,2025-04-06T02:53:17Z,710000,False,51.0,129.0,1,left,MISS S. Dinwiddie 13' driving bank Shot,[203915],1610612742.0,DAL,driving bank,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,,13.85,Missed,,,,,,,,,,,,,,,
74,PT06M20.00S,2025-04-06T02:53:14.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,13,9,2025-04-06T02:53:17Z,720000,False,,,0,,I. Zubac REBOUND (Off:0 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,73.0,4.0,4.0,0.0,,,,,,
75,PT06M12.00S,2025-04-06T02:53:24.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202695,87.33574244415243,44.85294117647059,1610612746,15,9,2025-04-06T02:53:50Z,730000,False,-26.0,67.0,1,right,K. Leonard 7' driving Hook (4 PTS),[202695],1610612746.0,LAC,driving,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,,7.13,Made,4.0,,,,,,,,,,,,,,
76,PT05M57.00S,2025-04-06T02:53:38.0Z,1,REGULAR,3pt,Jump Shot,[],203076,26.363337713534822,11.27450980392157,1610612742,15,9,2025-04-06T02:53:41Z,740000,False,194.0,195.0,1,left,MISS A. Davis 27' 3PT,[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Right Center,,,,27.5,Missed,,,,,,,,,,,,,,,
77,PT05M55.00S,2025-04-06T02:53:40.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,15,9,2025-04-06T02:53:40Z,750000,False,,,0,,I. Zubac REBOUND (Off:0 Def:5),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,76.0,5.0,5.0,0.0,,,,,,
78,PT05M55.00S,2025-04-06T02:53:40.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",202695,91.01511169513797,49.01960784313725,1610612746,17,9,2025-04-06T02:53:50Z,760000,False,-5.0,32.0,1,right,K. Leonard running DUNK (6 PTS) (J. Harden 2 AST),"[202695, 201935]",1610612746.0,LAC,running,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,3.24,Made,6.0,,J. Harden,201935.0,2.0,,,,,,,,,,
80,PT05M42.00S,2025-04-06T02:53:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,12.171484888304862,52.20588235294118,1610612742,17,9,2025-04-06T02:53:57Z,780000,False,-11.0,62.0,1,left,MISS A. Davis 6' driving floating bank Shot,[203076],1610612742.0,DAL,driving floating bank,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,6.29,Missed,,,,,,,,,,,,,,,
81,PT05M40.00S,2025-04-06T02:53:55.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,17,9,2025-04-06T02:53:57Z,790000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,
82,PT05M36.00S,2025-04-06T02:54:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,91.93495400788436,49.50980392156863,1610612746,19,9,2025-04-06T02:54:57Z,800000,False,-2.0,23.0,1,right,J. Harden driving Layup (9 PTS),[201935],1610612746.0,LAC,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,2.34,Made,9.0,,,,,,,,,,,,,,
83,PT05M36.00S,2025-04-06T02:54:04.4Z,1,REGULAR,foul,personal,['1freethrow'],203076,,,1610612746,19,9,2025-04-06T02:54:13Z,810000,False,,,0,,A. Davis shooting personal FOUL (1 PF) (Harden 1 FT),"[203076, 201935]",1610612742.0,DAL,shooting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,202035.0,,,,,,,,,,1.0,0.0,Harden,201935.0
85,PT05M36.00S,2025-04-06T02:54:15.0Z,1,REGULAR,substitution,out,[],203076,,,1610612746,19,9,2025-04-06T02:54:57Z,830000,False,,,0,,SUB out: A. Davis,[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M36.00S,2025-04-06T02:54:15.0Z,1,REGULAR,substitution,in,[],1630539,,,1610612746,19,9,2025-04-06T02:54:57Z,840000,False,,,0,,SUB in: K. Jones,[1630539],1610612742.0,DAL,,,,Jones,K. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M36.00S,2025-04-06T02:54:15.0Z,1,REGULAR,substitution,out,[],202691,,,1610612746,19,9,2025-04-06T02:56:39Z,845000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M36.00S,2025-04-06T02:54:15.0Z,1,REGULAR,substitution,in,[],1631108,,,1610612746,19,9,2025-04-06T02:56:39Z,847500,False,,,0,,SUB in: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M36.00S,2025-04-06T02:54:39.8Z,1,REGULAR,freethrow,1 of 1,[],201935,,,1610612746,20,9,2025-04-06T02:54:39Z,850000,False,,,0,,J. Harden Free Throw 1 of 1 (10 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,
