actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M02.00S,2023-12-14T00:41:49.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,4,0,2023-12-14T00:41:51Z,150000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M43.00S,2023-12-14T00:42:20.5Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612761,4,0,2023-12-14T00:42:25Z,170000,False,,,0,,J. Poeltl bad pass TURNOVER (1 TO),"[1627751, 202083]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Matthews,202083.0,,,,,,,,,
18,PT10M43.00S,2023-12-14T00:42:20.5Z,1,REGULAR,steal,,[],202083,,,1610612737,4,0,2023-12-14T00:42:23Z,180000,False,,,0,,W. Matthews STEAL (1 STL),[202083],1610612737.0,ATL,,,,Matthews,W. Matthews,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2023-12-14T00:42:24.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202083,6.1268068331143235,50.98039215686274,1610612737,4,0,2023-12-14T00:42:30Z,190000,False,-5.0,5.0,1,left,MISS W. Matthews running Layup - blocked,"[202083, 203471]",1610612737.0,ATL,running,,,Matthews,W. Matthews,,,,,Restricted Area,0-8 Center,0.71,Missed,,,,,,,,,,Schroder,203471.0,,,,,,,
20,PT10M39.00S,2023-12-14T00:42:24.6Z,1,REGULAR,block,,[],203471,,,1610612737,4,0,2023-12-14T00:42:27Z,200000,False,,,0,,D. Schroder BLOCK (1 BLK),[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M36.00S,2023-12-14T00:42:27.6Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,4,0,2023-12-14T00:42:30Z,210000,False,,,0,,S. Barnes REBOUND (Off:1 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,19.0,3.0,2.0,1.0,,,,,,,,,,,,
22,PT10M32.00S,2023-12-14T00:42:31.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627751,93.38042049934296,52.450980392156865,1610612761,6,0,2023-12-14T00:42:36Z,220000,False,12.0,10.0,1,right,J. Poeltl running Layup (2 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,running,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.57,Made,2.0,,,,,,,,,,,S. Barnes,1630567.0,1.0,,,,
24,PT10M15.00S,2023-12-14T00:42:48.1Z,1,REGULAR,2pt,Jump Shot,[],1627749,12.171484888304862,74.26470588235294,1610612737,6,2,2023-12-14T00:42:56Z,240000,False,-121.0,62.0,1,left,D. Murray 13' pullup Jump Shot (2 PTS) (T. Young 1 AST),"[1627749, 1629027]",1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,13.62,Made,2.0,,,,,,,,,,,T. Young,1629027.0,1.0,,,,
26,PT10M01.00S,2023-12-14T00:43:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,89.04402102496715,47.30392156862745,1610612761,6,2,2023-12-14T00:43:20Z,260000,False,-13.0,50.0,1,right,MISS P. Siakam driving finger roll Layup,[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,5.23,Missed,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2023-12-14T00:43:05.3Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,6,2,2023-12-14T00:43:06Z,270000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,
28,PT09M57.00S,2023-12-14T00:43:07.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,91.14651773981603,56.372549019607845,1610612761,8,2,2023-12-14T02:13:31Z,280000,False,32.0,31.0,1,right,P. Siakam putback Layup (2 PTS),[1627783],1610612761.0,TOR,putback,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,4.43,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M48.00S,2023-12-14T00:43:18.0Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612737,8,2,2023-12-14T00:43:28Z,290000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Capela 2 FT),"[1627751, 203991]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,202026.0,,,,,,,,,,,,,1.0,0.0,Capela,203991.0
31,PT09M48.00S,2023-12-14T00:43:38.9Z,1,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,8,3,2023-12-14T00:43:56Z,310000,False,,,0,,C. Capela Free Throw 1 of 2 (1 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
32,PT09M48.00S,2023-12-14T00:43:38.9Z,1,REGULAR,freethrow,2 of 2,[],203991,,,1610612737,8,3,2023-12-14T00:43:56Z,320000,False,,,0,,MISS C. Capela Free Throw 2 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
33,PT09M46.00S,2023-12-14T00:43:40.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,8,3,2023-12-14T00:43:56Z,330000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,
34,PT09M34.00S,2023-12-14T00:44:06.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,87.33574244415243,50.73529411764706,1610612761,8,3,2023-12-14T00:44:13Z,340000,False,4.0,67.0,1,right,MISS S. Barnes 6' turnaround Shot,[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,,,,,,,,,,,,,,,,,,
35,PT09M32.00S,2023-12-14T00:44:08.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,8,3,2023-12-14T00:44:13Z,350000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,
36,PT09M26.00S,2023-12-14T00:44:15.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,31.225361366622867,35.049019607843135,1610612737,8,6,2023-12-14T00:44:33Z,360000,False,75.0,241.0,1,left,D. Murray 25' 3PT running pullup (5 PTS),[1627749],1610612737.0,ATL,running pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.23,Made,5.0,,,,,,,,,,,,,,,,,
37,PT09M10.00S,2023-12-14T00:44:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,88.12417871222075,50.0,1610612761,10,6,2023-12-14T00:44:36Z,370000,False,0.0,59.0,1,right,P. Siakam driving floating Jump Shot (4 PTS) (J. Poeltl 1 AST),"[1627783, 1627751]",1610612761.0,TOR,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,5.91,Made,4.0,,,,,,,,,,,J. Poeltl,1627751.0,1.0,,,,
39,PT08M56.00S,2023-12-14T00:44:45.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,6.389618922470433,49.754901960784316,1610612737,10,8,2023-12-14T00:44:49Z,390000,False,1.0,8.0,1,left,C. Capela alley-oop DUNK (3 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.77,Made,3.0,,,,,,,,,,,T. Young,1629027.0,2.0,,,,
41,PT08M41.00S,2023-12-14T00:45:00.0Z,1,REGULAR,turnover,lost ball,[],1627783,,,1610612761,10,8,2023-12-14T00:45:04Z,410000,False,,,0,,P. Siakam lost ball TURNOVER (1 TO),"[1627783, 202083]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,Matthews,202083.0,,,,,,,,,
42,PT08M41.00S,2023-12-14T00:45:00.0Z,1,REGULAR,steal,,[],202083,,,1610612737,10,8,2023-12-14T00:45:01Z,420000,False,,,0,,W. Matthews STEAL (2 STL),[202083],1610612737.0,ATL,,,,Matthews,W. Matthews,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
43,PT08M37.00S,2023-12-14T00:45:04.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629027,26.757555847568987,12.5,1610612737,10,8,2023-12-14T00:45:20Z,430000,False,188.0,199.0,1,left,MISS T. Young 27' running pullup 3PT,[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,27.34,Missed,,,,,,,,,,,,,,,,,,
44,PT08M34.00S,2023-12-14T00:45:07.1Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,10,8,2023-12-14T00:45:20Z,440000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,
46,PT08M20.00S,2023-12-14T00:45:47.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630180,19.004599211563733,39.950980392156865,1610612737,10,8,2023-12-14T00:45:52Z,460000,False,50.0,126.0,1,left,MISS S. Bey 13' driving floating Shot,[1630180],1610612737.0,ATL,driving floating,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,13.57,Missed,,,,,,,,,,,,,,,,,,
47,PT08M17.00S,2023-12-14T00:45:50.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,10,8,2023-12-14T00:45:50Z,470000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:3),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,46.0,3.0,3.0,0.0,,,,,,,,,,,,
48,PT08M12.00S,2023-12-14T00:45:54.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628384,92.9862023653088,95.83333333333334,1610612761,10,8,2023-12-14T00:46:01Z,480000,False,229.0,13.0,1,right,MISS O. Anunoby running 3PT,[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,22.96,Missed,,,,,,,,,,,,,,,,,,
49,PT08M10.00S,2023-12-14T00:45:56.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,10,8,2023-12-14T00:46:01Z,490000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,
50,PT08M05.00S,2023-12-14T00:46:02.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,31.09395532194481,24.754901960784316,1610612737,10,8,2023-12-14T00:46:09Z,500000,False,126.0,240.0,1,left,MISS D. Murray 27' running pullup 3PT,[1627749],1610612737.0,ATL,running pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,27.1,Missed,,,,,,,,,,,,,,,,,,
51,PT08M01.00S,2023-12-14T00:46:06.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,10,8,2023-12-14T00:46:09Z,510000,False,,,0,,S. Barnes REBOUND (Off:1 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,50.0,4.0,3.0,1.0,,,,,,,,,,,,
52,PT07M55.00S,2023-12-14T00:46:11.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628384,92.32917214191852,49.50980392156863,1610612761,12,8,2023-12-14T00:46:16Z,520000,False,-2.0,20.0,1,right,O. Anunoby running Layup (2 PTS) (S. Barnes 2 AST),"[1628384, 1630567]",1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.98,Made,2.0,,,,,,,,,,,S. Barnes,1630567.0,2.0,,,,
54,PT07M35.00S,2023-12-14T00:46:32.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,10.068988173455978,36.51960784313725,1610612737,12,8,2023-12-14T00:46:40Z,540000,False,67.0,42.0,1,left,MISS T. Young 7' driving finger roll Layup - blocked,"[1629027, 1627751]",1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,7.95,Missed,,,,,,,,,,Poeltl,1627751.0,,,,,,,
65,PT07M35.00S,2023-12-14T00:46:32.0Z,1,REGULAR,block,,[],1627751,,,1610612737,12,8,2023-12-14T00:48:33Z,545000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M33.00S,2023-12-14T00:46:34.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,12,8,2023-12-14T00:46:40Z,550000,False,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,
56,PT07M24.00S,2023-12-14T00:46:43.4Z,1,REGULAR,3pt,Jump Shot,[],203471,86.15308804204993,95.34313725490196,1610612761,15,8,2023-12-14T00:46:48Z,560000,False,227.0,78.0,1,right,D. Schroder 3PT  (3 PTS) (O. Anunoby 1 AST),"[203471, 1628384]",1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Right Corner 3,24+ Right,23.96,Made,3.0,,,,,,,,,,,O. Anunoby,1628384.0,1.0,,,,
58,PT07M05.00S,2023-12-14T00:47:01.8Z,1,REGULAR,3pt,Jump Shot,[],202083,11.777266754270697,2.941176470588235,1610612737,15,11,2023-12-14T00:47:06Z,580000,False,235.0,58.0,1,left,W. Matthews 24' 3PT step back (3 PTS) (T. Young 3 AST),"[202083, 1629027]",1610612737.0,ATL,step back,,,Matthews,W. Matthews,,,,,Right Corner 3,24+ Right,24.24,Made,3.0,,,,,,,,,,,T. Young,1629027.0,3.0,,,,
60,PT06M52.00S,2023-12-14T00:47:16.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,87.72996057818659,41.911764705882355,1610612761,17,11,2023-12-14T00:47:22Z,600000,False,-40.0,63.0,1,right,P. Siakam 7' driving floating bank Jump Shot (6 PTS) (D. Schroder 1 AST),"[1627783, 203471]",1610612761.0,TOR,driving floating bank,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.47,Made,6.0,,,,,,,,,,,D. Schroder,203471.0,1.0,,,,
62,PT06M52.00S,2023-12-14T00:47:22.7Z,1,REGULAR,foul,personal,['1freethrow'],202083,,,1610612761,17,11,2023-12-14T00:50:19Z,620000,False,,,0,,W. Matthews shooting personal FOUL (1 PF) (Siakam 1 FT),"[202083, 1627783]",1610612737.0,ATL,shooting,,,Matthews,W. Matthews,,,,,In The Paint (Non-RA),0-8 Center,,,,1162.0,,,,,,,,,,,,,1.0,0.0,Siakam,1627783.0
64,PT06M52.00S,2023-12-14T00:47:35.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,17,11,2023-12-14T00:47:38Z,640000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M52.00S,2023-12-14T00:47:40.5Z,1,REGULAR,substitution,out,[],202083,,,1610612761,17,11,2023-12-14T00:50:16Z,650000,False,,,0,,SUB out: W. Matthews,[202083],1610612737.0,ATL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M52.00S,2023-12-14T00:47:40.5Z,1,REGULAR,substitution,out,[],1630180,,,1610612761,17,11,2023-12-14T00:50:16Z,660000,False,,,0,,SUB out: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M52.00S,2023-12-14T00:47:40.5Z,1,REGULAR,substitution,in,[],203992,,,1610612761,17,11,2023-12-14T00:50:16Z,670000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M52.00S,2023-12-14T00:47:40.5Z,1,REGULAR,substitution,in,[],1630168,,,1610612761,17,11,2023-12-14T00:50:16Z,680000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M52.00S,2023-12-14T00:50:51.8Z,1,REGULAR,freethrow,1 of 1,[],1627783,,,1610612761,17,11,2023-12-14T00:50:54Z,690000,False,,,0,,MISS P. Siakam Free Throw 1 of 1,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
71,PT06M50.00S,2023-12-14T00:50:53.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,17,11,2023-12-14T00:50:54Z,700000,False,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,70.0,2.0,1.0,1.0,,,,,,,,,,,,
72,PT06M39.00S,2023-12-14T00:51:03.8Z,1,REGULAR,3pt,Jump Shot,[],203992,5.206964520367937,4.901960784313726,1610612737,17,14,2023-12-14T00:51:08Z,710000,False,225.0,-4.0,1,left,B. Bogdanovic 3PT  (3 PTS) (T. Young 4 AST),"[203992, 1629027]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,22.55,Made,3.0,,,,,,,,,,,T. Young,1629027.0,4.0,,,,
74,PT06M20.00S,2023-12-14T00:51:22.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,80.76544021024968,60.78431372549019,1610612761,17,14,2023-12-14T00:51:28Z,730000,False,54.0,128.0,1,right,MISS D. Schroder 13' pullup Shot,[203471],1610612761.0,TOR,pullup,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,13.92,Missed,,,,,,,,,,,,,,,,,,
75,PT06M18.00S,2023-12-14T00:51:24.3Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,17,14,2023-12-14T00:51:28Z,740000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:3),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,74.0,4.0,3.0,1.0,,,,,,,,,,,,
76,PT06M13.00S,2023-12-14T00:51:29.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627783,89.70105124835742,37.5,1610612761,19,14,2023-12-14T00:51:35Z,750000,False,-62.0,44.0,1,right,P. Siakam 7' driving floating bank Jump Shot (8 PTS) (O. Anunoby 2 AST),"[1627783, 1628384]",1610612761.0,TOR,driving floating bank,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.66,Made,8.0,,,,,,,,,,,O. Anunoby,1628384.0,2.0,,,,
84,PT05M57.00S,2023-12-14T00:51:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203992,7.884362680683312,49.04258578431372,1610612737,19,16,2023-12-14T00:52:38Z,765000,False,5.0,22.0,1,left,B. Bogdanovic driving floating Jump Shot (5 PTS) (T. Young 5 AST),"[203992, 1629027]",1610612737.0,ATL,driving floating,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,2.21,Made,5.0,,,,,,,,,,,T. Young,1629027.0,5.0,,,,
78,PT05M57.00S,2023-12-14T00:51:50.9Z,1,REGULAR,foul,personal,['1freethrow'],1630567,,,1610612737,19,16,2023-12-14T00:52:53Z,770000,False,,,0,,S. Barnes shooting personal FOUL (1 PF) (Bogdanovic 1 FT),"[1630567, 203992]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,,,,1204.0,,,,,,,,,,,,,1.0,0.0,Bogdanovic,203992.0
80,PT05M57.00S,2023-12-14T00:51:58.5Z,1,REGULAR,substitution,out,[],1630567,,,1610612737,19,16,2023-12-14T00:51:50Z,790000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M57.00S,2023-12-14T00:51:58.5Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,19,16,2023-12-14T00:51:50Z,800000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M57.00S,2023-12-14T00:51:58.5Z,1,REGULAR,substitution,in,[],1629018,,,1610612737,19,16,2023-12-14T00:51:50Z,810000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M57.00S,2023-12-14T00:51:58.5Z,1,REGULAR,substitution,in,[],1629726,,,1610612737,19,16,2023-12-14T00:51:50Z,820000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
