actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
33,PT09M24.00S,2024-02-29T00:44:21.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629628,,,1610612761,10,8,2024-02-29T00:44:21Z,330000,False,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
34,PT09M24.00S,2024-02-29T00:44:21.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,10,8,2024-02-29T00:44:21Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,
35,PT09M24.00S,2024-02-29T00:44:21.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629628,,,1610612761,10,8,2024-02-29T00:44:46Z,350000,False,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
36,PT09M23.00S,2024-02-29T00:44:22.8Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,10,8,2024-02-29T00:44:46Z,360000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,
37,PT09M07.00S,2024-02-29T00:44:57.1Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,10,8,2024-02-29T00:45:00Z,370000,False,,,0,,L. Doncic lost ball TURNOVER (1 TO),"[1629029, 1630567]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,,,,,,,,,,,Barnes,1630567.0
38,PT09M07.00S,2024-02-29T00:44:57.1Z,1,REGULAR,steal,,[],1630567,,,1610612761,10,8,2024-02-29T00:44:59Z,380000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M03.00S,2024-02-29T00:45:01.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,94.82588699080158,50.49019607843137,1610612761,12,8,2024-02-29T00:45:06Z,390000,False,2.0,-4.0,1,right,S. Barnes running DUNK (2 PTS),[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,0.46,Made,2.0,,,,,,,,,,,,,,,
40,PT08M47.00S,2024-02-29T00:45:16.7Z,1,REGULAR,2pt,Jump Shot,[],1629023,23.078186596583443,49.50980392156863,1610612742,12,8,2024-02-29T00:45:21Z,400000,False,2.0,164.0,1,left,MISS P. Washington 16' pullup bank Shot,[1629023],1610612742.0,DAL,pullup bank,,,Washington,P. Washington,,,,,Mid-Range,16-24 Center,,,16.44,Missed,,,,,,,,,,,,,,,,
41,PT08M45.00S,2024-02-29T00:45:18.7Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612742,12,8,2024-02-29T00:45:21Z,410000,False,,,0,,P. Washington REBOUND (Off:1 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Center,,,,,,,,,40.0,3.0,2.0,1.0,,,,,,,,
42,PT08M44.00S,2024-02-29T00:45:20.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629023,13.87976346911958,37.99019607843137,1610612742,12,10,2024-02-29T00:45:25Z,420000,False,60.0,78.0,1,left,P. Washington 9' floating Jump Shot (8 PTS),[1629023],1610612742.0,DAL,floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Right,,,9.84,Made,8.0,,,,,,,,,,,,,,,
