actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
25,PT10M14.00S,2024-11-28T01:43:58.7Z,1,REGULAR,3pt,Jump Shot,[],1641705,67.23061760840999,14.460784313725492,1610612759,6,2,2024-11-28T01:44:04Z,250000,False,-178.0,256.0,1,right,V. Wembanyama 31' 3PT pullup (3 PTS),[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,31.12,Made,,,,,,,,,,,,3.0,,,,,,
26,PT09M58.00S,2024-11-28T01:44:14.6Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,6,2,2024-11-28T01:44:23Z,260000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1641705]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Wembanyama,1641705.0,,,
27,PT09M58.00S,2024-11-28T01:44:14.6Z,1,REGULAR,steal,,[],1641705,,,1610612759,6,2,2024-11-28T01:44:16Z,270000,False,,,0,,V. Wembanyama STEAL (1 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M49.00S,2024-11-28T01:44:23.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,95.0886990801577,4.166666666666666,1610612759,9,2,2024-11-28T01:44:28Z,280000,False,-229.0,-6.0,1,right,H. Barnes 3PT  (3 PTS) (S. Castle 1 AST),"[203084, 1642264]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,22.93,Made,,,,,,,,,,,,3.0,,,,S. Castle,1642264.0,1.0
30,PT09M24.00S,2024-11-28T01:44:48.6Z,1,REGULAR,3pt,Jump Shot,[],1642261,31.488173455978973,46.32352941176471,1610612747,9,5,2024-11-28T01:44:54Z,300000,False,18.0,243.0,1,left,D. Knecht 24' 3PT  (3 PTS) (L. James 1 AST),"[1642261, 2544]",1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Center,24.42,Made,,,,,,,,,,,,3.0,,,,L. James,2544.0,1.0
32,PT09M08.00S,2024-11-28T01:45:04.5Z,1,REGULAR,3pt,Jump Shot,[],1642264,78.53153745072274,9.558823529411764,1610612759,9,5,2024-11-28T01:45:10Z,320000,False,-202.0,149.0,1,right,MISS S. Castle 25' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Left Center,25.13,Missed,,,,,,,,,,,,,,,,,,
33,PT09M04.00S,2024-11-28T01:45:08.5Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,9,5,2024-11-28T01:45:10Z,330000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,
34,PT08M58.00S,2024-11-28T01:45:15.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642264,93.51182654402102,53.67647058823529,1610612759,9,5,2024-11-28T01:45:21Z,340000,False,18.0,8.0,1,right,MISS S. Castle driving Layup,[1642264],1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,2.03,Missed,,,,,,,,,,,,,,,,,,
35,PT08M56.00S,2024-11-28T01:45:17.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,9,5,2024-11-28T01:45:21Z,350000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,
36,PT08M47.00S,2024-11-28T01:45:26.3Z,1,REGULAR,3pt,Jump Shot,[],1642261,33.327858081471746,31.61764705882353,1610612747,9,5,2024-11-28T01:45:32Z,360000,False,92.0,261.0,1,left,MISS D. Knecht 27' 3PT,[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Right Center,27.65,Missed,,,,,,,,,,,,,,,,,,
37,PT08M42.00S,2024-11-28T01:45:30.3Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,9,5,2024-11-28T01:45:30Z,370000,False,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Right Center,,,,,36.0,3.0,2.0,1.0,,,,,,,,,,,,
38,PT08M40.00S,2024-11-28T01:45:32.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203076,6.783837056504599,51.71568627450981,1610612747,9,7,2024-11-28T01:45:40Z,380000,False,-9.0,11.0,1,left,A. Davis putback DUNK (2 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.42,Made,,,,,,,,,,,,2.0,,,,,,
40,PT08M24.00S,2024-11-28T01:46:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630577,94.1688567674113,45.34313725490196,1610612759,11,7,2024-11-28T01:46:09Z,400000,False,-23.0,2.0,1,right,J. Champagnie driving Layup (5 PTS) (S. Castle 2 AST),"[1630577, 1642264]",1610612759.0,SAS,driving,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,2.34,Made,,,,,,,,,,,,5.0,,,,S. Castle,1642264.0,2.0
42,PT08M12.00S,2024-11-28T01:46:18.3Z,1,REGULAR,3pt,Jump Shot,[],1642261,26.888961892247043,77.20588235294117,1610612747,11,10,2024-11-28T01:46:22Z,420000,False,-136.0,200.0,1,left,D. Knecht 24' 3PT  (6 PTS) (A. Davis 1 AST),"[1642261, 203076]",1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Left Center,24.21,Made,,,,,,,,,,,,6.0,,,,A. Davis,203076.0,1.0
44,PT08M05.00S,2024-11-28T01:46:28.0Z,1,REGULAR,foul,personal,[],1642261,,,1610612759,11,10,2024-11-28T01:46:42Z,440000,False,,,0,,D. Knecht personal FOUL (1 PF),"[1642261, 1641705]",1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,2530.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,
46,PT07M54.00S,2024-11-28T01:46:56.3Z,1,REGULAR,3pt,Jump Shot,[],101108,93.9060446780552,3.431372549019608,1610612759,11,10,2024-11-28T01:47:02Z,460000,False,-233.0,5.0,1,right,MISS C. Paul 3PT,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
47,PT07M50.00S,2024-11-28T01:47:00.3Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,11,10,2024-11-28T01:47:02Z,470000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Left Corner 3,24+ Left,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,
48,PT07M44.00S,2024-11-28T01:47:11.2Z,1,REGULAR,foul,personal,['2freethrow'],1642264,,,1610612747,11,10,2024-11-28T01:47:22Z,480000,False,,,0,,S. Castle shooting personal FOUL (1 PF) (Hachimura 2 FT),"[1642264, 1629060]",1610612759.0,SAS,shooting,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,,,,,,2530.0,1.0,0.0,Hachimura,1629060.0,,,,,,,
50,PT07M44.00S,2024-11-28T01:47:31.8Z,1,REGULAR,freethrow,1 of 2,[],1629060,,,1610612747,11,11,2024-11-28T01:47:31Z,500000,False,,,0,,R. Hachimura Free Throw 1 of 2 (1 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
51,PT07M44.00S,2024-11-28T01:47:47.9Z,1,REGULAR,freethrow,2 of 2,[],1629060,,,1610612747,11,12,2024-11-28T01:47:47Z,510000,False,,,0,,R. Hachimura Free Throw 2 of 2 (2 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
52,PT07M38.00S,2024-11-28T01:47:59.0Z,1,REGULAR,foul,personal,[],1629060,,,1610612759,11,12,2024-11-28T01:48:17Z,520000,False,,,0,,R. Hachimura personal FOUL (1 PF),"[1629060, 1642264]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,,,,201246.0,1.0,0.0,Castle,1642264.0,,,,,,,
54,PT07M28.00S,2024-11-28T01:48:30.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630577,85.89027595269383,48.28431372549019,1610612759,13,12,2024-11-28T01:48:34Z,540000,False,-9.0,80.0,1,right,J. Champagnie 8' floating Jump Shot (7 PTS) (C. Paul 1 AST),"[1630577, 101108]",1610612759.0,SAS,floating,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),8-16 Center,8.06,Made,,,,,,,,,,,,7.0,,,,C. Paul,101108.0,1.0
56,PT07M14.00S,2024-11-28T01:48:50.4Z,1,REGULAR,foul,personal,[],203084,,,1610612747,13,12,2024-11-28T01:48:58Z,560000,False,,,0,,H. Barnes personal FOUL (1 PF),"[203084, 203076]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,201246.0,1.0,0.0,Davis,203076.0,,,,,,,
58,PT07M12.00S,2024-11-28T01:49:09.8Z,1,REGULAR,foul,personal,[],1642264,,,1610612747,13,12,2024-11-28T01:49:16Z,580000,False,,,0,,S. Castle personal FOUL (2 PF),"[1642264, 1630559]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left Center,,,,,,,,,201246.0,2.0,0.0,Reaves,1630559.0,,,,,,,
60,PT07M05.00S,2024-11-28T01:49:28.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,13.61695137976347,35.53921568627451,1610612747,13,12,2024-11-28T01:49:35Z,600000,False,72.0,75.0,1,left,MISS A. Reaves 10' floating Shot,[1630559],1610612747.0,LAL,floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Right,10.45,Missed,,,,,,,,,,,,,,,,,,
61,PT07M01.00S,2024-11-28T01:49:32.5Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612747,13,12,2024-11-28T01:49:35Z,610000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:0),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Right,,,,,60.0,1.0,0.0,1.0,,,,,,,,,,,,
62,PT06M54.00S,2024-11-28T01:49:38.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642261,11.383048620236531,75.0,1610612747,13,14,2024-11-28T01:49:43Z,620000,False,-125.0,55.0,1,left,D. Knecht 13' pullup Jump Shot (8 PTS) (L. James 2 AST),"[1642261, 2544]",1610612747.0,LAL,pullup,,,Knecht,D. Knecht,,,,,Mid-Range,8-16 Left,13.64,Made,,,,,,,,,,,,8.0,,,,L. James,2544.0,2.0
64,PT06M33.00S,2024-11-28T01:49:59.9Z,1,REGULAR,2pt,Jump Shot,[],1641705,75.24638633377135,50.49019607843137,1610612759,13,14,2024-11-28T01:50:08Z,640000,False,2.0,180.0,1,right,MISS V. Wembanyama 18' Jump Shot,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,18.02,Missed,,,,,,,,,,,,,,,,,,
65,PT06M31.00S,2024-11-28T01:50:01.9Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,13,14,2024-11-28T01:50:08Z,650000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Center,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,
66,PT06M28.00S,2024-11-28T01:50:04.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642261,20.18725361366623,6.61764705882353,1610612747,13,14,2024-11-28T01:50:14Z,660000,False,217.0,137.0,1,left,MISS D. Knecht 25' running 3PT,[1642261],1610612747.0,LAL,running,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Right Center,25.67,Missed,,,,,,,,,,,,,,,,,,
67,PT06M28.00S,2024-11-28T01:50:04.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,13,14,2024-11-28T01:50:14Z,670000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,66.0,,,,,,,,,,,,,,,
69,PT06M26.00S,2024-11-28T01:50:13.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,13,14,2024-11-28T01:50:13Z,690000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M26.00S,2024-11-28T01:52:56.5Z,1,REGULAR,substitution,out,[],101108,,,1610612759,13,14,2024-11-28T01:53:28Z,700000,False,,,0,,SUB out: C. Paul,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M26.00S,2024-11-28T01:52:56.5Z,1,REGULAR,substitution,out,[],1642264,,,1610612759,13,14,2024-11-28T01:53:28Z,710000,False,,,0,,SUB out: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M26.00S,2024-11-28T01:52:56.5Z,1,REGULAR,substitution,out,[],2544,,,1610612759,13,14,2024-11-28T01:53:28Z,720000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M26.00S,2024-11-28T01:52:56.5Z,1,REGULAR,substitution,in,[],1630200,,,1610612759,13,14,2024-11-28T01:53:28Z,730000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M26.00S,2024-11-28T01:52:56.5Z,1,REGULAR,substitution,in,[],1629640,,,1610612759,13,14,2024-11-28T01:53:28Z,740000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M26.00S,2024-11-28T01:52:56.5Z,1,REGULAR,substitution,in,[],1629629,,,1610612759,13,14,2024-11-28T01:53:28Z,750000,False,,,0,,SUB in: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M15.00S,2024-11-28T01:53:29.4Z,1,REGULAR,turnover,traveling,[],1630577,,,1610612759,13,14,2024-11-28T01:53:41Z,760000,False,,,0,,J. Champagnie traveling TURNOVER (1 TO),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Left Center,,,,,,,,,2530.0,,,,,,1.0,,,,,
77,PT05M51.00S,2024-11-28T01:53:59.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629060,20.97568988173456,26.225490196078432,1610612747,13,16,2024-11-28T01:54:06Z,770000,False,119.0,145.0,1,left,R. Hachimura 18' pullup Jump Shot (4 PTS) (A. Reaves 1 AST),"[1629060, 1630559]",1610612747.0,LAL,pullup,,,Hachimura,R. Hachimura,,,,,Mid-Range,16-24 Right Center,18.73,Made,,,,,,,,,,,,4.0,,,,A. Reaves,1630559.0,1.0
79,PT05M30.00S,2024-11-28T01:54:20.2Z,1,REGULAR,2pt,Jump Shot,[],1641705,82.21090670170827,30.14705882352941,1610612759,13,16,2024-11-28T01:54:27Z,790000,False,-99.0,115.0,1,right,MISS V. Wembanyama 15' fadeaway Shot,[1641705],1610612759.0,SAS,fadeaway,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,15.17,Missed,,,,,,,,,,,,,,,,,,
80,PT05M28.00S,2024-11-28T01:54:22.2Z,1,REGULAR,rebound,defensive,[],1642261,,,1610612747,13,16,2024-11-28T01:54:27Z,800000,False,,,0,,D. Knecht REBOUND (Off:0 Def:1),[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Mid-Range,8-16 Left,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,
81,PT05M16.00S,2024-11-28T01:54:49.4Z,1,REGULAR,substitution,out,[],1641705,,,1610612747,13,16,2024-11-28T01:54:56Z,810000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M16.00S,2024-11-28T01:54:49.4Z,1,REGULAR,substitution,in,[],1628380,,,1610612747,13,16,2024-11-28T01:54:56Z,820000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2024-11-28T01:55:25.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612747,13,16,2024-11-28T01:55:25Z,830000,False,,,0,,Jump Ball H. Barnes vs. A. Davis: Tip to Team (SAS),"[203084, 203076]",1610612759.0,SAS,heldball,Team (SAS),,,,Barnes,203084.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
86,PT05M14.00S,2024-11-28T01:55:25.9Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,13,16,2024-11-28T01:56:04Z,860000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1630577]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,1.0,Champagnie,1630577.0,,,
87,PT05M14.00S,2024-11-28T01:55:25.9Z,1,REGULAR,steal,,[],1630577,,,1610612759,13,16,2024-11-28T01:56:04Z,870000,False,,,0,,J. Champagnie STEAL (1 STL),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
89,PT04M54.00S,2024-11-28T01:56:11.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629640,93.51182654402102,42.15686274509804,1610612759,13,16,2024-11-28T01:56:17Z,890000,False,-39.0,8.0,1,right,MISS K. Johnson driving Layup,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,4.01,Missed,,,,,,,,,,,,,,,,,,
90,PT04M52.00S,2024-11-28T01:56:13.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,13,16,2024-11-28T01:56:17Z,900000,False,,,0,,A. Davis REBOUND (Off:1 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,89.0,4.0,3.0,1.0,,,,,,,,,,,,
