actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M46.00S,2025-03-30T00:12:06.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,12.565703022339028,46.81372549019608,1610612738,3,3,2025-03-30T00:13:06Z,180000,False,16.0,66.0,1,left,MISS K. Porziņģis 6' fadeaway Shot,[204001],1610612738.0,BOS,fadeaway,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,6.75,Missed,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2025-03-30T00:12:08.5Z,1,REGULAR,rebound,defensive,[],1642264,,,1610612759,3,3,2025-03-30T00:13:06Z,190000,False,,,0,,S. Castle REBOUND (Off:0 Def:1),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,In The Paint (Non-RA),0-8 Center,,,18.0,,,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M36.00S,2025-03-30T00:12:16.9Z,1,REGULAR,3pt,Jump Shot,[],203084,96.66557161629436,3.6764705882352944,1610612759,3,3,2025-03-30T00:12:19Z,200000,False,-232.0,-21.0,1,right,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,23.26,Missed,,,,,,,,,,,,,,,,,,
21,PT10M34.00S,2025-03-30T00:12:18.9Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,3,3,2025-03-30T00:12:19Z,210000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,,20.0,,,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M21.00S,2025-03-30T00:12:32.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,23.866622864651774,88.97058823529412,1610612738,3,3,2025-03-30T00:12:52Z,220000,False,-195.0,172.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,25.98,Missed,,,,,,,,,,,,,,,,,,
23,PT10M21.00S,2025-03-30T00:12:32.2Z,1,REGULAR,rebound,defensive,[],101108,,,1610612759,3,3,2025-03-30T00:12:52Z,230000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,22.0,,,1.0,1.0,0.0,,,,,,,,,,,,
24,PT10M08.00S,2025-03-30T00:12:44.2Z,1,REGULAR,3pt,Jump Shot,[],1630170,70.12155059132719,23.03921568627451,1610612759,3,3,2025-03-30T00:12:57Z,240000,False,-135.0,228.0,1,right,MISS D. Vassell 26' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,26.52,Missed,,,,,,,,,,,,,,,,,,
25,PT10M06.00S,2025-03-30T00:12:46.2Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,3,3,2025-03-30T00:12:57Z,250000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,24.0,,,1.0,1.0,0.0,,,,,,,,,,,,
26,PT09M59.00S,2025-03-30T00:12:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,8.754927726675426,48.03921568627451,1610612738,3,3,2025-03-30T00:15:16Z,260000,False,10.0,30.0,1,left,MISS K. Porziņģis cutting Layup,[204001],1610612738.0,BOS,cutting,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2025-03-30T00:12:55.5Z,1,REGULAR,rebound,offensive,[],204001,,,1610612738,3,3,2025-03-30T00:15:16Z,270000,False,,,0,,K. Porziņģis REBOUND (Off:1 Def:0),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,26.0,,,1.0,0.0,1.0,,,,,,,,,,,,
28,PT09M58.00S,2025-03-30T00:13:00.7Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",204001,5.590000152587891,50.0,1610612738,3,5,2025-03-30T00:15:11Z,280000,False,0.0,0.0,1,left,K. Porziņģis tip DUNK (5 PTS),[204001],1610612738.0,BOS,tip,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,5.0,,,,,,,,,,
29,PT09M44.00S,2025-03-30T00:13:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,94.03745072273325,47.05882352941176,1610612759,5,5,2025-03-30T00:13:26Z,290000,False,-15.0,4.0,1,right,J. Sochan cutting finger roll Layup (2 PTS) (C. Paul 1 AST),"[1631110, 101108]",1610612759.0,SAS,cutting finger roll,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,1.51,Made,,,,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,
31,PT09M38.00S,2025-03-30T00:13:14.7Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,5,5,2025-03-30T00:13:28Z,310000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1631110]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,1.0,Sochan,1631110.0,,,,
32,PT09M38.00S,2025-03-30T00:13:14.7Z,1,REGULAR,steal,,[],1631110,,,1610612759,5,5,2025-03-30T00:13:16Z,320000,False,,,0,,J. Sochan STEAL (1 STL),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
33,PT09M30.00S,2025-03-30T00:13:23.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631110,94.1688567674113,51.9607843137255,1610612759,7,5,2025-03-30T00:13:31Z,330000,False,10.0,2.0,1,right,J. Sochan Layup (4 PTS) (D. Vassell 1 AST),"[1631110, 1630170]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,,4.0,D. Vassell,1630170.0,1.0,,,,,,,
35,PT09M15.00S,2025-03-30T00:13:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.389618922470433,45.83333333333333,1610612738,7,7,2025-03-30T00:16:55Z,350000,False,21.0,8.0,1,left,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,,,,2.0,,,,,,,,,,
36,PT09M02.00S,2025-03-30T00:13:50.5Z,1,REGULAR,3pt,Jump Shot,[],1642264,73.53810775295663,83.33333333333334,1610612759,7,7,2025-03-30T00:18:04Z,360000,False,167.0,196.0,1,right,MISS S. Castle 25' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,,,,,,,,,,,,,,,,,
37,PT09M01.00S,2025-03-30T00:13:51.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,7,2025-03-30T00:14:00Z,370000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,36.0,,,1.0,1.0,0.0,,,,,,,,,,,,
38,PT08M58.00S,2025-03-30T00:13:55.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201950,5.601182654402102,53.18627450980392,1610612738,7,9,2025-03-30T00:18:40Z,380000,False,-16.0,0.0,1,left,J. Holiday running Layup (2 PTS) (J. Tatum 1 AST),"[201950, 1628369]",1610612738.0,BOS,running,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,
40,PT08M41.00S,2025-03-30T00:14:11.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,94.03745072273325,51.71568627450981,1610612759,7,9,2025-03-30T00:14:16Z,400000,False,9.0,4.0,1,right,MISS S. Castle driving Layup - blocked,"[1642264, 204001]",1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,0.93,Missed,,Porziņģis,204001.0,,,,,,,,,,,,,,,
41,PT08M41.00S,2025-03-30T00:14:11.7Z,1,REGULAR,block,,[],204001,,,1610612759,7,9,2025-03-30T00:14:13Z,410000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M38.00S,2025-03-30T00:14:14.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,9,2025-03-30T00:14:16Z,420000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,40.0,,,2.0,2.0,0.0,,,,,,,,,,,,
43,PT08M33.00S,2025-03-30T00:14:22.8Z,1,REGULAR,foul,personal,[],101108,,,1610612738,7,9,2025-03-30T00:14:35Z,430000,False,,,0,,C. Paul personal FOUL (1 PF),"[101108, 1627759]",1610612759.0,SAS,,,,Paul,C. Paul,,,,,Mid-Range,16-24 Right,,,,,,,,,1627964.0,,,,,,,,1.0,0.0,Brown,1627759.0
45,PT08M28.00S,2025-03-30T00:14:48.8Z,1,REGULAR,3pt,Jump Shot,[],204001,33.85348226018397,47.794117647058826,1610612738,7,9,2025-03-30T00:15:23Z,450000,False,11.0,266.0,1,left,MISS K. Porziņģis 26' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,26.59,Missed,,,,,,,,,,,,,,,,,,
46,PT08M25.00S,2025-03-30T00:14:50.8Z,1,REGULAR,rebound,defensive,[],101108,,,1610612759,7,9,2025-03-30T00:14:50Z,460000,False,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,,,45.0,,,2.0,2.0,0.0,,,,,,,,,,,,
47,PT08M17.00S,2025-03-30T00:15:03.4Z,1,REGULAR,foul,personal,['2freethrow'],201950,,,1610612759,7,9,2025-03-30T00:15:09Z,470000,False,,,0,,J. Holiday shooting personal FOUL (1 PF) (Castle 2 FT),"[201950, 1642264]",1610612738.0,BOS,shooting,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,2534.0,,,,,,,,1.0,0.0,Castle,1642264.0
49,PT08M17.00S,2025-03-30T00:15:31.4Z,1,REGULAR,freethrow,1 of 2,[],1642264,,,1610612759,7,9,2025-03-30T00:15:31Z,490000,False,,,0,,MISS S. Castle Free Throw 1 of 2,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
50,PT08M17.00S,2025-03-30T00:15:31.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,7,9,2025-03-30T00:15:31Z,500000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,
51,PT08M17.00S,2025-03-30T00:15:52.4Z,1,REGULAR,freethrow,2 of 2,[],1642264,,,1610612759,8,9,2025-03-30T00:15:52Z,510000,False,,,0,,S. Castle Free Throw 2 of 2 (1 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
52,PT08M07.00S,2025-03-30T00:16:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.521024967148489,46.81372549019608,1610612738,8,11,2025-03-30T00:16:07Z,520000,False,16.0,9.0,1,left,J. Tatum cutting Layup (4 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,,,,4.0,D. White,1628401.0,1.0,,,,,,,
54,PT07M51.00S,2025-03-30T00:16:17.7Z,1,REGULAR,3pt,Jump Shot,[],1642264,75.64060446780552,87.00980392156863,1610612759,8,11,2025-03-30T00:16:24Z,540000,False,185.0,176.0,1,right,MISS S. Castle 25' pullup 3PT,[1642264],1610612759.0,SAS,pullup,,,Castle,S. Castle,,,,,Above the Break 3,24+ Right Center,25.57,Missed,,,,,,,,,,,,,,,,,,
55,PT07M48.00S,2025-03-30T00:16:20.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,11,2025-03-30T00:16:24Z,550000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,54.0,,,3.0,3.0,0.0,,,,,,,,,,,,
56,PT07M38.00S,2025-03-30T00:16:31.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,6.783837056504599,4.166666666666666,1610612738,8,14,2025-03-30T00:16:36Z,560000,False,229.0,11.0,1,left,D. White 3PT  (3 PTS) (J. Tatum 2 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,22.95,Made,,,,,,,,3.0,J. Tatum,1628369.0,2.0,,,,,,,
58,PT07M23.00S,2025-03-30T00:16:46.1Z,1,REGULAR,3pt,Jump Shot,[],1631110,66.96780551905388,45.34313725490196,1610612759,8,14,2025-03-30T00:16:49Z,580000,False,-23.0,258.0,1,right,MISS J. Sochan 25' pullup 3PT,[1631110],1610612759.0,SAS,pullup,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Center,25.9,Missed,,,,,,,,,,,,,,,,,,
59,PT07M21.00S,2025-03-30T00:16:48.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,8,14,2025-03-30T00:16:49Z,590000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,58.0,,,1.0,1.0,0.0,,,,,,,,,,,,
60,PT07M16.00S,2025-03-30T00:16:54.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201950,5.338370565045992,53.431372549019606,1610612738,8,14,2025-03-30T00:23:02Z,600000,False,-17.0,-2.0,1,left,MISS J. Holiday running reverse Layup,[201950],1610612738.0,BOS,running reverse,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.74,Missed,,,,,,,,,,,,,,,,,,
61,PT07M14.00S,2025-03-30T00:16:56.2Z,1,REGULAR,rebound,defensive,[],101108,,,1610612759,8,14,2025-03-30T00:17:04Z,610000,False,,,0,,C. Paul REBOUND (Off:0 Def:3),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Restricted Area,0-8 Center,,,60.0,,,3.0,3.0,0.0,,,,,,,,,,,,
62,PT07M12.00S,2025-03-30T00:16:58.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203084,74.72076215505913,15.441176470588236,1610612759,8,14,2025-03-30T00:17:11Z,620000,False,-173.0,185.0,1,right,MISS H. Barnes 25' running pullup 3PT,[203084],1610612759.0,SAS,running pullup,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,25.32,Missed,,,,,,,,,,,,,,,,,,
63,PT07M08.00S,2025-03-30T00:17:02.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,8,14,2025-03-30T00:17:11Z,630000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,62.0,,,2.0,2.0,0.0,,,,,,,,,,,,
64,PT07M02.00S,2025-03-30T00:17:13.3Z,1,REGULAR,foul,personal,['2freethrow'],1631110,,,1610612738,8,14,2025-03-30T00:17:33Z,640000,False,,,0,,J. Sochan shooting personal FOUL (1 PF) (Brown 2 FT),"[1631110, 1627759]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Left,,,,,,,,,1627534.0,,,,,,,,1.0,0.0,Brown,1627759.0
66,PT07M02.00S,2025-03-30T00:17:38.4Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,8,14,2025-03-30T00:17:38Z,660000,False,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
67,PT07M02.00S,2025-03-30T00:17:38.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,8,14,2025-03-30T00:17:38Z,670000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,
68,PT07M02.00S,2025-03-30T00:18:00.2Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,8,15,2025-03-30T00:18:00Z,680000,False,,,0,,J. Brown Free Throw 2 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
69,PT06M49.00S,2025-03-30T00:18:13.6Z,1,REGULAR,2pt,Jump Shot,[],1630170,77.21747700394218,63.48039215686274,1610612759,10,15,2025-03-30T00:18:19Z,690000,False,67.0,162.0,1,right,D. Vassell 17' pullup Jump Shot (5 PTS) (S. Castle 2 AST),"[1630170, 1642264]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,17.52,Made,,,,,,,,5.0,S. Castle,1642264.0,2.0,,,,,,,
71,PT06M40.00S,2025-03-30T00:18:22.8Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,10,15,2025-03-30T00:18:28Z,710000,False,,,0,,J. Brown lost ball TURNOVER (2 TO),"[1627759, 1642264]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,2.0,Castle,1642264.0,,,,
72,PT06M40.00S,2025-03-30T00:18:22.8Z,1,REGULAR,steal,,[],1642264,,,1610612759,10,15,2025-03-30T00:18:24Z,720000,False,,,0,,S. Castle STEAL (1 STL),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
73,PT06M36.00S,2025-03-30T00:18:27.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642264,93.9060446780552,45.34313725490196,1610612759,12,15,2025-03-30T00:18:36Z,730000,False,-23.0,5.0,1,right,S. Castle running reverse Layup (3 PTS),[1642264],1610612759.0,SAS,running reverse,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,2.38,Made,,,,,,,,3.0,,,,,,,,,,
74,PT06M15.00S,2025-03-30T00:18:47.6Z,1,REGULAR,3pt,Jump Shot,[],201950,6.915243101182654,4.901960784313726,1610612738,12,18,2025-03-30T00:18:51Z,740000,False,225.0,13.0,1,left,J. Holiday 3PT  (5 PTS) (J. Brown 1 AST),"[201950, 1627759]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,22.58,Made,,,,,,,,5.0,J. Brown,1627759.0,1.0,,,,,,,
76,PT06M14.00S,2025-03-30T00:18:54.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,12,18,2025-03-30T00:18:54Z,760000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M14.00S,2025-03-30T00:19:33.3Z,1,REGULAR,foul,technical,['1freethrow'],101108,,,1610612759,12,18,2025-03-30T00:21:55Z,770000,False,,,0,,C. Paul technical FOUL (1 Tech),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,1627964.0,,,,,,,,1.0,1.0,,
78,PT06M14.00S,2025-03-30T00:21:47.0Z,1,REGULAR,substitution,out,[],1642264,,,1610612759,12,18,2025-03-30T00:21:50Z,780000,False,,,0,,SUB out: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M14.00S,2025-03-30T00:21:47.0Z,1,REGULAR,substitution,in,[],1629640,,,1610612759,12,18,2025-03-30T00:21:50Z,790000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M14.00S,2025-03-30T00:22:02.4Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612759,12,19,2025-03-30T00:22:02Z,800000,False,,,0,,J. Tatum technical Free Throw 1 of 1 (5 PTS),[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
81,PT05M54.00S,2025-03-30T00:22:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,93.24901445466492,46.568627450980394,1610612759,14,19,2025-03-30T00:22:38Z,810000,False,-17.0,11.0,1,right,H. Barnes driving Layup (2 PTS) (J. Sochan 1 AST),"[203084, 1631110]",1610612759.0,SAS,driving,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,2.04,Made,,,,,,,,2.0,J. Sochan,1631110.0,1.0,,,,,,,
83,PT05M38.00S,2025-03-30T00:22:49.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.14520367936925,72.05882352941177,1610612738,14,22,2025-03-30T00:27:32Z,830000,False,-110.0,250.0,1,left,J. Tatum 27' 3PT pullup (8 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,27.3,Made,,,,,,,,8.0,,,,,,,,,,
84,PT05M23.00S,2025-03-30T00:23:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,94.82588699080158,62.99019607843137,1610612759,14,22,2025-03-30T00:28:41Z,840000,False,65.0,-4.0,1,right,MISS J. Sochan 6' driving Layup,[1631110],1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,6.51,Missed,,,,,,,,,,,,,,,,,,
