actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
57,PT06M22.00S,2024-11-08T01:18:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,87.46714848883047,49.01960784313725,1610612759,11,13,2024-11-08T01:19:45Z,570000,False,-5.0,65.0,1,right,MISS H. Barnes 6' driving floating Shot,[203084],1610612759.0,SAS,driving floating,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,6.55,Missed,,,,,,,,,,,,,,,,,,
58,PT06M19.00S,2024-11-08T01:18:52.2Z,1,REGULAR,rebound,offensive,[],203084,,,1610612759,11,13,2024-11-08T01:19:45Z,580000,False,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,57.0,,,,1.0,0.0,1.0,,,,,
59,PT06M16.00S,2024-11-08T01:18:53.8Z,1,REGULAR,2pt,Hook,"['2ndchance', 'pointsinthepaint']",203084,94.40999984741211,50.0,1610612759,13,13,2024-11-08T01:19:58Z,590000,False,0.0,0.0,1,right,H. Barnes Hook (5 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,0.0,Made,5.0,,,,,,,,,,,,,,,,,
60,PT06M01.00S,2024-11-08T01:19:06.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,7.5722733245729295,49.26470588235294,1610612757,13,15,2024-11-08T01:19:14Z,600000,False,4.0,19.0,1,left,D. Ayton alley-oop DUNK (9 PTS) (A. Simons 2 AST),"[1629028, 1629014]",1610612757.0,POR,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.91,Made,9.0,A. Simons,1629014.0,2.0,,,,,,,,,,,,,,
62,PT06M01.00S,2024-11-08T01:19:11.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,13,15,2024-11-08T01:19:11Z,620000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M01.00S,2024-11-08T01:21:41.5Z,1,REGULAR,substitution,out,[],203084,,,1610612759,13,15,2024-11-08T01:22:09Z,630000,False,,,0,,SUB out: H. Barnes,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M01.00S,2024-11-08T01:21:41.5Z,1,REGULAR,substitution,out,[],1641705,,,1610612759,13,15,2024-11-08T01:22:09Z,640000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M01.00S,2024-11-08T01:21:41.5Z,1,REGULAR,substitution,out,[],101108,,,1610612759,13,15,2024-11-08T01:22:09Z,650000,False,,,0,,SUB out: C. Paul,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M01.00S,2024-11-08T01:21:41.5Z,1,REGULAR,substitution,out,[],203924,,,1610612759,13,15,2024-11-08T01:22:09Z,660000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M01.00S,2024-11-08T01:21:41.5Z,1,REGULAR,substitution,in,[],1628380,,,1610612759,13,15,2024-11-08T01:22:09Z,670000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M01.00S,2024-11-08T01:21:41.5Z,1,REGULAR,substitution,in,[],1631103,,,1610612759,13,15,2024-11-08T01:22:09Z,680000,False,,,0,,SUB in: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M01.00S,2024-11-08T01:21:41.5Z,1,REGULAR,substitution,in,[],1629640,,,1610612759,13,15,2024-11-08T01:22:09Z,690000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M01.00S,2024-11-08T01:21:41.5Z,1,REGULAR,substitution,in,[],1630703,,,1610612759,13,15,2024-11-08T01:22:09Z,700000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M39.00S,2024-11-08T01:22:28.6Z,1,REGULAR,3pt,Jump Shot,[],1642264,67.09921156373193,51.225490196078425,1610612759,13,15,2024-11-08T01:22:41Z,710000,False,6.0,257.0,1,right,MISS S. Castle 25' step back 3PT,[1642264],1610612759.0,SAS,step back,,,Castle,S. Castle,,,,,Above the Break 3,24+ Center,25.69,Missed,,,,,,,,,,,,,,,,,,
72,PT05M37.00S,2024-11-08T01:22:30.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,13,15,2024-11-08T01:22:49Z,720000,False,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,,,,71.0,,,,3.0,3.0,0.0,,,,,
73,PT05M27.00S,2024-11-08T01:22:42.2Z,1,REGULAR,2pt,Jump Shot,[],1630703,17.16491458607096,73.0392156862745,1610612757,13,15,2024-11-08T01:39:34Z,730000,False,-115.0,109.0,1,left,MISS S. Henderson 15' pullup Shot,[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Mid-Range,8-16 Left,15.85,Missed,,,,,,,,,,,,,,,,,,
74,PT05M26.00S,2024-11-08T01:22:43.2Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,13,15,2024-11-08T01:24:12Z,740000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Left,,,,,,,,,73.0,,,,1.0,1.0,0.0,,,,,
75,PT05M08.00S,2024-11-08T01:22:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,87.72996057818659,50.73529411764706,1610612759,15,15,2024-11-08T01:23:14Z,750000,False,4.0,63.0,1,right,M. Branham 6' floating Jump Shot (2 PTS) (S. Castle 3 AST),"[1631103, 1642264]",1610612759.0,SAS,floating,,,Branham,M. Branham,,,,,In The Paint (Non-RA),0-8 Center,6.29,Made,2.0,S. Castle,1642264.0,3.0,,,,,,,,,,,,,,
77,PT04M51.00S,2024-11-08T01:23:16.0Z,1,REGULAR,2pt,Jump Shot,[],1629028,3.892904073587385,78.43137254901961,1610612757,15,15,2024-11-08T01:23:24Z,770000,False,-142.0,-16.0,1,left,MISS D. Ayton 14' turnaround Shot,[1629028],1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,14.31,Missed,,,,,,,,,,,,,,,,,,
78,PT04M48.00S,2024-11-08T01:23:19.0Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,15,15,2024-11-08T01:23:24Z,780000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:3),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,8-16 Left,,,,,,,,,77.0,,,,3.0,3.0,0.0,,,,,
79,PT04M30.00S,2024-11-08T01:23:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630577,90.88370565045992,64.2156862745098,1610612759,15,15,2024-11-08T01:23:45Z,790000,False,71.0,33.0,1,right,MISS J. Champagnie 7' driving floating Shot,[1630577],1610612759.0,SAS,driving floating,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,7.85,Missed,,,,,,,,,,,,,,,,,,
80,PT04M28.00S,2024-11-08T01:23:39.1Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,15,15,2024-11-08T01:23:45Z,800000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,79.0,,,,2.0,2.0,0.0,,,,,
81,PT04M26.00S,2024-11-08T01:23:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1629640,,,1610612757,15,15,2024-11-08T01:23:55Z,810000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Avdija 2 FT),"[1629640, 1630166]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Avdija,1630166.0
83,PT04M26.00S,2024-11-08T01:24:23.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630166,,,1610612757,15,16,2024-11-08T01:25:00Z,830000,False,,,0,,D. Avdija Free Throw 1 of 2 (3 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
84,PT04M26.00S,2024-11-08T01:24:23.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630166,,,1610612757,15,16,2024-11-08T01:25:00Z,840000,False,,,0,,MISS D. Avdija Free Throw 2 of 2,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
85,PT04M23.00S,2024-11-08T01:24:26.1Z,1,REGULAR,rebound,offensive,[],1630703,,,1610612757,15,16,2024-11-08T01:25:06Z,850000,False,,,0,,S. Henderson REBOUND (Off:1 Def:0),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,84.0,,,,1.0,0.0,1.0,,,,,
86,PT04M10.00S,2024-11-08T01:24:57.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630166,12.434296977660972,95.09803921568627,1610612757,15,16,2024-11-08T01:25:15Z,860000,False,-225.0,64.0,1,left,MISS D. Avdija 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Left Corner 3,24+ Left,23.45,Missed,,,,,,,,,,,,,,,,,,
