actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
46,PT07M45.00S,2024-12-28T02:17:25.1Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,11,14,2024-12-28T02:17:27Z,460000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,45.0,2.0,1.0,1.0,,,,,
47,PT07M44.00S,2024-12-28T02:17:29.0Z,1,REGULAR,foul,personal,['2freethrow'],1629636,,,1610612743,11,14,2024-12-28T02:17:38Z,470000,False,,,0,,D. Garland shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1629636, 1629008]",1610612739.0,CLE,shooting,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,,,,1627541.0,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,,
49,PT07M44.00S,2024-12-28T02:17:57.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629008,,,1610612743,11,14,2024-12-28T02:17:57Z,490000,False,,,0,,MISS M. Porter Jr. Free Throw 1 of 2,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
50,PT07M44.00S,2024-12-28T02:17:57.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,11,14,2024-12-28T02:17:57Z,500000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,
51,PT07M44.00S,2024-12-28T02:18:10.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629008,,,1610612743,12,14,2024-12-28T02:18:10Z,510000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (4 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
52,PT07M29.00S,2024-12-28T02:18:29.9Z,1,REGULAR,3pt,Jump Shot,[],1629731,74.85216819973719,17.15686274509804,1610612739,12,17,2024-12-28T02:18:37Z,520000,False,-164.0,184.0,1,right,D. Wade 24' 3PT  (6 PTS) (E. Mobley 2 AST),"[1629731, 1630596]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Left Center,24.65,Made,6.0,E. Mobley,1630596.0,2.0,,,,,,,,,,,,,,
54,PT07M04.00S,2024-12-28T02:18:54.7Z,1,REGULAR,2pt,Jump Shot,[],1627750,22.552562417871222,23.284313725490197,1610612743,14,17,2024-12-28T02:22:45Z,540000,False,134.0,159.0,1,left,J. Murray 20' pullup Jump Shot (4 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,20.81,Made,4.0,,,,,,,,,,,,,,,,,
55,PT07M04.00S,2024-12-28T02:19:01.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,14,17,2024-12-28T02:19:01Z,550000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M04.00S,2024-12-28T02:21:43.0Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,14,17,2024-12-28T02:22:01Z,560000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M04.00S,2024-12-28T02:21:43.0Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,14,17,2024-12-28T02:22:01Z,570000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M04.00S,2024-12-28T02:21:43.0Z,1,REGULAR,substitution,in,[],1629622,,,1610612739,14,17,2024-12-28T02:22:01Z,580000,False,,,0,,SUB in: M. Strus,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M04.00S,2024-12-28T02:21:43.0Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,14,17,2024-12-28T02:22:01Z,590000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M54.00S,2024-12-28T02:22:05.1Z,1,REGULAR,2pt,Jump Shot,[],1629636,90.62089356110381,75.0,1610612739,14,19,2024-12-28T02:22:15Z,600000,False,125.0,36.0,1,right,D. Garland 13' pullup Jump Shot (2 PTS) (D. Wade 1 AST),"[1629636, 1629731]",1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,8-16 Right,13.0,Made,2.0,D. Wade,1629731.0,1.0,,,,,,,,,,,,,,
