actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
44,PT08M22.00S,2025-03-27T01:18:32.5Z,1,REGULAR,3pt,Jump Shot,[],1629645,29.566360052562416,25.71231617647058,1610612749,15,9,2025-03-27T01:18:57Z,430000,False,121.0,225.0,1,left,MISS K. Porter Jr. 25' pullup 3PT,[1629645],1610612749.0,MIL,pullup,,,,,,Above the Break 3,24+ Right Center,25.6,Missed,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,
45,PT08M20.00S,2025-03-27T01:18:34.5Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,15,9,2025-03-27T01:18:57Z,440000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,Murray,J. Murray,,,,,,,,44.0,1.0,1.0,0.0,,,,,,
46,PT08M12.00S,2025-03-27T01:18:42.2Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612743,15,9,2025-03-27T01:19:06Z,450000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Jokić 2 FT),"[201572, 203999]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Lopez,B. Lopez,,,,2004.0,,,,,,,,1.0,0.0,Jokić,203999.0,,
48,PT08M12.00S,2025-03-27T01:19:08.0Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,16,9,2025-03-27T01:19:08Z,470000,False,,,0,,N. Jokić Free Throw 1 of 2 (5 PTS),[203999],1610612743.0,DEN,,,,,,,,,,Made,5.0,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
49,PT08M12.00S,2025-03-27T01:19:26.9Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,17,9,2025-03-27T01:19:26Z,480000,False,,,0,,N. Jokić Free Throw 2 of 2 (6 PTS),[203999],1610612743.0,DEN,,,,,,,,,,Made,6.0,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
50,PT07M59.00S,2025-03-27T01:19:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,12.089356110381075,58.34482230392157,1610612749,17,11,2025-03-27T01:20:04Z,490000,False,-42.0,61.0,1,left,K. Porter Jr. 7' cutting finger roll Layup (4 PTS) (K. Kuzma 1 AST),"[1629645, 1628398]",1610612749.0,MIL,cutting finger roll,,,,,,In The Paint (Non-RA),0-8 Center,7.4,Made,4.0,Porter Jr.,K. Porter Jr.,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,
52,PT07M46.00S,2025-03-27T01:19:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,89.48751642575559,58.57077205882353,1610612743,19,11,2025-03-27T01:20:23Z,510000,False,43.0,46.0,1,right,C. Braun 6' driving Layup (2 PTS) (N. Jokić 1 AST),"[1631128, 203999]",1610612743.0,DEN,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.31,Made,2.0,Braun,C. Braun,N. Jokić,203999.0,1.0,,,,,,,,,,,,,,
54,PT07M34.00S,2025-03-27T01:20:08.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,12.614980289093296,3.8985906862745026,1610612749,19,11,2025-03-27T01:20:40Z,530000,False,231.0,66.0,1,left,MISS G. Trent Jr. 3PT,[1629018],1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,23.98,Missed,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,
55,PT07M32.00S,2025-03-27T01:20:10.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,19,11,2025-03-27T01:20:40Z,540000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,,,,Porter Jr.,M. Porter Jr.,,,,,,,,54.0,2.0,2.0,0.0,,,,,,
56,PT07M25.00S,2025-03-27T01:20:15.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631128,78.18659658344284,92.13388480392157,1610612743,22,11,2025-03-27T01:21:03Z,550000,False,211.0,153.0,1,right,C. Braun 26' 3PT running (5 PTS) (M. Porter Jr. 1 AST),"[1631128, 1629008]",1610612743.0,DEN,running,,,,,,Above the Break 3,24+ Right Center,26.01,Made,5.0,Braun,C. Braun,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,,,,,
58,PT07M03.00S,2025-03-27T01:20:41.9Z,1,REGULAR,turnover,backcourt,[],1629018,,,1610612749,22,11,2025-03-27T01:20:49Z,570000,False,,,0,,G. Trent Jr. backcourt TURNOVER (1 TO),[1629018],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Trent Jr.,G. Trent Jr.,,,,2004.0,1.0,,,,,,,,,,,,
59,PT06M52.00S,2025-03-27T01:21:16.6Z,1,REGULAR,foul,personal,['2freethrow'],1629645,,,1610612743,22,11,2025-03-27T01:21:40Z,580000,False,,,0,,K. Porter Jr. shooting personal FOUL (1 PF) (Jokić 2 FT),"[1629645, 203999]",1610612749.0,MIL,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Porter Jr.,K. Porter Jr.,,,,1628159.0,,,,,,,,1.0,0.0,Jokić,203999.0,,
61,PT06M52.00S,2025-03-27T01:21:41.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203999,,,1610612743,23,11,2025-03-27T01:22:17Z,600000,False,,,0,,N. Jokić Free Throw 1 of 2 (7 PTS),[203999],1610612743.0,DEN,,,,,,,,,,Made,7.0,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
63,PT06M52.00S,2025-03-27T01:21:41.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203999,,,1610612743,23,11,2025-03-27T01:22:17Z,620000,False,,,0,,MISS N. Jokić Free Throw 2 of 2,[203999],1610612743.0,DEN,,,,,,,,,,Missed,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
64,PT06M51.00S,2025-03-27T01:21:42.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,23,11,2025-03-27T01:22:30Z,630000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612749.0,MIL,,,,,,,,,,,,Kuzma,K. Kuzma,,,,,,,,63.0,1.0,1.0,0.0,,,,,,
65,PT06M43.00S,2025-03-27T01:22:24.9Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612749,23,11,2025-03-27T01:22:52Z,640000,False,,,0,,K. Kuzma bad pass TURNOVER (1 TO),"[1628398, 1629008]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,Kuzma,K. Kuzma,,,,,1.0,Porter Jr.,1629008.0,,,,,,,,,,
66,PT06M43.00S,2025-03-27T01:22:24.9Z,1,REGULAR,steal,,[],1629008,,,1610612743,23,11,2025-03-27T01:22:26Z,650000,False,,,0,,M. Porter Jr. STEAL (2 STL),[1629008],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,
67,PT06M39.00S,2025-03-27T01:22:28.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629008,67.62483574244416,71.32352941176471,1610612743,26,11,2025-03-27T01:23:04Z,660000,False,107.0,252.0,1,right,M. Porter Jr. 27' 3PT running pullup (11 PTS),[1629008],1610612743.0,DEN,running pullup,,,,,,Above the Break 3,24+ Right Center,27.34,Made,11.0,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,
68,PT06M20.00S,2025-03-27T01:22:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,6.307490144546648,46.12055759803921,1610612749,26,11,2025-03-27T01:23:32Z,670000,False,19.0,7.0,1,left,MISS K. Kuzma cutting Layup,[1628398],1610612749.0,MIL,cutting,,,,,,Restricted Area,0-8 Center,2.06,Missed,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,
69,PT06M19.00S,2025-03-27T01:22:49.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,26,11,2025-03-27T01:23:32Z,680000,False,,,0,,N. Jokić REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,Jokić,N. Jokić,,,,,,,,68.0,2.0,1.0,1.0,,,,,,
70,PT06M07.00S,2025-03-27T01:23:00.9Z,1,REGULAR,turnover,out-of-bounds,[],1629008,,,1610612743,26,11,2025-03-27T01:23:46Z,690000,False,,,0,,M. Porter Jr. step out-of-bounds TURNOVER (2 TO),[1629008],1610612743.0,DEN,step,,,,,,Left Corner 3,24+ Left,,,,Porter Jr.,M. Porter Jr.,,,,1628951.0,2.0,,,,,,,,,,,,
71,PT06M07.00S,2025-03-27T01:23:03.9Z,1,REGULAR,substitution,out,[],1628398,,,1610612749,26,11,2025-03-27T01:23:15Z,700000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612749.0,MIL,,,,,,,,,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,
72,PT06M07.00S,2025-03-27T01:23:03.9Z,1,REGULAR,substitution,in,[],1631260,,,1610612749,26,11,2025-03-27T01:23:15Z,710000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,,,,,,,,,Green,A. Green,,,,,,,,,,,,,,,,,
73,PT05M53.00S,2025-03-27T01:23:31.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,26.757555847568987,86.27450980392157,1610612749,26,14,2025-03-27T01:24:01Z,720000,False,-181.0,199.0,1,left,T. Prince 26' 3PT pullup (3 PTS) (K. Porter Jr. 2 AST),"[1627752, 1629645]",1610612749.0,MIL,pullup,,,,,,Above the Break 3,24+ Left Center,26.93,Made,3.0,Prince,T. Prince,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,,,,,
75,PT05M38.00S,2025-03-27T01:23:47.0Z,1,REGULAR,3pt,Jump Shot,[],1627750,67.52628120893561,35.51623774509804,1610612743,26,14,2025-03-27T01:24:18Z,740000,False,-72.0,253.0,1,right,MISS J. Murray 26' 3PT,[1627750],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,26.3,Missed,,Murray,J. Murray,,,,,,,,,,,,,,,,,
76,PT05M36.00S,2025-03-27T01:23:49.0Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612749,26,14,2025-03-27T01:24:18Z,750000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Porter Jr.,K. Porter Jr.,,,,,,,,75.0,1.0,1.0,0.0,,,,,,
78,PT05M21.00S,2025-03-27T01:24:17.6Z,1,REGULAR,3pt,Jump Shot,[],201572,29.172141918528254,16.153492647058826,1610612749,26,14,2025-03-27T01:24:42Z,770000,False,169.0,222.0,1,left,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,27.89,Missed,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,
79,PT05M19.00S,2025-03-27T01:24:19.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,26,14,2025-03-27T01:24:42Z,780000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,,78.0,3.0,3.0,0.0,,,,,,
80,PT05M09.00S,2025-03-27T01:24:29.6Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,26,14,2025-03-27T01:24:37Z,790000,False,,,0,,N. Jokić lost ball out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,lost ball,,,,,,Mid-Range,8-16 Right,,,,Jokić,N. Jokić,,,,1628951.0,1.0,,,,,,,,,,,,
81,PT05M09.00S,2025-03-27T01:24:32.1Z,1,REGULAR,substitution,out,[],1631128,,,1610612749,26,14,2025-03-27T01:24:39Z,800000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,,,,,,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,
82,PT05M09.00S,2025-03-27T01:24:32.1Z,1,REGULAR,substitution,in,[],201566,,,1610612749,26,14,2025-03-27T01:24:39Z,810000,False,,,0,,SUB in: R. Westbrook,[201566],1610612743.0,DEN,,,,,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
83,PT04M53.00S,2025-03-27T01:25:01.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,33.38124178712221,39.192708333333336,1610612749,26,14,2025-03-27T02:11:09Z,820000,False,54.0,261.0,1,left,MISS K. Porter Jr. 26' pullup 3PT,[1629645],1610612749.0,MIL,pullup,,,,,,Above the Break 3,24+ Center,26.68,Missed,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,
84,PT04M51.00S,2025-03-27T01:25:03.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612743,26,14,2025-03-27T01:25:31Z,830000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,,Westbrook,R. Westbrook,,,,,,,,83.0,1.0,1.0,0.0,,,,,,
86,PT04M44.00S,2025-03-27T01:25:10.7Z,1,REGULAR,substitution,out,[],1629018,,,1610612743,26,14,2025-03-27T01:25:18Z,850000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,,,,,,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,
87,PT04M44.00S,2025-03-27T01:25:10.7Z,1,REGULAR,substitution,in,[],1626192,,,1610612743,26,14,2025-03-27T01:25:18Z,860000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,,,,,,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,
88,PT04M41.00S,2025-03-27T01:25:30.0Z,1,REGULAR,3pt,Jump Shot,[],203999,73.90563403416557,14.43780637254902,1610612743,29,14,2025-03-27T01:26:33Z,870000,False,-178.0,193.0,1,right,N. Jokić 26' 3PT  (10 PTS) (R. Westbrook 1 AST),"[203999, 201566]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,26.23,Made,10.0,Jokić,N. Jokić,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
90,PT04M24.00S,2025-03-27T01:25:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,12.614980289093296,56.51424632352941,1610612749,29,16,2025-03-27T01:26:54Z,890000,False,-33.0,66.0,1,left,B. Lopez 7' driving floating Jump Shot (4 PTS) (K. Porter Jr. 3 AST),"[201572, 1629645]",1610612749.0,MIL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.37,Made,4.0,Lopez,B. Lopez,K. Porter Jr.,1629645.0,3.0,,,,,,,,,,,,,,
