actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M38.00S,2025-01-24T02:12:47.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,92.85479632063075,43.38235294117647,1610612743,5,0,2025-01-24T02:12:53Z,170000,False,-33.0,15.0,1,right,J. Murray cutting finger roll Layup (3 PTS) (N. Jokić 1 AST),"[1627750, 203999]",1610612743.0,DEN,cutting finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,Made,3.0,,,,,,3.62,N. Jokić,203999.0,1.0,,,,
19,PT10M26.00S,2025-01-24T02:12:58.8Z,1,REGULAR,3pt,Jump Shot,[],1628370,22.946780551905388,89.2156862745098,1610612758,5,0,2025-01-24T02:13:05Z,190000,False,-196.0,163.0,1,left,MISS M. Monk 25' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,25.51,,,,,,,
20,PT10M23.00S,2025-01-24T02:13:02.7Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,5,0,2025-01-24T02:13:02Z,200000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,
21,PT10M19.00S,2025-01-24T02:13:07.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627734,31.750985545335087,54.65686274509803,1610612758,5,3,2025-01-24T02:13:14Z,210000,False,-23.0,246.0,1,left,D. Sabonis 24' 3PT  (3 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,,,,,24.71,D. Fox,1628368.0,1.0,,,,
23,PT09M51.00S,2025-01-24T02:13:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,92.72339027595268,50.73529411764706,1610612743,7,3,2025-01-24T02:15:17Z,230000,False,4.0,16.0,1,right,C. Braun cutting Layup (4 PTS) (R. Westbrook 1 AST),"[1631128, 201566]",1610612743.0,DEN,cutting,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,,,1.63,R. Westbrook,201566.0,1.0,,,,
25,PT09M39.00S,2025-01-24T02:13:46.3Z,1,REGULAR,2pt,Jump Shot,[],201942,14.4053876478318,17.892156862745097,1610612758,7,5,2025-01-24T02:13:52Z,250000,False,161.0,83.0,1,left,D. DeRozan 18' step back Jump Shot (2 PTS),[201942],1610612758.0,SAC,step back,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right,,,,,,Made,2.0,,,,,,18.06,,,,,,,
26,PT09M19.00S,2025-01-24T02:14:06.5Z,1,REGULAR,2pt,Jump Shot,[],1629008,73.27529566360053,73.52941176470588,1610612743,7,5,2025-01-24T02:14:12Z,260000,False,118.0,199.0,1,right,MISS M. Porter Jr. 23' Jump Shot,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,,,,,,23.09,,,,,,,
27,PT09M17.00S,2025-01-24T02:14:08.5Z,1,REGULAR,rebound,offensive,[],1631128,,,1610612743,7,5,2025-01-24T02:14:08Z,270000,False,,,0,,C. Braun REBOUND (Off:1 Def:0),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Right Center,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,
28,PT09M16.00S,2025-01-24T02:14:09.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,67.7562417871222,60.29411764705882,1610612743,7,5,2025-01-24T02:14:16Z,280000,False,51.0,251.0,1,right,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,,25.58,,,,,,,
29,PT09M16.00S,2025-01-24T02:14:09.5Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,7,5,2025-01-24T02:14:16Z,290000,False,,,0,,K. Murray REBOUND (Off:1 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,28.0,2.0,1.0,1.0,,,,,,,,,
30,PT09M06.00S,2025-01-24T02:14:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,12.959921156373195,48.529411764705884,1610612758,7,7,2025-01-24T02:14:27Z,300000,False,7.0,69.0,1,left,D. DeRozan 6' driving floating Jump Shot (4 PTS) (D. Sabonis 1 AST),"[201942, 1627734]",1610612758.0,SAC,driving floating,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,4.0,,,,,,6.97,D. Sabonis,1627734.0,1.0,,,,
32,PT08M48.00S,2025-01-24T02:14:36.4Z,1,REGULAR,3pt,Jump Shot,[],1629008,75.64060446780552,86.27450980392157,1610612743,10,7,2025-01-24T02:14:43Z,320000,False,181.0,176.0,1,right,M. Porter Jr. 25' 3PT  (3 PTS) (J. Murray 2 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,,,,,,25.31,J. Murray,1627750.0,2.0,,,,
34,PT08M37.00S,2025-01-24T02:14:47.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.783837056504599,57.35294117647059,1610612758,10,9,2025-01-24T02:14:52Z,340000,False,-37.0,11.0,1,left,D. Sabonis driving Layup (5 PTS) (M. Monk 1 AST),"[1627734, 1628370]",1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,,,,,,3.85,M. Monk,1628370.0,1.0,,,,
36,PT08M33.00S,2025-01-24T02:14:54.7Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612743,10,9,2025-01-24T02:15:15Z,360000,False,,,0,,M. Monk shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1628370, 201566]",1610612758.0,SAC,shooting,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,2882.0,1.0,0.0,Westbrook,201566.0,,,,,,,,,,,,,,,
38,PT08M33.00S,2025-01-24T02:15:17.5Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612743,10,9,2025-01-24T02:15:17Z,380000,False,,,0,,MISS R. Westbrook Free Throw 1 of 2,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
39,PT08M33.00S,2025-01-24T02:15:17.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,10,9,2025-01-24T02:15:17Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,
40,PT08M33.00S,2025-01-24T02:15:31.8Z,1,REGULAR,freethrow,2 of 2,[],201566,,,1610612743,11,9,2025-01-24T02:15:31Z,400000,False,,,0,,R. Westbrook Free Throw 2 of 2 (1 PTS),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
41,PT08M20.00S,2025-01-24T02:15:45.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.783837056504599,57.35294117647059,1610612758,11,9,2025-01-24T02:15:55Z,410000,False,-37.0,11.0,1,left,MISS D. Sabonis driving Layup,[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,,3.85,,,,,,,
42,PT08M19.00S,2025-01-24T02:15:46.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,11,9,2025-01-24T02:15:55Z,420000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,
43,PT08M11.00S,2025-01-24T02:15:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,92.72339027595268,44.11764705882353,1610612743,13,9,2025-01-24T02:16:02Z,430000,False,-29.0,16.0,1,right,M. Porter Jr. cutting Layup (5 PTS) (N. Jokić 2 AST),"[1629008, 203999]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,,,,,,3.34,N. Jokić,203999.0,2.0,,,,
45,PT08M03.00S,2025-01-24T02:16:07.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,19.004599211563733,48.03921568627451,1610612758,13,11,2025-01-24T02:16:15Z,450000,False,10.0,126.0,1,left,M. Monk 12' driving floating Jump Shot (2 PTS),[1628370],1610612758.0,SAC,driving floating,,,Monk,M. Monk,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,,,,,,12.65,,,,,,,
46,PT08M03.00S,2025-01-24T02:16:09.2Z,1,REGULAR,foul,personal,['1freethrow'],1631128,,,1610612758,13,11,2025-01-24T02:16:14Z,460000,False,,,0,,C. Braun shooting personal FOUL (1 PF) (Monk 1 FT),"[1631128, 1628370]",1610612743.0,DEN,shooting,,,Braun,C. Braun,,,,,Mid-Range,8-16 Center,1626300.0,1.0,0.0,Monk,1628370.0,,,,,,,,,,,,,,,
48,PT08M03.00S,2025-01-24T02:16:38.2Z,1,REGULAR,freethrow,1 of 1,[],1628370,,,1610612758,13,12,2025-01-24T02:16:38Z,480000,False,,,0,,M. Monk Free Throw 1 of 1 (3 PTS),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
49,PT07M48.00S,2025-01-24T02:16:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,86.15308804204993,49.50980392156863,1610612743,13,12,2025-01-24T02:17:03Z,490000,False,-2.0,78.0,1,right,MISS N. Jokić 7' turnaround fadeaway Shot,[203999],1610612743.0,DEN,turnaround fadeaway,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,,7.77,,,,,,,
50,PT07M47.00S,2025-01-24T02:16:56.5Z,1,REGULAR,rebound,offensive,[],201566,,,1610612743,13,12,2025-01-24T02:20:29Z,500000,False,,,0,,R. Westbrook REBOUND (Off:1 Def:0),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,,,
51,PT07M47.00S,2025-01-24T02:17:00.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201566,94.40999984741211,50.0,1610612743,15,12,2025-01-24T02:20:35Z,510000,False,0.0,0.0,1,right,R. Westbrook tip Layup (3 PTS),[201566],1610612743.0,DEN,tip,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,Made,3.0,,,,,,0.0,,,,,,,
52,PT07M34.00S,2025-01-24T02:17:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,16.770696452036795,58.08823529411765,1610612758,15,14,2025-01-24T02:17:25Z,520000,False,-40.0,105.0,1,left,D. DeRozan 11' turnaround fadeaway Jump Shot (6 PTS),[201942],1610612758.0,SAC,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,6.0,,,,,,11.26,,,,,,,
53,PT07M34.00S,2025-01-24T02:17:21.9Z,1,REGULAR,foul,personal,['1freethrow'],1631128,,,1610612758,15,14,2025-01-24T02:17:43Z,530000,False,,,0,,C. Braun shooting personal FOUL (2 PF) (DeRozan 1 FT),"[1631128, 201942]",1610612743.0,DEN,shooting,,,Braun,C. Braun,,,,,In The Paint (Non-RA),8-16 Center,1628481.0,2.0,0.0,DeRozan,201942.0,,,,,,,,,,,,,,,
55,PT07M34.00S,2025-01-24T02:17:44.8Z,1,REGULAR,freethrow,1 of 1,[],201942,,,1610612758,15,15,2025-01-24T02:17:44Z,550000,False,,,0,,D. DeRozan Free Throw 1 of 1 (7 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
56,PT07M23.00S,2025-01-24T02:17:53.6Z,1,REGULAR,3pt,Jump Shot,[],1629008,66.83639947437582,45.83333333333333,1610612743,15,15,2025-01-24T02:18:01Z,560000,False,-21.0,259.0,1,right,MISS M. Porter Jr. 26' step back 3PT,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,,26.0,,,,,,,
57,PT07M20.00S,2025-01-24T02:17:56.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,15,15,2025-01-24T02:18:01Z,570000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,
58,PT07M11.00S,2025-01-24T02:18:06.4Z,1,REGULAR,2pt,Jump Shot,[],1627734,6.783837056504599,78.67647058823529,1610612758,15,15,2025-01-24T02:18:12Z,580000,False,-143.0,11.0,1,left,MISS D. Sabonis 14' Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,,,,,14.38,,,,,,,
59,PT07M08.00S,2025-01-24T02:18:09.4Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,15,15,2025-01-24T02:18:12Z,590000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,8-16 Left,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,
60,PT07M00.00S,2025-01-24T02:18:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,92.46057818659659,50.73529411764706,1610612743,17,15,2025-01-24T02:18:23Z,600000,False,4.0,18.0,1,right,C. Braun cutting Layup (6 PTS) (N. Jokić 3 AST),"[1631128, 203999]",1610612743.0,DEN,cutting,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,,,,,,1.88,N. Jokić,203999.0,3.0,,,,
62,PT06M53.00S,2025-01-24T02:18:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,20.318659658344284,48.529411764705884,1610612758,17,17,2025-01-24T02:18:29Z,620000,False,7.0,138.0,1,left,D. Fox 13' pullup Jump Shot (2 PTS) (M. Monk 2 AST),"[1628368, 1628370]",1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,,,,,,13.87,M. Monk,1628370.0,2.0,,,,
63,PT06M45.00S,2025-01-24T02:18:38.3Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612743,17,17,2025-01-24T02:18:46Z,630000,False,,,0,,R. Westbrook lost ball out-of-bounds TURNOVER (1 TO),[201566],1610612743.0,DEN,lost ball,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Left,1626300.0,,,,,,,,,,,1.0,,,,,,,,
64,PT06M45.00S,2025-01-24T02:18:44.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,17,17,2025-01-24T02:18:44Z,640000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M45.00S,2025-01-24T02:20:56.0Z,1,REGULAR,substitution,out,[],1631128,,,1610612758,17,17,2025-01-24T02:21:31Z,650000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M45.00S,2025-01-24T02:20:56.0Z,1,REGULAR,substitution,out,[],201942,,,1610612758,17,17,2025-01-24T02:21:31Z,660000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M45.00S,2025-01-24T02:20:56.0Z,1,REGULAR,substitution,out,[],1628368,,,1610612758,17,17,2025-01-24T02:21:31Z,670000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M45.00S,2025-01-24T02:20:56.0Z,1,REGULAR,substitution,in,[],1631124,,,1610612758,17,17,2025-01-24T02:21:31Z,680000,False,,,0,,SUB in: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M45.00S,2025-01-24T02:20:56.0Z,1,REGULAR,substitution,in,[],1631165,,,1610612758,17,17,2025-01-24T02:21:31Z,690000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M45.00S,2025-01-24T02:20:56.0Z,1,REGULAR,substitution,in,[],1642269,,,1610612758,17,17,2025-01-24T02:21:31Z,700000,False,,,0,,SUB in: D. Carter,[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M36.00S,2025-01-24T02:21:46.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627734,16.63929040735874,39.705882352941174,1610612758,17,19,2025-01-24T02:23:00Z,710000,False,51.0,104.0,1,left,D. Sabonis 11' floating Jump Shot (7 PTS) (M. Monk 3 AST),"[1627734, 1628370]",1610612758.0,SAC,floating,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,7.0,,,,,,11.6,M. Monk,1628370.0,3.0,,,,
74,PT06M16.00S,2025-01-24T02:22:08.3Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612743,17,19,2025-01-24T02:24:48Z,730000,False,,,0,,M. Monk shooting personal FOUL (2 PF) (Westbrook 2 FT),"[1628370, 201566]",1610612758.0,SAC,shooting,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,2882.0,2.0,0.0,Westbrook,201566.0,,,,,,,,,,,,,,,
76,PT06M16.00S,2025-01-24T02:22:33.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,17,19,2025-01-24T02:22:33Z,750000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M16.00S,2025-01-24T02:24:51.1Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,17,19,2025-01-24T02:25:11Z,770000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M16.00S,2025-01-24T02:24:51.1Z,1,REGULAR,substitution,in,[],203932,,,1610612743,17,19,2025-01-24T02:25:11Z,780000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M16.00S,2025-01-24T02:25:34.0Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612743,17,19,2025-01-24T02:25:57Z,790000,False,,,0,,MISS R. Westbrook Free Throw 1 of 2,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
81,PT06M16.00S,2025-01-24T02:25:34.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612743,17,19,2025-01-24T02:25:57Z,800000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,
82,PT06M16.00S,2025-01-24T02:25:34.0Z,1,REGULAR,freethrow,2 of 2,[],201566,,,1610612743,17,19,2025-01-24T02:25:57Z,810000,False,,,0,,MISS R. Westbrook Free Throw 2 of 2,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
83,PT06M13.00S,2025-01-24T02:25:37.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,17,19,2025-01-24T02:25:57Z,820000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,82.0,2.0,2.0,0.0,,,,,,,,,
84,PT06M02.00S,2025-01-24T02:26:04.0Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612758,17,19,2025-01-24T02:26:10Z,830000,False,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 203999]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,,,,,Jokić,203999.0,,
85,PT06M02.00S,2025-01-24T02:26:04.0Z,1,REGULAR,steal,,[],203999,,,1610612743,17,19,2025-01-24T02:26:11Z,840000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
86,PT05M51.00S,2025-01-24T02:26:15.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203999,67.88764783180025,61.029411764705884,1610612743,20,19,2025-01-24T02:26:21Z,850000,False,55.0,249.0,1,right,N. Jokić 25' 3PT  (3 PTS) (J. Strawther 1 AST),"[203999, 1631124]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,,,,,25.54,J. Strawther,1631124.0,1.0,,,,
88,PT05M35.00S,2025-01-24T02:26:30.8Z,1,REGULAR,3pt,Jump Shot,[],1642269,25.837713534822605,83.33333333333334,1610612758,20,19,2025-01-24T02:26:37Z,870000,False,-167.0,190.0,1,left,MISS D. Carter 25' step back 3PT,[1642269],1610612758.0,SAC,step back,,,Carter,D. Carter,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,25.31,,,,,,,
