actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M55.00S,2025-02-07T02:13:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,12.040078843626807,49.26470588235294,1610612753,4,0,2025-02-07T02:13:11Z,190000,False,4.0,61.0,1,left,MISS F. Wagner 6' driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,,,,,,,,,,,,,,,,,,
20,PT10M53.00S,2025-02-07T02:13:09.6Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,4,0,2025-02-07T02:13:45Z,200000,False,,,0,,F. Wagner REBOUND (Off:1 Def:0),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,19.0,,,,,,,,,,1.0,0.0,1.0,,,
21,PT10M53.00S,2025-02-07T02:13:10.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630532,5.590000152587891,50.0,1610612753,4,0,2025-02-07T02:13:40Z,210000,False,0.0,0.0,1,left,MISS F. Wagner tip Layup,[1630532],1610612753.0,ORL,tip,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
22,PT10M53.00S,2025-02-07T02:13:10.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,4,0,2025-02-07T02:15:55Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,,,21.0,,,,,,,,,,,,,,,
24,PT10M53.00S,2025-02-07T02:13:22.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,4,0,2025-02-07T02:33:00Z,240000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M35.00S,2025-02-07T02:16:23.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,88.25558475689881,46.81372549019608,1610612743,6,0,2025-02-07T02:16:28Z,260000,False,-16.0,58.0,1,right,N. Jokić 6' driving Hook (4 PTS),[203999],1610612743.0,DEN,driving,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,6.0,Made,,,,,,,,,4.0,,,,,,,,,
28,PT10M17.00S,2025-02-07T02:16:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,10.463206307490145,57.107843137254896,1610612753,6,2,2025-02-07T02:16:46Z,280000,False,-36.0,46.0,1,left,P. Banchero turnaround Jump Shot (2 PTS),[1631094],1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,5.8,Made,,,,,,,,,2.0,,,,,,,,,
29,PT10M03.00S,2025-02-07T02:16:56.2Z,1,REGULAR,foul,personal,[],1630175,,,1610612743,6,2,2025-02-07T02:17:05Z,290000,False,,,0,,C. Anthony personal FOUL (1 PF),"[1630175, 1631124]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1628954.0,1.0,0.0,Strawther,1631124.0,,,,,,,,,,
31,PT09M59.00S,2025-02-07T02:17:18.7Z,1,REGULAR,foul,personal,[],1630175,,,1610612743,6,2,2025-02-07T02:17:28Z,310000,False,,,0,,C. Anthony personal FOUL (2 PF),"[1630175, 1631124]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Center,,,,,,1626300.0,2.0,0.0,Strawther,1631124.0,,,,,,,,,,
33,PT09M56.00S,2025-02-07T02:17:40.3Z,1,REGULAR,turnover,out-of-bounds,[],1629008,,,1610612743,6,2,2025-02-07T02:17:47Z,330000,False,,,0,,M. Porter Jr. lost ball out-of-bounds TURNOVER (1 TO),[1629008],1610612743.0,DEN,lost ball,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,1628954.0,,,,,,,,,,,,1.0,,
34,PT09M39.00S,2025-02-07T02:18:03.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203484,27.020367936925098,15.931372549019606,1610612753,6,2,2025-02-07T02:18:08Z,340000,False,170.0,201.0,1,left,MISS K. Caldwell-Pope 26' 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,26.38,Missed,,,,,,,,,,,,,,,,,,
35,PT09M36.00S,2025-02-07T02:18:06.0Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,6,2,2025-02-07T02:18:08Z,350000,False,,,0,,F. Wagner REBOUND (Off:2 Def:0),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,,,,,34.0,,,,,,,,,,2.0,0.0,2.0,,,
36,PT09M31.00S,2025-02-07T02:18:11.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630175,11.777266754270697,43.13725490196079,1610612753,6,2,2025-02-07T02:18:16Z,360000,False,34.0,58.0,1,left,MISS C. Anthony 6' driving Hook,[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,6.76,Missed,,,,,,,,,,,,,,,,,,
37,PT09M28.00S,2025-02-07T02:18:14.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,6,2,2025-02-07T02:18:16Z,370000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,,36.0,,,,,,,,,,1.0,1.0,0.0,,,
38,PT09M21.00S,2025-02-07T02:18:20.8Z,1,REGULAR,turnover,bad pass,[],1631128,,,1610612743,6,2,2025-02-07T02:18:26Z,380000,False,,,0,,C. Braun bad pass TURNOVER (1 TO),"[1631128, 1630532]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Wagner,1630532.0
39,PT09M21.00S,2025-02-07T02:18:20.8Z,1,REGULAR,steal,,[],1630532,,,1610612753,6,2,2025-02-07T02:18:23Z,390000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
40,PT09M16.00S,2025-02-07T02:18:26.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630532,7.178055190538765,2.696078431372549,1610612753,6,2,2025-02-07T02:18:36Z,400000,False,237.0,15.0,1,left,MISS F. Wagner running 3PT,[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,,
41,PT09M13.00S,2025-02-07T02:18:29.2Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,6,2,2025-02-07T02:20:10Z,410000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Right Corner 3,24+ Right,,,,,40.0,,,,,,,,,,1.0,1.0,0.0,,,
42,PT09M02.00S,2025-02-07T02:18:39.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631124,87.86136662286465,58.82352941176471,1610612743,6,2,2025-02-07T02:20:40Z,420000,False,44.0,62.0,1,right,MISS J. Strawther 7' driving floating Shot,[1631124],1610612743.0,DEN,driving floating,,,Strawther,J. Strawther,,,,,In The Paint (Non-RA),0-8 Center,7.58,Missed,,,,,,,,,,,,,,,,,,
43,PT09M01.00S,2025-02-07T02:18:40.7Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,6,2,2025-02-07T02:18:44Z,430000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,42.0,,,,,,,,,,1.0,1.0,0.0,,,
44,PT08M58.00S,2025-02-07T02:18:44.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630532,6.521024967148489,49.50980392156863,1610612753,6,4,2025-02-07T02:18:50Z,440000,False,2.0,9.0,1,left,F. Wagner running DUNK (2 PTS) (K. Caldwell-Pope 1 AST),"[1630532, 203484]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.91,Made,,,,,,,,,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,
46,PT08M36.00S,2025-02-07T02:19:08.4Z,1,REGULAR,foul,personal,['2freethrow'],1630532,,,1610612743,6,4,2025-02-07T02:19:18Z,460000,False,,,0,,F. Wagner shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1630532, 1629008]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1626300.0,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,,,
48,PT08M36.00S,2025-02-07T02:19:30.8Z,1,REGULAR,freethrow,1 of 2,[],1629008,,,1610612743,7,4,2025-02-07T02:19:50Z,480000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (3 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
49,PT08M36.00S,2025-02-07T02:19:30.8Z,1,REGULAR,freethrow,2 of 2,[],1629008,,,1610612743,7,4,2025-02-07T02:19:50Z,490000,False,,,0,,MISS M. Porter Jr. Free Throw 2 of 2,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
50,PT08M34.00S,2025-02-07T02:19:32.8Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,7,4,2025-02-07T02:19:50Z,500000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,49.0,,,,,,,,,,1.0,1.0,0.0,,,
51,PT08M21.00S,2025-02-07T02:20:01.6Z,1,REGULAR,2pt,Jump Shot,[],1631094,12.434296977660972,75.0,1610612753,7,4,2025-02-07T02:20:07Z,510000,False,-125.0,64.0,1,left,MISS P. Banchero 14' step back Shot,[1631094],1610612753.0,ORL,step back,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,14.06,Missed,,,,,,,,,,,,,,,,,,
52,PT08M17.00S,2025-02-07T02:20:05.6Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,7,4,2025-02-07T02:20:07Z,520000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,,,,,51.0,,,,,,,,,,1.0,1.0,0.0,,,
53,PT08M13.00S,2025-02-07T02:20:10.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631128,92.9862023653088,44.11764705882353,1610612743,9,4,2025-02-07T02:20:17Z,530000,False,-29.0,13.0,1,right,C. Braun running alley-oop Layup (2 PTS) (A. Gordon 2 AST),"[1631128, 203932]",1610612743.0,DEN,running alley-oop,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,3.23,Made,,,,,,,,,2.0,A. Gordon,203932.0,2.0,,,,,,
55,PT07M51.00S,2025-02-07T02:20:31.0Z,1,REGULAR,2pt,Jump Shot,[],203484,5.732588699080158,80.14705882352942,1610612753,9,6,2025-02-07T02:20:35Z,550000,False,-151.0,1.0,1,left,K. Caldwell-Pope 15' pullup Jump Shot (2 PTS) (P. Banchero 1 AST),"[203484, 1631094]",1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,15.07,Made,,,,,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,,
57,PT07M40.00S,2025-02-07T02:20:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,89.43823915900131,45.83333333333333,1610612743,9,6,2025-02-07T02:22:34Z,570000,False,-21.0,47.0,1,right,MISS C. Braun driving Layup - blocked,"[1631128, 1629048]",1610612743.0,DEN,driving,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,5.12,Missed,Bitadze,1629048.0,,,,,,,,,,,,,,,,
58,PT07M40.00S,2025-02-07T02:20:42.1Z,1,REGULAR,block,,[],1629048,,,1610612743,9,6,2025-02-07T02:20:44Z,580000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M39.00S,2025-02-07T02:20:43.1Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,9,6,2025-02-07T02:20:49Z,590000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:2),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,57.0,,,,,,,,,,2.0,2.0,0.0,,,
60,PT07M34.00S,2025-02-07T02:20:49.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629048,6.521024967148489,62.00980392156863,1610612753,9,8,2025-02-07T02:20:59Z,600000,False,-60.0,9.0,1,left,G. Bitadze 6' floating Jump Shot (2 PTS) (K. Caldwell-Pope 2 AST),"[1629048, 203484]",1610612753.0,ORL,floating,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,6.06,Made,,,,,,,,,2.0,K. Caldwell-Pope,203484.0,2.0,,,,,,
62,PT07M22.00S,2025-02-07T02:21:02.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629048,,,1610612743,9,8,2025-02-07T02:21:08Z,620000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Jokić 2 FT),"[1629048, 203999]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,1628954.0,1.0,0.0,Jokić,203999.0,,,,,,,,,,
64,PT07M22.00S,2025-02-07T02:21:29.4Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,9,8,2025-02-07T02:21:29Z,640000,False,,,0,,MISS N. Jokić Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
65,PT07M22.00S,2025-02-07T02:21:29.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,9,8,2025-02-07T02:21:29Z,650000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,
66,PT07M22.00S,2025-02-07T02:21:42.8Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,10,8,2025-02-07T02:21:42Z,660000,False,,,0,,N. Jokić Free Throw 2 of 2 (5 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,,
67,PT07M15.00S,2025-02-07T02:21:55.9Z,1,REGULAR,foul,personal,[],1631128,,,1610612753,10,8,2025-02-07T02:22:02Z,670000,False,,,0,,C. Braun personal FOUL (1 PF),"[1631128, 1630532]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Center,,,,,,101283.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,,
69,PT07M09.00S,2025-02-07T02:22:23.9Z,1,REGULAR,foul,personal,['2freethrow'],1631124,,,1610612753,10,8,2025-02-07T02:22:33Z,690000,False,,,0,,J. Strawther shooting personal FOUL (1 PF) (Wagner 2 FT),"[1631124, 1630532]",1610612743.0,DEN,shooting,,,Strawther,J. Strawther,,,,,Mid-Range,8-16 Left,,,,,,1626300.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,,
71,PT07M09.00S,2025-02-07T02:22:42.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612753,10,8,2025-02-07T02:22:47Z,710000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,1626300.0,,,,,,,,,,,,,,
72,PT07M09.00S,2025-02-07T02:22:58.7Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,10,9,2025-02-07T02:22:58Z,720000,False,,,0,,F. Wagner Free Throw 1 of 2 (3 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
73,PT07M09.00S,2025-02-07T02:23:15.9Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,10,10,2025-02-07T02:23:16Z,730000,False,,,0,,F. Wagner Free Throw 2 of 2 (4 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
74,PT06M53.00S,2025-02-07T02:23:33.9Z,1,REGULAR,3pt,Jump Shot,[],203999,67.88764783180025,57.84313725490197,1610612743,10,10,2025-02-07T02:23:38Z,740000,False,39.0,249.0,1,right,MISS N. Jokić 25' 3PT,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,25.25,Missed,,,,,,,,,,,,,,,,,,
75,PT06M50.00S,2025-02-07T02:23:36.9Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,10,10,2025-02-07T02:23:38Z,750000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,,,74.0,,,,,,,,,,1.0,1.0,0.0,,,
76,PT06M46.00S,2025-02-07T02:23:43.4Z,1,REGULAR,turnover,out-of-bounds,[],1629048,,,1610612753,10,10,2025-02-07T02:23:51Z,760000,False,,,0,,G. Bitadze lost ball out-of-bounds TURNOVER (1 TO),[1629048],1610612753.0,ORL,lost ball,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1628954.0,,,,,,,,,,,,1.0,,
77,PT06M37.00S,2025-02-07T02:23:55.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631124,91.01511169513797,42.64705882352941,1610612743,10,10,2025-02-07T02:24:00Z,770000,False,-37.0,32.0,1,right,MISS J. Strawther driving Layup - blocked,"[1631124, 1631094]",1610612743.0,DEN,driving,,,Strawther,J. Strawther,,,,,In The Paint (Non-RA),0-8 Center,4.88,Missed,Banchero,1631094.0,,,,,,,,,,,,,,,,
78,PT06M37.00S,2025-02-07T02:23:55.6Z,1,REGULAR,block,,[],1631094,,,1610612743,10,10,2025-02-07T02:23:57Z,780000,False,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT06M35.00S,2025-02-07T02:23:57.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,10,10,2025-02-07T02:24:23Z,790000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,77.0,,,,,,,,,,2.0,2.0,0.0,,,
80,PT06M31.00S,2025-02-07T02:24:01.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630175,6.389618922470433,46.568627450980394,1610612753,10,12,2025-02-07T02:24:07Z,800000,False,17.0,8.0,1,left,C. Anthony running reverse Layup (2 PTS) (K. Caldwell-Pope 3 AST),"[1630175, 203484]",1610612753.0,ORL,running reverse,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,,,,,2.0,K. Caldwell-Pope,203484.0,3.0,,,,,,
82,PT06M31.00S,2025-02-07T02:24:05.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,10,12,2025-02-07T02:24:05Z,820000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M31.00S,2025-02-07T02:26:25.0Z,1,REGULAR,substitution,out,[],1631124,,,1610612743,10,12,2025-02-07T02:26:53Z,830000,False,,,0,,SUB out: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M31.00S,2025-02-07T02:26:25.0Z,1,REGULAR,substitution,out,[],1630175,,,1610612743,10,12,2025-02-07T02:26:53Z,840000,False,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M31.00S,2025-02-07T02:26:25.0Z,1,REGULAR,substitution,out,[],1631094,,,1610612743,10,12,2025-02-07T02:26:53Z,850000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M31.00S,2025-02-07T02:26:25.0Z,1,REGULAR,substitution,out,[],1629048,,,1610612743,10,12,2025-02-07T02:26:53Z,860000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M31.00S,2025-02-07T02:26:25.0Z,1,REGULAR,substitution,in,[],1629618,,,1610612743,10,12,2025-02-07T02:26:53Z,870000,False,,,0,,SUB in: J. Pickett,[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M31.00S,2025-02-07T02:26:25.0Z,1,REGULAR,substitution,in,[],1628976,,,1610612743,10,12,2025-02-07T02:26:53Z,880000,False,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M31.00S,2025-02-07T02:26:25.0Z,1,REGULAR,substitution,in,[],1641710,,,1610612743,10,12,2025-02-07T02:26:53Z,890000,False,,,0,,SUB in: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
