actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M43.00S,2025-03-29T23:42:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,91.80354796320631,52.20588235294118,1610612748,5,0,2025-03-29T23:42:24Z,180000,False,11.0,25.0,1,right,MISS T. Herro driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,,,,Restricted Area,0-8 Center,2.69,Missed,,Herro,T. Herro,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2025-03-29T23:42:21.1Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,5,0,2025-03-29T23:42:21Z,190000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Ware,K. Ware,,,,18.0,1.0,0.0,1.0,,,,,,,,,,
20,PT10M39.00S,2025-03-29T23:42:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642276,94.40999984741211,50.0,1610612748,5,2,2025-03-29T23:42:21Z,200000,False,0.0,0.0,1,right,K. Ware tip Layup (2 PTS),[1642276],1610612748.0,MIA,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,Ware,K. Ware,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2025-03-29T23:42:32.8Z,1,REGULAR,3pt,Jump Shot,[],1630215,26.62614980289093,78.92156862745098,1610612755,8,2,2025-03-29T23:42:37Z,210000,False,-145.0,198.0,1,left,J. Butler 24' 3PT pullup (6 PTS) (J. Edwards 2 AST),"[1630215, 1642348]",1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Left Center,24.5,Made,6.0,Butler,J. Butler,J. Edwards,1642348.0,2.0,,,,,,,,,,,,,,
23,PT10M03.00S,2025-03-29T23:42:57.7Z,1,REGULAR,3pt,Jump Shot,[],1641796,86.67871222076215,96.32352941176471,1610612748,8,5,2025-03-29T23:43:01Z,230000,False,232.0,73.0,1,right,P. Larsson 24' 3PT  (3 PTS) (T. Herro 1 AST),"[1641796, 1629639]",1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,24.27,Made,3.0,Larsson,P. Larsson,T. Herro,1629639.0,1.0,,,,,,,,,,,,,,
27,PT09M53.00S,2025-03-29T23:43:35.3Z,1,REGULAR,foul,personal,[],202692,,,1610612755,8,5,2025-03-29T23:44:03Z,270000,False,,,0,,A. Burks personal FOUL (1 PF),"[202692, 1641737]",1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Burks,A. Burks,,,,,,,,,,,202037.0,1.0,0.0,Bona,1641737.0,,
29,PT09M42.00S,2025-03-29T23:43:48.0Z,1,REGULAR,2pt,Layup,[],1630215,10.85742444152431,30.88235294117647,1610612755,8,5,2025-03-29T23:43:55Z,290000,False,96.0,50.0,1,left,MISS J. Butler 10' driving Layup,[1630215],1610612755.0,PHI,driving,,,,,,Mid-Range,8-16 Right,10.77,Missed,,Butler,J. Butler,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2025-03-29T23:43:54.0Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,8,5,2025-03-29T23:43:55Z,300000,False,,,0,,K. Ware REBOUND (Off:1 Def:1),[1642276],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Right,,,,Ware,K. Ware,,,,29.0,2.0,1.0,1.0,,,,,,,,,,
33,PT09M27.00S,2025-03-29T23:44:02.4Z,1,REGULAR,3pt,Jump Shot,[],1629639,67.88764783180025,27.941176470588236,1610612748,8,8,2025-03-29T23:44:34Z,330000,False,-110.0,249.0,1,right,T. Herro 27' 3PT  (3 PTS) (P. Larsson 1 AST),"[1629639, 1641796]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,27.27,Made,3.0,Herro,T. Herro,P. Larsson,1641796.0,1.0,,,,,,,,,,,,,,
35,PT09M19.00S,2025-03-29T23:44:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642348,7.835085413929041,54.90196078431373,1610612755,8,8,2025-03-29T23:44:14Z,350000,False,-25.0,21.0,1,left,MISS J. Edwards driving Layup,[1642348],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,3.23,Missed,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,
36,PT09M16.00S,2025-03-29T23:44:13.9Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,8,8,2025-03-29T23:44:13Z,360000,False,,,0,,K. Ware REBOUND (Off:1 Def:2),[1642276],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Ware,K. Ware,,,,35.0,3.0,2.0,1.0,,,,,,,,,,
37,PT09M10.00S,2025-03-29T23:44:23.5Z,1,REGULAR,foul,personal,['2freethrow'],1642348,,,1610612748,8,8,2025-03-29T23:44:35Z,370000,False,,,0,,J. Edwards shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1642348, 1628389]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Edwards,J. Edwards,,,,,,,,,,,202901.0,1.0,0.0,Adebayo,1628389.0,,
39,PT09M10.00S,2025-03-29T23:44:49.0Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,8,9,2025-03-29T23:44:49Z,390000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,,,,,,,Made,1.0,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
40,PT09M10.00S,2025-03-29T23:45:07.6Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,8,10,2025-03-29T23:45:07Z,400000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,,,,,,,Made,2.0,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
41,PT08M58.00S,2025-03-29T23:45:21.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630215,12.565703022339028,55.14705882352941,1610612755,8,10,2025-03-29T23:45:29Z,410000,False,-26.0,66.0,1,left,MISS J. Butler 7' driving floating Shot,[1630215],1610612755.0,PHI,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.05,Missed,,Butler,J. Butler,,,,,,,,,,,,,,,,,
42,PT08M57.00S,2025-03-29T23:45:22.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,8,10,2025-03-29T23:45:29Z,420000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,41.0,,,,,,,,,,,,,
43,PT08M57.00S,2025-03-29T23:45:27.9Z,1,REGULAR,foul,personal,[],1630215,,,1610612748,8,10,2025-03-29T23:45:37Z,430000,False,,,0,,J. Butler loose ball personal FOUL (1 PF),"[1630215, 1642276]",1610612755.0,PHI,loose ball,,,,,,In The Paint (Non-RA),8-16 Center,,,,Butler,J. Butler,,,,,,,,,,,202037.0,1.0,0.0,Ware,1642276.0,,
45,PT08M42.00S,2025-03-29T23:45:54.0Z,1,REGULAR,foul,personal,['2freethrow'],1629656,,,1610612748,8,10,2025-03-29T23:46:01Z,450000,False,,,0,,Q. Grimes shooting personal FOUL (1 PF) (Larsson 2 FT),"[1629656, 1641796]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,,,Grimes,Q. Grimes,,,,,,,,,,,202049.0,1.0,0.0,Larsson,1641796.0,,
47,PT08M42.00S,2025-03-29T23:46:19.9Z,1,REGULAR,freethrow,1 of 2,[],1641796,,,1610612748,8,10,2025-03-29T23:46:19Z,470000,False,,,0,,MISS P. Larsson Free Throw 1 of 2,[1641796],1610612748.0,MIA,,,,,,,,,,Missed,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,
48,PT08M42.00S,2025-03-29T23:46:19.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,8,10,2025-03-29T23:46:19Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,
49,PT08M42.00S,2025-03-29T23:46:38.0Z,1,REGULAR,freethrow,2 of 2,[],1641796,,,1610612748,8,11,2025-03-29T23:46:38Z,490000,False,,,0,,P. Larsson Free Throw 2 of 2 (4 PTS),[1641796],1610612748.0,MIA,,,,,,,,,,Made,4.0,Larsson,P. Larsson,,,,,,,,,,,,,,,,,
50,PT08M25.00S,2025-03-29T23:46:56.1Z,1,REGULAR,3pt,Jump Shot,[],1629656,24.52365308804205,83.08823529411765,1610612755,11,11,2025-03-29T23:47:02Z,500000,False,-165.0,178.0,1,left,Q. Grimes 24' 3PT pullup (3 PTS) (A. Bona 1 AST),"[1629656, 1641737]",1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Left Center,24.3,Made,3.0,Grimes,Q. Grimes,A. Bona,1641737.0,1.0,,,,,,,,,,,,,,
52,PT08M07.00S,2025-03-29T23:47:13.7Z,1,REGULAR,3pt,Jump Shot,[],202692,69.99014454664915,17.15686274509804,1610612748,11,11,2025-03-29T23:47:20Z,520000,False,-164.0,230.0,1,right,MISS A. Burks 28' 3PT,[202692],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,28.23,Missed,,Burks,A. Burks,,,,,,,,,,,,,,,,,
53,PT08M03.00S,2025-03-29T23:47:17.7Z,1,REGULAR,rebound,offensive,[],1629639,,,1610612748,11,11,2025-03-29T23:47:20Z,530000,False,,,0,,T. Herro REBOUND (Off:1 Def:0),[1629639],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Herro,T. Herro,,,,52.0,1.0,0.0,1.0,,,,,,,,,,
54,PT08M03.00S,2025-03-29T23:47:20.8Z,1,REGULAR,foul,personal,[],1627824,,,1610612748,11,11,2025-03-29T23:47:27Z,540000,False,,,0,,G. Yabusele personal FOUL (1 PF),"[1627824, 1628389]",1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Yabusele,G. Yabusele,,,,,,,,,,,202037.0,1.0,0.0,Adebayo,1628389.0,,
56,PT07M52.00S,2025-03-29T23:47:49.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,65.52233902759527,52.20588235294118,1610612748,11,14,2025-03-29T23:47:54Z,560000,False,11.0,272.0,1,right,T. Herro 27' 3PT  (6 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,27.18,Made,6.0,Herro,T. Herro,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
58,PT07M34.00S,2025-03-29T23:48:06.7Z,1,REGULAR,3pt,Jump Shot,[],1642348,24.917871222076215,81.61764705882352,1610612755,14,14,2025-03-29T23:48:10Z,580000,False,-158.0,182.0,1,left,J. Edwards 24' 3PT  (3 PTS) (J. Butler 2 AST),"[1642348, 1630215]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,24.09,Made,3.0,Edwards,J. Edwards,J. Butler,1630215.0,2.0,,,,,,,,,,,,,,
60,PT07M09.00S,2025-03-29T23:48:32.6Z,1,REGULAR,3pt,Jump Shot,[],202692,93.51182654402102,95.34313725490196,1610612748,14,17,2025-03-29T23:48:36Z,600000,False,227.0,8.0,1,right,A. Burks 3PT  (3 PTS) (T. Herro 2 AST),"[202692, 1629639]",1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,22.69,Made,3.0,Burks,A. Burks,T. Herro,1629639.0,2.0,,,,,,,,,,,,,,
62,PT06M44.00S,2025-03-29T23:48:59.9Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612755,14,17,2025-03-29T23:49:19Z,620000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Butler 2 FT),"[1628389, 1630215]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,,,,Adebayo,B. Adebayo,,,,,,,,,,,202037.0,1.0,0.0,Butler,1630215.0,,
64,PT06M44.00S,2025-03-29T23:49:24.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,14,17,2025-03-29T23:49:24Z,640000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M44.00S,2025-03-29T23:52:13.7Z,1,REGULAR,substitution,out,[],1642276,,,1610612755,14,17,2025-03-29T23:52:17Z,650000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,,,,,,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,
66,PT06M44.00S,2025-03-29T23:52:13.7Z,1,REGULAR,substitution,in,[],1629312,,,1610612755,14,17,2025-03-29T23:52:17Z,660000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,,,,,,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,
67,PT06M44.00S,2025-03-29T23:52:26.1Z,1,REGULAR,freethrow,1 of 2,[],1630215,,,1610612755,14,17,2025-03-29T23:52:57Z,670000,False,,,0,,MISS J. Butler Free Throw 1 of 2,[1630215],1610612755.0,PHI,,,,,,,,,,Missed,,Butler,J. Butler,,,,,,,,,,,,,,,,,
68,PT06M44.00S,2025-03-29T23:52:26.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,14,17,2025-03-29T23:52:57Z,680000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,
69,PT06M44.00S,2025-03-29T23:52:44.9Z,1,REGULAR,substitution,out,[],1641737,,,1610612755,14,17,2025-03-29T23:52:47Z,690000,False,,,0,,SUB out: A. Bona,[1641737],1610612755.0,PHI,,,,,,,,,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,
70,PT06M44.00S,2025-03-29T23:52:44.9Z,1,REGULAR,substitution,in,[],1641741,,,1610612755,14,17,2025-03-29T23:52:47Z,700000,False,,,0,,SUB in: R. Council IV,[1641741],1610612755.0,PHI,,,,,,,,,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
71,PT06M44.00S,2025-03-29T23:52:26.1Z,1,REGULAR,freethrow,2 of 2,[],1630215,,,1610612755,14,17,2025-03-29T23:52:57Z,710000,False,,,0,,MISS J. Butler Free Throw 2 of 2,[1630215],1610612755.0,PHI,,,,,,,,,,Missed,,Butler,J. Butler,,,,,,,,,,,,,,,,,
72,PT06M42.00S,2025-03-29T23:52:28.1Z,1,REGULAR,rebound,defensive,[],1641796,,,1610612748,14,17,2025-03-29T23:52:57Z,720000,False,,,0,,P. Larsson REBOUND (Off:0 Def:1),[1641796],1610612748.0,MIA,,,,,,,,,,,,Larsson,P. Larsson,,,,71.0,1.0,1.0,0.0,,,,,,,,,,
73,PT06M29.00S,2025-03-29T23:53:10.2Z,1,REGULAR,3pt,Jump Shot,[],1629639,66.3107752956636,62.745098039215684,1610612748,14,17,2025-03-29T23:53:14Z,730000,False,64.0,264.0,1,right,MISS T. Herro 27' 3PT,[1629639],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,27.18,Missed,,Herro,T. Herro,,,,,,,,,,,,,,,,,
74,PT06M26.00S,2025-03-29T23:53:13.2Z,1,REGULAR,rebound,offensive,[],1629312,,,1610612748,14,17,2025-03-29T23:53:14Z,740000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:0),[1629312],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,Highsmith,H. Highsmith,,,,73.0,1.0,0.0,1.0,,,,,,,,,,
75,PT06M24.00S,2025-03-29T23:53:15.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202692,76.69185282522996,9.803921568627452,1610612748,14,20,2025-03-29T23:53:20Z,750000,False,-201.0,167.0,1,right,A. Burks 26' 3PT pullup (6 PTS) (H. Highsmith 1 AST),"[202692, 1629312]",1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Left Center,26.11,Made,6.0,Burks,A. Burks,H. Highsmith,1629312.0,1.0,,,,,,,,,,,,,,
77,PT06M08.00S,2025-03-29T23:53:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629656,4.681340341655716,50.73529411764706,1610612755,16,20,2025-03-29T23:53:35Z,770000,False,-4.0,-8.0,1,left,Q. Grimes cutting finger roll Layup (5 PTS) (J. Edwards 3 AST),"[1629656, 1642348]",1610612755.0,PHI,cutting finger roll,,,,,,Restricted Area,0-8 Center,0.93,Made,5.0,Grimes,Q. Grimes,J. Edwards,1642348.0,3.0,,,,,,,,,,,,,,
79,PT05M49.00S,2025-03-29T23:53:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641796,91.67214191852825,52.20588235294118,1610612748,16,22,2025-03-29T23:53:59Z,790000,False,11.0,26.0,1,right,P. Larsson cutting Layup (6 PTS) (T. Herro 3 AST),"[1641796, 1629639]",1610612748.0,MIA,cutting,,,,,,Restricted Area,0-8 Center,2.8,Made,6.0,Larsson,P. Larsson,T. Herro,1629639.0,3.0,,,,,,,,,,,,,,
81,PT05M34.00S,2025-03-29T23:54:05.8Z,1,REGULAR,3pt,Jump Shot,[],1629656,24.26084099868594,12.009803921568627,1610612755,19,22,2025-03-29T23:54:09Z,810000,False,190.0,176.0,1,left,Q. Grimes 25' 3PT  (8 PTS) (R. Council IV 1 AST),"[1629656, 1641741]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,25.87,Made,8.0,Grimes,Q. Grimes,R. Council IV,1641741.0,1.0,,,,,,,,,,,,,,
83,PT05M34.00S,2025-03-29T23:54:09.8Z,1,REGULAR,foul,personal,['1freethrow'],1641796,,,1610612755,19,22,2025-03-29T23:54:16Z,830000,False,,,0,,P. Larsson shooting personal FOUL (1 PF) (Grimes 1 FT),"[1641796, 1629656]",1610612748.0,MIA,shooting,,,,,,Above the Break 3,24+ Right Center,,,,Larsson,P. Larsson,,,,,,,,,,,202037.0,1.0,0.0,Grimes,1629656.0,,
85,PT05M34.00S,2025-03-29T23:54:20.3Z,1,REGULAR,substitution,out,[],1629639,,,1610612755,19,22,2025-03-29T23:54:24Z,850000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,
86,PT05M34.00S,2025-03-29T23:54:20.3Z,1,REGULAR,substitution,in,[],1630558,,,1610612755,19,22,2025-03-29T23:54:24Z,860000,False,,,0,,SUB in: D. Mitchell,[1630558],1610612748.0,MIA,,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,
87,PT05M34.00S,2025-03-29T23:54:43.4Z,1,REGULAR,freethrow,1 of 1,[],1629656,,,1610612755,19,22,2025-03-29T23:54:45Z,870000,False,,,0,,MISS Q. Grimes Free Throw 1 of 1,[1629656],1610612755.0,PHI,,,,,,,,,,Missed,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,
88,PT05M31.00S,2025-03-29T23:54:46.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,19,22,2025-03-29T23:54:45Z,880000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,87.0,2.0,2.0,0.0,,,,,,,,,,
89,PT05M11.00S,2025-03-29T23:55:05.2Z,1,REGULAR,2pt,Jump Shot,[],1628389,78.9257555847569,33.57843137254902,1610612748,19,22,2025-03-29T23:55:09Z,890000,False,-82.0,146.0,1,right,MISS B. Adebayo 16' Jump Shot,[1628389],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Left Center,16.72,Missed,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
90,PT05M07.00S,2025-03-29T23:55:09.2Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,19,22,2025-03-29T23:55:09Z,900000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left Center,,,,Yabusele,G. Yabusele,,,,89.0,1.0,1.0,0.0,,,,,,,,,,
91,PT04M59.00S,2025-03-29T23:55:16.4Z,1,REGULAR,turnover,lost ball,[],1629656,,,1610612755,19,22,2025-03-29T23:55:21Z,910000,False,,,0,,Q. Grimes lost ball TURNOVER (1 TO),"[1629656, 1641796]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Grimes,Q. Grimes,,,,,,,,1.0,Larsson,1641796.0,,,,,,,
92,PT04M59.00S,2025-03-29T23:55:16.4Z,1,REGULAR,steal,,[],1641796,,,1610612748,19,22,2025-03-29T23:55:18Z,920000,False,,,0,,P. Larsson STEAL (1 STL),[1641796],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,
93,PT04M57.00S,2025-03-29T23:55:19.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202692,93.11760840998686,50.73529411764706,1610612748,19,24,2025-03-29T23:55:25Z,930000,False,4.0,12.0,1,right,A. Burks running finger roll Layup (8 PTS) (D. Mitchell 1 AST),"[202692, 1630558]",1610612748.0,MIA,running finger roll,,,,,,Restricted Area,0-8 Center,1.27,Made,8.0,Burks,A. Burks,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,,
95,PT04M33.00S,2025-03-29T23:55:42.6Z,1,REGULAR,3pt,Jump Shot,[],1629656,23.47240473061761,87.74509803921569,1610612755,22,24,2025-03-29T23:55:46Z,950000,False,-189.0,168.0,1,left,Q. Grimes 25' 3PT  (11 PTS) (J. Butler 3 AST),"[1629656, 1630215]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,25.27,Made,11.0,Grimes,Q. Grimes,J. Butler,1630215.0,3.0,,,,,,,,,,,,,,
97,PT04M07.00S,2025-03-29T23:56:12.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612748,22,24,2025-03-29T23:56:35Z,970000,False,,,0,,MIA shot clock Team TURNOVER,[],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,202049.0,,,,,,
98,PT04M07.00S,2025-03-29T23:56:18.5Z,1,REGULAR,substitution,out,[],1630215,,,1610612755,22,24,2025-03-29T23:56:27Z,980000,False,,,0,,SUB out: J. Butler,[1630215],1610612755.0,PHI,,,,,,,,,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,
