actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId
19,PT09M49.00S,2025-02-12T00:15:51.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,73.11103810775296,17.40196078431373,1610612761,4,7,2025-02-12T00:20:08Z,190000,False,-163.0,200.0,1,right,MISS I. Quickley 25' running 3PT,[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,25.82,Missed,,,,,,,,,,,,,,,,
20,PT09M49.00S,2025-02-12T00:15:51.1Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,4,7,2025-02-12T00:16:26Z,200000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,
21,PT09M41.00S,2025-02-12T00:16:04.1Z,1,REGULAR,foul,personal,[],1630567,,,1610612755,4,7,2025-02-12T00:16:09Z,210000,False,,,0,,S. Barnes personal FOUL (1 PF),"[1630567, 203954]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,1626300.0,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,,,,
23,PT09M36.00S,2025-02-12T00:16:28.1Z,1,REGULAR,2pt,Jump Shot,[],202331,12.66425755584757,68.13725490196079,1610612755,4,7,2025-02-12T00:16:33Z,230000,False,-91.0,67.0,1,left,MISS P. George 11' Jump Shot,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,8-16 Left,,,11.25,Missed,,,,,,,,,,,,,,,,
24,PT09M34.00S,2025-02-12T00:16:30.4Z,1,REGULAR,rebound,defensive,[],1642367,,,1610612761,4,7,2025-02-12T00:16:30Z,240000,False,,,0,,J. Mogbo REBOUND (Off:0 Def:1),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,
25,PT09M28.00S,2025-02-12T00:16:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630534,95.45006570302233,97.05882352941177,1610612761,4,10,2025-02-12T00:22:05Z,250000,False,235.0,-10.0,1,right,O. Agbaji 3PT  (3 PTS) (I. Quickley 2 AST),"[1630534, 1630193]",1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Right Corner 3,24+ Right,,,23.55,Made,3.0,I. Quickley,1630193.0,2.0,,,,,,,,,,,,
27,PT09M10.00S,2025-02-12T00:16:55.0Z,1,REGULAR,turnover,lost ball,[],1626162,,,1610612755,4,10,2025-02-12T00:17:01Z,270000,False,,,0,,K. Oubre Jr. lost ball TURNOVER (1 TO),"[1626162, 1642367]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,,,,,,,Mogbo,1642367.0
28,PT09M10.00S,2025-02-12T00:16:55.0Z,1,REGULAR,steal,,[],1642367,,,1610612761,4,10,2025-02-12T00:16:58Z,280000,False,,,0,,J. Mogbo STEAL (1 STL),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
29,PT09M05.00S,2025-02-12T00:16:59.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642367,93.47897503285151,51.470588235294116,1610612761,4,12,2025-02-12T00:17:05Z,290000,False,7.0,9.0,1,right,J. Mogbo running DUNK (4 PTS),[1642367],1610612761.0,TOR,running,,,Mogbo,J. Mogbo,,,,,Restricted Area,0-8 Center,,,1.15,Made,4.0,,,,,,,,,,,,,,,
30,PT08M48.00S,2025-02-12T00:17:16.4Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612755,4,12,2025-02-12T00:17:20Z,300000,False,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1630567]",1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,1.0,,,,,,,,,,,,,,,,,Barnes,1630567.0
31,PT08M48.00S,2025-02-12T00:17:16.4Z,1,REGULAR,steal,,[],1630567,,,1610612761,4,12,2025-02-12T00:17:18Z,310000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
32,PT08M44.00S,2025-02-12T00:17:23.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630193,88.48554533508542,50.0,1610612761,4,14,2025-02-12T00:17:36Z,320000,False,0.0,56.0,1,right,I. Quickley driving floating Jump Shot (2 PTS),[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,5.57,Made,2.0,,,,,,,,,,,,,,,
33,PT08M44.00S,2025-02-12T00:17:27.0Z,1,REGULAR,foul,personal,['1freethrow'],1642348,,,1610612761,4,14,2025-02-12T00:17:39Z,330000,False,,,0,,J. Edwards shooting personal FOUL (1 PF) (Quickley 1 FT),"[1642348, 1630193]",1610612755.0,PHI,shooting,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),0-8 Center,1627963.0,,,,,,,,1.0,0.0,Quickley,1630193.0,,,,,,,,
35,PT08M44.00S,2025-02-12T00:17:44.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,4,14,2025-02-12T00:17:49Z,350000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M44.00S,2025-02-12T00:20:49.2Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630193,,,1610612761,4,15,2025-02-12T00:20:49Z,360000,False,,,0,,I. Quickley Free Throw 1 of 1 (3 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
41,PT08M35.00S,2025-02-12T00:21:02.5Z,1,REGULAR,turnover,out-of-bounds,[],1642348,,,1610612755,4,15,2025-02-12T00:21:11Z,370000,False,,,0,,J. Edwards lost ball out-of-bounds TURNOVER (1 TO),[1642348],1610612755.0,PHI,lost ball,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Right Center,1626300.0,1.0,,,,,,,,,,,,,,,,,,
42,PT08M19.00S,2025-02-12T00:21:37.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630567,94.92444152431011,53.92156862745098,1610612761,4,17,2025-02-12T00:21:57Z,380000,False,20.0,-5.0,1,right,S. Barnes cutting DUNK (7 PTS) (J. Mogbo 1 AST),"[1630567, 1642367]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,2.02,Made,7.0,J. Mogbo,1642367.0,1.0,,,,,,,,,,,,
44,PT07M58.00S,2025-02-12T00:21:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,6.356767411300922,49.26470588235294,1610612755,6,17,2025-02-12T00:26:50Z,400000,False,4.0,7.0,1,left,P. George driving Layup (2 PTS) (J. Embiid 1 AST),"[202331, 203954]",1610612755.0,PHI,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,,,0.82,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,
46,PT07M29.00S,2025-02-12T00:22:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641711,93.2161629434954,49.754901960784316,1610612761,6,17,2025-02-12T00:22:20Z,420000,False,-1.0,11.0,1,right,MISS G. Dick driving reverse Layup,[1641711],1610612761.0,TOR,driving reverse,,,Dick,G. Dick,,,,,Restricted Area,0-8 Center,,,1.14,Missed,,,,,,,,,,,,,,,,
47,PT07M27.00S,2025-02-12T00:22:16.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,6,17,2025-02-12T00:22:20Z,430000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,46.0,1.0,1.0,0.0,,
48,PT07M17.00S,2025-02-12T00:22:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,15.818002628120894,48.774509803921575,1610612755,6,17,2025-02-12T00:22:30Z,440000,False,6.0,96.0,1,left,MISS J. Embiid 9' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,9.64,Missed,,,,,,,,,,,,,,,,
49,PT07M13.00S,2025-02-12T00:22:30.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,6,17,2025-02-12T00:22:30Z,450000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,48.0,2.0,2.0,0.0,,
50,PT07M08.00S,2025-02-12T00:22:34.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641711,78.23587385019711,90.68627450980392,1610612761,6,17,2025-02-12T00:22:41Z,460000,False,203.0,152.0,1,right,MISS G. Dick 25' running 3PT,[1641711],1610612761.0,TOR,running,,,Dick,G. Dick,,,,,Above the Break 3,24+ Right Center,,,25.4,Missed,,,,,,,,,,,,,,,,
51,PT07M04.00S,2025-02-12T00:22:38.4Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,6,17,2025-02-12T00:22:41Z,470000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,50.0,2.0,2.0,0.0,,
52,PT06M56.00S,2025-02-12T00:22:46.4Z,1,REGULAR,3pt,Jump Shot,[],203954,33.295006570302235,65.19607843137254,1610612755,9,17,2025-02-12T00:22:50Z,480000,False,-76.0,260.0,1,left,J. Embiid 27' 3PT  (5 PTS) (P. George 1 AST),"[203954, 202331]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,27.14,Made,5.0,P. George,202331.0,1.0,,,,,,,,,,,,
54,PT06M36.00S,2025-02-12T00:23:15.9Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612761,9,17,2025-02-12T00:23:22Z,500000,False,,,0,,J. Embiid shooting personal FOUL (1 PF) (Barnes 2 FT),"[203954, 1630567]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1627963.0,,,,,,,,1.0,0.0,Barnes,1630567.0,,,,,,,,
56,PT06M36.00S,2025-02-12T00:23:41.9Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,9,18,2025-02-12T00:23:41Z,520000,False,,,0,,S. Barnes Free Throw 1 of 2 (8 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
57,PT06M36.00S,2025-02-12T00:23:43.0Z,1,REGULAR,substitution,out,[],1642348,,,1610612761,9,18,2025-02-12T00:23:48Z,530000,False,,,0,,SUB out: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M36.00S,2025-02-12T00:23:43.0Z,1,REGULAR,substitution,in,[],1629656,,,1610612761,9,18,2025-02-12T00:23:48Z,540000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M36.00S,2025-02-12T00:24:02.0Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,9,19,2025-02-12T00:24:02Z,550000,False,,,0,,S. Barnes Free Throw 2 of 2 (9 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
60,PT06M16.00S,2025-02-12T00:24:23.8Z,1,REGULAR,3pt,Jump Shot,[],202331,25.279237844940866,15.196078431372555,1610612755,9,19,2025-02-12T00:29:01Z,560000,False,174.0,185.0,1,left,MISS P. George 25' step back 3PT,[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,25.4,Missed,,,,,,,,,,,,,,,,
61,PT06M11.00S,2025-02-12T00:24:28.8Z,1,REGULAR,rebound,offensive,[],1629656,,,1610612755,9,19,2025-02-12T00:24:29Z,570000,False,,,0,,Q. Grimes REBOUND (Off:1 Def:0),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,60.0,1.0,0.0,1.0,,
62,PT06M11.00S,2025-02-12T00:24:28.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629656,5.590000152587891,50.0,1610612755,9,19,2025-02-12T00:24:28Z,580000,False,0.0,0.0,1,left,MISS Q. Grimes tip Layup,[1629656],1610612755.0,PHI,tip,,,Grimes,Q. Grimes,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,,,,,,,,,,,,
63,PT06M10.00S,2025-02-12T00:24:29.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,9,19,2025-02-12T00:24:29Z,590000,False,,,0,,S. Barnes REBOUND (Off:0 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,62.0,3.0,3.0,0.0,,
64,PT05M58.00S,2025-02-12T00:24:41.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,92.16491458607096,60.049019607843135,1610612761,9,19,2025-02-12T00:24:45Z,600000,False,50.0,21.0,1,right,MISS S. Barnes Layup,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,5.45,Missed,,,,,,,,,,,,,,,,
65,PT05M55.00S,2025-02-12T00:24:44.3Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,9,19,2025-02-12T00:26:17Z,610000,False,,,0,,S. Barnes REBOUND (Off:1 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,64.0,4.0,3.0,1.0,,
74,PT05M52.00S,2025-02-12T00:24:45.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,92.64126149802891,52.18290441176471,1610612761,9,19,2025-02-12T00:26:17Z,615000,False,11.0,17.0,1,right,MISS S. Barnes tip Layup,[1630567],1610612761.0,TOR,tip,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,1.99,Missed,,,,,,,,,,,,,,,,
75,PT05M52.00S,2025-02-12T00:24:45.3Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,9,19,2025-02-12T00:25:57Z,617500,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,74.0,1.0,1.0,0.0,,
66,PT05M50.00S,2025-02-12T00:24:49.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629656,8.327858081471746,4.166666666666657,1610612755,9,19,2025-02-12T00:24:54Z,620000,False,229.0,26.0,1,left,MISS Q. Grimes running 3PT,[1629656],1610612755.0,PHI,running,,,Grimes,Q. Grimes,,,,,Right Corner 3,24+ Right,,,23.06,Missed,,,,,,,,,,,,,,,,
67,PT05M47.00S,2025-02-12T00:24:52.3Z,1,REGULAR,rebound,defensive,[],1642367,,,1610612761,9,19,2025-02-12T00:24:54Z,630000,False,,,0,,J. Mogbo REBOUND (Off:0 Def:2),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,
68,PT05M37.00S,2025-02-12T00:25:02.1Z,1,REGULAR,turnover,bad pass,[],1630193,,,1610612761,9,19,2025-02-12T00:25:06Z,640000,False,,,0,,I. Quickley bad pass TURNOVER (1 TO),"[1630193, 202331]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Right,,1.0,,,,,,,,,,,,,,,,,George,202331.0
69,PT05M37.00S,2025-02-12T00:25:02.1Z,1,REGULAR,steal,,[],202331,,,1610612755,9,19,2025-02-12T00:25:05Z,650000,False,,,0,,P. George STEAL (1 STL),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
70,PT05M31.00S,2025-02-12T00:25:11.6Z,1,REGULAR,foul,personal,['2freethrow'],1642367,,,1610612755,9,19,2025-02-12T00:25:25Z,660000,False,,,0,,J. Mogbo shooting personal FOUL (1 PF) (Embiid 2 FT),"[1642367, 203954]",1610612761.0,TOR,shooting,,,Mogbo,J. Mogbo,,,,,In The Paint (Non-RA),0-8 Center,2530.0,,,,,,,,1.0,0.0,Embiid,203954.0,,,,,,,,
72,PT05M31.00S,2025-02-12T00:25:39.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,9,19,2025-02-12T00:31:59Z,680000,False,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
73,PT05M31.00S,2025-02-12T00:25:39.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,9,19,2025-02-12T00:31:59Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,
76,PT05M31.00S,2025-02-12T00:25:40.3Z,1,REGULAR,substitution,out,[],1630567,,,1610612755,9,19,2025-02-12T00:25:46Z,700000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M31.00S,2025-02-12T00:25:40.3Z,1,REGULAR,substitution,out,[],1630193,,,1610612755,9,19,2025-02-12T00:25:46Z,710000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M31.00S,2025-02-12T00:25:40.3Z,1,REGULAR,substitution,in,[],1642347,,,1610612755,9,19,2025-02-12T00:25:46Z,720000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M31.00S,2025-02-12T00:25:40.3Z,1,REGULAR,substitution,in,[],1628449,,,1610612755,9,19,2025-02-12T00:25:46Z,730000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M31.00S,2025-02-12T00:25:39.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,10,19,2025-02-12T00:31:59Z,740000,False,,,0,,J. Embiid Free Throw 2 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
81,PT05M21.00S,2025-02-12T00:26:22.7Z,1,REGULAR,turnover,lost ball,[],1642367,,,1610612761,10,19,2025-02-12T00:26:26Z,750000,False,,,0,,J. Mogbo lost ball TURNOVER (1 TO),"[1642367, 1626162]",1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,,,,,,,,,,,Oubre Jr.,1626162.0
82,PT05M21.00S,2025-02-12T00:26:22.7Z,1,REGULAR,steal,,[],1626162,,,1610612755,10,19,2025-02-12T00:26:25Z,760000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
