actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
40,PT08M14.00S,2024-11-28T00:15:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642272,16.080814717476997,60.294117647058826,1610612755,6,10,2024-11-28T00:18:58Z,400000,False,-51.0,99.0,1,left,J. McCain 11' fadeaway Jump Shot (4 PTS),[1642272],1610612755.0,PHI,fadeaway,,,McCain,J. McCain,,,,,In The Paint (Non-RA),8-16 Center,11.13,Made,,,,,4.0,,,,,,,,,,,,,
41,PT07M58.00S,2024-11-28T00:15:48.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,70.22010512483574,82.59803921568627,1610612745,6,10,2024-11-28T00:15:53Z,410000,False,163.0,227.0,1,right,MISS J. Green 27' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,27.98,Missed,,,,,,,,,,,,,,,,,,
42,PT07M55.00S,2024-11-28T00:15:51.9Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,6,10,2024-11-28T00:15:53Z,420000,False,,,0,,A. Drummond REBOUND (Off:2 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Right Center,,,41.0,3.0,1.0,2.0,,,,,,,,,,,,,,
43,PT07M46.00S,2024-11-28T00:16:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.539421813403408,50.0,1610612755,8,10,2024-11-28T00:16:06Z,430000,False,0.0,18.0,1,left,T. Maxey driving finger roll Layup (4 PTS) (A. Drummond 1 AST),"[1630178, 203083]",1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,4.0,,,,,,A. Drummond,203083.0,1.0,,,,,
44,PT07M23.00S,2024-11-28T00:16:27.2Z,1,REGULAR,turnover,traveling,[],1628415,,,1610612745,8,10,2024-11-28T00:16:32Z,440000,False,,,0,,D. Brooks traveling TURNOVER (1 TO),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,,,,,,204059.0,,,,
45,PT07M08.00S,2024-11-28T00:16:52.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627824,5.699737187910642,2.941176470588232,1610612755,11,10,2024-11-28T00:16:56Z,450000,False,235.0,1.0,1,left,G. Yabusele 3PT  (3 PTS) (A. Drummond 2 AST),"[1627824, 203083]",1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,23.53,Made,,,,,3.0,,,,,,A. Drummond,203083.0,2.0,,,,,
47,PT06M51.00S,2024-11-28T00:17:12.3Z,1,REGULAR,foul,personal,[],1626162,,,1610612745,11,10,2024-11-28T00:17:18Z,470000,False,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 1630578]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1629178.0,1.0,0.0,Sengun,1630578.0
49,PT06M51.00S,2024-11-28T00:17:23.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,11,10,2024-11-28T00:17:25Z,490000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M40.00S,2024-11-28T00:20:28.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630224,94.53022339027595,51.22549019607843,1610612745,11,12,2024-11-28T00:20:33Z,500000,False,6.0,-1.0,1,right,J. Green cutting DUNK (10 PTS) (A. Sengun 2 AST),"[1630224, 1630578]",1610612745.0,HOU,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.62,Made,,,,,10.0,,,,,,A. Sengun,1630578.0,2.0,,,,,
52,PT06M28.00S,2024-11-28T00:20:45.9Z,1,REGULAR,2pt,Jump Shot,[],1642272,19.365965834428394,66.91176470588235,1610612755,11,12,2024-11-28T00:21:16Z,520000,False,-85.0,130.0,1,left,MISS J. McCain 15' pullup Shot,[1642272],1610612755.0,PHI,pullup,,,McCain,J. McCain,,,,,Mid-Range,8-16 Left,15.47,Missed,,,,,,,,,,,,,,,,,,
53,PT06M28.00S,2024-11-28T00:20:45.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,11,12,2024-11-28T00:30:01Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,8-16 Left,,,52.0,,,,,,,,,,,,,,,,,
56,PT06M28.00S,2024-11-28T00:20:56.4Z,1,REGULAR,foul,personal,[],1628415,,,1610612755,11,12,2024-11-28T00:21:02Z,560000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 203083]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1629178.0,1.0,0.0,Drummond,203083.0
58,PT06M15.00S,2024-11-28T00:21:22.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626162,6.750985545335084,50.49019607843137,1610612755,13,12,2024-11-28T00:21:26Z,580000,False,-2.0,11.0,1,left,K. Oubre Jr. driving DUNK (2 PTS) (G. Yabusele 1 AST),"[1626162, 1627824]",1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,2.0,,,,,,G. Yabusele,1627824.0,1.0,,,,,
60,PT06M03.00S,2024-11-28T00:21:33.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,70.48291721419186,27.450980392156865,1610612745,13,15,2024-11-28T00:21:37Z,600000,False,-113.0,225.0,1,right,J. Green 25' 3PT  (13 PTS) (D. Brooks 2 AST),"[1630224, 1628415]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,25.16,Made,,,,,13.0,,,,,,D. Brooks,1628415.0,2.0,,,,,
63,PT05M45.00S,2024-11-28T00:21:54.1Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612755,13,15,2024-11-28T00:22:00Z,620000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Oubre Jr. 2 FT),"[1631095, 1626162]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Oubre Jr.,1626162.0
65,PT05M45.00S,2024-11-28T00:22:22.8Z,1,REGULAR,freethrow,1 of 2,[],1626162,,,1610612755,14,15,2024-11-28T00:23:04Z,640000,False,,,0,,K. Oubre Jr. Free Throw 1 of 2 (3 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
66,PT05M45.00S,2024-11-28T00:22:25.3Z,1,REGULAR,substitution,out,[],1642272,,,1610612755,14,15,2024-11-28T00:22:40Z,650000,False,,,0,,SUB out: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M45.00S,2024-11-28T00:22:25.3Z,1,REGULAR,substitution,out,[],203083,,,1610612755,14,15,2024-11-28T00:22:40Z,660000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M45.00S,2024-11-28T00:22:25.3Z,1,REGULAR,substitution,out,[],1627832,,,1610612755,14,15,2024-11-28T00:22:40Z,670000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M45.00S,2024-11-28T00:22:25.3Z,1,REGULAR,substitution,in,[],1630231,,,1610612755,14,15,2024-11-28T00:22:40Z,680000,False,,,0,,SUB in: K. Martin,[1630231],1610612755.0,PHI,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M45.00S,2024-11-28T00:22:25.3Z,1,REGULAR,substitution,in,[],201569,,,1610612755,14,15,2024-11-28T00:22:40Z,690000,False,,,0,,SUB in: E. Gordon,[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M45.00S,2024-11-28T00:22:25.3Z,1,REGULAR,substitution,in,[],1641708,,,1610612755,14,15,2024-11-28T00:22:40Z,700000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M45.00S,2024-11-28T00:22:22.8Z,1,REGULAR,freethrow,2 of 2,[],1626162,,,1610612755,14,15,2024-11-28T00:23:04Z,710000,False,,,0,,MISS K. Oubre Jr. Free Throw 2 of 2,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT05M40.00S,2024-11-28T00:22:27.8Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,14,15,2024-11-28T00:26:05Z,720000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT05M29.00S,2024-11-28T00:23:49.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,96.50131406044679,57.35294117647059,1610612745,14,15,2024-11-28T00:23:55Z,750000,False,37.0,-20.0,1,right,MISS J. Green driving finger roll Layup - blocked,"[1630224, 1627824]",1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,4.17,Missed,,,,,,Yabusele,1627824.0,,,,,,,,,,,
77,PT05M29.00S,2024-11-28T00:23:49.9Z,1,REGULAR,block,,[],1627824,,,1610612745,14,15,2024-11-28T00:23:52Z,760000,False,,,0,,G. Yabusele BLOCK (1 BLK),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M29.00S,2024-11-28T00:23:49.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,14,15,2024-11-28T00:23:55Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,76.0,,,,,,,,,,,,,,,,,
80,PT05M27.00S,2024-11-28T00:24:06.2Z,1,REGULAR,turnover,bad pass,[],1641708,,,1610612745,14,15,2024-11-28T00:24:10Z,790000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641708, 1627824]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Right,,,,,,,,,,1.0,Yabusele,1627824.0,,,,,,,,
81,PT05M27.00S,2024-11-28T00:24:06.2Z,1,REGULAR,steal,,[],1627824,,,1610612755,14,15,2024-11-28T00:24:11Z,800000,False,,,0,,G. Yabusele STEAL (1 STL),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
82,PT05M21.00S,2024-11-28T00:24:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,12.66425755584757,53.18627450980392,1610612755,14,15,2024-11-28T00:24:23Z,810000,False,-16.0,67.0,1,left,MISS T. Maxey 6' running Layup - blocked,"[1630178, 1631095]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,6.84,Missed,,,,,,Smith Jr.,1631095.0,,,,,,,,,,,
83,PT05M21.00S,2024-11-28T00:24:13.5Z,1,REGULAR,block,,[],1631095,,,1610612755,14,15,2024-11-28T00:26:41Z,820000,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
84,PT05M21.00S,2024-11-28T00:24:13.5Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,14,15,2024-11-28T00:24:23Z,830000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,
87,PT05M21.00S,2024-11-28T00:24:40.3Z,1,REGULAR,foul,personal,['1freethrow'],1630231,,,1610612745,14,15,2024-11-28T00:24:50Z,860000,False,,,0,,K. Martin transition take personal FOUL (1 PF) (Smith Jr. 1 FT),"[1630231, 1631095]",1610612755.0,PHI,transition take,,,Martin,K. Martin,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Smith Jr.,1631095.0
89,PT05M21.00S,2024-11-28T00:24:51.7Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,14,16,2024-11-28T00:24:51Z,880000,False,,,0,,J. Green transition take Free Throw 1 of 1 (14 PTS),[1630224],1610612745.0,HOU,transition take,,,Green,J. Green,,,,,,,,Made,,,,,14.0,,,,,,,,,,,,,
