actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M38.00S,2024-12-14T00:12:41.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626167,75.607752956636,68.13725490196079,1610612754,2,2,2024-12-14T00:12:48Z,160000,False,91.0,177.0,1,right,M. Turner 19' Jump Shot (2 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,,,,,,,Mid-Range,16-24 Right Center,19.87,Made,2.0,Turner,M. Turner,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,,
18,PT10M19.00S,2024-12-14T00:13:00.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,7.408015768725363,64.2156862745098,1610612755,4,2,2024-12-14T00:13:05Z,180000,False,-71.0,17.0,1,left,K. Oubre Jr. 7' driving floating Jump Shot (4 PTS),[1626162],1610612755.0,PHI,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.31,Made,4.0,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,
19,PT10M02.00S,2024-12-14T00:13:20.0Z,1,REGULAR,foul,personal,[],1626162,,,1610612754,4,2,2024-12-14T00:13:26Z,190000,False,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 1630169]",1610612755.0,PHI,,,,,,,Mid-Range,16-24 Left Center,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,1627534.0,,1.0,0.0,Haliburton,1630169.0,,,,
21,PT09M52.00S,2024-12-14T00:13:41.6Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,4,2,2024-12-14T00:13:47Z,210000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 202331]",1610612754.0,IND,,,,,,,Mid-Range,16-24 Center,,,,Nembhard,A. Nembhard,,,,,,,,,1.0,,,,,George,202331.0,,
22,PT09M52.00S,2024-12-14T00:13:41.6Z,1,REGULAR,steal,,[],202331,,,1610612755,4,2,2024-12-14T00:13:44Z,220000,False,,,0,,P. George STEAL (1 STL),[202331],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Center,,,,George,P. George,,,,,,,,,,,,,,,,,
23,PT09M40.00S,2024-12-14T00:13:56.1Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612755,4,2,2024-12-14T00:14:35Z,230000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Yabusele 2 FT),"[1627783, 1627824]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,,Siakam,P. Siakam,,,,,,,,1627534.0,,1.0,0.0,Yabusele,1627824.0,,,,
25,PT09M40.00S,2024-12-14T00:14:23.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627824,,,1610612755,5,2,2024-12-14T00:14:23Z,250000,False,,,0,,G. Yabusele Free Throw 1 of 2 (1 PTS),[1627824],1610612755.0,PHI,,,,,,,,,,Made,1.0,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
26,PT09M40.00S,2024-12-14T00:14:44.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627824,,,1610612755,6,2,2024-12-14T00:14:44Z,260000,False,,,0,,G. Yabusele Free Throw 2 of 2 (2 PTS),[1627824],1610612755.0,PHI,,,,,,,,,,Made,2.0,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
27,PT09M21.00S,2024-12-14T00:15:03.5Z,1,REGULAR,3pt,Jump Shot,[],1629614,63.91261498028909,47.05882352941176,1610612754,6,2,2024-12-14T00:15:08Z,270000,False,-15.0,287.0,1,right,MISS A. Nembhard 28' 3PT,[1629614],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,28.71,Missed,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,
28,PT09M18.00S,2024-12-14T00:15:06.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,6,2,2024-12-14T00:15:08Z,280000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,,George,P. George,,,,27.0,2.0,2.0,0.0,,,,,,,,,,
29,PT09M05.00S,2024-12-14T00:15:19.4Z,1,REGULAR,3pt,Jump Shot,[],202331,33.952036793692514,57.35294117647059,1610612755,9,2,2024-12-14T00:15:24Z,290000,False,-37.0,267.0,1,left,P. George 26' 3PT  (3 PTS) (J. Embiid 2 AST),"[202331, 203954]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,26.91,Made,3.0,George,P. George,J. Embiid,203954.0,2.0,,,,,,,,,,,,,,
31,PT08M49.00S,2024-12-14T00:15:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,94.66162943495401,53.18627450980392,1610612754,9,4,2024-12-14T00:15:43Z,310000,False,16.0,-2.0,1,right,B. Mathurin driving reverse Layup (2 PTS) (T. Haliburton 1 AST),"[1631097, 1630169]",1610612754.0,IND,driving reverse,,,,,,Restricted Area,0-8 Center,1.61,Made,2.0,Mathurin,B. Mathurin,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
33,PT08M36.00S,2024-12-14T00:15:56.5Z,1,REGULAR,foul,personal,[],1626167,,,1610612755,9,4,2024-12-14T00:16:15Z,330000,False,,,0,,M. Turner personal FOUL (1 PF),"[1626167, 203954]",1610612754.0,IND,,,,,,,Mid-Range,16-24 Center,,,,Turner,M. Turner,,,,,,,,1627534.0,,1.0,0.0,Embiid,203954.0,,,,
36,PT08M28.00S,2024-12-14T00:17:52.5Z,1,REGULAR,turnover,out-of-bounds,[],1627824,,,1610612755,9,4,2024-12-14T00:18:00Z,360000,False,,,0,,G. Yabusele lost ball out-of-bounds TURNOVER (1 TO),[1627824],1610612755.0,PHI,lost ball,,,,,,Restricted Area,0-8 Center,,,,Yabusele,G. Yabusele,,,,,,,,203591.0,1.0,,,,,,,,
37,PT08M08.00S,2024-12-14T00:18:17.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626167,76.39618922470433,65.44117647058823,1610612754,9,4,2024-12-14T00:18:24Z,370000,False,77.0,169.0,1,right,MISS M. Turner 18' step back Shot,[1626167],1610612754.0,IND,step back,,,,,,Mid-Range,16-24 Right Center,18.62,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,,
38,PT08M05.00S,2024-12-14T00:18:20.7Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,9,4,2024-12-14T00:18:24Z,380000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right Center,,,,Oubre Jr.,K. Oubre Jr.,,,,37.0,2.0,2.0,0.0,,,,,,,,,,
39,PT07M56.00S,2024-12-14T00:18:30.1Z,1,REGULAR,3pt,Jump Shot,[],202331,26.72470433639947,12.74509803921569,1610612755,9,4,2024-12-14T00:18:36Z,390000,False,186.0,199.0,1,left,MISS P. George 27' step back 3PT,[202331],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Right Center,27.24,Missed,,George,P. George,,,,,,,,,,,,,,,,,
40,PT07M53.00S,2024-12-14T00:18:33.1Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,9,4,2024-12-14T00:18:36Z,400000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:2),[1631097],1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,,,Mathurin,B. Mathurin,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT07M46.00S,2024-12-14T00:18:40.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,89.01116951379764,4.901960784313729,1610612754,9,7,2024-12-14T00:18:45Z,410000,False,-225.0,51.0,1,right,P. Siakam 3PT  (3 PTS) (A. Nembhard 2 AST),"[1627783, 1629614]",1610612754.0,IND,,,,,,,Left Corner 3,24+ Left,23.12,Made,3.0,Siakam,P. Siakam,A. Nembhard,1629614.0,2.0,,,,,,,,,,,,,,
43,PT07M42.00S,2024-12-14T00:18:47.8Z,1,REGULAR,turnover,inbound,[],1626162,,,1610612755,9,7,2024-12-14T00:18:57Z,430000,False,,,0,,K. Oubre Jr. inbound TURNOVER (1 TO),[1626162],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,1627539.0,1.0,,,,,,,,
44,PT07M27.00S,2024-12-14T00:19:22.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626167,73.89947437582128,17.40196078431373,1610612754,9,7,2024-12-14T00:19:29Z,440000,False,-163.0,193.0,1,right,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,25.25,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,,
45,PT07M22.00S,2024-12-14T00:19:27.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,7,2024-12-14T00:19:29Z,450000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Embiid,J. Embiid,,,,44.0,1.0,1.0,0.0,,,,,,,,,,
46,PT07M14.00S,2024-12-14T00:19:45.7Z,1,REGULAR,violation,kicked ball,[],1629614,,,1610612755,9,7,2024-12-14T00:19:53Z,460000,False,,,0,,A. Nembhard kicked ball VIOLATION,[1629614],1610612754.0,IND,,,,,,,,,,,,Nembhard,A. Nembhard,,,,,,,,203591.0,,,,,,,,,
47,PT07M02.00S,2024-12-14T00:20:09.7Z,1,REGULAR,3pt,Jump Shot,[],1627824,8.590670170827863,2.941176470588232,1610612755,9,7,2024-12-14T00:20:14Z,470000,False,235.0,28.0,1,left,MISS G. Yabusele 3PT,[1627824],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,23.7,Missed,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
48,PT06M59.00S,2024-12-14T00:20:12.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,9,7,2024-12-14T00:20:14Z,480000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,,,,Right Corner 3,24+ Right,,,,Turner,M. Turner,,,,47.0,1.0,1.0,0.0,,,,,,,,,,
49,PT06M51.00S,2024-12-14T00:20:20.2Z,1,REGULAR,2pt,Jump Shot,[],1630169,87.69710906701708,81.37254901960785,1610612754,9,7,2024-12-14T00:20:26Z,490000,False,157.0,63.0,1,right,MISS T. Haliburton 16' fadeaway Shot,[1630169],1610612754.0,IND,fadeaway,,,,,,Mid-Range,16-24 Right,16.91,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
50,PT06M49.00S,2024-12-14T00:20:22.9Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612754,9,7,2024-12-14T00:20:23Z,500000,False,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612754.0,IND,,,,,,,Mid-Range,16-24 Right,,,,Haliburton,T. Haliburton,,,,49.0,1.0,0.0,1.0,,,,,,,,,,
51,PT06M43.00S,2024-12-14T00:20:28.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630169,96.63272010512483,5.392156862745097,1610612754,9,10,2024-12-14T00:20:35Z,510000,False,-223.0,-21.0,1,right,T. Haliburton 3PT pullup (3 PTS) (B. Mathurin 1 AST),"[1630169, 1631097]",1610612754.0,IND,pullup,,,,,,Left Corner 3,24+ Left,22.4,Made,3.0,Haliburton,T. Haliburton,B. Mathurin,1631097.0,1.0,,,,,,,,,,,,,,
53,PT06M29.00S,2024-12-14T00:20:43.0Z,1,REGULAR,turnover,lost ball,[],202331,,,1610612755,9,10,2024-12-14T00:20:48Z,530000,False,,,0,,P. George lost ball TURNOVER (1 TO),"[202331, 1631097]",1610612755.0,PHI,,,,,,,Mid-Range,16-24 Center,,,,George,P. George,,,,,,,,,1.0,,,,,Mathurin,1631097.0,,
54,PT06M29.00S,2024-12-14T00:20:43.0Z,1,REGULAR,steal,,[],1631097,,,1610612754,9,10,2024-12-14T00:20:45Z,540000,False,,,0,,B. Mathurin STEAL (1 STL),[1631097],1610612754.0,IND,,,,,,,Mid-Range,16-24 Center,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
55,PT06M25.00S,2024-12-14T00:20:47.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630169,71.27135348226018,83.57843137254902,1610612754,9,13,2024-12-14T00:20:57Z,550000,False,168.0,218.0,1,right,T. Haliburton 27' 3PT running pullup (6 PTS) (B. Mathurin 2 AST),"[1630169, 1631097]",1610612754.0,IND,running pullup,,,,,,Above the Break 3,24+ Right Center,27.48,Made,6.0,Haliburton,T. Haliburton,B. Mathurin,1631097.0,2.0,,,,,,,,,,,,,,
57,PT06M24.00S,2024-12-14T00:21:03.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,9,13,2024-12-14T00:21:07Z,570000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M03.00S,2024-12-14T00:24:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,18.7089356110381,46.32352941176471,1610612755,9,13,2024-12-14T00:24:17Z,590000,False,18.0,123.0,1,left,MISS J. Embiid 12' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,12.48,Missed,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
60,PT06M01.00S,2024-12-14T00:24:13.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,9,13,2024-12-14T00:24:13Z,600000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Siakam,P. Siakam,,,,59.0,1.0,1.0,0.0,,,,,,,,,,
61,PT05M54.00S,2024-12-14T00:24:20.1Z,1,REGULAR,3pt,Jump Shot,[],1630169,87.56570302233902,2.6960784313725554,1610612754,9,13,2024-12-14T00:24:26Z,610000,False,-237.0,64.0,1,right,MISS T. Haliburton 24' step back 3PT,[1630169],1610612754.0,IND,step back,,,,,,Left Corner 3,24+ Left,24.51,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
62,PT05M52.00S,2024-12-14T00:24:22.1Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,9,13,2024-12-14T00:24:26Z,620000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:3),[1626162],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,,,Oubre Jr.,K. Oubre Jr.,,,,61.0,3.0,3.0,0.0,,,,,,,,,,
63,PT05M45.00S,2024-12-14T00:24:28.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626162,8.065045992115643,45.833333333333336,1610612755,9,13,2024-12-14T00:25:25Z,630000,False,21.0,23.0,1,left,MISS K. Oubre Jr. running Layup,[1626162],1610612755.0,PHI,running,,,,,,Restricted Area,0-8 Center,3.12,Missed,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,
64,PT05M43.00S,2024-12-14T00:24:30.9Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,9,13,2024-12-14T00:24:43Z,640000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:3),[1631097],1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,,Mathurin,B. Mathurin,,,,63.0,3.0,3.0,0.0,,,,,,,,,,
65,PT05M36.00S,2024-12-14T00:24:42.1Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612754,9,13,2024-12-14T00:24:54Z,650000,False,,,0,,K. Oubre Jr. shooting personal FOUL (2 PF) (Turner 2 FT),"[1626162, 1626167]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,1627539.0,,2.0,0.0,Turner,1626167.0,,,,
67,PT05M36.00S,2024-12-14T00:25:06.3Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,9,13,2024-12-14T00:25:06Z,670000,False,,,0,,MISS M. Turner Free Throw 1 of 2,[1626167],1610612754.0,IND,,,,,,,,,,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,,
68,PT05M36.00S,2024-12-14T00:25:06.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,9,13,2024-12-14T00:25:06Z,680000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,
69,PT05M36.00S,2024-12-14T00:25:10.8Z,1,REGULAR,substitution,out,[],1627824,,,1610612754,9,13,2024-12-14T00:25:22Z,690000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612755.0,PHI,,,,,,,,,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,
70,PT05M36.00S,2024-12-14T00:25:10.8Z,1,REGULAR,substitution,out,[],1630178,,,1610612754,9,13,2024-12-14T00:25:22Z,700000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
71,PT05M36.00S,2024-12-14T00:25:10.8Z,1,REGULAR,substitution,in,[],1642272,,,1610612754,9,13,2024-12-14T00:25:22Z,710000,False,,,0,,SUB in: J. McCain,[1642272],1610612755.0,PHI,,,,,,,,,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,
72,PT05M36.00S,2024-12-14T00:25:10.8Z,1,REGULAR,substitution,in,[],1630231,,,1610612754,9,13,2024-12-14T00:25:22Z,720000,False,,,0,,SUB in: K. Martin,[1630231],1610612755.0,PHI,,,,,,,,,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,
73,PT05M36.00S,2024-12-14T00:25:30.7Z,1,REGULAR,substitution,out,[],1627783,,,1610612754,9,13,2024-12-14T00:25:35Z,730000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,,,,,,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
74,PT05M36.00S,2024-12-14T00:25:30.7Z,1,REGULAR,substitution,in,[],1630167,,,1610612754,9,13,2024-12-14T00:25:35Z,740000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,,,,,,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
75,PT05M36.00S,2024-12-14T00:25:51.3Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,9,14,2024-12-14T00:25:51Z,750000,False,,,0,,M. Turner Free Throw 2 of 2 (3 PTS),[1626167],1610612754.0,IND,,,,,,,,,,Made,3.0,Turner,M. Turner,,,,,,,,,,,,,,,,,
76,PT05M18.00S,2024-12-14T00:26:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,8.196452036793687,48.774509803921575,1610612755,9,14,2024-12-14T00:26:20Z,760000,False,6.0,25.0,1,left,MISS J. Embiid driving finger roll Layup,[203954],1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,2.52,Missed,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
77,PT05M14.00S,2024-12-14T00:26:15.4Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612755,9,14,2024-12-14T00:26:15Z,770000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:3),[1626162],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Oubre Jr.,K. Oubre Jr.,,,,76.0,4.0,3.0,1.0,,,,,,,,,,
78,PT05M14.00S,2024-12-14T00:26:15.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626162,5.590000152587891,50.0,1610612755,9,14,2024-12-14T00:26:15Z,780000,False,0.0,0.0,1,left,MISS K. Oubre Jr. tip Layup,[1626162],1610612755.0,PHI,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,
79,PT05M13.00S,2024-12-14T00:26:16.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,9,14,2024-12-14T00:26:16Z,790000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,,,,Mid-Range,8-16 Left,,,,Turner,M. Turner,,,,78.0,2.0,2.0,0.0,,,,,,,,,,
80,PT05M10.00S,2024-12-14T00:26:19.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629614,94.13600525624179,11.029411764705884,1610612754,9,14,2024-12-14T00:26:30Z,800000,False,-195.0,3.0,1,right,MISS A. Nembhard 19' running Shot,[1629614],1610612754.0,IND,running,,,,,,Mid-Range,16-24 Left,19.49,Missed,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,
81,PT05M07.00S,2024-12-14T00:26:22.8Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,9,14,2024-12-14T00:26:22Z,810000,False,,,0,,M. Turner REBOUND (Off:1 Def:2),[1626167],1610612754.0,IND,,,,,,,Mid-Range,16-24 Left,,,,Turner,M. Turner,,,,80.0,3.0,2.0,1.0,,,,,,,,,,
82,PT04M59.00S,2024-12-14T00:26:30.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631097,79.94415243101183,73.52941176470588,1610612754,9,14,2024-12-14T00:26:37Z,820000,False,118.0,136.0,1,right,MISS B. Mathurin 17' pullup Shot,[1631097],1610612754.0,IND,pullup,,,,,,Mid-Range,16-24 Right Center,17.98,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
83,PT04M56.00S,2024-12-14T00:26:33.7Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,9,14,2024-12-14T00:26:37Z,830000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:4),[1626162],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right Center,,,,Oubre Jr.,K. Oubre Jr.,,,,82.0,5.0,4.0,1.0,,,,,,,,,,
84,PT04M48.00S,2024-12-14T00:26:41.9Z,1,REGULAR,2pt,Jump Shot,[],203954,20.54862023653088,65.93137254901961,1610612755,9,14,2024-12-14T00:26:51Z,840000,False,-80.0,141.0,1,left,MISS J. Embiid 16' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,,,,Mid-Range,16-24 Left Center,16.17,Missed,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
