actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
16,PT10M15.00S,2025-01-11T00:13:10.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202331,32.637976346911955,82.35294117647058,1610612755,0,0,2025-01-11T00:14:18Z,160000,False,-162.0,254.0,1,left,MISS P. George 30' running 3PT,[202331],1610612755.0,PHI,running,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,30.14,Missed,,,,,,,,,,,,,,,,
17,PT10M12.00S,2025-01-11T00:13:13.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,0,0,2025-01-11T00:13:15Z,170000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,
18,PT10M04.00S,2025-01-11T00:13:22.0Z,1,REGULAR,3pt,Jump Shot,[],203468,66.01511169513799,64.70588235294117,1610612740,0,0,2025-01-11T00:13:27Z,180000,False,74.0,267.0,1,right,MISS C. McCollum 27' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,27.69,Missed,,,,,,,,,,,,,,,,
19,PT10M02.00S,2025-01-11T00:13:24.0Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,0,0,2025-01-11T00:13:27Z,190000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,
20,PT09M56.00S,2025-01-11T00:13:31.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202331,6.8823915900131425,51.470588235294116,1610612755,2,0,2025-01-11T00:13:38Z,200000,False,-7.0,12.0,1,left,P. George running Layup (2 PTS),[202331],1610612755.0,PHI,running,,,George,P. George,,,,,Restricted Area,0-8 Center,,,1.43,Made,,,,,2.0,,,,,,,,,,,
21,PT09M41.00S,2025-01-11T00:13:45.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642274,94.13600525624179,50.245098039215684,1610612740,2,2,2025-01-11T00:13:50Z,210000,False,1.0,3.0,1,right,Y. Missi alley-oop DUNK (2 PTS) (D. Murray 1 AST),"[1642274, 1627749]",1610612740.0,NOP,alley-oop,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,0.29,Made,,,,,2.0,D. Murray,1627749.0,1.0,,,,,,,,
23,PT09M29.00S,2025-01-11T00:13:57.0Z,1,REGULAR,3pt,Jump Shot,[],1627824,28.95860709592641,19.117647058823522,1610612755,2,2,2025-01-11T00:14:02Z,230000,False,154.0,220.0,1,left,MISS G. Yabusele 26' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,26.85,Missed,,,,,,,,,,,,,,,,
24,PT09M25.00S,2025-01-11T00:14:01.0Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,2,2,2025-01-11T00:14:02Z,240000,False,,,0,,D. Murray REBOUND (Off:0 Def:3),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,,23.0,3.0,3.0,0.0,,,,,,,,,,,,
25,PT09M23.00S,2025-01-11T00:14:06.0Z,1,REGULAR,foul,personal,[],1626162,,,1610612740,2,2,2025-01-11T00:14:12Z,250000,False,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 1627749]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,2882.0,,,,,,,,,,,,1.0,0.0,Murray,1627749.0,,,,
27,PT09M08.00S,2025-01-11T00:14:35.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,92.82194480946123,52.450980392156865,1610612740,2,4,2025-01-11T00:14:39Z,270000,False,12.0,15.0,1,right,D. Murray driving finger roll Layup (2 PTS) (C. McCollum 1 AST),"[1627749, 203468]",1610612740.0,NOP,driving finger roll,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,1.94,Made,,,,,2.0,C. McCollum,203468.0,1.0,,,,,,,,
29,PT08M51.00S,2025-01-11T00:14:53.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,19.103153745072277,57.1078431372549,1610612755,2,4,2025-01-11T00:14:58Z,290000,False,-36.0,127.0,1,left,MISS K. Oubre Jr. 13' step back Shot,[1626162],1610612755.0,PHI,step back,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,13.2,Missed,,,,,,,,,,,,,,,,
30,PT08M47.00S,2025-01-11T00:14:57.0Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612740,2,4,2025-01-11T00:14:58Z,300000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,
31,PT08M42.00S,2025-01-11T00:15:02.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203468,93.74178712220763,53.431372549019606,1610612740,2,6,2025-01-11T00:15:08Z,310000,False,17.0,6.0,1,right,C. McCollum driving floating bank Jump Shot (2 PTS) (J. Green 1 AST),"[203468, 1629750]",1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,1.83,Made,,,,,2.0,J. Green,1629750.0,1.0,,,,,,,,
33,PT08M29.00S,2025-01-11T00:15:14.3Z,1,REGULAR,3pt,Jump Shot,[],202331,34.8718791064389,63.48039215686275,1610612755,2,6,2025-01-11T00:15:21Z,330000,False,-67.0,275.0,1,left,MISS P. George 28' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,28.34,Missed,,,,,,,,,,,,,,,,
34,PT08M26.00S,2025-01-11T00:15:18.2Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612755,2,6,2025-01-11T00:15:18Z,340000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,33.0,1.0,0.0,1.0,,,,,,,,,,,,
35,PT08M22.00S,2025-01-11T00:15:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626162,8.065045992115643,55.63725490196079,1610612755,2,6,2025-01-11T00:15:26Z,350000,False,-28.0,23.0,1,left,MISS K. Oubre Jr. driving Layup - blocked,"[1626162, 1642274]",1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,3.66,Missed,,,,,,,,,,,,,Missi,1642274.0,,
36,PT08M22.00S,2025-01-11T00:15:22.0Z,1,REGULAR,block,,[],1642274,,,1610612755,2,6,2025-01-11T00:15:24Z,360000,False,,,0,,Y. Missi BLOCK (1 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M22.00S,2025-01-11T00:15:22.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,2,6,2025-01-11T00:15:26Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,35.0,,,,,,,,,,,,,,,
39,PT08M18.00S,2025-01-11T00:15:48.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628997,8.327858081471746,3.9215686274509807,1610612755,2,6,2025-01-11T00:15:52Z,390000,False,230.0,26.0,1,left,MISS C. Martin 3PT,[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,23.18,Missed,,,,,,,,,,,,,,,,
40,PT08M14.00S,2025-01-11T00:15:51.7Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,2,6,2025-01-11T00:15:51Z,400000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Right Corner 3,24+ Right,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,
41,PT08M09.00S,2025-01-11T00:15:57.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627749,94.53022339027595,48.529411764705884,1610612740,2,6,2025-01-11T00:16:03Z,410000,False,-7.0,-1.0,1,right,MISS D. Murray running Layup,[1627749],1610612740.0,NOP,running,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,0.75,Missed,,,,,,,,,,,,,,,,
42,PT08M04.00S,2025-01-11T00:16:01.6Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,2,6,2025-01-11T00:16:01Z,420000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,,
43,PT08M04.00S,2025-01-11T00:16:01.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1642274,94.40999984741211,50.0,1610612740,2,6,2025-01-11T00:16:22Z,430000,False,0.0,0.0,1,right,MISS Y. Missi tip Layup,[1642274],1610612740.0,NOP,tip,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,0.0,Missed,,,,,,,,,,,,,,,,
44,PT08M04.00S,2025-01-11T00:16:01.6Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,2,6,2025-01-11T00:16:22Z,440000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,
45,PT08M00.00S,2025-01-11T00:16:06.3Z,1,REGULAR,3pt,Jump Shot,[],1628997,7.670827858081481,96.07843137254902,1610612755,5,6,2025-01-11T00:20:12Z,450000,False,-230.0,20.0,1,left,C. Martin 3PT  (3 PTS) (T. Maxey 1 AST),"[1628997, 1630178]",1610612755.0,PHI,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,,,23.12,Made,,,,,3.0,T. Maxey,1630178.0,1.0,,,,,,,,
47,PT07M46.00S,2025-01-11T00:16:20.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,89.27398160315374,54.65686274509804,1610612740,5,6,2025-01-11T00:16:24Z,470000,False,23.0,48.0,1,right,MISS C. McCollum driving floating Shot - blocked,"[203468, 1628997]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,5.36,Missed,,,,,,,,,,,,,Martin,1628997.0,,
48,PT07M46.00S,2025-01-11T00:16:20.4Z,1,REGULAR,block,,[],1628997,,,1610612740,5,6,2025-01-11T00:16:22Z,480000,False,,,0,,C. Martin BLOCK (1 BLK),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
49,PT07M46.00S,2025-01-11T00:16:20.4Z,1,REGULAR,rebound,offensive,[],1641722,,,1610612740,5,6,2025-01-11T00:16:24Z,490000,False,,,0,,J. Hawkins REBOUND (Off:1 Def:0),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,In The Paint (Non-RA),0-8 Center,,,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,
50,PT07M43.00S,2025-01-11T00:16:24.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641722,74.55650459921156,16.17647058823529,1610612740,5,6,2025-01-11T00:16:27Z,500000,False,-169.0,187.0,1,right,MISS J. Hawkins 25' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,,,25.19,Missed,,,,,,,,,,,,,,,,
51,PT07M41.00S,2025-01-11T00:16:26.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,5,6,2025-01-11T00:16:27Z,510000,False,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,
52,PT07M37.00S,2025-01-11T00:16:30.0Z,1,REGULAR,2pt,Jump Shot,[],1630178,24.6222076215506,39.4607843137255,1610612755,7,6,2025-01-11T00:21:09Z,520000,False,53.0,179.0,1,left,T. Maxey 18' step back Jump Shot (2 PTS) (P. George 1 AST),"[1630178, 202331]",1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Center,,,18.65,Made,,,,,2.0,P. George,202331.0,1.0,,,,,,,,
54,PT07M21.00S,2025-01-11T00:16:45.9Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612740,7,6,2025-01-11T00:16:49Z,540000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1630178]",1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,,,,,,,,,,,Maxey,1630178.0
55,PT07M21.00S,2025-01-11T00:16:45.9Z,1,REGULAR,steal,,[],1630178,,,1610612755,7,6,2025-01-11T00:16:48Z,550000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
56,PT07M17.00S,2025-01-11T00:16:48.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,5.699737187910642,52.450980392156865,1610612755,9,6,2025-01-11T00:16:53Z,560000,False,-12.0,1.0,1,left,T. Maxey running DUNK (4 PTS),[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,1.23,Made,,,,,4.0,,,,,,,,,,,
57,PT07M05.00S,2025-01-11T00:17:05.6Z,1,REGULAR,foul,offensive,[],1642274,,,1610612740,9,6,2025-01-11T00:17:16Z,570000,False,,,0,,Y. Missi offensive FOUL (1 PF),"[1642274, 1627824]",1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,202027.0,,,,,,,,,,,,1.0,0.0,Yabusele,1627824.0,,,,
59,PT07M05.00S,2025-01-11T00:17:05.6Z,1,REGULAR,turnover,offensive foul,[],1642274,,,1610612740,9,6,2025-01-11T00:17:05Z,590000,False,,,0,,Y. Missi offensive foul TURNOVER (2 TO),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,202027.0,2.0,,,,,,,,,,,,,,,,,,
60,PT06M53.00S,2025-01-11T00:17:28.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630178,19.49737187910644,37.745098039215684,1610612755,11,6,2025-01-11T00:17:32Z,600000,False,61.0,131.0,1,left,T. Maxey 14' pullup Jump Shot (6 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,14.45,Made,,,,,6.0,,,,,,,,,,,
61,PT06M39.00S,2025-01-11T00:17:42.4Z,1,REGULAR,foul,personal,['3freethrow'],1630178,,,1610612740,11,6,2025-01-11T00:18:30Z,610000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (McCollum 3 FT),"[1630178, 203468]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,1193.0,,,,,,,,,,,,1.0,0.0,McCollum,203468.0,,,,
64,PT06M39.00S,2025-01-11T00:17:58.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,11,6,2025-01-11T00:18:01Z,640000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M39.00S,2025-01-11T00:21:04.1Z,1,REGULAR,freethrow,1 of 3,[],203468,,,1610612740,11,7,2025-01-11T00:21:42Z,650000,False,,,0,,C. McCollum Free Throw 1 of 3 (3 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
66,PT06M39.00S,2025-01-11T00:21:04.1Z,1,REGULAR,freethrow,2 of 3,[],203468,,,1610612740,11,8,2025-01-11T00:21:42Z,660000,False,,,0,,C. McCollum Free Throw 2 of 3 (4 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
67,PT06M39.00S,2025-01-11T00:21:04.1Z,1,REGULAR,freethrow,3 of 3,[],203468,,,1610612740,11,9,2025-01-11T00:21:42Z,670000,False,,,0,,C. McCollum Free Throw 3 of 3 (5 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,
68,PT06M24.00S,2025-01-11T00:21:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,5.831143232588701,42.892156862745104,1610612755,11,9,2025-01-11T00:21:50Z,680000,False,36.0,2.0,1,left,MISS P. George driving Layup,[202331],1610612755.0,PHI,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,,,3.56,Missed,,,,,,,,,,,,,,,,
69,PT06M21.00S,2025-01-11T00:21:49.5Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612740,11,9,2025-01-11T00:21:50Z,690000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,68.0,2.0,2.0,0.0,,,,,,,,,,,,
70,PT06M13.00S,2025-01-11T00:21:56.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,85.46320630749014,55.14705882352941,1610612740,11,11,2025-01-11T00:22:00Z,700000,False,26.0,84.0,1,right,C. McCollum 8' driving floating Jump Shot (7 PTS) (D. Murray 2 AST),"[203468, 1627749]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,8.79,Made,,,,,7.0,D. Murray,1627749.0,2.0,,,,,,,,
72,PT05M59.00S,2025-01-11T00:22:11.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,17.394875164257556,4.656862745098039,1610612755,11,11,2025-01-11T00:34:28Z,720000,False,227.0,111.0,1,left,MISS T. Maxey 25' step back 3PT,[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,25.24,Missed,,,,,,,,,,,,,,,,
73,PT05M56.00S,2025-01-11T00:22:14.0Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,11,11,2025-01-11T00:22:15Z,730000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,
74,PT05M52.00S,2025-01-11T00:22:17.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203468,95.58147174770039,33.57843137254902,1610612740,11,11,2025-01-11T00:22:34Z,740000,False,-82.0,-11.0,1,right,MISS C. McCollum 8' driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,,,8.28,Missed,,,,,,,,,,,,,,,,
75,PT05M47.00S,2025-01-11T00:22:22.7Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612740,11,11,2025-01-11T00:22:22Z,750000,False,,,0,,J. Green REBOUND (Off:1 Def:2),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,74.0,3.0,2.0,1.0,,,,,,,,,,,,
78,PT05M45.00S,2025-01-11T00:22:24.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641722,66.5407358738502,64.2156862745098,1610612740,11,11,2025-01-11T00:22:28Z,780000,False,71.0,262.0,1,right,MISS J. Hawkins 27' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Center,,,27.15,Missed,,,,,,,,,,,,,,,,
79,PT05M45.00S,2025-01-11T00:22:24.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612755,11,11,2025-01-11T00:22:28Z,790000,False,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,78.0,2.0,1.0,1.0,,,,,,,,,,,,
80,PT05M35.00S,2025-01-11T00:22:35.1Z,1,REGULAR,3pt,Jump Shot,[],1626162,32.11235216819975,83.82352941176471,1610612755,11,11,2025-01-11T00:22:39Z,800000,False,-169.0,249.0,1,left,MISS K. Oubre Jr. 30' 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,30.13,Missed,,,,,,,,,,,,,,,,
81,PT05M31.00S,2025-01-11T00:22:39.1Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,11,11,2025-01-11T00:22:39Z,810000,False,,,0,,T. Maxey REBOUND (Off:1 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,80.0,2.0,1.0,1.0,,,,,,,,,,,,
82,PT05M29.00S,2025-01-11T00:22:40.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,4.911300919842304,95.34313725490196,1610612755,11,11,2025-01-11T00:22:44Z,820000,False,-227.0,-6.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,22.68,Missed,,,,,,,,,,,,,,,,
83,PT05M26.00S,2025-01-11T00:22:43.4Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,11,11,2025-01-11T00:22:44Z,830000,False,,,0,,D. Murray REBOUND (Off:0 Def:4),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,,,,,82.0,4.0,4.0,0.0,,,,,,,,,,,,
