actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT09M58.00S,2025-01-07T00:12:59.4Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612755,5,3,2025-01-07T00:13:00Z,170000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT09M54.00S,2025-01-07T00:13:03.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,33.952036793692514,40.68627450980392,1610612755,8,3,2025-01-07T00:13:09Z,180000,False,47.0,267.0,1,left,T. Maxey 27' 3PT running pullup (3 PTS),[1630178],1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,27.06,Made,3.0,,,,,,,,,,,,,,
19,PT09M27.00S,2025-01-07T00:13:30.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,87.9599211563732,82.1078431372549,1610612756,8,3,2025-01-07T00:13:36Z,190000,False,161.0,61.0,1,right,MISS D. Booker 17' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right,,,,17.16,Missed,,,,,,,,,,,,,,,
20,PT09M24.00S,2025-01-07T00:13:33.2Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,8,3,2025-01-07T00:13:36Z,200000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:2),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Mid-Range,16-24 Right,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,
21,PT09M16.00S,2025-01-07T00:13:41.6Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,8,3,2025-01-07T00:13:45Z,210000,False,,,0,,T. Maxey bad pass TURNOVER (2 TO),"[1630178, 203486]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,2.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,
22,PT09M16.00S,2025-01-07T00:13:41.6Z,1,REGULAR,steal,,[],203486,,,1610612756,8,3,2025-01-07T00:13:43Z,220000,False,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT08M56.00S,2025-01-07T00:14:01.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,85.46320630749014,31.617647058823522,1610612756,8,3,2025-01-07T00:14:07Z,230000,False,-92.0,84.0,1,right,MISS D. Booker 12' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,12.46,Missed,,,,,,,,,,,,,,,
24,PT08M53.00S,2025-01-07T00:14:04.7Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,8,3,2025-01-07T00:14:07Z,240000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:3),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Mid-Range,8-16 Left,,,,,,,,,,23.0,3.0,3.0,0.0,,,,,,,
25,PT08M46.00S,2025-01-07T00:14:11.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,6.225361366622863,51.22549019607843,1610612755,10,3,2025-01-07T00:14:27Z,250000,False,-6.0,6.0,1,left,K. Oubre Jr. driving DUNK (4 PTS) (C. Martin 1 AST),"[1626162, 1628997]",1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,0.86,Made,4.0,C. Martin,1628997.0,1.0,,,,,,,,,,,
27,PT08M45.00S,2025-01-07T00:14:21.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,10,3,2025-01-07T00:14:23Z,270000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT08M32.00S,2025-01-07T00:18:21.1Z,1,REGULAR,turnover,backcourt,[],1626145,,,1610612756,10,3,2025-01-07T00:18:36Z,290000,False,,,0,,T. Jones backcourt TURNOVER (1 TO),[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,,,202058.0,,,,,,
86,PT08M23.00S,2025-01-07T00:18:35.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627824,19.23455978975032,48.529411764705884,1610612755,10,3,2025-01-07T00:47:50Z,295000,False,7.0,128.0,1,left,MISS G. Yabusele 12' driving Layup - blocked,"[1627824, 203486]",1610612755.0,PHI,driving,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),8-16 Center,,,,12.85,Missed,,,,,,,,,,Plumlee,203486.0,,,,
87,PT08M23.00S,2025-01-07T00:18:35.0Z,1,REGULAR,block,,[],203486,,,1610612755,10,3,2025-01-07T00:26:25Z,297500,False,,,0,,M. Plumlee BLOCK (1 BLK),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
88,PT08M20.00S,2025-01-07T00:18:38.0Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612755,10,3,2025-01-07T00:47:50Z,298750,False,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,86.0,2.0,1.0,1.0,,,,,,,
30,PT08M18.00S,2025-01-07T00:18:49.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626162,29.09001314060447,82.1078431372549,1610612755,10,3,2025-01-07T00:48:07Z,300000,False,-161.0,221.0,1,left,MISS K. Oubre Jr. 27' 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,27.31,Missed,,,,,,,,,,,,,,,
31,PT08M16.00S,2025-01-07T00:18:51.0Z,1,REGULAR,rebound,defensive,[],203486,,,1610612756,10,3,2025-01-07T00:48:07Z,310000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,
32,PT08M03.00S,2025-01-07T00:19:07.9Z,1,REGULAR,violation,kicked ball,[],1630178,,,1610612756,10,3,2025-01-07T00:19:11Z,320000,False,,,0,,T. Maxey kicked ball VIOLATION,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,202058.0,,,,,,
33,PT07M58.00S,2025-01-07T00:19:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,94.3988173455979,51.96078431372549,1610612756,10,3,2025-01-07T00:19:25Z,330000,False,10.0,0.0,1,right,MISS K. Durant alley-oop Layup,[201142],1610612756.0,PHX,alley-oop,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,0.98,Missed,,,,,,,,,,,,,,,
34,PT07M55.00S,2025-01-07T00:19:23.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612755,10,3,2025-01-07T00:19:25Z,340000,False,,,0,,C. Martin REBOUND (Off:1 Def:2),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,33.0,3.0,2.0,1.0,,,,,,,
35,PT07M49.00S,2025-01-07T00:19:29.6Z,1,REGULAR,3pt,Jump Shot,[],1627824,8.722076215505908,5.392156862745097,1610612755,10,3,2025-01-07T00:21:01Z,350000,False,223.0,29.0,1,left,MISS G. Yabusele 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,,,,22.49,Missed,,,,,,,,,,,,,,,
36,PT07M45.00S,2025-01-07T00:19:33.6Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612755,10,3,2025-01-07T00:21:01Z,360000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,,35.0,1.0,0.0,1.0,,,,,,,
37,PT07M43.00S,2025-01-07T00:19:35.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626162,8.459264126149804,48.28431372549019,1610612755,12,3,2025-01-07T00:22:08Z,370000,False,9.0,27.0,1,left,K. Oubre Jr. putback Layup (6 PTS),[1626162],1610612755.0,PHI,putback,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,2.83,Made,6.0,,,,,,,,,,,,,,
38,PT07M30.00S,2025-01-07T00:19:47.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,87.43429697766098,46.81372549019608,1610612756,12,3,2025-01-07T00:19:53Z,380000,False,-16.0,66.0,1,right,MISS D. Booker 6' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,,6.75,Missed,,,,,,,,,,,,,,,
39,PT07M26.00S,2025-01-07T00:19:51.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,12,3,2025-01-07T01:20:27Z,390000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,
40,PT07M17.00S,2025-01-07T00:20:01.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627824,6.093955321944804,49.50980392156863,1610612755,14,3,2025-01-07T00:20:04Z,400000,False,2.0,5.0,1,left,G. Yabusele cutting DUNK (5 PTS) (C. Martin 2 AST),"[1627824, 1628997]",1610612755.0,PHI,cutting,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,0.54,Made,5.0,C. Martin,1628997.0,2.0,,,,,,,,,,,
42,PT06M51.00S,2025-01-07T00:20:30.4Z,1,REGULAR,foul,personal,[],202331,,,1610612756,14,3,2025-01-07T00:20:36Z,420000,False,,,0,,P. George personal FOUL (1 PF),"[202331, 203486]",1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,1629183.0,,,1.0,0.0,Plumlee,203486.0
44,PT06M51.00S,2025-01-07T00:20:37.2Z,1,REGULAR,substitution,out,[],1642346,,,1610612756,14,3,2025-01-07T00:20:41Z,440000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT06M51.00S,2025-01-07T00:20:37.2Z,1,REGULAR,substitution,in,[],203078,,,1610612756,14,3,2025-01-07T00:20:41Z,450000,False,,,0,,SUB in: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT06M44.00S,2025-01-07T00:20:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,93.47897503285151,49.754901960784316,1610612756,14,3,2025-01-07T00:25:24Z,460000,False,-1.0,9.0,1,right,MISS T. Jones driving floating bank Shot,[1626145],1610612756.0,PHX,driving floating bank,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,0.89,Missed,,,,,,,,,,,,,,,
47,PT06M44.00S,2025-01-07T00:20:59.1Z,1,REGULAR,rebound,offensive,[],203486,,,1610612756,14,3,2025-01-07T00:21:04Z,470000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,,46.0,2.0,1.0,1.0,,,,,,,
48,PT06M41.00S,2025-01-07T00:21:02.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,94.40999984741211,50.0,1610612756,14,5,2025-01-07T00:21:02Z,480000,False,0.0,0.0,1,right,M. Plumlee tip Layup (2 PTS),[203486],1610612756.0,PHX,tip,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,,,,0.0,Made,2.0,,,,,,,,,,,,,,
49,PT06M34.00S,2025-01-07T00:21:09.4Z,1,REGULAR,3pt,Jump Shot,[],1627824,27.250328515111704,84.80392156862746,1610612755,14,5,2025-01-07T00:21:14Z,490000,False,-174.0,204.0,1,left,MISS G. Yabusele 26' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,26.79,Missed,,,,,,,,,,,,,,,
50,PT06M30.00S,2025-01-07T00:21:13.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612756,14,5,2025-01-07T00:21:14Z,500000,False,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,49.0,3.0,2.0,1.0,,,,,,,
51,PT06M17.00S,2025-01-07T00:21:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,82.9664914586071,42.64705882352941,1610612756,14,5,2025-01-07T00:26:19Z,510000,False,-37.0,108.0,1,right,MISS D. Booker 11' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,,11.37,Missed,,,,,,,,,,,,,,,
52,PT06M13.00S,2025-01-07T00:21:30.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,14,5,2025-01-07T00:21:31Z,520000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,
53,PT06M08.00S,2025-01-07T00:21:36.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202331,35.26609724047306,50.98039215686275,1610612755,14,5,2025-01-07T00:27:03Z,530000,False,-5.0,279.0,1,left,MISS P. George 27' running pullup 3PT,[202331],1610612755.0,PHI,running pullup,,,George,P. George,,,,,Above the Break 3,24+ Center,,,,27.9,Missed,,,,,,,,,,,,,,,
54,PT06M05.00S,2025-01-07T00:21:39.4Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,14,5,2025-01-07T00:21:41Z,540000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Center,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,
55,PT06M03.00S,2025-01-07T00:21:45.7Z,1,REGULAR,violation,kicked ball,[],202331,,,1610612756,14,5,2025-01-07T00:21:49Z,550000,False,,,0,,P. George kicked ball VIOLATION,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,202058.0,,,,,,
56,PT06M03.00S,2025-01-07T00:21:54.4Z,1,REGULAR,substitution,out,[],203486,,,1610612756,14,5,2025-01-07T00:21:57Z,560000,False,,,0,,SUB out: M. Plumlee,[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M03.00S,2025-01-07T00:21:54.4Z,1,REGULAR,substitution,in,[],203994,,,1610612756,14,5,2025-01-07T00:21:57Z,570000,False,,,0,,SUB in: J. Nurkić,[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M47.00S,2025-01-07T00:22:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,94.3988173455979,49.754901960784316,1610612756,14,5,2025-01-07T00:22:23Z,580000,False,-1.0,0.0,1,right,MISS B. Beal driving finger roll Layup,[203078],1610612756.0,PHX,driving finger roll,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,0.12,Missed,,,,,,,,,,,,,,,
59,PT05M44.00S,2025-01-07T00:22:22.1Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,14,5,2025-01-07T00:22:23Z,590000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:0),[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,,,,,58.0,1.0,0.0,1.0,,,,,,,
60,PT05M44.00S,2025-01-07T00:22:22.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203994,94.40999984741211,50.0,1610612756,14,5,2025-01-07T00:22:27Z,600000,False,0.0,0.0,1,right,MISS J. Nurkić tip Layup,[203994],1610612756.0,PHX,tip,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
61,PT05M43.00S,2025-01-07T00:22:23.3Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,14,5,2025-01-07T00:22:27Z,610000,False,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,60.0,3.0,3.0,0.0,,,,,,,
62,PT05M34.00S,2025-01-07T00:22:32.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,30.404073587385014,20.833333333333343,1610612755,17,5,2025-01-07T00:22:37Z,620000,False,146.0,233.0,1,left,T. Maxey 27' 3PT  (6 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,27.51,Made,6.0,,,,,,,,,,,,,,
63,PT05M26.00S,2025-01-07T00:22:42.9Z,1,REGULAR,3pt,Jump Shot,[],1626145,96.50131406044679,2.6960784313725554,1610612756,17,5,2025-01-07T00:28:42Z,630000,False,-237.0,-20.0,1,right,MISS T. Jones 3PT,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,,23.73,Missed,,,,,,,,,,,,,,,
64,PT05M23.00S,2025-01-07T00:22:45.9Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,17,5,2025-01-07T00:28:42Z,640000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,,63.0,2.0,1.0,1.0,,,,,,,
65,PT05M07.00S,2025-01-07T00:22:59.2Z,1,REGULAR,3pt,Jump Shot,[],1628997,25.804862023653087,11.519607843137265,1610612755,17,5,2025-01-07T00:23:03Z,650000,False,192.0,190.0,1,left,MISS C. Martin 27' step back 3PT,[1628997],1610612755.0,PHI,step back,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,27.05,Missed,,,,,,,,,,,,,,,
66,PT05M05.00S,2025-01-07T00:23:01.2Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612756,17,5,2025-01-07T00:23:03Z,660000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,
67,PT04M42.00S,2025-01-07T00:23:24.7Z,1,REGULAR,2pt,Jump Shot,[],203078,88.35413929040736,77.20588235294117,1610612756,17,7,2025-01-07T00:23:33Z,670000,False,136.0,57.0,1,right,B. Beal 14' Jump Shot (2 PTS) (K. Durant 1 AST),"[203078, 201142]",1610612756.0,PHX,,,,Beal,B. Beal,,,,,Mid-Range,8-16 Right,,,,14.75,Made,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,
69,PT04M21.00S,2025-01-07T00:23:45.3Z,1,REGULAR,2pt,Jump Shot,[],202331,11.087385019710908,77.69607843137254,1610612755,19,7,2025-01-07T00:23:50Z,690000,False,-138.0,52.0,1,left,P. George 14' turnaround fadeaway Jump Shot (2 PTS),[202331],1610612755.0,PHI,turnaround fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Left,,,,14.78,Made,2.0,,,,,,,,,,,,,,
70,PT04M06.00S,2025-01-07T00:24:03.9Z,1,REGULAR,foul,personal,[],1627824,,,1610612756,19,7,2025-01-07T00:24:09Z,700000,False,,,0,,G. Yabusele personal FOUL (1 PF),"[1627824, 203994]",1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202058.0,,,1.0,0.0,Nurkić,203994.0
72,PT04M06.00S,2025-01-07T00:24:11.9Z,1,REGULAR,substitution,out,[],1630178,,,1610612756,19,7,2025-01-07T00:24:23Z,720000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M06.00S,2025-01-07T00:24:11.9Z,1,REGULAR,substitution,out,[],1628997,,,1610612756,19,7,2025-01-07T00:24:23Z,730000,False,,,0,,SUB out: C. Martin,[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M06.00S,2025-01-07T00:24:11.9Z,1,REGULAR,substitution,out,[],1626145,,,1610612756,19,7,2025-01-07T00:24:23Z,740000,False,,,0,,SUB out: T. Jones,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M06.00S,2025-01-07T00:24:11.9Z,1,REGULAR,substitution,in,[],1630288,,,1610612756,19,7,2025-01-07T00:24:23Z,750000,False,,,0,,SUB in: J. Dowtin Jr.,[1630288],1610612755.0,PHI,,,,Dowtin Jr.,J. Dowtin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M06.00S,2025-01-07T00:24:11.9Z,1,REGULAR,substitution,in,[],202704,,,1610612756,19,7,2025-01-07T00:24:23Z,760000,False,,,0,,SUB in: R. Jackson,[202704],1610612755.0,PHI,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M06.00S,2025-01-07T00:24:11.9Z,1,REGULAR,substitution,in,[],1628960,,,1610612756,19,7,2025-01-07T00:24:23Z,770000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
