actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M26.00S,2025-02-05T00:12:40.5Z,1,REGULAR,2pt,Jump Shot,[],203954,6.783837056504599,69.11764705882352,1610612755,2,2,2025-02-05T00:12:44Z,160000,False,-96.0,11.0,1,left,J. Embiid 9' turnaround fadeaway Jump Shot (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,9.63,Made,2.0,,,,,,T. Maxey,1630178.0,1.0,,,,,,,,,
19,PT10M04.00S,2025-02-05T00:13:03.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,86.02168199737189,50.98039215686274,1610612742,2,4,2025-02-05T00:13:38Z,180000,False,5.0,79.0,1,right,K. Irving 7' driving floating Jump Shot (2 PTS),[202681],1610612742.0,DAL,driving floating,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,7.91,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M42.00S,2025-02-05T00:13:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642348,6.783837056504599,51.225490196078425,1610612755,2,4,2025-02-05T00:13:29Z,190000,False,-6.0,11.0,1,left,MISS J. Edwards driving reverse Layup,[1642348],1610612755.0,PHI,driving reverse,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,,
21,PT09M40.00S,2025-02-05T00:13:26.9Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612742,2,4,2025-02-05T00:13:29Z,200000,False,,,0,,K. Edwards REBOUND (Off:0 Def:1),[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,Restricted Area,0-8 Center,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT09M34.00S,2025-02-05T00:13:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203957,88.78120893561103,55.392156862745104,1610612742,2,6,2025-02-05T00:14:08Z,210000,False,27.0,53.0,1,right,D. Exum driving floating Jump Shot (4 PTS),[203957],1610612742.0,DAL,driving floating,,,Exum,D. Exum,,,,,In The Paint (Non-RA),0-8 Center,5.95,Made,4.0,,,,,,,,,,,,,,,,,
23,PT09M19.00S,2025-02-05T00:13:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.389618922470433,51.470588235294116,1610612755,4,6,2025-02-05T00:13:52Z,220000,False,-7.0,8.0,1,left,J. Embiid driving finger roll Layup (4 PTS) (T. Maxey 2 AST),"[203954, 1630178]",1610612755.0,PHI,driving finger roll,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.06,Made,4.0,,,,,,T. Maxey,1630178.0,2.0,,,,,,,,,
25,PT08M57.00S,2025-02-05T00:14:10.2Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612742,4,6,2025-02-05T00:14:14Z,240000,False,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 1626162]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,Oubre Jr.,1626162.0,,,,,,
26,PT08M57.00S,2025-02-05T00:14:10.2Z,1,REGULAR,steal,,[],1626162,,,1610612755,4,6,2025-02-05T00:14:12Z,250000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
27,PT08M54.00S,2025-02-05T00:14:13.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,5.863994743758213,53.431372549019606,1610612755,4,6,2025-02-05T00:14:18Z,260000,False,-17.0,3.0,1,left,MISS K. Oubre Jr. running Layup - blocked,"[1626162, 1630556]",1610612755.0,PHI,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.74,Missed,,,,,,,,,,,,,Edwards,1630556.0,,,,
28,PT08M54.00S,2025-02-05T00:14:13.8Z,1,REGULAR,block,,[],1630556,,,1610612755,4,6,2025-02-05T00:14:16Z,270000,False,,,0,,K. Edwards BLOCK (1 BLK),[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT08M51.00S,2025-02-05T00:14:16.8Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,4,6,2025-02-05T00:14:16Z,280000,False,,,0,,K. Irving REBOUND (Off:1 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,,,
30,PT08M44.00S,2025-02-05T00:14:23.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203957,89.83245729303549,55.392156862745104,1610612742,4,6,2025-02-05T00:14:28Z,290000,False,27.0,43.0,1,right,MISS D. Exum driving floating Shot,[203957],1610612742.0,DAL,driving floating,,,Exum,D. Exum,,,,,In The Paint (Non-RA),0-8 Center,5.09,Missed,,,,,,,,,,,,,,,,,,
31,PT08M42.00S,2025-02-05T00:14:25.2Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,4,6,2025-02-05T00:14:28Z,300000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:2),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,
32,PT08M38.00S,2025-02-05T00:14:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627824,7.703679369250986,55.14705882352941,1610612755,6,6,2025-02-05T00:15:47Z,310000,False,-26.0,20.0,1,left,G. Yabusele driving floating bank Jump Shot (2 PTS) (J. Edwards 1 AST),"[1627824, 1642348]",1610612755.0,PHI,driving floating bank,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,3.25,Made,2.0,,,,,,J. Edwards,1642348.0,1.0,,,,,,,,,
34,PT08M38.00S,2025-02-05T00:14:37.2Z,1,REGULAR,foul,personal,['1freethrow'],203957,,,1610612755,6,6,2025-02-05T00:14:49Z,330000,False,,,0,,D. Exum shooting personal FOUL (1 PF) (Yabusele 1 FT),"[203957, 1627824]",1610612742.0,DAL,shooting,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,,,,,,,,202007.0,,,,,,,,,1.0,0.0,Yabusele,1627824.0
36,PT08M38.00S,2025-02-05T00:15:00.5Z,1,REGULAR,freethrow,1 of 1,[],1627824,,,1610612755,7,6,2025-02-05T00:15:00Z,350000,False,,,0,,G. Yabusele Free Throw 1 of 1 (3 PTS),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
37,PT08M27.00S,2025-02-05T00:15:18.3Z,1,REGULAR,foul,personal,['2freethrow'],1642348,,,1610612742,7,6,2025-02-05T00:15:24Z,360000,False,,,0,,J. Edwards shooting personal FOUL (1 PF) (Exum 2 FT),"[1642348, 203957]",1610612755.0,PHI,shooting,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,202007.0,,,,,,,,,1.0,0.0,Exum,203957.0
39,PT08M27.00S,2025-02-05T00:15:41.2Z,1,REGULAR,freethrow,1 of 2,[],203957,,,1610612742,7,7,2025-02-05T00:15:41Z,380000,False,,,0,,D. Exum Free Throw 1 of 2 (5 PTS),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
40,PT08M27.00S,2025-02-05T00:16:02.5Z,1,REGULAR,freethrow,2 of 2,[],203957,,,1610612742,7,8,2025-02-05T00:16:02Z,390000,False,,,0,,D. Exum Free Throw 2 of 2 (6 PTS),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
41,PT08M18.00S,2025-02-05T00:16:14.8Z,1,REGULAR,2pt,Jump Shot,[],203954,21.107095926412615,51.71568627450981,1610612755,9,8,2025-02-05T00:16:18Z,400000,False,-9.0,146.0,1,left,J. Embiid 14' pullup Jump Shot (6 PTS) (T. Maxey 3 AST),"[203954, 1630178]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,14.62,Made,6.0,,,,,,T. Maxey,1630178.0,3.0,,,,,,,,,
43,PT08M18.00S,2025-02-05T00:16:17.7Z,1,REGULAR,foul,personal,['1freethrow'],1629655,,,1610612755,9,8,2025-02-05T00:16:26Z,420000,False,,,0,,D. Gafford shooting personal FOUL (1 PF) (Embiid 1 FT),"[1629655, 203954]",1610612742.0,DAL,shooting,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Center,,,,,,,,2005.0,,,,,,,,,1.0,0.0,Embiid,203954.0
45,PT08M18.00S,2025-02-05T00:16:46.4Z,1,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,10,8,2025-02-05T00:16:46Z,440000,False,,,0,,J. Embiid Free Throw 1 of 1 (7 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
46,PT08M05.00S,2025-02-05T00:17:01.2Z,1,REGULAR,3pt,Jump Shot,[],202691,71.43561103810775,83.08823529411765,1610612742,10,8,2025-02-05T00:17:05Z,450000,False,165.0,216.0,1,right,MISS K. Thompson 27' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,27.21,Missed,,,,,,,,,,,,,,,,,,
47,PT08M03.00S,2025-02-05T00:17:03.2Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,10,8,2025-02-05T00:17:05Z,460000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:3),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,,46.0,3.0,3.0,0.0,,,,,,,,,,,,,
48,PT07M50.00S,2025-02-05T00:17:16.2Z,1,REGULAR,3pt,Jump Shot,[],1642348,32.802233902759525,53.67647058823529,1610612755,10,8,2025-02-05T00:17:19Z,470000,False,-18.0,256.0,1,left,MISS J. Edwards 25' 3PT,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Center,25.65,Missed,,,,,,,,,,,,,,,,,,
49,PT07M48.00S,2025-02-05T00:17:18.2Z,1,REGULAR,rebound,defensive,[],203957,,,1610612742,10,8,2025-02-05T00:17:19Z,480000,False,,,0,,D. Exum REBOUND (Off:0 Def:1),[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,Above the Break 3,24+ Center,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,
50,PT07M43.00S,2025-02-05T00:17:30.9Z,1,REGULAR,turnover,offensive goaltending,[],1629655,,,1610612742,10,8,2025-02-05T00:17:36Z,490000,False,,,0,,D. Gafford offensive goaltending TURNOVER (1 TO),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,202007.0,,,,1.0,,,,,,,,
51,PT07M32.00S,2025-02-05T00:17:48.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630178,6.258212877792378,55.392156862745104,1610612755,12,8,2025-02-05T00:17:51Z,500000,False,-27.0,6.0,1,left,T. Maxey driving floating bank Jump Shot (2 PTS) (K. Oubre Jr. 1 AST),"[1630178, 1626162]",1610612755.0,PHI,driving floating bank,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.77,Made,2.0,,,,,,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,
53,PT07M17.00S,2025-02-05T00:18:06.7Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612742,12,8,2025-02-05T00:18:16Z,520000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Irving 2 FT),"[1626162, 202681]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,2005.0,,,,,,,,,1.0,0.0,Irving,202681.0
55,PT07M17.00S,2025-02-05T00:18:33.6Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612742,12,8,2025-02-05T00:18:33Z,540000,False,,,0,,MISS K. Irving Free Throw 1 of 2,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT07M17.00S,2025-02-05T00:18:33.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,12,8,2025-02-05T00:18:33Z,550000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,
57,PT07M17.00S,2025-02-05T00:18:36.1Z,1,REGULAR,substitution,out,[],203957,,,1610612742,12,8,2025-02-05T00:18:43Z,560000,False,,,0,,SUB out: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M17.00S,2025-02-05T00:18:36.1Z,1,REGULAR,substitution,in,[],203915,,,1610612742,12,8,2025-02-05T00:18:43Z,570000,False,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M17.00S,2025-02-05T00:19:02.4Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612742,12,9,2025-02-05T00:19:02Z,580000,False,,,0,,K. Irving Free Throw 2 of 2 (3 PTS),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
60,PT06M57.00S,2025-02-05T00:19:24.0Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,12,9,2025-02-05T00:19:34Z,590000,False,,,0,,J. Embiid bad pass out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,bad pass,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,,,,,,,,2005.0,,,,1.0,,,,,,,,
61,PT06M57.00S,2025-02-05T00:19:41.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,12,9,2025-02-05T00:19:41Z,600000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M57.00S,2025-02-05T00:21:39.4Z,1,REGULAR,substitution,out,[],202691,,,1610612742,12,9,2025-02-05T00:22:06Z,610000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M57.00S,2025-02-05T00:21:39.4Z,1,REGULAR,substitution,in,[],1631108,,,1610612742,12,9,2025-02-05T00:22:06Z,620000,False,,,0,,SUB in: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M44.00S,2025-02-05T00:22:33.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630556,87.59855453350855,94.6078431372549,1610612742,12,9,2025-02-05T00:22:38Z,630000,False,223.0,64.0,1,right,MISS K. Edwards 3PT,[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,Right Corner 3,24+ Right,23.2,Missed,,,,,,,,,,,,,,,,,,
65,PT06M44.00S,2025-02-05T00:22:35.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,9,2025-02-05T00:22:35Z,640000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Right Corner 3,24+ Right,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,
66,PT06M44.00S,2025-02-05T00:22:37.3Z,1,REGULAR,foul,personal,[],1630556,,,1610612755,12,9,2025-02-05T00:22:43Z,650000,False,,,0,,K. Edwards personal FOUL (1 PF),"[1630556, 203954]",1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Embiid,203954.0
68,PT06M33.00S,2025-02-05T00:23:00.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,7.178055190538765,51.71568627450981,1610612755,14,9,2025-02-05T00:23:05Z,670000,False,-9.0,15.0,1,left,K. Oubre Jr. reverse Layup (2 PTS) (J. Embiid 1 AST),"[1626162, 203954]",1610612755.0,PHI,reverse,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.73,Made,2.0,,,,,,J. Embiid,203954.0,1.0,,,,,,,,,
70,PT06M17.00S,2025-02-05T00:23:20.7Z,1,REGULAR,foul,offensive,[],202681,,,1610612742,14,9,2025-02-05T00:23:54Z,690000,False,,,0,,K. Irving offensive FOUL (1 PF),"[202681, 1627824]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Yabusele,1627824.0
72,PT06M17.00S,2025-02-05T00:23:20.7Z,1,REGULAR,turnover,offensive foul,[],202681,,,1610612742,14,9,2025-02-05T00:23:20Z,710000,False,,,0,,K. Irving offensive foul TURNOVER (1 TO),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,,,,1.0,,,,,,,,
73,PT06M17.00S,2025-02-05T00:23:35.8Z,1,REGULAR,substitution,out,[],1630556,,,1610612755,14,9,2025-02-05T00:23:38Z,720000,False,,,0,,SUB out: K. Edwards,[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M17.00S,2025-02-05T00:23:35.8Z,1,REGULAR,substitution,in,[],1630230,,,1610612755,14,9,2025-02-05T00:23:38Z,730000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M05.00S,2025-02-05T00:23:51.5Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,14,9,2025-02-05T00:23:55Z,740000,False,,,0,,J. Embiid lost ball TURNOVER (2 TO),"[203954, 1631108]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,2.0,Christie,1631108.0,,,,,,
76,PT06M05.00S,2025-02-05T00:23:51.5Z,1,REGULAR,steal,,[],1631108,,,1610612742,14,9,2025-02-05T00:23:53Z,750000,False,,,0,,M. Christie STEAL (1 STL),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
77,PT06M01.00S,2025-02-05T00:23:57.7Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612742,14,9,2025-02-05T00:24:07Z,760000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Christie 2 FT),"[1630178, 1631108]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Christie,1631108.0
79,PT06M01.00S,2025-02-05T00:24:20.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631108,,,1610612742,14,9,2025-02-05T00:24:20Z,780000,False,,,0,,MISS M. Christie Free Throw 1 of 2,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
80,PT06M01.00S,2025-02-05T00:24:20.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,14,9,2025-02-05T00:24:20Z,790000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,
81,PT06M01.00S,2025-02-05T00:24:35.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631108,,,1610612742,14,10,2025-02-05T00:24:35Z,800000,False,,,0,,M. Christie Free Throw 2 of 2 (1 PTS),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
82,PT05M43.00S,2025-02-05T00:24:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,4.681340341655716,46.81372549019608,1610612755,16,10,2025-02-05T00:24:59Z,810000,False,16.0,-8.0,1,left,K. Oubre Jr. driving reverse Layup (4 PTS) (J. Embiid 2 AST),"[1626162, 203954]",1610612755.0,PHI,driving reverse,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.8,Made,4.0,,,,,,J. Embiid,203954.0,2.0,,,,,,,,,
84,PT05M36.00S,2025-02-05T00:25:02.8Z,1,REGULAR,2pt,Jump Shot,[],202681,76.42904073587385,55.392156862745104,1610612742,16,12,2025-02-05T00:25:07Z,830000,False,27.0,169.0,1,right,K. Irving 17' pullup Jump Shot (5 PTS),[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Center,17.12,Made,5.0,,,,,,,,,,,,,,,,,
85,PT05M15.00S,2025-02-05T00:25:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,7.178055190538765,53.431372549019606,1610612755,16,12,2025-02-05T00:25:27Z,840000,False,-17.0,15.0,1,left,MISS K. Oubre Jr. Layup - blocked,"[1626162, 1629655]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.28,Missed,,,,,,,,,,,,,Gafford,1629655.0,,,,
86,PT05M15.00S,2025-02-05T00:25:23.6Z,1,REGULAR,block,,[],1629655,,,1610612755,16,12,2025-02-05T00:25:26Z,850000,False,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
87,PT05M12.00S,2025-02-05T00:25:26.6Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612755,16,12,2025-02-05T00:25:27Z,860000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,85.0,1.0,0.0,1.0,,,,,,,,,,,,,
