actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M55.00S,2022-11-19T23:12:37.1Z,1,REGULAR,block,,[],203991,,,1610612761,2,0,2022-11-19T23:12:40Z,190000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M52.00S,2022-11-19T23:12:40.1Z,1,REGULAR,rebound,offensive,[],1627823,,,1610612761,2,0,2022-11-19T23:12:41Z,200000,False,,,0,,J. Hernangomez REBOUND (Off:1 Def:0),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Restricted Area,0-8 Center,,,18.0,,,1.0,0.0,1.0,,,,,,,,,,,,
21,PT10M51.00S,2022-11-19T23:12:41.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627823,8.623521681997373,43.38235294117647,1610612761,2,2,2022-11-19T23:12:46Z,210000,False,33.0,29.0,1,left,J. Hernangomez floating Jump Shot (2 PTS),[1627823],1610612761.0,TOR,floating,,,Hernangomez,J. Hernangomez,,,,,Restricted Area,0-8 Center,4.37,Made,,,,,,,2.0,,,,,,,,,,,
22,PT10M38.00S,2022-11-19T23:12:55.4Z,1,REGULAR,turnover,bad pass,[],1628381,,,1610612737,2,2,2022-11-19T23:22:16Z,220000,False,,,0,,J. Collins bad pass TURNOVER (1 TO),"[1628381, 201152]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1.0,Young,201152.0,,,,,
23,PT10M38.00S,2022-11-19T23:12:55.4Z,1,REGULAR,steal,,[],201152,,,1610612761,2,2,2022-11-19T23:12:57Z,230000,False,,,0,,T. Young STEAL (1 STL),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
24,PT10M34.00S,2022-11-19T23:12:58.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627823,5.601182654402102,50.0,1610612761,2,4,2022-11-19T23:15:56Z,240000,False,0.0,0.0,1,left,J. Hernangomez running DUNK (4 PTS) (T. Young 1 AST),"[1627823, 201152]",1610612761.0,TOR,running,,,Hernangomez,J. Hernangomez,,,,,Restricted Area,0-8 Center,0.02,Made,,,,,,,4.0,T. Young,201152.0,1.0,,,,,,,,
26,PT10M17.00S,2022-11-19T23:13:15.8Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,4,2022-11-19T23:13:20Z,260000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1627823]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Hernangomez,1627823.0,,,,,
27,PT10M17.00S,2022-11-19T23:13:15.8Z,1,REGULAR,steal,,[],1627823,,,1610612761,2,4,2022-11-19T23:13:17Z,270000,False,,,0,,J. Hernangomez STEAL (1 STL),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M55.00S,2022-11-19T23:13:38.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628384,24.78646517739816,51.71568627450981,1610612761,2,4,2022-11-19T23:13:43Z,280000,False,-9.0,180.0,1,left,MISS O. Anunoby 18' pullup Shot,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Center,18.07,Missed,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2022-11-19T23:13:42.1Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,2,4,2022-11-19T23:13:43Z,290000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,,,28.0,,,1.0,1.0,0.0,,,,,,,,,,,,
30,PT09M39.00S,2022-11-19T23:13:53.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,67.49342969776609,46.81372549019608,1610612737,5,4,2022-11-19T23:13:58Z,300000,False,-16.0,253.0,1,right,D. Murray 25' 3PT  (3 PTS) (J. Collins 2 AST),"[1627749, 1628381]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.36,Made,,,,,,,3.0,J. Collins,1628381.0,2.0,,,,,,,,
32,PT09M24.00S,2022-11-19T23:14:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627823,6.783837056504599,52.94117647058824,1610612761,5,6,2022-11-19T23:14:13Z,320000,False,-15.0,11.0,1,left,J. Hernangomez Layup (6 PTS),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Restricted Area,0-8 Center,1.85,Made,,,,,,,6.0,,,,,,,,,,,
33,PT09M15.00S,2022-11-19T23:14:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,92.9862023653088,48.03921568627451,1610612737,7,6,2022-11-19T23:14:25Z,330000,False,-10.0,13.0,1,right,T. Young driving reverse Layup (4 PTS),[1629027],1610612737.0,ATL,driving reverse,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,,,4.0,,,,,,,,,,,
34,PT09M07.00S,2022-11-19T23:14:25.9Z,1,REGULAR,2pt,Jump Shot,[],1630567,23.603810775295663,65.19607843137256,1610612761,7,6,2022-11-19T23:14:31Z,340000,False,-76.0,169.0,1,left,MISS S. Barnes 18' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,18.57,Missed,,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2022-11-19T23:14:28.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,7,6,2022-11-19T23:14:31Z,350000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,,,34.0,,,1.0,1.0,0.0,,,,,,,,,,,,
36,PT08M59.00S,2022-11-19T23:14:33.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629631,95.22010512483574,3.9215686274509802,1610612737,7,6,2022-11-19T23:17:36Z,360000,False,-230.0,-8.0,1,right,MISS D. Hunter running 3PT,[1629631],1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
37,PT08M54.00S,2022-11-19T23:14:38.8Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,7,6,2022-11-19T23:14:42Z,370000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Left Corner 3,24+ Left,,,36.0,,,1.0,0.0,1.0,,,,,,,,,,,,
38,PT08M54.00S,2022-11-19T23:14:38.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,7,6,2022-11-19T23:14:38Z,380000,False,0.0,0.0,1,right,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
39,PT08M53.00S,2022-11-19T23:14:39.6Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,7,6,2022-11-19T23:14:39Z,390000,False,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,,,38.0,,,2.0,0.0,2.0,,,,,,,,,,,,
40,PT08M53.00S,2022-11-19T23:14:39.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,7,6,2022-11-19T23:14:39Z,400000,False,0.0,0.0,1,right,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
41,PT08M52.00S,2022-11-19T23:14:40.9Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,7,6,2022-11-19T23:14:40Z,410000,False,,,0,,C. Capela REBOUND (Off:3 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,,,40.0,,,3.0,0.0,3.0,,,,,,,,,,,,
42,PT08M52.00S,2022-11-19T23:14:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,9,6,2022-11-19T23:14:40Z,420000,False,0.0,0.0,1,right,C. Capela tip Layup (2 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,2.0,,,,,,,,,,,
43,PT08M36.00S,2022-11-19T23:14:56.0Z,1,REGULAR,3pt,Jump Shot,[],1628384,22.026938239159,88.48039215686273,1610612761,9,6,2022-11-19T23:15:02Z,430000,False,-192.0,155.0,1,left,MISS O. Anunoby 24' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,24.68,Missed,,,,,,,,,,,,,,,,,,
44,PT08M33.00S,2022-11-19T23:14:59.0Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,9,6,2022-11-19T23:15:02Z,440000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,43.0,,,2.0,2.0,0.0,,,,,,,,,,,,
45,PT08M28.00S,2022-11-19T23:15:05.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,92.9862023653088,49.50980392156863,1610612737,11,6,2022-11-19T23:15:15Z,450000,False,-2.0,13.0,1,right,C. Capela alley-oop DUNK (4 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.36,Made,,,,,,,4.0,T. Young,1629027.0,1.0,,,,,,,,
48,PT08M03.00S,2022-11-19T23:15:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,7.178055190538765,48.03921568627451,1610612761,11,6,2022-11-19T23:15:42Z,480000,False,10.0,15.0,1,left,MISS O. Anunoby driving Layup,[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.79,Missed,,,,,,,,,,,,,,,,,,
49,PT08M01.00S,2022-11-19T23:15:39.3Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,11,6,2022-11-19T23:15:42Z,490000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,48.0,,,2.0,2.0,0.0,,,,,,,,,,,,
50,PT07M54.00S,2022-11-19T23:15:46.2Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,11,6,2022-11-19T23:15:50Z,500000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1627823]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1.0,Hernangomez,1627823.0,,,,,
51,PT07M54.00S,2022-11-19T23:15:46.2Z,1,REGULAR,steal,,[],1627823,,,1610612761,11,6,2022-11-19T23:15:48Z,510000,False,,,0,,J. Hernangomez STEAL (2 STL),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
52,PT07M47.00S,2022-11-19T23:15:52.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628384,5.863994743758213,51.225490196078425,1610612761,11,8,2022-11-19T23:21:34Z,520000,False,-6.0,3.0,1,left,O. Anunoby running DUNK (2 PTS) (F. VanVleet 1 AST),"[1628384, 1627832]",1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.66,Made,,,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,
54,PT07M34.00S,2022-11-19T23:16:06.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,91.01511169513797,42.40196078431372,1610612737,11,8,2022-11-19T23:16:12Z,540000,False,-38.0,32.0,1,right,MISS T. Young driving floating bank Shot,[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,4.97,Missed,,,,,,,,,,,,,,,,,,
55,PT07M34.00S,2022-11-19T23:16:06.3Z,1,REGULAR,rebound,defensive,[],201152,,,1610612761,11,8,2022-11-19T23:16:12Z,550000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,54.0,,,1.0,1.0,0.0,,,,,,,,,,,,
56,PT07M24.00S,2022-11-19T23:16:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,6.915243101182654,52.69607843137255,1610612761,11,10,2022-11-19T23:16:21Z,560000,False,-13.0,13.0,1,left,F. VanVleet driving Layup (2 PTS),[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,2.0,,,,,,,,,,,
58,PT07M06.00S,2022-11-19T23:16:36.6Z,1,REGULAR,foul,personal,['2freethrow'],1627823,,,1610612737,11,10,2022-11-19T23:17:11Z,580000,False,,,0,,J. Hernangomez shooting personal FOUL (1 PF) (Hunter 2 FT),"[1627823, 1629631]",1610612761.0,TOR,shooting,,,Hernangomez,J. Hernangomez,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Hunter,1629631.0
60,PT07M06.00S,2022-11-19T23:17:14.1Z,1,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,12,10,2022-11-19T23:17:14Z,600000,False,,,0,,D. Hunter Free Throw 1 of 2 (1 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
61,PT07M06.00S,2022-11-19T23:17:15.7Z,1,REGULAR,substitution,out,[],203991,,,1610612737,12,10,2022-11-19T23:17:19Z,610000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M06.00S,2022-11-19T23:17:15.7Z,1,REGULAR,substitution,in,[],1630168,,,1610612737,12,10,2022-11-19T23:17:19Z,620000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M06.00S,2022-11-19T23:17:30.6Z,1,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,13,10,2022-11-19T23:17:30Z,630000,False,,,0,,D. Hunter Free Throw 2 of 2 (2 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
64,PT06M43.00S,2022-11-19T23:17:55.8Z,1,REGULAR,3pt,Jump Shot,[],1630567,32.802233902759525,47.30392156862745,1610612761,13,10,2022-11-19T23:18:01Z,640000,False,13.0,256.0,1,left,MISS S. Barnes 25' step back 3PT,[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,25.62,Missed,,,,,,,,,,,,,,,,,,
65,PT06M38.00S,2022-11-19T23:18:00.8Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,13,10,2022-11-19T23:18:01Z,650000,False,,,0,,D. Murray REBOUND (Off:0 Def:3),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,64.0,,,3.0,3.0,0.0,,,,,,,,,,,,
66,PT06M32.00S,2022-11-19T23:18:06.1Z,1,REGULAR,3pt,Jump Shot,[],1628381,75.64060446780552,14.215686274509803,1610612737,13,10,2022-11-19T23:18:11Z,660000,False,-179.0,176.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,25.13,Missed,,,,,,,,,,,,,,,,,,
67,PT06M29.00S,2022-11-19T23:18:09.1Z,1,REGULAR,rebound,defensive,[],1627823,,,1610612761,13,10,2022-11-19T23:18:11Z,670000,False,,,0,,J. Hernangomez REBOUND (Off:1 Def:1),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Above the Break 3,24+ Left Center,,,66.0,,,2.0,1.0,1.0,,,,,,,,,,,,
69,PT06M24.00S,2022-11-19T23:18:23.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,13,10,2022-11-19T23:19:30Z,690000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M24.00S,2022-11-19T23:20:39.6Z,1,REGULAR,substitution,out,[],1629027,,,1610612761,13,10,2022-11-19T23:20:56Z,700000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M24.00S,2022-11-19T23:20:39.6Z,1,REGULAR,substitution,in,[],1628988,,,1610612761,13,10,2022-11-19T23:20:56Z,710000,False,,,0,,SUB in: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M20.00S,2022-11-19T23:21:20.6Z,1,REGULAR,turnover,bad pass,[],1628384,,,1610612761,13,10,2022-11-19T23:21:24Z,720000,False,,,0,,O. Anunoby bad pass TURNOVER (1 TO),"[1628384, 1627749]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,Murray,1627749.0,,,,,
76,PT06M20.00S,2022-11-19T23:21:20.6Z,1,REGULAR,steal,,[],1627749,,,1610612737,13,10,2022-11-19T23:21:22Z,730000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
77,PT06M18.00S,2022-11-19T23:21:26.1Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612737,13,10,2022-11-19T23:21:40Z,740000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Hunter 2 FT),"[1628384, 1629631]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Hunter,1629631.0
79,PT06M18.00S,2022-11-19T23:21:47.0Z,1,REGULAR,foul,technical,['1freethrow'],1627832,,,1610612737,13,10,2022-11-19T23:21:59Z,760000,False,,,0,,F. VanVleet technical FOUL (1 Tech),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,202049.0,0.0,1.0,,
80,PT06M18.00S,2022-11-19T23:22:00.0Z,1,REGULAR,freethrow,1 of 1,[],1628381,,,1610612737,14,10,2022-11-19T23:22:00Z,770000,False,,,0,,J. Collins technical Free Throw 1 of 1 (1 PTS),[1628381],1610612737.0,ATL,technical,,,Collins,J. Collins,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
81,PT06M18.00S,2022-11-19T23:22:26.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629631,,,1610612737,15,10,2022-11-19T23:22:57Z,780000,False,,,0,,D. Hunter Free Throw 1 of 2 (3 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
82,PT06M18.00S,2022-11-19T23:22:26.4Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1629631,,,1610612737,16,10,2022-11-19T23:22:57Z,790000,False,,,0,,D. Hunter Free Throw 2 of 2 (4 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
83,PT06M01.00S,2022-11-19T23:23:03.3Z,1,REGULAR,3pt,Jump Shot,[],1630567,8.623521681997373,4.411764705882353,1610612761,16,13,2022-11-19T23:23:07Z,800000,False,228.0,29.0,1,left,S. Barnes 3PT  (3 PTS) (F. VanVleet 2 AST),"[1630567, 1627832]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,22.97,Made,,,,,,,3.0,F. VanVleet,1627832.0,2.0,,,,,,,,
85,PT05M42.00S,2022-11-19T23:23:21.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,72.22404730617609,20.34313725490196,1610612737,16,13,2022-11-19T23:23:26Z,820000,False,-148.0,209.0,1,right,MISS D. Murray 25' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,
86,PT05M39.00S,2022-11-19T23:23:24.8Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,16,13,2022-11-19T23:23:26Z,830000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,85.0,,,1.0,1.0,0.0,,,,,,,,,,,,
87,PT05M30.00S,2022-11-19T23:23:33.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,24.655059132720105,15.931372549019606,1610612761,16,13,2022-11-19T23:23:37Z,840000,False,170.0,179.0,1,left,MISS F. VanVleet 24' step back 3PT,[1627832],1610612761.0,TOR,step back,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,24.73,Missed,,,,,,,,,,,,,,,,,,
88,PT05M28.00S,2022-11-19T23:23:35.7Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,16,13,2022-11-19T23:23:37Z,850000,False,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,87.0,,,2.0,2.0,0.0,,,,,,,,,,,,
