actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
28,PT09M48.00S,2023-01-29T00:43:35.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,4,2,2023-01-29T00:43:37Z,280000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M44.00S,2023-01-29T00:43:39.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,30.436925098554536,35.78431372549019,1610612737,4,2,2023-01-29T00:43:45Z,290000,False,71.0,234.0,1,left,MISS D. Murray 24' running pullup 3PT,[1627749],1610612737.0,ATL,running pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,24.42,Missed,,,,,,,,,,,,,,,,,,
30,PT09M40.00S,2023-01-29T00:43:43.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,4,2,2023-01-29T00:43:45Z,300000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Center,,,,,,29.0,,,,,,,,,,,,,,
32,PT09M27.00S,2023-01-29T00:44:07.2Z,1,REGULAR,2pt,Jump Shot,[],202695,94.69448094612353,80.63725490196079,1610612746,4,4,2023-01-29T00:44:11Z,320000,False,153.0,-3.0,1,right,K. Leonard 15' pullup Jump Shot (4 PTS),[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,15.32,Made,4.0,,,,,,,,,,,,,,,,,
33,PT09M14.00S,2023-01-29T00:44:22.3Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,4,4,2023-01-29T00:44:28Z,330000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Mid-Range,16-24 Left,,,,,,,,,,202901.0,,,,,1.0,,,,,
34,PT08M54.00S,2023-01-29T00:44:51.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202331,68.01905387647832,69.11764705882352,1610612746,4,7,2023-01-29T00:44:56Z,340000,False,96.0,248.0,1,right,P. George 26' 3PT  (3 PTS) (K. Leonard 1 AST),"[202331, 202695]",1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.59,Made,3.0,,,,,,,,,,,,,K. Leonard,202695.0,1.0,,
36,PT08M36.00S,2023-01-29T00:45:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,9.937582128777924,45.588235294117645,1610612737,6,7,2023-01-29T00:45:13Z,360000,False,22.0,41.0,1,left,T. Young driving floating bank Jump Shot (4 PTS) (D. Murray 1 AST),"[1629027, 1627749]",1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,4.65,Made,4.0,,,,,,,,,,,,,D. Murray,1627749.0,1.0,,
38,PT08M25.00S,2023-01-29T00:45:18.6Z,1,REGULAR,2pt,Jump Shot,[],202331,75.64060446780552,55.14705882352941,1610612746,6,9,2023-01-29T00:45:22Z,380000,False,26.0,176.0,1,right,P. George 17' pullup Jump Shot (5 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Center,17.84,Made,5.0,,,,,,,,,,,,,,,,,
39,PT08M11.00S,2023-01-29T00:45:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,15.193823915900131,56.61764705882353,1610612737,6,9,2023-01-29T00:45:38Z,390000,False,-33.0,90.0,1,left,MISS T. Young 9' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,9.62,Missed,,,,,,,,,,,,,,,,,,
40,PT08M09.00S,2023-01-29T00:45:35.4Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,6,9,2023-01-29T00:45:38Z,400000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,
41,PT08M04.00S,2023-01-29T00:45:41.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628379,86.28449408672799,4.411764705882353,1610612746,6,12,2023-01-29T00:49:08Z,410000,False,-228.0,76.0,1,right,L. Kennard 24' 3PT running (3 PTS) (T. Mann 1 AST),"[1628379, 1629611]",1610612746.0,LAC,running,,,Kennard,L. Kennard,,,,,Left Corner 3,24+ Left,24.04,Made,3.0,,,,,,,,,,,,,T. Mann,1629611.0,1.0,,
43,PT07M43.00S,2023-01-29T00:46:00.6Z,1,REGULAR,2pt,Jump Shot,[],1628381,5.601182654402102,31.61764705882353,1610612737,8,12,2023-01-29T00:46:19Z,430000,False,92.0,0.0,1,left,J. Collins 9' pullup Jump Shot (2 PTS) (C. Capela 1 AST),"[1628381, 203991]",1610612737.0,ATL,pullup,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,9.19,Made,2.0,,,,,,,,,,,,,C. Capela,203991.0,1.0,,
45,PT07M33.00S,2023-01-29T00:46:11.0Z,1,REGULAR,2pt,Jump Shot,[],1628379,79.45137976346912,67.64705882352942,1610612746,8,12,2023-01-29T00:50:09Z,450000,False,88.0,141.0,1,right,MISS L. Kennard 16' step back Shot,[1628379],1610612746.0,LAC,step back,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Right Center,16.61,Missed,,,,,,,,,,,,,,,,,,
46,PT07M30.00S,2023-01-29T00:46:14.0Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,8,12,2023-01-29T00:46:15Z,460000,False,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right Center,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,
47,PT07M20.00S,2023-01-29T00:46:24.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,8.360709592641262,47.549019607843135,1610612737,8,12,2023-01-29T00:46:33Z,470000,False,12.0,26.0,1,left,MISS C. Capela driving Hook,[203991],1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.89,Missed,,,,,,,,,,,,,,,,,,
48,PT07M15.00S,2023-01-29T00:46:29.3Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,8,12,2023-01-29T00:58:28Z,480000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,
49,PT06M55.00S,2023-01-29T00:46:48.5Z,1,REGULAR,turnover,bad pass,[],1628379,,,1610612746,8,12,2023-01-29T00:46:52Z,490000,False,,,0,,L. Kennard bad pass TURNOVER (1 TO),"[1628379, 1629631]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,1.0,,,,Hunter,1629631.0
50,PT06M55.00S,2023-01-29T00:46:48.5Z,1,REGULAR,steal,,[],1629631,,,1610612737,8,12,2023-01-29T00:46:50Z,500000,False,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
51,PT06M47.00S,2023-01-29T00:46:57.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628381,30.042706964520367,68.62745098039215,1610612737,11,12,2023-01-29T00:47:03Z,510000,False,-93.0,230.0,1,left,J. Collins 24' 3PT  (5 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,24.8,Made,5.0,,,,,,,,,,,,,T. Young,1629027.0,1.0,,
53,PT06M31.00S,2023-01-29T00:47:12.8Z,1,REGULAR,3pt,Jump Shot,[],202331,68.67608409986859,68.38235294117648,1610612746,11,15,2023-01-29T00:47:17Z,530000,False,92.0,242.0,1,right,P. George 25' 3PT pullup (8 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,25.88,Made,8.0,,,,,,,,,,,,,,,,,
54,PT06M09.00S,2023-01-29T00:47:34.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,9.674770039421814,45.34313725490196,1610612737,11,15,2023-01-29T00:47:39Z,540000,False,23.0,38.0,1,left,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,4.49,Missed,,,,,,,,,,,,,,,,,,
55,PT06M06.00S,2023-01-29T00:47:37.6Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,11,15,2023-01-29T00:47:39Z,550000,False,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,54.0,3.0,3.0,0.0,,,,,,,,,,,
56,PT06M02.00S,2023-01-29T00:47:42.4Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,11,15,2023-01-29T00:47:47Z,560000,False,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1627749]",1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,1.0,,,,Murray,1627749.0
57,PT06M02.00S,2023-01-29T00:47:42.4Z,1,REGULAR,steal,,[],1627749,,,1610612737,11,15,2023-01-29T00:47:44Z,570000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
58,PT05M57.00S,2023-01-29T00:47:48.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203991,5.863994743758213,50.98039215686274,1610612737,13,15,2023-01-29T00:47:54Z,580000,False,-5.0,3.0,1,left,C. Capela running DUNK (2 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,running,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.55,Made,2.0,,,,,,,,,,,,,T. Young,1629027.0,2.0,,
60,PT05M57.00S,2023-01-29T00:47:52.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,13,15,2023-01-29T00:47:52Z,600000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M57.00S,2023-01-29T00:50:15.0Z,1,REGULAR,substitution,out,[],1629027,,,1610612746,13,15,2023-01-29T00:50:41Z,610000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M57.00S,2023-01-29T00:50:15.0Z,1,REGULAR,substitution,in,[],203992,,,1610612746,13,15,2023-01-29T00:50:41Z,620000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M42.00S,2023-01-29T00:51:03.5Z,1,REGULAR,2pt,Jump Shot,[],202695,92.32917214191852,17.647058823529413,1610612746,13,15,2023-01-29T00:51:08Z,630000,False,-162.0,20.0,1,right,MISS K. Leonard 16' step back Shot,[202695],1610612746.0,LAC,step back,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Left,16.3,Missed,,,,,,,,,,,,,,,,,,
64,PT05M38.00S,2023-01-29T00:51:07.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,13,15,2023-01-29T00:51:08Z,640000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Left,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,
65,PT05M29.00S,2023-01-29T00:51:16.2Z,1,REGULAR,2pt,Jump Shot,[],1628381,9.411957950065702,71.07843137254902,1610612737,15,15,2023-01-29T00:51:22Z,650000,False,-105.0,36.0,1,left,J. Collins 11' turnaround Jump Shot (7 PTS) (D. Murray 2 AST),"[1628381, 1627749]",1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,Mid-Range,8-16 Left,11.14,Made,7.0,,,,,,,,,,,,,D. Murray,1627749.0,2.0,,
67,PT05M08.00S,2023-01-29T00:51:36.5Z,1,REGULAR,3pt,Jump Shot,[],202331,72.09264126149803,20.098039215686274,1610612746,15,15,2023-01-29T00:51:42Z,670000,False,-150.0,210.0,1,right,MISS P. George 25' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,25.76,Missed,,,,,,,,,,,,,,,,,,
68,PT05M05.00S,2023-01-29T00:51:39.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,15,2023-01-29T00:51:42Z,680000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,
69,PT04M47.00S,2023-01-29T00:51:57.8Z,1,REGULAR,3pt,Jump Shot,[],1629631,29.911300919842315,65.93137254901961,1610612737,15,15,2023-01-29T00:52:03Z,690000,False,-80.0,229.0,1,left,MISS D. Hunter 24' pullup 3PT,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,24.22,Missed,,,,,,,,,,,,,,,,,,
70,PT04M44.00S,2023-01-29T00:52:00.8Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,15,15,2023-01-29T00:52:03Z,700000,False,,,0,,P. George REBOUND (Off:0 Def:4),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,69.0,4.0,4.0,0.0,,,,,,,,,,,
71,PT04M40.00S,2023-01-29T00:52:05.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202695,72.09264126149803,79.90196078431373,1610612746,15,15,2023-01-29T00:52:10Z,710000,False,150.0,210.0,1,right,MISS K. Leonard 25' running pullup 3PT,[202695],1610612746.0,LAC,running pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,25.76,Missed,,,,,,,,,,,,,,,,,,
72,PT04M36.00S,2023-01-29T00:52:09.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,15,15,2023-01-29T00:52:10Z,720000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,
73,PT04M29.00S,2023-01-29T00:52:15.9Z,1,REGULAR,2pt,Jump Shot,[],203992,3.3672798948751645,26.715686274509803,1610612737,15,15,2023-01-29T00:52:20Z,730000,False,116.0,-21.0,1,left,MISS B. Bogdanovic 11' step back Shot,[203992],1610612737.0,ATL,step back,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,11.82,Missed,,,,,,,,,,,,,,,,,,
74,PT04M27.00S,2023-01-29T00:52:18.1Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,15,15,2023-01-29T00:52:18Z,740000,False,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,,,73.0,3.0,2.0,1.0,,,,,,,,,,,
75,PT04M14.00S,2023-01-29T00:52:30.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628381,20.45006570302234,70.83333333333334,1610612737,17,15,2023-01-29T00:52:35Z,750000,False,-104.0,140.0,1,left,J. Collins 17' Jump Shot (9 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Left Center,17.43,Made,9.0,,,,,,,,,,,,,,,,,
76,PT03M54.00S,2023-01-29T00:52:50.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,90.09526938239159,54.90196078431373,1610612746,17,17,2023-01-29T00:54:55Z,760000,False,25.0,41.0,1,right,T. Mann driving floating Jump Shot (2 PTS) (I. Zubac 1 AST),"[1629611, 1627826]",1610612746.0,LAC,driving floating,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,4.74,Made,2.0,,,,,,,,,,,,,I. Zubac,1627826.0,1.0,,
77,PT03M47.00S,2023-01-29T00:53:02.9Z,1,REGULAR,foul,personal,[],202331,,,1610612737,17,17,2023-01-29T00:55:45Z,770000,False,,,0,,P. George personal FOUL (1 PF),"[202331, 1629631]",1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Center,,,,,,,,,,202901.0,1.0,0.0,Hunter,1629631.0,,,,,,
79,PT03M47.00S,2023-01-29T00:53:10.1Z,1,REGULAR,substitution,out,[],1628379,,,1610612737,17,17,2023-01-29T00:53:16Z,790000,False,,,0,,SUB out: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT03M47.00S,2023-01-29T00:53:10.1Z,1,REGULAR,substitution,in,[],1626181,,,1610612737,17,17,2023-01-29T00:53:16Z,800000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT03M47.00S,2023-01-29T00:53:10.1Z,1,REGULAR,substitution,out,[],1627749,,,1610612737,17,17,2023-01-29T00:53:24Z,810000,False,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT03M47.00S,2023-01-29T00:53:10.1Z,1,REGULAR,substitution,out,[],203991,,,1610612737,17,17,2023-01-29T00:53:24Z,820000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
