actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
22,PT10M12.00S,2022-10-23T21:15:00.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203486,,,1610612766,3,3,2022-10-23T21:15:16Z,220000,,,0,,M. Plumlee Free Throw 1 of 2 (1 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
23,PT10M12.00S,2022-10-23T21:15:00.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203486,,,1610612766,3,3,2022-10-23T21:15:16Z,230000,,,0,,MISS M. Plumlee Free Throw 2 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
24,PT10M10.00S,2022-10-23T21:15:02.3Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,3,3,2022-10-23T21:15:16Z,240000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT10M03.00S,2022-10-23T21:15:21.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,31.882391590013142,40.68627450980392,1610612737,3,3,2022-10-23T21:15:28Z,250000,47.0,247.0,1,left,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Center,25.16,Missed,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2022-10-23T21:15:25.9Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,3,3,2022-10-23T21:15:28Z,260000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Center,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,
27,PT09M49.00S,2022-10-23T21:15:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,84.70762155059133,44.85294117647059,1610612766,3,3,2022-10-23T21:15:41Z,270000,-26.0,91.0,1,right,MISS K. Oubre Jr. 9' driving floating Shot,[1626162],1610612766.0,CHA,driving floating,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.48,Missed,,,,,,,,,,,,,,,,,,
28,PT09M46.00S,2022-10-23T21:15:38.9Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,3,3,2022-10-23T21:15:38Z,280000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,27.0,1.0,0.0,1.0,,,,,,,
29,PT09M46.00S,2022-10-23T21:15:39.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626162,86.41590013140605,43.872549019607845,1610612766,3,3,2022-10-23T21:15:45Z,290000,-31.0,75.0,1,right,MISS K. Oubre Jr. 8' floating Shot,[1626162],1610612766.0,CHA,floating,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,8.12,Missed,,,,,,,,,,,,,,,,,,
30,PT09M44.00S,2022-10-23T21:15:41.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,3,3,2022-10-23T21:15:45Z,300000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,
31,PT09M36.00S,2022-10-23T21:15:49.5Z,1,REGULAR,turnover,lost ball,[],203991,,,1610612737,3,3,2022-10-23T21:15:53Z,310000,,,0,,C. Capela lost ball TURNOVER (1 TO),"[203991, 1628372]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Smith Jr.,1628372.0,,,,,,,,,,,
32,PT09M36.00S,2022-10-23T21:15:49.5Z,1,REGULAR,steal,,[],1628372,,,1610612766,3,3,2022-10-23T21:15:51Z,320000,,,0,,D. Smith Jr. STEAL (1 STL),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M31.00S,2022-10-23T21:15:54.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626162,92.06636005256242,3.9215686274509802,1610612766,3,3,2022-10-23T21:16:17Z,330000,-230.0,22.0,1,right,MISS K. Oubre Jr. running 3PT,[1626162],1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,23.15,Missed,,,,,,,,,,,,,,,,,,
34,PT09M28.00S,2022-10-23T21:15:57.4Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,3,3,2022-10-23T21:15:57Z,340000,,,0,,P. Washington REBOUND (Off:1 Def:0),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,,,,,,,,,,33.0,1.0,0.0,1.0,,,,,,,
35,PT09M23.00S,2022-10-23T21:16:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203486,91.93495400788436,49.50980392156863,1610612766,3,5,2022-10-23T21:17:10Z,350000,-2.0,23.0,1,right,M. Plumlee cutting finger roll Layup (3 PTS) (D. Smith Jr. 1 AST),"[203486, 1628372]",1610612766.0,CHA,cutting finger roll,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,2.34,Made,3.0,D. Smith Jr.,1628372.0,1.0,,,,,,,,,,,,,,
37,PT09M23.00S,2022-10-23T21:16:08.7Z,1,REGULAR,foul,personal,['1freethrow'],203991,,,1610612766,3,5,2022-10-23T21:16:25Z,370000,,,0,,C. Capela shooting personal FOUL (1 PF) (Plumlee 1 FT),"[203991, 203486]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2003.0,1.0,0.0,Plumlee,203486.0,,
39,PT09M23.00S,2022-10-23T21:16:26.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",203486,,,1610612766,3,5,2022-10-23T21:16:28Z,390000,,,0,,MISS M. Plumlee Free Throw 1 of 1,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
40,PT09M20.00S,2022-10-23T21:16:29.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,3,5,2022-10-23T21:16:28Z,400000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,
41,PT09M13.00S,2022-10-23T21:16:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,14.668199737187912,48.529411764705884,1610612737,3,5,2022-10-23T21:16:39Z,410000,7.0,85.0,1,left,MISS D. Murray 8' driving floating Shot,[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,8.57,Missed,,,,,,,,,,,,,,,,,,
42,PT09M09.00S,2022-10-23T21:16:37.5Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,3,5,2022-10-23T21:16:37Z,420000,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,41.0,3.0,2.0,1.0,,,,,,,
43,PT09M07.00S,2022-10-23T21:16:39.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627749,10.463206307490145,23.03921568627451,1610612737,3,5,2022-10-23T21:16:45Z,430000,135.0,46.0,1,left,MISS D. Murray 14' Jump Shot,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Right,14.24,Missed,,,,,,,,,,,,,,,,,,
44,PT09M04.00S,2022-10-23T21:16:42.7Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,3,5,2022-10-23T21:16:45Z,440000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Right,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,
45,PT08M54.00S,2022-10-23T21:16:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,89.17542706964521,45.588235294117645,1610612766,3,5,2022-10-23T21:16:57Z,450000,-22.0,49.0,1,right,MISS P. Washington driving floating Shot,[1629023],1610612766.0,CHA,driving floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,5.4,Missed,,,,,,,,,,,,,,,,,,
46,PT08M51.00S,2022-10-23T21:16:56.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,3,5,2022-10-23T21:16:57Z,460000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,
47,PT08M48.00S,2022-10-23T21:16:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629027,8.229303547963205,45.34313725490196,1610612737,5,5,2022-10-23T21:17:05Z,470000,23.0,25.0,1,left,T. Young running Layup (2 PTS),[1629027],1610612737.0,ATL,running,,,Young,T. Young,,,,,Restricted Area,0-8 Center,3.41,Made,2.0,,,,,,,,,,,,,,,,,
48,PT08M33.00S,2022-10-23T21:17:14.2Z,1,REGULAR,2pt,Jump Shot,[],202330,75.77201051248358,63.725490196078425,1610612766,5,5,2022-10-23T21:17:19Z,480000,69.0,175.0,1,right,MISS G. Hayward 18' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Right Center,18.82,Missed,,,,,,,,,,,,,,,,,,
49,PT08M31.00S,2022-10-23T21:17:16.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,5,5,2022-10-23T21:17:19Z,490000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,
50,PT08M26.00S,2022-10-23T21:17:21.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,7.5722733245729295,49.26470588235294,1610612737,7,5,2022-10-23T21:17:31Z,500000,4.0,19.0,1,left,T. Young driving Layup (4 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.91,Made,4.0,,,,,,,,,,,,,,,,,
51,PT08M18.00S,2022-10-23T21:17:28.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,92.06636005256242,50.245098039215684,1610612766,7,5,2022-10-23T21:17:37Z,510000,1.0,22.0,1,right,MISS K. Oubre Jr. driving Layup,[1626162],1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.21,Missed,,,,,,,,,,,,,,,,,,
52,PT08M18.00S,2022-10-23T21:17:28.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,7,5,2022-10-23T21:17:37Z,520000,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,51.0,4.0,3.0,1.0,,,,,,,
53,PT08M10.00S,2022-10-23T21:17:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,5.206964520367937,51.225490196078425,1610612737,9,5,2022-10-23T21:19:46Z,530000,-6.0,-4.0,1,left,D. Murray driving Layup (2 PTS) (T. Young 1 AST),"[1627749, 1629027]",1610612737.0,ATL,driving,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,0.71,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
55,PT08M09.00S,2022-10-23T21:17:46.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,9,5,2022-10-23T21:17:46Z,550000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M09.00S,2022-10-23T21:20:01.3Z,1,REGULAR,substitution,out,[],203991,,,1610612766,9,5,2022-10-23T21:20:23Z,560000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M09.00S,2022-10-23T21:20:01.3Z,1,REGULAR,substitution,in,[],1630168,,,1610612766,9,5,2022-10-23T21:20:23Z,570000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M56.00S,2022-10-23T21:20:51.8Z,1,REGULAR,foul,personal,['2freethrow'],1629027,,,1610612766,9,5,2022-10-23T21:21:15Z,580000,,,0,,T. Young shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1629027, 203486]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627534.0,1.0,0.0,Plumlee,203486.0,,
60,PT07M56.00S,2022-10-23T21:21:16.3Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,9,5,2022-10-23T21:21:30Z,600000,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
61,PT07M56.00S,2022-10-23T21:21:16.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612766,9,5,2022-10-23T21:21:30Z,610000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,
62,PT07M56.00S,2022-10-23T21:21:16.3Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,9,5,2022-10-23T21:21:30Z,620000,,,0,,MISS M. Plumlee Free Throw 2 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
63,PT07M54.00S,2022-10-23T21:21:18.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,9,5,2022-10-23T21:21:30Z,630000,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,
64,PT07M41.00S,2022-10-23T21:21:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,17.0335085413929,43.38235294117647,1610612737,9,5,2022-10-23T21:21:47Z,640000,33.0,108.0,1,left,MISS D. Hunter 11' driving floating Shot,[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,11.26,Missed,,,,,,,,,,,,,,,,,,
65,PT07M37.00S,2022-10-23T21:21:45.8Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,9,5,2022-10-23T21:21:47Z,650000,,,0,,J. Collins REBOUND (Off:1 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,64.0,3.0,2.0,1.0,,,,,,,
66,PT07M30.00S,2022-10-23T21:21:52.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629027,19.398817345597898,46.07843137254902,1610612737,11,5,2022-10-23T21:21:58Z,660000,20.0,130.0,1,left,T. Young 13' pullup Jump Shot (6 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,13.13,Made,6.0,,,,,,,,,,,,,,,,,
68,PT07M15.00S,2022-10-23T21:22:29.3Z,1,REGULAR,2pt,Jump Shot,[],1628372,85.75886990801577,75.0,1610612766,11,5,2022-10-23T21:22:34Z,680000,125.0,81.0,1,right,MISS D. Smith Jr. 14' pullup Shot,[1628372],1610612766.0,CHA,pullup,,,Smith Jr.,D. Smith Jr.,,,,,Mid-Range,8-16 Right,14.92,Missed,,,,,,,,,,,,,,,,,,
69,PT07M11.00S,2022-10-23T21:22:33.3Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,11,5,2022-10-23T21:22:34Z,690000,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Right,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,,
70,PT07M02.00S,2022-10-23T21:22:43.8Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612737,11,5,2022-10-23T21:22:56Z,700000,,,0,,D. Murray bad pass out-of-bounds TURNOVER (1 TO),[1627749],1610612737.0,ATL,bad pass,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,,,,,,,2003.0,,,,,,
71,PT06M42.00S,2022-10-23T21:23:10.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202330,82.47371879106439,95.34313725490196,1610612766,11,5,2022-10-23T21:23:15Z,710000,227.0,112.0,1,right,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,25.29,Missed,,,,,,,,,,,,,,,,,,
72,PT06M40.00S,2022-10-23T21:23:12.3Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,11,5,2022-10-23T21:23:15Z,720000,,,0,,J. Collins REBOUND (Off:1 Def:3),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,71.0,4.0,3.0,1.0,,,,,,,
73,PT06M27.00S,2022-10-23T21:23:26.9Z,1,REGULAR,3pt,Jump Shot,[],1627749,7.440867279894875,95.83333333333334,1610612737,14,5,2022-10-23T21:24:34Z,730000,-229.0,17.0,1,left,D. Murray 3PT  (5 PTS) (T. Young 2 AST),"[1627749, 1629027]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,22.99,Made,5.0,T. Young,1629027.0,2.0,,,,,,,,,,,,,,
75,PT06M27.00S,2022-10-23T21:23:32.6Z,1,REGULAR,foul,personal,['1freethrow'],1626162,,,1610612737,14,5,2022-10-23T21:24:00Z,750000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Murray 1 FT),"[1626162, 1627749]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,202007.0,1.0,0.0,Murray,1627749.0,,
77,PT06M27.00S,2022-10-23T21:24:01.1Z,1,REGULAR,freethrow,1 of 1,[],1627749,,,1610612737,15,5,2022-10-23T21:24:01Z,770000,,,0,,D. Murray Free Throw 1 of 1 (6 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
78,PT06M10.00S,2022-10-23T21:24:19.8Z,1,REGULAR,foul,personal,[],1629027,,,1610612766,15,5,2022-10-23T21:24:25Z,780000,,,0,,T. Young personal FOUL (2 PF),"[1629027, 1629023]",1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,2003.0,2.0,0.0,Washington,1629023.0,,
80,PT05M59.00S,2022-10-23T21:24:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,86.81011826544021,50.245098039215684,1610612766,15,7,2022-10-23T21:24:56Z,800000,1.0,71.0,1,right,G. Hayward 7' driving floating Jump Shot (2 PTS),[202330],1610612766.0,CHA,driving floating,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,7.15,Made,2.0,,,,,,,,,,,,,,,,,
81,PT05M45.00S,2022-10-23T21:25:03.9Z,1,REGULAR,3pt,Jump Shot,[],1628381,27.677398160315374,18.627450980392158,1610612737,15,7,2022-10-23T21:25:08Z,810000,157.0,208.0,1,left,MISS J. Collins 26' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,26.03,Missed,,,,,,,,,,,,,,,,,,
82,PT05M43.00S,2022-10-23T21:25:05.9Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,15,7,2022-10-23T21:25:08Z,820000,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,81.0,2.0,1.0,1.0,,,,,,,
83,PT05M41.00S,2022-10-23T21:25:08.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,41.21222076215506,46.32352941176471,1610612737,18,7,2022-10-23T21:25:13Z,830000,18.0,335.0,1,left,T. Young 33' 3PT  (9 PTS) (O. Okongwu 1 AST),"[1629027, 1630168]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,33.54,Made,9.0,O. Okongwu,1630168.0,1.0,,,,,,,,,,,,,,
85,PT05M28.00S,2022-10-23T21:25:24.1Z,1,REGULAR,foul,offensive,[],203486,,,1610612766,18,7,2022-10-23T21:25:32Z,850000,,,0,,M. Plumlee off-the-ball offensive FOUL (1 PF),"[203486, 1629631]",1610612766.0,CHA,off-the-ball,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1627534.0,1.0,0.0,Hunter,1629631.0,,
