actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
23,PT10M29.00S,2022-12-20T00:42:27.1Z,1,REGULAR,steal,,[],1629631,,,1610612737,0,4,2022-12-20T00:43:23Z,230000,False,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2022-12-20T00:42:40.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203992,71.17279894875165,23.03921568627451,1610612737,0,4,2022-12-20T00:42:44Z,240000,False,-135.0,218.0,1,right,MISS B. Bogdanovic 25' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,25.67,Missed,,,,,,,,,,,,,,,,,,
25,PT10M12.00S,2022-12-20T00:42:44.1Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,0,4,2022-12-20T00:42:44Z,250000,False,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,24.0,,,,,,1.0,0.0,1.0,,,,,,,,
26,PT10M09.00S,2022-12-20T00:42:47.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628381,84.83902759526939,50.0,1610612737,2,4,2022-12-20T00:42:56Z,260000,False,0.0,90.0,1,right,J. Collins 9' turnaround Jump Shot (2 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,9.0,Made,2.0,,,,,,,,,,T. Young,1629027.0,1.0,,,,,
28,PT09M57.00S,2022-12-20T00:42:58.9Z,1,REGULAR,2pt,Jump Shot,[],1631094,3.892904073587385,19.852941176470587,1610612753,2,4,2022-12-20T00:44:51Z,280000,False,151.0,-16.0,1,left,MISS P. Banchero 15' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,15.15,Missed,,,,,,,,,,,,,,,,,,
29,PT09M54.00S,2022-12-20T00:43:01.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,2,4,2022-12-20T00:43:03Z,290000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,,,,28.0,,,,,,1.0,1.0,0.0,,,,,,,,
30,PT09M42.00S,2022-12-20T00:43:14.2Z,1,REGULAR,turnover,lost ball,[],1629631,,,1610612737,2,4,2022-12-20T00:43:19Z,300000,False,,,0,,D. Hunter lost ball TURNOVER (1 TO),"[1629631, 1629021]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Wagner,1629021.0
31,PT09M42.00S,2022-12-20T00:43:14.2Z,1,REGULAR,steal,,[],1629021,,,1610612753,2,4,2022-12-20T00:43:16Z,310000,False,,,0,,M. Wagner STEAL (1 STL),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M28.00S,2022-12-20T00:43:28.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629626,5.601182654402102,52.20588235294118,1610612753,2,6,2022-12-20T00:43:34Z,320000,False,-11.0,0.0,1,left,B. Bol cutting DUNK (2 PTS) (M. Wagner 1 AST),"[1629626, 1629021]",1610612753.0,ORL,cutting,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,1.1,Made,2.0,,,,,,,,,,M. Wagner,1629021.0,1.0,,,,,
34,PT09M16.00S,2022-12-20T00:43:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,83.52496714848883,50.0,1610612737,4,6,2022-12-20T00:43:49Z,340000,False,0.0,102.0,1,right,T. Young 10' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,10.24,Made,2.0,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2022-12-20T00:43:53.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629626,5.338370565045992,50.0,1610612753,4,8,2022-12-20T00:43:57Z,350000,False,0.0,-2.0,1,left,B. Bol alley-oop DUNK (4 PTS) (M. Fultz 2 AST),"[1629626, 1628365]",1610612753.0,ORL,alley-oop,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,0.23,Made,4.0,,,,,,,,,,M. Fultz,1628365.0,2.0,,,,,
37,PT08M45.00S,2022-12-20T00:44:11.4Z,1,REGULAR,3pt,Jump Shot,[],1627749,89.96386333771353,97.05882352941177,1610612737,4,8,2022-12-20T00:45:55Z,370000,False,235.0,42.0,1,right,MISS D. Murray step back 3PT,[1627749],1610612737.0,ATL,step back,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,23.9,Missed,,,,,,,,,,,,,,,,,,
38,PT08M42.00S,2022-12-20T00:44:14.4Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,4,8,2022-12-20T00:44:16Z,380000,False,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Right Corner 3,24+ Right,,,,37.0,,,,,,1.0,1.0,0.0,,,,,,,,
39,PT08M35.00S,2022-12-20T00:44:21.3Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,4,8,2022-12-20T00:44:26Z,390000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1627749]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Murray,1627749.0
40,PT08M35.00S,2022-12-20T00:44:21.3Z,1,REGULAR,steal,,[],1627749,,,1610612737,4,8,2022-12-20T00:45:21Z,400000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M31.00S,2022-12-20T00:44:26.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627749,92.9862023653088,47.30392156862745,1610612737,6,8,2022-12-20T00:44:39Z,410000,False,-13.0,13.0,1,right,D. Murray running Layup (2 PTS) (B. Bogdanovic 1 AST),"[1627749, 203992]",1610612737.0,ATL,running,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,1.9,Made,2.0,,,,,,,,,,B. Bogdanovic,203992.0,1.0,,,,,
43,PT08M17.00S,2022-12-20T00:44:38.8Z,1,REGULAR,2pt,Jump Shot,[],1628365,21.369908015768726,36.51960784313725,1610612753,6,8,2022-12-20T00:44:44Z,430000,False,67.0,148.0,1,left,MISS M. Fultz 16' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Right Center,16.3,Missed,,,,,,,,,,,,,,,,,,
44,PT08M14.00S,2022-12-20T00:44:41.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,6,8,2022-12-20T00:44:44Z,440000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,,,,43.0,,,,,,2.0,2.0,0.0,,,,,,,,
45,PT08M02.00S,2022-12-20T00:44:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,92.9862023653088,48.77450980392157,1610612737,8,8,2022-12-20T00:44:58Z,450000,False,-6.0,13.0,1,right,J. Collins cutting Layup (4 PTS) (T. Young 2 AST),"[1628381, 1629027]",1610612737.0,ATL,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.47,Made,4.0,,,,,,,,,,T. Young,1629027.0,2.0,,,,,
47,PT07M47.00S,2022-12-20T00:45:08.6Z,1,REGULAR,2pt,Jump Shot,[],1631094,18.347568988173457,31.61764705882353,1610612753,8,10,2022-12-20T00:45:13Z,470000,False,92.0,120.0,1,left,P. Banchero 15' pullup Jump Shot (2 PTS) (M. Fultz 3 AST),"[1631094, 1628365]",1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,15.11,Made,2.0,,,,,,,,,,M. Fultz,1628365.0,3.0,,,,,
49,PT07M36.00S,2022-12-20T00:45:20.3Z,1,REGULAR,3pt,Jump Shot,[],203992,86.67871222076215,96.56862745098039,1610612737,8,10,2022-12-20T00:48:30Z,490000,False,233.0,73.0,1,right,MISS B. Bogdanovic 24' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,24.39,Missed,,,,,,,,,,,,,,,,,,
50,PT07M33.00S,2022-12-20T00:45:23.3Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,8,10,2022-12-20T00:45:26Z,500000,False,,,0,,B. Bol REBOUND (Off:0 Def:2),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Right Corner 3,24+ Right,,,,49.0,,,,,,2.0,2.0,0.0,,,,,,,,
51,PT07M27.00S,2022-12-20T00:45:31.6Z,1,REGULAR,turnover,out-of-bounds,[],1629626,,,1610612753,8,10,2022-12-20T00:49:03Z,510000,False,,,0,,B. Bol step out-of-bounds TURNOVER (1 TO),[1629626],1610612753.0,ORL,step,,,Bol,B. Bol,,,,,Left Corner 3,24+ Left,,,,,202026.0,,,,,,,,,,,,,1.0,,
52,PT07M15.00S,2022-12-20T00:45:56.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,70.51576872536137,25.49019607843137,1610612737,8,10,2022-12-20T00:46:00Z,520000,False,-123.0,225.0,1,right,MISS D. Hunter 25' pullup 3PT,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,
53,PT07M13.00S,2022-12-20T00:45:58.6Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,8,10,2022-12-20T00:46:00Z,530000,False,,,0,,M. Fultz REBOUND (Off:1 Def:2),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Left Center,,,,52.0,,,,,,3.0,2.0,1.0,,,,,,,,
54,PT07M03.00S,2022-12-20T00:46:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,5.075558475689881,52.69607843137255,1610612753,8,12,2022-12-20T00:46:13Z,540000,False,-13.0,-5.0,1,left,M. Fultz reverse Layup (4 PTS) (P. Banchero 1 AST),"[1628365, 1631094]",1610612753.0,ORL,reverse,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,1.43,Made,4.0,,,,,,,,,,P. Banchero,1631094.0,1.0,,,,,
56,PT06M49.00S,2022-12-20T00:46:25.3Z,1,REGULAR,foul,personal,['2freethrow'],1629021,,,1610612737,8,12,2022-12-20T00:49:43Z,560000,False,,,0,,M. Wagner shooting personal FOUL (1 PF) (Collins 2 FT),"[1629021, 1628381]",1610612753.0,ORL,shooting,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,1627524.0,1.0,0.0,Collins,1628381.0,,,,,,,,,,,
58,PT06M49.00S,2022-12-20T00:46:40.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,8,12,2022-12-20T00:46:40Z,580000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M49.00S,2022-12-20T00:48:47.8Z,1,REGULAR,substitution,out,[],203992,,,1610612737,8,12,2022-12-20T00:49:39Z,590000,False,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M49.00S,2022-12-20T00:48:47.8Z,1,REGULAR,substitution,out,[],1630532,,,1610612737,8,12,2022-12-20T00:49:39Z,600000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M49.00S,2022-12-20T00:48:47.8Z,1,REGULAR,substitution,in,[],1631100,,,1610612737,8,12,2022-12-20T00:49:39Z,610000,False,,,0,,SUB in: A. Griffin,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M49.00S,2022-12-20T00:48:47.8Z,1,REGULAR,substitution,in,[],203082,,,1610612737,8,12,2022-12-20T00:49:39Z,620000,False,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M49.00S,2022-12-20T00:49:43.9Z,1,REGULAR,freethrow,1 of 2,[],1628381,,,1610612737,9,12,2022-12-20T00:49:43Z,630000,False,,,0,,J. Collins Free Throw 1 of 2 (5 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
64,PT06M49.00S,2022-12-20T00:49:58.8Z,1,REGULAR,freethrow,2 of 2,[],1628381,,,1610612737,10,12,2022-12-20T00:49:58Z,640000,False,,,0,,J. Collins Free Throw 2 of 2 (6 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
65,PT06M30.00S,2022-12-20T00:50:18.6Z,1,REGULAR,2pt,Jump Shot,[],203082,5.995400788436268,71.07843137254902,1610612753,10,14,2022-12-20T00:50:25Z,650000,False,-105.0,4.0,1,left,T. Ross 10' driving floating Jump Shot (2 PTS) (M. Fultz 4 AST),"[203082, 1628365]",1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,Mid-Range,8-16 Left,10.55,Made,2.0,,,,,,,,,,M. Fultz,1628365.0,4.0,,,,,
67,PT06M14.00S,2022-12-20T00:50:33.7Z,1,REGULAR,3pt,Jump Shot,[],1629631,70.51576872536137,22.54901960784314,1610612737,13,14,2022-12-20T00:50:38Z,670000,False,-137.0,225.0,1,right,D. Hunter 26' 3PT  (3 PTS) (T. Young 3 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,26.33,Made,3.0,,,,,,,,,,T. Young,1629027.0,3.0,,,,,
69,PT06M01.00S,2022-12-20T00:50:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203082,18.2161629434954,56.127450980392155,1610612753,13,14,2022-12-20T00:50:51Z,690000,False,-31.0,119.0,1,left,MISS T. Ross 12' pullup Shot,[203082],1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,In The Paint (Non-RA),8-16 Center,12.26,Missed,,,,,,,,,,,,,,,,,,
70,PT05M58.00S,2022-12-20T00:50:50.3Z,1,REGULAR,rebound,defensive,[],1631100,,,1610612737,13,14,2022-12-20T00:50:50Z,700000,False,,,0,,A. Griffin REBOUND (Off:0 Def:1),[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,In The Paint (Non-RA),8-16 Center,,,,69.0,,,,,,1.0,1.0,0.0,,,,,,,,
71,PT05M54.00S,2022-12-20T00:50:58.8Z,1,REGULAR,foul,personal,['2freethrow'],203082,,,1610612737,13,14,2022-12-20T00:51:22Z,710000,False,,,0,,T. Ross shooting personal FOUL (1 PF) (Young 2 FT),"[203082, 1629027]",1610612753.0,ORL,shooting,,,Ross,T. Ross,,,,,Mid-Range,8-16 Right,,,,,1627524.0,1.0,0.0,Young,1629027.0,,,,,,,,,,,
73,PT05M54.00S,2022-12-20T00:51:26.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629027,,,1610612737,14,14,2022-12-20T00:51:26Z,730000,False,,,0,,T. Young Free Throw 1 of 2 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
74,PT05M54.00S,2022-12-20T00:51:28.2Z,1,REGULAR,substitution,out,[],1628381,,,1610612737,14,14,2022-12-20T00:51:33Z,740000,False,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M54.00S,2022-12-20T00:51:28.2Z,1,REGULAR,substitution,in,[],1630168,,,1610612737,14,14,2022-12-20T00:51:33Z,750000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M54.00S,2022-12-20T00:51:46.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629027,,,1610612737,15,14,2022-12-20T00:51:46Z,760000,False,,,0,,T. Young Free Throw 2 of 2 (4 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
77,PT05M43.00S,2022-12-20T00:51:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,5.732588699080158,56.127450980392155,1610612753,15,14,2022-12-20T00:52:04Z,770000,False,-31.0,1.0,1,left,MISS M. Fultz driving Layup,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,,,,,,,,
78,PT05M40.00S,2022-12-20T00:52:01.6Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,15,14,2022-12-20T00:52:04Z,780000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,77.0,,,,,,1.0,1.0,0.0,,,,,,,,
79,PT05M32.00S,2022-12-20T00:52:09.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,70.51576872536137,23.52941176470588,1610612737,18,14,2022-12-20T00:52:14Z,790000,False,-132.0,225.0,1,right,D. Hunter 26' 3PT  (6 PTS) (A. Griffin 1 AST),"[1629631, 1631100]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,26.08,Made,6.0,,,,,,,,,,A. Griffin,1631100.0,1.0,,,,,
81,PT05M20.00S,2022-12-20T00:52:23.9Z,1,REGULAR,2pt,Jump Shot,[],1631094,6.652431011826544,76.47058823529412,1610612753,18,14,2022-12-20T00:52:29Z,810000,False,-132.0,10.0,1,left,MISS P. Banchero 13' turnaround fadeaway Shot,[1631094],1610612753.0,ORL,turnaround fadeaway,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,13.28,Missed,,,,,,,,,,,,,,,,,,
82,PT05M16.00S,2022-12-20T00:52:27.9Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,18,14,2022-12-20T00:52:29Z,820000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,81.0,,,,,,2.0,2.0,0.0,,,,,,,,
83,PT05M12.00S,2022-12-20T00:52:31.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,66.44218134034165,41.911764705882355,1610612737,18,14,2022-12-20T00:52:38Z,830000,False,-40.0,263.0,1,right,MISS T. Young 26' running pullup 3PT,[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,26.6,Missed,,,,,,,,,,,,,,,,,,
84,PT05M09.00S,2022-12-20T00:52:34.6Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,18,14,2022-12-20T00:52:38Z,840000,False,,,0,,B. Bol REBOUND (Off:0 Def:3),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Center,,,,83.0,,,,,,3.0,3.0,0.0,,,,,,,,
85,PT05M01.00S,2022-12-20T00:52:42.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629626,8.623521681997373,55.14705882352941,1610612753,18,14,2022-12-20T00:53:38Z,850000,False,-26.0,29.0,1,left,MISS B. Bol driving floating Shot,[1629626],1610612753.0,ORL,driving floating,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,3.85,Missed,,,,,,,,,,,,,,,,,,
