actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
15,PT11M05.00S,2022-10-21T23:41:34.5Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2022-10-21T23:41:43Z,150000,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M00.00S,2022-10-21T23:41:39.5Z,1,REGULAR,3pt,Jump Shot,[],1631094,28.991458607095925,28.186274509803923,1610612753,0,0,2022-10-21T23:41:49Z,160000,109.0,220.0,1,left,MISS P. Banchero 24' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,24.56,Missed,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2022-10-21T23:41:42.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-10-21T23:41:49Z,170000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M50.00S,2022-10-21T23:41:50.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,73.14388961892247,19.11764705882353,1610612737,0,0,2022-10-21T23:41:56Z,180000,-154.0,200.0,1,right,MISS D. Murray 25' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,25.26,Missed,,,,,,,,,,,,,,,,,,
19,PT10M45.00S,2022-10-21T23:41:55.2Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2022-10-21T23:41:56Z,190000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
20,PT10M39.00S,2022-10-21T23:42:00.2Z,1,REGULAR,3pt,Jump Shot,[],1628976,26.363337713534822,79.16666666666666,1610612753,0,0,2022-10-21T23:42:07Z,200000,-146.0,195.0,1,left,MISS W. Carter Jr. 24' pullup 3PT,[1628976],1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,24.37,Missed,,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2022-10-21T23:42:02.2Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,0,0,2022-10-21T23:42:07Z,210000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M21.00S,2022-10-21T23:42:22.5Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612737,0,0,2022-10-21T23:42:32Z,220000,,,0,,D. Murray lost ball out-of-bounds TURNOVER (1 TO),[1627749],1610612737.0,ATL,lost ball,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,2534.0,1.0,,,,,,,,,,
23,PT10M08.00S,2022-10-21T23:42:47.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203082,17.296320630749015,46.07843137254902,1610612753,0,2,2022-10-21T23:42:55Z,230000,20.0,110.0,1,left,T. Ross 11' driving floating Jump Shot (2 PTS) (W. Carter Jr. 1 AST),"[203082, 1628976]",1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,In The Paint (Non-RA),8-16 Center,11.18,Made,,,,,,,,,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,
25,PT09M51.00S,2022-10-21T23:43:04.7Z,1,REGULAR,3pt,Jump Shot,[],1629631,94.1688567674113,3.6764705882352944,1610612737,3,2,2022-10-21T23:43:10Z,250000,-232.0,2.0,1,right,D. Hunter 3PT  (3 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,23.16,Made,,,,,,,,,3.0,T. Young,1629027.0,1.0,,,,,,
27,PT09M36.00S,2022-10-21T23:43:19.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203082,18.084756898817346,41.42156862745098,1610612753,3,2,2022-10-21T23:43:25Z,270000,43.0,117.0,1,left,MISS T. Ross 12' driving floating Shot,[203082],1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,In The Paint (Non-RA),8-16 Center,12.51,Missed,,,,,,,,,,,,,,,,,,
28,PT09M33.00S,2022-10-21T23:43:22.0Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,3,2,2022-10-21T23:43:25Z,280000,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
29,PT09M16.00S,2022-10-21T23:43:39.3Z,1,REGULAR,2pt,Jump Shot,[],1628381,94.30026281208936,73.0392156862745,1610612737,3,2,2022-10-21T23:43:48Z,290000,115.0,1.0,1,right,MISS J. Collins 11' Jump Shot - blocked,"[1628381, 1631094]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,11.52,Missed,,,,,Banchero,1631094.0,,,,,,,,,,,,
34,PT09M16.00S,2022-10-21T23:43:39.3Z,1,REGULAR,block,,[],1631094,,,1610612737,3,2,2022-10-21T23:44:17Z,295000,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
30,PT09M12.00S,2022-10-21T23:43:43.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,3,2,2022-10-21T23:43:48Z,300000,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M10.00S,2022-10-21T23:43:47.8Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612753,3,2,2022-10-21T23:44:13Z,310000,,,0,,J. Collins shooting personal FOUL (1 PF) (Banchero 2 FT),"[1628381, 1631094]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,1628171.0,,,,,,1.0,0.0,Banchero,1631094.0,,
33,PT09M10.00S,2022-10-21T23:44:14.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631094,,,1610612753,3,3,2022-10-21T23:44:14Z,330000,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
35,PT09M10.00S,2022-10-21T23:44:30.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631094,,,1610612753,3,4,2022-10-21T23:44:30Z,340000,,,0,,P. Banchero Free Throw 2 of 2 (2 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
36,PT08M53.00S,2022-10-21T23:44:49.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,86.41590013140605,50.49019607843137,1610612737,3,4,2022-10-21T23:44:56Z,350000,2.0,75.0,1,right,MISS C. Capela 7' Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,7.52,Missed,,,,,,,,,,,,,,,,,,
38,PT08M49.00S,2022-10-21T23:44:53.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,3,4,2022-10-21T23:44:56Z,370000,,,0,,P. Banchero REBOUND (Off:0 Def:3),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,36.0,3.0,3.0,0.0,,,,,,,,,,,,,,
39,PT08M47.00S,2022-10-21T23:44:55.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630591,31.750985545335087,37.5,1610612753,3,4,2022-10-21T23:45:07Z,380000,62.0,246.0,1,left,MISS J. Suggs 25' running pullup 3PT,[1630591],1610612753.0,ORL,running pullup,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,25.38,Missed,,,,,,,,,,,,,,,,,,
40,PT08M42.00S,2022-10-21T23:45:00.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,3,4,2022-10-21T23:45:07Z,390000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M40.00S,2022-10-21T23:45:04.2Z,1,REGULAR,2pt,Jump Shot,[],1629631,92.06636005256242,31.372549019607842,1610612737,5,4,2022-10-21T23:48:51Z,400000,-93.0,22.0,1,right,D. Hunter 9' driving floating Jump Shot (5 PTS),[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Left,9.57,Made,,,,,,,,,5.0,,,,,,,,,
42,PT08M40.00S,2022-10-21T23:45:09.9Z,1,REGULAR,foul,personal,['1freethrow'],203082,,,1610612737,5,4,2022-10-21T23:45:30Z,410000,,,0,,T. Ross shooting personal FOUL (1 PF) (Hunter 1 FT),"[203082, 1629631]",1610612753.0,ORL,shooting,,,Ross,T. Ross,,,,,Mid-Range,8-16 Left,,,,,,,,,2534.0,,,,,,1.0,0.0,Hunter,1629631.0,,
44,PT08M40.00S,2022-10-21T23:45:31.3Z,1,REGULAR,freethrow,1 of 1,[],1629631,,,1610612737,6,4,2022-10-21T23:45:31Z,430000,,,0,,D. Hunter Free Throw 1 of 1 (6 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,,,,,,,,6.0,,,,,,,,,
45,PT08M28.00S,2022-10-21T23:45:47.8Z,1,REGULAR,foul,offensive,[],1630591,,,1610612753,6,4,2022-10-21T23:45:56Z,440000,,,0,,J. Suggs charge offensive FOUL (1 PF),"[1630591, 203991]",1610612753.0,ORL,charge,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628171.0,,,,,,1.0,0.0,Capela,203991.0,,
47,PT08M28.00S,2022-10-21T23:45:47.8Z,1,REGULAR,turnover,offensive foul,[],1630591,,,1610612753,6,4,2022-10-21T23:45:47Z,460000,,,0,,J. Suggs offensive foul TURNOVER (1 TO),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628171.0,1.0,,,,,,,,,,
48,PT08M18.00S,2022-10-21T23:46:09.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629631,80.76544021024968,55.88235294117647,1610612737,6,4,2022-10-21T23:46:16Z,470000,29.0,128.0,1,right,MISS D. Hunter 13' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,13.16,Missed,,,,,,,,,,,,,,,,,,
49,PT08M14.00S,2022-10-21T23:46:13.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,6,4,2022-10-21T23:46:16Z,480000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT08M04.00S,2022-10-21T23:46:23.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,6.521024967148489,48.529411764705884,1610612753,6,6,2022-10-21T23:46:29Z,490000,7.0,9.0,1,left,F. Wagner driving DUNK (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,,,2.0,,,,,,,,,
587,PT07M52.00S,2022-10-21T23:46:38.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,71.56701708278581,50.73529411764706,1610612737,6,6,2022-10-22T01:53:13Z,505000,4.0,215.0,1,right,MISS D. Murray 21' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,21.48,Missed,,,,,,,,,,,,,,,,,,
588,PT07M51.00S,2022-10-21T23:46:39.3Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612737,6,6,2022-10-22T01:44:57Z,512500,,,0,,D. Murray REBOUND (Off:1 Def:0),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,587.0,1.0,0.0,1.0,,,,,,,,,,,,,,
53,PT07M44.00S,2022-10-21T23:46:43.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627749,94.69448094612353,93.87254901960785,1610612737,6,6,2022-10-22T01:40:45Z,520000,219.0,-3.0,1,right,MISS D. Murray 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,21.94,Missed,,,,,,,,,,,,,,,,,,
54,PT07M40.00S,2022-10-21T23:46:47.1Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,6,6,2022-10-21T23:46:49Z,530000,,,0,,P. Banchero REBOUND (Off:0 Def:4),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Right Corner 3,24+ Right,,,53.0,4.0,4.0,0.0,,,,,,,,,,,,,,
55,PT07M28.00S,2022-10-21T23:46:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203082,7.835085413929041,57.35294117647059,1610612753,6,8,2022-10-21T23:51:13Z,540000,-37.0,21.0,1,left,T. Ross driving floating bank Jump Shot (4 PTS),[203082],1610612753.0,ORL,driving floating bank,,,Ross,T. Ross,,,,,Restricted Area,0-8 Center,4.24,Made,,,,,,,,,4.0,,,,,,,,,
57,PT07M08.00S,2022-10-21T23:47:19.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,86.81011826544021,59.068627450980394,1610612737,8,8,2022-10-21T23:52:22Z,560000,45.0,71.0,1,right,J. Collins 8' floating Jump Shot (2 PTS) (T. Young 2 AST),"[1628381, 1629027]",1610612737.0,ATL,floating,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Right,8.46,Made,,,,,,,,,2.0,T. Young,1629027.0,2.0,,,,,,
59,PT06M48.00S,2022-10-21T23:47:39.4Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,8,8,2022-10-21T23:48:50Z,580000,,,0,,P. Banchero bad pass TURNOVER (1 TO),"[1631094, 1628381]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,,,,,,,,,Collins,1628381.0
60,PT06M48.00S,2022-10-21T23:47:39.4Z,1,REGULAR,steal,,[],1628381,,,1610612737,8,8,2022-10-22T00:08:52Z,590000,,,0,,J. Collins STEAL (1 STL),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
61,PT06M43.00S,2022-10-21T23:47:46.5Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612737,8,8,2022-10-21T23:48:31Z,600000,,,0,,D. Murray lost ball out-of-bounds TURNOVER (2 TO),[1627749],1610612737.0,ATL,lost ball,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628171.0,2.0,,,,,,,,,,
62,PT06M43.00S,2022-10-21T23:47:51.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,8,8,2022-10-21T23:47:51Z,610000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M43.00S,2022-10-21T23:50:07.0Z,1,REGULAR,substitution,out,[],203991,,,1610612753,8,8,2022-10-21T23:50:33Z,620000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M43.00S,2022-10-21T23:50:07.0Z,1,REGULAR,substitution,in,[],1630168,,,1610612753,8,8,2022-10-21T23:50:33Z,630000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M25.00S,2022-10-21T23:51:06.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630532,29.911300919842315,70.58823529411765,1610612753,8,8,2022-10-21T23:51:13Z,640000,-103.0,229.0,1,left,MISS F. Wagner 25' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,25.08,Missed,,,,,,,,,,,,,,,,,,
66,PT06M22.00S,2022-10-21T23:51:09.3Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,8,8,2022-10-21T23:51:13Z,650000,,,0,,D. Hunter REBOUND (Off:0 Def:3),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,65.0,3.0,3.0,0.0,,,,,,,,,,,,,,
67,PT06M06.00S,2022-10-21T23:51:25.6Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,8,8,2022-10-21T23:51:34Z,660000,,,0,,D. Murray bad pass TURNOVER (3 TO),"[1627749, 1631094]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,3.0,,,,,,,,,Banchero,1631094.0
68,PT06M06.00S,2022-10-21T23:51:25.6Z,1,REGULAR,steal,,[],1631094,,,1610612753,8,8,2022-10-21T23:52:49Z,670000,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
69,PT05M59.00S,2022-10-21T23:51:32.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628976,7.178055190538765,49.26470588235294,1610612753,8,10,2022-10-21T23:51:42Z,680000,4.0,15.0,1,left,W. Carter Jr. running DUNK (2 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.54,Made,,,,,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,,
71,PT05M50.00S,2022-10-21T23:51:41.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,67.88764783180025,32.1078431372549,1610612737,8,10,2022-10-21T23:54:36Z,700000,-89.0,249.0,1,right,MISS D. Hunter 26' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,26.5,Missed,,,,,,,,,,,,,,,,,,
72,PT05M46.00S,2022-10-21T23:51:45.5Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,8,10,2022-10-21T23:54:36Z,710000,,,0,,J. Collins REBOUND (Off:1 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,71.0,3.0,2.0,1.0,,,,,,,,,,,,,,
73,PT05M43.00S,2022-10-21T23:51:49.4Z,1,REGULAR,turnover,bad pass,[],1628381,,,1610612737,8,10,2022-10-21T23:51:54Z,720000,,,0,,J. Collins bad pass TURNOVER (1 TO),"[1628381, 1630591]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,,,,,,,,,Suggs,1630591.0
74,PT05M43.00S,2022-10-21T23:51:49.4Z,1,REGULAR,steal,,[],1630591,,,1610612753,8,10,2022-10-21T23:51:51Z,730000,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
75,PT05M40.00S,2022-10-21T23:51:55.3Z,1,REGULAR,foul,personal,[],1629631,,,1610612753,8,10,2022-10-21T23:52:08Z,740000,,,0,,D. Hunter personal FOUL (1 PF),"[1629631, 1631094]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,,,,2534.0,,,,,,1.0,0.0,Banchero,1631094.0,,
77,PT05M30.00S,2022-10-21T23:52:22.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631094,30.831143232588698,63.970588235294116,1610612753,8,10,2022-10-21T23:55:19Z,760000,-70.0,237.0,1,left,MISS P. Banchero 24' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,24.74,Missed,,,,,,,,,,,,,,,,,,
78,PT05M25.00S,2022-10-21T23:52:27.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,8,10,2022-10-21T23:52:35Z,770000,,,0,,D. Murray REBOUND (Off:1 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,77.0,2.0,1.0,1.0,,,,,,,,,,,,,,
79,PT05M21.00S,2022-10-21T23:52:34.2Z,1,REGULAR,foul,personal,['2freethrow'],1630532,,,1610612737,8,10,2022-10-21T23:52:57Z,780000,,,0,,F. Wagner shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1630532, 1630168]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,2534.0,,,,,,1.0,0.0,Okongwu,1630168.0,,
81,PT05M21.00S,2022-10-21T23:52:58.0Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,8,10,2022-10-21T23:52:58Z,800000,,,0,,MISS O. Okongwu Free Throw 1 of 2,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
82,PT05M21.00S,2022-10-21T23:52:58.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,8,10,2022-10-21T23:52:58Z,810000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,
