actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M49.00S,2022-11-08T01:17:04.0Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612737,0,5,2022-11-08T01:17:11Z,170000,,,0,,D. Murray step out-of-bounds TURNOVER (2 TO),[1627749],1610612737.0,ATL,step,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left,,,,,,,2882.0,,,,,,,2.0,,,,,,
18,PT10M36.00S,2022-11-08T01:17:25.7Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,0,5,2022-11-08T01:17:35Z,180000,,,0,,G. Antetokounmpo off-the-ball offensive FOUL (1 PF),"[203507, 1629631]",1610612749.0,MIL,off-the-ball,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,200832.0,,,,,,,,,,1.0,0.0,Hunter,1629631.0
20,PT10M36.00S,2022-11-08T01:17:25.7Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,0,5,2022-11-08T01:17:25Z,200000,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,200832.0,,,,,,,1.0,,,,,,
21,PT10M26.00S,2022-11-08T01:17:46.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628381,6.258212877792378,48.03921568627451,1610612737,2,5,2022-11-08T01:17:52Z,210000,10.0,6.0,1,left,J. Collins driving Layup (2 PTS) (D. Murray 1 AST),"[1628381, 1627749]",1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
23,PT10M16.00S,2022-11-08T01:17:56.5Z,1,REGULAR,2pt,Jump Shot,[],203507,75.1149802890933,51.71568627450981,1610612749,2,5,2022-11-08T01:18:02Z,230000,9.0,181.0,1,right,MISS G. Antetokounmpo 18' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,18.16,Missed,,,,,,,,,,,,,,,,,,
24,PT10M14.00S,2022-11-08T01:17:59.0Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,2,5,2022-11-08T01:17:59Z,240000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,
25,PT10M13.00S,2022-11-08T01:18:00.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203507,76.2976346911958,34.80392156862745,1610612749,2,5,2022-11-08T01:18:43Z,250000,-76.0,170.0,1,right,MISS G. Antetokounmpo 18' Jump Shot,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left Center,18.65,Missed,,,,,,,,,,,,,,,,,,
26,PT10M12.00S,2022-11-08T01:18:01.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,5,2022-11-08T01:18:43Z,260000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,
27,PT10M05.00S,2022-11-08T01:18:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,17.559132720105126,48.28431372549019,1610612737,4,5,2022-11-08T01:18:15Z,270000,9.0,113.0,1,left,D. Hunter 11' pullup Jump Shot (2 PTS),[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,11.29,Made,2.0,,,,,,,,,,,,,,,,,
28,PT10M05.00S,2022-11-08T01:18:13.7Z,1,REGULAR,foul,personal,['1freethrow'],1628960,,,1610612737,4,5,2022-11-08T01:18:24Z,280000,,,0,,G. Allen shooting personal FOUL (1 PF) (Hunter 1 FT),"[1628960, 1629631]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1198.0,,,,,,,,,,1.0,0.0,Hunter,1629631.0
30,PT10M05.00S,2022-11-08T01:18:31.1Z,1,REGULAR,freethrow,1 of 1,[],1629631,,,1610612737,4,5,2022-11-08T01:18:31Z,300000,,,0,,MISS D. Hunter Free Throw 1 of 1,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
31,PT10M03.00S,2022-11-08T01:18:33.1Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,4,5,2022-11-08T01:18:34Z,310000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,
32,PT09M47.00S,2022-11-08T01:18:48.7Z,1,REGULAR,3pt,Jump Shot,[],201572,74.19513797634691,84.31372549019608,1610612749,4,8,2022-11-08T01:18:54Z,320000,172.0,190.0,1,right,B. Lopez 25' 3PT  (3 PTS) (G. Allen 2 AST),"[201572, 1628960]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,25.61,Made,3.0,G. Allen,1628960.0,2.0,,,,,,,,,,,,,,
34,PT09M34.00S,2022-11-08T01:19:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,17.95335085413929,40.44117647058824,1610612737,6,8,2022-11-08T01:19:06Z,340000,48.0,116.0,1,left,D. Murray 12' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,12.57,Made,2.0,,,,,,,,,,,,,,,,,
35,PT09M23.00S,2022-11-08T01:19:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,84.57621550591328,56.86274509803921,1610612749,6,8,2022-11-08T01:19:17Z,350000,34.0,92.0,1,right,MISS J. Holiday 9' driving floating Shot,[201950],1610612749.0,MIL,driving floating,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,9.87,Missed,,,,,,,,,,,,,,,,,,
36,PT09M18.00S,2022-11-08T01:19:16.9Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,6,8,2022-11-08T01:19:17Z,360000,,,0,,J. Holiday REBOUND (Off:1 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,35.0,2.0,1.0,1.0,,,,,,,
37,PT09M18.00S,2022-11-08T01:19:16.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201950,94.40999984741211,50.0,1610612749,6,10,2022-11-08T01:19:25Z,370000,0.0,0.0,1,right,J. Holiday putback Layup (2 PTS),[201950],1610612749.0,MIL,putback,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
38,PT09M08.00S,2022-11-08T01:19:26.4Z,1,REGULAR,2pt,Jump Shot,[],1627749,18.2161629434954,66.42156862745098,1610612737,8,10,2022-11-08T01:19:30Z,380000,-82.0,119.0,1,left,D. Murray 14' pullup Jump Shot (4 PTS) (D. Hunter 1 AST),"[1627749, 1629631]",1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,14.43,Made,4.0,D. Hunter,1629631.0,1.0,,,,,,,,,,,,,,
40,PT08M54.00S,2022-11-08T01:19:41.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,91.93495400788436,50.98039215686274,1610612749,8,12,2022-11-08T01:19:49Z,400000,5.0,23.0,1,right,G. Antetokounmpo driving Layup (4 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.38,Made,4.0,,,,,,,,,,,,,,,,,
41,PT08M38.00S,2022-11-08T01:19:56.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,9.017739816031538,46.07843137254902,1610612737,8,12,2022-11-08T01:20:20Z,410000,20.0,32.0,1,left,MISS C. Capela turnaround Hook,[203991],1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,3.78,Missed,,,,,,,,,,,,,,,,,,
42,PT08M36.00S,2022-11-08T01:19:58.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,12,2022-11-08T01:20:02Z,420000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,
43,PT08M32.00S,2022-11-08T01:20:05.1Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,8,12,2022-11-08T01:20:12Z,430000,,,0,,G. Antetokounmpo charge offensive FOUL (2 PF),"[203507, 203991]",1610612749.0,MIL,charge,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1198.0,,,,,,,,,,2.0,0.0,Capela,203991.0
45,PT08M32.00S,2022-11-08T01:20:05.1Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,8,12,2022-11-08T01:20:05Z,450000,,,0,,G. Antetokounmpo offensive foul TURNOVER (2 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1198.0,,,,,,,2.0,,,,,,
46,PT08M32.00S,2022-11-08T01:20:17.0Z,1,REGULAR,substitution,out,[],203507,,,1610612737,8,12,2022-11-08T01:20:26Z,460000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M32.00S,2022-11-08T01:20:17.0Z,1,REGULAR,substitution,in,[],1626171,,,1610612737,8,12,2022-11-08T01:20:26Z,470000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M19.00S,2022-11-08T01:20:46.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203991,6.783837056504599,54.65686274509803,1610612737,8,12,2022-11-08T01:20:55Z,480000,-23.0,11.0,1,left,MISS C. Capela driving Hook,[203991],1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,,,,,,,,,
49,PT08M17.00S,2022-11-08T01:20:48.7Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,8,12,2022-11-08T01:20:55Z,490000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,
50,PT08M03.00S,2022-11-08T01:21:02.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,67.23061760840999,77.45098039215686,1610612749,8,15,2022-11-08T01:21:07Z,500000,137.0,256.0,1,right,G. Allen 29' 3PT  (6 PTS) (B. Portis 1 AST),"[1628960, 1626171]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,29.01,Made,6.0,B. Portis,1626171.0,1.0,,,,,,,,,,,,,,
52,PT07M48.00S,2022-11-08T01:21:17.7Z,1,REGULAR,2pt,Jump Shot,[],1629631,22.946780551905388,65.68627450980392,1610612737,8,15,2022-11-08T01:21:23Z,520000,-78.0,163.0,1,left,MISS D. Hunter 18' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left Center,18.11,Missed,,,,,,,,,,,,,,,,,,
53,PT07M45.00S,2022-11-08T01:21:20.7Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,8,15,2022-11-08T01:21:23Z,530000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,
54,PT07M37.00S,2022-11-08T01:21:28.5Z,1,REGULAR,3pt,Jump Shot,[],201572,75.24638633377135,13.480392156862745,1610612749,8,18,2022-11-08T01:21:36Z,540000,-183.0,180.0,1,right,B. Lopez 25' 3PT  (6 PTS) (J. Carter 1 AST),"[201572, 1628975]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,25.65,Made,6.0,J. Carter,1628975.0,1.0,,,,,,,,,,,,,,
56,PT07M20.00S,2022-11-08T01:21:46.5Z,1,REGULAR,2pt,Jump Shot,[],1629631,15.062417871222076,66.42156862745098,1610612737,8,18,2022-11-08T01:21:57Z,560000,-82.0,89.0,1,left,MISS D. Hunter 12' pullup Shot - blocked,"[1629631, 201950]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Left,12.12,Missed,,,,,,Holiday,201950.0,,,,,,,,,,,
57,PT07M20.00S,2022-11-08T01:21:46.5Z,1,REGULAR,block,,[],201950,,,1610612737,8,18,2022-11-08T01:25:38Z,570000,,,0,,J. Holiday BLOCK (1 BLK),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
58,PT07M19.00S,2022-11-08T01:21:47.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,8,18,2022-11-08T01:21:57Z,580000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,56.0,,,,,,,,,,
60,PT07M19.00S,2022-11-08T01:21:58.8Z,1,REGULAR,substitution,out,[],201950,,,1610612749,8,18,2022-11-08T01:22:04Z,600000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M19.00S,2022-11-08T01:21:58.8Z,1,REGULAR,substitution,in,[],1629670,,,1610612749,8,18,2022-11-08T01:22:04Z,610000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M09.00S,2022-11-08T01:22:11.1Z,1,REGULAR,3pt,Jump Shot,[],1628960,78.40013140604468,8.823529411764707,1610612749,8,21,2022-11-08T01:22:15Z,620000,-206.0,151.0,1,right,G. Allen 25' 3PT  (9 PTS) (J. Carter 2 AST),"[1628960, 1628975]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,25.5,Made,9.0,J. Carter,1628975.0,2.0,,,,,,,,,,,,,,
64,PT07M08.00S,2022-11-08T01:22:17.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,8,21,2022-11-08T01:22:17Z,640000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M08.00S,2022-11-08T01:24:26.9Z,1,REGULAR,substitution,out,[],1628988,,,1610612737,8,21,2022-11-08T01:24:40Z,650000,,,0,,SUB out: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M08.00S,2022-11-08T01:24:26.9Z,1,REGULAR,substitution,in,[],1631100,,,1610612737,8,21,2022-11-08T01:24:40Z,660000,,,0,,SUB in: A. Griffin,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M56.00S,2022-11-08T01:25:19.0Z,1,REGULAR,2pt,Jump Shot,[],1629631,21.23850197109067,32.1078431372549,1610612737,8,21,2022-11-08T01:25:25Z,670000,89.0,147.0,1,left,MISS D. Hunter 17' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right Center,17.22,Missed,,,,,,,,,,,,,,,,,,
68,PT06M52.00S,2022-11-08T01:25:23.0Z,1,REGULAR,rebound,offensive,[],1631100,,,1610612737,8,21,2022-11-08T01:25:23Z,680000,,,0,,A. Griffin REBOUND (Off:1 Def:0),[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,67.0,1.0,0.0,1.0,,,,,,,
69,PT06M50.00S,2022-11-08T01:25:24.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,4.812746386333772,50.98039215686274,1610612737,10,21,2022-11-08T01:25:29Z,690000,-5.0,-7.0,1,left,J. Collins Layup (4 PTS) (A. Griffin 1 AST),"[1628381, 1631100]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,0.88,Made,4.0,A. Griffin,1631100.0,1.0,,,,,,,,,,,,,,
71,PT06M33.00S,2022-11-08T01:25:41.0Z,1,REGULAR,3pt,Jump Shot,[],1628960,75.24638633377135,13.970588235294118,1610612749,10,21,2022-11-08T01:25:46Z,710000,-180.0,180.0,1,right,MISS G. Allen 25' pullup 3PT,[1628960],1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,25.48,Missed,,,,,,,,,,,,,,,,,,
72,PT06M31.00S,2022-11-08T01:25:43.0Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,10,21,2022-11-08T01:25:46Z,720000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,
73,PT06M26.00S,2022-11-08T01:25:48.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628381,30.305519053876477,68.13725490196079,1610612737,10,21,2022-11-08T01:29:48Z,730000,-91.0,232.0,1,left,MISS J. Collins 24' running 3PT,[1628381],1610612737.0,ATL,running,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,24.95,Missed,,,,,,,,,,,,,,,,,,
74,PT06M23.00S,2022-11-08T01:25:51.9Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,10,21,2022-11-08T01:25:57Z,740000,,,0,,B. Portis REBOUND (Off:0 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,73.0,3.0,3.0,0.0,,,,,,,
75,PT06M10.00S,2022-11-08T01:26:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,81.94809461235218,58.08823529411765,1610612749,10,21,2022-11-08T01:26:11Z,750000,40.0,117.0,1,right,MISS B. Lopez 12' turnaround fadeaway Shot,[201572],1610612749.0,MIL,turnaround fadeaway,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,12.4,Missed,,,,,,,,,,,,,,,,,,
76,PT06M06.00S,2022-11-08T01:26:08.7Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,10,21,2022-11-08T01:26:11Z,760000,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,
77,PT05M52.00S,2022-11-08T01:26:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,18.084756898817346,46.81372549019608,1610612737,12,21,2022-11-08T01:26:28Z,770000,16.0,117.0,1,left,J. Collins 11' step back Jump Shot (6 PTS) (D. Murray 2 AST),"[1628381, 1627749]",1610612737.0,ATL,step back,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,11.86,Made,6.0,D. Murray,1627749.0,2.0,,,,,,,,,,,,,,
79,PT05M42.00S,2022-11-08T01:26:32.4Z,1,REGULAR,2pt,Jump Shot,[],1626171,82.7365308804205,22.54901960784314,1610612749,12,23,2022-11-08T01:26:38Z,790000,-137.0,110.0,1,right,B. Portis 17' step back Jump Shot (2 PTS) (J. Carter 3 AST),"[1626171, 1628975]",1610612749.0,MIL,step back,,,Portis,B. Portis,,,,,Mid-Range,16-24 Left Center,17.58,Made,2.0,J. Carter,1628975.0,3.0,,,,,,,,,,,,,,
80,PT05M28.00S,2022-11-08T01:26:46.9Z,1,REGULAR,2pt,Jump Shot,[],1628381,9.149145860709593,27.205882352941174,1610612737,12,23,2022-11-08T01:26:52Z,800000,114.0,34.0,1,left,MISS J. Collins 11' turnaround Shot,[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,11.88,Missed,,,,,,,,,,,,,,,,,,
81,PT05M26.00S,2022-11-08T01:26:48.9Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612749,12,23,2022-11-08T01:26:52Z,810000,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Mid-Range,8-16 Right,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,
82,PT05M15.00S,2022-11-08T01:27:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,85.75886990801577,47.30392156862745,1610612749,12,23,2022-11-08T01:27:13Z,820000,-13.0,81.0,1,right,MISS B. Portis 8' turnaround Shot - blocked,"[1626171, 1628381]",1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Center,8.25,Missed,,,,,,Collins,1628381.0,,,,,,,,,,,
83,PT05M15.00S,2022-11-08T01:27:00.5Z,1,REGULAR,block,,[],1628381,,,1610612749,12,23,2022-11-08T01:27:04Z,830000,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
84,PT05M10.00S,2022-11-08T01:27:05.5Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,12,23,2022-11-08T01:27:13Z,840000,,,0,,D. Hunter REBOUND (Off:0 Def:3),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,82.0,3.0,3.0,0.0,,,,,,,
