actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT10M45.00S,2022-10-19T23:44:03.0Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,2,0,2022-10-19T23:44:07Z,160000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M38.00S,2022-10-19T23:44:09.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,17.559132720105126,46.81372549019608,1610612745,2,2,2022-10-19T23:44:17Z,170000,16.0,113.0,1,left,K. Porter Jr. 11' driving floating Jump Shot (2 PTS),[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,11.37,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2022-10-19T23:44:25.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,75.77201051248358,13.480392156862745,1610612737,2,2,2022-10-19T23:44:30Z,180000,-183.0,175.0,1,right,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,25.31,Missed,,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2022-10-19T23:44:28.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,2,2,2022-10-19T23:44:30Z,190000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,
20,PT10M11.00S,2022-10-19T23:44:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,17.16491458607096,45.588235294117645,1610612745,2,4,2022-10-19T23:44:41Z,200000,22.0,109.0,1,left,K. Porter Jr. 11' pullup Jump Shot (4 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,11.11,Made,4.0,,,,,,,,,,,,,,,,,
21,PT09M57.00S,2022-10-19T23:44:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,91.67214191852825,46.568627450980394,1610612737,2,4,2022-10-19T23:44:59Z,210000,-17.0,26.0,1,right,MISS D. Murray driving Layup - blocked,"[1627749, 1628981]",1610612737.0,ATL,driving,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,3.1,Missed,,,,,,Fernando,1628981.0,,,,,,,,,,,
22,PT09M57.00S,2022-10-19T23:44:51.3Z,1,REGULAR,block,,[],1628981,,,1610612737,2,4,2022-10-19T23:44:54Z,220000,,,0,,B. Fernando BLOCK (1 BLK),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT09M53.00S,2022-10-19T23:44:55.3Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,2,4,2022-10-19T23:44:59Z,230000,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M51.00S,2022-10-19T23:44:56.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630224,5.995400788436268,49.50980392156863,1610612745,2,6,2022-10-19T23:45:07Z,240000,2.0,4.0,1,left,J. Green alley-oop Layup (2 PTS) (K. Porter Jr. 1 AST),"[1630224, 1629645]",1610612745.0,HOU,alley-oop,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.46,Made,2.0,,,,,,,K. Porter Jr.,1629645.0,1.0,,,,,,,,
26,PT09M40.00S,2022-10-19T23:45:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,90.22667542706965,48.28431372549019,1610612737,2,6,2022-10-19T23:45:13Z,260000,-9.0,39.0,1,right,MISS D. Hunter driving Layup - blocked,"[1629631, 1628981]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,4.03,Missed,,,,,,Fernando,1628981.0,,,,,,,,,,,
27,PT09M40.00S,2022-10-19T23:45:08.2Z,1,REGULAR,block,,[],1628981,,,1610612737,2,6,2022-10-19T23:45:11Z,270000,,,0,,B. Fernando BLOCK (2 BLK),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M36.00S,2022-10-19T23:45:12.2Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,2,6,2022-10-19T23:45:13Z,280000,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,
29,PT09M35.00S,2022-10-19T23:45:13.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203991,92.06636005256242,48.529411764705884,1610612737,2,6,2022-10-19T23:45:20Z,290000,-7.0,22.0,1,right,MISS C. Capela turnaround Hook,[203991],1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,,,,,,,,,,,,,,
30,PT09M32.00S,2022-10-19T23:45:16.4Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,6,2022-10-19T23:45:20Z,300000,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M25.00S,2022-10-19T23:45:23.1Z,1,REGULAR,2pt,Jump Shot,[],1629645,22.683968462549277,55.88235294117647,1610612745,2,6,2022-10-19T23:45:27Z,310000,-29.0,161.0,1,left,MISS K. Porter Jr. 16' pullup Shot,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Center,16.34,Missed,,,,,,,,,,,,,,,,,,
32,PT09M23.00S,2022-10-19T23:45:25.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,2,6,2022-10-19T23:45:27Z,320000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT09M11.00S,2022-10-19T23:45:37.6Z,1,REGULAR,2pt,Jump Shot,[],1628381,77.61169513797634,71.07843137254902,1610612737,4,6,2022-10-19T23:45:46Z,330000,105.0,158.0,1,right,J. Collins 18' Jump Shot (2 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,18.99,Made,2.0,,,,,,,T. Young,1629027.0,1.0,,,,,,,,
35,PT08M55.00S,2022-10-19T23:45:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,7.966491458607096,46.568627450980394,1610612745,4,6,2022-10-19T23:46:01Z,350000,17.0,22.0,1,left,MISS E. Gordon driving Layup - blocked,"[201569, 203991]",1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,Capela,203991.0,,,,,,,,,,,
36,PT08M55.00S,2022-10-19T23:45:53.1Z,1,REGULAR,block,,[],203991,,,1610612745,4,6,2022-10-19T23:45:56Z,360000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M51.00S,2022-10-19T23:45:57.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,4,6,2022-10-19T23:46:01Z,370000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,
38,PT08M46.00S,2022-10-19T23:46:01.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628381,80.76544021024968,74.26470588235294,1610612737,4,6,2022-10-19T23:54:38Z,380000,121.0,128.0,1,right,MISS J. Collins 17' Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right Center,17.66,Missed,,,,,,,,,,,,,,,,,,
39,PT08M44.00S,2022-10-19T23:46:03.8Z,1,REGULAR,rebound,defensive,[],1628981,,,1610612745,4,6,2022-10-19T23:46:24Z,390000,,,0,,B. Fernando REBOUND (Off:0 Def:1),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Mid-Range,16-24 Right Center,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M25.00S,2022-10-19T23:46:25.4Z,1,REGULAR,foul,offensive,[],201569,,,1610612745,4,6,2022-10-19T23:46:38Z,400000,,,0,,E. Gordon charge offensive FOUL (1 PF),"[201569, 203991]",1610612745.0,HOU,charge,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2530.0,1.0,0.0,Capela,203991.0,,,
42,PT08M25.00S,2022-10-19T23:46:25.4Z,1,REGULAR,turnover,offensive foul,[],201569,,,1610612745,4,6,2022-10-19T23:46:25Z,420000,,,0,,E. Gordon offensive foul TURNOVER (1 TO),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2530.0,,,,,1.0,,
43,PT08M17.00S,2022-10-19T23:46:57.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629027,84.31340341655716,57.84313725490197,1610612737,4,6,2022-10-19T23:47:03Z,430000,39.0,95.0,1,right,MISS T. Young 10' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,10.28,Missed,,,,,,,,,,,,,,,,,,
44,PT08M13.00S,2022-10-19T23:47:01.5Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,4,6,2022-10-19T23:47:17Z,440000,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,,43.0,2.0,0.0,2.0,,,,,,,,,,,,,
45,PT08M13.00S,2022-10-19T23:47:02.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203991,94.40999984741211,50.0,1610612737,6,6,2022-10-19T23:47:23Z,450000,0.0,0.0,1,right,C. Capela tip Layup (2 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
47,PT07M55.00S,2022-10-19T23:47:35.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,31.61957950065703,36.27450980392157,1610612745,6,6,2022-10-19T23:47:41Z,470000,69.0,245.0,1,left,MISS J. Green 25' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,25.41,Missed,,,,,,,,,,,,,,,,,,
48,PT07M52.00S,2022-10-19T23:47:38.2Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612745,6,6,2022-10-19T23:47:41Z,480000,,,0,,J. Green REBOUND (Off:1 Def:0),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,,
49,PT07M43.00S,2022-10-19T23:47:47.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630224,15.982260183968464,49.01960784313725,1610612745,6,8,2022-10-19T23:47:57Z,490000,5.0,98.0,1,left,J. Green 9' fadeaway Jump Shot (4 PTS),[1630224],1610612745.0,HOU,fadeaway,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,9.78,Made,4.0,,,,,,,,,,,,,,,,,
50,PT07M43.00S,2022-10-19T23:47:53.9Z,1,REGULAR,foul,personal,['1freethrow'],1629631,,,1610612745,6,8,2022-10-19T23:48:18Z,500000,,,0,,D. Hunter shooting personal FOUL (1 PF) (Green 1 FT),"[1629631, 1630224]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202049.0,1.0,0.0,Green,1630224.0,,,
52,PT07M43.00S,2022-10-19T23:48:19.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630224,,,1610612745,6,9,2022-10-19T23:48:19Z,520000,,,0,,J. Green Free Throw 1 of 1 (5 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
53,PT07M28.00S,2022-10-19T23:48:35.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,89.30683311432325,59.80392156862745,1610612737,6,9,2022-10-19T23:48:41Z,530000,49.0,48.0,1,right,MISS D. Murray 6' driving Layup,[1627749],1610612737.0,ATL,driving,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.86,Missed,,,,,,,,,,,,,,,,,,
54,PT07M24.00S,2022-10-19T23:48:39.7Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,6,9,2022-10-19T23:48:41Z,540000,,,0,,J. Green REBOUND (Off:1 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,,,
55,PT07M14.00S,2022-10-19T23:48:48.4Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,6,9,2022-10-19T23:48:53Z,550000,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 1628381]",1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Collins,1628381.0
56,PT07M14.00S,2022-10-19T23:48:48.4Z,1,REGULAR,steal,,[],1628381,,,1610612737,6,9,2022-10-19T23:48:50Z,560000,,,0,,J. Collins STEAL (1 STL),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT07M08.00S,2022-10-19T23:48:54.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629631,92.9862023653088,50.73529411764706,1610612737,8,9,2022-10-19T23:49:03Z,570000,4.0,13.0,1,right,D. Hunter running Layup (2 PTS) (T. Young 2 AST),"[1629631, 1629027]",1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,1.39,Made,2.0,,,,,,,T. Young,1629027.0,2.0,,,,,,,,
59,PT06M55.00S,2022-10-19T23:49:08.0Z,1,REGULAR,3pt,Jump Shot,[],201569,33.065045992115635,50.0,1610612745,8,12,2022-10-19T23:49:14Z,590000,0.0,258.0,1,left,E. Gordon 25' 3PT  (3 PTS) (J. Green 1 AST),"[201569, 1630224]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Center,25.83,Made,3.0,,,,,,,J. Green,1630224.0,1.0,,,,,,,,
61,PT06M45.00S,2022-10-19T23:49:17.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,66.44218134034165,32.1078431372549,1610612737,8,12,2022-10-19T23:49:24Z,610000,-89.0,263.0,1,right,MISS T. Young 27' 3PT - blocked,"[1629027, 1630224]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,27.77,Missed,,,,,,Green,1630224.0,,,,,,,,,,,
62,PT06M45.00S,2022-10-19T23:49:17.4Z,1,REGULAR,block,,[],1630224,,,1610612737,8,12,2022-10-19T23:49:20Z,620000,,,0,,J. Green BLOCK (1 BLK),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
63,PT06M42.00S,2022-10-19T23:49:20.4Z,1,REGULAR,rebound,defensive,[],1628981,,,1610612745,8,12,2022-10-19T23:49:24Z,630000,,,0,,B. Fernando REBOUND (Off:0 Def:2),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Above the Break 3,24+ Left Center,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,
64,PT06M41.00S,2022-10-19T23:49:22.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630224,5.338370565045992,49.50980392156863,1610612745,8,14,2022-10-19T23:49:33Z,640000,2.0,-2.0,1,left,J. Green running DUNK (7 PTS) (B. Fernando 1 AST),"[1630224, 1628981]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.34,Made,7.0,,,,,,,B. Fernando,1628981.0,1.0,,,,,,,,
66,PT06M32.00S,2022-10-19T23:49:35.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,8,14,2022-10-19T23:49:35Z,660000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M32.00S,2022-10-19T23:52:10.9Z,1,REGULAR,substitution,out,[],201569,,,1610612737,8,14,2022-10-19T23:52:28Z,670000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M32.00S,2022-10-19T23:52:10.9Z,1,REGULAR,substitution,in,[],1630231,,,1610612737,8,14,2022-10-19T23:52:28Z,680000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M26.00S,2022-10-19T23:52:39.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,83.52496714848883,56.127450980392155,1610612737,8,14,2022-10-19T23:52:45Z,690000,31.0,102.0,1,right,MISS T. Young 10' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,10.69,Missed,,,,,,,,,,,,,,,,,,
70,PT06M25.00S,2022-10-19T23:52:44.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,8,14,2022-10-19T23:52:44Z,700000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,69.0,,,,,,,,,,,,,,,,
72,PT06M23.00S,2022-10-19T23:52:55.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627749,92.59198423127464,77.69607843137256,1610612737,10,14,2022-10-19T23:53:00Z,720000,138.0,17.0,1,right,D. Murray 13' Jump Shot (4 PTS) (T. Young 3 AST),"[1627749, 1629027]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Right,13.96,Made,4.0,,,,,,,T. Young,1629027.0,3.0,,,,,,,,
74,PT06M07.00S,2022-10-19T23:53:11.4Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,10,14,2022-10-19T23:53:16Z,740000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1627749]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,1.0,Murray,1627749.0
75,PT06M07.00S,2022-10-19T23:53:11.4Z,1,REGULAR,steal,,[],1627749,,,1610612737,10,14,2022-10-19T23:53:13Z,750000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
76,PT05M59.00S,2022-10-19T23:53:19.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629631,87.20433639947439,48.77450980392157,1610612737,12,14,2022-10-19T23:53:27Z,760000,-6.0,68.0,1,right,D. Hunter 6' driving floating Jump Shot (4 PTS),[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,6.81,Made,4.0,,,,,,,,,,,,,,,,,
77,PT05M47.00S,2022-10-19T23:53:31.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628981,5.338370565045992,50.245098039215684,1610612745,12,16,2022-10-19T23:53:37Z,770000,-1.0,-2.0,1,left,B. Fernando alley-oop DUNK (2 PTS) (K. Porter Jr. 2 AST),"[1628981, 1629645]",1610612745.0,HOU,alley-oop,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,0.26,Made,2.0,,,,,,,K. Porter Jr.,1629645.0,2.0,,,,,,,,
79,PT05M38.00S,2022-10-19T23:53:43.0Z,1,REGULAR,foul,personal,[],1630224,,,1610612737,12,16,2022-10-19T23:53:47Z,790000,,,0,,J. Green personal FOUL (1 PF),"[1630224, 1629027]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1628168.0,1.0,0.0,Young,1629027.0,,,
81,PT05M33.00S,2022-10-19T23:54:03.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,92.32917214191852,49.50980392156863,1610612737,14,16,2022-10-19T23:54:09Z,810000,-2.0,20.0,1,right,T. Young driving Layup (2 PTS) (D. Murray 1 AST),"[1629027, 1627749]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.98,Made,2.0,,,,,,,D. Murray,1627749.0,1.0,,,,,,,,
83,PT05M27.00S,2022-10-19T23:54:13.7Z,1,REGULAR,turnover,out-of-bounds,[],1630231,,,1610612745,14,16,2022-10-19T23:54:21Z,830000,,,0,,K. Martin Jr. lost ball out-of-bounds TURNOVER (1 TO),[1630231],1610612745.0,HOU,lost ball,,,Martin Jr.,K. Martin Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628168.0,,,,,1.0,,
84,PT05M27.00S,2022-10-19T23:54:19.0Z,1,REGULAR,substitution,out,[],1628381,,,1610612737,14,16,2022-10-19T23:54:25Z,840000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
