actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M11.00S,2023-01-09T00:12:44.0Z,1,REGULAR,3pt,Jump Shot,[],203501,91.27792378449409,4.901960784313726,1610612742,3,5,2023-01-09T00:12:47Z,160000,False,-225.0,29.0,1,right,T. Hardaway Jr. 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[203501, 203915]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Left Corner 3,24+ Left,22.74,Made,3.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
18,PT09M47.00S,2023-01-09T00:13:07.4Z,1,REGULAR,3pt,Jump Shot,[],1629652,32.40801576872536,50.49019607843137,1610612760,3,5,2023-01-09T00:13:11Z,180000,False,-2.0,252.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
19,PT09M44.00S,2023-01-09T00:13:10.4Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,3,5,2023-01-09T00:13:11Z,190000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT09M37.00S,2023-01-09T00:13:21.9Z,1,REGULAR,foul,personal,['2freethrow'],1630581,,,1610612742,3,5,2023-01-09T00:13:29Z,200000,False,,,0,,J. Giddey shooting personal FOUL (1 PF) (Dinwiddie 2 FT),"[1630581, 203915]",1610612760.0,OKC,shooting,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202035.0,,,,,,1.0,0.0,Dinwiddie,203915.0,,,,
22,PT09M37.00S,2023-01-09T00:13:44.4Z,1,REGULAR,freethrow,1 of 2,[],203915,,,1610612742,3,5,2023-01-09T00:13:44Z,220000,False,,,0,,MISS S. Dinwiddie Free Throw 1 of 2,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT09M37.00S,2023-01-09T00:13:44.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,3,5,2023-01-09T00:13:44Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,
24,PT09M37.00S,2023-01-09T00:13:58.2Z,1,REGULAR,freethrow,2 of 2,[],203915,,,1610612742,3,6,2023-01-09T00:13:58Z,240000,False,,,0,,S. Dinwiddie Free Throw 2 of 2 (3 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
25,PT09M22.00S,2023-01-09T00:14:14.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,13.748357424441524,35.78431372549019,1610612760,3,6,2023-01-09T00:14:18Z,250000,False,71.0,77.0,1,left,MISS J. Giddey 10' turnaround Shot,[1630581],1610612760.0,OKC,turnaround,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Right,10.46,Missed,,,,,,,,,,,,,,,,,,
26,PT09M20.00S,2023-01-09T00:14:16.3Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,3,6,2023-01-09T00:14:18Z,260000,False,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,
27,PT09M11.00S,2023-01-09T00:14:26.0Z,1,REGULAR,3pt,Jump Shot,[],1626174,94.82588699080158,95.58823529411765,1610612742,3,9,2023-01-09T00:14:30Z,270000,False,228.0,-4.0,1,right,C. Wood 3PT  (3 PTS) (R. Bullock 1 AST),"[1626174, 203493]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Right Corner 3,24+ Right,22.79,Made,3.0,R. Bullock,203493.0,1.0,,,,,,,,,,,,,,
29,PT08M52.00S,2023-01-09T00:14:44.4Z,1,REGULAR,3pt,Jump Shot,[],1631114,18.084756898817346,5.392156862745098,1610612760,3,9,2023-01-09T00:14:48Z,290000,False,223.0,117.0,1,left,MISS J. Williams 25' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,25.21,Missed,,,,,,,,,,,,,,,,,,
30,PT08M50.00S,2023-01-09T00:14:46.4Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,3,9,2023-01-09T00:14:48Z,300000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT08M39.00S,2023-01-09T00:14:57.4Z,1,REGULAR,3pt,Jump Shot,[],203493,81.94809461235218,93.62745098039215,1610612742,3,12,2023-01-09T00:15:01Z,310000,False,218.0,117.0,1,right,R. Bullock 24' 3PT  (3 PTS) (T. Hardaway Jr. 1 AST),"[203493, 203501]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,24.76,Made,3.0,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,,,,,
33,PT08M38.00S,2023-01-09T00:15:03.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,3,12,2023-01-09T00:15:08Z,330000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M20.00S,2023-01-09T00:18:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,13.87976346911958,39.46078431372549,1610612760,5,12,2023-01-09T00:18:15Z,340000,False,53.0,78.0,1,left,J. Giddey 9' driving floating Jump Shot (2 PTS) (J. Williams 1 AST),"[1630581, 1631114]",1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Right,9.41,Made,2.0,J. Williams,1631114.0,1.0,,,,,,,,,,,,,,
36,PT07M57.00S,2023-01-09T00:18:32.7Z,1,REGULAR,3pt,Jump Shot,[],203915,74.32654402102497,12.5,1610612742,5,15,2023-01-09T00:19:46Z,360000,False,-188.0,189.0,1,right,S. Dinwiddie 26' 3PT pullup (6 PTS),[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,26.61,Made,6.0,,,,,,,,,,,,,,,,,
37,PT07M46.00S,2023-01-09T00:18:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,5.469776609724048,46.81372549019608,1610612760,7,15,2023-01-09T00:18:47Z,370000,False,16.0,-1.0,1,left,J. Williams cutting Layup (2 PTS) (L. Dort 1 AST),"[1631114, 1629652]",1610612760.0,OKC,cutting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.59,Made,2.0,L. Dort,1629652.0,1.0,,,,,,,,,,,,,,
39,PT07M33.00S,2023-01-09T00:18:56.8Z,1,REGULAR,3pt,Jump Shot,[],203501,71.56701708278581,18.137254901960784,1610612742,7,15,2023-01-09T00:19:02Z,390000,False,-159.0,215.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,26.74,Missed,,,,,,,,,,,,,,,,,,
40,PT07M31.00S,2023-01-09T00:18:58.8Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,7,15,2023-01-09T00:19:02Z,400000,False,,,0,,D. Powell REBOUND (Off:1 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,,,,,,,,39.0,3.0,2.0,1.0,,,,,,,,,
41,PT07M29.00S,2023-01-09T00:19:00.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203493,77.34888304862024,89.70588235294117,1610612742,7,18,2023-01-09T00:19:06Z,410000,False,199.0,160.0,1,right,R. Bullock 25' 3PT  (6 PTS) (D. Powell 1 AST),"[203493, 203939]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,25.52,Made,6.0,D. Powell,203939.0,1.0,,,,,,,,,,,,,,
43,PT07M14.00S,2023-01-09T00:19:15.7Z,1,REGULAR,3pt,Jump Shot,[],1629026,10.463206307490145,3.9215686274509802,1610612760,10,18,2023-01-09T00:19:21Z,430000,False,230.0,46.0,1,left,K. Williams 3PT  (6 PTS) (S. Gilgeous-Alexander 1 AST),"[1629026, 1628983]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,Right Corner 3,24+ Right,23.49,Made,6.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,
45,PT06M57.00S,2023-01-09T00:19:33.2Z,1,REGULAR,turnover,lost ball,[],203493,,,1610612742,10,18,2023-01-09T00:19:46Z,450000,False,,,0,,R. Bullock lost ball TURNOVER (1 TO),"[203493, 1629652]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,,,,,Dort,1629652.0,,
46,PT06M57.00S,2023-01-09T00:19:33.2Z,1,REGULAR,steal,,[],1629652,,,1610612760,10,18,2023-01-09T00:24:04Z,460000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
47,PT06M52.00S,2023-01-09T00:19:38.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629652,2.447437582128778,49.50980392156863,1610612760,10,18,2023-01-09T00:19:45Z,470000,False,2.0,-29.0,1,left,MISS L. Dort running Layup,[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,2.96,Missed,,,,,,,,,,,,,,,,,,
48,PT06M50.00S,2023-01-09T00:19:40.6Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,10,18,2023-01-09T00:40:53Z,480000,False,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,
51,PT06M49.00S,2023-01-09T00:19:59.9Z,1,REGULAR,foul,personal,[],1629652,,,1610612742,10,18,2023-01-09T00:40:59Z,510000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 1626174]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,2530.0,,,,,,1.0,0.0,Wood,1626174.0,,,,
54,PT06M39.00S,2023-01-09T00:20:10.6Z,1,REGULAR,3pt,Jump Shot,[],1626174,83.919185282523,96.07843137254902,1610612742,10,18,2023-01-09T00:40:59Z,540000,False,230.0,99.0,1,right,MISS C. Wood 25' 3PT,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Right Center,25.07,Missed,,,,,,,,,,,,,,,,,,
55,PT06M34.00S,2023-01-09T00:20:15.6Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,10,18,2023-01-09T00:20:17Z,550000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,
56,PT06M24.00S,2023-01-09T00:20:25.2Z,1,REGULAR,2pt,Jump Shot,[],1630581,19.267411300919843,82.35294117647058,1610612760,10,18,2023-01-09T00:20:29Z,560000,False,-162.0,129.0,1,left,MISS J. Giddey 20' pullup Shot,[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left Center,20.67,Missed,,,,,,,,,,,,,,,,,,
57,PT06M21.00S,2023-01-09T00:20:28.2Z,1,REGULAR,rebound,offensive,[],1629026,,,1610612760,10,18,2023-01-09T00:20:28Z,570000,False,,,0,,K. Williams REBOUND (Off:1 Def:0),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,56.0,1.0,0.0,1.0,,,,,,,,,
58,PT06M16.00S,2023-01-09T00:20:33.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629026,16.63929040735874,60.78431372549019,1610612760,12,18,2023-01-09T00:20:39Z,580000,False,-54.0,104.0,1,left,K. Williams 11' pullup Jump Shot (8 PTS) (J. Williams 2 AST),"[1629026, 1631114]",1610612760.0,OKC,pullup,,,Williams,K. Williams,,,,,In The Paint (Non-RA),8-16 Center,11.7,Made,8.0,J. Williams,1631114.0,2.0,,,,,,,,,,,,,,
60,PT05M57.00S,2023-01-09T00:20:54.9Z,1,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612742,12,18,2023-01-09T00:21:01Z,600000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Dinwiddie 2 FT),"[1631114, 203915]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1627963.0,,,,,,1.0,0.0,Dinwiddie,203915.0,,,,
62,PT05M57.00S,2023-01-09T00:21:18.8Z,1,REGULAR,freethrow,1 of 2,[],203915,,,1610612742,12,19,2023-01-09T00:21:18Z,620000,False,,,0,,S. Dinwiddie Free Throw 1 of 2 (7 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
63,PT05M57.00S,2023-01-09T00:21:23.4Z,1,REGULAR,substitution,out,[],203939,,,1610612742,12,19,2023-01-09T00:21:26Z,630000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M57.00S,2023-01-09T00:21:23.4Z,1,REGULAR,substitution,in,[],1630702,,,1610612742,12,19,2023-01-09T00:21:26Z,640000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M57.00S,2023-01-09T00:21:41.7Z,1,REGULAR,freethrow,2 of 2,[],203915,,,1610612742,12,20,2023-01-09T00:21:41Z,650000,False,,,0,,S. Dinwiddie Free Throw 2 of 2 (8 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
66,PT05M47.00S,2023-01-09T00:21:51.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,8.229303547963205,62.5,1610612760,14,20,2023-01-09T00:21:56Z,660000,False,-62.0,25.0,1,left,J. Williams 6' driving floating Jump Shot (4 PTS) (J. Giddey 2 AST),"[1631114, 1630581]",1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.73,Made,4.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,,
68,PT05M34.00S,2023-01-09T00:22:06.6Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612742,14,20,2023-01-09T00:22:20Z,680000,False,,,0,,L. Dort shooting personal FOUL (2 PF) (Wood 2 FT),"[1629652, 1626174]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2530.0,,,,,,2.0,0.0,Wood,1626174.0,,,,
70,PT05M34.00S,2023-01-09T00:22:29.5Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612742,14,21,2023-01-09T00:22:29Z,700000,False,,,0,,C. Wood Free Throw 1 of 2 (4 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
71,PT05M34.00S,2023-01-09T00:22:30.3Z,1,REGULAR,substitution,out,[],1630581,,,1610612742,14,21,2023-01-09T00:22:43Z,710000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M34.00S,2023-01-09T00:22:30.3Z,1,REGULAR,substitution,out,[],1629652,,,1610612742,14,21,2023-01-09T00:22:43Z,720000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M34.00S,2023-01-09T00:22:30.3Z,1,REGULAR,substitution,in,[],1630647,,,1610612742,14,21,2023-01-09T00:22:43Z,730000,False,,,0,,SUB in: E. Omoruyi,[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2023-01-09T00:22:30.3Z,1,REGULAR,substitution,in,[],1630198,,,1610612742,14,21,2023-01-09T00:22:43Z,740000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M34.00S,2023-01-09T00:22:58.5Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612742,14,22,2023-01-09T00:22:58Z,750000,False,,,0,,C. Wood Free Throw 2 of 2 (5 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
76,PT05M26.00S,2023-01-09T00:23:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,19.66162943495401,42.40196078431372,1610612760,16,22,2023-01-09T00:25:11Z,760000,False,38.0,132.0,1,left,S. Gilgeous-Alexander 13' pullup Jump Shot (2 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,13.76,Made,2.0,,,,,,,,,,,,,,,,,
77,PT05M16.00S,2023-01-09T00:23:21.8Z,1,REGULAR,foul,personal,"['2freethrow', 'inpenalty']",1630198,,,1610612742,16,22,2023-01-09T00:35:49Z,770000,False,,,0,,I. Joe shooting personal FOUL (1 PF) (Wood 2 FT),"[1630198, 1626174]",1610612760.0,OKC,shooting,,,Joe,I. Joe,,,,,Mid-Range,16-24 Left Center,,,,,,,202035.0,,,,,,1.0,0.0,Wood,1626174.0,,,,
79,PT05M16.00S,2023-01-09T00:24:03.4Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612742,16,23,2023-01-09T00:24:03Z,790000,False,,,0,,C. Wood Free Throw 1 of 2 (6 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
80,PT05M16.00S,2023-01-09T00:24:03.6Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612742,16,24,2023-01-09T00:24:03Z,800000,False,,,0,,C. Wood Free Throw 2 of 2 (7 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
81,PT05M11.00S,2023-01-09T00:24:08.7Z,1,REGULAR,foul,personal,[],1630702,,,1610612760,16,24,2023-01-09T00:24:19Z,810000,False,,,0,,J. Hardy personal FOUL (1 PF),"[1630702, 1631114]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627963.0,,,,,,1.0,0.0,Williams,1631114.0,,,,
83,PT05M07.00S,2023-01-09T00:24:42.4Z,1,REGULAR,foul,personal,[],203501,,,1610612760,16,24,2023-01-09T00:24:55Z,830000,False,,,0,,T. Hardaway Jr. personal FOUL (1 PF),"[203501, 1631114]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,202035.0,,,,,,1.0,0.0,Williams,1631114.0,,,,
85,PT04M59.00S,2023-01-09T00:25:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,6.783837056504599,56.86274509803921,1610612760,18,24,2023-01-09T00:25:13Z,850000,False,-34.0,11.0,1,left,J. Williams driving bank Jump Shot (6 PTS),[1631114],1610612760.0,OKC,driving bank,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,3.61,Made,6.0,,,,,,,,,,,,,,,,,
86,PT04M41.00S,2023-01-09T00:25:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,93.9060446780552,41.66666666666667,1610612742,18,24,2023-01-09T00:25:31Z,860000,False,-42.0,5.0,1,right,MISS T. Hardaway Jr. Layup - blocked,"[203501, 1631114]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,4.2,Missed,,,,,,,,,,,,,,,,,Williams,1631114.0
87,PT04M41.00S,2023-01-09T00:25:26.4Z,1,REGULAR,block,,[],1631114,,,1610612742,18,24,2023-01-09T00:25:28Z,870000,False,,,0,,J. Williams BLOCK (1 BLK),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
88,PT04M41.00S,2023-01-09T00:25:26.4Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612742,18,24,2023-01-09T00:25:31Z,880000,False,,,0,,C. Wood REBOUND (Off:1 Def:2),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,86.0,3.0,2.0,1.0,,,,,,,,,
89,PT04M41.00S,2023-01-09T00:25:30.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626174,93.77463863337714,47.794117647058826,1610612742,18,26,2023-01-09T00:26:17Z,890000,False,-11.0,6.0,1,right,C. Wood putback Layup (9 PTS),[1626174],1610612742.0,DAL,putback,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,1.25,Made,9.0,,,,,,,,,,,,,,,,,
