actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
16,PT11M00.00S,2023-02-16T01:12:03.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,26.62614980289093,17.401960784313726,1610612760,2,0,2023-02-16T01:12:08Z,160000,False,163.0,198.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,25.63,Missed,Dort,L. Dort,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2023-02-16T01:12:06.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,0,2023-02-16T01:12:08Z,170000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Green,J. Green,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M42.00S,2023-02-16T01:12:21.2Z,1,REGULAR,foul,personal,['3freethrow'],1629652,,,1610612745,2,0,2023-02-16T01:12:48Z,180000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Green 3 FT),"[1629652, 1630224]",1610612760.0,OKC,shooting,,,,,,Above the Break 3,24+ Center,,,Dort,L. Dort,,,,,,,,202056.0,1.0,0.0,Green,1630224.0,,,,,,
20,PT10M42.00S,2023-02-16T01:12:49.3Z,1,REGULAR,freethrow,1 of 3,[],1630224,,,1610612745,2,1,2023-02-16T01:12:49Z,200000,False,,,0,,J. Green Free Throw 1 of 3 (1 PTS),[1630224],1610612745.0,HOU,,,,,,,,,,Made,Green,J. Green,,,,,1.0,,,,,,,,,,,,,
21,PT10M42.00S,2023-02-16T01:13:00.5Z,1,REGULAR,freethrow,2 of 3,[],1630224,,,1610612745,2,2,2023-02-16T01:13:00Z,210000,False,,,0,,J. Green Free Throw 2 of 3 (2 PTS),[1630224],1610612745.0,HOU,,,,,,,,,,Made,Green,J. Green,,,,,2.0,,,,,,,,,,,,,
22,PT10M42.00S,2023-02-16T01:13:13.0Z,1,REGULAR,freethrow,3 of 3,[],1630224,,,1610612745,2,3,2023-02-16T01:13:13Z,220000,False,,,0,,J. Green Free Throw 3 of 3 (3 PTS),[1630224],1610612745.0,HOU,,,,,,,,,,Made,Green,J. Green,,,,,3.0,,,,,,,,,,,,,
23,PT10M27.00S,2023-02-16T01:13:27.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,18.347568988173457,93.62745098039215,1610612760,5,3,2023-02-16T01:13:32Z,230000,False,-218.0,120.0,1,left,L. Dort 24' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,24.89,Made,Dort,L. Dort,,,,,3.0,,,,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,
25,PT10M15.00S,2023-02-16T01:13:40.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,88.25558475689881,40.68627450980392,1610612745,5,5,2023-02-16T01:13:43Z,250000,False,-47.0,58.0,1,right,J. Tate 7' Hook (2 PTS),[1630256],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,7.43,Made,Tate,J. Tate,,,,,2.0,,,,,,,,,,,,,
26,PT09M59.00S,2023-02-16T01:13:56.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,7.046649145860711,50.0,1610612760,5,5,2023-02-16T01:14:23Z,260000,False,0.0,14.0,1,left,MISS J. Giddey driving floating Shot,[1630581],1610612760.0,OKC,driving floating,,,,,,Restricted Area,0-8 Center,1.37,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
27,PT09M57.00S,2023-02-16T01:13:58.6Z,1,REGULAR,rebound,offensive,[],1631114,,,1610612760,5,5,2023-02-16T01:14:03Z,270000,False,,,0,,J. Williams REBOUND (Off:1 Def:0),[1631114],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Williams,J. Williams,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,
28,PT09M50.00S,2023-02-16T01:14:05.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1631114,12.434296977660972,36.029411764705884,1610612760,7,5,2023-02-16T02:27:11Z,280000,False,70.0,64.0,1,left,J. Williams 9' turnaround Hook (2 PTS),[1631114],1610612760.0,OKC,turnaround,,,,,,In The Paint (Non-RA),8-16 Right,9.5,Made,Williams,J. Williams,,,,,2.0,,,,,,,,,,,,,
29,PT09M28.00S,2023-02-16T01:14:29.4Z,1,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612745,7,5,2023-02-16T01:14:37Z,290000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Tate 2 FT),"[1631114, 1630256]",1610612760.0,OKC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Williams,J. Williams,,,,,,,,203591.0,1.0,0.0,Tate,1630256.0,,,,,,
31,PT09M28.00S,2023-02-16T01:14:52.7Z,1,REGULAR,freethrow,1 of 2,[],1630256,,,1610612745,7,5,2023-02-16T01:15:08Z,310000,False,,,0,,MISS J. Tate Free Throw 1 of 2,[1630256],1610612745.0,HOU,,,,,,,,,,Missed,Tate,J. Tate,,,,,,,,,,,,,,,,,,
32,PT09M28.00S,2023-02-16T01:14:52.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,7,5,2023-02-16T01:15:08Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,
33,PT09M28.00S,2023-02-16T01:14:52.7Z,1,REGULAR,freethrow,2 of 2,[],1630256,,,1610612745,7,5,2023-02-16T01:15:08Z,330000,False,,,0,,MISS J. Tate Free Throw 2 of 2,[1630256],1610612745.0,HOU,,,,,,,,,,Missed,Tate,J. Tate,,,,,,,,,,,,,,,,,,
34,PT09M26.00S,2023-02-16T01:14:54.7Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,7,5,2023-02-16T01:15:08Z,340000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,,,,,,,,Giddey,J. Giddey,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M12.00S,2023-02-16T01:15:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.389618922470433,45.588235294117645,1610612760,9,5,2023-02-16T01:15:32Z,350000,False,22.0,8.0,1,left,S. Gilgeous-Alexander finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,finger roll,,,,,,Restricted Area,0-8 Center,2.34,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.0,,,,,,,,,,,,,
36,PT09M07.00S,2023-02-16T01:15:29.3Z,1,REGULAR,foul,offensive,[],1630578,,,1610612745,9,5,2023-02-16T01:15:36Z,360000,False,,,0,,A. Sengun offensive FOUL (1 PF),"[1630578, 1629652]",1610612745.0,HOU,,,,,,,Mid-Range,16-24 Left Center,,,Sengun,A. Sengun,,,,,,,,202056.0,1.0,0.0,Dort,1629652.0,,,,,,
38,PT09M07.00S,2023-02-16T01:15:29.3Z,1,REGULAR,turnover,offensive foul,[],1630578,,,1610612745,9,5,2023-02-16T01:15:29Z,380000,False,,,0,,A. Sengun offensive foul TURNOVER (1 TO),[1630578],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Left Center,,,Sengun,A. Sengun,,,,,,,,202056.0,,,,,,,,1.0,,
39,PT08M49.00S,2023-02-16T01:15:58.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631119,31.882391590013142,60.78431372549019,1610612760,9,5,2023-02-16T01:16:02Z,390000,False,-54.0,247.0,1,left,MISS J. Williams 25' 3PT,[1631119],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Center,25.3,Missed,Williams,J. Williams,,,,,,,,,,,,,,,,,,
40,PT08M46.00S,2023-02-16T01:16:01.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,9,5,2023-02-16T01:16:02Z,400000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,Green,J. Green,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M38.00S,2023-02-16T01:16:09.6Z,1,REGULAR,2pt,Jump Shot,[],1630224,94.82588699080158,75.24509803921569,1610612745,9,5,2023-02-16T01:16:13Z,410000,False,126.0,-4.0,1,right,MISS J. Green 12' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,,,,Mid-Range,8-16 Right,12.63,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
42,PT08M34.00S,2023-02-16T01:16:13.6Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,9,5,2023-02-16T01:16:13Z,420000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,,,,Mid-Range,8-16 Right,,,Gilgeous-Alexander,S. Gilgeous-Alexander,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT08M30.00S,2023-02-16T01:16:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628983,4.681340341655716,47.30392156862745,1610612760,11,5,2023-02-16T01:16:24Z,430000,False,13.0,-8.0,1,left,S. Gilgeous-Alexander running finger roll Layup (4 PTS),[1628983],1610612760.0,OKC,running finger roll,,,,,,Restricted Area,0-8 Center,1.6,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.0,,,,,,,,,,,,,
44,PT08M25.00S,2023-02-16T01:16:28.7Z,1,REGULAR,foul,offensive,[],1630224,,,1610612745,11,5,2023-02-16T01:16:34Z,440000,False,,,0,,J. Green charge offensive FOUL (1 PF),"[1630224, 1631119]",1610612745.0,HOU,charge,,,,,,Restricted Area,0-8 Center,,,Green,J. Green,,,,,,,,1627962.0,1.0,0.0,Williams,1631119.0,,,,,,
46,PT08M25.00S,2023-02-16T01:16:28.7Z,1,REGULAR,turnover,offensive foul,[],1630224,,,1610612745,11,5,2023-02-16T01:16:28Z,460000,False,,,0,,J. Green offensive foul TURNOVER (1 TO),[1630224],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Green,J. Green,,,,,,,,1627962.0,,,,,,,,1.0,,
47,PT08M16.00S,2023-02-16T01:16:51.0Z,1,REGULAR,foul,personal,[],1630256,,,1610612760,11,5,2023-02-16T01:17:03Z,470000,False,,,0,,J. Tate personal FOUL (1 PF),"[1630256, 1628983]",1610612745.0,HOU,,,,,,,Mid-Range,16-24 Right Center,,,Tate,J. Tate,,,,,,,,1627962.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
50,PT08M16.00S,2023-02-16T01:17:01.6Z,1,REGULAR,foul,technical,['1freethrow'],1630256,,,1610612760,11,5,2023-02-16T01:17:09Z,500000,False,,,0,,J. Tate technical FOUL (1 Tech),[1630256],1610612745.0,HOU,,,,,,,,,,,Tate,J. Tate,,,,,,,,1627962.0,1.0,1.0,,,,,,,,
51,PT08M16.00S,2023-02-16T01:17:15.5Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,11,5,2023-02-16T01:17:15Z,510000,False,,,0,,MISS S. Gilgeous-Alexander technical Free Throw 1 of 1,[1628983],1610612760.0,OKC,technical,,,,,,,,,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
52,PT08M16.00S,2023-02-16T01:17:15.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,11,5,2023-02-16T01:17:15Z,520000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,
53,PT08M09.00S,2023-02-16T01:17:38.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631114,5.995400788436268,49.50980392156863,1610612760,13,5,2023-02-16T01:17:42Z,530000,False,2.0,4.0,1,left,J. Williams driving DUNK (4 PTS),[1631114],1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,0.46,Made,Williams,J. Williams,,,,,4.0,,,,,,,,,,,,,
54,PT07M52.00S,2023-02-16T01:17:56.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,93.24901445466492,51.9607843137255,1610612745,13,5,2023-02-16T01:18:06Z,540000,False,10.0,11.0,1,right,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,1.47,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
55,PT07M51.00S,2023-02-16T01:17:57.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,13,5,2023-02-16T01:18:06Z,550000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,,,54.0,,,,,,,,,,,,,,,,,
57,PT07M49.00S,2023-02-16T01:18:21.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630578,94.56307490144546,95.09803921568627,1610612745,13,5,2023-02-16T01:18:26Z,570000,False,225.0,-1.0,1,right,MISS A. Sengun 3PT,[1630578],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,22.55,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
58,PT07M45.00S,2023-02-16T01:18:25.4Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,13,5,2023-02-16T01:18:26Z,580000,False,,,0,,J. Williams REBOUND (Off:0 Def:3),[1631119],1610612760.0,OKC,,,,,,,Right Corner 3,24+ Right,,,Williams,J. Williams,57.0,3.0,3.0,0.0,,,,,,,,,,,,,,
59,PT07M35.00S,2023-02-16T01:18:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,5.206964520367937,52.69607843137255,1610612760,15,5,2023-02-16T01:18:39Z,590000,False,-13.0,-4.0,1,left,J. Williams driving reverse Layup (6 PTS),[1631114],1610612760.0,OKC,driving reverse,,,,,,Restricted Area,0-8 Center,1.4,Made,Williams,J. Williams,,,,,6.0,,,,,,,,,,,,,
60,PT07M30.00S,2023-02-16T01:18:43.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,15,5,2023-02-16T01:18:43Z,600000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M23.00S,2023-02-16T01:21:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630231,90.88370565045992,46.81372549019608,1610612745,15,5,2023-02-16T01:21:52Z,610000,False,-16.0,33.0,1,right,MISS K. Martin Jr. driving Layup,[1630231],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,3.68,Missed,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,
62,PT07M21.00S,2023-02-16T01:21:46.6Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,15,5,2023-02-16T01:21:52Z,620000,False,,,0,,J. Williams REBOUND (Off:0 Def:4),[1631119],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Williams,J. Williams,61.0,4.0,4.0,0.0,,,,,,,,,,,,,,
63,PT07M21.00S,2023-02-16T01:21:52.9Z,1,REGULAR,foul,personal,[],1630231,,,1610612760,15,5,2023-02-16T01:22:02Z,630000,False,,,0,,K. Martin Jr. personal FOUL (1 PF),"[1630231, 1631119]",1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Martin Jr.,K. Martin Jr.,,,,,,,,203591.0,1.0,0.0,Williams,1631119.0,,,,,,
65,PT07M12.00S,2023-02-16T01:22:10.1Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612760,15,5,2023-02-16T01:22:14Z,650000,False,,,0,,J. Giddey lost ball TURNOVER (1 TO),"[1630581, 1631095]",1610612760.0,OKC,,,,,,,Mid-Range,16-24 Center,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,1.0,Smith Jr.,1631095.0
66,PT07M12.00S,2023-02-16T01:22:10.1Z,1,REGULAR,steal,,[],1631095,,,1610612745,15,5,2023-02-16T01:22:11Z,660000,False,,,0,,J. Smith Jr. STEAL (1 STL),[1631095],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Center,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
67,PT07M07.00S,2023-02-16T01:22:15.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630256,91.80354796320631,46.32352941176471,1610612745,15,7,2023-02-16T01:22:53Z,670000,False,-18.0,25.0,1,right,J. Tate running Layup (4 PTS) (J. Smith Jr. 1 AST),"[1630256, 1631095]",1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,3.06,Made,Tate,J. Tate,,,,,4.0,,,,,,,,J. Smith Jr.,1631095.0,1.0,,,
69,PT06M55.00S,2023-02-16T01:22:26.9Z,1,REGULAR,2pt,Jump Shot,[],1628983,20.581471747700395,66.66666666666666,1610612760,15,7,2023-02-16T01:23:29Z,690000,False,-83.0,141.0,1,left,MISS S. Gilgeous-Alexander 16' step back Shot,[1628983],1610612760.0,OKC,step back,,,,,,Mid-Range,16-24 Left Center,16.38,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
70,PT06M53.00S,2023-02-16T01:22:28.9Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,15,7,2023-02-16T01:22:31Z,700000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Left Center,,,Smith Jr.,J. Smith Jr.,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,
71,PT06M47.00S,2023-02-16T01:22:35.4Z,1,REGULAR,3pt,Jump Shot,[],1630224,68.67608409986859,16.42156862745098,1610612745,15,7,2023-02-16T01:22:43Z,710000,False,-168.0,242.0,1,right,MISS J. Green 29' 3PT,[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,29.45,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
72,PT06M45.00S,2023-02-16T01:22:37.4Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,15,7,2023-02-16T01:22:43Z,720000,False,,,0,,J. Williams REBOUND (Off:0 Def:5),[1631119],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Williams,J. Williams,71.0,5.0,5.0,0.0,,,,,,,,,,,,,,
73,PT06M45.00S,2023-02-16T01:22:43.5Z,1,REGULAR,foul,personal,[],1631095,,,1610612760,15,7,2023-02-16T01:22:48Z,730000,False,,,0,,J. Smith Jr. personal FOUL (1 PF),"[1631095, 1631119]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Smith Jr.,J. Smith Jr.,,,,,,,,1627962.0,1.0,0.0,Williams,1631119.0,,,,,,
75,PT06M36.00S,2023-02-16T01:23:00.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.258212877792378,45.83333333333333,1610612760,17,7,2023-02-16T01:23:03Z,750000,False,21.0,6.0,1,left,J. Giddey driving Layup (4 PTS),[1630581],1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,2.17,Made,Giddey,J. Giddey,,,,,4.0,,,,,,,,,,,,,
76,PT06M15.00S,2023-02-16T01:23:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,93.11760840998686,56.372549019607845,1610612745,17,7,2023-02-16T01:23:25Z,760000,False,32.0,12.0,1,right,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,3.42,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
77,PT06M12.00S,2023-02-16T01:23:24.0Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,17,7,2023-02-16T01:23:25Z,770000,False,,,0,,A. Sengun REBOUND (Off:2 Def:0),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,76.0,2.0,0.0,2.0,,,,,,,,,,,,,,
78,PT06M12.00S,2023-02-16T01:23:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,94.40999984741211,50.0,1610612745,17,7,2023-02-16T01:23:23Z,780000,False,0.0,0.0,1,right,MISS A. Sengun tip Layup,[1630578],1610612745.0,HOU,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
79,PT06M10.00S,2023-02-16T01:23:25.3Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,17,7,2023-02-16T01:23:25Z,790000,False,,,0,,A. Sengun REBOUND (Off:3 Def:0),[1630578],1610612745.0,HOU,,,,,,,Mid-Range,8-16 Left,,,Sengun,A. Sengun,78.0,3.0,0.0,3.0,,,,,,,,,,,,,,
80,PT06M10.00S,2023-02-16T01:23:25.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630578,94.40999984741211,50.0,1610612745,17,7,2023-02-16T01:24:44Z,800000,False,0.0,0.0,1,right,MISS A. Sengun tip Layup,[1630578],1610612745.0,HOU,tip,,,,,,Restricted Area,0-8 Center,0.0,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
81,PT06M10.00S,2023-02-16T01:23:25.3Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,17,7,2023-02-16T01:23:28Z,810000,False,,,0,,J. Williams REBOUND (Off:0 Def:6),[1631119],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Williams,J. Williams,80.0,6.0,6.0,0.0,,,,,,,,,,,,,,
82,PT06M06.00S,2023-02-16T01:23:31.7Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612760,17,7,2023-02-16T01:23:40Z,820000,False,,,0,,A. Sengun shooting personal FOUL (2 PF) (Giddey 2 FT),"[1630578, 1630581]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,,,,,,1627962.0,2.0,0.0,Giddey,1630581.0,,,,,,
84,PT06M06.00S,2023-02-16T01:23:44.9Z,1,REGULAR,foul,technical,['1freethrow'],1630578,,,1610612760,17,7,2023-02-16T01:23:53Z,840000,False,,,0,,A. Sengun technical FOUL (1 Tech),[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,1627962.0,2.0,1.0,,,,,,,,
