actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
18,PT10M37.00S,2022-10-28T00:13:11.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630526,92.85479632063075,86.76470588235294,1610612760,4,2,2022-10-28T00:13:17Z,180000,184.0,15.0,1,right,MISS J. Robinson-Earl 18' Jump Shot,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,16-24 Right,18.44,Missed,,,,,,,,,,,,,,,,,,
19,PT10M35.00S,2022-10-28T00:13:13.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,4,2,2022-10-28T00:13:17Z,190000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,
20,PT10M30.00S,2022-10-28T00:13:22.3Z,1,REGULAR,foul,personal,[],1629652,,,1610612746,4,2,2022-10-28T00:13:29Z,200000,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 202331]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,,,,1627539.0,1.0,0.0,George,202331.0,,,,,,,,,,,,
22,PT10M21.00S,2022-10-28T00:13:48.4Z,1,REGULAR,turnover,bad pass,[],1629611,,,1610612746,4,2,2022-10-28T00:13:52Z,220000,,,0,,T. Mann bad pass TURNOVER (1 TO),"[1629611, 1628983]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,
23,PT10M21.00S,2022-10-28T00:13:48.4Z,1,REGULAR,steal,,[],1628983,,,1610612760,4,2,2022-10-28T00:13:50Z,230000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
24,PT10M15.00S,2022-10-28T00:13:54.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628983,92.32917214191852,44.36274509803921,1610612760,6,2,2022-10-28T00:15:08Z,240000,-28.0,20.0,1,right,S. Gilgeous-Alexander running Layup (4 PTS),[1628983],1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,3.43,Made,4.0,,,,,,,,,,,,,,,,,
26,PT09M55.00S,2022-10-28T00:14:31.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,9.149145860709593,42.64705882352941,1610612746,6,2,2022-10-28T00:14:41Z,260000,37.0,34.0,1,left,MISS I. Zubac bank Hook,[1627826],1610612746.0,LAC,bank,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,4.98,Missed,,,,,,,,,,,,,,,,,,
27,PT09M53.00S,2022-10-28T00:14:33.1Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,6,2,2022-10-28T00:14:41Z,270000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,
28,PT09M47.00S,2022-10-28T00:14:39.3Z,1,REGULAR,3pt,Jump Shot,[],1630544,66.5735873850197,9.558823529411764,1610612760,6,2,2022-10-28T00:16:18Z,280000,-202.0,262.0,1,right,MISS T. Mann 33' step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,33.07,Missed,,,,,,,,,,,,,,,,,,
29,PT09M42.00S,2022-10-28T00:14:43.6Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,6,2,2022-10-28T00:14:43Z,290000,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,28.0,2.0,2.0,0.0,,
30,PT09M34.00S,2022-10-28T00:14:53.9Z,1,REGULAR,turnover,out-of-bounds,[],1626181,,,1610612746,6,2,2022-10-28T00:15:05Z,300000,,,0,,N. Powell bad pass out-of-bounds TURNOVER (1 TO),[1626181],1610612746.0,LAC,bad pass,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,,,,1162.0,,,,,,,,1.0,,,,,,,,
32,PT09M19.00S,2022-10-28T00:15:14.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630598,94.03745072273325,44.85294117647059,1610612760,8,2,2022-10-28T00:15:25Z,320000,-26.0,4.0,1,right,A. Wiggins cutting Layup (2 PTS) (L. Dort 1 AST),"[1630598, 1629652]",1610612760.0,OKC,cutting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,2.59,Made,2.0,,,,,,L. Dort,1629652.0,1.0,,,,,,,,,
34,PT09M06.00S,2022-10-28T00:15:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629611,8.886333771353483,4.166666666666666,1610612746,8,2,2022-10-28T00:15:33Z,340000,229.0,31.0,1,left,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,23.13,Missed,,,,,,,,,,,,,,,,,,
35,PT09M02.00S,2022-10-28T00:15:30.7Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,8,2,2022-10-28T00:15:33Z,350000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,
36,PT08M54.00S,2022-10-28T00:15:38.6Z,1,REGULAR,3pt,Jump Shot,[],1628983,68.41327201051249,18.627450980392158,1610612760,8,2,2022-10-28T00:15:45Z,360000,-157.0,244.0,1,right,MISS S. Gilgeous-Alexander 29' pullup 3PT,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,29.04,Missed,,,,,,,,,,,,,,,,,,
37,PT08M50.00S,2022-10-28T00:15:42.6Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,8,2,2022-10-28T00:15:45Z,370000,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,36.0,3.0,3.0,0.0,,
38,PT08M44.00S,2022-10-28T00:15:50.0Z,1,REGULAR,foul,personal,['2freethrow'],1630526,,,1610612746,8,2,2022-10-28T00:16:00Z,380000,,,0,,J. Robinson-Earl shooting personal FOUL (2 PF) (Zubac 2 FT),"[1630526, 1627826]",1610612760.0,OKC,shooting,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,1162.0,2.0,0.0,Zubac,1627826.0,,,,,,,,,,,,
40,PT08M44.00S,2022-10-28T00:16:18.8Z,1,REGULAR,freethrow,1 of 2,[],1627826,,,1610612746,8,2,2022-10-28T00:16:18Z,400000,,,0,,MISS I. Zubac Free Throw 1 of 2,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
41,PT08M44.00S,2022-10-28T00:16:18.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,8,2,2022-10-28T00:16:18Z,410000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,
42,PT08M44.00S,2022-10-28T00:16:21.4Z,1,REGULAR,substitution,out,[],1626181,,,1610612746,8,2,2022-10-28T00:16:25Z,420000,,,0,,SUB out: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M44.00S,2022-10-28T00:16:21.4Z,1,REGULAR,substitution,in,[],1628379,,,1610612746,8,2,2022-10-28T00:16:25Z,430000,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M44.00S,2022-10-28T00:16:38.1Z,1,REGULAR,freethrow,2 of 2,[],1627826,,,1610612746,8,3,2022-10-28T00:16:38Z,440000,,,0,,I. Zubac Free Throw 2 of 2 (3 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
45,PT08M27.00S,2022-10-28T00:16:57.0Z,1,REGULAR,3pt,Jump Shot,[],1630598,66.83639947437582,59.55882352941176,1610612760,8,3,2022-10-28T00:17:02Z,450000,48.0,259.0,1,right,MISS A. Wiggins 26' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,26.36,Missed,,,,,,,,,,,,,,,,,,
46,PT08M23.00S,2022-10-28T00:17:01.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,8,3,2022-10-28T00:17:02Z,460000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,
47,PT08M14.00S,2022-10-28T00:17:09.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628379,6.783837056504599,62.99019607843137,1610612746,8,5,2022-10-28T00:17:17Z,470000,-65.0,11.0,1,left,L. Kennard 6' driving bank Hook (2 PTS),[1628379],1610612746.0,LAC,driving bank,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,6.6,Made,2.0,,,,,,,,,,,,,,,,,
48,PT08M05.00S,2022-10-28T00:17:18.5Z,1,REGULAR,3pt,Jump Shot,[],1630544,64.07687253613666,41.911764705882355,1610612760,11,5,2022-10-28T00:17:24Z,480000,-40.0,285.0,1,right,T. Mann 28' 3PT  (3 PTS),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,28.8,Made,3.0,,,,,,,,,,,,,,,,,
50,PT07M46.00S,2022-10-28T00:17:36.7Z,1,REGULAR,3pt,Jump Shot,[],202704,28.991458607095925,21.323529411764707,1610612746,11,8,2022-10-28T00:17:42Z,500000,143.0,220.0,1,left,R. Jackson 26' 3PT  (3 PTS) (P. George 1 AST),"[202704, 202331]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Right Center,26.26,Made,3.0,,,,,,P. George,202331.0,1.0,,,,,,,,,
52,PT07M20.00S,2022-10-28T00:18:03.0Z,1,REGULAR,3pt,Jump Shot,[],1630598,88.91261498028909,96.56862745098039,1610612760,14,8,2022-10-28T00:18:08Z,520000,233.0,52.0,1,right,A. Wiggins 3PT  (5 PTS) (T. Mann 1 AST),"[1630598, 1630544]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,23.85,Made,5.0,,,,,,T. Mann,1630544.0,1.0,,,,,,,,,
54,PT07M00.00S,2022-10-28T00:18:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,7.440867279894875,37.5,1610612746,14,8,2022-10-28T00:21:44Z,540000,62.0,17.0,1,left,MISS P. George 6' driving floating Shot,[202331],1610612746.0,LAC,driving floating,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,6.49,Missed,,,,,,,,,,,,,,,,,,
55,PT07M00.00S,2022-10-28T00:18:23.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,14,8,2022-10-28T00:18:30Z,550000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,54.0,,,,,
56,PT07M00.00S,2022-10-28T00:18:32.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612760,14,8,2022-10-28T00:18:32Z,560000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M00.00S,2022-10-28T00:20:46.2Z,1,REGULAR,substitution,out,[],1630526,,,1610612760,14,8,2022-10-28T00:21:05Z,570000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M00.00S,2022-10-28T00:20:46.2Z,1,REGULAR,substitution,in,[],203488,,,1610612760,14,8,2022-10-28T00:21:05Z,580000,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M41.00S,2022-10-28T00:21:39.4Z,1,REGULAR,foul,personal,[],1629611,,,1610612760,14,8,2022-10-28T00:22:12Z,590000,,,0,,T. Mann personal FOUL (1 PF),"[1629611, 1629652]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,1162.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,
63,PT06M35.00S,2022-10-28T00:23:00.2Z,1,REGULAR,3pt,Jump Shot,[],1630544,83.78777923784494,96.07843137254902,1610612760,17,8,2022-10-28T00:25:51Z,620000,230.0,100.0,1,right,T. Mann 25' 3PT step back (6 PTS) (S. Gilgeous-Alexander 2 AST),"[1630544, 1628983]",1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,25.11,Made,6.0,,,,,,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,
64,PT06M13.00S,2022-10-28T00:23:21.0Z,1,REGULAR,3pt,Jump Shot,[],1629611,8.623521681997373,3.6764705882352944,1610612746,17,8,2022-10-28T00:23:26Z,630000,232.0,29.0,1,left,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,23.34,Missed,,,,,,,,,,,,,,,,,,
65,PT06M10.00S,2022-10-28T00:23:24.0Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,17,8,2022-10-28T00:23:26Z,640000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,64.0,1.0,1.0,0.0,,
66,PT06M01.00S,2022-10-28T00:23:33.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,92.59198423127464,57.84313725490197,1610612760,17,8,2022-10-28T00:23:38Z,650000,39.0,17.0,1,right,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,4.28,Missed,,,,,,,,,,,,,,,,,,
67,PT05M59.00S,2022-10-28T00:23:35.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,17,8,2022-10-28T00:23:38Z,660000,,,0,,P. George REBOUND (Off:0 Def:4),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,66.0,4.0,4.0,0.0,,
68,PT05M54.00S,2022-10-28T00:23:41.2Z,1,REGULAR,3pt,Jump Shot,[],202331,31.750985545335087,20.34313725490196,1610612746,17,8,2022-10-28T00:23:51Z,670000,148.0,246.0,1,left,MISS P. George 28' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,28.72,Missed,,,,,,,,,,,,,,,,,,
69,PT05M50.00S,2022-10-28T00:23:45.1Z,1,REGULAR,rebound,offensive,[],1628379,,,1610612746,17,8,2022-10-28T00:23:45Z,680000,,,0,,L. Kennard REBOUND (Off:1 Def:0),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,68.0,1.0,0.0,1.0,,
70,PT05M48.00S,2022-10-28T00:23:46.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628379,7.178055190538765,45.34313725490196,1610612746,17,10,2022-10-28T00:23:54Z,690000,23.0,15.0,1,left,L. Kennard driving Layup (4 PTS),[1628379],1610612746.0,LAC,driving,,,Kennard,L. Kennard,,,,,Restricted Area,0-8 Center,2.77,Made,4.0,,,,,,,,,,,,,,,,,
71,PT05M34.00S,2022-10-28T00:24:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,90.22667542706965,41.42156862745098,1610612760,17,10,2022-10-28T00:27:27Z,700000,-43.0,39.0,1,right,MISS S. Gilgeous-Alexander driving floating bank Shot,[1628983],1610612760.0,OKC,driving floating bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,5.82,Missed,,,,,,,,,,,,,,,,,,
72,PT05M31.00S,2022-10-28T00:24:03.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,17,10,2022-10-28T00:24:09Z,710000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,71.0,2.0,2.0,0.0,,
73,PT05M24.00S,2022-10-28T00:24:10.5Z,1,REGULAR,turnover,bad pass,[],1628379,,,1610612746,17,10,2022-10-28T00:24:13Z,720000,,,0,,L. Kennard bad pass TURNOVER (1 TO),"[1628379, 1628983]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,
74,PT05M24.00S,2022-10-28T00:24:10.5Z,1,REGULAR,steal,,[],1628983,,,1610612760,17,10,2022-10-28T00:24:12Z,730000,,,0,,S. Gilgeous-Alexander STEAL (2 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
75,PT05M20.00S,2022-10-28T00:24:14.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629652,92.46057818659659,49.50980392156863,1610612760,19,10,2022-10-28T00:24:22Z,740000,-2.0,18.0,1,right,L. Dort running DUNK (4 PTS) (S. Gilgeous-Alexander 3 AST),"[1629652, 1628983]",1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,1.86,Made,4.0,,,,,,S. Gilgeous-Alexander,1628983.0,3.0,,,,,,,,,
77,PT05M19.00S,2022-10-28T00:24:22.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,19,10,2022-10-28T00:24:22Z,760000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M19.00S,2022-10-28T00:26:09.9Z,1,REGULAR,substitution,out,[],1630544,,,1610612746,19,10,2022-10-28T00:26:57Z,770000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M19.00S,2022-10-28T00:26:09.9Z,1,REGULAR,substitution,out,[],203488,,,1610612746,19,10,2022-10-28T00:26:57Z,780000,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M19.00S,2022-10-28T00:26:09.9Z,1,REGULAR,substitution,out,[],1629611,,,1610612746,19,10,2022-10-28T00:26:57Z,790000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M19.00S,2022-10-28T00:26:09.9Z,1,REGULAR,substitution,in,[],1630197,,,1610612746,19,10,2022-10-28T00:26:57Z,800000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M19.00S,2022-10-28T00:26:09.9Z,1,REGULAR,substitution,in,[],1629647,,,1610612746,19,10,2022-10-28T00:26:57Z,810000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M19.00S,2022-10-28T00:26:09.9Z,1,REGULAR,substitution,in,[],201587,,,1610612746,19,10,2022-10-28T00:26:57Z,820000,,,0,,SUB in: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M03.00S,2022-10-28T00:27:24.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,16.770696452036795,42.15686274509804,1610612746,19,10,2022-10-28T00:27:32Z,830000,39.0,105.0,1,left,MISS R. Jackson 11' driving floating Shot,[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),8-16 Center,11.22,Missed,,,,,,,,,,,,,,,,,,
86,PT05M00.00S,2022-10-28T00:27:27.5Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,19,10,2022-10-28T00:27:32Z,840000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,85.0,1.0,1.0,0.0,,
87,PT04M55.00S,2022-10-28T00:27:32.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630197,91.67214191852825,46.32352941176471,1610612760,21,10,2022-10-28T00:27:41Z,850000,-18.0,26.0,1,right,A. Pokusevski running Layup (2 PTS) (S. Gilgeous-Alexander 4 AST),"[1630197, 1628983]",1610612760.0,OKC,running,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,3.17,Made,2.0,,,,,,S. Gilgeous-Alexander,1628983.0,4.0,,,,,,,,,
