actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
22,PT10M13.00S,2022-11-10T01:14:05.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,16.90210249671485,93.62745098039215,1610612749,4,3,2022-11-10T01:14:09Z,220000,False,-218.0,106.0,1,left,MISS G. Allen 24' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,24.27,Missed,,,,,,,,,,,,,,,,,,
23,PT10M10.00S,2022-11-10T01:14:08.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,4,3,2022-11-10T01:14:09Z,230000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,22.0,,,,,,,,,,,,,1.0,1.0,0.0
24,PT10M05.00S,2022-11-10T01:14:12.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630526,96.5341655716163,95.83333333333334,1610612760,4,3,2022-11-10T01:14:19Z,240000,False,229.0,-20.0,1,right,MISS J. Robinson-Earl 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Right Corner 3,24+ Right,23.01,Missed,,,,,,,,,,,,,,,,,,
25,PT10M03.00S,2022-11-10T01:14:14.7Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,4,3,2022-11-10T01:14:19Z,250000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Right Corner 3,24+ Right,,,,,24.0,,,,,,,,,,,,,1.0,1.0,0.0
26,PT09M50.00S,2022-11-10T01:14:28.1Z,1,REGULAR,3pt,Jump Shot,[],1628975,32.276609724047304,43.13725490196079,1610612749,4,6,2022-11-10T01:14:32Z,260000,False,34.0,251.0,1,left,J. Carter 25' 3PT  (6 PTS) (B. Lopez 1 AST),"[1628975, 201572]",1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Center,25.32,Made,,,,,6.0,,,,,,,,B. Lopez,201572.0,1.0,,,
28,PT09M40.00S,2022-11-10T01:14:38.5Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,4,6,2022-11-10T01:14:45Z,280000,False,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 1630699]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Beauchamp,1630699.0,,,,,,,,,,
29,PT09M40.00S,2022-11-10T01:14:38.5Z,1,REGULAR,steal,,[],1630699,,,1610612749,4,6,2022-11-10T01:14:40Z,290000,False,,,0,,M. Beauchamp STEAL (1 STL),[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M34.00S,2022-11-10T01:14:44.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,23.47240473061761,12.5,1610612749,4,9,2022-11-10T01:14:48Z,300000,False,188.0,168.0,1,left,G. Allen 25' 3PT  (3 PTS) (J. Carter 1 AST),"[1628960, 1628975]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,25.18,Made,,,,,3.0,,,,,,,,J. Carter,1628975.0,1.0,,,
32,PT09M10.00S,2022-11-10T01:15:08.1Z,1,REGULAR,2pt,Jump Shot,[],1628983,83.78777923784494,26.47058823529412,1610612760,4,9,2022-11-10T01:15:13Z,320000,False,-118.0,100.0,1,right,MISS S. Gilgeous-Alexander 15' pullup Shot - blocked,"[1628983, 1628960]",1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,15.43,Missed,Allen,1628960.0,,,,,,,,,,,,,,,,
33,PT09M10.00S,2022-11-10T01:15:08.1Z,1,REGULAR,block,,[],1628960,,,1610612760,4,9,2022-11-10T01:15:10Z,330000,False,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
34,PT09M07.00S,2022-11-10T01:15:11.1Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,4,9,2022-11-10T01:15:13Z,340000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Left,,,,,32.0,,,,,,,,,,,,,1.0,1.0,0.0
35,PT09M03.00S,2022-11-10T01:15:15.6Z,1,REGULAR,3pt,Jump Shot,[],1628975,16.770696452036795,3.9215686274509802,1610612749,4,9,2022-11-10T01:15:27Z,350000,False,230.0,105.0,1,left,MISS J. Carter 25' 3PT,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Right Center,25.32,Missed,,,,,,,,,,,,,,,,,,
36,PT08M59.00S,2022-11-10T01:15:19.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,4,9,2022-11-10T01:15:27Z,360000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,35.0,,,,,,,,,,,,,,,
38,PT08M38.00S,2022-11-10T01:15:47.2Z,1,REGULAR,3pt,Jump Shot,[],1628983,75.24638633377135,12.009803921568627,1610612760,4,9,2022-11-10T01:15:52Z,380000,False,-190.0,180.0,1,right,MISS S. Gilgeous-Alexander 26' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,26.19,Missed,,,,,,,,,,,,,,,,,,
39,PT08M35.00S,2022-11-10T01:15:50.2Z,1,REGULAR,rebound,defensive,[],1630699,,,1610612749,4,9,2022-11-10T01:15:52Z,390000,False,,,0,,M. Beauchamp REBOUND (Off:0 Def:1),[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,Above the Break 3,24+ Left Center,,,,,38.0,,,,,,,,,,,,,1.0,1.0,0.0
40,PT08M26.00S,2022-11-10T01:15:59.3Z,1,REGULAR,3pt,Jump Shot,[],1628960,4.155716162943495,95.83333333333334,1610612749,4,12,2022-11-10T01:16:03Z,400000,False,-229.0,-13.0,1,left,G. Allen 3PT  (6 PTS) (J. Carter 2 AST),"[1628960, 1628975]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Left Corner 3,24+ Left,22.96,Made,,,,,6.0,,,,,,,,J. Carter,1628975.0,2.0,,,
42,PT08M10.00S,2022-11-10T01:16:14.8Z,1,REGULAR,3pt,Jump Shot,[],1630197,67.23061760840999,47.30392156862745,1610612760,7,12,2022-11-10T01:16:18Z,420000,False,-13.0,256.0,1,right,A. Pokusevski 25' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1630197, 1628983]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Center,25.59,Made,,,,,3.0,,,,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,
44,PT07M57.00S,2022-11-10T01:16:29.1Z,1,REGULAR,foul,personal,[],1630526,,,1610612749,7,12,2022-11-10T01:16:36Z,440000,False,,,0,,J. Robinson-Earl personal FOUL (1 PF),"[1630526, 201572]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,8-16 Left,,,,,,1627541.0,,,,,1.0,0.0,Lopez,201572.0,,,,,,
46,PT07M51.00S,2022-11-10T01:16:52.6Z,1,REGULAR,turnover,bad pass,[],1628975,,,1610612749,7,12,2022-11-10T01:16:58Z,460000,False,,,0,,J. Carter bad pass TURNOVER (1 TO),"[1628975, 1629652]",1610612749.0,MIL,,,,Carter,J. Carter,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Dort,1629652.0,,,,,,,,,,
47,PT07M51.00S,2022-11-10T01:16:52.6Z,1,REGULAR,steal,,[],1629652,,,1610612760,7,12,2022-11-10T01:16:53Z,470000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT07M46.00S,2022-11-10T01:16:57.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630581,88.78120893561103,49.754901960784316,1610612760,7,12,2022-11-10T01:17:06Z,480000,False,-1.0,53.0,1,right,MISS J. Giddey floating Shot,[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,5.3,Missed,,,,,,,,,,,,,,,,,,
49,PT07M43.00S,2022-11-10T01:17:00.9Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,7,12,2022-11-10T01:17:06Z,490000,False,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,,,,,48.0,,,,,,,,,,,,,2.0,2.0,0.0
50,PT07M35.00S,2022-11-10T01:17:10.9Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612749,7,12,2022-11-10T01:17:23Z,500000,False,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Portis 2 FT),"[1628983, 1626171]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,1628487.0,,,,,1.0,0.0,Portis,1626171.0,,,,,,
52,PT07M35.00S,2022-11-10T01:17:36.6Z,1,REGULAR,freethrow,1 of 2,[],1626171,,,1610612749,7,13,2022-11-10T01:17:36Z,520000,False,,,0,,B. Portis Free Throw 1 of 2 (1 PTS),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
53,PT07M35.00S,2022-11-10T01:17:39.2Z,1,REGULAR,substitution,out,[],1628975,,,1610612749,7,13,2022-11-10T01:17:45Z,530000,False,,,0,,SUB out: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M35.00S,2022-11-10T01:17:39.2Z,1,REGULAR,substitution,in,[],201588,,,1610612749,7,13,2022-11-10T01:17:45Z,540000,False,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M35.00S,2022-11-10T01:17:59.7Z,1,REGULAR,freethrow,2 of 2,[],1626171,,,1610612749,7,14,2022-11-10T01:17:59Z,550000,False,,,0,,B. Portis Free Throw 2 of 2 (2 PTS),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
56,PT07M24.00S,2022-11-10T01:18:12.1Z,1,REGULAR,3pt,Jump Shot,[],1629652,91.27792378449409,4.6568627450980395,1610612760,10,14,2022-11-10T01:18:18Z,560000,False,-227.0,29.0,1,right,L. Dort 3PT  (3 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,22.86,Made,,,,,3.0,,,,,,,,J. Giddey,1630581.0,1.0,,,
58,PT07M13.00S,2022-11-10T01:18:23.2Z,1,REGULAR,3pt,Jump Shot,[],1630699,27.414586070959263,17.401960784313726,1610612749,10,14,2022-11-10T01:18:28Z,580000,False,163.0,205.0,1,left,MISS M. Beauchamp 26' 3PT,[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,Above the Break 3,24+ Right Center,26.21,Missed,,,,,,,,,,,,,,,,,,
59,PT07M11.00S,2022-11-10T01:18:25.2Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,10,14,2022-11-10T01:18:28Z,590000,False,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Right Center,,,,,58.0,,,,,,,,,,,,,1.0,1.0,0.0
60,PT06M55.00S,2022-11-10T01:18:42.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,97.45400788436268,3.1862745098039214,1610612760,10,14,2022-11-10T01:18:46Z,600000,False,-234.0,-29.0,1,right,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,23.58,Missed,,,,,,,,,,,,,,,,,,
61,PT06M51.00S,2022-11-10T01:18:46.0Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,10,14,2022-11-10T01:18:46Z,610000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Left Corner 3,24+ Left,,,,,60.0,,,,,,,,,,,,,1.0,1.0,0.0
62,PT06M45.00S,2022-11-10T01:18:55.5Z,1,REGULAR,foul,offensive,[],1626171,,,1610612749,10,14,2022-11-10T01:19:06Z,620000,False,,,0,,B. Portis offensive FOUL (1 PF),"[1626171, 1628983]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Right,,,,,,1627541.0,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
64,PT06M45.00S,2022-11-10T01:18:55.5Z,1,REGULAR,turnover,offensive foul,[],1626171,,,1610612749,10,14,2022-11-10T01:18:55Z,640000,False,,,0,,B. Portis offensive foul TURNOVER (1 TO),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Right,,,,,,1627541.0,,1.0,,,,,,,,,,,,
65,PT06M45.00S,2022-11-10T01:19:11.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,10,14,2022-11-10T01:19:17Z,650000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M45.00S,2022-11-10T01:21:09.0Z,1,REGULAR,substitution,out,[],1630699,,,1610612760,10,14,2022-11-10T01:21:39Z,660000,False,,,0,,SUB out: M. Beauchamp,[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M45.00S,2022-11-10T01:21:09.0Z,1,REGULAR,substitution,out,[],1628960,,,1610612760,10,14,2022-11-10T01:21:39Z,670000,False,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M45.00S,2022-11-10T01:21:09.0Z,1,REGULAR,substitution,in,[],1628975,,,1610612760,10,14,2022-11-10T01:21:39Z,680000,False,,,0,,SUB in: J. Carter,[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M45.00S,2022-11-10T01:21:09.0Z,1,REGULAR,substitution,in,[],1629670,,,1610612760,10,14,2022-11-10T01:21:39Z,690000,False,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2022-11-10T01:22:06.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630197,88.51839684625493,46.81372549019608,1610612760,10,14,2022-11-10T01:22:13Z,700000,False,-16.0,55.0,1,right,MISS A. Pokusevski cutting Layup,[1630197],1610612760.0,OKC,cutting,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,,,,,,,,,,,,,,
71,PT06M32.00S,2022-11-10T01:22:08.1Z,1,REGULAR,rebound,offensive,[],1630197,,,1610612760,10,14,2022-11-10T01:22:13Z,710000,False,,,0,,A. Pokusevski REBOUND (Off:1 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,,,,,70.0,,,,,,,,,,,,,2.0,1.0,1.0
72,PT06M32.00S,2022-11-10T01:22:08.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630197,91.5407358738502,49.754901960784316,1610612760,12,14,2022-11-10T01:22:16Z,720000,False,-1.0,27.0,1,right,A. Pokusevski putback Layup (5 PTS),[1630197],1610612760.0,OKC,putback,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,2.7,Made,,,,,5.0,,,,,,,,,,,,,
73,PT06M13.00S,2022-11-10T01:22:27.1Z,1,REGULAR,3pt,Jump Shot,[],1628975,29.25427069645204,25.245098039215684,1610612749,12,17,2022-11-10T01:22:32Z,730000,False,124.0,222.0,1,left,J. Carter 25' 3PT  (9 PTS) (B. Portis 1 AST),"[1628975, 1626171]",1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Right Center,25.46,Made,,,,,9.0,,,,,,,,B. Portis,1626171.0,1.0,,,
75,PT05M58.00S,2022-11-10T01:22:42.4Z,1,REGULAR,3pt,Jump Shot,[],1630526,78.53153745072274,7.598039215686274,1610612760,12,17,2022-11-10T01:22:46Z,750000,False,-212.0,149.0,1,right,MISS J. Robinson-Earl 25' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2022-11-10T01:22:45.4Z,1,REGULAR,rebound,offensive,[],1630197,,,1610612760,12,17,2022-11-10T01:22:46Z,760000,False,,,0,,A. Pokusevski REBOUND (Off:2 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Left Center,,,,,75.0,,,,,,,,,,,,,3.0,1.0,2.0
77,PT05M53.00S,2022-11-10T01:22:46.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630581,91.80354796320631,47.549019607843135,1610612760,12,17,2022-11-10T01:33:01Z,770000,False,-12.0,25.0,1,right,MISS J. Giddey floating Shot,[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,2.74,Missed,,,,,,,,,,,,,,,,,,
78,PT05M49.00S,2022-11-10T01:22:50.9Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,12,17,2022-11-10T01:22:53Z,780000,False,,,0,,L. Dort REBOUND (Off:1 Def:0),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,77.0,,,,,,,,,,,,,1.0,0.0,1.0
79,PT05M46.00S,2022-11-10T01:22:54.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,93.38042049934296,2.941176470588235,1610612760,15,17,2022-11-10T01:22:59Z,790000,False,-235.0,10.0,1,right,L. Dort 3PT  (6 PTS) (A. Pokusevski 1 AST),"[1629652, 1630197]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,23.55,Made,,,,,6.0,,,,,,,,A. Pokusevski,1630197.0,1.0,,,
81,PT05M32.00S,2022-11-10T01:23:08.5Z,1,REGULAR,3pt,Jump Shot,[],201572,25.443495400788436,86.76470588235294,1610612749,15,17,2022-11-10T01:23:12Z,810000,False,-184.0,187.0,1,left,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
82,PT05M29.00S,2022-11-10T01:23:11.5Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,15,17,2022-11-10T01:23:12Z,820000,False,,,0,,L. Dort REBOUND (Off:1 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,81.0,,,,,,,,,,,,,2.0,1.0,1.0
83,PT05M23.00S,2022-11-10T01:23:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,91.80354796320631,45.09803921568628,1610612760,15,17,2022-11-10T01:23:23Z,830000,False,-25.0,25.0,1,right,MISS J. Robinson-Earl reverse Layup,[1630526],1610612760.0,OKC,reverse,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,3.46,Missed,,,,,,,,,,,,,,,,,,
84,PT05M21.00S,2022-11-10T01:23:19.9Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,15,17,2022-11-10T01:23:23Z,840000,False,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,83.0,,,,,,,,,,,,,2.0,2.0,0.0
