actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M34.00S,2023-04-02T23:11:51.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631114,95.48291721419186,50.73529411764706,1610612760,4,2,2023-04-02T23:11:58Z,150000,False,4.0,-10.0,1,right,J. Williams running Layup (2 PTS),[1631114],1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M19.00S,2023-04-02T23:12:06.1Z,1,REGULAR,2pt,Jump Shot,[],201142,21.23850197109067,47.794117647058826,1610612756,4,2,2023-04-02T23:12:56Z,160000,False,11.0,147.0,1,left,MISS K. Durant 14' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Center,14.75,Missed,,,,,,,,,,,,,,,,,,
17,PT10M15.00S,2023-04-02T23:12:10.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,4,2,2023-04-02T23:12:12Z,170000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M06.00S,2023-04-02T23:12:18.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,67.09921156373193,51.470588235294116,1610612760,7,2,2023-04-02T23:12:23Z,180000,False,7.0,257.0,1,right,L. Dort 25' 3PT  (5 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,25.69,Made,,,,,5.0,,,,J. Giddey,1630581.0,1.0,,,,,,,
20,PT09M41.00S,2023-04-02T23:12:44.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,11.383048620236531,49.01960784313725,1610612756,7,2,2023-04-02T23:12:50Z,200000,False,5.0,55.0,1,left,MISS D. Ayton Hook,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,5.47,Missed,,,,,,,,,,,,,,,,,,
21,PT09M38.00S,2023-04-02T23:12:47.2Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,7,2,2023-04-02T23:12:50Z,210000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,
22,PT09M31.00S,2023-04-02T23:12:54.6Z,1,REGULAR,2pt,Jump Shot,[],1628983,84.44480946123521,21.07843137254902,1610612760,9,2,2023-04-02T23:13:23Z,220000,False,-145.0,94.0,1,right,S. Gilgeous-Alexander 17' step back Jump Shot (2 PTS) (J. Williams 1 AST),"[1628983, 1631119]",1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left,17.23,Made,,,,,2.0,,,,J. Williams,1631119.0,1.0,,,,,,,
24,PT09M04.00S,2023-04-02T23:13:21.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,11.251642575558476,46.07843137254902,1610612756,9,2,2023-04-02T23:13:52Z,240000,False,20.0,53.0,1,left,MISS D. Ayton turnaround fadeaway Shot,[1629028],1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,5.68,Missed,,,,,,,,,,,,,,,,,,
25,PT09M03.00S,2023-04-02T23:13:22.3Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,9,2,2023-04-02T23:13:26Z,250000,False,,,0,,J. Williams REBOUND (Off:0 Def:3),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,24.0,3.0,3.0,0.0,,,,,,,,,,,,,,
26,PT08M51.00S,2023-04-02T23:13:34.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,70.51576872536137,74.26470588235294,1610612760,9,2,2023-04-02T23:13:41Z,260000,False,121.0,225.0,1,right,MISS L. Dort 25' step back 3PT,[1629652],1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.54,Missed,,,,,,,,,,,,,,,,,,
27,PT08M48.00S,2023-04-02T23:13:37.7Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612756,9,2,2023-04-02T23:13:41Z,270000,False,,,0,,J. Okogie REBOUND (Off:0 Def:1),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Right Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT08M36.00S,2023-04-02T23:13:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629006,7.5722733245729295,47.794117647058826,1610612756,9,4,2023-04-02T23:14:27Z,280000,False,11.0,19.0,1,left,J. Okogie cutting finger roll Layup (2 PTS) (K. Durant 1 AST),"[1629006, 201142]",1610612756.0,PHX,cutting finger roll,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,2.17,Made,,,,,2.0,,,,K. Durant,201142.0,1.0,,,,,,,
30,PT08M21.00S,2023-04-02T23:14:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,91.40932982917214,43.627450980392155,1610612760,9,4,2023-04-02T23:14:09Z,300000,False,-32.0,28.0,1,right,MISS J. Giddey driving Layup - blocked,"[1630581, 1629006]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,4.26,Missed,,,,,,,,,,,,Okogie,1629006.0,,,,,
31,PT08M21.00S,2023-04-02T23:14:04.8Z,1,REGULAR,block,,[],1629006,,,1610612760,9,4,2023-04-02T23:14:07Z,310000,False,,,0,,J. Okogie BLOCK (1 BLK),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT08M19.00S,2023-04-02T23:14:06.8Z,1,REGULAR,rebound,defensive,[],1629006,,,1610612756,9,4,2023-04-02T23:14:09Z,320000,False,,,0,,J. Okogie REBOUND (Off:0 Def:2),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT08M15.00S,2023-04-02T23:14:10.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1626164,5.338370565045992,50.0,1610612756,9,6,2023-04-02T23:14:14Z,330000,False,0.0,-2.0,1,left,D. Booker cutting DUNK (4 PTS) (J. Okogie 1 AST),"[1626164, 1629006]",1610612756.0,PHX,cutting,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,0.23,Made,,,,,4.0,,,,J. Okogie,1629006.0,1.0,,,,,,,
35,PT07M55.00S,2023-04-02T23:14:31.5Z,1,REGULAR,foul,personal,['2freethrow'],101108,,,1610612760,9,6,2023-04-02T23:14:38Z,350000,False,,,0,,C. Paul shooting personal FOUL (1 PF) (Giddey 2 FT),"[101108, 1630581]",1610612756.0,PHX,shooting,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,204058.0,1.0,0.0,Giddey,1630581.0
37,PT07M55.00S,2023-04-02T23:14:59.8Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612760,9,6,2023-04-02T23:14:59Z,370000,False,,,0,,MISS J. Giddey Free Throw 1 of 2,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT07M55.00S,2023-04-02T23:14:59.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,9,6,2023-04-02T23:14:59Z,380000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,
39,PT07M55.00S,2023-04-02T23:15:11.5Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612760,10,6,2023-04-02T23:15:11Z,390000,False,,,0,,J. Giddey Free Throw 2 of 2 (1 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
40,PT07M44.00S,2023-04-02T23:15:27.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,5.206964520367937,48.529411764705884,1610612756,10,8,2023-04-02T23:15:31Z,400000,False,7.0,-4.0,1,left,D. Ayton cutting DUNK (2 PTS) (K. Durant 2 AST),"[1629028, 201142]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,2.0,,,,K. Durant,201142.0,2.0,,,,,,,
43,PT07M32.00S,2023-04-02T23:15:52.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,93.9060446780552,3.431372549019608,1610612760,10,8,2023-04-02T23:15:56Z,430000,False,-233.0,5.0,1,right,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
44,PT07M28.00S,2023-04-02T23:15:56.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,10,8,2023-04-02T23:15:56Z,440000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT07M18.00S,2023-04-02T23:16:05.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,19.267411300919843,34.55882352941176,1610612756,10,10,2023-04-02T23:16:10Z,450000,False,77.0,129.0,1,left,K. Durant 15' fadeaway Jump Shot (2 PTS),[201142],1610612756.0,PHX,fadeaway,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Right,15.0,Made,,,,,2.0,,,,,,,,,,,,,
46,PT07M04.00S,2023-04-02T23:16:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,94.30026281208936,44.6078431372549,1610612760,10,10,2023-04-02T23:16:33Z,460000,False,-27.0,1.0,1,right,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
47,PT07M03.00S,2023-04-02T23:16:30.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,10,10,2023-04-02T23:16:33Z,470000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT06M57.00S,2023-04-02T23:16:37.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",201142,12.171484888304862,56.127450980392155,1610612756,10,12,2023-04-02T23:17:45Z,480000,False,-31.0,62.0,1,left,K. Durant 6' driving floating Jump Shot (4 PTS),[201142],1610612756.0,PHX,driving floating,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,6.91,Made,,,,,4.0,,,,,,,,,,,,,
49,PT06M57.00S,2023-04-02T23:16:41.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,10,12,2023-04-02T23:16:41Z,490000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M38.00S,2023-04-02T23:19:52.3Z,1,REGULAR,turnover,bad pass,[],1631114,,,1610612760,10,12,2023-04-02T23:19:57Z,500000,False,,,0,,J. Williams bad pass TURNOVER (1 TO),"[1631114, 101108]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,1.0,Paul,101108.0,,,,,,,,,,
51,PT06M38.00S,2023-04-02T23:19:52.3Z,1,REGULAR,steal,,[],101108,,,1610612756,10,12,2023-04-02T23:20:18Z,510000,False,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
52,PT06M23.00S,2023-04-02T23:20:07.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629028,11.038107752956634,55.81724877450981,1610612756,10,12,2023-04-02T23:20:55Z,520000,False,-29.0,51.0,1,left,MISS D. Ayton floating Shot,[1629028],1610612756.0,PHX,floating,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,5.9,Missed,,,,,,,,,,,,,,,,,,
53,PT06M22.00S,2023-04-02T23:20:08.3Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,10,12,2023-04-02T23:20:11Z,530000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,52.0,3.0,2.0,1.0,,,,,,,,,,,,,,
54,PT06M21.00S,2023-04-02T23:20:09.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629028,5.732588699080158,50.245098039215684,1610612756,10,14,2023-04-02T23:20:14Z,540000,False,-1.0,1.0,1,left,D. Ayton putback Layup (4 PTS),[1629028],1610612756.0,PHX,putback,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.18,Made,,,,,4.0,,,,,,,,,,,,,
55,PT06M05.00S,2023-04-02T23:20:24.6Z,1,REGULAR,3pt,Jump Shot,[],1630581,70.64717477003943,78.18627450980392,1610612760,10,14,2023-04-02T23:20:30Z,550000,False,141.0,223.0,1,right,MISS J. Giddey 26' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
56,PT06M02.00S,2023-04-02T23:20:27.6Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,10,14,2023-04-02T23:20:30Z,560000,False,,,0,,L. Dort REBOUND (Off:1 Def:0),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,55.0,1.0,0.0,1.0,,,,,,,,,,,,,,
57,PT05M58.00S,2023-04-02T23:20:32.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628983,86.81011826544021,53.92156862745098,1610612760,12,14,2023-04-02T23:20:37Z,570000,False,20.0,71.0,1,right,S. Gilgeous-Alexander 7' driving floating bank Jump Shot (4 PTS) (J. Williams 1 AST),"[1628983, 1631114]",1610612760.0,OKC,driving floating bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.41,Made,,,,,4.0,,,,J. Williams,1631114.0,1.0,,,,,,,
58,PT05M47.00S,2023-04-02T23:20:45.7Z,1,REGULAR,turnover,out-of-bounds,[],1629006,,,1610612756,12,14,2023-04-02T23:20:54Z,580000,False,,,0,,J. Okogie step out-of-bounds TURNOVER (1 TO),[1629006],1610612756.0,PHX,step,,,Okogie,J. Okogie,,,,,Left Corner 3,24+ Left,,,,,,,,1.0,,,,,,,,204058.0,,,,
59,PT05M34.00S,2023-04-02T23:21:07.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631114,93.38042049934296,60.78431372549019,1610612760,12,14,2023-04-02T23:22:30Z,590000,False,54.0,10.0,1,right,MISS J. Williams turnaround bank Shot,[1631114],1610612760.0,OKC,turnaround bank,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.48,Missed,,,,,,,,,,,,,,,,,,
60,PT05M33.00S,2023-04-02T23:21:08.9Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,12,14,2023-04-02T23:21:13Z,600000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT05M11.00S,2023-04-02T23:21:31.5Z,1,REGULAR,3pt,Jump Shot,[],1626164,30.56833114323259,72.05882352941177,1610612756,12,14,2023-04-02T23:21:44Z,610000,False,-110.0,235.0,1,left,MISS D. Booker 25' step back 3PT,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,25.94,Missed,,,,,,,,,,,,,,,,,,
62,PT05M08.00S,2023-04-02T23:21:34.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,12,14,2023-04-02T23:21:44Z,620000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Left Center,,,61.0,,,,,,,,,,,,,,,,,
64,PT04M52.00S,2023-04-02T23:21:58.7Z,1,REGULAR,3pt,Jump Shot,[],1631119,78.79434954007884,90.44117647058823,1610612760,15,14,2023-04-02T23:22:05Z,640000,False,202.0,147.0,1,right,J. Williams 24' 3PT  (3 PTS) (J. Giddey 2 AST),"[1631119, 1630581]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,24.99,Made,,,,,3.0,,,,J. Giddey,1630581.0,2.0,,,,,,,
66,PT04M36.00S,2023-04-02T23:22:14.1Z,1,REGULAR,3pt,Jump Shot,[],1629006,8.09789750328515,2.941176470588235,1610612756,15,14,2023-04-02T23:22:18Z,660000,False,235.0,24.0,1,left,MISS J. Okogie 3PT,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,23.65,Missed,,,,,,,,,,,,,,,,,,
67,PT04M32.00S,2023-04-02T23:22:18.1Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,15,14,2023-04-02T23:22:18Z,670000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Right Corner 3,24+ Right,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
69,PT04M28.00S,2023-04-02T23:22:26.1Z,1,REGULAR,foul,personal,[],1626164,,,1610612760,15,14,2023-04-02T23:22:31Z,680000,False,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 1628983]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,204058.0,1.0,0.0,Gilgeous-Alexander,1628983.0
71,PT04M28.00S,2023-04-02T23:22:30.5Z,1,REGULAR,substitution,out,[],1631114,,,1610612760,15,14,2023-04-02T23:22:45Z,700000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M28.00S,2023-04-02T23:22:30.5Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,15,14,2023-04-02T23:22:45Z,710000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M28.00S,2023-04-02T23:22:30.5Z,1,REGULAR,substitution,out,[],101108,,,1610612760,15,14,2023-04-02T23:22:45Z,720000,False,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M28.00S,2023-04-02T23:22:30.5Z,1,REGULAR,substitution,out,[],201142,,,1610612760,15,14,2023-04-02T23:22:45Z,730000,False,,,0,,SUB out: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M28.00S,2023-04-02T23:22:30.5Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,15,14,2023-04-02T23:22:45Z,740000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M28.00S,2023-04-02T23:22:30.5Z,1,REGULAR,substitution,in,[],1630198,,,1610612760,15,14,2023-04-02T23:22:45Z,750000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M28.00S,2023-04-02T23:22:30.5Z,1,REGULAR,substitution,in,[],1628470,,,1610612760,15,14,2023-04-02T23:22:45Z,760000,False,,,0,,SUB in: T. Craig,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M28.00S,2023-04-02T23:22:30.5Z,1,REGULAR,substitution,in,[],1626166,,,1610612760,15,14,2023-04-02T23:22:45Z,770000,False,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M20.00S,2023-04-02T23:23:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,92.06636005256242,49.50980392156863,1610612760,15,14,2023-04-02T23:23:05Z,780000,False,-2.0,22.0,1,right,MISS L. Dort driving Layup,[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,2.22,Missed,,,,,,,,,,,,,,,,,,
80,PT04M16.00S,2023-04-02T23:23:05.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,15,14,2023-04-02T23:23:05Z,790000,False,,,0,,D. Ayton REBOUND (Off:1 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,79.0,4.0,3.0,1.0,,,,,,,,,,,,,,
81,PT04M11.00S,2023-04-02T23:23:09.7Z,1,REGULAR,3pt,Jump Shot,[],1628470,7.440867279894875,3.9215686274509802,1610612756,15,17,2023-04-02T23:25:42Z,800000,False,230.0,17.0,1,left,T. Craig 3PT  (3 PTS) (C. Payne 1 AST),"[1628470, 1626166]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Right Corner 3,24+ Right,23.11,Made,,,,,3.0,,,,C. Payne,1626166.0,1.0,,,,,,,
