actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT09M48.00S,2022-10-24T00:13:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,6.783837056504599,55.392156862745104,1610612760,5,8,2022-10-24T00:14:48Z,190000,-27.0,11.0,1,left,MISS L. Dort driving Layup - blocked,"[1629652, 203497]",1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,2.93,Missed,,,,,,,,,Gobert,203497.0,,,,,,,,
20,PT09M48.00S,2022-10-24T00:13:59.8Z,1,REGULAR,block,,[],203497,,,1610612760,5,8,2022-10-24T00:14:02Z,200000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT09M48.00S,2022-10-24T00:13:59.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,5,8,2022-10-24T00:14:48Z,210000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,19.0,,,,,,,,,,,,,
23,PT09M33.00S,2022-10-24T00:14:28.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629026,7.703679369250986,39.21568627450981,1610612760,5,8,2022-10-24T00:14:35Z,230000,54.0,20.0,1,left,MISS K. Williams fadeaway Shot,[1629026],1610612760.0,OKC,fadeaway,,,Williams,K. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.75,Missed,,,,,,,,,,,,,,,,,,
25,PT09M30.00S,2022-10-24T00:14:31.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,5,8,2022-10-24T00:14:35Z,250000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,
26,PT09M23.00S,2022-10-24T00:14:38.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.77463863337714,50.49019607843137,1610612750,5,10,2022-10-24T00:14:44Z,260000,2.0,6.0,1,right,R. Gobert DUNK (2 PTS) (D. Russell 2 AST),"[203497, 1626156]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.65,Made,2.0,D. Russell,1626156.0,2.0,,,,,,,,,,,,,,
28,PT09M06.00S,2022-10-24T00:14:55.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,10.33180026281209,3.1862745098039214,1610612760,5,10,2022-10-24T00:15:01Z,280000,234.0,45.0,1,left,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,23.83,Missed,,,,,,,,,,,,,,,,,,
29,PT09M02.00S,2022-10-24T00:14:59.7Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,5,10,2022-10-24T00:15:01Z,290000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Right Corner 3,24+ Right,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT08M54.00S,2022-10-24T00:15:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,92.9862023653088,47.30392156862745,1610612750,5,12,2022-10-24T00:15:13Z,300000,-13.0,13.0,1,right,A. Edwards driving finger roll Layup (4 PTS),[1630162],1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.9,Made,4.0,,,,,,,,,,,,,,,,,
31,PT08M39.00S,2022-10-24T00:15:22.7Z,1,REGULAR,3pt,Jump Shot,[],1630544,30.17411300919842,25.245098039215684,1610612760,5,12,2022-10-24T00:15:30Z,310000,124.0,231.0,1,left,MISS T. Mann 26' step back 3PT,[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,26.22,Missed,,,,,,,,,,,,,,,,,,
32,PT08M36.00S,2022-10-24T00:15:25.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,5,12,2022-10-24T00:15:30Z,320000,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,,,31.0,3.0,3.0,0.0,,,,,,,,,,
33,PT08M28.00S,2022-10-24T00:15:37.9Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,5,12,2022-10-24T00:20:10Z,330000,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,bad pass,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,,,,,,,
34,PT08M13.00S,2022-10-24T00:15:57.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630581,7.178055190538765,45.588235294117645,1610612760,7,12,2022-10-24T00:16:03Z,340000,22.0,15.0,1,left,J. Giddey driving Layup (4 PTS),[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,2.67,Made,4.0,,,,,,,,,,,,,,,,,
35,PT07M59.00S,2022-10-24T00:16:11.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,67.7562417871222,31.61764705882353,1610612750,7,12,2022-10-24T00:16:18Z,350000,-92.0,251.0,1,right,MISS A. Edwards 26' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,26.69,Missed,,,,,,,,,,,,,,,,,,
36,PT07M56.00S,2022-10-24T00:16:14.0Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,7,12,2022-10-24T00:16:18Z,360000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Left Center,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
37,PT07M49.00S,2022-10-24T00:16:21.7Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,7,12,2022-10-24T00:16:26Z,370000,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1630183]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,McDaniels,1630183.0,,,,,
38,PT07M49.00S,2022-10-24T00:16:21.7Z,1,REGULAR,steal,,[],1630183,,,1610612750,7,12,2022-10-24T00:16:23Z,380000,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT07M43.00S,2022-10-24T00:16:30.1Z,1,REGULAR,foul,personal,[],1630544,,,1610612750,7,12,2022-10-24T00:16:43Z,390000,,,0,,T. Mann personal FOUL (1 PF),"[1630544, 203497]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Gobert,203497.0
41,PT07M35.00S,2022-10-24T00:16:57.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626156,82.86793692509855,32.35294117647059,1610612750,7,12,2022-10-24T00:17:03Z,410000,-88.0,109.0,1,right,MISS D. Russell 13' Jump Shot,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,13.98,Missed,,,,,,,,,,,,,,,,,,
42,PT07M32.00S,2022-10-24T00:17:00.2Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,7,12,2022-10-24T00:17:03Z,420000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,8-16 Left,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,
43,PT07M22.00S,2022-10-24T00:17:12.3Z,1,REGULAR,foul,personal,[],1630183,,,1610612760,7,12,2022-10-24T00:17:20Z,430000,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 1630544]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,202053.0,1.0,0.0,Mann,1630544.0
45,PT07M22.00S,2022-10-24T00:17:21.1Z,1,REGULAR,timeout,full,['team'],0,,,1610612760,7,12,2022-10-24T00:17:21Z,450000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M15.00S,2022-10-24T00:20:22.8Z,1,REGULAR,2pt,Jump Shot,[],1630581,21.369908015768726,54.90196078431373,1610612760,7,12,2022-10-24T00:20:30Z,460000,-25.0,148.0,1,left,MISS J. Giddey 15' floating Shot,[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Center,15.04,Missed,,,,,,,,,,,,,,,,,,
47,PT07M13.00S,2022-10-24T00:20:24.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,7,12,2022-10-24T00:20:30Z,470000,,,0,,R. Gobert REBOUND (Off:0 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Center,,,,,,,46.0,4.0,4.0,0.0,,,,,,,,,,
48,PT06M59.00S,2022-10-24T00:20:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,93.51182654402102,49.01960784313725,1610612750,7,14,2022-10-24T00:20:43Z,480000,-5.0,8.0,1,right,A. Edwards driving reverse Layup (6 PTS) (D. Russell 3 AST),"[1630162, 1626156]",1610612750.0,MIN,driving reverse,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,0.98,Made,6.0,D. Russell,1626156.0,3.0,,,,,,,,,,,,,,
49,PT06M56.00S,2022-10-24T00:20:44.9Z,1,REGULAR,turnover,out-of-bounds,[],1630526,,,1610612760,7,14,2022-10-24T00:27:35Z,490000,,,0,,J. Robinson-Earl bad pass out-of-bounds TURNOVER (1 TO),[1630526],1610612760.0,OKC,bad pass,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,,,2534.0,,,,
50,PT06M42.00S,2022-10-24T00:21:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630183,93.77463863337714,51.470588235294116,1610612750,7,16,2022-10-24T00:21:08Z,500000,7.0,6.0,1,right,J. McDaniels cutting Layup (4 PTS) (K. Towns 1 AST),"[1630183, 1626157]",1610612750.0,MIN,cutting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.95,Made,4.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
52,PT06M20.00S,2022-10-24T00:21:24.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,26.363337713534822,18.137254901960784,1610612760,10,16,2022-10-24T00:21:30Z,520000,159.0,195.0,1,left,L. Dort 25' 3PT  (3 PTS) (K. Williams 1 AST),"[1629652, 1629026]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.2,Made,3.0,K. Williams,1629026.0,1.0,,,,,,,,,,,,,,
54,PT05M58.00S,2022-10-24T00:21:46.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,92.19776609724047,49.50980392156863,1610612750,10,18,2022-10-24T00:21:51Z,540000,-2.0,21.0,1,right,R. Gobert DUNK (4 PTS) (K. Towns 2 AST),"[203497, 1626157]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.09,Made,4.0,K. Towns,1626157.0,2.0,,,,,,,,,,,,,,
56,PT05M40.00S,2022-10-24T00:22:04.2Z,1,REGULAR,3pt,Jump Shot,[],1630526,32.802233902759525,38.970588235294116,1610612760,10,18,2022-10-24T00:22:10Z,560000,55.0,256.0,1,left,MISS J. Robinson-Earl 26' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Center,26.17,Missed,,,,,,,,,,,,,,,,,,
57,PT05M36.00S,2022-10-24T00:22:08.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,10,18,2022-10-24T00:22:10Z,570000,,,0,,R. Gobert REBOUND (Off:0 Def:5),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,,,,56.0,5.0,5.0,0.0,,,,,,,,,,
58,PT05M23.00S,2022-10-24T00:22:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,92.06636005256242,51.71568627450981,1610612750,10,20,2022-10-24T00:22:27Z,580000,9.0,22.0,1,right,J. McDaniels driving Layup (6 PTS),[1630183],1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.37,Made,6.0,,,,,,,,,,,,,,,,,
59,PT05M08.00S,2022-10-24T00:22:37.6Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612760,10,20,2022-10-24T00:22:56Z,590000,,,0,,R. Gobert shooting personal FOUL (1 PF) (Williams 2 FT),"[203497, 1629026]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Williams,1629026.0
61,PT05M08.00S,2022-10-24T00:23:03.8Z,1,REGULAR,freethrow,1 of 2,[],1629026,,,1610612760,10,20,2022-10-24T00:23:03Z,610000,,,0,,MISS K. Williams Free Throw 1 of 2,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
62,PT05M08.00S,2022-10-24T00:23:03.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,10,20,2022-10-24T00:23:03Z,620000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,
63,PT05M08.00S,2022-10-24T00:23:04.9Z,1,REGULAR,substitution,out,[],203497,,,1610612760,10,20,2022-10-24T00:23:07Z,630000,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M08.00S,2022-10-24T00:23:04.9Z,1,REGULAR,substitution,in,[],1627752,,,1610612760,10,20,2022-10-24T00:23:07Z,640000,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M08.00S,2022-10-24T00:23:13.5Z,1,REGULAR,substitution,out,[],1630544,,,1610612760,10,20,2022-10-24T00:23:24Z,650000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M08.00S,2022-10-24T00:23:13.5Z,1,REGULAR,substitution,out,[],1630526,,,1610612760,10,20,2022-10-24T00:23:24Z,660000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M08.00S,2022-10-24T00:23:13.5Z,1,REGULAR,substitution,in,[],1630197,,,1610612760,10,20,2022-10-24T00:23:24Z,670000,,,0,,SUB in: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M08.00S,2022-10-24T00:23:13.5Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,10,20,2022-10-24T00:23:24Z,680000,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M08.00S,2022-10-24T00:23:03.8Z,1,REGULAR,freethrow,2 of 2,[],1629026,,,1610612760,10,20,2022-10-24T00:23:56Z,690000,,,0,,MISS K. Williams Free Throw 2 of 2,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
71,PT05M06.00S,2022-10-24T00:23:05.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,10,20,2022-10-24T00:23:56Z,700000,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,,
72,PT04M49.00S,2022-10-24T00:23:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,92.72339027595268,42.8921568627451,1610612750,10,22,2022-10-24T00:24:00Z,710000,-36.0,16.0,1,right,A. Edwards driving Layup (8 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,3.89,Made,8.0,,,,,,,,,,,,,,,,,
73,PT04M26.00S,2022-10-24T00:24:17.1Z,1,REGULAR,3pt,Jump Shot,[],1629026,31.750985545335087,63.23529411764706,1610612760,10,22,2022-10-24T00:24:23Z,720000,-66.0,246.0,1,left,MISS K. Williams 25' pullup 3PT,[1629026],1610612760.0,OKC,pullup,,,Williams,K. Williams,,,,,Above the Break 3,24+ Center,25.48,Missed,,,,,,,,,,,,,,,,,,
74,PT04M24.00S,2022-10-24T00:24:19.1Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,10,22,2022-10-24T00:24:23Z,730000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,
75,PT04M14.00S,2022-10-24T00:24:30.5Z,1,REGULAR,3pt,Jump Shot,[],1626156,70.77858081471747,24.019607843137255,1610612750,10,22,2022-10-24T00:24:38Z,740000,-130.0,222.0,1,right,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,25.74,Missed,,,,,,,,,,,,,,,,,,
76,PT04M08.00S,2022-10-24T00:24:36.5Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,10,22,2022-10-24T00:24:38Z,750000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,
77,PT04M03.00S,2022-10-24T00:24:40.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,27.677398160315374,20.833333333333336,1610612760,13,22,2022-10-24T00:24:47Z,760000,146.0,208.0,1,left,L. Dort 25' 3PT  (6 PTS) (J. Giddey 2 AST),"[1629652, 1630581]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.38,Made,6.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,,
79,PT03M48.00S,2022-10-24T00:24:57.0Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612750,13,22,2022-10-24T00:25:05Z,780000,,,0,,K. Towns bad pass out-of-bounds TURNOVER (1 TO),[1626157],1610612750.0,MIN,bad pass,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,,,2534.0,,,,
80,PT03M48.00S,2022-10-24T00:25:03.8Z,1,REGULAR,substitution,out,[],1629026,,,1610612760,13,22,2022-10-24T00:25:28Z,790000,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT03M48.00S,2022-10-24T00:25:03.8Z,1,REGULAR,substitution,out,[],1626156,,,1610612760,13,22,2022-10-24T00:25:28Z,800000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT03M48.00S,2022-10-24T00:25:03.8Z,1,REGULAR,substitution,in,[],1629647,,,1610612760,13,22,2022-10-24T00:25:28Z,810000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT03M48.00S,2022-10-24T00:25:03.8Z,1,REGULAR,substitution,in,[],1629162,,,1610612760,13,22,2022-10-24T00:25:28Z,820000,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT03M27.00S,2022-10-24T00:25:47.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630197,11.777266754270697,63.23529411764706,1610612760,13,22,2022-10-24T00:25:57Z,830000,-66.0,58.0,1,left,MISS A. Pokusevski 8' fadeaway Shot,[1630197],1610612760.0,OKC,fadeaway,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),8-16 Left,8.81,Missed,,,,,,,,,,,,,,,,,,
85,PT03M23.00S,2022-10-24T00:25:51.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,13,22,2022-10-24T00:25:57Z,840000,,,0,,A. Edwards REBOUND (Off:0 Def:3),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,84.0,3.0,3.0,0.0,,,,,,,,,,
86,PT03M20.00S,2022-10-24T00:26:00.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,13,22,2022-10-24T00:26:00Z,850000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT03M20.00S,2022-10-24T00:28:08.5Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,13,22,2022-10-24T00:28:23Z,860000,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
