actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
20,PT10M43.00S,2023-01-19T01:13:26.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630174,,,1610612754,4,1,2023-01-19T01:13:26Z,200000,False,,,0,,A. Nesmith Free Throw 2 of 2 (1 PTS),[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,Made,1.0,,,,,,,,,,,,,,,,
21,PT10M37.00S,2023-01-19T01:13:35.7Z,1,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612760,4,1,2023-01-19T01:13:41Z,210000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1629614, 1628983]",1610612754.0,IND,1627519.0,Nembhard,A. Nembhard,shooting,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
23,PT10M37.00S,2023-01-19T01:13:54.2Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,5,1,2023-01-19T01:13:54Z,230000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Made,3.0,,,,,,,,,,,,,,,,
24,PT10M37.00S,2023-01-19T01:14:06.6Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,6,1,2023-01-19T01:14:06Z,240000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (4 PTS),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Made,4.0,,,,,,,,,,,,,,,,
25,PT10M21.00S,2023-01-19T01:14:26.0Z,1,REGULAR,turnover,backcourt,[],1627741,,,1610612754,6,1,2023-01-19T01:14:33Z,250000,False,,,0,,B. Hield backcourt TURNOVER (1 TO),[1627741],1610612754.0,IND,203591.0,Hield,B. Hield,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,1.0,,,,
26,PT10M09.00S,2023-01-19T01:14:54.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629652,87.86136662286465,50.73529411764706,1610612760,8,1,2023-01-19T01:15:48Z,260000,False,4.0,62.0,1,right,L. Dort 6' driving floating Jump Shot (2 PTS),[1629652],1610612760.0,OKC,,Dort,L. Dort,driving floating,In The Paint (Non-RA),0-8 Center,6.17,Made,2.0,,,,,,,,,,,,,,,,
27,PT09M58.00S,2023-01-19T01:15:04.7Z,1,REGULAR,3pt,Jump Shot,[],1627741,22.552562417871222,88.48039215686273,1610612754,8,1,2023-01-19T01:15:12Z,270000,False,-192.0,159.0,1,left,MISS B. Hield 24' 3PT,[1627741],1610612754.0,IND,,Hield,B. Hield,,Above the Break 3,24+ Left Center,24.99,Missed,,,,,,,,,,,,,,,,,
28,PT09M56.00S,2023-01-19T01:15:06.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,8,1,2023-01-19T01:15:12Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,Above the Break 3,24+ Left Center,,,,,,,27.0,,,,,,,,,,,,
30,PT09M39.00S,2023-01-19T01:15:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,92.32917214191852,48.529411764705884,1610612760,10,1,2023-01-19T01:15:40Z,300000,False,-7.0,20.0,1,right,S. Gilgeous-Alexander driving Layup (6 PTS) (L. Dort 1 AST),"[1628983, 1629652]",1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,driving,Restricted Area,0-8 Center,2.1,Made,6.0,L. Dort,1629652.0,1.0,,,,,,,,,,,,,
32,PT09M39.00S,2023-01-19T01:15:38.9Z,1,REGULAR,foul,personal,['1freethrow'],1627741,,,1610612760,10,1,2023-01-19T01:15:49Z,320000,False,,,0,,B. Hield shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[1627741, 1628983]",1610612754.0,IND,203591.0,Hield,B. Hield,shooting,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
34,PT09M39.00S,2023-01-19T01:15:51.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,10,1,2023-01-19T01:18:51Z,340000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M39.00S,2023-01-19T01:18:40.2Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,11,1,2023-01-19T01:18:40Z,350000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 1 (7 PTS),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Made,7.0,,,,,,,,,,,,,,,,
36,PT09M30.00S,2023-01-19T01:18:49.9Z,1,REGULAR,turnover,bad pass,[],1626167,,,1610612754,11,1,2023-01-19T01:18:53Z,360000,False,,,0,,M. Turner bad pass TURNOVER (1 TO),"[1626167, 1628983]",1610612754.0,IND,,Turner,M. Turner,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,
37,PT09M30.00S,2023-01-19T01:18:49.9Z,1,REGULAR,steal,,[],1628983,,,1610612760,11,1,2023-01-19T01:18:51Z,370000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
38,PT09M23.00S,2023-01-19T01:18:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,75.1149802890933,86.02941176470588,1610612760,14,1,2023-01-19T01:19:01Z,380000,False,180.0,181.0,1,right,L. Dort 25' 3PT  (5 PTS) (K. Williams 1 AST),"[1629652, 1629026]",1610612760.0,OKC,,Dort,L. Dort,,Above the Break 3,24+ Right Center,25.56,Made,5.0,K. Williams,1629026.0,1.0,,,,,,,,,,,,,
40,PT09M03.00S,2023-01-19T01:19:16.9Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612754,14,1,2023-01-19T01:19:20Z,400000,False,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 1629026]",1610612754.0,IND,,Nesmith,A. Nesmith,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Williams,1629026.0,,
41,PT09M03.00S,2023-01-19T01:19:16.9Z,1,REGULAR,steal,,[],1629026,,,1610612760,14,1,2023-01-19T01:19:19Z,410000,False,,,0,,K. Williams STEAL (1 STL),[1629026],1610612760.0,OKC,,Williams,K. Williams,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
42,PT08M57.00S,2023-01-19T01:19:22.5Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,14,1,2023-01-19T01:19:25Z,420000,False,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1626167]",1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Turner,1626167.0,,
43,PT08M57.00S,2023-01-19T01:19:22.5Z,1,REGULAR,steal,,[],1626167,,,1610612754,14,1,2023-01-19T01:19:23Z,430000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,Turner,M. Turner,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
44,PT08M51.00S,2023-01-19T01:19:28.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631097,17.95335085413929,4.411764705882353,1610612754,14,1,2023-01-19T01:19:36Z,440000,False,228.0,116.0,1,left,MISS B. Mathurin 25' 3PT,[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,Above the Break 3,24+ Right Center,25.59,Missed,,,,,,,,,,,,,,,,,
45,PT08M47.00S,2023-01-19T01:19:32.3Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,14,1,2023-01-19T01:19:36Z,450000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,Dort,L. Dort,,Above the Break 3,24+ Right Center,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,
46,PT08M34.00S,2023-01-19T01:19:45.3Z,1,REGULAR,3pt,Jump Shot,[],1629026,68.15045992115637,25.245098039215684,1610612760,17,1,2023-01-19T01:19:50Z,460000,False,-124.0,247.0,1,right,K. Williams 27' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629026, 1628983]",1610612760.0,OKC,,Williams,K. Williams,,Above the Break 3,24+ Left Center,27.62,Made,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,
48,PT08M32.00S,2023-01-19T01:19:52.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,17,1,2023-01-19T01:19:52Z,480000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M32.00S,2023-01-19T01:19:54.2Z,1,REGULAR,substitution,out,[],1631097,,,1610612754,17,1,2023-01-19T01:22:23Z,490000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,
50,PT08M32.00S,2023-01-19T01:19:54.2Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,17,1,2023-01-19T01:22:23Z,500000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,
51,PT08M32.00S,2023-01-19T01:19:54.2Z,1,REGULAR,substitution,out,[],1630174,,,1610612754,17,1,2023-01-19T01:22:23Z,510000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,
52,PT08M32.00S,2023-01-19T01:19:54.2Z,1,REGULAR,substitution,in,[],1629052,,,1610612754,17,1,2023-01-19T01:22:23Z,520000,False,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,
53,PT08M32.00S,2023-01-19T01:19:54.2Z,1,REGULAR,substitution,in,[],1630537,,,1610612754,17,1,2023-01-19T01:22:23Z,530000,False,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,
54,PT08M32.00S,2023-01-19T01:19:54.2Z,1,REGULAR,substitution,in,[],204456,,,1610612754,17,1,2023-01-19T01:22:23Z,540000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,
55,PT08M12.00S,2023-01-19T01:22:58.5Z,1,REGULAR,3pt,Jump Shot,[],1627741,8.229303547963205,3.6764705882352944,1610612754,17,4,2023-01-19T01:23:02Z,550000,False,232.0,25.0,1,left,B. Hield 3PT  (3 PTS) (O. Brissett 1 AST),"[1627741, 1629052]",1610612754.0,IND,,Hield,B. Hield,,Right Corner 3,24+ Right,23.29,Made,3.0,O. Brissett,1629052.0,1.0,,,,,,,,,,,,,
57,PT07M56.00S,2023-01-19T01:23:15.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,69.59592641261499,70.83333333333334,1610612760,17,4,2023-01-19T01:24:44Z,570000,False,104.0,233.0,1,right,MISS L. Dort 25' step back 3PT,[1629652],1610612760.0,OKC,,Dort,L. Dort,step back,Above the Break 3,24+ Right Center,25.55,Missed,,,,,,,,,,,,,,,,,
58,PT07M52.00S,2023-01-19T01:23:19.0Z,1,REGULAR,rebound,offensive,[],1629026,,,1610612760,17,4,2023-01-19T01:25:41Z,580000,False,,,0,,K. Williams REBOUND (Off:1 Def:0),[1629026],1610612760.0,OKC,,Williams,K. Williams,,Above the Break 3,24+ Right Center,,,,,,,57.0,1.0,0.0,1.0,,,,,,,,,
59,PT07M52.00S,2023-01-19T01:23:19.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630581,94.43166885676742,30.14705882352941,1610612760,19,4,2023-01-19T01:25:12Z,590000,False,-99.0,0.0,1,right,J. Giddey 9' Jump Shot (2 PTS) (K. Williams 2 AST),"[1630581, 1629026]",1610612760.0,OKC,,Giddey,J. Giddey,,Mid-Range,8-16 Left,9.93,Made,2.0,K. Williams,1629026.0,2.0,,,,,,,,,,,,,
61,PT07M37.00S,2023-01-19T01:23:34.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630537,14.536793692509855,3.431372549019608,1610612754,19,4,2023-01-19T01:23:40Z,610000,False,233.0,84.0,1,left,MISS C. Duarte 24' 3PT,[1630537],1610612754.0,IND,,Duarte,C. Duarte,,Right Corner 3,24+ Right,24.75,Missed,,,,,,,,,,,,,,,,,
62,PT07M32.00S,2023-01-19T01:23:39.8Z,1,REGULAR,rebound,offensive,[],1629052,,,1610612754,19,4,2023-01-19T01:27:03Z,620000,False,,,0,,O. Brissett REBOUND (Off:1 Def:0),[1629052],1610612754.0,IND,,Brissett,O. Brissett,,Right Corner 3,24+ Right,,,,,,,61.0,1.0,0.0,1.0,,,,,,,,,
63,PT07M31.00S,2023-01-19T01:23:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630537,5.601182654402102,47.05882352941176,1610612754,19,6,2023-01-19T01:27:59Z,630000,False,15.0,0.0,1,left,C. Duarte cutting Layup (2 PTS) (O. Brissett 2 AST),"[1630537, 1629052]",1610612754.0,IND,,Duarte,C. Duarte,cutting,Restricted Area,0-8 Center,1.47,Made,2.0,O. Brissett,1629052.0,2.0,,,,,,,,,,,,,
65,PT07M22.00S,2023-01-19T01:23:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,91.27792378449409,94.36274509803921,1610612760,19,6,2023-01-19T01:23:53Z,650000,False,222.0,29.0,1,right,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,Dort,L. Dort,,Right Corner 3,24+ Right,22.38,Missed,,,,,,,,,,,,,,,,,
66,PT07M19.00S,2023-01-19T01:23:52.1Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,19,6,2023-01-19T01:23:52Z,660000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,Right Corner 3,24+ Right,,,,,,,65.0,1.0,0.0,1.0,,,,,,,,,
67,PT07M06.00S,2023-01-19T01:24:04.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630581,91.27792378449409,4.901960784313726,1610612760,19,6,2023-01-19T01:24:10Z,670000,False,-225.0,29.0,1,right,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,Left Corner 3,24+ Left,22.74,Missed,,,,,,,,,,,,,,,,,
68,PT07M02.00S,2023-01-19T01:24:08.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,19,6,2023-01-19T01:24:10Z,680000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,Hield,B. Hield,,Left Corner 3,24+ Left,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,
69,PT06M56.00S,2023-01-19T01:24:15.2Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612754,19,6,2023-01-19T01:24:19Z,690000,False,,,0,,B. Hield bad pass TURNOVER (2 TO),"[1627741, 1629652]",1610612754.0,IND,,Hield,B. Hield,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,2.0,Dort,1629652.0,,
70,PT06M56.00S,2023-01-19T01:24:15.2Z,1,REGULAR,steal,,[],1629652,,,1610612760,19,6,2023-01-19T01:24:17Z,700000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,Dort,L. Dort,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
71,PT06M51.00S,2023-01-19T01:24:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630581,93.9060446780552,46.81372549019608,1610612760,21,6,2023-01-19T01:24:25Z,710000,False,-16.0,5.0,1,right,J. Giddey Layup (4 PTS) (K. Williams 3 AST),"[1630581, 1629026]",1610612760.0,OKC,,Giddey,J. Giddey,,Restricted Area,0-8 Center,1.66,Made,4.0,K. Williams,1629026.0,3.0,,,,,,,,,,,,,
73,PT06M39.00S,2023-01-19T01:24:37.8Z,1,REGULAR,foul,personal,[],1629026,,,1610612754,21,6,2023-01-19T01:24:48Z,730000,False,,,0,,K. Williams personal FOUL (1 PF),"[1629026, 1627741]",1610612760.0,OKC,203591.0,Williams,K. Williams,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,0.0,Hield,1627741.0,,,,,
75,PT06M39.00S,2023-01-19T01:24:42.5Z,1,REGULAR,substitution,out,[],1629026,,,1610612754,21,6,2023-01-19T01:24:53Z,750000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,
76,PT06M39.00S,2023-01-19T01:24:42.5Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,21,6,2023-01-19T01:24:53Z,760000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,
77,PT06M39.00S,2023-01-19T01:24:42.5Z,1,REGULAR,substitution,in,[],1631119,,,1610612754,21,6,2023-01-19T01:24:53Z,770000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,
78,PT06M39.00S,2023-01-19T01:24:42.5Z,1,REGULAR,substitution,in,[],1630543,,,1610612754,21,6,2023-01-19T01:24:53Z,780000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,
79,PT06M30.00S,2023-01-19T01:25:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,14.668199737187912,40.44117647058824,1610612754,21,8,2023-01-19T01:25:12Z,790000,False,48.0,85.0,1,left,T. McConnell 9' turnaround Jump Shot (2 PTS),[204456],1610612754.0,IND,,McConnell,T. McConnell,turnaround,In The Paint (Non-RA),8-16 Center,9.79,Made,2.0,,,,,,,,,,,,,,,,
80,PT06M24.00S,2023-01-19T01:25:21.6Z,1,REGULAR,turnover,offensive-kicked-ball,[],1630581,,,1610612760,21,8,2023-01-19T01:25:36Z,800000,False,,,0,,J. Giddey offensive-kicked-ball TURNOVER (1 TO),[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,,,,
81,PT06M13.00S,2023-01-19T01:25:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630543,8.754927726675426,39.705882352941174,1610612754,21,8,2023-01-19T01:25:43Z,810000,False,51.0,30.0,1,left,MISS I. Jackson Layup,[1630543],1610612754.0,IND,,Jackson,I. Jackson,,In The Paint (Non-RA),0-8 Center,5.95,Missed,,,,,,,,,,,,,,,,,
82,PT06M08.00S,2023-01-19T01:25:43.4Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,21,8,2023-01-19T01:25:43Z,820000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,Williams,J. Williams,,In The Paint (Non-RA),0-8 Center,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,
83,PT05M54.00S,2023-01-19T01:25:56.3Z,1,REGULAR,3pt,Jump Shot,[],1630581,74.19513797634691,83.33333333333334,1610612760,21,8,2023-01-19T01:26:00Z,830000,False,167.0,190.0,1,right,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,Above the Break 3,24+ Right Center,25.28,Missed,,,,,,,,,,,,,,,,,
84,PT05M50.00S,2023-01-19T01:26:00.3Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,21,8,2023-01-19T01:26:00Z,840000,False,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,Duarte,C. Duarte,,Above the Break 3,24+ Right Center,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,
85,PT05M43.00S,2023-01-19T01:26:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,11.383048620236531,37.00980392156863,1610612754,21,8,2023-01-19T01:30:47Z,850000,False,65.0,55.0,1,left,MISS C. Duarte 8' driving Layup,[1630537],1610612754.0,IND,,Duarte,C. Duarte,driving,In The Paint (Non-RA),8-16 Right,8.48,Missed,,,,,,,,,,,,,,,,,
86,PT05M40.00S,2023-01-19T01:26:10.8Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,21,8,2023-01-19T01:26:13Z,860000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,In The Paint (Non-RA),8-16 Right,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,
87,PT05M30.00S,2023-01-19T01:26:20.7Z,1,REGULAR,3pt,Jump Shot,[],1631119,93.24901445466492,2.941176470588235,1610612760,24,8,2023-01-19T01:26:26Z,870000,False,-235.0,11.0,1,right,J. Williams 3PT  (3 PTS) (J. Giddey 3 AST),"[1631119, 1630581]",1610612760.0,OKC,,Williams,J. Williams,,Left Corner 3,24+ Left,23.56,Made,3.0,J. Giddey,1630581.0,3.0,,,,,,,,,,,,,
89,PT05M16.00S,2023-01-19T01:26:38.6Z,1,REGULAR,foul,personal,['2freethrow'],1631119,,,1610612754,24,8,2023-01-19T01:27:01Z,890000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Brissett 2 FT),"[1631119, 1629052]",1610612760.0,OKC,1627519.0,Williams,J. Williams,shooting,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Brissett,1629052.0,,,,,
