actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M38.00S,2022-11-02T00:11:56.1Z,1,REGULAR,block,,[],1629626,,,1610612760,2,2,2022-11-02T00:11:58Z,170000,,,0,,B. Bol BLOCK (1 BLK),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2022-11-02T00:11:56.1Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,2,2,2022-11-02T00:12:04Z,180000,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
19,PT10M29.00S,2022-11-02T00:12:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,95.3515111695138,58.333333333333336,1610612753,2,2,2022-11-02T00:12:11Z,190000,42.0,-9.0,1,right,MISS F. Wagner driving Layup - blocked,"[1630532, 1630526]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,4.26,Missed,,,,,,,,,,Robinson-Earl,1630526.0,,,,
32,PT10M29.00S,2022-11-02T00:12:05.3Z,1,REGULAR,block,,[],1630526,,,1610612753,2,2,2022-11-02T00:13:32Z,195000,,,0,,J. Robinson-Earl BLOCK (1 BLK),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2022-11-02T00:12:08.3Z,1,REGULAR,rebound,offensive,[],1629626,,,1610612753,2,2,2022-11-02T00:12:42Z,200000,,,0,,B. Bol REBOUND (Off:1 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,19.0,2.0,1.0,1.0,,,,,,
21,PT10M26.00S,2022-11-02T00:12:09.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629626,94.40999984741211,50.0,1610612753,2,4,2022-11-02T00:12:46Z,210000,0.0,0.0,1,right,B. Bol tip DUNK (2 PTS),[1629626],1610612753.0,ORL,tip,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,0.0,Made,2.0,,,,,,,,,,,,,,
22,PT10M06.00S,2022-11-02T00:12:27.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,7.440867279894875,65.19607843137256,1610612760,2,4,2022-11-02T00:13:17Z,220000,-76.0,17.0,1,left,MISS L. Dort 7' fadeaway Shot,[1629652],1610612760.0,OKC,fadeaway,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,7.8,Missed,,,,,,,,,,,,,,,
23,PT10M05.00S,2022-11-02T00:12:28.6Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,2,4,2022-11-02T00:12:31Z,230000,,,0,,B. Bol REBOUND (Off:1 Def:2),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,22.0,3.0,2.0,1.0,,,,,,
24,PT09M59.00S,2022-11-02T00:12:35.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629626,93.64323258869908,49.01960784313725,1610612753,2,6,2022-11-02T00:12:40Z,240000,-5.0,7.0,1,right,B. Bol running Layup (4 PTS),[1629626],1610612753.0,ORL,running,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,0.88,Made,4.0,,,,,,,,,,,,,,
25,PT09M43.00S,2022-11-02T00:12:50.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.652431011826544,43.13725490196079,1610612760,4,6,2022-11-02T00:12:54Z,250000,34.0,10.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,3.57,Made,2.0,,,,,,,,,,,,,,
26,PT09M27.00S,2022-11-02T00:13:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,88.38699080157687,44.6078431372549,1610612753,4,6,2022-11-02T00:13:11Z,260000,-27.0,57.0,1,right,MISS W. Carter Jr. 6' cutting Layup,[1628976],1610612753.0,ORL,cutting,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,6.28,Missed,,,,,,,,,,,,,,,
27,PT09M25.00S,2022-11-02T00:13:08.5Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,4,6,2022-11-02T00:13:11Z,270000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,
28,PT09M25.00S,2022-11-02T00:13:11.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,92.32917214191852,47.794117647058826,1610612753,4,8,2022-11-02T00:13:15Z,280000,-11.0,20.0,1,right,W. Carter Jr. putback Layup (4 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,2.25,Made,4.0,,,,,,,,,,,,,,
29,PT09M25.00S,2022-11-02T00:13:13.4Z,1,REGULAR,foul,personal,['1freethrow'],1630526,,,1610612753,4,8,2022-11-02T00:13:20Z,290000,,,0,,J. Robinson-Earl shooting personal FOUL (1 PF) (Carter Jr. 1 FT),"[1630526, 1628976]",1610612760.0,OKC,shooting,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626301.0,,,,,,,1.0,0.0,Carter Jr.,1628976.0
31,PT09M25.00S,2022-11-02T00:13:30.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,4,8,2022-11-02T00:15:56Z,310000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M25.00S,2022-11-02T00:16:23.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628976,,,1610612753,4,9,2022-11-02T00:16:23Z,320000,,,0,,W. Carter Jr. Free Throw 1 of 1 (5 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
34,PT09M05.00S,2022-11-02T00:16:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628983,7.966491458607096,49.01960784313725,1610612760,6,9,2022-11-02T00:17:13Z,330000,5.0,22.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (4 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,2.29,Made,4.0,,,,,,,,,,,,,,
35,PT09M05.00S,2022-11-02T00:16:51.4Z,1,REGULAR,violation,defensive goaltending,[],1629626,,,1610612760,6,9,2022-11-02T00:17:00Z,340000,,,0,,B. Bol defensive goaltending VIOLATION,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,1148.0,,,,,,,,,,
36,PT08M50.00S,2022-11-02T00:17:14.6Z,1,REGULAR,foul,personal,[],1629652,,,1610612753,6,9,2022-11-02T00:17:23Z,350000,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 1631094]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628953.0,,,,,,,1.0,0.0,Banchero,1631094.0
38,PT08M47.00S,2022-11-02T00:17:36.6Z,1,REGULAR,foul,personal,['2freethrow'],1630526,,,1610612753,6,9,2022-11-02T00:17:45Z,370000,,,0,,J. Robinson-Earl shooting personal FOUL (2 PF) (Carter Jr. 2 FT),"[1630526, 1628976]",1610612760.0,OKC,shooting,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,,,,,,1148.0,,,,,,,2.0,0.0,Carter Jr.,1628976.0
40,PT08M47.00S,2022-11-02T00:18:02.4Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,6,10,2022-11-02T00:18:02Z,390000,,,0,,W. Carter Jr. Free Throw 1 of 2 (6 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
41,PT08M47.00S,2022-11-02T00:18:16.5Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,6,11,2022-11-02T00:18:16Z,400000,,,0,,W. Carter Jr. Free Throw 2 of 2 (7 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
42,PT08M42.00S,2022-11-02T00:18:23.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,4.812746386333772,55.88235294117647,1610612760,8,11,2022-11-02T00:18:29Z,410000,-29.0,-7.0,1,left,L. Dort driving floating bank Jump Shot (2 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,driving floating bank,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,3.03,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,
44,PT08M29.00S,2022-11-02T00:18:37.1Z,1,REGULAR,foul,offensive,[],1628976,,,1610612753,8,11,2022-11-02T00:18:44Z,430000,,,0,,W. Carter Jr. offensive FOUL (1 PF),"[1628976, 1629652]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,1628953.0,,,,,,,1.0,0.0,Dort,1629652.0
46,PT08M29.00S,2022-11-02T00:18:37.1Z,1,REGULAR,turnover,offensive foul,[],1628976,,,1610612753,8,11,2022-11-02T00:18:37Z,450000,,,0,,W. Carter Jr. offensive foul TURNOVER (1 TO),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,1.0,,,,,,,,,1628953.0,,,,,,,,,,
47,PT08M17.00S,2022-11-02T00:19:02.5Z,1,REGULAR,foul,personal,['2freethrow'],1629626,,,1610612760,8,11,2022-11-02T00:19:07Z,460000,,,0,,B. Bol shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1629626, 1628983]",1610612753.0,ORL,shooting,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1148.0,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0
49,PT08M17.00S,2022-11-02T00:19:25.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628983,,,1610612760,9,11,2022-11-02T00:19:25Z,480000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (5 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
50,PT08M17.00S,2022-11-02T00:19:25.6Z,1,REGULAR,substitution,out,[],203082,,,1610612760,9,11,2022-11-02T00:19:36Z,490000,,,0,,SUB out: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M17.00S,2022-11-02T00:19:25.6Z,1,REGULAR,substitution,in,[],1631216,,,1610612760,9,11,2022-11-02T00:19:36Z,500000,,,0,,SUB in: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M17.00S,2022-11-02T00:19:38.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628983,,,1610612760,10,11,2022-11-02T00:19:38Z,510000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (6 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
53,PT08M03.00S,2022-11-02T00:19:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,82.47371879106439,44.36274509803921,1610612753,10,13,2022-11-02T00:20:27Z,520000,-28.0,112.0,1,right,P. Banchero 11' driving floating Jump Shot (2 PTS),[1631094],1610612753.0,ORL,driving floating,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,11.57,Made,2.0,,,,,,,,,,,,,,
54,PT07M49.00S,2022-11-02T00:20:08.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,8.886333771353483,58.08823529411765,1610612760,10,13,2022-11-02T00:20:13Z,530000,-40.0,31.0,1,left,MISS S. Gilgeous-Alexander pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,5.09,Missed,,,,,,,,,,,,,,,
55,PT07M45.00S,2022-11-02T00:20:12.2Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,10,13,2022-11-02T00:20:13Z,540000,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,
56,PT07M40.00S,2022-11-02T00:20:16.6Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,10,13,2022-11-02T00:20:20Z,550000,,,0,,P. Banchero lost ball TURNOVER (2 TO),"[1631094, 1628983]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,2.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,,,
57,PT07M40.00S,2022-11-02T00:20:16.6Z,1,REGULAR,steal,,[],1628983,,,1610612760,10,13,2022-11-02T00:20:18Z,560000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M36.00S,2022-11-02T00:20:20.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630526,5.075558475689881,49.50980392156863,1610612760,12,13,2022-11-02T00:20:26Z,570000,2.0,-5.0,1,left,J. Robinson-Earl running DUNK (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1630526, 1628983]",1610612760.0,OKC,running,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,0.54,Made,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,
60,PT07M25.00S,2022-11-02T00:20:31.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,89.56964520367937,51.225490196078425,1610612753,12,15,2022-11-02T00:20:36Z,590000,6.0,46.0,1,right,F. Wagner turnaround Hook (2 PTS),[1630532],1610612753.0,ORL,turnaround,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,4.59,Made,2.0,,,,,,,,,,,,,,
61,PT07M04.00S,2022-11-02T00:20:51.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,6.521024967148489,76.7156862745098,1610612760,14,15,2022-11-02T00:20:59Z,600000,-134.0,9.0,1,left,S. Gilgeous-Alexander 13' turnaround fadeaway Jump Shot (8 PTS),[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,13.39,Made,8.0,,,,,,,,,,,,,,
62,PT06M46.00S,2022-11-02T00:21:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,93.64323258869908,47.30392156862745,1610612753,14,17,2022-11-02T00:24:08Z,610000,-13.0,7.0,1,right,W. Carter Jr. driving reverse Layup (9 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,driving reverse,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,1.53,Made,9.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,
63,PT06M40.00S,2022-11-02T00:21:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,5.075558475689881,53.92156862745098,1610612760,16,17,2022-11-02T00:21:21Z,620000,-20.0,-5.0,1,left,J. Williams running Layup (4 PTS) (J. Giddey 2 AST),"[1631114, 1630581]",1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,2.02,Made,4.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,
65,PT06M40.00S,2022-11-02T00:21:21.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,16,17,2022-11-02T00:21:21Z,640000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M40.00S,2022-11-02T00:23:37.6Z,1,REGULAR,substitution,out,[],1630581,,,1610612753,16,17,2022-11-02T00:24:01Z,650000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M40.00S,2022-11-02T00:23:37.6Z,1,REGULAR,substitution,out,[],1630526,,,1610612753,16,17,2022-11-02T00:24:01Z,660000,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M40.00S,2022-11-02T00:23:37.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,16,17,2022-11-02T00:24:01Z,670000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M40.00S,2022-11-02T00:23:37.6Z,1,REGULAR,substitution,in,[],1629647,,,1610612753,16,17,2022-11-02T00:24:01Z,680000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M40.00S,2022-11-02T00:23:37.6Z,1,REGULAR,substitution,in,[],1630544,,,1610612753,16,17,2022-11-02T00:24:01Z,690000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M40.00S,2022-11-02T00:23:37.6Z,1,REGULAR,substitution,in,[],1630591,,,1610612753,16,17,2022-11-02T00:24:01Z,700000,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M34.00S,2022-11-02T00:24:19.7Z,1,REGULAR,turnover,out-of-bounds,[],1629626,,,1610612753,16,17,2022-11-02T00:24:26Z,710000,,,0,,B. Bol lost ball out-of-bounds TURNOVER (1 TO),[1629626],1610612753.0,ORL,lost ball,,,Bol,B. Bol,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,1626301.0,,,,,,,,,,
74,PT06M13.00S,2022-11-02T00:24:50.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,4.681340341655716,61.274509803921575,1610612760,16,17,2022-11-02T00:24:55Z,720000,-56.0,-8.0,1,left,MISS S. Gilgeous-Alexander driving Layup - blocked,"[1628983, 1629626]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,5.7,Missed,,,,,,,,,,Bol,1629626.0,,,,
75,PT06M13.00S,2022-11-02T00:24:50.1Z,1,REGULAR,block,,[],1629626,,,1610612760,16,17,2022-11-02T00:24:52Z,730000,,,0,,B. Bol BLOCK (2 BLK),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
76,PT06M13.00S,2022-11-02T00:24:50.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,16,17,2022-11-02T00:24:55Z,740000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,74.0,,,,,,,,,
78,PT06M10.00S,2022-11-02T00:25:09.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629652,15.062417871222076,96.32352941176471,1610612760,16,17,2022-11-02T00:25:16Z,760000,-232.0,89.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,,24.81,Missed,,,,,,,,,,,,,,,
79,PT06M10.00S,2022-11-02T00:25:09.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,16,17,2022-11-02T00:25:16Z,770000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,,78.0,,,,,,,,,
80,PT06M10.00S,2022-11-02T00:25:15.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612760,16,17,2022-11-02T00:25:22Z,780000,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628953.0,,,,,,,,,,
81,PT05M57.00S,2022-11-02T00:25:39.0Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612753,16,17,2022-11-02T00:25:46Z,790000,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Bol 2 FT),"[1628983, 1629626]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628953.0,,,,,,,1.0,0.0,Bol,1629626.0
83,PT05M57.00S,2022-11-02T00:26:01.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629626,,,1610612753,16,18,2022-11-02T00:26:01Z,810000,,,0,,B. Bol Free Throw 1 of 2 (5 PTS),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
