actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M58.00S,2024-03-21T00:13:05.9Z,1,REGULAR,block,,[],1631096,,,1610612762,4,2,2024-03-21T00:13:08Z,180000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M56.00S,2024-03-21T00:13:07.9Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,4,2,2024-03-21T00:13:10Z,190000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,
20,PT10M51.00S,2024-03-21T00:13:13.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630581,93.64323258869908,55.88235294117647,1610612760,4,2,2024-03-21T00:14:10Z,200000,False,29.0,7.0,1,right,MISS J. Giddey running Layup,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.03,,,,,,,,,,,,
21,PT10M50.00S,2024-03-21T00:13:14.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,4,2,2024-03-21T00:13:19Z,210000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,
22,PT10M44.00S,2024-03-21T00:13:20.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641718,21.76412614980289,9.068627450980392,1610612762,4,2,2024-03-21T00:14:44Z,220000,False,205.0,152.0,1,left,MISS K. George 25' running 3PT,[1641718],1610612762.0,UTA,running,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.5,,,,,,,,,,,,
23,PT10M42.00S,2024-03-21T00:13:22.5Z,1,REGULAR,rebound,offensive,[],1641707,,,1610612762,4,2,2024-03-21T00:13:29Z,230000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:0),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,22.0,1.0,0.0,1.0,,,
24,PT10M38.00S,2024-03-21T00:13:26.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641718,7.046649145860711,43.872549019607845,1610612762,4,2,2024-03-21T00:13:32Z,240000,False,31.0,14.0,1,left,MISS K. George driving Layup,[1641718],1610612762.0,UTA,driving,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.35,,,,,,,,,,,,
26,PT10M38.00S,2024-03-21T00:13:26.8Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,4,2,2024-03-21T00:13:32Z,260000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,24.0,2.0,2.0,0.0,,,
27,PT10M30.00S,2024-03-21T00:13:34.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1631114,92.9862023653088,48.77450980392157,1610612760,6,2,2024-03-21T00:16:04Z,270000,False,-6.0,13.0,1,right,J. Williams running DUNK (2 PTS) (J. Giddey 2 AST),"[1631114, 1630581]",1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.47,J. Giddey,1630581.0,2.0,,,,,,,,,
29,PT10M11.00S,2024-03-21T00:13:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641729,5.863994743758213,45.09803921568628,1610612762,6,4,2024-03-21T00:13:57Z,290000,False,25.0,3.0,1,left,B. Sensabaugh fadeaway Jump Shot (2 PTS) (K. Dunn 1 AST),"[1641729, 1627739]",1610612762.0,UTA,fadeaway,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.46,K. Dunn,1627739.0,1.0,,,,,,,,,
30,PT10M01.00S,2024-03-21T00:14:03.5Z,1,REGULAR,3pt,Jump Shot,[],1631096,70.25295663600527,22.30392156862745,1610612760,6,4,2024-03-21T00:14:07Z,300000,False,-138.0,227.0,1,right,MISS C. Holmgren 26' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.6,,,,,,,,,,,,
31,PT09M58.00S,2024-03-21T00:14:06.5Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,6,4,2024-03-21T00:14:07Z,310000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,
32,PT09M52.00S,2024-03-21T00:14:15.0Z,1,REGULAR,turnover,traveling,[],1628381,,,1610612762,6,4,2024-03-21T00:14:21Z,320000,False,,,0,,J. Collins traveling TURNOVER (1 TO),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,202056.0,,,,,,,,,,,,,,,,,1.0,,
34,PT09M29.00S,2024-03-21T00:14:51.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630581,87.20433639947439,39.46078431372549,1610612760,6,4,2024-03-21T00:17:35Z,330000,False,-53.0,68.0,1,right,MISS J. Giddey 8' driving floating Shot - blocked,"[1630581, 1641707]",1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,8.59,,,,Hendricks,1641707.0,,,,,,,
35,PT09M29.00S,2024-03-21T00:14:51.1Z,1,REGULAR,block,,[],1641707,,,1610612760,6,4,2024-03-21T00:14:55Z,340000,False,,,0,,T. Hendricks BLOCK (1 BLK),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
36,PT09M24.00S,2024-03-21T00:14:56.1Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,6,4,2024-03-21T00:14:57Z,350000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,34.0,1.0,0.0,1.0,,,
37,PT09M23.00S,2024-03-21T00:14:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630581,93.77463863337714,46.07843137254902,1610612760,8,4,2024-03-21T00:17:47Z,360000,False,-20.0,6.0,1,right,J. Giddey putback Layup (2 PTS),[1630581],1610612760.0,OKC,putback,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.05,,,,,,,,,,,,
38,PT09M13.00S,2024-03-21T00:15:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641729,5.732588699080158,39.705882352941174,1610612762,8,4,2024-03-21T00:15:10Z,370000,False,51.0,1.0,1,left,MISS B. Sensabaugh cutting Layup,[1641729],1610612762.0,UTA,cutting,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.15,,,,,,,,,,,,
39,PT09M11.00S,2024-03-21T00:15:07.9Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,8,4,2024-03-21T00:15:10Z,380000,False,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,38.0,2.0,1.0,1.0,,,
40,PT09M07.00S,2024-03-21T00:15:11.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,75.50919842312747,9.803921568627452,1610612760,11,4,2024-03-21T00:18:40Z,390000,False,-201.0,178.0,1,right,L. Dort 26' 3PT running (5 PTS) (J. Giddey 3 AST),"[1629652, 1630581]",1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,26.83,J. Giddey,1630581.0,3.0,,,,,,,,,
42,PT08M52.00S,2024-03-21T00:15:26.7Z,1,REGULAR,3pt,Jump Shot,[],1627739,32.802233902759525,43.13725490196079,1610612762,11,4,2024-03-21T00:15:32Z,410000,False,34.0,256.0,1,left,MISS K. Dunn 25' pullup 3PT,[1627739],1610612762.0,UTA,pullup,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Center,,,,,,Missed,,25.81,,,,,,,,,,,,
43,PT08M50.00S,2024-03-21T00:15:28.7Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,11,4,2024-03-21T00:15:32Z,420000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:3),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,42.0,3.0,3.0,0.0,,,
44,PT08M44.00S,2024-03-21T00:15:35.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630581,92.9862023653088,55.88235294117647,1610612760,11,4,2024-03-21T00:27:57Z,430000,False,29.0,13.0,1,right,MISS J. Giddey running Layup,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.23,,,,,,,,,,,,
45,PT08M42.00S,2024-03-21T00:15:37.0Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,11,4,2024-03-21T00:15:38Z,440000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:1),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,
46,PT08M26.00S,2024-03-21T00:15:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,9.017739816031538,53.67647058823529,1610612762,11,6,2024-03-21T00:28:12Z,450000,False,-18.0,32.0,1,left,K. Dunn driving floating Jump Shot (2 PTS),[1627739],1610612762.0,UTA,driving floating,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.72,,,,,,,,,,,,
47,PT08M16.00S,2024-03-21T00:16:06.0Z,1,REGULAR,foul,personal,['2freethrow'],1641707,,,1610612760,11,6,2024-03-21T00:16:11Z,460000,False,,,0,,T. Hendricks shooting personal FOUL (1 PF) (Holmgren 2 FT),"[1641707, 1631096]",1610612762.0,UTA,shooting,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,202056.0,1.0,0.0,Holmgren,1631096.0,,,,,,,,,,,,,,,
49,PT08M16.00S,2024-03-21T00:16:31.1Z,1,REGULAR,freethrow,1 of 2,[],1631096,,,1610612760,12,6,2024-03-21T00:16:31Z,480000,False,,,0,,C. Holmgren Free Throw 1 of 2 (3 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
50,PT08M16.00S,2024-03-21T00:16:51.1Z,1,REGULAR,freethrow,2 of 2,[],1631096,,,1610612760,13,6,2024-03-21T00:16:51Z,490000,False,,,0,,C. Holmgren Free Throw 2 of 2 (4 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
51,PT08M04.00S,2024-03-21T00:17:07.0Z,1,REGULAR,foul,personal,[],1629652,,,1610612762,13,6,2024-03-21T00:17:15Z,500000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 1641718]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Right Center,1627541.0,1.0,0.0,George,1641718.0,,,,,,,,,,,,,,,
53,PT07M57.00S,2024-03-21T00:17:33.3Z,1,REGULAR,2pt,Jump Shot,[],1641718,24.917871222076215,75.0,1610612762,13,8,2024-03-21T00:17:37Z,520000,False,-125.0,182.0,1,left,K. George 22' pullup Jump Shot (2 PTS),[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,16-24 Left Center,,,,,,Made,2.0,22.05,,,,,,,,,,,,
54,PT07M43.00S,2024-03-21T00:17:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,92.06636005256242,55.88235294117647,1610612760,15,8,2024-03-21T00:17:51Z,530000,False,29.0,22.0,1,right,C. Holmgren cutting Layup (6 PTS) (S. Gilgeous-Alexander 1 AST),"[1631096, 1628983]",1610612760.0,OKC,cutting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,3.68,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,
56,PT07M37.00S,2024-03-21T00:17:52.3Z,1,REGULAR,turnover,lost ball,[],1641729,,,1610612762,15,8,2024-03-21T00:17:59Z,550000,False,,,0,,B. Sensabaugh lost ball TURNOVER (1 TO),"[1641729, 1628983]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0
57,PT07M37.00S,2024-03-21T00:17:52.3Z,1,REGULAR,steal,,[],1628983,,,1610612760,15,8,2024-03-21T00:19:53Z,560000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M31.00S,2024-03-21T00:17:59.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629652,70.38436268068331,77.69607843137256,1610612760,15,8,2024-03-21T00:35:48Z,570000,False,138.0,226.0,1,right,MISS L. Dort 26' running pullup 3PT,[1629652],1610612760.0,OKC,running pullup,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.5,,,,,,,,,,,,
59,PT07M28.00S,2024-03-21T00:18:01.5Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,15,8,2024-03-21T00:18:01Z,580000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,58.0,2.0,2.0,0.0,,,
60,PT07M22.00S,2024-03-21T00:18:07.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641718,26.62614980289093,19.852941176470587,1610612762,15,8,2024-03-21T00:36:04Z,590000,False,151.0,198.0,1,left,MISS K. George 24' running pullup 3PT,[1641718],1610612762.0,UTA,running pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,24.87,,,,,,,,,,,,
61,PT07M20.00S,2024-03-21T00:18:09.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,15,8,2024-03-21T00:18:12Z,600000,False,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,60.0,3.0,2.0,1.0,,,
62,PT07M14.00S,2024-03-21T00:18:16.1Z,1,REGULAR,turnover,lost ball,[],1631114,,,1610612760,15,8,2024-03-21T00:18:20Z,610000,False,,,0,,J. Williams lost ball TURNOVER (1 TO),"[1631114, 1628381]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Collins,1628381.0
63,PT07M14.00S,2024-03-21T00:18:16.1Z,1,REGULAR,steal,,[],1628381,,,1610612762,15,8,2024-03-21T00:18:18Z,620000,False,,,0,,J. Collins STEAL (1 STL),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M57.00S,2024-03-21T00:18:33.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641729,9.674770039421814,94.36274509803921,1610612762,15,8,2024-03-21T00:18:40Z,630000,False,-222.0,38.0,1,left,MISS B. Sensabaugh 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Left Corner 3,24+ Left,,,,,,Missed,,22.51,,,,,,,,,,,,
65,PT06M54.00S,2024-03-21T00:18:36.2Z,1,REGULAR,rebound,offensive,[],1641707,,,1610612762,15,8,2024-03-21T00:18:40Z,640000,False,,,0,,T. Hendricks REBOUND (Off:2 Def:0),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,64.0,2.0,0.0,2.0,,,
66,PT06M53.00S,2024-03-21T00:18:37.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641718,29.6484888304862,77.94117647058823,1610612762,15,8,2024-03-21T00:18:42Z,650000,False,-140.0,226.0,1,left,MISS K. George 26' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.59,,,,,,,,,,,,
67,PT06M53.00S,2024-03-21T00:18:37.4Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,15,8,2024-03-21T00:18:42Z,660000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:4),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,66.0,4.0,4.0,0.0,,,
68,PT06M46.00S,2024-03-21T00:18:53.7Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612760,15,8,2024-03-21T00:21:44Z,670000,False,,,0,,J. Collins shooting personal FOUL (1 PF) (Holmgren 2 FT),"[1628381, 1631096]",1610612762.0,UTA,shooting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1627541.0,1.0,0.0,Holmgren,1631096.0,,,,,,,,,,,,,,,
70,PT06M46.00S,2024-03-21T00:19:01.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,15,8,2024-03-21T00:19:01Z,690000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M46.00S,2024-03-21T00:21:13.6Z,1,REGULAR,substitution,out,[],1641729,,,1610612760,15,8,2024-03-21T00:21:41Z,700000,False,,,0,,SUB out: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M46.00S,2024-03-21T00:21:13.6Z,1,REGULAR,substitution,in,[],1629012,,,1610612760,15,8,2024-03-21T00:21:41Z,710000,False,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M46.00S,2024-03-21T00:22:04.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631096,,,1610612760,16,8,2024-03-21T00:22:31Z,720000,False,,,0,,C. Holmgren Free Throw 1 of 2 (7 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
74,PT06M46.00S,2024-03-21T00:22:04.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631096,,,1610612760,16,8,2024-03-21T00:22:31Z,730000,False,,,0,,MISS C. Holmgren Free Throw 2 of 2,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
75,PT06M43.00S,2024-03-21T00:22:07.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,16,8,2024-03-21T00:22:31Z,740000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,74.0,2.0,2.0,0.0,,,
76,PT06M32.00S,2024-03-21T00:22:34.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,7.046649145860711,36.51960784313725,1610612762,16,8,2024-03-21T00:23:13Z,750000,False,67.0,14.0,1,left,MISS J. Collins 6' driving Layup,[1628381],1610612762.0,UTA,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.88,,,,,,,,,,,,
77,PT06M30.00S,2024-03-21T00:22:36.5Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,16,8,2024-03-21T00:22:38Z,760000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:5),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,76.0,5.0,5.0,0.0,,,
78,PT06M23.00S,2024-03-21T00:22:43.0Z,1,REGULAR,2pt,Jump Shot,[],1628983,79.45137976346912,74.01960784313727,1610612760,16,8,2024-03-21T00:22:49Z,770000,False,120.0,141.0,1,right,MISS S. Gilgeous-Alexander 18' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,18.5,,,,,,,,,,,,
79,PT06M20.00S,2024-03-21T00:22:46.3Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,16,8,2024-03-21T00:22:46Z,780000,False,,,0,,L. Dort REBOUND (Off:1 Def:0),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,78.0,1.0,0.0,1.0,,,
80,PT06M12.00S,2024-03-21T00:22:54.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631096,91.14651773981603,47.549019607843135,1610612760,18,8,2024-03-21T00:22:58Z,790000,False,-12.0,31.0,1,right,C. Holmgren cutting Layup (9 PTS) (S. Gilgeous-Alexander 2 AST),"[1631096, 1628983]",1610612760.0,OKC,cutting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,Made,9.0,3.31,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,
