actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,jumpBallRecoverdPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
67,PT06M50.00S,2024-04-14T19:51:30.4Z,1,REGULAR,substitution,in,[],1630314,,,1610612760,15,4,2024-04-14T19:51:54Z,660000,False,,,0,,SUB in: B. Williams,[1630314],1610612742.0,DAL,,,,,,,,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,
68,PT06M50.00S,2024-04-14T19:51:30.4Z,1,REGULAR,substitution,in,[],202693,,,1610612760,15,4,2024-04-14T19:51:54Z,670000,False,,,0,,SUB in: M. Morris,[202693],1610612742.0,DAL,,,,,,,,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,
69,PT06M39.00S,2024-04-14T19:52:22.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631114,20.71287779237845,37.00980392156863,1610612760,17,4,2024-04-14T19:52:25Z,680000,False,65.0,142.0,1,left,J. Williams 15' pullup Jump Shot (2 PTS),[1631114],1610612760.0,OKC,pullup,,,,,,Mid-Range,8-16 Center,15.64,Made,Williams,J. Williams,,,,,,2.0,,,,,,,,,,,,,
70,PT06M13.00S,2024-04-14T19:52:48.0Z,1,REGULAR,3pt,Jump Shot,[],1641765,98.11103810775296,3.431372549019608,1610612742,17,7,2024-04-14T19:52:52Z,690000,False,-233.0,-35.0,1,right,O. Prosper 3PT  (7 PTS) (T. Hardaway Jr. 1 AST),"[1641765, 203501]",1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,23.54,Made,Prosper,O. Prosper,,,,,,7.0,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,
72,PT06M02.00S,2024-04-14T19:52:58.3Z,1,REGULAR,3pt,Jump Shot,[],1631096,29.6484888304862,20.833333333333336,1610612760,17,7,2024-04-14T19:53:02Z,710000,False,146.0,226.0,1,left,MISS C. Holmgren 26' 3PT,[1631096],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,26.91,Missed,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,
73,PT06M00.00S,2024-04-14T19:53:00.3Z,1,REGULAR,rebound,defensive,[],1630314,,,1610612742,17,7,2024-04-14T19:53:02Z,720000,False,,,0,,B. Williams REBOUND (Off:0 Def:1),[1630314],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,,,Williams,B. Williams,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
74,PT05M54.00S,2024-04-14T19:53:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630314,93.38042049934296,52.20588235294118,1610612742,17,9,2024-04-14T19:53:11Z,730000,False,11.0,10.0,1,right,B. Williams running reverse Layup (2 PTS),[1630314],1610612742.0,DAL,running reverse,,,,,,Restricted Area,0-8 Center,1.47,Made,Williams,B. Williams,,,,,,2.0,,,,,,,,,,,,,
75,PT05M46.00S,2024-04-14T19:53:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,4.812746386333772,49.754901960784316,1610612760,19,9,2024-04-14T19:53:17Z,740000,False,1.0,-7.0,1,left,C. Holmgren cutting Layup (8 PTS) (J. Giddey 2 AST),"[1631096, 1630581]",1610612760.0,OKC,cutting,,,,,,Restricted Area,0-8 Center,0.74,Made,Holmgren,C. Holmgren,,,,,,8.0,J. Giddey,1630581.0,2.0,,,,,,,,,,
77,PT05M27.00S,2024-04-14T19:53:36.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641765,93.9060446780552,50.0,1610612742,19,11,2024-04-14T19:53:40Z,760000,False,0.0,5.0,1,right,O. Prosper driving DUNK (9 PTS) (M. Morris 1 AST),"[1641765, 202693]",1610612742.0,DAL,driving,,,,,,Restricted Area,0-8 Center,0.48,Made,Prosper,O. Prosper,,,,,,9.0,M. Morris,202693.0,1.0,,,,,,,,,,
79,PT05M27.00S,2024-04-14T19:53:38.3Z,1,REGULAR,foul,personal,['1freethrow'],1631096,,,1610612742,19,11,2024-04-14T19:53:54Z,780000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Prosper 1 FT),"[1631096, 1641765]",1610612760.0,OKC,shooting,,,,,,Restricted Area,0-8 Center,,,Holmgren,C. Holmgren,,,,,,,,,,1627541.0,1.0,0.0,Prosper,1641765.0,,,,,
81,PT05M27.00S,2024-04-14T19:53:50.9Z,1,REGULAR,substitution,out,[],1628983,,,1610612742,19,11,2024-04-14T19:53:53Z,800000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,,,,,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,
82,PT05M27.00S,2024-04-14T19:53:50.9Z,1,REGULAR,substitution,in,[],202330,,,1610612742,19,11,2024-04-14T19:53:53Z,810000,False,,,0,,SUB in: G. Hayward,[202330],1610612760.0,OKC,,,,,,,,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,
83,PT05M27.00S,2024-04-14T19:54:08.5Z,1,REGULAR,freethrow,1 of 1,[],1641765,,,1610612742,19,11,2024-04-14T19:54:11Z,820000,False,,,0,,MISS O. Prosper Free Throw 1 of 1,[1641765],1610612742.0,DAL,,,,,,,,,,Missed,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,
84,PT05M26.00S,2024-04-14T19:54:09.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,19,11,2024-04-14T19:54:11Z,830000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,
86,PT05M24.00S,2024-04-14T19:54:28.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203501,97.58541392904073,3.9215686274509802,1610612742,19,11,2024-04-14T19:54:33Z,850000,False,-230.0,-30.0,1,right,MISS T. Hardaway Jr. 3PT,[203501],1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,23.23,Missed,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,
87,PT05M21.00S,2024-04-14T19:54:31.7Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,19,11,2024-04-14T19:54:33Z,860000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:3),[1631096],1610612760.0,OKC,,,,,,,Left Corner 3,24+ Left,,,Holmgren,C. Holmgren,86.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
