actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
52,PT10M58.00S,2024-02-23T01:11:43.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629611,7.966491458607096,49.26470588235294,1610612746,4,0,2024-02-23T02:07:13Z,145000,False,4.0,22.0,1,left,MISS T. Mann running Layup - blocked,"[1629611, 1631096]",1610612746.0,LAC,running,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,Holmgren,1631096.0,,,,,,,,
53,PT10M58.00S,2024-02-23T01:11:43.0Z,1,REGULAR,block,,[],1631096,,,1610612746,4,0,2024-02-23T01:19:37Z,147500,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT10M57.00S,2024-02-23T01:11:44.0Z,1,REGULAR,rebound,offensive,[],201935,,,1610612746,4,0,2024-02-23T02:07:13Z,148750,False,,,0,,J. Harden REBOUND (Off:1 Def:0),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,,,52.0,1.0,0.0,1.0,,,,,,,,,,
15,PT10M56.00S,2024-02-23T01:11:46.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', '2ndchance']",201935,7.30946123521682,50.0,1610612746,4,2,2024-02-23T02:07:35Z,150000,False,0.0,16.0,1,left,J. Harden tip Layup (2 PTS),[201935],1610612746.0,LAC,tip,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,1.62,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2024-02-23T01:12:21.8Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,4,2,2024-02-23T01:12:28Z,180000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 202331]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left,,,,1.0,George,202331.0,,,,,,,,,,,,,,
19,PT10M44.00S,2024-02-23T01:12:21.8Z,1,REGULAR,steal,,[],202331,,,1610612746,4,2,2024-02-23T01:12:23Z,190000,False,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
20,PT10M39.00S,2024-02-23T01:12:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202331,4.944152431011826,44.36274509803921,1610612746,4,2,2024-02-23T01:19:01Z,200000,False,28.0,-6.0,1,left,MISS P. George running Layup - blocked,"[202331, 1631096]",1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,2.88,Missed,,,,,,,,,Holmgren,1631096.0,,,,,,,,
21,PT10M39.00S,2024-02-23T01:12:26.6Z,1,REGULAR,block,,[],1631096,,,1610612746,4,2,2024-02-23T01:12:29Z,210000,False,,,0,,C. Holmgren BLOCK (2 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M36.00S,2024-02-23T01:12:29.6Z,1,REGULAR,rebound,offensive,[],202331,,,1610612746,4,2,2024-02-23T01:16:24Z,220000,False,,,0,,P. George REBOUND (Off:1 Def:0),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,
24,PT10M29.00S,2024-02-23T01:12:53.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201935,32.276609724047304,35.294117647058826,1610612746,4,2,2024-02-23T01:12:58Z,240000,False,74.0,251.0,1,left,MISS J. Harden 26' pullup 3PT,[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,26.14,Missed,,,,,,,,,,,,,,,,,,
25,PT10M25.00S,2024-02-23T01:12:57.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,4,2,2024-02-23T01:12:58Z,250000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,
26,PT10M18.00S,2024-02-23T01:13:04.1Z,1,REGULAR,3pt,Jump Shot,[],1631096,90.48948751642575,2.941176470588235,1610612760,7,2,2024-02-23T01:13:08Z,260000,False,-235.0,37.0,1,right,C. Holmgren 3PT  (3 PTS) (L. Dort 1 AST),"[1631096, 1629652]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Left Corner 3,24+ Left,23.82,Made,3.0,,,,,,,,,,L. Dort,1629652.0,1.0,,,,,
28,PT09M58.00S,2024-02-23T01:13:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,8.623521681997373,59.80392156862745,1610612746,7,4,2024-02-23T01:13:30Z,280000,False,-49.0,29.0,1,left,J. Harden driving floating Jump Shot (4 PTS),[201935],1610612746.0,LAC,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,5.67,Made,4.0,,,,,,,,,,,,,,,,,
29,PT09M44.00S,2024-02-23T01:13:38.5Z,1,REGULAR,3pt,Jump Shot,[],1630581,66.5735873850197,45.83333333333333,1610612760,7,4,2024-02-23T01:13:42Z,290000,False,-21.0,262.0,1,right,MISS J. Giddey 26' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,26.25,Missed,,,,,,,,,,,,,,,,,,
30,PT09M40.00S,2024-02-23T01:13:42.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,7,4,2024-02-23T01:13:42Z,300000,False,,,0,,P. George REBOUND (Off:1 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,
31,PT09M32.00S,2024-02-23T01:13:49.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,6.389618922470433,37.745098039215684,1610612746,7,6,2024-02-23T01:13:53Z,310000,False,61.0,8.0,1,left,I. Zubac 6' Hook (2 PTS) (P. George 1 AST),"[1627826, 202331]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,6.18,Made,2.0,,,,,,,,,,P. George,202331.0,1.0,,,,,
33,PT09M24.00S,2024-02-23T01:13:57.1Z,1,REGULAR,3pt,Jump Shot,[],1631096,77.87450722733246,8.333333333333332,1610612760,10,6,2024-02-23T01:14:01Z,330000,False,-208.0,155.0,1,right,C. Holmgren 25' 3PT  (6 PTS) (J. Giddey 1 AST),"[1631096, 1630581]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,25.99,Made,6.0,,,,,,,,,,J. Giddey,1630581.0,1.0,,,,,
35,PT09M16.00S,2024-02-23T01:14:07.9Z,1,REGULAR,foul,personal,[],1629652,,,1610612746,10,6,2024-02-23T01:14:17Z,350000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 201935]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Harden,201935.0
37,PT09M05.00S,2024-02-23T01:14:40.0Z,1,REGULAR,3pt,Jump Shot,[],1629611,9.149145860709593,3.9215686274509802,1610612746,10,9,2024-02-23T01:14:44Z,370000,False,230.0,34.0,1,left,T. Mann 3PT  (3 PTS) (J. Harden 1 AST),"[1629611, 201935]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,23.28,Made,3.0,,,,,,,,,,J. Harden,201935.0,1.0,,,,,
39,PT08M50.00S,2024-02-23T01:14:53.6Z,1,REGULAR,3pt,Jump Shot,[],1629652,90.88370565045992,3.9215686274509802,1610612760,13,9,2024-02-23T01:14:57Z,390000,False,-230.0,33.0,1,right,L. Dort 3PT  (5 PTS) (J. Williams 1 AST),"[1629652, 1631114]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,23.28,Made,5.0,,,,,,,,,,J. Williams,1631114.0,1.0,,,,,
41,PT08M33.00S,2024-02-23T01:15:14.2Z,1,REGULAR,turnover,out-of-bounds,[],202695,,,1610612746,13,9,2024-02-23T01:15:21Z,410000,False,,,0,,K. Leonard step out-of-bounds TURNOVER (1 TO),[202695],1610612746.0,LAC,step,,,Leonard,K. Leonard,,,,,Left Corner 3,24+ Left,,,,1.0,,,,,,,,,,,,2002.0,,,,
42,PT08M13.00S,2024-02-23T01:15:42.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628983,68.67608409986859,73.0392156862745,1610612760,13,9,2024-02-23T01:15:47Z,420000,False,115.0,242.0,1,right,MISS S. Gilgeous-Alexander 26' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,26.79,Missed,,,,,,,,,,,,,,,,,,
43,PT08M10.00S,2024-02-23T01:15:45.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,13,9,2024-02-23T01:15:47Z,430000,False,,,0,,J. Harden REBOUND (Off:1 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,
44,PT08M02.00S,2024-02-23T01:15:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,19.267411300919843,63.725490196078425,1610612746,13,9,2024-02-23T01:16:01Z,440000,False,-69.0,129.0,1,left,MISS J. Harden 14' floating Shot,[201935],1610612746.0,LAC,floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,14.58,Missed,,,,,,,,,,,,,,,,,,
45,PT07M58.00S,2024-02-23T01:15:57.5Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,13,9,2024-02-23T01:16:01Z,450000,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,44.0,1.0,0.0,1.0,,,,,,,,,,
46,PT07M57.00S,2024-02-23T01:15:57.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,5.863994743758213,49.50980392156863,1610612746,13,11,2024-02-23T01:16:07Z,460000,False,2.0,3.0,1,left,I. Zubac putback Layup (4 PTS),[1627826],1610612746.0,LAC,putback,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,0.36,Made,4.0,,,,,,,,,,,,,,,,,
47,PT07M45.00S,2024-02-23T01:16:13.2Z,1,REGULAR,turnover,traveling,[],1630581,,,1610612760,13,11,2024-02-23T01:16:18Z,470000,False,,,0,,J. Giddey traveling TURNOVER (2 TO),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,,2.0,,,,,,,,,,,,1627962.0,,,,
48,PT07M24.00S,2024-02-23T01:16:49.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202331,17.559132720105126,47.794117647058826,1610612746,13,13,2024-02-23T01:16:58Z,480000,False,11.0,113.0,1,left,P. George 11' turnaround fadeaway Jump Shot (2 PTS) (T. Mann 1 AST),"[202331, 1629611]",1610612746.0,LAC,turnaround fadeaway,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,11.31,Made,2.0,,,,,,,,,,T. Mann,1629611.0,1.0,,,,,
50,PT07M04.00S,2024-02-23T01:17:08.4Z,1,REGULAR,3pt,Jump Shot,[],1628983,71.43561103810775,78.18627450980392,1610612760,16,13,2024-02-23T01:17:12Z,500000,False,141.0,216.0,1,right,S. Gilgeous-Alexander 25' 3PT step back (3 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,25.79,Made,3.0,,,,,,,,,,,,,,,,,
51,PT07M03.00S,2024-02-23T01:17:13.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,16,13,2024-02-23T01:17:13Z,510000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M03.00S,2024-02-23T01:19:46.9Z,1,REGULAR,substitution,out,[],201935,,,1610612746,16,13,2024-02-23T01:20:01Z,520000,False,,,0,,SUB out: J. Harden,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M03.00S,2024-02-23T01:19:46.9Z,1,REGULAR,substitution,in,[],201566,,,1610612746,16,13,2024-02-23T01:20:01Z,530000,False,,,0,,SUB in: R. Westbrook,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M36.00S,2024-02-23T01:20:39.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,6.1268068331143235,46.07843137254902,1610612746,16,15,2024-02-23T01:23:35Z,540000,False,20.0,5.0,1,left,I. Zubac turnaround bank Hook (6 PTS) (R. Westbrook 1 AST),"[1627826, 201566]",1610612746.0,LAC,turnaround bank,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.03,Made,6.0,,,,,,,,,,R. Westbrook,201566.0,1.0,,,,,
59,PT06M23.00S,2024-02-23T01:20:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,92.32917214191852,39.46078431372549,1610612760,16,15,2024-02-23T01:24:28Z,560000,False,-53.0,20.0,1,right,MISS J. Williams driving floating Shot,[1631114],1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.62,Missed,,,,,,,,,,,,,,,,,,
60,PT06M21.00S,2024-02-23T01:20:54.7Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,16,15,2024-02-23T01:20:58Z,570000,False,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,
61,PT06M12.00S,2024-02-23T01:21:04.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,5.206964520367937,51.470588235294116,1610612746,16,17,2024-02-23T01:26:29Z,580000,False,-7.0,-4.0,1,left,P. George driving floating bank Jump Shot (4 PTS),[202331],1610612746.0,LAC,driving floating bank,,,George,P. George,,,,,Restricted Area,0-8 Center,0.82,Made,4.0,,,,,,,,,,,,,,,,,
62,PT05M50.00S,2024-02-23T01:21:26.0Z,1,REGULAR,turnover,lost ball,[],1631096,,,1610612760,16,17,2024-02-23T01:21:29Z,590000,False,,,0,,C. Holmgren lost ball TURNOVER (1 TO),"[1631096, 201566]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,Westbrook,201566.0,,,,,,,,,,,,,,
63,PT05M50.00S,2024-02-23T01:21:26.0Z,1,REGULAR,steal,,[],201566,,,1610612746,16,17,2024-02-23T01:21:27Z,600000,False,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
64,PT05M46.00S,2024-02-23T01:21:35.7Z,1,REGULAR,foul,personal,[],1631114,,,1610612746,16,17,2024-02-23T01:21:41Z,610000,False,,,0,,J. Williams personal FOUL (1 PF),"[1631114, 202695]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Leonard,202695.0
66,PT05M46.00S,2024-02-23T01:21:40.5Z,1,REGULAR,substitution,out,[],1629652,,,1610612746,16,17,2024-02-23T01:21:45Z,630000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M46.00S,2024-02-23T01:21:40.5Z,1,REGULAR,substitution,in,[],1641717,,,1610612746,16,17,2024-02-23T01:21:45Z,640000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M40.00S,2024-02-23T01:22:00.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202695,20.318659658344284,41.42156862745098,1610612746,16,19,2024-02-23T01:22:05Z,650000,False,43.0,138.0,1,left,K. Leonard 14' pullup Jump Shot (2 PTS) (R. Westbrook 2 AST),"[202695, 201566]",1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,14.5,Made,2.0,,,,,,,,,,R. Westbrook,201566.0,2.0,,,,,
70,PT05M28.00S,2024-02-23T01:22:11.7Z,1,REGULAR,3pt,Jump Shot,[],1630581,66.44218134034165,49.26470588235294,1610612760,16,19,2024-02-23T01:22:16Z,670000,False,-4.0,263.0,1,right,MISS J. Giddey 26' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,,
71,PT05M25.00S,2024-02-23T01:22:14.7Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,16,19,2024-02-23T01:22:16Z,680000,False,,,0,,T. Mann REBOUND (Off:0 Def:3),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,,,,,,,70.0,3.0,3.0,0.0,,,,,,,,,,
72,PT05M19.00S,2024-02-23T01:22:21.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201566,5.601182654402102,49.01960784313725,1610612746,16,21,2024-02-23T01:27:46Z,690000,False,5.0,0.0,1,left,R. Westbrook running reverse Layup (2 PTS) (T. Mann 2 AST),"[201566, 1629611]",1610612746.0,LAC,running reverse,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,0.49,Made,2.0,,,,,,,,,,T. Mann,1629611.0,2.0,,,,,
74,PT05M03.00S,2024-02-23T01:22:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,84.44480946123521,61.51960784313726,1610612760,16,21,2024-02-23T01:22:41Z,710000,False,58.0,94.0,1,right,MISS J. Giddey 11' floating Shot,[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Right,11.0,Missed,,,,,,,,,,,,,,,,,,
75,PT05M01.00S,2024-02-23T01:22:39.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,16,21,2024-02-23T01:22:41Z,720000,False,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,74.0,2.0,1.0,1.0,,,,,,,,,,
76,PT04M51.00S,2024-02-23T01:22:49.9Z,1,REGULAR,2pt,Jump Shot,[],202695,22.421156373193167,39.21568627450981,1610612746,16,23,2024-02-23T01:22:53Z,730000,False,54.0,158.0,1,left,K. Leonard 16' turnaround fadeaway Jump Shot (4 PTS),[202695],1610612746.0,LAC,turnaround fadeaway,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Center,16.72,Made,4.0,,,,,,,,,,,,,,,,,
77,PT04M50.00S,2024-02-23T01:22:53.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,16,23,2024-02-23T01:22:54Z,740000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,16,23,2024-02-23T01:25:43Z,750000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,out,[],1631096,,,1610612760,16,23,2024-02-23T01:25:43Z,760000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,out,[],1631114,,,1610612760,16,23,2024-02-23T01:25:43Z,770000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,out,[],202331,,,1610612760,16,23,2024-02-23T01:25:43Z,780000,False,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,out,[],1627826,,,1610612760,16,23,2024-02-23T01:25:43Z,790000,False,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,16,23,2024-02-23T01:25:43Z,800000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,in,[],1630198,,,1610612760,16,23,2024-02-23T01:25:43Z,810000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,16,23,2024-02-23T01:25:43Z,820000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
