actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
17,PT11M11.00S,2024-02-01T01:12:22.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630581,,,1610612760,2,0,2024-02-01T01:12:22Z,170000,False,,,0,,J. Giddey Free Throw 2 of 2 (2 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,
18,PT11M00.00S,2024-02-01T01:12:35.8Z,1,REGULAR,3pt,Jump Shot,[],1629008,70.64717477003943,20.588235294117645,1610612743,2,0,2024-02-01T01:12:42Z,180000,False,-147.0,223.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,26.75,Missed,,,,,,,,,,,,,,,,,
19,PT10M58.00S,2024-02-01T01:12:37.8Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,2,0,2024-02-01T01:12:42Z,190000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M44.00S,2024-02-01T01:12:51.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,6.389618922470433,40.931372549019606,1610612760,2,0,2024-02-01T01:12:58Z,200000,False,45.0,8.0,1,left,MISS K. Williams driving Layup,[1629026],1610612760.0,OKC,driving,,,Williams,K. Williams,,,,,In The Paint (Non-RA),0-8 Center,,4.59,Missed,,,,,,,,,,,,,,,,,
22,PT10M41.00S,2024-02-01T01:12:54.8Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,2,0,2024-02-01T01:12:58Z,220000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT10M37.00S,2024-02-01T01:12:58.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627750,75.50919842312747,23.284313725490197,1610612743,2,2,2024-02-01T01:15:07Z,230000,False,-134.0,178.0,1,right,J. Murray 22' step back Jump Shot (2 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left Center,,22.23,Made,,,,,,,,,,,2.0,,,,,,
24,PT10M23.00S,2024-02-01T01:13:12.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629652,4.681340341655716,47.549019607843135,1610612760,2,2,2024-02-01T01:13:20Z,240000,False,12.0,-8.0,1,left,MISS L. Dort cutting DUNK - blocked,"[1629652, 203932]",1610612760.0,OKC,cutting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,1.5,Missed,,,,,Gordon,203932.0,,,,,,,,,,,
25,PT10M23.00S,2024-02-01T01:13:12.3Z,1,REGULAR,block,,[],203932,,,1610612760,2,2,2024-02-01T01:13:14Z,250000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT10M20.00S,2024-02-01T01:13:15.3Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,2,2,2024-02-01T01:13:20Z,260000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT10M14.00S,2024-02-01T01:13:21.6Z,1,REGULAR,3pt,Jump Shot,[],203932,97.45400788436268,4.166666666666666,1610612743,2,5,2024-02-01T01:13:26Z,270000,False,-229.0,-29.0,1,right,A. Gordon 3PT  (3 PTS) (M. Porter Jr. 1 AST),"[203932, 1629008]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Left Corner 3,24+ Left,,23.1,Made,,,,,,,,,,,3.0,M. Porter Jr.,1629008.0,1.0,,,
29,PT10M03.00S,2024-02-01T01:13:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,4.944152431011826,46.32352941176471,1610612760,4,5,2024-02-01T01:13:41Z,290000,False,18.0,-6.0,1,left,S. Gilgeous-Alexander driving Layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,1.94,Made,,,,,,,,,,,2.0,,,,,,
30,PT09M45.00S,2024-02-01T01:13:49.9Z,1,REGULAR,3pt,Jump Shot,[],1627750,76.5604467805519,88.97058823529412,1610612743,4,8,2024-02-01T01:17:09Z,300000,False,195.0,168.0,1,right,J. Murray 25' 3PT step back (5 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,25.72,Made,,,,,,,,,,,5.0,,,,,,
31,PT09M37.00S,2024-02-01T01:13:58.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,7.440867279894875,61.274509803921575,1610612760,4,8,2024-02-01T01:17:31Z,310000,False,-56.0,17.0,1,left,MISS J. Giddey driving floating bank Shot,[1630581],1610612760.0,OKC,driving floating bank,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,5.9,Missed,,,,,,,,,,,,,,,,,
32,PT09M35.00S,2024-02-01T01:14:00.2Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,4,8,2024-02-01T01:14:01Z,320000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT09M25.00S,2024-02-01T01:14:12.4Z,1,REGULAR,turnover,out-of-bounds,[],1631212,,,1610612743,4,8,2024-02-01T01:17:35Z,330000,False,,,0,,P. Watson bad pass out-of-bounds TURNOVER (1 TO),[1631212],1610612743.0,DEN,bad pass,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,202007.0,,,,,,,,,,,,,,,,,1.0,,
34,PT09M07.00S,2024-02-01T01:14:35.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630581,15.982260183968464,36.76470588235294,1610612760,6,8,2024-02-01T02:17:22Z,340000,False,66.0,98.0,1,left,J. Giddey 11' driving floating Jump Shot (4 PTS),[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Right,,11.8,Made,,,,,,,,,,,4.0,,,,,,
36,PT08M46.00S,2024-02-01T01:15:00.3Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612743,6,8,2024-02-01T01:15:14Z,360000,False,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Gordon 2 FT),"[1628983, 203932]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,202007.0,,,,,,,,,1.0,0.0,Gordon,203932.0,,,,,,,
38,PT08M46.00S,2024-02-01T01:15:22.6Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,6,8,2024-02-01T01:15:45Z,380000,False,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
39,PT08M46.00S,2024-02-01T01:15:22.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612743,6,8,2024-02-01T01:15:46Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,
40,PT08M46.00S,2024-02-01T01:15:22.6Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,6,8,2024-02-01T01:15:46Z,400000,False,,,0,,MISS A. Gordon Free Throw 2 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
41,PT08M45.00S,2024-02-01T01:15:23.6Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,6,8,2024-02-01T01:15:46Z,410000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT08M28.00S,2024-02-01T01:16:00.3Z,1,REGULAR,2pt,Jump Shot,[],1628983,10.068988173455978,77.20588235294117,1610612760,6,8,2024-02-01T01:16:05Z,420000,False,-136.0,42.0,1,left,MISS S. Gilgeous-Alexander 14' pullup bank Shot,[1628983],1610612760.0,OKC,pullup bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,14.24,Missed,,,,,,,,,,,,,,,,,
43,PT08M24.00S,2024-02-01T01:16:04.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,8,2024-02-01T01:16:05Z,430000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,
44,PT08M14.00S,2024-02-01T01:16:13.7Z,1,REGULAR,3pt,Jump Shot,[],1627750,74.19513797634691,13.480392156862745,1610612743,6,8,2024-02-01T01:16:21Z,440000,False,-183.0,190.0,1,right,MISS J. Murray 26' step back 3PT,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,26.36,Missed,,,,,,,,,,,,,,,,,
45,PT08M10.00S,2024-02-01T01:16:17.7Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,6,8,2024-02-01T01:16:21Z,450000,False,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,,
46,PT08M05.00S,2024-02-01T01:16:23.6Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,6,8,2024-02-01T01:16:27Z,460000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 203484]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0
47,PT08M05.00S,2024-02-01T01:16:23.6Z,1,REGULAR,steal,,[],203484,,,1610612743,6,8,2024-02-01T01:16:25Z,470000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
48,PT08M01.00S,2024-02-01T01:16:27.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629008,69.59592641261499,70.34313725490196,1610612743,6,8,2024-02-01T01:20:50Z,480000,False,102.0,233.0,1,right,MISS M. Porter Jr. 25' running pullup 3PT,[1629008],1610612743.0,DEN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,25.45,Missed,,,,,,,,,,,,,,,,,
49,PT07M57.00S,2024-02-01T01:16:31.7Z,1,REGULAR,rebound,offensive,[],1631212,,,1610612743,6,8,2024-02-01T01:16:39Z,490000,False,,,0,,P. Watson REBOUND (Off:1 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Right Center,,,,48.0,2.0,1.0,1.0,,,,,,,,,,,,,
50,PT07M56.00S,2024-02-01T01:16:31.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631212,92.06636005256242,49.01960784313725,1610612743,6,8,2024-02-01T01:21:03Z,500000,False,-5.0,22.0,1,right,MISS P. Watson tip Layup,[1631212],1610612743.0,DEN,tip,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,2.26,Missed,,,,,,,,,,,,,,,,,
51,PT07M54.00S,2024-02-01T01:16:33.4Z,1,REGULAR,rebound,offensive,[],203484,,,1610612743,6,8,2024-02-01T01:17:02Z,510000,False,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,50.0,2.0,1.0,1.0,,,,,,,,,,,,,
52,PT07M53.00S,2024-02-01T01:16:35.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629008,95.22010512483574,2.941176470588235,1610612743,6,8,2024-02-01T01:16:50Z,520000,False,-235.0,-8.0,1,right,MISS M. Porter Jr. 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,,23.54,Missed,,,,,,,,,,,,,,,,,
53,PT07M50.00S,2024-02-01T01:16:38.1Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,6,8,2024-02-01T01:16:50Z,530000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Left Corner 3,24+ Left,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,
54,PT07M36.00S,2024-02-01T01:16:51.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,7.30946123521682,61.51960784313726,1610612760,6,8,2024-02-01T01:16:55Z,540000,False,-58.0,16.0,1,left,MISS S. Gilgeous-Alexander pullup bank Shot,[1628983],1610612760.0,OKC,pullup bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,5.98,Missed,,,,,,,,,,,,,,,,,
55,PT07M35.00S,2024-02-01T01:16:52.7Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,6,8,2024-02-01T01:16:55Z,550000,False,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:2),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,54.0,3.0,2.0,1.0,,,,,,,,,,,,,
56,PT07M22.00S,2024-02-01T01:17:08.1Z,1,REGULAR,foul,personal,[],1629026,,,1610612743,6,8,2024-02-01T01:17:14Z,560000,False,,,0,,K. Williams personal FOUL (1 PF),"[1629026, 1627750]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Left Center,200832.0,,,,,,,,,1.0,0.0,Murray,1627750.0,,,,,,,
58,PT07M15.00S,2024-02-01T01:17:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,91.27792378449409,50.245098039215684,1610612743,6,10,2024-02-01T01:17:41Z,580000,False,1.0,29.0,1,right,J. Murray cutting Layup (7 PTS) (A. Gordon 1 AST),"[1627750, 203932]",1610612743.0,DEN,cutting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,2.95,Made,,,,,,,,,,,7.0,A. Gordon,203932.0,1.0,,,
60,PT07M14.00S,2024-02-01T01:17:37.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,6,10,2024-02-01T01:17:37Z,600000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M55.00S,2024-02-01T01:20:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,5.338370565045992,36.76470588235294,1610612760,6,10,2024-02-01T01:22:32Z,610000,False,66.0,-2.0,1,left,MISS C. Holmgren 6' floating Shot - blocked,"[1631096, 203932]",1610612760.0,OKC,floating,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,6.62,Missed,,,,,Gordon,203932.0,,,,,,,,,,,
62,PT06M55.00S,2024-02-01T01:20:50.6Z,1,REGULAR,block,,[],203932,,,1610612760,6,10,2024-02-01T01:20:53Z,620000,False,,,0,,A. Gordon BLOCK (2 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT06M54.00S,2024-02-01T01:20:51.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,6,10,2024-02-01T01:20:59Z,630000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,61.0,,,,,,,,,,,,,,,,
65,PT06M50.00S,2024-02-01T01:21:10.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612760,6,10,2024-02-01T01:21:15Z,650000,False,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Left Center,202007.0,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2024-02-01T01:21:39.1Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612743,6,10,2024-02-01T01:21:43Z,660000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1628983]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0
67,PT06M34.00S,2024-02-01T01:21:39.1Z,1,REGULAR,steal,,[],1628983,,,1610612760,6,10,2024-02-01T01:21:41Z,670000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2024-02-01T01:21:45.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,18.74178712220762,38.72549019607843,1610612760,8,10,2024-02-01T01:21:50Z,680000,False,56.0,124.0,1,left,S. Gilgeous-Alexander 13' turnaround Jump Shot (4 PTS),[1628983],1610612760.0,OKC,turnaround,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,13.6,Made,,,,,,,,,,,4.0,,,,,,
69,PT06M10.00S,2024-02-01T01:22:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,91.5407358738502,58.333333333333336,1610612743,8,10,2024-02-01T01:23:43Z,690000,False,42.0,27.0,1,right,MISS J. Murray fadeaway Shot - blocked,"[1627750, 1631096]",1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,4.97,Missed,,,,,Holmgren,1631096.0,,,,,,,,,,,
70,PT06M10.00S,2024-02-01T01:22:02.7Z,1,REGULAR,block,,[],1631096,,,1610612743,8,10,2024-02-01T01:22:05Z,700000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT06M08.00S,2024-02-01T01:22:04.7Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,8,10,2024-02-01T01:22:07Z,710000,False,,,0,,L. Dort REBOUND (Off:0 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,,,
72,PT06M04.00S,2024-02-01T01:22:09.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,30.699737187910642,67.15686274509804,1610612760,8,10,2024-02-01T01:24:02Z,720000,False,-86.0,236.0,1,left,MISS L. Dort 25' running 3PT,[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,25.12,Missed,,,,,,,,,,,,,,,,,
73,PT06M00.00S,2024-02-01T01:22:13.0Z,1,REGULAR,rebound,offensive,[],1629026,,,1610612760,8,10,2024-02-01T01:22:13Z,730000,False,,,0,,K. Williams REBOUND (Off:1 Def:0),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Left Center,,,,72.0,1.0,0.0,1.0,,,,,,,,,,,,,
74,PT05M59.00S,2024-02-01T01:22:14.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,29.122864651773984,76.47058823529412,1610612760,8,10,2024-02-01T01:22:19Z,740000,False,-132.0,221.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,25.79,Missed,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2024-02-01T01:22:18.5Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,8,10,2024-02-01T01:22:19Z,750000,False,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:3),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,,74.0,4.0,3.0,1.0,,,,,,,,,,,,,
76,PT05M51.00S,2024-02-01T01:22:22.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203932,92.85479632063075,47.794117647058826,1610612743,8,10,2024-02-01T01:24:27Z,760000,False,-11.0,15.0,1,right,MISS A. Gordon running Layup - blocked,"[203932, 1631096]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,1.84,Missed,,,,,Holmgren,1631096.0,,,,,,,,,,,
77,PT05M51.00S,2024-02-01T01:22:22.5Z,1,REGULAR,block,,[],1631096,,,1610612743,8,10,2024-02-01T01:22:25Z,770000,False,,,0,,C. Holmgren BLOCK (2 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M48.00S,2024-02-01T01:22:25.5Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,8,10,2024-02-01T01:22:28Z,780000,False,,,0,,J. Giddey REBOUND (Off:1 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,76.0,4.0,3.0,1.0,,,,,,,,,,,,,
