actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
28,PT09M50.00S,2025-03-18T02:17:08.4Z,1,REGULAR,3pt,Jump Shot,[],1642419,92.46057818659659,95.58823529411765,1610612761,6,5,2025-03-18T02:17:13Z,280000,False,228.0,18.0,1,right,J. Battle 3PT  (3 PTS) (I. Quickley 1 AST),"[1642419, 1630193]",1610612761.0,TOR,,,,Battle,J. Battle,,,,,Right Corner 3,24+ Right,22.86,Made,,,,,3.0,,,,,,,I. Quickley,1630193.0,1.0,,,,
30,PT09M30.00S,2025-03-18T02:17:27.0Z,1,REGULAR,3pt,Jump Shot,[],1626164,27.94021024967148,78.67647058823529,1610612756,6,5,2025-03-18T02:17:46Z,300000,False,-143.0,210.0,1,left,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,25.44,Missed,,,,,,,,,,,,,,,,,,
31,PT09M25.00S,2025-03-18T02:17:32.0Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,6,5,2025-03-18T02:17:34Z,310000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M24.00S,2025-03-18T02:17:33.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1642367,93.77463863337714,48.77450980392157,1610612761,6,7,2025-03-18T02:17:43Z,320000,False,-6.0,6.0,1,right,J. Mogbo running DUNK (2 PTS) (I. Quickley 2 AST),"[1642367, 1630193]",1610612761.0,TOR,running,,,Mogbo,J. Mogbo,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,2.0,,,,,,,I. Quickley,1630193.0,2.0,,,,
34,PT09M11.00S,2025-03-18T02:17:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,7.30946123521682,46.81372549019608,1610612756,8,7,2025-03-18T02:45:31Z,340000,False,16.0,16.0,1,left,N. Richards cutting Layup (6 PTS),[1630208],1610612756.0,PHX,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,2.27,Made,,,,,6.0,,,,,,,,,,,,,
36,PT09M00.00S,2025-03-18T02:17:57.4Z,1,REGULAR,2pt,Jump Shot,[],1642367,82.34231274638634,11.76470588235294,1610612761,8,7,2025-03-18T02:18:02Z,360000,False,-191.0,113.0,1,right,MISS J. Mogbo 22' Jump Shot,[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Mid-Range,16-24 Left,22.24,Missed,,,,,,,,,,,,,,,,,,
37,PT08M56.00S,2025-03-18T02:18:01.4Z,1,REGULAR,rebound,defensive,[],1631221,,,1610612756,8,7,2025-03-18T02:18:02Z,370000,False,,,0,,C. Gillespie REBOUND (Off:0 Def:1),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Mid-Range,16-24 Left,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M50.00S,2025-03-18T02:18:07.1Z,1,REGULAR,3pt,Jump Shot,[],1642346,3.630091984231275,94.6078431372549,1610612756,8,7,2025-03-18T02:18:12Z,380000,False,-223.0,-18.0,1,left,MISS R. Dunn 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,22.38,Missed,,,,,,,,,,,,,,,,,,
39,PT08M47.00S,2025-03-18T02:18:10.1Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,8,7,2025-03-18T02:18:12Z,390000,False,,,0,,I. Quickley REBOUND (Off:0 Def:2),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Left Corner 3,24+ Left,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M37.00S,2025-03-18T02:18:21.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630658,81.15965834428384,59.31372549019608,1610612761,8,9,2025-03-18T02:20:41Z,400000,False,47.0,125.0,1,right,C. Castleton 13' floating Jump Shot (2 PTS) (J. Mogbo 1 AST),"[1630658, 1642367]",1610612761.0,TOR,floating,,,Castleton,C. Castleton,,,,,In The Paint (Non-RA),8-16 Center,13.3,Made,,,,,2.0,,,,,,,J. Mogbo,1642367.0,1.0,,,,
42,PT08M22.00S,2025-03-18T02:18:34.7Z,1,REGULAR,3pt,Jump Shot,[],1631221,30.305519053876477,29.166666666666668,1610612756,11,9,2025-03-18T02:21:07Z,420000,False,104.0,232.0,1,left,C. Gillespie 25' 3PT pullup (3 PTS),[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Right Center,25.47,Made,,,,,3.0,,,,,,,,,,,,,
43,PT08M00.00S,2025-03-18T02:18:57.3Z,1,REGULAR,3pt,Jump Shot,[],1630567,83.52496714848883,95.58823529411765,1610612761,11,12,2025-03-18T02:19:02Z,430000,False,228.0,102.0,1,right,S. Barnes 24' 3PT  (3 PTS) (I. Quickley 3 AST),"[1630567, 1630193]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,24.98,Made,,,,,3.0,,,,,,,I. Quickley,1630193.0,3.0,,,,
45,PT07M47.00S,2025-03-18T02:19:10.3Z,1,REGULAR,3pt,Jump Shot,[],1631221,30.042706964520367,28.676470588235293,1610612756,11,12,2025-03-18T02:20:51Z,450000,False,107.0,230.0,1,left,MISS C. Gillespie 25' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Right Center,25.34,Missed,,,,,,,,,,,,,,,,,,
46,PT07M45.00S,2025-03-18T02:19:12.3Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,11,12,2025-03-18T02:19:15Z,460000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M38.00S,2025-03-18T02:19:19.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630567,92.32917214191852,54.166666666666664,1610612761,11,14,2025-03-18T02:21:59Z,470000,False,21.0,20.0,1,right,S. Barnes running Layup (5 PTS),[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,2.86,Made,,,,,5.0,,,,,,,,,,,,,
48,PT07M25.00S,2025-03-18T02:19:33.5Z,1,REGULAR,2pt,Jump Shot,[],1626164,19.530223390275953,17.892156862745097,1610612756,13,14,2025-03-18T02:19:45Z,480000,False,161.0,131.0,1,left,D. Booker 20' step back Jump Shot (2 PTS) (C. Gillespie 1 AST),"[1626164, 1631221]",1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,20.72,Made,,,,,2.0,,,,,,,C. Gillespie,1631221.0,1.0,,,,
50,PT07M10.00S,2025-03-18T02:19:47.0Z,1,REGULAR,3pt,Jump Shot,[],1630193,70.51576872536137,20.34313725490196,1610612761,13,17,2025-03-18T02:19:51Z,500000,False,-148.0,225.0,1,right,I. Quickley 26' 3PT pullup (5 PTS),[1630193],1610612761.0,TOR,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,26.92,Made,,,,,5.0,,,,,,,,,,,,,
51,PT07M01.00S,2025-03-18T02:20:00.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,13,17,2025-03-18T02:20:00Z,510000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M01.00S,2025-03-18T02:22:19.5Z,1,REGULAR,substitution,out,[],1630567,,,1610612756,13,17,2025-03-18T02:22:43Z,520000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M01.00S,2025-03-18T02:22:19.5Z,1,REGULAR,substitution,in,[],1630639,,,1610612756,13,17,2025-03-18T02:22:43Z,530000,False,,,0,,SUB in: A. Lawson,[1630639],1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M49.00S,2025-03-18T02:23:11.3Z,1,REGULAR,3pt,Jump Shot,[],1631221,26.49474375821288,81.61764705882352,1610612756,13,17,2025-03-18T02:23:18Z,540000,False,-158.0,197.0,1,left,MISS C. Gillespie 25' 3PT,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,25.23,Missed,,,,,,,,,,,,,,,,,,
55,PT06M46.00S,2025-03-18T02:23:14.3Z,1,REGULAR,rebound,defensive,[],1642367,,,1610612761,13,17,2025-03-18T02:23:18Z,550000,False,,,0,,J. Mogbo REBOUND (Off:1 Def:1),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Above the Break 3,24+ Left Center,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,,
56,PT06M40.00S,2025-03-18T02:23:20.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630639,94.03745072273325,94.6078431372549,1610612761,13,17,2025-03-18T02:23:45Z,560000,False,223.0,4.0,1,right,MISS A. Lawson running 3PT,[1630639],1610612761.0,TOR,running,,,Lawson,A. Lawson,,,,,Right Corner 3,24+ Right,22.3,Missed,,,,,,,,,,,,,,,,,,
57,PT06M36.00S,2025-03-18T02:23:24.7Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,13,17,2025-03-18T02:24:15Z,570000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Right Corner 3,24+ Right,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT06M27.00S,2025-03-18T02:23:33.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,7.046649145860711,50.98039215686274,1610612756,15,17,2025-03-18T02:23:46Z,580000,False,-5.0,14.0,1,left,N. Richards DUNK (8 PTS) (K. Durant 1 AST),"[1630208, 201142]",1610612756.0,PHX,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.45,Made,,,,,8.0,,,,,,,K. Durant,201142.0,1.0,,,,
60,PT06M12.00S,2025-03-18T02:23:50.7Z,1,REGULAR,foul,personal,['2freethrow'],1642346,,,1610612761,15,17,2025-03-18T02:24:02Z,600000,False,,,0,,R. Dunn shooting personal FOUL (1 PF) (Castleton 2 FT),"[1642346, 1630658]",1610612756.0,PHX,shooting,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,200834.0,1.0,0.0,Castleton,1630658.0,,,,,,,,
62,PT06M12.00S,2025-03-18T02:24:17.6Z,1,REGULAR,freethrow,1 of 2,[],1630658,,,1610612761,15,17,2025-03-18T02:24:17Z,620000,False,,,0,,MISS C. Castleton Free Throw 1 of 2,[1630658],1610612761.0,TOR,,,,Castleton,C. Castleton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
63,PT06M12.00S,2025-03-18T02:24:17.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,15,17,2025-03-18T02:24:17Z,630000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,
64,PT06M12.00S,2025-03-18T02:24:18.8Z,1,REGULAR,substitution,out,[],1630193,,,1610612761,15,17,2025-03-18T02:24:22Z,640000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M12.00S,2025-03-18T02:24:18.8Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,15,17,2025-03-18T02:24:22Z,650000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M12.00S,2025-03-18T02:24:39.0Z,1,REGULAR,freethrow,2 of 2,[],1630658,,,1610612761,15,18,2025-03-18T02:24:39Z,660000,False,,,0,,C. Castleton Free Throw 2 of 2 (3 PTS),[1630658],1610612761.0,TOR,,,,Castleton,C. Castleton,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
67,PT05M53.00S,2025-03-18T02:25:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630208,14.14257555847569,43.872549019607845,1610612756,15,18,2025-03-18T02:25:12Z,670000,False,31.0,80.0,1,left,MISS N. Richards 8' floating Shot,[1630208],1610612756.0,PHX,floating,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Center,8.6,Missed,,,,,,,,,,,,,,,,,,
68,PT05M49.00S,2025-03-18T02:25:05.1Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,15,18,2025-03-18T02:25:07Z,680000,False,,,0,,R. Dunn REBOUND (Off:1 Def:0),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),8-16 Center,,,67.0,1.0,0.0,1.0,,,,,,,,,,,,,,
69,PT05M49.00S,2025-03-18T02:25:05.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642346,6.389618922470433,49.26470588235294,1610612756,15,18,2025-03-18T02:25:12Z,690000,False,4.0,8.0,1,left,MISS R. Dunn putback Layup,[1642346],1610612756.0,PHX,putback,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,0.85,Missed,,,,,,,,,,,,,,,,,,
70,PT05M49.00S,2025-03-18T02:25:05.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,15,18,2025-03-18T02:25:12Z,700000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,69.0,,,,,,,,,,,,,,,,,
72,PT05M49.00S,2025-03-18T02:25:12.3Z,1,REGULAR,substitution,out,[],1630658,,,1610612761,15,18,2025-03-18T02:25:15Z,720000,False,,,0,,SUB out: C. Castleton,[1630658],1610612761.0,TOR,,,,Castleton,C. Castleton,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M49.00S,2025-03-18T02:25:12.3Z,1,REGULAR,substitution,in,[],1631115,,,1610612761,15,18,2025-03-18T02:25:15Z,730000,False,,,0,,SUB in: O. Robinson,[1631115],1610612761.0,TOR,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2025-03-18T02:25:31.5Z,1,REGULAR,2pt,Jump Shot,[],1642367,79.84559789750328,26.96078431372549,1610612761,15,18,2025-03-18T02:25:36Z,740000,False,-115.0,137.0,1,right,MISS J. Mogbo 17' pullup Shot,[1642367],1610612761.0,TOR,pullup,,,Mogbo,J. Mogbo,,,,,Mid-Range,16-24 Left Center,17.9,Missed,,,,,,,,,,,,,,,,,,
75,PT05M31.00S,2025-03-18T02:25:34.5Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,15,18,2025-03-18T02:25:36Z,750000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT05M23.00S,2025-03-18T02:25:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,14.14257555847569,44.85294117647059,1610612756,15,18,2025-03-18T02:26:22Z,760000,False,26.0,80.0,1,left,MISS D. Booker 8' turnaround fadeaway Shot,[1626164],1610612756.0,PHX,turnaround fadeaway,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,8.44,Missed,,,,,,,,,,,,,,,,,,
77,PT05M20.00S,2025-03-18T02:25:44.7Z,1,REGULAR,rebound,defensive,[],1642367,,,1610612761,15,18,2025-03-18T02:25:47Z,770000,False,,,0,,J. Mogbo REBOUND (Off:1 Def:2),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,In The Paint (Non-RA),8-16 Center,,,76.0,3.0,2.0,1.0,,,,,,,,,,,,,,
78,PT05M11.00S,2025-03-18T02:25:53.8Z,1,REGULAR,3pt,Jump Shot,[],1642419,68.41327201051249,31.61764705882353,1610612761,15,18,2025-03-18T02:25:59Z,780000,False,-92.0,244.0,1,right,MISS J. Battle 26' 3PT,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Above the Break 3,24+ Left Center,26.11,Missed,,,,,,,,,,,,,,,,,,
79,PT05M07.00S,2025-03-18T02:25:57.8Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,15,18,2025-03-18T02:25:59Z,790000,False,,,0,,R. Dunn REBOUND (Off:1 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,78.0,2.0,1.0,1.0,,,,,,,,,,,,,,
80,PT04M52.00S,2025-03-18T02:26:12.4Z,1,REGULAR,3pt,Jump Shot,[],1642346,26.49474375821288,77.45098039215686,1610612756,18,18,2025-03-18T02:26:16Z,800000,False,-137.0,197.0,1,left,R. Dunn 3PT  (5 PTS) (K. Durant 2 AST),"[1642346, 201142]",1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,23.98,Made,,,,,5.0,,,,,,,K. Durant,201142.0,2.0,,,,
82,PT04M22.00S,2025-03-18T02:26:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630639,90.48948751642575,42.15686274509804,1610612761,18,20,2025-03-18T02:26:46Z,820000,False,-39.0,37.0,1,right,A. Lawson driving Layup (2 PTS) (J. Mogbo 2 AST),"[1630639, 1642367]",1610612761.0,TOR,driving,,,Lawson,A. Lawson,,,,,In The Paint (Non-RA),0-8 Center,5.38,Made,,,,,2.0,,,,,,,J. Mogbo,1642367.0,2.0,,,,
84,PT04M16.00S,2025-03-18T02:26:51.0Z,1,REGULAR,foul,personal,[],1642347,,,1610612756,18,20,2025-03-18T02:26:58Z,840000,False,,,0,,J. Shead personal FOUL (1 PF),"[1642347, 1626164]",1610612761.0,TOR,,,,Shead,J. Shead,,,,,Mid-Range,8-16 Left,,,,,,,,202901.0,1.0,0.0,Booker,1626164.0,,,,,,,,
86,PT04M16.00S,2025-03-18T02:26:57.1Z,1,REGULAR,substitution,out,[],1642346,,,1610612756,18,20,2025-03-18T02:27:09Z,860000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M16.00S,2025-03-18T02:26:57.1Z,1,REGULAR,substitution,out,[],1630208,,,1610612756,18,20,2025-03-18T02:27:09Z,870000,False,,,0,,SUB out: N. Richards,[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M16.00S,2025-03-18T02:26:57.1Z,1,REGULAR,substitution,out,[],1631221,,,1610612756,18,20,2025-03-18T02:27:09Z,880000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
