actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
19,PT10M37.00S,2024-12-04T02:12:34.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,7,0,2024-12-04T02:12:34Z,190000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2024-12-04T02:15:42.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641705,87.99277266754271,49.50980392156863,1610612759,7,0,2024-12-04T02:15:58Z,200000,False,-2.0,60.0,1,right,MISS V. Wembanyama 6' Hook,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.05,Missed,,,,,,,,,,,,,
21,PT10M16.00S,2024-12-04T02:15:44.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,7,0,2024-12-04T02:15:58Z,210000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
23,PT09M52.00S,2024-12-04T02:16:22.8Z,1,REGULAR,2pt,Jump Shot,[],1626145,21.632720105124836,74.26470588235294,1610612756,9,0,2024-12-04T02:16:28Z,230000,False,-121.0,151.0,1,left,T. Jones 19' Jump Shot (4 PTS) (O. Ighodaro 1 AST),"[1626145, 1642345]",1610612756.0,PHX,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Left Center,,,,,,19.35,Made,4.0,,,,,O. Ighodaro,1642345.0,1.0,,,,,
25,PT09M42.00S,2024-12-04T02:16:33.1Z,1,REGULAR,3pt,Jump Shot,[],1641705,67.09921156373193,35.53921568627451,1610612759,9,0,2024-12-04T02:16:39Z,250000,False,-72.0,257.0,1,right,MISS V. Wembanyama 26' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,,,,26.68,Missed,,,,,,,,,,,,,
26,PT09M40.00S,2024-12-04T02:16:35.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,9,0,2024-12-04T02:16:39Z,260000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M36.00S,2024-12-04T02:16:40.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626164,7.046649145860711,51.71568627450981,1610612756,11,0,2024-12-04T02:17:38Z,270000,False,-9.0,14.0,1,left,D. Booker running Layup (4 PTS),[1626164],1610612756.0,PHX,running,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,,,1.62,Made,4.0,,,,,,,,,,,,
28,PT09M12.00S,2024-12-04T02:17:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,92.85479632063075,54.65686274509803,1610612759,11,2,2024-12-04T02:18:10Z,280000,False,23.0,15.0,1,right,S. Castle driving Layup (2 PTS) (C. Paul 1 AST),"[1642264, 101108]",1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,,,2.75,Made,2.0,,,,,C. Paul,101108.0,1.0,,,,,
30,PT08M55.00S,2024-12-04T02:17:20.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,13.748357424441524,44.85294117647059,1610612756,11,2,2024-12-04T02:17:25Z,300000,False,26.0,77.0,1,left,MISS T. Jones 8' driving floating Shot,[1626145],1610612756.0,PHX,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.09,Missed,,,,,,,,,,,,,
31,PT08M53.00S,2024-12-04T02:17:22.4Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,11,2,2024-12-04T02:17:25Z,310000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT08M39.00S,2024-12-04T02:17:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,92.72339027595268,54.65686274509803,1610612759,11,4,2024-12-04T02:19:01Z,320000,False,23.0,16.0,1,right,H. Barnes cutting Layup (2 PTS) (V. Wembanyama 1 AST),"[203084, 1641705]",1610612759.0,SAS,cutting,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,,,2.82,Made,2.0,,,,,V. Wembanyama,1641705.0,1.0,,,,,
34,PT08M18.00S,2024-12-04T02:17:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642345,12.434296977660972,49.01960784313725,1610612756,13,4,2024-12-04T02:18:06Z,340000,False,5.0,64.0,1,left,O. Ighodaro 6' driving floating Jump Shot (2 PTS),[1642345],1610612756.0,PHX,driving floating,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.46,Made,2.0,,,,,,,,,,,,
35,PT08M00.00S,2024-12-04T02:18:14.3Z,1,REGULAR,3pt,Jump Shot,[],1642264,66.83639947437582,30.14705882352941,1610612759,13,4,2024-12-04T02:18:19Z,350000,False,-99.0,259.0,1,right,MISS S. Castle 27' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Left Center,,,,,,27.76,Missed,,,,,,,,,,,,,
36,PT07M57.00S,2024-12-04T02:18:17.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,13,4,2024-12-04T02:25:07Z,360000,False,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,
37,PT07M50.00S,2024-12-04T02:18:24.7Z,1,REGULAR,3pt,Jump Shot,[],1626145,11.12023653088042,3.1862745098039214,1610612756,13,4,2024-12-04T02:18:29Z,370000,False,234.0,52.0,1,left,MISS T. Jones 3PT,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,,,,,,23.98,Missed,,,,,,,,,,,,,
38,PT07M47.00S,2024-12-04T02:18:27.7Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,13,4,2024-12-04T02:18:29Z,380000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Right Corner 3,24+ Right,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,
39,PT07M45.00S,2024-12-04T02:18:32.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],101108,69.72733245729303,72.54901960784314,1610612759,13,4,2024-12-04T02:21:28Z,390000,False,113.0,232.0,1,right,MISS C. Paul 25' running pullup 3PT,[101108],1610612759.0,SAS,running pullup,,,Paul,C. Paul,,,,,Above the Break 3,24+ Right Center,,,,,,25.8,Missed,,,,,,,,,,,,,
40,PT07M43.00S,2024-12-04T02:18:34.0Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,13,4,2024-12-04T02:21:28Z,400000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:1),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Above the Break 3,24+ Right Center,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,
41,PT07M38.00S,2024-12-04T02:18:38.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,29.38567674113009,73.52941176470588,1610612756,13,4,2024-12-04T02:21:52Z,410000,False,-118.0,224.0,1,left,MISS D. Booker 25' running pullup 3PT,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,25.27,Missed,,,,,,,,,,,,,
42,PT07M36.00S,2024-12-04T02:18:40.1Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,13,4,2024-12-04T02:21:52Z,420000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,
43,PT07M23.00S,2024-12-04T02:18:51.7Z,1,REGULAR,3pt,Jump Shot,[],1630577,66.70499342969777,53.92156862745098,1610612759,13,7,2024-12-04T02:18:57Z,430000,False,20.0,260.0,1,right,J. Champagnie 26' 3PT  (3 PTS) (V. Wembanyama 2 AST),"[1630577, 1641705]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,,,,26.12,Made,3.0,,,,,V. Wembanyama,1641705.0,2.0,,,,,
45,PT07M08.00S,2024-12-04T02:19:07.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642345,8.360709592641262,47.794117647058826,1610612756,15,7,2024-12-04T02:19:12Z,450000,False,11.0,26.0,1,left,O. Ighodaro cutting DUNK (4 PTS) (K. Durant 1 AST),"[1642345, 201142]",1610612756.0,PHX,cutting,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,,,2.83,Made,4.0,,,,,K. Durant,201142.0,1.0,,,,,
47,PT06M45.00S,2024-12-04T02:19:31.0Z,1,REGULAR,3pt,Jump Shot,[],1641705,68.01905387647832,42.64705882352941,1610612759,15,7,2024-12-04T02:22:39Z,470000,False,-37.0,248.0,1,right,MISS V. Wembanyama 25' pullup 3PT,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,,,,25.08,Missed,,,,,,,,,,,,,
48,PT06M43.00S,2024-12-04T02:19:33.0Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,15,7,2024-12-04T02:22:39Z,480000,False,,,0,,B. Beal REBOUND (Off:0 Def:3),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Center,,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,
49,PT06M38.00S,2024-12-04T02:19:41.4Z,1,REGULAR,foul,personal,[],1630577,,,1610612756,15,7,2024-12-04T02:19:53Z,490000,False,,,0,,J. Champagnie personal FOUL (1 PF),"[1630577, 1626145]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,1628171.0,1.0,0.0,Jones,1626145.0,,,,,,,,,,,,,,,
51,PT06M38.00S,2024-12-04T02:19:48.5Z,1,REGULAR,substitution,out,[],203078,,,1610612756,15,7,2024-12-04T02:20:05Z,510000,False,,,0,,SUB out: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M38.00S,2024-12-04T02:19:48.5Z,1,REGULAR,substitution,out,[],1630577,,,1610612756,15,7,2024-12-04T02:20:05Z,520000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M38.00S,2024-12-04T02:19:48.5Z,1,REGULAR,substitution,out,[],1641705,,,1610612756,15,7,2024-12-04T02:20:05Z,530000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M38.00S,2024-12-04T02:19:48.5Z,1,REGULAR,substitution,in,[],1628960,,,1610612756,15,7,2024-12-04T02:20:05Z,540000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M38.00S,2024-12-04T02:19:48.5Z,1,REGULAR,substitution,in,[],1628380,,,1610612756,15,7,2024-12-04T02:20:05Z,550000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M38.00S,2024-12-04T02:19:48.5Z,1,REGULAR,substitution,in,[],1629640,,,1610612756,15,7,2024-12-04T02:20:05Z,560000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M38.00S,2024-12-04T02:19:48.5Z,1,REGULAR,substitution,out,[],101108,,,1610612756,15,7,2024-12-04T02:20:25Z,570000,False,,,0,,SUB out: C. Paul,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M38.00S,2024-12-04T02:19:48.5Z,1,REGULAR,substitution,in,[],1630170,,,1610612756,15,7,2024-12-04T02:20:25Z,580000,False,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M30.00S,2024-12-04T02:20:33.9Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,15,7,2024-12-04T02:20:41Z,590000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1628380]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1.0,Collins,1628380.0,,
60,PT06M30.00S,2024-12-04T02:20:33.9Z,1,REGULAR,steal,,[],1628380,,,1610612759,15,7,2024-12-04T02:20:35Z,600000,False,,,0,,Z. Collins STEAL (1 STL),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
61,PT06M26.00S,2024-12-04T02:20:40.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629640,94.03745072273325,61.76470588235294,1610612759,15,9,2024-12-04T02:24:45Z,610000,False,59.0,4.0,1,right,K. Johnson running Layup (2 PTS),[1629640],1610612759.0,SAS,running,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.89,Made,2.0,,,,,,,,,,,,
62,PT06M10.00S,2024-12-04T02:20:53.6Z,1,REGULAR,2pt,Jump Shot,[],1642345,12.434296977660972,33.33333333333333,1610612756,17,9,2024-12-04T02:25:06Z,620000,False,83.0,64.0,1,left,O. Ighodaro 10' floating Jump Shot (6 PTS) (K. Durant 2 AST),"[1642345, 201142]",1610612756.0,PHX,floating,,,Ighodaro,O. Ighodaro,,,,,Mid-Range,8-16 Right,,,,,,10.53,Made,6.0,,,,,K. Durant,201142.0,2.0,,,,,
64,PT05M53.00S,2024-12-04T02:21:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,89.43823915900131,42.15686274509804,1610612759,17,9,2024-12-04T02:21:16Z,640000,False,-39.0,47.0,1,right,MISS K. Johnson 6' driving Layup,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.1,Missed,,,,,,,,,,,,,
65,PT05M52.00S,2024-12-04T02:21:11.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,17,9,2024-12-04T02:21:16Z,650000,False,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,64.0,3.0,3.0,0.0,,,,,,,,
66,PT05M50.00S,2024-12-04T02:21:14.4Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612756,17,9,2024-12-04T02:21:19Z,660000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 1630170]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Vassell,1630170.0,,
67,PT05M50.00S,2024-12-04T02:21:14.4Z,1,REGULAR,steal,,[],1630170,,,1610612759,17,9,2024-12-04T02:21:16Z,670000,False,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
68,PT05M47.00S,2024-12-04T02:21:17.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630170,68.67608409986859,23.03921568627451,1610612759,17,12,2024-12-04T02:25:44Z,680000,False,-135.0,242.0,1,right,D. Vassell 27' 3PT running pullup (3 PTS),[1630170],1610612759.0,SAS,running pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,,,27.69,Made,3.0,,,,,,,,,,,,
69,PT05M31.00S,2024-12-04T02:21:34.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,19.92444152431012,54.166666666666664,1610612756,17,12,2024-12-04T02:26:06Z,690000,False,-21.0,135.0,1,left,MISS K. Durant 13' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,13.64,Missed,,,,,,,,,,,,,
70,PT05M29.00S,2024-12-04T02:21:36.9Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,17,12,2024-12-04T02:26:06Z,700000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,
71,PT05M09.00S,2024-12-04T02:21:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,80.23981603153744,63.48039215686274,1610612759,17,14,2024-12-04T02:21:59Z,710000,False,67.0,133.0,1,right,D. Vassell 14' turnaround Jump Shot (5 PTS),[1630170],1610612759.0,SAS,turnaround,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,14.93,Made,5.0,,,,,,,,,,,,
72,PT04M55.00S,2024-12-04T02:22:09.0Z,1,REGULAR,2pt,Jump Shot,[],1626164,21.107095926412615,69.36274509803921,1610612756,19,14,2024-12-04T02:22:12Z,720000,False,-97.0,146.0,1,left,D. Booker 17' pullup Jump Shot (6 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,,,,,,17.51,Made,6.0,,,,,,,,,,,,
73,PT04M41.00S,2024-12-04T02:22:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,83.65637319316689,61.274509803921575,1610612759,19,14,2024-12-04T02:26:53Z,730000,False,56.0,101.0,1,right,MISS H. Barnes 11' pullup Shot,[203084],1610612759.0,SAS,pullup,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.58,Missed,,,,,,,,,,,,,
74,PT04M39.00S,2024-12-04T02:22:29.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,19,14,2024-12-04T02:26:53Z,740000,False,,,0,,K. Durant REBOUND (Off:0 Def:4),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,73.0,4.0,4.0,0.0,,,,,,,,
75,PT04M18.00S,2024-12-04T02:22:45.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,28.465834428383708,18.627450980392158,1610612756,19,14,2024-12-04T02:22:50Z,750000,False,157.0,215.0,1,left,MISS G. Allen 26' pullup 3PT,[1628960],1610612756.0,PHX,pullup,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,26.62,Missed,,,,,,,,,,,,,
76,PT04M16.00S,2024-12-04T02:22:47.9Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,19,14,2024-12-04T02:22:50Z,760000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,
77,PT04M08.00S,2024-12-04T02:22:56.6Z,1,REGULAR,3pt,Jump Shot,[],203084,90.09526938239159,4.166666666666666,1610612759,19,14,2024-12-04T02:23:02Z,770000,False,-229.0,41.0,1,right,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,,,,,,23.28,Missed,,,,,,,,,,,,,
78,PT04M06.00S,2024-12-04T02:22:58.6Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,19,14,2024-12-04T02:27:29Z,780000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Left Corner 3,24+ Left,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,
79,PT03M50.00S,2024-12-04T02:23:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,17.296320630749015,36.76470588235294,1610612756,19,14,2024-12-04T02:27:55Z,790000,False,66.0,110.0,1,left,MISS K. Durant 12' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Right,,,,,,12.85,Missed,,,,,,,,,,,,,
80,PT03M48.00S,2024-12-04T02:23:17.3Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,19,14,2024-12-04T02:27:55Z,800000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,
81,PT03M40.00S,2024-12-04T02:23:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,91.67214191852825,55.14705882352941,1610612759,19,16,2024-12-04T02:23:33Z,810000,False,26.0,26.0,1,right,S. Castle driving Layup (4 PTS) (K. Johnson 1 AST),"[1642264, 1629640]",1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,,,3.64,Made,4.0,,,,,K. Johnson,1629640.0,1.0,,,,,
