actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
16,PT10M52.00S,2025-01-26T02:11:48.7Z,1,REGULAR,rebound,offensive,[],201142,,,1610612756,0,2,2025-01-26T02:11:48Z,160000,False,,,0,,K. Durant REBOUND (Off:1 Def:0),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,
17,PT10M51.00S,2025-01-26T02:11:48.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201142,82.7365308804205,62.00980392156863,1610612756,2,2,2025-01-26T02:11:53Z,170000,False,60.0,110.0,1,right,K. Durant 12' pullup Jump Shot (2 PTS),[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.51,Made,2.0,,,,,,,,,,,
18,PT10M35.00S,2025-01-26T02:12:04.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628398,11.777266754270697,45.09803921568628,1610612764,2,2,2025-01-26T02:17:54Z,180000,False,25.0,58.0,1,left,MISS K. Kuzma 6' driving Hook,[1628398],1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.31,Missed,,,,,,,,,,,,
19,PT10M33.00S,2025-01-26T02:12:06.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,2,2,2025-01-26T02:12:08Z,190000,False,,,0,,K. Durant REBOUND (Off:1 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,18.0,2.0,1.0,1.0,,,,,,,
20,PT10M27.00S,2025-01-26T02:12:14.1Z,1,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612756,2,2,2025-01-26T02:12:20Z,200000,False,,,0,,B. Coulibaly shooting personal FOUL (1 PF) (Dunn 2 FT),"[1641731, 1642346]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,1193.0,1.0,0.0,Dunn,1642346.0,,,,,,,,,,,,,,,
22,PT10M27.00S,2025-01-26T02:12:59.0Z,1,REGULAR,freethrow,1 of 2,[],1642346,,,1610612756,2,2,2025-01-26T02:12:59Z,220000,False,,,0,,MISS R. Dunn Free Throw 1 of 2,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
23,PT10M27.00S,2025-01-26T02:12:59.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,2,2,2025-01-26T02:12:59Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,
24,PT10M27.00S,2025-01-26T02:13:10.3Z,1,REGULAR,freethrow,2 of 2,[],1642346,,,1610612756,3,2,2025-01-26T02:13:10Z,240000,False,,,0,,R. Dunn Free Throw 2 of 2 (1 PTS),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,
25,PT10M17.00S,2025-01-26T02:13:21.3Z,1,REGULAR,2pt,Jump Shot,[],1629673,15.193823915900131,71.56862745098039,1610612764,3,4,2025-01-26T02:13:26Z,250000,False,-108.0,90.0,1,left,J. Poole 14' pullup Jump Shot (2 PTS) (A. Sarr 1 AST),"[1629673, 1642259]",1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,,,,,,,14.06,Made,2.0,,,,,A. Sarr,1642259.0,1.0,,,,
27,PT10M11.00S,2025-01-26T02:13:29.3Z,1,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612756,3,4,2025-01-26T02:13:36Z,270000,False,,,0,,B. Coulibaly shooting personal FOUL (2 PF) (Booker 2 FT),"[1641731, 1626164]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,101283.0,2.0,0.0,Booker,1626164.0,,,,,,,,,,,,,,,
29,PT10M11.00S,2025-01-26T02:14:02.2Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,4,4,2025-01-26T02:14:02Z,290000,False,,,0,,D. Booker Free Throw 1 of 2 (1 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,
30,PT10M11.00S,2025-01-26T02:14:04.1Z,1,REGULAR,substitution,out,[],1642346,,,1610612756,4,4,2025-01-26T02:14:09Z,300000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M11.00S,2025-01-26T02:14:04.1Z,1,REGULAR,substitution,in,[],203078,,,1610612756,4,4,2025-01-26T02:14:09Z,310000,False,,,0,,SUB in: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT10M11.00S,2025-01-26T02:14:21.2Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,5,4,2025-01-26T02:14:21Z,320000,False,,,0,,D. Booker Free Throw 2 of 2 (2 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,
33,PT10M01.00S,2025-01-26T02:14:32.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,19.530223390275953,91.91176470588235,1610612764,5,4,2025-01-26T02:14:38Z,330000,False,-210.0,131.0,1,left,MISS K. Kuzma 24' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,,24.72,Missed,,,,,,,,,,,,
34,PT09M58.00S,2025-01-26T02:14:35.9Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,5,4,2025-01-26T02:14:38Z,340000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,
35,PT09M53.00S,2025-01-26T02:14:41.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203078,78.66294349540078,29.166666666666668,1610612756,5,4,2025-01-26T02:59:46Z,350000,False,-104.0,148.0,1,right,MISS B. Beal 18' running pullup Shot,[203078],1610612756.0,PHX,running pullup,,,Beal,B. Beal,,,,,Mid-Range,16-24 Left Center,,,,,,,18.11,Missed,,,,,,,,,,,,
36,PT09M48.00S,2025-01-26T02:14:46.4Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,5,4,2025-01-26T02:14:58Z,360000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,
37,PT09M40.00S,2025-01-26T02:14:53.2Z,1,REGULAR,3pt,Jump Shot,[],1642259,28.991458607095925,75.73529411764706,1610612764,5,4,2025-01-26T02:15:00Z,370000,False,-129.0,220.0,1,left,MISS A. Sarr 25' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,,,,,25.49,Missed,,,,,,,,,,,,
38,PT09M39.00S,2025-01-26T02:14:54.2Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,5,4,2025-01-26T02:15:00Z,380000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,
39,PT09M23.00S,2025-01-26T02:15:11.0Z,1,REGULAR,3pt,Jump Shot,[],1626164,96.7969776609724,1.715686274509804,1610612756,5,4,2025-01-26T02:15:15Z,390000,False,-241.0,-22.0,1,right,MISS D. Booker 24' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Left Corner 3,24+ Left,,,,,,,24.24,Missed,,,,,,,,,,,,
40,PT09M21.00S,2025-01-26T02:15:13.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,4,2025-01-26T02:15:15Z,400000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,
70,PT09M16.00S,2025-01-26T02:15:26.6Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,5,4,2025-01-26T02:33:31Z,415000,False,,,0,,K. Kuzma lost ball out-of-bounds TURNOVER (1 TO),[1628398],1610612764.0,WAS,lost ball,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,101284.0,,,,,1.0,,,,,,,,,,,,,,
43,PT09M16.00S,2025-01-26T02:15:42.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,5,4,2025-01-26T02:21:27Z,430000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M00.00S,2025-01-26T02:18:48.6Z,1,REGULAR,2pt,Layup,['fromturnover'],1630208,88.12417871222075,33.57843137254902,1610612756,5,4,2025-01-26T02:21:27Z,450000,False,-82.0,59.0,1,right,MISS N. Richards 10' cutting Layup - blocked,"[1630208, 1642273]",1610612756.0,PHX,cutting,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,,,,,,,10.12,Missed,,,,,,,,,George,1642273.0,,
46,PT09M00.00S,2025-01-26T02:18:48.6Z,1,REGULAR,block,,[],1642273,,,1610612756,5,4,2025-01-26T02:18:50Z,460000,False,,,0,,K. George BLOCK (1 BLK),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
47,PT08M58.00S,2025-01-26T02:18:50.6Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,5,4,2025-01-26T02:18:53Z,470000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,8-16 Left,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,
48,PT08M55.00S,2025-01-26T02:18:53.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628398,9.017739816031538,46.568627450980394,1610612764,5,6,2025-01-26T03:00:33Z,480000,False,17.0,32.0,1,left,K. Kuzma running finger roll Layup (4 PTS) (K. George 1 AST),"[1628398, 1642273]",1610612764.0,WAS,running finger roll,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,,3.66,Made,4.0,,,,,K. George,1642273.0,1.0,,,,
50,PT08M49.00S,2025-01-26T02:19:00.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,76.5604467805519,11.27450980392157,1610612756,5,6,2025-01-26T03:07:56Z,500000,False,-194.0,168.0,1,right,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,25.62,Missed,,,,,,,,,,,,
51,PT08M46.00S,2025-01-26T02:19:03.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,6,2025-01-26T02:19:03Z,510000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,
52,PT08M40.00S,2025-01-26T02:19:08.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,18.610381077529567,3.1862745098039214,1610612764,5,6,2025-01-26T02:20:29Z,520000,False,234.0,122.0,1,left,MISS J. Poole 26' running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,,,,,26.42,Missed,,,,,,,,,,,,
53,PT08M38.00S,2025-01-26T02:19:10.5Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,5,6,2025-01-26T02:19:12Z,530000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,52.0,2.0,1.0,1.0,,,,,,,
54,PT08M31.00S,2025-01-26T02:19:18.1Z,1,REGULAR,2pt,Jump Shot,[],1626145,84.83902759526939,70.83333333333334,1610612756,7,6,2025-01-26T02:19:21Z,540000,False,104.0,90.0,1,right,T. Jones 13' driving floating Jump Shot (2 PTS),[1626145],1610612756.0,PHX,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,,13.77,Made,2.0,,,,,,,,,,,
55,PT08M17.00S,2025-01-26T02:19:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628398,28.33442838370565,72.05882352941177,1610612764,7,9,2025-01-26T02:19:37Z,550000,False,-110.0,214.0,1,left,K. Kuzma 24' 3PT pullup (7 PTS),[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,,,,24.06,Made,7.0,,,,,,,,,,,
56,PT08M04.00S,2025-01-26T02:19:45.3Z,1,REGULAR,3pt,Jump Shot,[],201142,75.64060446780552,87.00980392156863,1610612756,7,9,2025-01-26T02:19:51Z,560000,False,185.0,176.0,1,right,MISS K. Durant 25' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,,25.57,Missed,,,,,,,,,,,,
57,PT08M00.00S,2025-01-26T02:19:49.3Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,7,9,2025-01-26T02:19:51Z,570000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,
58,PT07M46.00S,2025-01-26T02:20:02.3Z,1,REGULAR,turnover,bad pass,[],1642273,,,1610612764,7,9,2025-01-26T02:20:07Z,580000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1642273, 1626164]",1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,8-16 Left,,,,,,1.0,,,,,,,,,,,,,Booker,1626164.0
59,PT07M46.00S,2025-01-26T02:20:02.3Z,1,REGULAR,steal,,[],1626164,,,1610612756,7,9,2025-01-26T02:20:03Z,590000,False,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
60,PT07M42.00S,2025-01-26T02:20:07.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626164,91.93495400788436,45.83333333333333,1610612756,7,9,2025-01-26T02:20:13Z,600000,False,-21.0,23.0,1,right,MISS D. Booker running Layup - blocked,"[1626164, 1629673]",1610612756.0,PHX,running,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,,,,3.12,Missed,,,,,,,,,Poole,1629673.0,,
61,PT07M42.00S,2025-01-26T02:20:07.5Z,1,REGULAR,block,,[],1629673,,,1610612756,7,9,2025-01-26T02:20:09Z,610000,False,,,0,,J. Poole BLOCK (1 BLK),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT07M42.00S,2025-01-26T02:20:07.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,7,9,2025-01-26T02:20:13Z,620000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,60.0,,,,,,,,,,
64,PT07M39.00S,2025-01-26T02:20:26.6Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1626164,96.13994743758212,80.63725490196079,1610612756,9,9,2025-01-26T02:20:35Z,640000,False,153.0,-16.0,1,right,D. Booker 15' step back Jump Shot (4 PTS) (T. Jones 1 AST),"[1626164, 1626145]",1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,,,,,,,15.41,Made,4.0,,,,,T. Jones,1626145.0,1.0,,,,
66,PT07M26.00S,2025-01-26T02:20:41.6Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612764,9,9,2025-01-26T02:20:46Z,660000,False,,,0,,K. Durant shooting personal FOUL (1 PF) (Kuzma 2 FT),"[201142, 1628398]",1610612756.0,PHX,shooting,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,101284.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,,
68,PT07M26.00S,2025-01-26T02:21:12.1Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,9,9,2025-01-26T02:21:12Z,680000,False,,,0,,MISS K. Kuzma Free Throw 1 of 2,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
69,PT07M26.00S,2025-01-26T02:21:12.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,9,9,2025-01-26T02:21:12Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,
71,PT07M26.00S,2025-01-26T02:21:35.6Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,9,10,2025-01-26T02:21:35Z,700000,False,,,0,,K. Kuzma Free Throw 2 of 2 (8 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,Made,8.0,,,,,,,,,,,
72,PT07M11.00S,2025-01-26T02:21:51.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,87.59855453350855,56.127450980392155,1610612756,9,10,2025-01-26T02:22:34Z,710000,False,31.0,64.0,1,right,MISS K. Durant 7' driving floating Shot,[201142],1610612756.0,PHX,driving floating,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.1,Missed,,,,,,,,,,,,
73,PT07M10.00S,2025-01-26T02:21:52.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,9,10,2025-01-26T02:21:55Z,720000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,72.0,3.0,3.0,0.0,,,,,,,
74,PT07M03.00S,2025-01-26T02:21:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,11.383048620236531,44.85294117647059,1610612764,9,10,2025-01-26T02:23:06Z,730000,False,26.0,55.0,1,left,MISS A. Sarr 6' driving floating Shot,[1642259],1610612764.0,WAS,driving floating,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.03,Missed,,,,,,,,,,,,
75,PT07M01.00S,2025-01-26T02:22:01.6Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,9,10,2025-01-26T02:22:03Z,740000,False,,,0,,N. Richards REBOUND (Off:1 Def:2),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,74.0,3.0,2.0,1.0,,,,,,,
76,PT06M55.00S,2025-01-26T02:22:08.0Z,1,REGULAR,3pt,Jump Shot,[],203078,96.00854139290408,95.09803921568627,1610612756,12,10,2025-01-26T02:23:27Z,750000,False,225.0,-15.0,1,right,B. Beal 3PT  (3 PTS) (D. Booker 1 AST),"[203078, 1626164]",1610612756.0,PHX,,,,Beal,B. Beal,,,,,Right Corner 3,24+ Right,,,,,,,22.6,Made,3.0,,,,,D. Booker,1626164.0,1.0,,,,
78,PT06M31.00S,2025-01-26T02:22:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,11.777266754270697,40.19607843137255,1610612764,12,10,2025-01-26T02:22:35Z,770000,False,49.0,58.0,1,left,MISS J. Poole 7' driving Layup - blocked,"[1629673, 203078]",1610612764.0,WAS,driving,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.61,Missed,,,,,,,,,Beal,203078.0,,
79,PT06M31.00S,2025-01-26T02:22:31.2Z,1,REGULAR,block,,[],203078,,,1610612764,12,10,2025-01-26T02:24:49Z,780000,False,,,0,,B. Beal BLOCK (1 BLK),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
80,PT06M29.00S,2025-01-26T02:22:33.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,12,10,2025-01-26T02:22:35Z,790000,False,,,0,,N. Richards REBOUND (Off:1 Def:3),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,78.0,4.0,3.0,1.0,,,,,,,
81,PT06M24.00S,2025-01-26T02:22:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,92.06636005256242,48.77450980392157,1610612756,12,10,2025-01-26T02:24:41Z,800000,False,-6.0,22.0,1,right,MISS K. Durant driving Layup,[201142],1610612756.0,PHX,driving,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,2.29,Missed,,,,,,,,,,,,
83,PT06M23.00S,2025-01-26T02:22:39.3Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612756,12,10,2025-01-26T02:25:25Z,820000,False,,,0,,N. Richards REBOUND (Off:2 Def:3),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,81.0,5.0,3.0,2.0,,,,,,,
84,PT06M22.00S,2025-01-26T02:22:41.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,93.51182654402102,53.92156862745098,1610612756,12,10,2025-01-26T02:25:30Z,830000,False,20.0,8.0,1,right,MISS N. Richards putback Layup - blocked,"[1630208, 1642259]",1610612756.0,PHX,putback,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,2.14,Missed,,,,,,,,,Sarr,1642259.0,,
