actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
36,PT08M21.00S,2025-03-31T01:14:23.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,7.835085413929041,45.83333333333333,1610612756,9,9,2025-03-31T01:28:29Z,360000,False,21.0,21.0,1,left,MISS N. Richards cutting DUNK,[1630208],1610612756.0,PHX,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,2.96,Missed,,,,,,,,,,,,,,,,,,
37,PT08M20.00S,2025-03-31T01:14:25.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,9,9,2025-03-31T01:14:25Z,370000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,
38,PT08M13.00S,2025-03-31T01:14:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,95.3515111695138,49.754901960784316,1610612745,9,9,2025-03-31T01:14:37Z,380000,False,-1.0,-9.0,1,right,MISS J. Green driving reverse Layup,[1630224],1610612745.0,HOU,driving reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.89,Missed,,,,,,,,,,,,,,,,,,
39,PT08M11.00S,2025-03-31T01:14:33.3Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,9,9,2025-03-31T01:14:33Z,390000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,
40,PT08M09.00S,2025-03-31T01:14:35.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628415,67.7562417871222,24.754901960784316,1610612745,9,9,2025-03-31T01:14:39Z,400000,False,-126.0,251.0,1,right,MISS D. Brooks 28' pullup 3PT,[1628415],1610612745.0,HOU,pullup,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,28.06,Missed,,,,,,,,,,,,,,,,,,
41,PT08M07.00S,2025-03-31T01:14:37.4Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,9,9,2025-03-31T01:14:39Z,410000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,40.0,1.0,0.0,1.0,,,,,,,,
42,PT08M06.00S,2025-03-31T01:14:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641708,92.72339027595268,51.225490196078425,1610612745,9,11,2025-03-31T01:14:45Z,420000,False,6.0,16.0,1,right,A. Thompson putback Layup (4 PTS),[1641708],1610612745.0,HOU,putback,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.7,Made,4.0,,,,,,,,,,,,,,,,,
43,PT07M56.00S,2025-03-31T01:14:48.3Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,9,11,2025-03-31T01:14:54Z,430000,False,,,0,,D. Booker bad pass out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,1628954.0,,,,,,,,,,,,,,1.0,,
44,PT07M45.00S,2025-03-31T01:15:07.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630578,77.87450722733246,58.08823529411765,1610612745,9,11,2025-03-31T01:18:01Z,440000,False,40.0,155.0,1,right,MISS A. Sengun 16' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,16.07,Missed,,,,,,,,,,,,,,,,,,
45,PT07M42.00S,2025-03-31T01:15:10.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,9,11,2025-03-31T01:15:11Z,450000,False,,,0,,K. Durant REBOUND (Off:1 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,
46,PT07M34.00S,2025-03-31T01:15:18.4Z,1,REGULAR,2pt,Jump Shot,[],201142,17.0335085413929,72.54901960784314,1610612756,9,11,2025-03-31T01:15:22Z,460000,False,-113.0,108.0,1,left,MISS K. Durant 15' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,15.58,Missed,,,,,,,,,,,,,,,,,,
47,PT07M30.00S,2025-03-31T01:15:21.9Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612756,9,11,2025-03-31T01:15:21Z,470000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,,,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,
48,PT07M29.00S,2025-03-31T01:15:22.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,31.750985545335087,66.42156862745098,1610612756,9,11,2025-03-31T01:15:28Z,480000,False,-82.0,246.0,1,left,MISS K. Durant 25' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,,,,,,,,,,,,,,,,,
49,PT07M28.00S,2025-03-31T01:15:23.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,9,11,2025-03-31T01:15:28Z,490000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,48.0,,,,,,,,,,,
51,PT07M15.00S,2025-03-31T01:15:49.3Z,1,REGULAR,3pt,Jump Shot,[],1641708,72.48685939553219,17.401960784313726,1610612745,9,11,2025-03-31T01:15:54Z,510000,False,-163.0,206.0,1,right,MISS A. Thompson 26' 3PT,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
52,PT07M10.00S,2025-03-31T01:15:54.3Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,9,11,2025-03-31T01:15:54Z,520000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,
53,PT07M03.00S,2025-03-31T01:15:59.6Z,1,REGULAR,3pt,Jump Shot,[],1631221,25.04927726675427,81.61764705882352,1610612756,9,11,2025-03-31T01:16:05Z,530000,False,-158.0,183.0,1,left,MISS C. Gillespie 24' 3PT,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,24.18,Missed,,,,,,,,,,,,,,,,,,
54,PT07M01.00S,2025-03-31T01:16:02.9Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,9,11,2025-03-31T01:16:02Z,540000,False,,,0,,R. Dunn REBOUND (Off:1 Def:0),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,,,,,53.0,1.0,0.0,1.0,,,,,,,,
55,PT07M00.00S,2025-03-31T01:16:03.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642346,8.754927726675426,49.26470588235294,1610612756,11,11,2025-03-31T01:19:02Z,550000,False,4.0,30.0,1,left,R. Dunn driving finger roll Layup (2 PTS),[1642346],1610612756.0,PHX,driving finger roll,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,3.0,Made,2.0,,,,,,,,,,,,,,,,,
56,PT06M46.00S,2025-03-31T01:16:16.6Z,1,REGULAR,3pt,Jump Shot,[],1627832,93.51182654402102,96.56862745098039,1610612745,11,11,2025-03-31T01:16:21Z,560000,False,233.0,8.0,1,right,MISS F. VanVleet 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Right Corner 3,24+ Right,23.3,Missed,,,,,,,,,,,,,,,,,,
57,PT06M43.00S,2025-03-31T01:16:20.0Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,11,11,2025-03-31T01:16:20Z,570000,False,,,0,,A. Thompson REBOUND (Off:2 Def:0),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,,,,,,,,,56.0,2.0,0.0,2.0,,,,,,,,
58,PT06M41.00S,2025-03-31T01:16:24.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628415,93.51182654402102,50.245098039215684,1610612745,11,11,2025-03-31T01:20:09Z,580000,False,1.0,8.0,1,right,MISS D. Brooks driving reverse Layup,[1628415],1610612745.0,HOU,driving reverse,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,0.86,Missed,,,,,,,,,,,,,,,,,,
59,PT06M39.00S,2025-03-31T01:16:26.8Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,11,11,2025-03-31T01:20:09Z,590000,False,,,0,,A. Thompson REBOUND (Off:3 Def:0),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,58.0,3.0,0.0,3.0,,,,,,,,
64,PT06M37.00S,2025-03-31T01:16:27.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641708,93.64323258869908,48.28431372549019,1610612745,11,11,2025-03-31T01:20:22Z,595000,False,-9.0,7.0,1,right,MISS A. Thompson tip Layup,[1641708],1610612745.0,HOU,tip,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.13,Missed,,,,,,,,,,,,,,,,,,
65,PT06M36.00S,2025-03-31T01:16:28.5Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,11,11,2025-03-31T01:20:22Z,597500,False,,,0,,A. Thompson REBOUND (Off:4 Def:0),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,64.0,4.0,0.0,4.0,,,,,,,,
60,PT06M36.00S,2025-03-31T01:16:30.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641708,93.64323258869908,49.01960784313725,1610612745,11,13,2025-03-31T01:20:28Z,600000,False,-5.0,7.0,1,right,A. Thompson putback Layup (6 PTS),[1641708],1610612745.0,HOU,putback,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,0.88,Made,6.0,,,,,,,,,,,,,,,,,
61,PT06M21.00S,2025-03-31T01:16:43.0Z,1,REGULAR,3pt,Jump Shot,[],1631221,7.966491458607096,1.715686274509804,1610612756,14,13,2025-03-31T01:16:46Z,610000,False,241.0,22.0,1,left,C. Gillespie 24' 3PT  (3 PTS) (K. Durant 1 AST),"[1631221, 201142]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Right Corner 3,24+ Right,24.24,Made,3.0,,,,,,,,,,,,K. Durant,201142.0,1.0,,,
63,PT06M20.00S,2025-03-31T01:16:47.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,14,13,2025-03-31T01:16:47Z,630000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M20.00S,2025-03-31T01:18:57.6Z,1,REGULAR,substitution,out,[],1630208,,,1610612745,14,13,2025-03-31T01:19:37Z,640000,False,,,0,,SUB out: N. Richards,[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M20.00S,2025-03-31T01:18:57.6Z,1,REGULAR,substitution,out,[],1641708,,,1610612745,14,13,2025-03-31T01:19:37Z,650000,False,,,0,,SUB out: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M20.00S,2025-03-31T01:18:57.6Z,1,REGULAR,substitution,out,[],1630578,,,1610612745,14,13,2025-03-31T01:19:37Z,660000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M20.00S,2025-03-31T01:18:57.6Z,1,REGULAR,substitution,in,[],1642345,,,1610612745,14,13,2025-03-31T01:19:37Z,670000,False,,,0,,SUB in: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M20.00S,2025-03-31T01:18:57.6Z,1,REGULAR,substitution,in,[],203500,,,1610612745,14,13,2025-03-31T01:19:37Z,680000,False,,,0,,SUB in: S. Adams,[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M20.00S,2025-03-31T01:18:57.6Z,1,REGULAR,substitution,in,[],1631095,,,1610612745,14,13,2025-03-31T01:19:37Z,690000,False,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M01.00S,2025-03-31T01:19:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,82.86793692509855,50.49019607843137,1610612745,14,13,2025-03-31T01:20:04Z,700000,False,2.0,109.0,1,right,MISS J. Green 10' turnaround fadeaway Shot,[1630224],1610612745.0,HOU,turnaround fadeaway,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,10.85,Missed,,,,,,,,,,,,,,,,,,
73,PT05M58.00S,2025-03-31T01:20:02.2Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,14,13,2025-03-31T01:20:04Z,710000,False,,,0,,K. Durant REBOUND (Off:1 Def:3),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,72.0,4.0,3.0,1.0,,,,,,,,
74,PT05M35.00S,2025-03-31T01:20:26.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642345,13.748357424441524,60.049019607843135,1610612756,16,13,2025-03-31T01:21:19Z,720000,False,-50.0,77.0,1,left,O. Ighodaro 9' floating Jump Shot (2 PTS) (C. Gillespie 2 AST),"[1642345, 1631221]",1610612756.0,PHX,floating,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),8-16 Left,9.17,Made,2.0,,,,,,,,,,,,C. Gillespie,1631221.0,2.0,,,
76,PT05M17.00S,2025-03-31T01:20:43.0Z,1,REGULAR,3pt,Jump Shot,[],1628415,79.84559789750328,91.42156862745098,1610612745,16,16,2025-03-31T01:20:47Z,740000,False,207.0,137.0,1,right,D. Brooks 24' 3PT  (8 PTS) (J. Smith Jr. 1 AST),"[1628415, 1631095]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,24.83,Made,8.0,,,,,,,,,,,,J. Smith Jr.,1631095.0,1.0,,,
78,PT05M05.00S,2025-03-31T01:20:55.5Z,1,REGULAR,2pt,Jump Shot,[],1626164,21.107095926412615,30.637254901960787,1610612756,18,16,2025-03-31T01:20:59Z,760000,False,97.0,146.0,1,left,D. Booker 17' pullup Jump Shot (7 PTS) (C. Gillespie 3 AST),"[1626164, 1631221]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,17.51,Made,7.0,,,,,,,,,,,,C. Gillespie,1631221.0,3.0,,,
