actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
52,PT06M34.00S,2025-04-10T02:24:40.0Z,1,REGULAR,rebound,offensive,[],1626168,,,1610612758,7,12,2025-04-10T02:24:44Z,510000,False,,,0,,T. Lyles REBOUND (Off:1 Def:0),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Left Center,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,,,
53,PT06M34.00S,2025-04-10T02:24:45.0Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612758,7,12,2025-04-10T02:24:58Z,520000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Lyles 2 FT),"[1629008, 1626168]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628159.0,,1.0,0.0,Lyles,1626168.0,,,,,,,
55,PT06M34.00S,2025-04-10T02:25:13.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1626168,,,1610612758,8,12,2025-04-10T02:25:13Z,540000,False,,,0,,T. Lyles Free Throw 1 of 2 (4 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
56,PT06M34.00S,2025-04-10T02:25:30.6Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1626168,,,1610612758,9,12,2025-04-10T02:25:30Z,550000,False,,,0,,T. Lyles Free Throw 2 of 2 (5 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
57,PT06M13.00S,2025-04-10T02:25:51.3Z,1,REGULAR,3pt,Jump Shot,[],1631128,91.40932982917214,2.696078431372549,1610612743,9,12,2025-04-10T02:25:56Z,560000,False,-237.0,28.0,1,right,MISS C. Braun 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,23.82,Missed,,,,,,,,,,,,,,,,,,
58,PT06M10.00S,2025-04-10T02:25:54.3Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,9,12,2025-04-10T02:25:56Z,570000,False,,,0,,T. Lyles REBOUND (Off:1 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Left Corner 3,24+ Left,,,57.0,2.0,1.0,1.0,,,,,,,,,,,,,,
60,PT06M02.00S,2025-04-10T02:26:14.4Z,1,REGULAR,substitution,out,[],1629008,,,1610612758,9,12,2025-04-10T02:26:20Z,590000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M02.00S,2025-04-10T02:26:14.4Z,1,REGULAR,substitution,in,[],1631212,,,1610612758,9,12,2025-04-10T02:26:20Z,600000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M55.00S,2025-04-10T02:26:33.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,6.1268068331143235,55.88235294117647,1610612758,11,12,2025-04-10T02:26:53Z,610000,False,-29.0,5.0,1,left,D. Sabonis cutting DUNK (4 PTS) (D. DeRozan 1 AST),"[1627734, 201942]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,2.98,Made,,,,,4.0,,,,,,,D. DeRozan,201942.0,1.0,,,,
64,PT05M38.00S,2025-04-10T02:26:50.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,86.81011826544021,62.99019607843137,1610612743,11,14,2025-04-10T02:26:57Z,630000,False,65.0,71.0,1,right,N. Jokić 9' turnaround Jump Shot (2 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,turnaround,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Right,9.66,Made,,,,,2.0,,,,,,,A. Gordon,203932.0,1.0,,,,
66,PT05M28.00S,2025-04-10T02:27:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,6.1268068331143235,57.84313725490197,1610612758,13,14,2025-04-10T02:27:07Z,650000,False,-39.0,5.0,1,left,D. DeRozan driving reverse Layup (2 PTS),[201942],1610612758.0,SAC,driving reverse,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,3.95,Made,,,,,2.0,,,,,,,,,,,,,
67,PT05M18.00S,2025-04-10T02:27:09.6Z,1,REGULAR,3pt,Jump Shot,[],1631128,83.65637319316689,3.431372549019608,1610612743,13,17,2025-04-10T02:27:32Z,660000,False,-233.0,101.0,1,right,C. Braun 25' 3PT pullup (10 PTS),[1631128],1610612743.0,DEN,pullup,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,25.38,Made,,,,,10.0,,,,,,,,,,,,,
69,PT05M13.00S,2025-04-10T02:27:18.0Z,1,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612758,13,17,2025-04-10T02:27:28Z,680000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (LaVine 2 FT),"[1631212, 203897]",1610612743.0,DEN,shooting,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201246.0,,1.0,0.0,LaVine,203897.0,,,,,,,
71,PT05M13.00S,2025-04-10T02:27:48.9Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612758,14,17,2025-04-10T02:27:48Z,700000,False,,,0,,Z. LaVine Free Throw 1 of 2 (3 PTS),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
72,PT05M13.00S,2025-04-10T02:27:52.6Z,1,REGULAR,substitution,out,[],1627734,,,1610612758,14,17,2025-04-10T02:28:03Z,710000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M13.00S,2025-04-10T02:27:52.6Z,1,REGULAR,substitution,out,[],1629618,,,1610612758,14,17,2025-04-10T02:28:03Z,720000,False,,,0,,SUB out: J. Pickett,[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M13.00S,2025-04-10T02:27:52.6Z,1,REGULAR,substitution,in,[],202685,,,1610612758,14,17,2025-04-10T02:28:03Z,730000,False,,,0,,SUB in: J. Valančiūnas,[202685],1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M13.00S,2025-04-10T02:27:52.6Z,1,REGULAR,substitution,in,[],201566,,,1610612758,14,17,2025-04-10T02:28:03Z,740000,False,,,0,,SUB in: R. Westbrook,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M13.00S,2025-04-10T02:28:12.2Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612758,15,17,2025-04-10T02:28:12Z,750000,False,,,0,,Z. LaVine Free Throw 2 of 2 (4 PTS),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
77,PT05M00.00S,2025-04-10T02:28:26.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,92.06636005256242,48.529411764705884,1610612743,15,19,2025-04-10T02:29:05Z,760000,False,-7.0,22.0,1,right,A. Gordon alley-oop DUNK (4 PTS) (N. Jokić 1 AST),"[203932, 203999]",1610612743.0,DEN,alley-oop,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,4.0,,,,,,,N. Jokić,203999.0,1.0,,,,
79,PT04M31.00S,2025-04-10T02:28:54.6Z,1,REGULAR,3pt,Jump Shot,[],1631165,32.40801576872536,30.88235294117647,1610612758,18,19,2025-04-10T02:28:59Z,780000,False,96.0,252.0,1,left,K. Ellis 26' 3PT  (3 PTS) (T. Lyles 1 AST),"[1631165, 1626168]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Right Center,26.96,Made,,,,,3.0,,,,,,,T. Lyles,1626168.0,1.0,,,,
81,PT04M15.00S,2025-04-10T02:29:10.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,91.01511169513797,51.71568627450981,1610612743,18,21,2025-04-10T02:29:20Z,800000,False,9.0,32.0,1,right,A. Gordon alley-oop DUNK (6 PTS) (N. Jokić 2 AST),"[203932, 203999]",1610612743.0,DEN,alley-oop,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.31,Made,,,,,6.0,,,,,,,N. Jokić,203999.0,2.0,,,,
83,PT03M58.00S,2025-04-10T02:29:28.3Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612758,18,21,2025-04-10T02:29:32Z,820000,False,,,0,,Z. LaVine bad pass TURNOVER (2 TO),"[203897, 203999]",1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Center,,,,,,,,,2.0,,,,,,,,Jokić,203999.0,,
84,PT03M58.00S,2025-04-10T02:29:28.3Z,1,REGULAR,steal,,[],203999,,,1610612743,18,21,2025-04-10T02:29:30Z,830000,False,,,0,,N. Jokić STEAL (2 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
85,PT03M55.00S,2025-04-10T02:29:35.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631128,91.85282522996057,56.640625,1610612743,18,23,2025-04-10T02:29:57Z,840000,False,33.0,24.0,1,right,C. Braun running Layup (12 PTS) (A. Gordon 2 AST),"[1631128, 203932]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,4.1,Made,,,,,12.0,,,,,,,A. Gordon,203932.0,2.0,,,,
87,PT03M55.00S,2025-04-10T02:29:52.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,18,23,2025-04-10T02:29:52Z,860000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
