actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
15,PT11M11.00S,2025-02-22T03:11:23.5Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,0,2025-02-22T03:12:35Z,150000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT11M08.00S,2025-02-22T03:11:25.6Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612758,0,0,2025-02-22T03:12:59Z,160000,False,,,0,,D. DeRozan lost ball out-of-bounds TURNOVER (1 TO),[201942],1610612758.0,SAC,lost ball,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,202037.0,,,,,,,,,,
17,PT10M59.00S,2025-02-22T03:11:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641764,5.913272010512486,44.33976715686274,1610612744,0,0,2025-02-22T03:13:52Z,170000,False,28.0,3.0,1,left,MISS B. Podziemski cutting Layup,[1641764],1610612744.0,GSW,cutting,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,2.85,Missed,,,,,,,,,,,,,,,,,,
19,PT10M57.00S,2025-02-22T03:11:42.1Z,1,REGULAR,rebound,offensive,[],202710,,,1610612744,0,0,2025-02-22T03:13:52Z,190000,False,,,0,,J. Butler III REBOUND (Off:1 Def:0),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M50.00S,2025-02-22T03:11:49.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630541,6.701708278580824,96.79074754901961,1610612744,0,3,2025-02-22T03:14:10Z,200000,False,-234.0,10.0,1,left,M. Moody 3PT  (3 PTS) (S. Curry 1 AST),"[1630541, 201939]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,23.42,Made,,,,,,,,,3.0,S. Curry,201939.0,1.0,,,,,,
22,PT10M33.00S,2025-02-22T03:12:05.1Z,1,REGULAR,3pt,Jump Shot,[],1627734,67.49342969776609,67.64705882352942,1610612758,3,3,2025-02-22T03:14:19Z,220000,False,88.0,253.0,1,right,D. Sabonis 26' 3PT  (3 PTS) (D. DeRozan 1 AST),"[1627734, 201942]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,26.8,Made,,,,,,,,,3.0,D. DeRozan,201942.0,1.0,,,,,,
24,PT10M15.00S,2025-02-22T03:12:23.7Z,1,REGULAR,3pt,Jump Shot,[],1641764,27.858081471747695,15.418198529411768,1610612744,3,3,2025-02-22T03:14:37Z,240000,False,173.0,209.0,1,left,MISS B. Podziemski 27' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,27.16,Missed,,,,,,,,,,,,,,,,,,
25,PT10M13.00S,2025-02-22T03:12:25.7Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,3,3,2025-02-22T03:14:37Z,250000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT10M03.00S,2025-02-22T03:12:34.8Z,1,REGULAR,turnover,out-of-bounds,[],203897,,,1610612758,3,3,2025-02-22T03:14:49Z,260000,False,,,0,,Z. LaVine bad pass out-of-bounds TURNOVER (2 TO),[203897],1610612758.0,SAC,bad pass,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Left Center,,,,,,,2.0,,,200832.0,,,,,,,,,,
27,PT09M48.00S,2025-02-22T03:12:56.1Z,1,REGULAR,foul,personal,[],1631099,,,1610612744,3,3,2025-02-22T03:14:57Z,270000,False,,,0,,K. Murray personal FOUL (1 PF),"[1631099, 201939]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,200832.0,,,,,1.0,0.0,Curry,201939.0,,
29,PT09M41.00S,2025-02-22T03:13:20.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,6.783837056504599,96.32352941176471,1610612744,3,6,2025-02-22T03:13:26Z,290000,False,-232.0,11.0,1,left,S. Curry 3PT  (3 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,23.19,Made,,,,,,,,,3.0,D. Green,203110.0,1.0,,,,,,
31,PT09M21.00S,2025-02-22T03:13:38.9Z,1,REGULAR,3pt,Jump Shot,[],201942,88.64980289093299,95.83333333333334,1610612758,6,6,2025-02-22T03:13:43Z,310000,False,229.0,54.0,1,right,D. DeRozan 3PT  (3 PTS) (D. Sabonis 1 AST),"[201942, 1627734]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Right Corner 3,24+ Right,23.55,Made,,,,,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,
33,PT09M11.00S,2025-02-22T03:13:53.8Z,1,REGULAR,3pt,Jump Shot,[],1630541,13.222733245729303,97.05882352941177,1610612744,6,6,2025-02-22T03:16:06Z,330000,False,-235.0,72.0,1,left,MISS M. Moody 24' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,24.6,Missed,,,,,,,,,,,,,,,,,,
34,PT09M09.00S,2025-02-22T03:13:55.8Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,6,6,2025-02-22T03:16:06Z,340000,False,,,0,,D. Green REBOUND (Off:2 Def:0),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,,,33.0,2.0,0.0,2.0,,,,,,,,,,,,,,
35,PT09M04.00S,2025-02-22T03:13:59.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641764,18.65965834428384,39.192708333333336,1610612744,6,8,2025-02-22T03:16:17Z,350000,False,54.0,123.0,1,left,B. Podziemski 13' driving floating Jump Shot (2 PTS) (D. Green 2 AST),"[1641764, 203110]",1610612744.0,GSW,driving floating,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,13.42,Made,,,,,,,,,2.0,D. Green,203110.0,2.0,,,,,,
37,PT08M53.00S,2025-02-22T03:14:11.3Z,1,REGULAR,3pt,Jump Shot,[],201942,89.70105124835742,1.4705882352941175,1610612758,6,8,2025-02-22T03:16:32Z,370000,False,-243.0,44.0,1,right,MISS D. DeRozan 24' 3PT,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,24.66,Missed,,,,,,,,,,,,,,,,,,
38,PT08M51.00S,2025-02-22T03:14:13.3Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,6,8,2025-02-22T03:16:32Z,380000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,,,37.0,1.0,0.0,1.0,,,,,,,,,,,,,,
39,PT08M48.00S,2025-02-22T03:14:15.1Z,1,REGULAR,turnover,lost ball,[],1631099,,,1610612758,6,8,2025-02-22T03:16:55Z,390000,False,,,0,,K. Murray lost ball TURNOVER (1 TO),"[1631099, 201939]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Right,,,,,,,1.0,Curry,201939.0,,,,,,,,,,,
40,PT08M48.00S,2025-02-22T03:14:15.1Z,1,REGULAR,steal,,[],201939,,,1610612744,6,8,2025-02-22T03:14:17Z,400000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
41,PT08M40.00S,2025-02-22T03:14:22.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203110,10.249671484888296,50.61274509803921,1610612744,6,10,2025-02-22T03:17:17Z,410000,False,-3.0,44.0,1,left,D. Green running Layup (2 PTS) (S. Curry 2 AST),"[203110, 201939]",1610612744.0,GSW,running,,,Green,D. Green,,,,,Restricted Area,0-8 Center,4.39,Made,,,,,,,,,2.0,S. Curry,201939.0,2.0,,,,,,
43,PT08M39.00S,2025-02-22T03:14:32.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,6,10,2025-02-22T03:14:32Z,430000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M39.00S,2025-02-22T03:17:05.0Z,1,REGULAR,substitution,out,[],203897,,,1610612758,6,10,2025-02-22T03:17:27Z,440000,False,,,0,,SUB out: Z. LaVine,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M39.00S,2025-02-22T03:17:05.0Z,1,REGULAR,substitution,in,[],1631165,,,1610612758,6,10,2025-02-22T03:17:27Z,450000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M26.00S,2025-02-22T03:17:43.5Z,1,REGULAR,3pt,Jump Shot,[],1631099,68.22642904073588,79.1436887254902,1610612758,9,10,2025-02-22T03:18:01Z,460000,False,146.0,246.0,1,right,K. Murray 28' 3PT  (3 PTS) (D. Sabonis 2 AST),"[1631099, 1627734]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,28.61,Made,,,,,,,,,3.0,D. Sabonis,1627734.0,2.0,,,,,,
48,PT08M09.00S,2025-02-22T03:18:02.5Z,1,REGULAR,3pt,Jump Shot,[],202710,31.061103810775293,73.77450980392157,1610612744,9,10,2025-02-22T03:18:29Z,480000,False,-119.0,239.0,1,left,MISS J. Butler III 26' 3PT,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Above the Break 3,24+ Left Center,26.74,Missed,,,,,,,,,,,,,,,,,,
49,PT08M07.00S,2025-02-22T03:18:04.5Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,9,10,2025-02-22T03:18:29Z,490000,False,,,0,,K. Murray REBOUND (Off:1 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,48.0,2.0,1.0,1.0,,,,,,,,,,,,,,
50,PT08M00.00S,2025-02-22T03:18:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,90.09526938239159,41.17647058823529,1610612758,9,10,2025-02-22T03:18:58Z,500000,False,-44.0,41.0,1,right,MISS K. Murray pullup bank Shot,[1631099],1610612758.0,SAC,pullup bank,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,5.99,Missed,,,,,,,,,,,,,,,,,,
51,PT07M55.00S,2025-02-22T03:18:16.2Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,9,10,2025-02-22T03:18:58Z,510000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M54.00S,2025-02-22T03:18:18.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202710,8.147174770039427,44.33976715686274,1610612744,9,10,2025-02-22T03:19:40Z,520000,False,28.0,24.0,1,left,MISS J. Butler III running Layup,[202710],1610612744.0,GSW,running,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,3.72,Missed,,,,,,,,,,,,,,,,,,
53,PT07M52.00S,2025-02-22T03:18:20.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,9,10,2025-02-22T03:19:40Z,530000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,,
54,PT07M39.00S,2025-02-22T03:18:30.1Z,1,REGULAR,3pt,Jump Shot,[],201942,69.99014454664915,75.24509803921569,1610612758,12,10,2025-02-22T03:18:50Z,540000,False,126.0,230.0,1,right,D. DeRozan 26' 3PT  (6 PTS) (D. Sabonis 3 AST),"[201942, 1627734]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,26.2,Made,,,,,,,,,6.0,D. Sabonis,1627734.0,3.0,,,,,,
56,PT07M26.00S,2025-02-22T03:18:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,11.300919842312751,56.161917892156865,1610612744,12,12,2025-02-22T03:20:13Z,560000,False,-31.0,54.0,1,left,B. Podziemski 6' cutting Layup (4 PTS) (M. Moody 1 AST),"[1641764, 1630541]",1610612744.0,GSW,cutting,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),0-8 Center,6.19,Made,,,,,,,,,4.0,M. Moody,1630541.0,1.0,,,,,,
58,PT07M19.00S,2025-02-22T03:18:54.1Z,1,REGULAR,turnover,double dribble,[],1627734,,,1610612758,12,12,2025-02-22T03:20:27Z,580000,False,,,0,,D. Sabonis double dribble TURNOVER (1 TO),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,1.0,,,202037.0,,,,,,,,,,
59,PT07M19.00S,2025-02-22T03:19:01.7Z,1,REGULAR,substitution,out,[],1641764,,,1610612744,12,12,2025-02-22T03:19:36Z,590000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M19.00S,2025-02-22T03:19:01.7Z,1,REGULAR,substitution,in,[],1627741,,,1610612744,12,12,2025-02-22T03:19:36Z,600000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M11.00S,2025-02-22T03:19:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203110,12.220762155059134,40.66329656862745,1610612744,12,12,2025-02-22T03:21:10Z,610000,False,47.0,62.0,1,left,MISS D. Green 7' driving Layup,[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,7.79,Missed,,,,,,,,,,,,,,,,,,
62,PT07M09.00S,2025-02-22T03:19:42.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,12,12,2025-02-22T03:21:10Z,620000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,61.0,3.0,2.0,1.0,,,,,,,,,,,,,,
63,PT07M04.00S,2025-02-22T03:19:45.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628370,91.59001314060447,40.908394607843135,1610612758,14,12,2025-02-22T03:21:39Z,630000,False,-45.0,27.0,1,right,M. Monk running DUNK (2 PTS) (D. Sabonis 4 AST),"[1628370, 1627734]",1610612758.0,SAC,running,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,5.27,Made,,,,,,,,,2.0,D. Sabonis,1627734.0,4.0,,,,,,
65,PT06M46.00S,2025-02-22T03:20:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,10.512483574244413,63.759957107843135,1610612744,14,12,2025-02-22T03:22:16Z,650000,False,-69.0,46.0,1,left,MISS D. Green 8' driving floating bank Shot,[203110],1610612744.0,GSW,driving floating bank,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Left,8.29,Missed,,,,,,,,,,,,,,,,,,
66,PT06M45.00S,2025-02-22T03:20:05.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,14,12,2025-02-22T03:22:16Z,660000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Left,,,65.0,4.0,3.0,1.0,,,,,,,,,,,,,,
67,PT06M39.00S,2025-02-22T03:20:13.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631165,65.25952693823915,49.754901960784316,1610612758,14,12,2025-02-22T03:22:44Z,670000,False,-1.0,274.0,1,right,MISS K. Ellis 27' running 3PT,[1631165],1610612758.0,SAC,running,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Center,27.41,Missed,,,,,,,,,,,,,,,,,,
68,PT06M36.00S,2025-02-22T03:20:16.0Z,1,REGULAR,rebound,offensive,[],1631165,,,1610612758,14,12,2025-02-22T03:22:44Z,680000,False,,,0,,K. Ellis REBOUND (Off:1 Def:0),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Center,,,67.0,1.0,0.0,1.0,,,,,,,,,,,,,,
69,PT06M34.00S,2025-02-22T03:20:22.1Z,1,REGULAR,foul,personal,[],1627741,,,1610612758,14,12,2025-02-22T03:23:17Z,690000,False,,,0,,B. Hield personal FOUL (1 PF),"[1627741, 1631165]",1610612744.0,GSW,,,,Hield,B. Hield,,,,,Mid-Range,8-16 Left,,,,,,,,,,200832.0,,,,,1.0,0.0,Ellis,1631165.0,,
71,PT06M34.00S,2025-02-22T03:20:42.2Z,1,REGULAR,substitution,out,[],202710,,,1610612758,14,12,2025-02-22T03:20:45Z,710000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M34.00S,2025-02-22T03:20:42.2Z,1,REGULAR,substitution,in,[],1627780,,,1610612758,14,12,2025-02-22T03:20:45Z,720000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M26.00S,2025-02-22T03:20:54.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201942,76.74113009198423,26.692708333333343,1610612758,16,12,2025-02-22T03:23:35Z,730000,False,-117.0,166.0,1,right,D. DeRozan 20' pullup Jump Shot (8 PTS) (D. Sabonis 5 AST),"[201942, 1627734]",1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,20.29,Made,,,,,,,,,8.0,D. Sabonis,1627734.0,5.0,,,,,,
75,PT06M14.00S,2025-02-22T03:21:06.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,8.147174770039427,46.54564950980392,1610612744,16,14,2025-02-22T03:23:47Z,750000,False,17.0,24.0,1,left,G. Payton II cutting Layup (2 PTS) (S. Curry 3 AST),"[1627780, 201939]",1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,,,,,2.0,S. Curry,201939.0,3.0,,,,,,
77,PT06M04.00S,2025-02-22T03:21:15.8Z,1,REGULAR,3pt,Jump Shot,[],201942,69.99014454664915,25.98039215686275,1610612758,19,14,2025-02-22T03:23:55Z,770000,False,-120.0,230.0,1,right,D. DeRozan 25' 3PT  (11 PTS) (D. Sabonis 6 AST),"[201942, 1627734]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,25.91,Made,,,,,,,,,11.0,D. Sabonis,1627734.0,6.0,,,,,,
79,PT05M52.00S,2025-02-22T03:21:29.2Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,19,14,2025-02-22T03:24:14Z,790000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1631165]",1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Ellis,1631165.0,,,,,,,,,,,
80,PT05M52.00S,2025-02-22T03:21:29.2Z,1,REGULAR,steal,,[],1631165,,,1610612758,19,14,2025-02-22T03:21:31Z,800000,False,,,0,,K. Ellis STEAL (1 STL),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
81,PT05M48.00S,2025-02-22T03:21:33.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628370,70.51576872536137,23.284313725490197,1610612758,19,14,2025-02-22T03:24:47Z,810000,False,-134.0,225.0,1,right,MISS M. Monk 26' running 3PT,[1628370],1610612758.0,SAC,running,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,26.14,Missed,,,,,,,,,,,,,,,,,,
82,PT05M45.00S,2025-02-22T03:21:36.4Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,19,14,2025-02-22T03:24:47Z,820000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,
83,PT05M36.00S,2025-02-22T03:21:43.0Z,1,REGULAR,3pt,Jump Shot,[],1630541,5.995400788436268,4.411764705882353,1610612744,19,17,2025-02-22T03:21:49Z,830000,False,228.0,4.0,1,left,M. Moody 3PT  (6 PTS) (B. Hield 1 AST),"[1630541, 1627741]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Right Corner 3,24+ Right,22.79,Made,,,,,,,,,6.0,B. Hield,1627741.0,1.0,,,,,,
85,PT05M26.00S,2025-02-22T03:21:56.4Z,1,REGULAR,3pt,Jump Shot,[],1627734,65.80363009198423,59.43627450980392,1610612758,19,17,2025-02-22T03:25:15Z,850000,False,47.0,269.0,1,right,MISS D. Sabonis 27' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,27.3,Missed,,,,,,,,,,,,,,,,,,
86,PT05M23.00S,2025-02-22T03:21:59.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,19,17,2025-02-22T03:25:15Z,860000,False,,,0,,D. Green REBOUND (Off:2 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,85.0,3.0,1.0,2.0,,,,,,,,,,,,,,
