actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
17,PT10M45.00S,2025-01-07T03:14:47.3Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,0,0,2025-01-07T03:14:53Z,160000,False,,,0,,T. Herro lost ball TURNOVER (1 TO),"[1629639, 1631165]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,Ellis,1631165.0,,,,,,,,,,
18,PT10M45.00S,2025-01-07T03:14:47.3Z,1,REGULAR,steal,,[],1631165,,,1610612758,0,0,2025-01-07T03:14:50Z,170000,False,,,0,,K. Ellis STEAL (1 STL),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
19,PT10M45.00S,2025-01-07T03:14:52.1Z,1,REGULAR,foul,personal,['1freethrow'],1629639,,,1610612758,0,0,2025-01-07T03:35:17Z,180000,False,,,0,,T. Herro transition take personal FOUL (1 PF) (Ellis 1 FT),"[1629639, 1631165]",1610612748.0,MIA,transition take,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,202007.0,,,,,,,,,,1.0,0.0,Ellis,1631165.0,,,,,,
21,PT10M45.00S,2025-01-07T03:15:35.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1631165,,,1610612758,1,0,2025-01-07T03:35:26Z,200000,False,,,0,,K. Ellis transition take Free Throw 1 of 1 (1 PTS),[1631165],1610612758.0,SAC,transition take,,,Ellis,K. Ellis,,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,
22,PT10M34.00S,2025-01-07T03:16:05.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627734,7.30946123521682,62.254901960784316,1610612758,1,0,2025-01-07T03:18:00Z,210000,False,-61.0,16.0,1,left,MISS D. Sabonis 6' Hook,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,6.34,Missed,,,,,,,,,,,,,,,,
23,PT10M32.00S,2025-01-07T03:16:07.5Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,1,0,2025-01-07T03:16:14Z,220000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,
24,PT10M32.00S,2025-01-07T03:16:09.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627734,8.09789750328515,52.94117647058824,1610612758,1,0,2025-01-07T03:18:37Z,230000,False,-15.0,24.0,1,left,MISS D. Sabonis putback Layup,[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,2.78,Missed,,,,,,,,,,,,,,,,
25,PT10M31.00S,2025-01-07T03:16:10.5Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,1,0,2025-01-07T03:18:37Z,240000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:2),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,
26,PT10M19.00S,2025-01-07T03:16:20.2Z,1,REGULAR,2pt,Jump Shot,[],1626179,77.87450722733246,66.17647058823529,1610612748,1,0,2025-01-07T03:18:58Z,250000,False,81.0,155.0,1,right,MISS T. Rozier 17' step back Shot,[1626179],1610612748.0,MIA,step back,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right Center,,,17.53,Missed,,,,,,,,,,,,,,,,
27,PT10M18.00S,2025-01-07T03:16:21.2Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,1,0,2025-01-07T04:21:21Z,260000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right Center,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,
28,PT10M08.00S,2025-01-07T03:16:32.6Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612758,1,0,2025-01-07T03:16:37Z,270000,False,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 1628389]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,Adebayo,1628389.0,,,,,,,,,,
29,PT10M08.00S,2025-01-07T03:16:32.6Z,1,REGULAR,steal,,[],1628389,,,1610612748,1,0,2025-01-07T03:16:34Z,280000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT10M03.00S,2025-01-07T03:17:10.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,1,0,2025-01-07T03:24:23Z,330000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT10M03.00S,2025-01-07T03:20:29.1Z,1,REGULAR,foul,personal,[],1631165,,,1610612748,1,0,2025-01-07T03:24:23Z,360000,False,,,0,,K. Ellis personal FOUL (1 PF),"[1631165, 1629639]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Left,1830.0,,,,,,,,,,1.0,0.0,Herro,1629639.0,,,,,,
76,PT10M03.00S,2025-01-07T03:20:33.3Z,1,REGULAR,foul,technical,['1freethrow'],1629639,,,1610612748,1,0,2025-01-07T03:31:40Z,363750,False,,,0,,T. Herro technical FOUL (1 Tech),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,1830.0,,,,,,,,,,1.0,1.0,,,,,,,,
45,PT10M03.00S,2025-01-07T03:20:37.6Z,1,REGULAR,freethrow,1 of 1,[],1628370,,,1610612748,2,0,2025-01-07T04:15:27Z,365000,False,,,0,,M. Monk technical Free Throw 1 of 1 (1 PTS),[1628370],1610612758.0,SAC,technical,,,Monk,M. Monk,,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,
38,PT09M52.00S,2025-01-07T03:20:46.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628389,84.97043363994744,42.64705882352941,1610612748,2,0,2025-01-07T03:20:29Z,370000,False,-37.0,89.0,1,right,MISS B. Adebayo 9' driving Hook,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,9.61,Missed,,,,,,,,,,,,,,,,
39,PT09M51.00S,2025-01-07T03:20:47.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,0,2025-01-07T03:22:09Z,380000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,38.0,3.0,2.0,1.0,,,,,,,,,,,,
40,PT09M41.00S,2025-01-07T03:20:54.2Z,1,REGULAR,2pt,Jump Shot,[],201942,27.677398160315374,41.17647058823529,1610612758,4,0,2025-01-07T03:22:23Z,390000,False,44.0,208.0,1,left,D. DeRozan 21' pullup Jump Shot (2 PTS) (D. Sabonis 1 AST),"[201942, 1627734]",1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,,,21.23,Made,,,,,,,,,,,2.0,D. Sabonis,1627734.0,1.0,,
43,PT09M29.00S,2025-01-07T03:21:05.4Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612748,4,0,2025-01-07T03:21:36Z,420000,False,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1627734, 1628389]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,1830.0,,,,,,,,,,1.0,0.0,Adebayo,1628389.0,,,,,,
46,PT09M29.00S,2025-01-07T03:21:37.0Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,4,1,2025-01-07T03:21:37Z,440000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,
47,PT09M29.00S,2025-01-07T03:21:50.5Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,4,2,2025-01-07T03:21:50Z,450000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,Made,,,,,,,,,,,2.0,,,,,
49,PT09M05.00S,2025-01-07T03:22:16.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,9.806176084099869,37.254901960784316,1610612758,4,2,2025-01-07T03:22:46Z,460000,False,64.0,40.0,1,left,MISS M. Monk 7' driving floating Shot,[1628370],1610612758.0,SAC,driving floating,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,7.51,Missed,,,,,,,,,,,,,,,,
50,PT09M02.00S,2025-01-07T03:22:19.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,4,2,2025-01-07T03:22:21Z,470000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,
51,PT08M54.00S,2025-01-07T03:22:27.1Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612748,4,2,2025-01-07T03:22:31Z,480000,False,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1631165]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,Ellis,1631165.0,,,,,,,,,,
52,PT08M54.00S,2025-01-07T03:22:27.1Z,1,REGULAR,steal,,[],1631165,,,1610612758,4,2,2025-01-07T03:22:29Z,490000,False,,,0,,K. Ellis STEAL (2 STL),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT08M46.00S,2025-01-07T03:22:34.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,24.655059132720105,45.09803921568628,1610612758,6,2,2025-01-07T03:22:46Z,500000,False,25.0,179.0,1,left,D. DeRozan 18' pullup Jump Shot (4 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,,,18.1,Made,,,,,,,,,,,4.0,,,,,
54,PT08M33.00S,2025-01-07T03:22:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,87.46714848883047,59.55882352941176,1610612748,6,4,2025-01-07T03:22:52Z,510000,False,48.0,65.0,1,right,T. Herro 8' driving Layup (2 PTS) (T. Rozier 1 AST),"[1629639, 1626179]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Right,,,8.09,Made,,,,,,,,,,,2.0,T. Rozier,1626179.0,1.0,,
55,PT08M07.00S,2025-01-07T03:23:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,10.988830486202366,35.049019607843135,1610612758,8,4,2025-01-07T03:26:02Z,520000,False,75.0,51.0,1,left,M. Monk 9' driving floating bank Jump Shot (3 PTS),[1628370],1610612758.0,SAC,driving floating bank,,,Monk,M. Monk,,,,,In The Paint (Non-RA),8-16 Right,,,9.04,Made,,,,,,,,,,,3.0,,,,,
56,PT07M49.00S,2025-01-07T03:23:32.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,90.88370565045992,38.72549019607843,1610612748,8,6,2025-01-07T03:32:02Z,530000,False,-56.0,33.0,1,right,T. Rozier 6' driving finger roll Layup (2 PTS) (J. Jaquez Jr. 1 AST),"[1626179, 1631170]",1610612748.0,MIA,driving finger roll,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,6.54,Made,,,,,,,,,,,2.0,J. Jaquez Jr.,1631170.0,1.0,,
58,PT07M31.00S,2025-01-07T03:23:49.4Z,1,REGULAR,2pt,Jump Shot,[],201942,21.107095926412615,64.70588235294117,1610612758,10,6,2025-01-07T03:23:55Z,550000,False,-74.0,146.0,1,left,D. DeRozan 16' turnaround fadeaway Jump Shot (6 PTS),[201942],1610612758.0,SAC,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,16.34,Made,,,,,,,,,,,6.0,,,,,
61,PT07M18.00S,2025-01-07T03:24:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,92.72339027595268,53.67647058823529,1610612748,10,8,2025-01-07T03:24:08Z,560000,False,18.0,16.0,1,right,J. Jaquez Jr. cutting Layup (2 PTS) (B. Adebayo 1 AST),"[1631170, 1628389]",1610612748.0,MIA,cutting,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,2.43,Made,,,,,,,,,,,2.0,B. Adebayo,1628389.0,1.0,,
63,PT07M12.00S,2025-01-07T03:24:09.2Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612758,10,8,2025-01-07T03:24:13Z,580000,False,,,0,,D. Sabonis bad pass TURNOVER (2 TO),"[1627734, 1626179]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,2.0,,,,,,,Rozier,1626179.0,,,,,,,,,,
64,PT07M12.00S,2025-01-07T03:24:09.2Z,1,REGULAR,steal,,[],1626179,,,1610612748,10,8,2025-01-07T03:24:11Z,590000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
65,PT07M05.00S,2025-01-07T03:24:16.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,92.72339027595268,3.431372549019608,1610612748,10,11,2025-01-07T03:24:22Z,600000,False,-233.0,16.0,1,right,T. Herro 3PT  (5 PTS) (T. Rozier 2 AST),"[1629639, 1626179]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,,,23.33,Made,,,,,,,,,,,5.0,T. Rozier,1626179.0,2.0,,
67,PT06M51.00S,2025-01-07T03:24:29.7Z,1,REGULAR,3pt,Jump Shot,[],1628370,30.699737187910642,28.431372549019606,1610612758,10,11,2025-01-07T03:24:41Z,620000,False,108.0,236.0,1,left,MISS M. Monk 25' pullup 3PT,[1628370],1610612758.0,SAC,pullup,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,,,25.95,Missed,,,,,,,,,,,,,,,,
68,PT06M50.00S,2025-01-07T03:24:30.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,10,11,2025-01-07T03:24:41Z,630000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,67.0,,,,,,,,,,,,,,,
70,PT06M50.00S,2025-01-07T03:24:41.4Z,1,REGULAR,substitution,out,[],1631099,,,1610612748,10,11,2025-01-07T03:24:53Z,640000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M50.00S,2025-01-07T03:24:41.4Z,1,REGULAR,substitution,out,[],201942,,,1610612748,10,11,2025-01-07T03:24:53Z,650000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M50.00S,2025-01-07T03:24:41.4Z,1,REGULAR,substitution,in,[],1628989,,,1610612748,10,11,2025-01-07T03:24:53Z,660000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M50.00S,2025-01-07T03:24:41.4Z,1,REGULAR,substitution,in,[],1626168,,,1610612748,10,11,2025-01-07T03:24:53Z,670000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M31.00S,2025-01-07T03:25:08.5Z,1,REGULAR,2pt,Jump Shot,[],1629639,85.23324572930355,30.88235294117647,1610612748,10,11,2025-01-07T03:29:08Z,680000,False,-96.0,86.0,1,right,MISS T. Herro 12' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,,,12.88,Missed,,,,,,,,,,,,,,,,
75,PT06M27.00S,2025-01-07T03:25:12.5Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,10,11,2025-01-07T03:25:12Z,690000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,8-16 Left,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,
77,PT06M21.00S,2025-01-07T03:25:17.9Z,1,REGULAR,3pt,Jump Shot,[],1628989,31.61957950065703,31.372549019607842,1610612758,13,11,2025-01-07T03:29:57Z,700000,False,93.0,245.0,1,left,K. Huerter 26' 3PT pullup (3 PTS),[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,26.18,Made,,,,,,,,,,,3.0,,,,,
78,PT06M07.00S,2025-01-07T03:25:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,82.34231274638634,49.01960784313725,1610612748,13,13,2025-01-07T03:25:39Z,710000,False,-5.0,113.0,1,right,T. Herro 11' driving floating Jump Shot (7 PTS) (J. Jaquez Jr. 2 AST),"[1629639, 1631170]",1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,,11.36,Made,,,,,,,,,,,7.0,J. Jaquez Jr.,1631170.0,2.0,,
80,PT05M56.00S,2025-01-07T03:25:43.9Z,1,REGULAR,2pt,Jump Shot,[],1627734,18.610381077529567,21.323529411764707,1610612758,13,13,2025-01-07T03:26:15Z,730000,False,143.0,122.0,1,left,MISS D. Sabonis 18' Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right Center,,,18.85,Missed,,,,,,,,,,,,,,,,
81,PT05M54.00S,2025-01-07T03:25:45.9Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,13,13,2025-01-07T03:30:53Z,740000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Right Center,,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,
82,PT05M45.00S,2025-01-07T03:25:55.9Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,13,13,2025-01-07T03:26:21Z,750000,False,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,1830.0,1.0,,,,,,,,,,,,,,,,,,
83,PT05M33.00S,2025-01-07T03:26:16.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628370,22.946780551905388,39.950980392156865,1610612758,13,13,2025-01-07T03:32:23Z,760000,False,50.0,163.0,1,left,MISS M. Monk 17' pullup Shot,[1628370],1610612758.0,SAC,pullup,,,Monk,M. Monk,,,,,Mid-Range,16-24 Center,,,17.07,Missed,,,,,,,,,,,,,,,,
84,PT05M30.00S,2025-01-07T03:26:19.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,13,13,2025-01-07T03:26:19Z,770000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,,
85,PT05M20.00S,2025-01-07T03:26:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,92.19776609724047,61.029411764705884,1610612748,13,15,2025-01-07T03:32:37Z,780000,False,55.0,21.0,1,right,J. Jaquez Jr. driving Layup (4 PTS),[1631170],1610612748.0,MIA,driving,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,5.89,Made,,,,,,,,,,,4.0,,,,,
86,PT05M01.00S,2025-01-07T03:26:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,12.697109067017081,41.911764705882355,1610612758,13,15,2025-01-07T03:26:52Z,790000,False,40.0,67.0,1,left,MISS M. Monk 7' fadeaway Shot,[1628370],1610612758.0,SAC,fadeaway,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,7.82,Missed,,,,,,,,,,,,,,,,
87,PT04M59.00S,2025-01-07T03:26:50.5Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,13,15,2025-01-07T03:32:54Z,800000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:3),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,86.0,3.0,3.0,0.0,,,,,,,,,,,,
88,PT04M52.00S,2025-01-07T03:26:57.5Z,1,REGULAR,3pt,Jump Shot,[],1629639,72.35545335085413,82.35294117647058,1610612748,13,18,2025-01-07T03:27:03Z,810000,False,162.0,207.0,1,right,T. Herro 26' 3PT  (10 PTS) (J. Jaquez Jr. 3 AST),"[1629639, 1631170]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,26.3,Made,,,,,,,,,,,10.0,J. Jaquez Jr.,1631170.0,3.0,,
