actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
18,PT10M57.00S,2024-12-20T03:12:23.9Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,5,2024-12-20T03:12:34Z,180000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0
19,PT10M51.00S,2024-12-20T03:12:31.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631108,95.22010512483574,3.6764705882352944,1610612747,0,5,2024-12-20T03:13:07Z,190000,False,-232.0,-8.0,1,right,MISS M. Christie running 3PT,[1631108],1610612747.0,LAL,running,,,Christie,M. Christie,,,,,Left Corner 3,24+ Left,23.17,Missed,,,,,,,,,,,,,,,,,,
20,PT10M48.00S,2024-12-20T03:12:34.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,5,2024-12-20T03:12:36Z,200000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0
21,PT10M44.00S,2024-12-20T03:12:40.6Z,1,REGULAR,turnover,out-of-bounds,[],1628370,,,1610612758,0,5,2024-12-20T03:12:47Z,210000,False,,,0,,M. Monk bad pass out-of-bounds TURNOVER (1 TO),[1628370],1610612758.0,SAC,bad pass,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,204058.0,,,,,,,,,,
22,PT10M25.00S,2024-12-20T03:13:03.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],2544,71.17279894875165,19.362745098039216,1610612747,0,5,2024-12-20T03:13:07Z,220000,False,-153.0,218.0,1,right,MISS L. James 26' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,26.69,Missed,,,,,,,,,,,,,,,,,,
23,PT10M22.00S,2024-12-20T03:13:06.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,5,2024-12-20T03:13:07Z,230000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,22.0,2.0,2.0,0.0
24,PT10M10.00S,2024-12-20T03:13:18.7Z,1,REGULAR,2pt,Jump Shot,[],201942,25.969119579500656,58.333333333333336,1610612758,0,5,2024-12-20T03:13:23Z,240000,False,-42.0,192.0,1,left,MISS D. DeRozan 19' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,19.61,Missed,,,,,,,,,,,,,,,,,,
25,PT10M07.00S,2024-12-20T03:13:21.7Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,5,2024-12-20T03:13:23Z,250000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,24.0,1.0,1.0,0.0
26,PT10M01.00S,2024-12-20T03:13:28.2Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,0,5,2024-12-20T03:13:36Z,260000,False,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,1628480.0,,,,,,,,,,
27,PT09M53.00S,2024-12-20T03:13:40.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201942,8.229303547963205,96.32352941176471,1610612758,0,5,2024-12-20T03:13:45Z,270000,False,-232.0,25.0,1,left,MISS D. DeRozan 3PT,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
28,PT09M51.00S,2024-12-20T03:13:42.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,5,2024-12-20T03:13:45Z,280000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0
29,PT09M35.00S,2024-12-20T03:14:00.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,84.83902759526939,56.372549019607845,1610612747,0,5,2024-12-20T03:14:26Z,290000,False,32.0,90.0,1,right,MISS L. James 9' driving floating Shot,[2544],1610612747.0,LAL,driving floating,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,9.55,Missed,,,,,,,,,,,,,,,,,,
30,PT09M32.00S,2024-12-20T03:14:03.0Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,5,2024-12-20T03:14:26Z,300000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,29.0,2.0,1.0,1.0
31,PT09M31.00S,2024-12-20T03:14:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,90.22667542706965,47.05882352941176,1610612747,0,7,2024-12-20T03:14:41Z,310000,False,-15.0,39.0,1,right,A. Davis putback Layup (2 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,4.21,Made,2.0,,,,,,,,,,,,,,,,,
32,PT09M19.00S,2024-12-20T03:14:15.0Z,1,REGULAR,3pt,Jump Shot,[],1628370,32.013797634691194,70.58823529411765,1610612758,0,7,2024-12-20T03:14:19Z,320000,False,-103.0,248.0,1,left,MISS M. Monk 26' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,26.89,Missed,,,,,,,,,,,,,,,,,,
33,PT09M17.00S,2024-12-20T03:14:17.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,7,2024-12-20T03:14:19Z,330000,False,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,32.0,3.0,2.0,1.0
34,PT09M07.00S,2024-12-20T03:14:27.9Z,1,REGULAR,3pt,Jump Shot,[],1631108,82.47371879106439,2.941176470588235,1610612747,0,7,2024-12-20T03:14:34Z,340000,False,-235.0,112.0,1,right,MISS M. Christie 26' 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,26.07,Missed,,,,,,,,,,,,,,,,,,
35,PT09M05.00S,2024-12-20T03:14:29.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,0,7,2024-12-20T03:14:34Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,34.0,,,
37,PT08M57.00S,2024-12-20T03:14:55.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,88.91261498028909,60.049019607843135,1610612747,0,7,2024-12-20T03:15:42Z,370000,False,50.0,52.0,1,right,MISS A. Davis 7' driving Layup - blocked,"[203076, 1631099]",1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.21,Missed,,,,,,,,,,,,,Murray,1631099.0,,,,
38,PT08M57.00S,2024-12-20T03:14:55.6Z,1,REGULAR,block,,[],1631099,,,1610612747,0,7,2024-12-20T03:14:58Z,380000,False,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT08M54.00S,2024-12-20T03:14:58.6Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,7,2024-12-20T03:15:01Z,390000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0
40,PT08M52.00S,2024-12-20T03:15:00.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631099,10.068988173455978,49.26470588235294,1610612758,2,7,2024-12-20T03:15:05Z,400000,False,4.0,42.0,1,left,K. Murray running DUNK (2 PTS),[1631099],1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,4.23,Made,2.0,,,,,,,,,,,,,,,,,
41,PT08M34.00S,2024-12-20T03:15:18.4Z,1,REGULAR,3pt,Jump Shot,[],2544,66.3107752956636,47.30392156862745,1610612747,2,10,2024-12-20T03:15:22Z,410000,False,-13.0,264.0,1,right,L. James 26' 3PT  (3 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,26.45,Made,3.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
43,PT08M22.00S,2024-12-20T03:15:30.5Z,1,REGULAR,3pt,Jump Shot,[],1628370,32.40801576872536,47.05882352941176,1610612758,2,10,2024-12-20T03:16:13Z,430000,False,15.0,252.0,1,left,MISS M. Monk 25' pullup 3PT,[1628370],1610612758.0,SAC,pullup,,,Monk,M. Monk,,,,,Above the Break 3,24+ Center,25.25,Missed,,,,,,,,,,,,,,,,,,
44,PT08M17.00S,2024-12-20T03:15:35.5Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,2,10,2024-12-20T03:15:36Z,440000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,43.0,2.0,2.0,0.0
45,PT08M10.00S,2024-12-20T03:15:44.9Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612747,2,10,2024-12-20T03:15:51Z,450000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (James 2 FT),"[201942, 2544]",1610612758.0,SAC,shooting,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628480.0,1.0,0.0,James,2544.0,,,,,,
47,PT08M10.00S,2024-12-20T03:16:07.2Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,2,11,2024-12-20T03:16:07Z,470000,False,,,0,,L. James Free Throw 1 of 2 (4 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
48,PT08M10.00S,2024-12-20T03:16:12.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,2,11,2024-12-20T03:16:12Z,480000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M10.00S,2024-12-20T03:19:15.9Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,2,12,2024-12-20T03:19:15Z,490000,False,,,0,,L. James Free Throw 2 of 2 (5 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
50,PT07M48.00S,2024-12-20T03:19:38.7Z,1,REGULAR,2pt,Jump Shot,[],1627734,21.23850197109067,25.0,1610612758,2,12,2024-12-20T03:19:44Z,500000,False,125.0,147.0,1,left,MISS D. Sabonis 19' Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right Center,19.3,Missed,,,,,,,,,,,,,,,,,,
51,PT07M46.00S,2024-12-20T03:19:40.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,2,12,2024-12-20T03:19:44Z,510000,False,,,0,,A. Davis REBOUND (Off:1 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,50.0,4.0,3.0,1.0
52,PT07M36.00S,2024-12-20T03:19:51.3Z,1,REGULAR,3pt,Jump Shot,[],1631108,94.43166885676742,97.05882352941177,1610612747,2,15,2024-12-20T03:19:56Z,520000,False,235.0,0.0,1,right,M. Christie 3PT  (5 PTS) (R. Hachimura 1 AST),"[1631108, 1629060]",1610612747.0,LAL,,,,Christie,M. Christie,,,,,Right Corner 3,24+ Right,23.53,Made,5.0,R. Hachimura,1629060.0,1.0,,,,,,,,,,,,,,
54,PT07M22.00S,2024-12-20T03:20:05.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,7.30946123521682,51.470588235294116,1610612758,4,15,2024-12-20T03:20:09Z,540000,False,-7.0,16.0,1,left,D. Sabonis cutting DUNK (2 PTS) (D. DeRozan 1 AST),"[1627734, 201942]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.78,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
56,PT07M02.00S,2024-12-20T03:20:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,92.19776609724047,40.68627450980392,1610612747,4,17,2024-12-20T03:20:31Z,560000,False,-47.0,21.0,1,right,A. Davis turnaround bank Jump Shot (4 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,turnaround bank,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,5.1,Made,4.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
58,PT06M48.00S,2024-12-20T03:20:39.4Z,1,REGULAR,2pt,Jump Shot,[],201942,22.815374507227332,50.73529411764706,1610612758,6,17,2024-12-20T03:20:43Z,580000,False,-4.0,162.0,1,left,D. DeRozan 16' pullup Jump Shot (2 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,16.2,Made,2.0,,,,,,,,,,,,,,,,,
59,PT06M34.00S,2024-12-20T03:20:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,92.06636005256242,39.21568627450981,1610612747,6,19,2024-12-20T03:20:57Z,590000,False,-54.0,22.0,1,right,A. Reaves driving Layup (5 PTS),[1630559],1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,5.83,Made,5.0,,,,,,,,,,,,,,,,,
60,PT06M26.00S,2024-12-20T03:21:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,8.09789750328515,56.127450980392155,1610612758,8,19,2024-12-20T03:21:05Z,600000,False,-31.0,24.0,1,left,D. DeRozan driving Layup (4 PTS) (D. Fox 1 AST),"[201942, 1628368]",1610612758.0,SAC,driving,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,3.86,Made,4.0,D. Fox,1628368.0,1.0,,,,,,,,,,,,,,
62,PT06M18.00S,2024-12-20T03:21:10.3Z,1,REGULAR,3pt,Jump Shot,[],1630559,70.90998685939553,81.86274509803921,1610612747,8,19,2024-12-20T03:21:33Z,620000,False,159.0,221.0,1,right,MISS A. Reaves 27' pullup 3PT,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,27.23,Missed,,,,,,,,,,,,,,,,,,
63,PT06M15.00S,2024-12-20T03:21:12.8Z,1,REGULAR,rebound,offensive,[],1631108,,,1610612747,8,19,2024-12-20T03:21:12Z,630000,False,,,0,,M. Christie REBOUND (Off:1 Def:0),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,62.0,1.0,0.0,1.0
64,PT06M03.00S,2024-12-20T03:21:24.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629060,88.78120893561103,96.56862745098039,1610612747,8,19,2024-12-20T03:21:29Z,640000,False,233.0,53.0,1,right,MISS R. Hachimura 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Right Corner 3,24+ Right,23.88,Missed,,,,,,,,,,,,,,,,,,
65,PT06M00.00S,2024-12-20T03:21:27.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,8,19,2024-12-20T03:21:29Z,650000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,64.0,3.0,3.0,0.0
66,PT05M54.00S,2024-12-20T03:21:33.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628368,13.61695137976347,62.00980392156863,1610612758,8,19,2024-12-20T03:22:19Z,660000,False,-60.0,75.0,1,left,MISS D. Fox 9' driving floating Shot - blocked,"[1628368, 203076]",1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Left,9.64,Missed,,,,,,,,,,,,,Davis,203076.0,,,,
67,PT05M54.00S,2024-12-20T03:21:33.4Z,1,REGULAR,block,,[],203076,,,1610612758,8,19,2024-12-20T03:21:42Z,670000,False,,,0,,A. Davis BLOCK (2 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
68,PT05M52.00S,2024-12-20T03:21:35.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,8,19,2024-12-20T03:21:42Z,680000,False,,,0,,A. Davis REBOUND (Off:1 Def:4),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,66.0,5.0,4.0,1.0
69,PT05M52.00S,2024-12-20T03:21:38.7Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612747,8,19,2024-12-20T03:21:45Z,690000,False,,,0,,A. Davis bad pass TURNOVER (1 TO),"[203076, 1628368]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Fox,1628368.0,,,,,,,,,,,
70,PT05M52.00S,2024-12-20T03:21:38.7Z,1,REGULAR,steal,,[],1628368,,,1610612758,8,19,2024-12-20T03:21:40Z,700000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
71,PT05M52.00S,2024-12-20T03:21:41.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628368,6.521024967148489,54.65686274509803,1610612758,10,19,2024-12-20T03:22:44Z,710000,False,-23.0,9.0,1,left,D. Fox Layup (2 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.49,Made,2.0,,,,,,,,,,,,,,,,,
72,PT05M52.00S,2024-12-20T03:21:44.0Z,1,REGULAR,foul,personal,['1freethrow'],1631108,,,1610612758,10,19,2024-12-20T03:22:13Z,720000,False,,,0,,M. Christie shooting personal FOUL (1 PF) (Fox 1 FT),"[1631108, 1628368]",1610612747.0,LAL,shooting,,,Christie,M. Christie,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628480.0,1.0,0.0,Fox,1628368.0,,,,,,
74,PT05M52.00S,2024-12-20T03:21:58.8Z,1,REGULAR,substitution,out,[],1631099,,,1610612758,10,19,2024-12-20T03:22:11Z,740000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M52.00S,2024-12-20T03:21:58.8Z,1,REGULAR,substitution,out,[],1631108,,,1610612758,10,19,2024-12-20T03:22:11Z,750000,False,,,0,,SUB out: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M52.00S,2024-12-20T03:21:58.8Z,1,REGULAR,substitution,out,[],2544,,,1610612758,10,19,2024-12-20T03:22:11Z,760000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M52.00S,2024-12-20T03:21:58.8Z,1,REGULAR,substitution,in,[],1628989,,,1610612758,10,19,2024-12-20T03:22:11Z,770000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M52.00S,2024-12-20T03:21:58.8Z,1,REGULAR,substitution,in,[],1629216,,,1610612758,10,19,2024-12-20T03:22:11Z,780000,False,,,0,,SUB in: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M52.00S,2024-12-20T03:21:58.8Z,1,REGULAR,substitution,in,[],1626156,,,1610612758,10,19,2024-12-20T03:22:11Z,790000,False,,,0,,SUB in: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M52.00S,2024-12-20T03:22:14.9Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628368,,,1610612758,11,19,2024-12-20T03:22:14Z,800000,False,,,0,,D. Fox Free Throw 1 of 1 (3 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
81,PT05M34.00S,2024-12-20T03:22:35.5Z,1,REGULAR,3pt,Jump Shot,[],1626156,77.4802890932983,8.823529411764707,1610612747,11,19,2024-12-20T03:22:40Z,810000,False,-206.0,159.0,1,right,MISS D. Russell 26' 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,26.03,Missed,,,,,,,,,,,,,,,,,,
82,PT05M31.00S,2024-12-20T03:22:38.5Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,11,19,2024-12-20T03:22:40Z,820000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,81.0,1.0,1.0,0.0
