actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M54.00S,2025-01-17T03:06:41.7Z,1,REGULAR,rebound,offensive,[],201145,,,1610612745,0,0,2025-01-17T03:12:28Z,150000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M52.00S,2025-01-17T03:06:45.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628415,31.225361366622867,20.833333333333336,1610612745,0,0,2025-01-17T03:13:00Z,160000,False,146.0,241.0,1,left,MISS D. Brooks 28' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,28.17,Missed,,,,,,,,,,,,,,,,,,
17,PT10M50.00S,2025-01-17T03:06:47.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2025-01-17T03:13:00Z,170000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,16.0,3.0,3.0,0.0,,,,,,,,,,,,,,
18,PT10M35.00S,2025-01-17T03:06:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,82.86793692509855,53.92156862745098,1610612758,0,0,2025-01-17T03:14:00Z,180000,False,20.0,109.0,1,right,MISS M. Monk 11' driving floating Shot - blocked,"[1628370, 1630224]",1610612758.0,SAC,driving floating,,,Monk,M. Monk,,,,,In The Paint (Non-RA),8-16 Center,11.03,Missed,,,,,,,,,Green,1630224.0,,,,,,,,
19,PT10M35.00S,2025-01-17T03:06:59.7Z,1,REGULAR,block,,[],1630224,,,1610612758,0,0,2025-01-17T03:07:02Z,190000,False,,,0,,J. Green BLOCK (1 BLK),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M34.00S,2025-01-17T03:07:00.7Z,1,REGULAR,rebound,offensive,[],1628370,,,1610612758,0,0,2025-01-17T03:14:00Z,200000,False,,,0,,M. Monk REBOUND (Off:1 Def:0),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,In The Paint (Non-RA),8-16 Center,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M31.00S,2025-01-17T03:07:04.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628370,86.41590013140605,46.568627450980394,1610612758,2,0,2025-01-17T03:14:43Z,210000,False,-17.0,75.0,1,right,M. Monk 7' putback Layup (2 PTS),[1628370],1610612758.0,SAC,putback,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,7.71,Made,,,,,,,,,,,2.0,,,,,,,
22,PT10M16.00S,2025-01-17T03:07:18.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,16.507884362680684,52.450980392156865,1610612745,2,2,2025-01-17T03:15:42Z,220000,False,-12.0,103.0,1,left,D. Brooks 10' driving floating Jump Shot (2 PTS) (A. Sengun 1 AST),"[1628415, 1630578]",1610612745.0,HOU,driving floating,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,10.34,Made,,,,,,,,,,,2.0,A. Sengun,1630578.0,1.0,,,,
23,PT10M04.00S,2025-01-17T03:07:32.2Z,1,REGULAR,foul,personal,[],1630224,,,1610612758,2,2,2025-01-17T03:16:54Z,230000,False,,,0,,J. Green personal FOUL (1 PF),"[1630224, 1627734]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,201639.0,,,,,,,,,,1.0,0.0,Sabonis,1627734.0
25,PT09M54.00S,2025-01-17T03:07:57.1Z,1,REGULAR,3pt,Jump Shot,[],1631099,70.38436268068331,81.12745098039215,1610612758,5,2,2025-01-17T03:08:25Z,250000,False,156.0,226.0,1,right,K. Murray 27' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1631099, 1627734]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,27.43,Made,,,,,,,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,
27,PT09M39.00S,2025-01-17T03:08:11.6Z,1,REGULAR,3pt,Jump Shot,[],201145,7.046649145860711,99.01960784313727,1610612745,5,5,2025-01-17T03:08:27Z,270000,False,-245.0,14.0,1,left,J. Green 24' 3PT  (3 PTS) (A. Thompson 1 AST),"[201145, 1641708]",1610612745.0,HOU,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,24.55,Made,,,,,,,,,,,3.0,A. Thompson,1641708.0,1.0,,,,
29,PT09M26.00S,2025-01-17T03:08:24.1Z,1,REGULAR,2pt,Jump Shot,[],1628368,76.82325886990802,32.1078431372549,1610612758,5,5,2025-01-17T03:17:34Z,290000,False,-89.0,165.0,1,right,MISS D. Fox 18' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,18.81,Missed,,,,,,,,,,,,,,,,,,
30,PT09M26.00S,2025-01-17T03:08:24.1Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,5,5,2025-01-17T03:08:32Z,300000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M14.00S,2025-01-17T03:08:35.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,31.882391590013142,25.245098039215684,1610612745,5,8,2025-01-17T03:08:41Z,310000,False,124.0,247.0,1,left,J. Green 27' 3PT  (3 PTS) (D. Brooks 1 AST),"[1630224, 1628415]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,27.65,Made,,,,,,,,,,,3.0,D. Brooks,1628415.0,1.0,,,,
33,PT09M07.00S,2025-01-17T03:08:43.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631099,88.38699080157687,49.26470588235294,1610612758,7,8,2025-01-17T03:08:52Z,330000,False,-4.0,57.0,1,right,K. Murray driving DUNK (5 PTS) (M. Monk 1 AST),"[1631099, 1628370]",1610612758.0,SAC,driving,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,5.68,Made,,,,,,,,,,,5.0,M. Monk,1628370.0,1.0,,,,
35,PT08M48.00S,2025-01-17T03:09:06.3Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,7,8,2025-01-17T03:09:18Z,350000,False,,,0,,J. Green bad pass out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,bad pass,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,203593.0,1.0,,,,,,,,,,,,
36,PT08M35.00S,2025-01-17T03:09:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,90.3580814717477,35.78431372549019,1610612758,7,8,2025-01-17T03:09:39Z,360000,False,-71.0,38.0,1,right,MISS D. Sabonis 8' Layup,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Left,8.07,Missed,,,,,,,,,,,,,,,,,,
37,PT08M31.00S,2025-01-17T03:09:37.3Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,7,8,2025-01-17T03:09:39Z,370000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Left,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M28.00S,2025-01-17T03:09:40.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641708,12.697109067017081,42.15686274509804,1610612745,7,8,2025-01-17T03:21:12Z,380000,False,39.0,67.0,1,left,MISS A. Thompson 7' running Layup,[1641708],1610612745.0,HOU,running,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,7.75,Missed,,,,,,,,,,,,,,,,,,
39,PT08M27.00S,2025-01-17T03:09:41.3Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,7,8,2025-01-17T03:21:37Z,390000,False,,,0,,A. Thompson REBOUND (Off:1 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,
40,PT08M25.00S,2025-01-17T03:09:46.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201145,4.944152431011826,99.50980392156863,1610612745,7,8,2025-01-17T03:22:06Z,400000,False,-248.0,-6.0,1,left,MISS J. Green 24' 3PT,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,24.76,Missed,,,,,,,,,,,,,,,,,,
41,PT08M22.00S,2025-01-17T03:09:49.0Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,7,8,2025-01-17T03:22:06Z,410000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT08M10.00S,2025-01-17T03:09:57.0Z,1,REGULAR,2pt,Jump Shot,[],201942,80.76544021024968,28.431372549019606,1610612758,9,8,2025-01-17T03:10:03Z,420000,False,-108.0,128.0,1,right,D. DeRozan 16' turnaround fadeaway Jump Shot (2 PTS),[201942],1610612758.0,SAC,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,16.76,Made,,,,,,,,,,,2.0,,,,,,,
43,PT07M47.00S,2025-01-17T03:10:20.3Z,1,REGULAR,2pt,Jump Shot,[],1630224,20.318659658344284,65.93137254901961,1610612745,9,8,2025-01-17T03:10:28Z,430000,False,-80.0,138.0,1,left,MISS J. Green 15' fadeaway Shot,[1630224],1610612745.0,HOU,fadeaway,,,Green,J. Green,,,,,Mid-Range,8-16 Left,15.98,Missed,,,,,,,,,,,,,,,,,,
44,PT07M45.00S,2025-01-17T03:10:22.3Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,9,8,2025-01-17T03:10:28Z,440000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,8-16 Left,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT07M34.00S,2025-01-17T03:10:33.7Z,1,REGULAR,3pt,Jump Shot,[],201942,64.33968462549278,38.23529411764706,1610612758,9,8,2025-01-17T03:10:38Z,450000,False,-59.0,283.0,1,right,MISS D. DeRozan 28' 3PT,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,28.88,Missed,,,,,,,,,,,,,,,,,,
46,PT07M31.00S,2025-01-17T03:10:36.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,9,8,2025-01-17T03:10:36Z,460000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M13.00S,2025-01-17T03:10:54.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201145,16.245072273324574,62.99019607843137,1610612745,9,10,2025-01-17T03:25:24Z,470000,False,-65.0,100.0,1,left,J. Green 11' turnaround fadeaway Jump Shot (5 PTS),[201145],1610612745.0,HOU,turnaround fadeaway,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Left,11.94,Made,,,,,,,,,,,5.0,,,,,,,
49,PT06M51.00S,2025-01-17T03:11:16.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,91.80354796320631,42.40196078431372,1610612758,11,10,2025-01-17T03:11:21Z,480000,False,-38.0,25.0,1,right,M. Monk driving Layup (4 PTS) (D. DeRozan 1 AST),"[1628370, 201942]",1610612758.0,SAC,driving,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,4.52,Made,,,,,,,,,,,4.0,D. DeRozan,201942.0,1.0,,,,
51,PT06M32.00S,2025-01-17T03:11:36.4Z,1,REGULAR,3pt,Jump Shot,[],1628415,15.719448094612352,99.01960784313727,1610612745,11,10,2025-01-17T03:11:42Z,500000,False,-245.0,95.0,1,left,MISS D. Brooks 26' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,26.3,Missed,,,,,,,,,,,,,,,,,,
52,PT06M28.00S,2025-01-17T03:11:39.6Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,11,10,2025-01-17T03:11:39Z,510000,False,,,0,,M. Monk REBOUND (Off:1 Def:1),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,,,51.0,2.0,1.0,1.0,,,,,,,,,,,,,,
53,PT06M26.00S,2025-01-17T03:11:41.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628368,93.11760840998686,48.28431372549019,1610612758,13,10,2025-01-17T03:11:50Z,520000,False,-9.0,12.0,1,right,D. Fox running Layup (2 PTS) (M. Monk 2 AST),"[1628368, 1628370]",1610612758.0,SAC,running,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,,,,,,,2.0,M. Monk,1628370.0,2.0,,,,
55,PT06M11.00S,2025-01-17T03:12:02.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,15.325229960578188,45.83333333333333,1610612745,13,12,2025-01-17T03:12:06Z,540000,False,21.0,92.0,1,left,A. Sengun 9' Hook (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,9.39,Made,,,,,,,,,,,2.0,,,,,,,
56,PT05M59.00S,2025-01-17T03:12:14.4Z,1,REGULAR,3pt,Jump Shot,[],1631099,71.96123521681997,87.5,1610612758,13,12,2025-01-17T03:12:20Z,550000,False,188.0,211.0,1,right,MISS K. Murray 28' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,28.23,Missed,,,,,,,,,,,,,,,,,,
57,PT05M55.00S,2025-01-17T03:12:18.4Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,13,12,2025-01-17T03:12:20Z,560000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT05M51.00S,2025-01-17T03:12:22.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630224,10.988830486202366,50.73529411764706,1610612745,13,14,2025-01-17T03:27:23Z,570000,False,-4.0,51.0,1,left,J. Green running Layup (5 PTS),[1630224],1610612745.0,HOU,running,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,5.09,Made,,,,,,,,,,,5.0,,,,,,,
59,PT05M39.00S,2025-01-17T03:12:34.3Z,1,REGULAR,3pt,Jump Shot,[],1628370,68.15045992115637,77.20588235294117,1610612758,13,14,2025-01-17T03:12:39Z,580000,False,136.0,247.0,1,right,MISS M. Monk 28' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,28.19,Missed,,,,,,,,,,,,,,,,,,
60,PT05M36.00S,2025-01-17T03:12:36.9Z,1,REGULAR,rebound,defensive,[],201145,,,1610612745,13,14,2025-01-17T03:12:36Z,590000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,,,
61,PT05M30.00S,2025-01-17T03:12:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,9.149145860709593,61.51960784313726,1610612745,13,14,2025-01-17T03:34:49Z,600000,False,-58.0,34.0,1,left,MISS D. Brooks 6' Layup - blocked,"[1628415, 1628368]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,6.66,Missed,,,,,,,,,Fox,1628368.0,,,,,,,,
62,PT05M30.00S,2025-01-17T03:12:46.6Z,1,REGULAR,block,,[],1628368,,,1610612745,13,14,2025-01-17T03:12:53Z,610000,False,,,0,,D. Fox BLOCK (1 BLK),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT05M28.00S,2025-01-17T03:12:48.6Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612745,13,14,2025-01-17T03:40:13Z,620000,False,,,0,,D. Brooks REBOUND (Off:1 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,,,
201,PT05M28.00S,2025-01-17T03:12:54.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628415,7.5722733245729295,50.0,1610612745,13,14,2025-01-17T04:23:43Z,625000,False,0.0,19.0,1,left,MISS D. Brooks reverse Layup,[1628415],1610612745.0,HOU,reverse,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,1.87,Missed,,,,,,,,,,,,,,,,,,
202,PT05M28.00S,2025-01-17T03:12:54.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,13,14,2025-01-17T03:51:23Z,627500,False,,,0,,D. Sabonis REBOUND (Off:0 Def:4),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,201.0,4.0,4.0,0.0,,,,,,,,,,,,,,
64,PT05M13.00S,2025-01-17T03:13:01.5Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612758,13,14,2025-01-17T03:13:07Z,630000,False,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 1641708]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Thompson,1641708.0,,,,,,,,,,
65,PT05M13.00S,2025-01-17T03:13:01.5Z,1,REGULAR,steal,,[],1641708,,,1610612745,13,14,2025-01-17T03:13:03Z,640000,False,,,0,,A. Thompson STEAL (1 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
66,PT05M13.00S,2025-01-17T03:13:04.9Z,1,REGULAR,foul,personal,[],1628368,,,1610612745,13,14,2025-01-17T03:13:22Z,650000,False,,,0,,D. Fox personal FOUL (1 PF),"[1628368, 1641708]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,,201639.0,,,,,,,,,,1.0,0.0,Thompson,1641708.0
68,PT05M13.00S,2025-01-17T03:13:19.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,13,14,2025-01-17T03:13:19Z,670000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,out,[],201942,,,1610612745,13,14,2025-01-17T03:16:19Z,680000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,out,[],1628368,,,1610612745,13,14,2025-01-17T03:16:19Z,690000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,out,[],1631099,,,1610612745,13,14,2025-01-17T03:16:19Z,700000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,out,[],201145,,,1610612745,13,14,2025-01-17T03:16:19Z,710000,False,,,0,,SUB out: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,out,[],1641708,,,1610612745,13,14,2025-01-17T03:16:19Z,720000,False,,,0,,SUB out: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,in,[],1628989,,,1610612745,13,14,2025-01-17T03:16:19Z,730000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,in,[],1631165,,,1610612745,13,14,2025-01-17T03:16:19Z,740000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,in,[],1626168,,,1610612745,13,14,2025-01-17T03:16:19Z,750000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,in,[],1641715,,,1610612745,13,14,2025-01-17T03:16:19Z,760000,False,,,0,,SUB in: C. Whitmore,[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M13.00S,2025-01-17T03:13:58.2Z,1,REGULAR,substitution,in,[],1631106,,,1610612745,13,14,2025-01-17T03:16:19Z,770000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
