actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M34.00S,2025-03-20T02:12:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628370,36.3173455978975,51.96078431372549,1610612758,3,2,2025-03-20T02:12:07Z,160000,False,-10.0,289.0,1,left,M. Monk 28' 3PT  (3 PTS) (J. Valančiūnas 1 AST),"[1628370, 202685]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Center,28.91,Made,3.0,,,,,,,,,,,J. Valančiūnas,202685.0,1.0,,,,
18,PT10M23.00S,2025-03-20T02:12:17.4Z,1,REGULAR,turnover,out-of-bounds,[],1629622,,,1610612739,3,2,2025-03-20T02:12:23Z,180000,False,,,0,,M. Strus step out-of-bounds TURNOVER (1 TO),[1629622],1610612739.0,CLE,step,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,,,,1627524.0,,,,,1.0,,,,,,,,,,,
19,PT09M59.00S,2025-03-20T02:12:47.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202685,7.276609724047319,80.63725490196079,1610612758,3,2,2025-03-20T02:13:11Z,190000,False,-153.0,16.0,1,left,MISS J. Valančiūnas 15' turnaround fadeaway Shot,[202685],1610612758.0,SAC,turnaround fadeaway,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,8-16 Left,15.4,Missed,,,,,,,,,,,,,,,,,,
20,PT09M59.00S,2025-03-20T02:12:47.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,3,2,2025-03-20T02:13:11Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,19.0,,,,,,,,,,
21,PT09M59.00S,2025-03-20T02:12:53.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612758,3,2,2025-03-20T02:13:00Z,210000,False,,,0,,SAC shot clock Team TURNOVER,[],1610612758.0,SAC,,,,,,,,,,Mid-Range,8-16 Left,,,,1627524.0,,,,,,,,,,,,,,,,
22,PT09M49.00S,2025-03-20T02:13:10.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629731,89.4053876478318,2.941176470588232,1610612739,3,5,2025-03-20T02:13:16Z,220000,False,-235.0,47.0,1,right,D. Wade 24' 3PT  (3 PTS) (J. Allen 1 AST),"[1629731, 1628386]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Left Corner 3,24+ Left,24.0,Made,3.0,,,,,,,,,,,J. Allen,1628386.0,1.0,,,,
24,PT09M37.00S,2025-03-20T02:13:24.4Z,1,REGULAR,foul,personal,['2freethrow'],1629731,,,1610612758,3,5,2025-03-20T02:13:33Z,240000,False,,,0,,D. Wade shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1629731, 201942]",1610612739.0,CLE,shooting,,,Wade,D. Wade,,,,,In The Paint (Non-RA),8-16 Center,,,,2003.0,1.0,0.0,DeRozan,201942.0,,,,,,,,,,,,
26,PT09M37.00S,2025-03-20T02:13:46.2Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612758,4,5,2025-03-20T02:14:15Z,260000,False,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
27,PT09M37.00S,2025-03-20T02:13:46.2Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612758,4,5,2025-03-20T02:14:15Z,270000,False,,,0,,MISS D. DeRozan Free Throw 2 of 2,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
28,PT09M35.00S,2025-03-20T02:13:48.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,4,5,2025-03-20T02:14:15Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,
29,PT09M24.00S,2025-03-20T02:14:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,93.47897503285151,42.64705882352941,1610612739,4,7,2025-03-20T02:14:25Z,290000,False,-37.0,9.0,1,right,D. Mitchell driving Layup (2 PTS),[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,3.78,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M07.00S,2025-03-20T02:14:40.6Z,1,REGULAR,foul,personal,[],1628386,,,1610612758,4,7,2025-03-20T02:14:50Z,300000,False,,,0,,J. Allen personal FOUL (1 PF),"[1628386, 202685]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,2003.0,1.0,0.0,Valančiūnas,202685.0,,,,,,,,,,,,
32,PT09M00.00S,2025-03-20T02:15:04.7Z,1,REGULAR,2pt,Jump Shot,[],202685,24.227989487516425,35.5392156862745,1610612758,4,7,2025-03-20T02:15:09Z,320000,False,72.0,175.0,1,left,MISS J. Valančiūnas 18' fadeaway Shot,[202685],1610612758.0,SAC,fadeaway,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,16-24 Right Center,18.95,Missed,,,,,,,,,,,,,,,,,,
33,PT08M58.00S,2025-03-20T02:15:06.7Z,1,REGULAR,rebound,offensive,[],1631165,,,1610612758,4,7,2025-03-20T02:15:06Z,330000,False,,,0,,K. Ellis REBOUND (Off:1 Def:0),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,
34,PT08M55.00S,2025-03-20T02:15:10.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628370,30.438978318002626,23.751531862745097,1610612758,4,7,2025-03-20T02:15:16Z,340000,False,131.0,234.0,1,left,MISS M. Monk 26' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,26.79,Missed,,,,,,,,,,,,,,,,,,
35,PT08M53.00S,2025-03-20T02:15:12.1Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,4,7,2025-03-20T02:15:16Z,350000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,
36,PT08M46.00S,2025-03-20T02:15:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,88.04204993429698,53.47349877450981,1610612739,4,9,2025-03-20T02:15:26Z,360000,False,17.0,60.0,1,right,J. Allen 6' cutting Layup (2 PTS) (E. Mobley 1 AST),"[1628386, 1630596]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,6.24,Made,2.0,,,,,,,,,,,E. Mobley,1630596.0,1.0,,,,
38,PT08M29.00S,2025-03-20T02:15:35.8Z,1,REGULAR,3pt,Jump Shot,[],1631099,31.718134034165573,21.568627450980387,1610612758,4,9,2025-03-20T02:15:59Z,380000,False,142.0,246.0,1,left,MISS K. Murray 28' pullup 3PT,[1631099],1610612758.0,SAC,pullup,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,28.39,Missed,,,,,,,,,,,,,,,,,,
39,PT08M25.00S,2025-03-20T02:15:39.8Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,4,9,2025-03-20T02:15:40Z,390000,False,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,
40,PT08M18.00S,2025-03-20T02:15:47.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,76.39618922470433,12.25490196078431,1610612739,4,9,2025-03-20T02:15:53Z,400000,False,-189.0,169.0,1,right,MISS D. Mitchell 25' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.36,Missed,,,,,,,,,,,,,,,,,,
41,PT08M14.00S,2025-03-20T02:15:51.0Z,1,REGULAR,rebound,defensive,[],1631165,,,1610612758,4,9,2025-03-20T02:15:53Z,410000,False,,,0,,K. Ellis REBOUND (Off:1 Def:1),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,
42,PT08M09.00S,2025-03-20T02:15:55.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628370,9.510512483574246,61.029411764705884,1610612758,4,9,2025-03-20T02:16:08Z,420000,False,-55.0,37.0,1,left,MISS M. Monk 6' running Layup,[1628370],1610612758.0,SAC,running,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,6.63,Missed,,,,,,,,,,,,,,,,,,
43,PT08M04.00S,2025-03-20T02:16:00.5Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,4,9,2025-03-20T02:16:08Z,430000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,
44,PT08M00.00S,2025-03-20T02:16:08.3Z,1,REGULAR,foul,personal,[],1631165,,,1610612739,4,9,2025-03-20T02:16:30Z,440000,False,,,0,,K. Ellis personal FOUL (1 PF),"[1631165, 1628378]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),0-8 Center,,,,1627524.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,
46,PT07M54.00S,2025-03-20T02:16:40.6Z,1,REGULAR,3pt,Jump Shot,[],1629622,69.1688567674113,71.56862745098039,1610612739,4,9,2025-03-20T02:16:44Z,460000,False,108.0,237.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
47,PT07M51.00S,2025-03-20T02:16:43.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612758,4,9,2025-03-20T02:16:44Z,470000,False,,,0,,J. Valančiūnas REBOUND (Off:0 Def:2),[202685],1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,
48,PT07M36.00S,2025-03-20T02:16:58.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,13.978318002628114,51.22549019607843,1610612758,4,9,2025-03-20T02:17:02Z,480000,False,-6.0,79.0,1,left,MISS M. Monk 7' driving floating Shot,[1628370],1610612758.0,SAC,driving floating,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,7.91,Missed,,,,,,,,,,,,,,,,,,
49,PT07M34.00S,2025-03-20T02:17:00.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,9,2025-03-20T02:17:02Z,490000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,
50,PT07M25.00S,2025-03-20T02:17:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,91.24507227332458,50.49019607843137,1610612739,4,11,2025-03-20T02:17:13Z,500000,False,2.0,30.0,1,right,J. Allen cutting finger roll Layup (4 PTS) (M. Strus 1 AST),"[1628386, 1629622]",1610612739.0,CLE,cutting finger roll,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.99,Made,4.0,,,,,,,,,,,M. Strus,1629622.0,1.0,,,,
52,PT07M02.00S,2025-03-20T02:17:31.9Z,1,REGULAR,2pt,Jump Shot,[],1631099,18.7089356110381,78.43137254901961,1610612758,4,11,2025-03-20T02:17:37Z,520000,False,-142.0,123.0,1,left,MISS K. Murray 18' fadeaway Shot,[1631099],1610612758.0,SAC,fadeaway,,,Murray,K. Murray,,,,,Mid-Range,16-24 Left Center,18.83,Missed,,,,,,,,,,,,,,,,,,
53,PT07M00.00S,2025-03-20T02:17:33.9Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,11,2025-03-20T02:17:37Z,530000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,
54,PT06M52.00S,2025-03-20T02:17:42.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,57.0507555847569,75.14935661764706,1610612739,4,11,2025-03-20T02:18:46Z,540000,False,126.0,351.0,1,right,MISS D. Mitchell 37' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,37.3,Missed,,,,,,,,,,,,,,,,,,
55,PT06M49.00S,2025-03-20T02:17:45.6Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,4,11,2025-03-20T02:20:18Z,550000,False,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,
56,PT06M39.00S,2025-03-20T02:17:55.2Z,1,REGULAR,3pt,Jump Shot,[],1631099,21.73127463863338,9.313725490196077,1610612758,4,11,2025-03-20T02:18:01Z,560000,False,203.0,152.0,1,left,MISS K. Murray 25' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,25.38,Missed,,,,,,,,,,,,,,,,,,
57,PT06M34.00S,2025-03-20T02:18:00.2Z,1,REGULAR,rebound,offensive,[],1628370,,,1610612758,4,11,2025-03-20T02:18:01Z,570000,False,,,0,,M. Monk REBOUND (Off:1 Def:1),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,56.0,2.0,1.0,1.0,,,,,,,
58,PT06M31.00S,2025-03-20T02:18:02.3Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612758,4,11,2025-03-20T02:18:08Z,580000,False,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 1628386]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,,,,,,,,Allen,1628386.0,,
59,PT06M31.00S,2025-03-20T02:18:02.3Z,1,REGULAR,steal,,[],1628386,,,1610612739,4,11,2025-03-20T02:24:11Z,590000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
61,PT06M30.00S,2025-03-20T02:18:15.6Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612739,4,11,2025-03-20T02:18:55Z,610000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Strus 2 FT),"[1631099, 1629622]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,2003.0,1.0,0.0,Strus,1629622.0,,,,,,,,,,,,
68,PT06M30.00S,2025-03-20T02:19:16.4Z,1,REGULAR,foul,technical,['1freethrow'],1629622,,,1610612739,4,11,2025-03-20T02:21:24Z,680000,False,,,0,,M. Strus technical FOUL (1 Tech),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,2003.0,0.0,1.0,,,,,,,,,,,,,,
69,PT06M30.00S,2025-03-20T02:19:48.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,4,11,2025-03-20T02:19:48Z,690000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M30.00S,2025-03-20T02:19:48.3Z,1,REGULAR,substitution,out,[],1628370,,,1610612739,4,11,2025-03-20T02:21:11Z,700000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M30.00S,2025-03-20T02:19:48.3Z,1,REGULAR,substitution,out,[],1631099,,,1610612739,4,11,2025-03-20T02:21:11Z,710000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M30.00S,2025-03-20T02:19:48.3Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,4,11,2025-03-20T02:21:11Z,720000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M30.00S,2025-03-20T02:19:48.3Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,4,11,2025-03-20T02:21:11Z,730000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M30.00S,2025-03-20T02:19:48.3Z,1,REGULAR,substitution,in,[],1642269,,,1610612739,4,11,2025-03-20T02:21:11Z,740000,False,,,0,,SUB in: D. Carter,[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M30.00S,2025-03-20T02:19:48.3Z,1,REGULAR,substitution,in,[],1626168,,,1610612739,4,11,2025-03-20T02:21:11Z,750000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M30.00S,2025-03-20T02:19:48.3Z,1,REGULAR,substitution,in,[],1629631,,,1610612739,4,11,2025-03-20T02:21:11Z,760000,False,,,0,,SUB in: D. Hunter,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M30.00S,2025-03-20T02:19:48.3Z,1,REGULAR,substitution,in,[],1629660,,,1610612739,4,11,2025-03-20T02:21:11Z,770000,False,,,0,,SUB in: T. Jerome,[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M30.00S,2025-03-20T02:21:33.7Z,1,REGULAR,freethrow,1 of 1,[],201942,,,1610612739,5,11,2025-03-20T02:21:33Z,780000,False,,,0,,D. DeRozan technical Free Throw 1 of 1 (2 PTS),[201942],1610612758.0,SAC,technical,,,DeRozan,D. DeRozan,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
83,PT06M30.00S,2025-03-20T02:22:00.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629622,,,1610612739,5,12,2025-03-20T02:23:19Z,785000,False,,,0,,M. Strus Free Throw 1 of 2 (1 PTS),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
84,PT06M30.00S,2025-03-20T02:22:00.6Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1629622,,,1610612739,5,12,2025-03-20T02:23:19Z,787500,False,,,0,,MISS M. Strus Free Throw 2 of 2,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
85,PT06M30.00S,2025-03-20T02:22:00.6Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,5,12,2025-03-20T02:23:19Z,788750,False,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,
79,PT06M13.00S,2025-03-20T02:22:27.5Z,1,REGULAR,2pt,Jump Shot,[],201942,10.693166885676746,85.04901960784314,1610612758,7,12,2025-03-20T02:23:32Z,790000,False,-175.0,48.0,1,left,D. DeRozan 18' Jump Shot (4 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left,18.17,Made,4.0,,,,,,,,,,,,,,,,,
80,PT05M57.00S,2025-03-20T02:22:43.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,91.37647831800263,61.029411764705884,1610612739,7,12,2025-03-20T02:23:50Z,800000,False,55.0,29.0,1,right,MISS D. Hunter 6' driving Layup,[1629631],1610612739.0,CLE,driving,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,6.21,Missed,,,,,,,,,,,,,,,,,,
81,PT05M57.00S,2025-03-20T02:22:43.3Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,7,12,2025-03-20T03:21:03Z,810000,False,,,0,,T. Lyles REBOUND (Off:0 Def:2),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,,
86,PT05M35.00S,2025-03-20T02:23:20.3Z,1,REGULAR,2pt,Jump Shot,[],201942,19.23455978975032,27.205882352941174,1610612758,7,12,2025-03-20T02:24:40Z,830000,False,114.0,128.0,1,left,MISS D. DeRozan 17' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,17.16,Missed,,,,,,,,,,,,,,,,,,
87,PT05M32.00S,2025-03-20T02:23:23.3Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,7,12,2025-03-20T02:23:44Z,840000,False,,,0,,M. Strus REBOUND (Off:0 Def:3),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,86.0,3.0,3.0,0.0,,,,,,,
88,PT05M26.00S,2025-03-20T02:23:32.4Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612739,7,12,2025-03-20T02:23:50Z,850000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Allen 2 FT),"[201942, 1628386]",1610612758.0,SAC,shooting,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,202058.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,
