actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M03.00S,2025-02-09T03:11:26.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,91.14651773981603,46.568627450980394,1610612758,2,2,2025-02-09T03:11:57Z,150000,False,-17.0,31.0,1,right,D. Sabonis cutting Layup (2 PTS) (D. DeRozan 1 AST),"[1627734, 201942]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,3.52,Made,,,,,2.0,,,,D. DeRozan,201942.0,1.0,,,,,,
17,PT10M44.00S,2025-02-09T03:11:45.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,11.251642575558476,44.36274509803921,1610612740,2,2,2025-02-09T03:12:37Z,170000,False,28.0,53.0,1,left,MISS Z. Williamson 6' driving floating Shot - blocked,"[1629627, 1631099]",1610612740.0,NOP,driving floating,,,Williamson,Z. Williamson,,,,,,In The Paint (Non-RA),0-8 Center,6.03,Missed,,,,,,,,,,,,Murray,1631099.0,,,,
18,PT10M44.00S,2025-02-09T03:11:45.7Z,1,REGULAR,block,,[],1631099,,,1610612740,2,2,2025-02-09T03:11:48Z,180000,False,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
19,PT10M41.00S,2025-02-09T03:11:48.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,2,2025-02-09T03:11:53Z,190000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M39.00S,2025-02-09T03:11:51.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628370,93.9060446780552,2.696078431372549,1610612758,2,2,2025-02-09T03:12:01Z,200000,False,-237.0,5.0,1,right,MISS M. Monk running 3PT,[1628370],1610612758.0,SAC,running,,,Monk,M. Monk,,,,,,Left Corner 3,24+ Left,23.65,Missed,,,,,,,,,,,,,,,,,
21,PT10M35.00S,2025-02-09T03:11:55.3Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,2,2,2025-02-09T03:12:01Z,210000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,Left Corner 3,24+ Left,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M31.00S,2025-02-09T03:11:59.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,27.94021024967148,86.02941176470588,1610612740,2,5,2025-02-09T03:12:08Z,220000,False,-180.0,210.0,1,left,T. Murphy III 27' 3PT running (3 PTS) (J. Alvarado 1 AST),"[1630530, 1630631]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,,Above the Break 3,24+ Left Center,27.67,Made,,,,,3.0,,,,J. Alvarado,1630631.0,1.0,,,,,,
24,PT10M08.00S,2025-02-09T03:12:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.85479632063075,45.09803921568628,1610612758,2,5,2025-02-09T03:13:30Z,240000,False,-25.0,15.0,1,right,MISS D. Sabonis cutting Layup,[1627734],1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,
25,PT10M06.00S,2025-02-09T03:12:24.9Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,2,5,2025-02-09T03:12:27Z,250000,False,,,0,,Y. Missi REBOUND (Off:0 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,Restricted Area,0-8 Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,
26,PT09M44.00S,2025-02-09T03:12:45.5Z,1,REGULAR,3pt,Jump Shot,[],1630631,19.530223390275953,7.107843137254902,1610612740,2,8,2025-02-09T03:12:51Z,260000,False,214.0,131.0,1,left,J. Alvarado 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[1630631, 203468]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Above the Break 3,24+ Right Center,25.14,Made,,,,,3.0,,,,C. McCollum,203468.0,1.0,,,,,,
28,PT09M31.00S,2025-02-09T03:12:58.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,80.76544021024968,62.00980392156863,1610612758,2,8,2025-02-09T03:13:52Z,280000,False,60.0,128.0,1,right,MISS M. Monk 14' driving floating Shot,[1628370],1610612758.0,SAC,driving floating,,,Monk,M. Monk,,,,,,In The Paint (Non-RA),8-16 Center,14.16,Missed,,,,,,,,,,,,,,,,,
29,PT09M27.00S,2025-02-09T03:13:02.6Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,2,8,2025-02-09T03:13:11Z,290000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,In The Paint (Non-RA),8-16 Center,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,
30,PT09M07.00S,2025-02-09T03:13:23.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,15.850854139290407,40.931372549019606,1610612740,2,10,2025-02-09T03:13:35Z,300000,False,45.0,96.0,1,left,Z. Williamson 10' pullup Jump Shot (4 PTS) (Y. Missi 1 AST),"[1629627, 1642274]",1610612740.0,NOP,pullup,,,Williamson,Z. Williamson,,,,,,In The Paint (Non-RA),8-16 Center,10.66,Made,,,,,4.0,,,,Y. Missi,1642274.0,1.0,,,,,,
32,PT08M56.00S,2025-02-09T03:13:33.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,92.06636005256242,49.754901960784316,1610612758,4,10,2025-02-09T03:14:42Z,320000,False,-1.0,22.0,1,right,D. Sabonis cutting DUNK (4 PTS) (M. Monk 1 AST),"[1627734, 1628370]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,4.0,,,,M. Monk,1628370.0,1.0,,,,,,
34,PT08M38.00S,2025-02-09T03:13:53.9Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612740,4,10,2025-02-09T03:14:06Z,340000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Williamson 2 FT),"[1631099, 1629627]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,1627524.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,0.0,Williamson,1629627.0
37,PT08M38.00S,2025-02-09T03:14:18.8Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,4,10,2025-02-09T03:14:18Z,360000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
38,PT08M38.00S,2025-02-09T03:14:18.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,4,10,2025-02-09T03:14:18Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,
39,PT08M38.00S,2025-02-09T03:14:36.6Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,4,11,2025-02-09T03:14:36Z,380000,False,,,0,,Z. Williamson Free Throw 2 of 2 (5 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
40,PT08M16.00S,2025-02-09T03:15:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.32917214191852,45.09803921568628,1610612758,4,11,2025-02-09T03:15:39Z,390000,False,-25.0,20.0,1,right,MISS D. Sabonis driving Layup - blocked,"[1627734, 1642274]",1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,,,,,Missi,1642274.0,,,,
41,PT08M16.00S,2025-02-09T03:15:02.4Z,1,REGULAR,block,,[],1642274,,,1610612758,4,11,2025-02-09T03:15:04Z,400000,False,,,0,,Y. Missi BLOCK (1 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
42,PT08M16.00S,2025-02-09T03:15:02.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,4,11,2025-02-09T03:15:17Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,Restricted Area,0-8 Center,,,40.0,,,,,,,,,,,,,,,,
44,PT08M14.00S,2025-02-09T03:15:22.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203897,96.40275952693824,2.450980392156863,1610612758,4,11,2025-02-09T04:11:13Z,430000,False,-238.0,-19.0,1,right,MISS Z. LaVine fadeaway 3PT,[203897],1610612758.0,SAC,fadeaway,,,LaVine,Z. LaVine,,,,,,Left Corner 3,24+ Left,23.84,Missed,,,,,,,,,,,,,,,,,
45,PT08M12.00S,2025-02-09T03:15:24.9Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,4,11,2025-02-09T04:11:13Z,440000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,Left Corner 3,24+ Left,,,44.0,1.0,0.0,1.0,,,,,,,,,,,,,
46,PT08M11.00S,2025-02-09T03:15:28.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631099,92.32917214191852,47.794117647058826,1610612758,6,11,2025-02-09T04:11:19Z,450000,False,-11.0,20.0,1,right,K. Murray tip Layup (2 PTS),[1631099],1610612758.0,SAC,tip,,,Murray,K. Murray,,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,2.0,,,,,,,,,,,,
47,PT07M57.00S,2025-02-09T03:15:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,7.5722733245729295,50.245098039215684,1610612740,6,13,2025-02-09T03:15:51Z,460000,False,-1.0,19.0,1,left,Z. Williamson driving finger roll Layup (7 PTS),[1629627],1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,1.87,Made,,,,,7.0,,,,,,,,,,,,
48,PT07M51.00S,2025-02-09T03:15:43.4Z,1,REGULAR,3pt,Jump Shot,[],201942,68.01905387647832,61.029411764705884,1610612758,6,13,2025-02-09T03:15:54Z,470000,False,55.0,248.0,1,right,MISS D. DeRozan 25' 3PT,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,Above the Break 3,24+ Center,25.41,Missed,,,,,,,,,,,,,,,,,
49,PT07M51.00S,2025-02-09T03:15:43.4Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,6,13,2025-02-09T03:15:54Z,480000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,Above the Break 3,24+ Center,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,
50,PT07M44.00S,2025-02-09T03:15:51.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629627,6.258212877792378,57.107843137254896,1610612740,6,15,2025-02-09T03:16:59Z,490000,False,-36.0,6.0,1,left,Z. Williamson running alley-oop Layup (9 PTS) (J. Alvarado 2 AST),"[1629627, 1630631]",1610612740.0,NOP,running alley-oop,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,3.61,Made,,,,,9.0,,,,J. Alvarado,1630631.0,2.0,,,,,,
52,PT07M44.00S,2025-02-09T03:15:56.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,6,15,2025-02-09T03:15:56Z,510000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M44.00S,2025-02-09T03:17:48.6Z,1,REGULAR,substitution,out,[],1629627,,,1610612758,6,15,2025-02-09T03:18:29Z,520000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M44.00S,2025-02-09T03:17:48.6Z,1,REGULAR,substitution,in,[],1629750,,,1610612758,6,15,2025-02-09T03:18:29Z,530000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M21.00S,2025-02-09T03:19:26.5Z,1,REGULAR,3pt,Jump Shot,[],1627734,67.7562417871222,38.48039215686275,1610612758,6,15,2025-02-09T03:19:33Z,550000,False,-58.0,251.0,1,right,MISS D. Sabonis 25' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,
57,PT07M18.00S,2025-02-09T03:19:29.5Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612740,6,15,2025-02-09T03:19:33Z,560000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,Above the Break 3,24+ Center,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,
58,PT07M11.00S,2025-02-09T03:19:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,5.601182654402102,55.63725490196079,1610612740,6,15,2025-02-09T03:20:22Z,570000,False,-28.0,0.0,1,left,MISS Y. Missi cutting Layup,[1642274],1610612740.0,NOP,cutting,,,Missi,Y. Missi,,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,,,,,,,,,,,,
60,PT07M11.00S,2025-02-09T03:19:37.9Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,6,15,2025-02-09T03:20:47Z,590000,False,,,0,,K. Murray REBOUND (Off:1 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,Restricted Area,0-8 Center,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,,
61,PT07M03.00S,2025-02-09T03:19:45.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631099,91.67214191852825,46.32352941176471,1610612758,6,15,2025-02-09T03:20:50Z,600000,False,-18.0,26.0,1,right,MISS K. Murray running Layup - blocked,"[1631099, 1642274]",1610612758.0,SAC,running,,,Murray,K. Murray,,,,,,Restricted Area,0-8 Center,3.17,Missed,,,,,,,,,,,,Missi,1642274.0,,,,
62,PT07M03.00S,2025-02-09T03:19:45.6Z,1,REGULAR,block,,[],1642274,,,1610612758,6,15,2025-02-09T03:19:48Z,610000,False,,,0,,Y. Missi BLOCK (2 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
63,PT07M03.00S,2025-02-09T03:19:45.6Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,6,15,2025-02-09T03:20:09Z,620000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:2),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,Restricted Area,0-8 Center,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,
64,PT06M56.00S,2025-02-09T03:19:53.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,8.623521681997373,4.166666666666666,1610612740,6,18,2025-02-09T03:20:20Z,630000,False,229.0,29.0,1,left,C. McCollum 3PT running (3 PTS) (J. Green 1 AST),"[203468, 1629750]",1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,,Right Corner 3,24+ Right,23.1,Made,,,,,3.0,,,,J. Green,1629750.0,1.0,,,,,,
66,PT06M41.00S,2025-02-09T03:20:07.2Z,1,REGULAR,3pt,Jump Shot,[],1631099,69.59592641261499,67.8921568627451,1610612758,6,18,2025-02-09T03:20:24Z,650000,False,89.0,233.0,1,right,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,Above the Break 3,24+ Right Center,24.99,Missed,,,,,,,,,,,,,,,,,
67,PT06M41.00S,2025-02-09T03:20:07.2Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,6,18,2025-02-09T03:38:53Z,660000,False,,,0,,Y. Missi REBOUND (Off:0 Def:3),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,Above the Break 3,24+ Right Center,,,66.0,3.0,3.0,0.0,,,,,,,,,,,,,
68,PT06M23.00S,2025-02-09T03:20:24.9Z,1,REGULAR,3pt,Jump Shot,[],1630530,30.56833114323259,81.61764705882352,1610612740,6,21,2025-02-09T03:20:49Z,670000,False,-158.0,235.0,1,left,T. Murphy III 28' 3PT  (6 PTS) (J. Alvarado 3 AST),"[1630530, 1630631]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,Above the Break 3,24+ Left Center,28.31,Made,,,,,6.0,,,,J. Alvarado,1630631.0,3.0,,,,,,
69,PT06M08.00S,2025-02-09T03:20:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,91.93495400788436,46.32352941176471,1610612758,6,21,2025-02-09T03:22:43Z,680000,False,-18.0,23.0,1,right,MISS D. Sabonis cutting Layup - blocked,"[1627734, 1642274]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,2.97,Missed,,,,,,,,,,,,Missi,1642274.0,,,,
70,PT06M08.00S,2025-02-09T03:20:40.5Z,1,REGULAR,block,,[],1642274,,,1610612758,6,21,2025-02-09T03:20:44Z,690000,False,,,0,,Y. Missi BLOCK (3 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
71,PT06M08.00S,2025-02-09T03:20:40.5Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,6,21,2025-02-09T03:20:51Z,700000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,,,69.0,2.0,1.0,1.0,,,,,,,,,,,,,
72,PT06M02.00S,2025-02-09T03:20:46.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,94.40999984741211,50.0,1610612758,6,21,2025-02-09T03:20:46Z,710000,False,0.0,0.0,1,right,MISS D. Sabonis tip Layup,[1627734],1610612758.0,SAC,tip,,,Sabonis,D. Sabonis,,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,
73,PT06M00.00S,2025-02-09T03:20:48.1Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,6,21,2025-02-09T03:20:48Z,720000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Mid-Range,8-16 Left,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,
74,PT05M55.00S,2025-02-09T03:20:52.9Z,1,REGULAR,3pt,Jump Shot,[],203468,26.757555847568987,79.90196078431373,1610612740,6,24,2025-02-09T03:23:43Z,730000,False,-150.0,199.0,1,left,C. McCollum 24' 3PT step back (6 PTS) (J. Alvarado 4 AST),"[203468, 1630631]",1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,,Above the Break 3,24+ Left Center,24.89,Made,,,,,6.0,,,,J. Alvarado,1630631.0,4.0,,,,,,
76,PT05M39.00S,2025-02-09T03:21:09.9Z,1,REGULAR,2pt,Jump Shot,[],1628370,82.86793692509855,70.83333333333334,1610612758,6,24,2025-02-09T03:21:25Z,750000,False,104.0,109.0,1,right,MISS M. Monk 15' pullup Shot,[1628370],1610612758.0,SAC,pullup,,,Monk,M. Monk,,,,,,Mid-Range,8-16 Right,15.04,Missed,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2025-02-09T03:21:09.9Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,6,24,2025-02-09T03:21:25Z,760000,False,,,0,,Y. Missi REBOUND (Off:0 Def:4),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,Mid-Range,8-16 Right,,,76.0,4.0,4.0,0.0,,,,,,,,,,,,,
78,PT05M20.00S,2025-02-09T03:21:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,6.258212877792378,51.9607843137255,1610612740,6,24,2025-02-09T03:24:15Z,770000,False,-10.0,6.0,1,left,MISS Y. Missi cutting Layup,[1642274],1610612740.0,NOP,cutting,,,Missi,Y. Missi,,,,,,Restricted Area,0-8 Center,1.17,Missed,,,,,,,,,,,,,,,,,
79,PT05M18.00S,2025-02-09T03:21:29.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,6,24,2025-02-09T03:21:31Z,780000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,Restricted Area,0-8 Center,,,78.0,3.0,2.0,1.0,,,,,,,,,,,,,
80,PT05M03.00S,2025-02-09T03:21:45.3Z,1,REGULAR,3pt,Jump Shot,[],1627734,66.83639947437582,53.92156862745098,1610612758,9,24,2025-02-09T03:21:51Z,790000,False,20.0,259.0,1,right,D. Sabonis 25' 3PT  (7 PTS) (D. DeRozan 2 AST),"[1627734, 201942]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,Above the Break 3,24+ Center,25.99,Made,,,,,7.0,,,,D. DeRozan,201942.0,2.0,,,,,,
82,PT04M43.00S,2025-02-09T03:22:05.1Z,1,REGULAR,3pt,Jump Shot,[],1630631,29.122864651773984,74.26470588235294,1610612740,9,24,2025-02-09T03:22:09Z,810000,False,-121.0,221.0,1,left,MISS J. Alvarado 25' 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,
83,PT04M41.00S,2025-02-09T03:22:07.1Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,9,24,2025-02-09T03:22:09Z,820000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,Above the Break 3,24+ Left Center,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,
