actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
23,PT10M30.00S,2024-12-22T23:13:11.2Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,0,1,2024-12-23T00:09:52Z,230000,False,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M19.00S,2024-12-22T23:13:22.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631099,83.52496714848883,53.92156862745098,1610612758,0,1,2024-12-22T23:17:40Z,240000,False,20.0,102.0,1,right,MISS K. Murray 10' turnaround Hook,[1631099],1610612758.0,SAC,turnaround,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.43,Missed,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2024-12-22T23:13:23.6Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,1,2024-12-22T23:18:08Z,250000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT10M05.00S,2024-12-22T23:13:36.3Z,1,REGULAR,3pt,Jump Shot,[],1627783,8.360709592641262,96.81372549019608,1610612754,0,4,2024-12-22T23:13:44Z,260000,False,-234.0,26.0,1,left,P. Siakam 3PT  (4 PTS) (B. Mathurin 1 AST),"[1627783, 1631097]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,23.56,Made,,,,,,,,,,,,4.0,,,,B. Mathurin,1631097.0,1.0
28,PT09M43.00S,2024-12-22T23:13:57.9Z,1,REGULAR,2pt,Jump Shot,[],201942,82.60512483574244,22.794117647058822,1610612758,2,4,2024-12-22T23:19:56Z,280000,False,-136.0,111.0,1,right,D. DeRozan 17' step back Jump Shot (2 PTS) (D. Sabonis 1 AST),"[201942, 1627734]",1610612758.0,SAC,step back,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,17.55,Made,,,,,,,,,,,,2.0,,,,D. Sabonis,1627734.0,1.0
30,PT09M23.00S,2024-12-22T23:14:18.4Z,1,REGULAR,3pt,Jump Shot,[],1631097,33.85348226018397,47.05882352941176,1610612754,2,4,2024-12-22T23:20:14Z,300000,False,15.0,266.0,1,left,MISS B. Mathurin 26' pullup 3PT,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,26.61,Missed,,,,,,,,,,,,,,,,,,
31,PT09M21.00S,2024-12-22T23:14:20.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,4,2024-12-22T23:20:29Z,310000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,30.0,3.0,3.0,0.0,,,,,,,,,,,,,,
32,PT09M12.00S,2024-12-22T23:14:29.2Z,1,REGULAR,3pt,Jump Shot,[],1628370,66.70499342969777,26.225490196078432,1610612758,2,4,2024-12-22T23:14:35Z,320000,False,-119.0,260.0,1,right,MISS M. Monk 28' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,28.64,Missed,,,,,,,,,,,,,,,,,,
33,PT09M07.00S,2024-12-22T23:14:34.2Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,2,4,2024-12-22T23:14:35Z,330000,False,,,0,,T. Haliburton REBOUND (Off:1 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,,,
34,PT08M52.00S,2024-12-22T23:14:49.4Z,1,REGULAR,3pt,Jump Shot,[],1629614,4.5499342969776615,95.58823529411765,1610612754,2,7,2024-12-22T23:14:59Z,340000,False,-228.0,-10.0,1,left,A. Nembhard 3PT  (3 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Left Corner 3,24+ Left,22.81,Made,,,,,,,,,,,,3.0,,,,T. Haliburton,1630169.0,1.0
36,PT08M36.00S,2024-12-22T23:15:05.0Z,1,REGULAR,3pt,Jump Shot,[],201942,89.96386333771353,98.2843137254902,1610612758,2,7,2024-12-22T23:15:38Z,360000,False,241.0,42.0,1,right,MISS D. DeRozan 24' 3PT,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Right Corner 3,24+ Right,24.5,Missed,,,,,,,,,,,,,,,,,,
37,PT08M33.00S,2024-12-22T23:15:08.8Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,2,7,2024-12-22T23:15:08Z,370000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Right Corner 3,24+ Right,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M23.00S,2024-12-22T23:15:18.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,18.610381077529567,44.11764705882353,1610612754,2,7,2024-12-22T23:22:09Z,380000,False,29.0,122.0,1,left,MISS A. Nembhard 12' driving floating Shot,[1629614],1610612754.0,IND,driving floating,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,12.59,Missed,,,,,,,,,,,,,,,,,,
39,PT08M20.00S,2024-12-22T23:15:21.1Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,2,7,2024-12-22T23:15:42Z,390000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M14.00S,2024-12-22T23:15:26.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631099,70.64717477003943,14.705882352941178,1610612758,2,7,2024-12-22T23:23:09Z,400000,False,-176.0,223.0,1,right,MISS K. Murray 28' running 3PT,[1631099],1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,28.47,Missed,,,,,,,,,,,,,,,,,,
41,PT08M10.00S,2024-12-22T23:15:30.9Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,7,2024-12-22T23:15:45Z,410000,False,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,40.0,3.0,3.0,0.0,,,,,,,,,,,,,,
42,PT08M07.00S,2024-12-22T23:15:34.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631097,12.040078843626807,52.69607843137255,1610612754,2,7,2024-12-22T23:16:00Z,420000,False,-13.0,61.0,1,left,MISS B. Mathurin 6' running Layup - blocked,"[1631097, 1628370]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,6.22,Missed,,,,,Monk,1628370.0,,,,,,,,,,,,
43,PT08M07.00S,2024-12-22T23:15:34.0Z,1,REGULAR,block,,[],1628370,,,1610612754,2,7,2024-12-22T23:15:37Z,430000,False,,,0,,M. Monk BLOCK (2 BLK),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M05.00S,2024-12-22T23:15:36.0Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,2,7,2024-12-22T23:24:17Z,440000,False,,,0,,M. Monk REBOUND (Off:0 Def:2),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT08M00.00S,2024-12-22T23:15:41.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628368,71.82982917214193,13.23529411764706,1610612758,5,7,2024-12-22T23:24:59Z,450000,False,-184.0,212.0,1,right,D. Fox 28' 3PT running pullup (3 PTS),[1628368],1610612758.0,SAC,running pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,28.08,Made,,,,,,,,,,,,3.0,,,,,,
46,PT07M41.00S,2024-12-22T23:15:59.7Z,1,REGULAR,3pt,Jump Shot,[],1630169,35.8245729303548,52.450980392156865,1610612754,5,7,2024-12-22T23:16:18Z,460000,False,-12.0,284.0,1,left,MISS T. Haliburton 28' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,28.46,Missed,,,,,,,,,,,,,,,,,,
47,PT07M41.00S,2024-12-22T23:15:59.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,5,7,2024-12-22T23:16:18Z,470000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:4),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,46.0,4.0,4.0,0.0,,,,,,,,,,,,,,
48,PT07M29.00S,2024-12-22T23:16:17.2Z,1,REGULAR,foul,offensive,[],1627734,,,1610612758,5,7,2024-12-22T23:16:55Z,480000,False,,,0,,D. Sabonis offensive FOUL (1 PF),"[1627734, 1631097]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Center,,,,,,,,,1627961.0,1.0,0.0,Mathurin,1631097.0,,,,,,,
50,PT07M29.00S,2024-12-22T23:16:17.2Z,1,REGULAR,turnover,offensive foul,[],1627734,,,1610612758,5,7,2024-12-22T23:16:17Z,500000,False,,,0,,D. Sabonis offensive foul TURNOVER (1 TO),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Center,,,,,,,,,1627961.0,,,,,,1.0,,,,,
51,PT07M10.00S,2024-12-22T23:16:50.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630169,28.203022339027594,17.892156862745097,1610612754,5,7,2024-12-22T23:26:11Z,510000,False,161.0,213.0,1,left,MISS T. Haliburton 26' step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,26.64,Missed,,,,,,,,,,,,,,,,,,
52,PT07M07.00S,2024-12-22T23:16:53.2Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,5,7,2024-12-22T23:16:53Z,520000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT06M57.00S,2024-12-22T23:17:03.7Z,1,REGULAR,2pt,Jump Shot,[],201942,78.0059132720105,18.137254901960784,1610612758,5,7,2024-12-22T23:17:11Z,530000,False,-159.0,154.0,1,right,MISS D. DeRozan 22' Jump Shot,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,22.17,Missed,,,,,,,,,,,,,,,,,,
54,PT06M52.00S,2024-12-22T23:17:08.7Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,5,7,2024-12-22T23:17:11Z,540000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:2),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Left Center,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
55,PT06M51.00S,2024-12-22T23:17:08.6Z,1,REGULAR,turnover,bad pass,[],1631097,,,1610612754,5,7,2024-12-22T23:17:21Z,550000,False,,,0,,B. Mathurin bad pass TURNOVER (1 TO),"[1631097, 1628368]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Fox,1628368.0,,,
56,PT06M51.00S,2024-12-22T23:17:08.6Z,1,REGULAR,steal,,[],1628368,,,1610612758,5,7,2024-12-22T23:17:11Z,560000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2024-12-22T23:17:13.4Z,1,REGULAR,2pt,Layup,['fromturnover'],1628368,88.64980289093299,31.61764705882353,1610612758,7,7,2024-12-22T23:27:40Z,570000,False,-92.0,54.0,1,right,D. Fox 10' driving finger roll Layup (5 PTS),[1628368],1610612758.0,SAC,driving finger roll,,,Fox,D. Fox,,,,,Mid-Range,8-16 Left,10.67,Made,,,,,,,,,,,,5.0,,,,,,
58,PT06M28.00S,2024-12-22T23:17:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,9.017739816031538,56.86274509803921,1610612754,7,9,2024-12-22T23:17:44Z,580000,False,-34.0,32.0,1,left,M. Turner turnaround Jump Shot (2 PTS),[1626167],1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,4.71,Made,,,,,,,,,,,,2.0,,,,,,
59,PT06M26.00S,2024-12-22T23:17:41.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,7,9,2024-12-22T23:17:41Z,590000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M26.00S,2024-12-22T23:18:15.6Z,1,REGULAR,substitution,out,[],1627783,,,1610612758,7,9,2024-12-22T23:20:38Z,600000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M26.00S,2024-12-22T23:18:15.6Z,1,REGULAR,substitution,in,[],1630167,,,1610612758,7,9,2024-12-22T23:20:38Z,610000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M08.00S,2024-12-22T23:20:55.4Z,1,REGULAR,3pt,Jump Shot,[],1628368,89.04402102496715,1.2254901960784315,1610612758,10,9,2024-12-22T23:21:01Z,620000,False,-244.0,50.0,1,right,D. Fox 24' 3PT  (8 PTS) (K. Murray 1 AST),"[1628368, 1631099]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Left Corner 3,24+ Left,24.91,Made,,,,,,,,,,,,8.0,,,,K. Murray,1631099.0,1.0
64,PT05M49.00S,2024-12-22T23:21:16.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,31.225361366622867,76.47058823529412,1610612754,10,9,2024-12-22T23:29:03Z,640000,False,-132.0,241.0,1,left,MISS T. Haliburton 27' step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,27.5,Missed,,,,,,,,,,,,,,,,,,
65,PT05M46.00S,2024-12-22T23:21:19.9Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,10,9,2024-12-22T23:29:03Z,650000,False,,,0,,K. Murray REBOUND (Off:0 Def:2),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT05M37.00S,2024-12-22T23:21:24.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,85.49605781865965,48.77450980392157,1610612758,10,9,2024-12-22T23:21:40Z,660000,False,-6.0,84.0,1,right,MISS D. Sabonis 8' running Layup - blocked,"[1627734, 1631097]",1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,8.4,Missed,,,,,Mathurin,1631097.0,,,,,,,,,,,,
67,PT05M37.00S,2024-12-22T23:21:24.9Z,1,REGULAR,block,,[],1631097,,,1610612758,10,9,2024-12-22T23:21:28Z,670000,False,,,0,,B. Mathurin BLOCK (1 BLK),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
68,PT05M37.00S,2024-12-22T23:21:24.9Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,10,9,2024-12-22T23:21:40Z,680000,False,,,0,,T. Haliburton REBOUND (Off:1 Def:2),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Center,,,66.0,3.0,2.0,1.0,,,,,,,,,,,,,,
69,PT05M34.00S,2024-12-22T23:21:30.9Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612754,10,9,2024-12-22T23:22:01Z,690000,False,,,0,,T. Haliburton bad pass out-of-bounds TURNOVER (1 TO),[1630169],1610612754.0,IND,bad pass,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,,,,,,,,,203591.0,,,,,,1.0,,,,,
70,PT05M34.00S,2024-12-22T23:21:35.1Z,1,REGULAR,substitution,out,[],1628368,,,1610612758,10,9,2024-12-22T23:21:54Z,700000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M34.00S,2024-12-22T23:21:35.1Z,1,REGULAR,substitution,out,[],1631099,,,1610612758,10,9,2024-12-22T23:21:54Z,710000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M34.00S,2024-12-22T23:21:35.1Z,1,REGULAR,substitution,out,[],1629614,,,1610612758,10,9,2024-12-22T23:21:54Z,720000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M34.00S,2024-12-22T23:21:35.1Z,1,REGULAR,substitution,in,[],1628989,,,1610612758,10,9,2024-12-22T23:21:54Z,730000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2024-12-22T23:21:35.1Z,1,REGULAR,substitution,in,[],1626168,,,1610612758,10,9,2024-12-22T23:21:54Z,740000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M34.00S,2024-12-22T23:21:35.1Z,1,REGULAR,substitution,in,[],204456,,,1610612758,10,9,2024-12-22T23:21:54Z,750000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M21.00S,2024-12-22T23:22:10.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628370,63.55124835742444,50.0,1610612758,10,9,2024-12-22T23:22:26Z,760000,False,0.0,290.0,1,right,MISS M. Monk 29' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Center,29.01,Missed,,,,,,,,,,,,,,,,,,
77,PT05M17.00S,2024-12-22T23:22:13.9Z,1,REGULAR,rebound,offensive,[],1628989,,,1610612758,10,9,2024-12-22T23:22:13Z,770000,False,,,0,,K. Huerter REBOUND (Off:1 Def:0),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,,
