actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
15,PT10M46.00S,2024-10-29T02:11:49.6Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,0,2024-10-29T02:11:49Z,150000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M42.00S,2024-10-29T02:11:53.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627734,5.863994743758213,50.0,1610612758,2,0,2024-10-29T02:11:58Z,160000,False,0.0,3.0,1,left,D. Sabonis cutting DUNK (2 PTS) (K. Huerter 1 AST),"[1627734, 1628989]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,0.26,Made,,,,,,,,,2.0,K. Huerter,1628989.0,1.0,,,,,,
18,PT10M37.00S,2024-10-29T02:12:03.3Z,1,REGULAR,foul,personal,[],1631099,,,1610612757,2,0,2024-10-29T02:12:10Z,180000,False,,,0,,K. Murray personal FOUL (1 PF),"[1631099, 203924]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1627962.0,,,,,1.0,0.0,Grant,203924.0,,
20,PT10M30.00S,2024-10-29T02:12:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,87.72996057818659,50.73529411764706,1610612757,2,0,2024-10-29T02:12:42Z,200000,False,4.0,63.0,1,right,MISS D. Ayton 6' driving floating bank Shot,[1629028],1610612757.0,POR,driving floating bank,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,6.29,Missed,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2024-10-29T02:12:35.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,0,2024-10-29T02:12:42Z,210000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
22,PT10M22.00S,2024-10-29T02:12:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.652431011826544,53.92156862745098,1610612758,4,0,2024-10-29T02:12:49Z,220000,False,-20.0,10.0,1,left,D. Sabonis cutting Layup (4 PTS) (K. Huerter 2 AST),"[1627734, 1628989]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,2.2,Made,,,,,,,,,4.0,K. Huerter,1628989.0,2.0,,,,,,
24,PT10M11.00S,2024-10-29T02:12:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,89.96386333771353,47.30392156862745,1610612757,4,0,2024-10-29T02:12:58Z,240000,False,-13.0,42.0,1,right,MISS D. Avdija driving Layup,[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,4.39,Missed,,,,,,,,,,,,,,,,,,
25,PT10M09.00S,2024-10-29T02:12:55.1Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,4,0,2024-10-29T02:12:58Z,250000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT10M09.00S,2024-10-29T02:13:00.3Z,1,REGULAR,violation,kicked ball,[],1629028,,,1610612758,4,0,2024-10-29T02:13:08Z,260000,False,,,0,,D. Ayton kicked ball VIOLATION,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,200834.0,,,,,,,,,,
27,PT10M01.00S,2024-10-29T02:13:22.2Z,1,REGULAR,2pt,Jump Shot,[],201942,18.084756898817346,72.54901960784314,1610612758,4,0,2024-10-29T02:14:45Z,270000,False,-113.0,117.0,1,left,MISS D. DeRozan 16' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,16.28,Missed,,,,,,,,,,,,,,,,,,
28,PT09M58.00S,2024-10-29T02:13:26.1Z,1,REGULAR,rebound,offensive,[],1631099,,,1610612758,4,0,2024-10-29T02:13:26Z,280000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Left Center,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
29,PT09M46.00S,2024-10-29T02:13:37.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628989,3.7614980289093296,95.34313725490196,1610612758,7,0,2024-10-29T02:13:43Z,290000,False,-227.0,-17.0,1,left,K. Huerter 3PT  (3 PTS) (K. Murray 1 AST),"[1628989, 1631099]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Left Corner 3,24+ Left,22.73,Made,,,,,,,,,3.0,K. Murray,1631099.0,1.0,,,,,,
31,PT09M30.00S,2024-10-29T02:13:57.1Z,1,REGULAR,turnover,out-of-bounds,[],1629014,,,1610612757,7,0,2024-10-29T02:14:06Z,310000,False,,,0,,A. Simons bad pass out-of-bounds TURNOVER (2 TO),[1629014],1610612757.0,POR,bad pass,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,,,,,2.0,,,1628954.0,,,,,,,,,,
32,PT09M14.00S,2024-10-29T02:14:18.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631099,21.23850197109067,69.6078431372549,1610612758,7,0,2024-10-29T02:14:27Z,320000,False,-98.0,147.0,1,left,MISS K. Murray 17' step back Shot,[1631099],1610612758.0,SAC,step back,,,Murray,K. Murray,,,,,Mid-Range,16-24 Left Center,17.68,Missed,,,,,,,,,,,,,,,,,,
33,PT09M08.00S,2024-10-29T02:14:24.9Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,7,0,2024-10-29T02:14:27Z,330000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,16-24 Left Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M06.00S,2024-10-29T02:14:27.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641739,95.0886990801577,97.05882352941177,1610612757,7,0,2024-10-29T02:14:35Z,340000,False,235.0,-6.0,1,right,MISS T. Camara running 3PT,[1641739],1610612757.0,POR,running,,,Camara,T. Camara,,,,,Right Corner 3,24+ Right,23.54,Missed,,,,,,,,,,,,,,,,,,
35,PT09M03.00S,2024-10-29T02:14:30.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,7,0,2024-10-29T02:14:35Z,350000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Right Corner 3,24+ Right,,,34.0,3.0,2.0,1.0,,,,,,,,,,,,,,
36,PT08M55.00S,2024-10-29T02:14:39.1Z,1,REGULAR,3pt,Jump Shot,[],1628368,29.6484888304862,71.56862745098039,1610612758,7,0,2024-10-29T02:14:46Z,360000,False,-108.0,226.0,1,left,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,25.06,Missed,,,,,,,,,,,,,,,,,,
37,PT08M50.00S,2024-10-29T02:14:44.1Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,7,0,2024-10-29T02:14:46Z,370000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M40.00S,2024-10-29T02:14:53.1Z,1,REGULAR,2pt,Jump Shot,[],1629028,77.21747700394218,50.245098039215684,1610612757,7,2,2024-10-29T02:14:58Z,380000,False,1.0,162.0,1,right,D. Ayton 16' Jump Shot (2 PTS) (T. Camara 1 AST),"[1629028, 1641739]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,16.17,Made,,,,,,,,,2.0,T. Camara,1641739.0,1.0,,,,,,
40,PT08M20.00S,2024-10-29T02:15:17.0Z,1,REGULAR,foul,offensive,[],1627734,,,1610612758,7,2,2024-10-29T02:15:28Z,400000,False,,,0,,D. Sabonis charge offensive FOUL (1 PF),"[1627734, 1641739]",1610612758.0,SAC,charge,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628954.0,,,,,1.0,0.0,Camara,1641739.0,,
42,PT08M20.00S,2024-10-29T02:15:17.0Z,1,REGULAR,turnover,offensive foul,[],1627734,,,1610612758,7,2,2024-10-29T02:15:17Z,420000,False,,,0,,D. Sabonis offensive foul TURNOVER (1 TO),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,1628954.0,,,,,,,,,,
43,PT08M02.00S,2024-10-29T02:15:51.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630166,89.30683311432325,97.30392156862744,1610612757,7,2,2024-10-29T02:15:57Z,430000,False,237.0,48.0,1,right,MISS D. Avdija 24' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Right Corner 3,24+ Right,24.13,Missed,,,,,,,,,,,,,,,,,,
44,PT07M59.00S,2024-10-29T02:15:54.7Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,7,2,2024-10-29T02:15:57Z,440000,False,,,0,,K. Murray REBOUND (Off:1 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,
45,PT07M46.00S,2024-10-29T02:16:06.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,9.017739816031538,40.68627450980392,1610612758,7,2,2024-10-29T02:16:13Z,450000,False,47.0,32.0,1,left,MISS K. Murray driving Layup,[1631099],1610612758.0,SAC,driving,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,5.67,Missed,,,,,,,,,,,,,,,,,,
46,PT07M44.00S,2024-10-29T02:16:08.9Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,7,2,2024-10-29T02:16:13Z,460000,False,,,0,,J. Grant REBOUND (Off:0 Def:2),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT07M32.00S,2024-10-29T02:16:20.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,88.38699080157687,46.32352941176471,1610612757,7,4,2024-10-29T02:16:26Z,470000,False,-18.0,57.0,1,right,D. Avdija Jump Shot (2 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,5.96,Made,,,,,,,,,2.0,,,,,,,,,
48,PT07M23.00S,2024-10-29T02:16:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,6.783837056504599,54.166666666666664,1610612758,9,4,2024-10-29T02:17:46Z,480000,False,-21.0,11.0,1,left,D. DeRozan driving Layup (2 PTS),[201942],1610612758.0,SAC,driving,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,2.37,Made,,,,,,,,,2.0,,,,,,,,,
49,PT07M23.00S,2024-10-29T02:16:35.4Z,1,REGULAR,foul,personal,['1freethrow'],1629014,,,1610612758,9,4,2024-10-29T02:16:45Z,490000,False,,,0,,A. Simons shooting personal FOUL (1 PF) (DeRozan 1 FT),"[1629014, 201942]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628954.0,,,,,1.0,0.0,DeRozan,201942.0,,
51,PT07M23.00S,2024-10-29T02:17:13.5Z,1,REGULAR,freethrow,1 of 1,[],201942,,,1610612758,10,4,2024-10-29T02:17:13Z,510000,False,,,0,,D. DeRozan Free Throw 1 of 1 (3 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
52,PT07M14.00S,2024-10-29T02:17:25.5Z,1,REGULAR,3pt,Jump Shot,[],1630166,70.51576872536137,23.774509803921568,1610612757,10,4,2024-10-29T02:17:32Z,520000,False,-131.0,225.0,1,right,MISS D. Avdija 26' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
53,PT07M10.00S,2024-10-29T02:17:29.5Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,10,4,2024-10-29T02:17:32Z,530000,False,,,0,,K. Murray REBOUND (Off:1 Def:2),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,52.0,3.0,2.0,1.0,,,,,,,,,,,,,,
54,PT06M50.00S,2024-10-29T02:17:48.9Z,1,REGULAR,3pt,Jump Shot,[],1628989,14.536793692509855,2.941176470588235,1610612758,13,4,2024-10-29T02:17:54Z,540000,False,235.0,84.0,1,left,K. Huerter 24' 3PT  (6 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Right Corner 3,24+ Right,24.99,Made,,,,,,,,,6.0,D. Sabonis,1627734.0,1.0,,,,,,
56,PT06M30.00S,2024-10-29T02:18:08.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,74.32654402102497,14.215686274509803,1610612757,13,4,2024-10-29T02:19:02Z,560000,False,-179.0,189.0,1,right,MISS A. Simons 26' step back 3PT,[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
57,PT06M28.00S,2024-10-29T02:18:10.1Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,13,4,2024-10-29T02:18:19Z,570000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT06M22.00S,2024-10-29T02:18:18.1Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612758,13,4,2024-10-29T02:21:31Z,580000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Fox 2 FT),"[1641739, 1628368]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627962.0,,,,,1.0,0.0,Fox,1628368.0,,
60,PT06M22.00S,2024-10-29T02:18:41.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,13,4,2024-10-29T02:18:41Z,600000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M22.00S,2024-10-29T02:18:46.1Z,1,REGULAR,substitution,out,[],203924,,,1610612758,13,4,2024-10-29T02:21:27Z,610000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M22.00S,2024-10-29T02:18:46.1Z,1,REGULAR,substitution,in,[],1630703,,,1610612758,13,4,2024-10-29T02:21:27Z,620000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M22.00S,2024-10-29T02:21:39.4Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,14,4,2024-10-29T02:21:39Z,630000,False,,,0,,D. Fox Free Throw 1 of 2 (1 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
64,PT06M22.00S,2024-10-29T02:21:54.5Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,15,4,2024-10-29T02:21:54Z,640000,False,,,0,,D. Fox Free Throw 2 of 2 (2 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
65,PT06M02.00S,2024-10-29T02:22:17.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,92.72339027595268,51.470588235294116,1610612757,15,6,2024-10-29T02:22:22Z,650000,False,7.0,16.0,1,right,D. Ayton DUNK (4 PTS) (S. Henderson 1 AST),"[1629028, 1630703]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.75,Made,,,,,,,,,4.0,S. Henderson,1630703.0,1.0,,,,,,
67,PT05M48.00S,2024-10-29T02:22:32.2Z,1,REGULAR,turnover,lost ball,[],1628368,,,1610612758,15,6,2024-10-29T02:22:38Z,670000,False,,,0,,D. Fox lost ball TURNOVER (1 TO),"[1628368, 1641739]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right,,,,,,,1.0,Camara,1641739.0,,,,,,,,,,,
68,PT05M48.00S,2024-10-29T02:22:32.2Z,1,REGULAR,steal,,[],1641739,,,1610612757,15,6,2024-10-29T02:22:35Z,680000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right,,,,,,,,,,,,,,,,,,,,
70,PT05M46.00S,2024-10-29T02:22:44.3Z,1,REGULAR,substitution,out,[],1628368,,,1610612757,15,6,2024-10-29T02:22:56Z,700000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M46.00S,2024-10-29T02:22:44.3Z,1,REGULAR,substitution,out,[],1628989,,,1610612757,15,6,2024-10-29T02:22:56Z,710000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M46.00S,2024-10-29T02:22:44.3Z,1,REGULAR,substitution,in,[],1628370,,,1610612757,15,6,2024-10-29T02:22:56Z,720000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M46.00S,2024-10-29T02:22:44.3Z,1,REGULAR,substitution,in,[],1631165,,,1610612757,15,6,2024-10-29T02:22:56Z,730000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M38.00S,2024-10-29T02:23:12.5Z,1,REGULAR,foul,personal,[],201942,,,1610612757,15,6,2024-10-29T02:23:24Z,740000,False,,,0,,D. DeRozan personal FOUL (1 PF),"[201942, 1630166]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1628954.0,,,,,1.0,0.0,Avdija,1630166.0,,
76,PT05M24.00S,2024-10-29T02:23:45.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629014,94.69448094612353,31.862745098039213,1610612757,15,8,2024-10-29T02:23:52Z,760000,False,-91.0,-3.0,1,right,A. Simons 9' fadeaway Jump Shot (2 PTS),[1629014],1610612757.0,POR,fadeaway,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,9.07,Made,,,,,,,,,2.0,,,,,,,,,
77,PT05M05.00S,2024-10-29T02:24:04.9Z,1,REGULAR,3pt,Jump Shot,[],1631099,4.155716162943495,95.58823529411765,1610612758,15,8,2024-10-29T02:24:13Z,770000,False,-228.0,-13.0,1,left,MISS K. Murray 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,22.83,Missed,,,,,,,,,,,,,,,,,,
78,PT05M01.00S,2024-10-29T02:24:08.9Z,1,REGULAR,rebound,defensive,[],1630703,,,1610612757,15,8,2024-10-29T02:24:13Z,780000,False,,,0,,S. Henderson REBOUND (Off:0 Def:1),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Left Corner 3,24+ Left,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
79,PT04M56.00S,2024-10-29T02:24:14.0Z,1,REGULAR,2pt,Jump Shot,[],1629028,75.24638633377135,45.09803921568628,1610612757,15,8,2024-10-29T02:24:25Z,790000,False,-25.0,180.0,1,right,MISS D. Ayton 18' Jump Shot,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,18.19,Missed,,,,,,,,,,,,,,,,,,
80,PT04M52.00S,2024-10-29T02:24:18.0Z,1,REGULAR,rebound,defensive,[],1631165,,,1610612758,15,8,2024-10-29T02:24:25Z,800000,False,,,0,,K. Ellis REBOUND (Off:0 Def:1),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Mid-Range,16-24 Center,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,
81,PT04M43.00S,2024-10-29T02:24:29.3Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612758,15,8,2024-10-29T02:24:43Z,810000,False,,,0,,T. Camara shooting personal FOUL (2 PF) (DeRozan 2 FT),"[1641739, 201942]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627962.0,,,,,2.0,0.0,DeRozan,201942.0,,
83,PT04M43.00S,2024-10-29T02:24:54.9Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612758,16,8,2024-10-29T02:24:54Z,830000,False,,,0,,D. DeRozan Free Throw 1 of 2 (4 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
84,PT04M43.00S,2024-10-29T02:25:02.9Z,1,REGULAR,substitution,out,[],1641739,,,1610612758,16,8,2024-10-29T02:25:09Z,840000,False,,,0,,SUB out: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M43.00S,2024-10-29T02:25:02.9Z,1,REGULAR,substitution,in,[],1631200,,,1610612758,16,8,2024-10-29T02:25:09Z,850000,False,,,0,,SUB in: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
