actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
46,PT08M28.00S,2024-11-19T03:14:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,92.9862023653088,44.6078431372549,1610612737,4,8,2024-11-19T03:16:49Z,460000,False,-27.0,13.0,1,right,MISS Z. Risacher cutting Layup - blocked,"[1642258, 203458]",1610612737.0,ATL,cutting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,3.01,Missed,,,,,,,,,,,,,Len,203458.0
47,PT08M28.00S,2024-11-19T03:14:56.9Z,1,REGULAR,block,,[],203458,,,1610612737,4,8,2024-11-19T03:14:59Z,470000,False,,,0,,A. Len BLOCK (2 BLK),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M27.00S,2024-11-19T03:14:57.9Z,1,REGULAR,rebound,offensive,[],1642258,,,1610612737,4,8,2024-11-19T03:16:49Z,480000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:0),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,46.0,1.0,0.0,1.0,,,,,,,,,,
49,PT08M25.00S,2024-11-19T03:15:03.5Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612737,4,8,2024-11-19T03:15:14Z,490000,False,,,0,,K. Huerter shooting personal FOUL (1 PF) (Risacher 2 FT),"[1628989, 1642258]",1610612758.0,SAC,shooting,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,1626302.0,,,,,,,,,,,,,,1.0,0.0,Risacher,1642258.0,,
51,PT08M25.00S,2024-11-19T03:15:21.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1642258,,,1610612737,4,9,2024-11-19T03:15:42Z,510000,False,,,0,,Z. Risacher Free Throw 1 of 2 (7 PTS),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,Made,,,,,7.0,,,,,,,,,
52,PT08M25.00S,2024-11-19T03:15:21.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1642258,,,1610612737,4,9,2024-11-19T03:15:42Z,520000,False,,,0,,MISS Z. Risacher Free Throw 2 of 2,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
53,PT08M21.00S,2024-11-19T03:15:25.6Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,4,9,2024-11-19T03:15:42Z,530000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,
54,PT08M08.00S,2024-11-19T03:15:52.3Z,1,REGULAR,3pt,Jump Shot,[],203458,26.62614980289093,80.14705882352942,1610612758,4,9,2024-11-19T03:16:00Z,540000,False,-151.0,198.0,1,left,MISS A. Len 24' 3PT,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,Above the Break 3,24+ Left Center,,,,,24.87,Missed,,,,,,,,,,,,,,
55,PT08M06.00S,2024-11-19T03:15:54.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,4,9,2024-11-19T03:16:00Z,550000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,54.0,,,,,,,,,,,,,
57,PT07M49.00S,2024-11-19T03:16:15.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,92.72339027595268,44.6078431372549,1610612737,4,11,2024-11-19T03:20:20Z,570000,False,-27.0,16.0,1,right,Z. Risacher driving Layup (9 PTS),[1642258],1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,3.13,Made,,,,,9.0,,,,,,,,,
59,PT07M32.00S,2024-11-19T03:16:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203458,12.171484888304862,49.754901960784316,1610612758,6,11,2024-11-19T03:18:10Z,590000,False,1.0,62.0,1,left,A. Len 6' bank Jump Shot (2 PTS) (T. Lyles 1 AST),"[203458, 1626168]",1610612758.0,SAC,bank,,,Len,A. Len,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.19,Made,,,,,2.0,T. Lyles,1626168.0,1.0,,,,,,
61,PT07M17.00S,2024-11-19T03:16:50.3Z,1,REGULAR,2pt,Jump Shot,[],1630700,93.51182654402102,70.09803921568627,1610612737,6,11,2024-11-19T03:19:34Z,610000,False,100.0,8.0,1,right,MISS D. Daniels 10' driving floating Shot,[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Right,,,,,10.09,Missed,,,,,,,,,,,,,,
62,PT07M16.00S,2024-11-19T03:16:51.3Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,6,11,2024-11-19T03:19:34Z,620000,False,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Right,,,,,,,61.0,4.0,3.0,1.0,,,,,,,,,,
63,PT07M15.00S,2024-11-19T03:16:53.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,93.38042049934296,49.01960784313725,1610612737,6,13,2024-11-19T03:19:41Z,630000,False,-5.0,10.0,1,right,C. Capela putback Layup (2 PTS),[203991],1610612737.0,ATL,putback,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,1.09,Made,,,,,2.0,,,,,,,,,
64,PT07M02.00S,2024-11-19T03:17:03.4Z,1,REGULAR,3pt,Jump Shot,[],1626168,4.5499342969776615,2.696078431372549,1610612758,6,13,2024-11-19T03:17:10Z,640000,False,237.0,-10.0,1,left,MISS T. Lyles 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Right Corner 3,24+ Right,,,,,23.67,Missed,,,,,,,,,,,,,,
65,PT06M58.00S,2024-11-19T03:17:07.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,13,2024-11-19T03:17:10Z,650000,False,,,0,,C. Capela REBOUND (Off:1 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Right Corner 3,24+ Right,,,,,,,64.0,5.0,4.0,1.0,,,,,,,,,,
66,PT06M44.00S,2024-11-19T03:17:21.3Z,1,REGULAR,3pt,Jump Shot,[],1630700,70.51576872536137,80.63725490196079,1610612737,6,16,2024-11-19T03:17:27Z,660000,False,153.0,225.0,1,right,D. Daniels 27' 3PT  (5 PTS) (G. Mathews 1 AST),"[1630700, 1629726]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,27.2,Made,,,,,5.0,G. Mathews,1629726.0,1.0,,,,,,
68,PT06M30.00S,2024-11-19T03:17:37.1Z,1,REGULAR,3pt,Jump Shot,[],1628989,27.808804204993432,19.852941176470587,1610612758,6,16,2024-11-19T03:20:41Z,680000,False,151.0,209.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,,,,,25.76,Missed,,,,,,,,,,,,,,
69,PT06M28.00S,2024-11-19T03:17:39.1Z,1,REGULAR,rebound,offensive,[],1626168,,,1610612758,6,16,2024-11-19T03:20:41Z,690000,False,,,0,,T. Lyles REBOUND (Off:1 Def:0),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Right Center,,,,,,,68.0,1.0,0.0,1.0,,,,,,,,,,
70,PT06M24.00S,2024-11-19T03:17:42.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628989,15.193823915900131,3.1862745098039214,1610612758,6,16,2024-11-19T03:17:53Z,700000,False,234.0,90.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right,,,,,25.09,Missed,,,,,,,,,,,,,,
71,PT06M20.00S,2024-11-19T03:17:46.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,16,2024-11-19T03:17:53Z,710000,False,,,0,,C. Capela REBOUND (Off:1 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right,,,,,,,70.0,6.0,5.0,1.0,,,,,,,,,,
72,PT06M14.00S,2024-11-19T03:17:53.5Z,1,REGULAR,foul,personal,['2freethrow'],203458,,,1610612737,6,16,2024-11-19T03:18:04Z,720000,False,,,0,,A. Len shooting personal FOUL (1 PF) (Capela 2 FT),"[203458, 203991]",1610612758.0,SAC,shooting,,,Len,A. Len,,,,,In The Paint (Non-RA),0-8 Center,2003.0,,,,,,,,,,,,,,1.0,0.0,Capela,203991.0,,
74,PT06M14.00S,2024-11-19T03:18:02.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,6,16,2024-11-19T03:18:02Z,740000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,out,[],1628368,,,1610612737,6,16,2024-11-19T03:21:09Z,750000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,out,[],203458,,,1610612737,6,16,2024-11-19T03:21:09Z,760000,False,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,out,[],1626168,,,1610612737,6,16,2024-11-19T03:21:09Z,770000,False,,,0,,SUB out: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,out,[],1642258,,,1610612737,6,16,2024-11-19T03:21:09Z,780000,False,,,0,,SUB out: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,out,[],1629726,,,1610612737,6,16,2024-11-19T03:21:09Z,790000,False,,,0,,SUB out: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,in,[],1629162,,,1610612737,6,16,2024-11-19T03:21:09Z,800000,False,,,0,,SUB in: J. McLaughlin,[1629162],1610612758.0,SAC,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,in,[],1631115,,,1610612737,6,16,2024-11-19T03:21:09Z,810000,False,,,0,,SUB in: O. Robinson,[1631115],1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,in,[],1631165,,,1610612737,6,16,2024-11-19T03:21:09Z,820000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,in,[],203992,,,1610612737,6,16,2024-11-19T03:21:09Z,830000,False,,,0,,SUB in: B. Bogdanović,[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M14.00S,2024-11-19T03:20:38.5Z,1,REGULAR,substitution,in,[],1629631,,,1610612737,6,16,2024-11-19T03:21:09Z,840000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M14.00S,2024-11-19T03:21:12.9Z,1,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,6,17,2024-11-19T03:21:39Z,850000,False,,,0,,C. Capela Free Throw 1 of 2 (3 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,
86,PT06M14.00S,2024-11-19T03:21:12.9Z,1,REGULAR,freethrow,2 of 2,[],203991,,,1610612737,6,17,2024-11-19T03:21:39Z,860000,False,,,0,,MISS C. Capela Free Throw 2 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
