actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
34,PT09M00.00S,2024-02-09T00:19:07.3Z,1,REGULAR,rebound,offensive,[],1628365,,,1610612753,9,3,2024-02-09T00:19:16Z,340000,False,,,0,,M. Fultz REBOUND (Off:1 Def:0),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Right Center,,,33.0,1.0,0.0,1.0,,,,,,,,,,,,,,
35,PT08M58.00S,2024-02-09T00:19:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628365,91.67214191852825,48.77450980392157,1610612753,9,3,2024-02-09T00:19:21Z,350000,False,-6.0,26.0,1,right,MISS M. Fultz driving reverse Layup - blocked,"[1628365, 1641705]",1610612753.0,ORL,driving reverse,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,2.65,Missed,,,,,,,,,,Wembanyama,1641705.0,,,,,,,
36,PT08M58.00S,2024-02-09T00:19:09.6Z,1,REGULAR,block,,[],1641705,,,1610612753,9,3,2024-02-09T00:19:12Z,360000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M54.00S,2024-02-09T00:19:13.6Z,1,REGULAR,rebound,offensive,[],1628365,,,1610612753,9,3,2024-02-09T00:19:13Z,370000,False,,,0,,M. Fultz REBOUND (Off:2 Def:0),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,35.0,2.0,0.0,2.0,,,,,,,,,,,,,,
38,PT08M47.00S,2024-02-09T00:19:20.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630591,80.6340341655716,72.30392156862744,1610612753,9,3,2024-02-09T00:19:26Z,380000,False,112.0,130.0,1,right,MISS J. Suggs 17' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right Center,17.09,Missed,,,,,,,,,,,,,,,,,,
39,PT08M43.00S,2024-02-09T00:19:24.0Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,9,3,2024-02-09T00:19:24Z,390000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Right Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M36.00S,2024-02-09T00:19:31.5Z,1,REGULAR,2pt,Jump Shot,[],1630170,10.988830486202366,80.88235294117648,1610612759,9,3,2024-02-09T00:19:38Z,400000,False,-154.0,51.0,1,left,MISS D. Vassell 16' Jump Shot,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left,16.25,Missed,,,,,,,,,,,,,,,,,,
41,PT08M32.00S,2024-02-09T00:19:35.5Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,9,3,2024-02-09T00:19:38Z,410000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT08M17.00S,2024-02-09T00:19:50.6Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,9,3,2024-02-09T00:20:02Z,420000,False,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 1630200]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Jones,1630200.0,,,,
43,PT08M17.00S,2024-02-09T00:19:50.6Z,1,REGULAR,steal,,[],1630200,,,1610612759,9,3,2024-02-09T00:19:59Z,430000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
44,PT08M12.00S,2024-02-09T00:20:02.7Z,1,REGULAR,turnover,out-of-bounds,[],1641705,,,1610612759,9,3,2024-02-09T00:21:55Z,440000,False,,,0,,V. Wembanyama bad pass out-of-bounds TURNOVER (1 TO),[1641705],1610612759.0,SAS,bad pass,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1.0,,,,,,
45,PT07M56.00S,2024-02-09T00:20:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,91.80354796320631,52.69607843137255,1610612753,11,3,2024-02-09T00:22:39Z,450000,False,13.0,25.0,1,right,F. Wagner driving Layup (4 PTS) (M. Fultz 2 AST),"[1630532, 1628365]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.8,Made,,,,,4.0,M. Fultz,1628365.0,2.0,,,,,,,,,,
49,PT07M36.00S,2024-02-09T00:20:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,5.590000152587891,50.0,1610612759,11,3,2024-02-09T00:51:07Z,490000,False,0.0,0.0,1,left,MISS V. Wembanyama Layup,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
50,PT07M35.00S,2024-02-09T00:20:40.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,11,3,2024-02-09T00:20:40Z,500000,False,,,0,,P. Banchero REBOUND (Off:0 Def:3),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,49.0,3.0,3.0,0.0,,,,,,,,,,,,,,
51,PT07M26.00S,2024-02-09T00:20:49.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,83.39356110381078,51.470588235294116,1610612753,11,3,2024-02-09T00:20:59Z,510000,False,7.0,104.0,1,right,MISS W. Carter Jr. 10' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.39,Missed,,,,,,,,,,,,,,,,,,
52,PT07M23.00S,2024-02-09T00:20:52.3Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,11,3,2024-02-09T00:20:59Z,520000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT07M18.00S,2024-02-09T00:20:57.2Z,1,REGULAR,3pt,Jump Shot,[],1630200,4.812746386333772,2.696078431372549,1610612759,11,3,2024-02-09T00:21:10Z,530000,False,237.0,-7.0,1,left,MISS T. Jones 3PT - blocked,"[1630200, 1630532]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,23.66,Missed,,,,,,,,,,Wagner,1630532.0,,,,,,,
54,PT07M18.00S,2024-02-09T00:20:57.2Z,1,REGULAR,block,,[],1630532,,,1610612759,11,3,2024-02-09T00:21:05Z,540000,False,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
55,PT07M18.00S,2024-02-09T00:20:57.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,11,3,2024-02-09T00:21:10Z,550000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Right Corner 3,24+ Right,,,53.0,,,,,,,,,,,,,,,,,
57,PT07M12.00S,2024-02-09T00:21:22.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641705,23.47240473061761,12.5,1610612759,11,6,2024-02-09T00:24:50Z,570000,False,188.0,168.0,1,left,V. Wembanyama 25' 3PT pullup (3 PTS),[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,25.18,Made,,,,,3.0,,,,,,,,,,,,,
58,PT06M53.00S,2024-02-09T00:21:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1630200,,,1610612753,11,6,2024-02-09T00:21:52Z,580000,False,,,0,,T. Jones shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1630200, 1628976]",1610612759.0,SAS,shooting,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1162.0,,,,,,1.0,0.0,Carter Jr.,1628976.0
60,PT06M53.00S,2024-02-09T00:22:18.5Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,12,6,2024-02-09T00:22:48Z,600000,False,,,0,,W. Carter Jr. Free Throw 1 of 2 (4 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
61,PT06M53.00S,2024-02-09T00:22:19.8Z,1,REGULAR,substitution,out,[],1641705,,,1610612753,12,6,2024-02-09T00:22:28Z,610000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M53.00S,2024-02-09T00:22:19.8Z,1,REGULAR,substitution,out,[],1630200,,,1610612753,12,6,2024-02-09T00:22:28Z,620000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M53.00S,2024-02-09T00:22:19.8Z,1,REGULAR,substitution,in,[],1631104,,,1610612753,12,6,2024-02-09T00:22:28Z,630000,False,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M53.00S,2024-02-09T00:22:19.8Z,1,REGULAR,substitution,in,[],1628380,,,1610612753,12,6,2024-02-09T00:22:28Z,640000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M53.00S,2024-02-09T00:22:18.5Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,12,6,2024-02-09T00:22:48Z,650000,False,,,0,,MISS W. Carter Jr. Free Throw 2 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
66,PT06M50.00S,2024-02-09T00:22:21.5Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,12,6,2024-02-09T00:22:48Z,660000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,
67,PT06M35.00S,2024-02-09T00:22:58.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631110,16.245072273324574,52.450980392156865,1610612759,12,8,2024-02-09T00:23:05Z,670000,False,-12.0,100.0,1,left,J. Sochan 10' Hook (2 PTS) (Z. Collins 1 AST),"[1631110, 1628380]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Center,10.1,Made,,,,,2.0,Z. Collins,1628380.0,1.0,,,,,,,,,,
69,PT06M23.00S,2024-02-09T00:23:10.5Z,1,REGULAR,2pt,Jump Shot,[],1631094,88.12417871222075,80.63725490196079,1610612753,14,8,2024-02-09T00:23:16Z,690000,False,153.0,59.0,1,right,P. Banchero 16' pullup Jump Shot (6 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right,16.42,Made,,,,,6.0,,,,,,,,,,,,,
70,PT06M06.00S,2024-02-09T00:23:28.0Z,1,REGULAR,3pt,Jump Shot,[],1631110,7.5722733245729295,5.147058823529411,1610612759,14,8,2024-02-09T00:23:32Z,700000,False,224.0,19.0,1,left,MISS J. Sochan 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Right Corner 3,24+ Right,22.51,Missed,,,,,,,,,,,,,,,,,,
71,PT06M03.00S,2024-02-09T00:23:31.0Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,14,8,2024-02-09T00:23:32Z,710000,False,,,0,,P. Banchero REBOUND (Off:0 Def:4),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Right Corner 3,24+ Right,,,70.0,4.0,4.0,0.0,,,,,,,,,,,,,,
72,PT06M01.00S,2024-02-09T00:23:36.7Z,1,REGULAR,turnover,out-of-bounds,[],1628365,,,1610612753,14,8,2024-02-09T00:24:00Z,720000,False,,,0,,M. Fultz bad pass out-of-bounds TURNOVER (1 TO),[1628365],1610612753.0,ORL,bad pass,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1630886.0,,,1.0,,,,,,
73,PT06M01.00S,2024-02-09T00:23:47.7Z,1,REGULAR,substitution,out,[],1630577,,,1610612759,14,8,2024-02-09T00:23:52Z,730000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M01.00S,2024-02-09T00:23:47.7Z,1,REGULAR,substitution,in,[],1629640,,,1610612759,14,8,2024-02-09T00:23:52Z,740000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M41.00S,2024-02-09T00:24:07.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628380,25.969119579500656,83.82352941176471,1610612759,14,8,2024-02-09T00:24:15Z,750000,False,-169.0,192.0,1,left,MISS Z. Collins 25' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,25.55,Missed,,,,,,,,,,,,,,,,,,
76,PT05M37.00S,2024-02-09T00:24:11.2Z,1,REGULAR,rebound,offensive,[],1631104,,,1610612759,14,8,2024-02-09T00:32:23Z,760000,False,,,0,,B. Wesley REBOUND (Off:1 Def:0),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Above the Break 3,24+ Left Center,,,75.0,1.0,0.0,1.0,,,,,,,,,,,,,,
80,PT05M28.00S,2024-02-09T00:24:20.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629640,5.863994743758213,3.9215686274509802,1610612759,14,8,2024-02-09T00:32:38Z,800000,False,230.0,3.0,1,left,MISS K. Johnson 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
81,PT05M24.00S,2024-02-09T00:24:24.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,14,8,2024-02-09T00:52:07Z,810000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Right Corner 3,24+ Right,,,80.0,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2024-02-09T00:24:56.6Z,1,REGULAR,foul,technical,['1freethrow'],1628976,,,1610612759,14,8,2024-02-09T00:25:09Z,820000,False,,,0,,W. Carter Jr. technical FOUL (1 Tech),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,1162.0,,,,,,0.0,1.0,,
83,PT05M24.00S,2024-02-09T00:25:10.8Z,1,REGULAR,freethrow,1 of 1,[],1630170,,,1610612759,14,8,2024-02-09T00:25:10Z,830000,False,,,0,,MISS D. Vassell technical Free Throw 1 of 1,[1630170],1610612759.0,SAS,technical,,,Vassell,D. Vassell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
84,PT05M24.00S,2024-02-09T00:25:10.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,14,8,2024-02-09T00:25:10Z,840000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,
85,PT05M24.00S,2024-02-09T00:25:41.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612759,14,8,2024-02-09T00:52:20Z,850000,False,,,0,,Jump Ball J. Sochan vs. W. Carter Jr.: Tip to Team (SAS),"[1631110, 1628976]",1610612759.0,SAS,heldball,Team (SAS),,,,Sochan,1631110.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
88,PT05M22.00S,2024-02-09T00:25:42.7Z,1,REGULAR,substitution,out,[],1630532,,,1610612759,14,8,2024-02-09T00:25:48Z,880000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M22.00S,2024-02-09T00:25:42.7Z,1,REGULAR,substitution,in,[],203914,,,1610612759,14,8,2024-02-09T00:25:48Z,890000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M15.00S,2024-02-09T00:25:58.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631104,18.478975032851512,63.23529411764706,1610612759,14,10,2024-02-09T00:26:05Z,900000,False,-66.0,121.0,1,left,B. Wesley 13' driving floating Jump Shot (2 PTS) (Z. Collins 2 AST),"[1631104, 1628380]",1610612759.0,SAS,driving floating,,,Wesley,B. Wesley,,,,,In The Paint (Non-RA),8-16 Center,13.81,Made,,,,,2.0,Z. Collins,1628380.0,2.0,,,,,,,,,,
92,PT04M53.00S,2024-02-09T00:26:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,89.43823915900131,42.15686274509804,1610612753,14,10,2024-02-09T00:26:25Z,920000,False,-39.0,47.0,1,right,MISS W. Carter Jr. 6' driving bank Shot,[1628976],1610612753.0,ORL,driving bank,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,,,,,,
