actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
23,PT10M12.00S,2023-12-30T00:14:12.8Z,1,REGULAR,turnover,lost ball,[],1630591,,,1610612753,4,2,2023-12-30T00:14:22Z,230000,False,,,0,,J. Suggs lost ball TURNOVER (1 TO),"[1630591, 1628978]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,DiVincenzo,1628978.0,,,,,
24,PT10M12.00S,2023-12-30T00:14:12.8Z,1,REGULAR,steal,,[],1628978,,,1610612752,4,2,2023-12-30T00:14:15Z,240000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
25,PT09M59.00S,2023-12-30T00:14:25.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628978,78.40013140604468,53.431372549019606,1610612752,4,2,2023-12-30T00:18:34Z,250000,False,17.0,151.0,1,right,MISS D. DiVincenzo 15' pullup Shot,[1628978],1610612752.0,NYK,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,8-16 Center,15.15,Missed,,,,,,,,,,,,,,,,,,
26,PT09M56.00S,2023-12-30T00:14:28.8Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,4,2,2023-12-30T00:14:32Z,260000,False,,,0,,A. Black REBOUND (Off:1 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Mid-Range,8-16 Center,,,25.0,,,,,,,2.0,1.0,1.0,,,,,,,,
27,PT09M46.00S,2023-12-30T00:14:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,7.178055190538765,42.15686274509804,1610612753,6,2,2023-12-30T00:14:47Z,270000,False,39.0,15.0,1,left,P. Banchero driving Layup (2 PTS) (A. Black 1 AST),"[1631094, 1641710]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,4.2,Made,,,,,,,2.0,,,,,,,A. Black,1641710.0,1.0,,
73,PT09M35.00S,2023-12-30T00:14:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.95729303547962,50.49019607843137,1610612752,6,2,2023-12-30T00:24:02Z,275000,False,2.0,-5.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 1630532]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,0.57,Missed,,,,,,,,,,,,,,,,,Wagner,1630532.0
74,PT09M35.00S,2023-12-30T00:14:45.0Z,1,REGULAR,block,,[],1630532,,,1610612752,6,2,2023-12-30T00:24:02Z,277500,False,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
75,PT09M35.00S,2023-12-30T00:14:45.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,6,2,2023-12-30T00:24:02Z,278750,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,73.0,,,,,,,,,,,,,,,,,
29,PT09M28.00S,2023-12-30T00:15:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.229303547963205,55.63725490196079,1610612753,8,2,2023-12-30T00:24:08Z,290000,False,-28.0,25.0,1,left,F. Wagner cutting Layup (2 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.76,Made,,,,,,,2.0,,,,,,,J. Suggs,1630591.0,1.0,,
31,PT09M12.00S,2023-12-30T00:15:22.8Z,1,REGULAR,foul,personal,[],1630591,,,1610612752,8,2,2023-12-30T00:15:41Z,310000,False,,,0,,J. Suggs personal FOUL (2 PF),"[1630591, 1628978]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right,,,,202901.0,2.0,0.0,DiVincenzo,1628978.0,,,,,,,,,,,,
33,PT09M02.00S,2023-12-30T00:15:49.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,92.32917214191852,96.81372549019608,1610612752,8,2,2023-12-30T00:15:55Z,330000,False,234.0,20.0,1,right,MISS J. Brunson 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,23.49,Missed,,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2023-12-30T00:15:51.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,8,2,2023-12-30T00:15:55Z,340000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,,,33.0,,,,,,,1.0,1.0,0.0,,,,,,,,
35,PT08M57.00S,2023-12-30T00:15:55.5Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,8,2,2023-12-30T00:16:21Z,350000,False,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 1628978]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,DiVincenzo,1628978.0,,,,,
36,PT08M57.00S,2023-12-30T00:15:55.5Z,1,REGULAR,steal,,[],1628978,,,1610612752,8,2,2023-12-30T00:15:56Z,360000,False,,,0,,D. DiVincenzo STEAL (2 STL),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2023-12-30T00:16:03.1Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,8,2,2023-12-30T00:16:17Z,370000,False,,,0,,R. Barrett step out-of-bounds TURNOVER (1 TO),[1629628],1610612752.0,NYK,step,,,Barrett,R. Barrett,,,,,Left Corner 3,24+ Left,,,,201245.0,,,,,,,,,1.0,,,,,,,
39,PT08M42.00S,2023-12-30T00:17:45.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631094,20.97568988173456,33.57843137254902,1610612753,8,2,2023-12-30T00:17:51Z,390000,False,82.0,145.0,1,left,MISS P. Banchero 16' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,16.64,Missed,,,,,,,,,,,,,,,,,,
40,PT08M37.00S,2023-12-30T00:17:50.4Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,8,2,2023-12-30T00:17:50Z,400000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,16-24 Right Center,,,39.0,,,,,,,2.0,1.0,1.0,,,,,,,,
41,PT08M37.00S,2023-12-30T00:17:50.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629048,5.590000152587891,50.0,1610612753,8,2,2023-12-30T00:17:56Z,410000,False,0.0,0.0,1,left,MISS G. Bitadze tip DUNK,[1629048],1610612753.0,ORL,tip,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
42,PT08M36.00S,2023-12-30T00:17:51.4Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,8,2,2023-12-30T00:17:56Z,420000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,41.0,,,,,,,1.0,1.0,0.0,,,,,,,,
43,PT08M29.00S,2023-12-30T00:17:58.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,91.5407358738502,59.068627450980394,1610612752,8,4,2023-12-30T00:18:03Z,430000,False,45.0,27.0,1,right,I. Hartenstein cutting DUNK (2 PTS) (J. Brunson 1 AST),"[1628392, 1628973]",1610612752.0,NYK,cutting,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,5.27,Made,,,,,,,2.0,,,,,,,J. Brunson,1628973.0,1.0,,
45,PT08M18.00S,2023-12-30T00:18:10.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,8.229303547963205,46.81372549019608,1610612753,10,4,2023-12-30T00:18:17Z,450000,False,16.0,25.0,1,left,G. Bitadze alley-oop DUNK (2 PTS) (J. Suggs 2 AST),"[1629048, 1630591]",1610612753.0,ORL,alley-oop,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,2.95,Made,,,,,,,2.0,,,,,,,J. Suggs,1630591.0,2.0,,
47,PT08M18.00S,2023-12-30T00:18:15.1Z,1,REGULAR,foul,personal,['1freethrow'],1628392,,,1610612753,10,4,2023-12-30T00:18:27Z,470000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Bitadze 1 FT),"[1628392, 1629048]",1610612752.0,NYK,shooting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,201246.0,1.0,0.0,Bitadze,1629048.0,,,,,,,,,,,,
49,PT08M18.00S,2023-12-30T00:18:45.5Z,1,REGULAR,freethrow,1 of 1,[],1629048,,,1610612753,10,4,2023-12-30T00:18:49Z,490000,False,,,0,,MISS G. Bitadze Free Throw 1 of 1,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
50,PT08M15.00S,2023-12-30T00:18:48.5Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,10,4,2023-12-30T00:18:49Z,500000,False,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,49.0,,,,,,,2.0,2.0,0.0,,,,,,,,
51,PT08M01.00S,2023-12-30T00:19:00.9Z,1,REGULAR,3pt,Jump Shot,[],203944,70.77858081471747,73.52941176470588,1610612752,10,4,2023-12-30T00:19:06Z,510000,False,118.0,222.0,1,right,MISS J. Randle 25' step back 3PT,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.14,Missed,,,,,,,,,,,,,,,,,,
52,PT07M57.00S,2023-12-30T00:19:04.9Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,10,4,2023-12-30T00:19:06Z,520000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,51.0,,,,,,,1.0,1.0,0.0,,,,,,,,
53,PT07M49.00S,2023-12-30T00:19:13.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,7.046649145860711,56.86274509803921,1610612753,12,4,2023-12-30T00:19:17Z,530000,False,-34.0,14.0,1,left,G. Bitadze cutting DUNK (4 PTS) (J. Suggs 3 AST),"[1629048, 1630591]",1610612753.0,ORL,cutting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,3.69,Made,,,,,,,4.0,,,,,,,J. Suggs,1630591.0,3.0,,
55,PT07M29.00S,2023-12-30T00:19:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,86.67871222076215,63.970588235294116,1610612752,12,6,2023-12-30T00:19:38Z,550000,False,70.0,73.0,1,right,J. Randle 10' driving floating Jump Shot (2 PTS) (J. Brunson 2 AST),"[203944, 1628973]",1610612752.0,NYK,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Right,10.09,Made,,,,,,,2.0,,,,,,,J. Brunson,1628973.0,2.0,,
57,PT07M09.00S,2023-12-30T00:19:53.4Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,12,6,2023-12-30T00:19:57Z,570000,False,,,0,,F. Wagner lost ball TURNOVER (2 TO),"[1630532, 1629628]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2.0,Barrett,1629628.0,,,,,
58,PT07M09.00S,2023-12-30T00:19:53.4Z,1,REGULAR,steal,,[],1629628,,,1610612752,12,6,2023-12-30T00:19:55Z,580000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M03.00S,2023-12-30T00:19:59.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629628,89.96386333771353,49.50980392156863,1610612752,12,8,2023-12-30T00:20:04Z,590000,False,-2.0,42.0,1,right,R. Barrett running DUNK (2 PTS) (J. Brunson 3 AST),"[1629628, 1628973]",1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,4.19,Made,,,,,,,2.0,,,,,,,J. Brunson,1628973.0,3.0,,
61,PT06M44.00S,2023-12-30T00:20:17.8Z,1,REGULAR,3pt,Jump Shot,[],1630591,24.704336399474375,85.07199754901961,1610612753,15,8,2023-12-30T00:29:41Z,610000,False,-175.0,180.0,1,left,J. Suggs 25' 3PT pullup (5 PTS) (A. Black 2 AST),"[1630591, 1641710]",1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,25.11,Made,,,,,,,5.0,,,,,,,A. Black,1641710.0,2.0,,
63,PT06M32.00S,2023-12-30T00:20:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,88.38699080157687,44.36274509803921,1610612752,15,10,2023-12-30T00:20:38Z,630000,False,-28.0,57.0,1,right,J. Brunson 6' driving finger roll Layup (4 PTS),[1628973],1610612752.0,NYK,driving finger roll,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,6.33,Made,,,,,,,4.0,,,,,,,,,,,
64,PT06M23.00S,2023-12-30T00:20:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,10.33180026281209,47.05882352941176,1610612753,17,10,2023-12-30T00:20:46Z,640000,False,15.0,45.0,1,left,J. Suggs driving Layup (7 PTS),[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,4.7,Made,,,,,,,7.0,,,,,,,,,,,
65,PT06M03.00S,2023-12-30T00:20:59.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203944,90.53876478318003,43.03768382352941,1610612752,17,12,2023-12-30T00:33:31Z,650000,False,-35.0,36.0,1,right,J. Randle driving bank Hook (4 PTS) (D. DiVincenzo 1 AST),"[203944, 1628978]",1610612752.0,NYK,driving bank,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,5.04,Made,,,,,,,4.0,,,,,,,D. DiVincenzo,1628978.0,1.0,,
67,PT05M46.00S,2023-12-30T00:21:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,8.492115637319317,57.84313725490197,1610612753,19,12,2023-12-30T00:34:15Z,670000,False,-39.0,27.0,1,left,P. Banchero cutting Layup (4 PTS) (A. Black 3 AST),"[1631094, 1641710]",1610612753.0,ORL,cutting,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,,,,,,,4.0,,,,,,,A. Black,1641710.0,3.0,,
69,PT05M24.00S,2023-12-30T00:21:37.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,66.70499342969777,39.950980392156865,1610612752,19,12,2023-12-30T00:21:43Z,690000,False,-50.0,260.0,1,right,MISS D. DiVincenzo 26' pullup 3PT,[1628978],1610612752.0,NYK,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,26.53,Missed,,,,,,,,,,,,,,,,,,
70,PT05M22.00S,2023-12-30T00:21:39.6Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,19,12,2023-12-30T00:21:43Z,700000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Center,,,69.0,,,,,,,1.0,0.0,1.0,,,,,,,,
71,PT05M22.00S,2023-12-30T00:21:43.2Z,1,REGULAR,turnover,out-of-bounds,[],1628392,,,1610612752,19,12,2023-12-30T00:21:48Z,710000,False,,,0,,I. Hartenstein bad pass out-of-bounds TURNOVER (1 TO),[1628392],1610612752.0,NYK,bad pass,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,201245.0,,,,,,,,,1.0,,,,,,,
72,PT05M22.00S,2023-12-30T00:21:47.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,19,12,2023-12-30T00:21:47Z,720000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M22.00S,2023-12-30T00:23:57.4Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,19,12,2023-12-30T00:24:24Z,730000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M22.00S,2023-12-30T00:23:57.4Z,1,REGULAR,substitution,in,[],1631216,,,1610612753,19,12,2023-12-30T00:24:24Z,740000,False,,,0,,SUB in: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M05.00S,2023-12-30T00:25:01.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631094,12.302890932982917,54.41176470588235,1610612753,21,12,2023-12-30T00:25:06Z,750000,False,-22.0,63.0,1,left,P. Banchero 6' driving floating Jump Shot (6 PTS),[1631094],1610612753.0,ORL,driving floating,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,6.69,Made,,,,,,,6.0,,,,,,,,,,,
80,PT04M43.00S,2023-12-30T00:25:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.90407358738501,59.33670343137255,1610612752,21,12,2023-12-30T00:25:33Z,760000,False,47.0,14.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,4.88,Missed,,,,,,,,,,,,,,,,,,
81,PT04M42.00S,2023-12-30T00:25:24.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,21,12,2023-12-30T00:25:33Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,80.0,,,,,,,,,,,,,,,,,
83,PT04M42.00S,2023-12-30T00:25:29.8Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,21,12,2023-12-30T00:25:42Z,790000,False,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M42.00S,2023-12-30T00:25:29.8Z,1,REGULAR,substitution,in,[],1628404,,,1610612752,21,12,2023-12-30T00:25:42Z,800000,False,,,0,,SUB in: J. Hart,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M30.00S,2023-12-30T00:26:00.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203944,86.67871222076215,60.29411764705882,1610612752,21,14,2023-12-30T00:26:07Z,810000,False,51.0,73.0,1,right,J. Randle 8' driving floating Jump Shot (6 PTS),[203944],1610612752.0,NYK,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Right,8.91,Made,,,,,,,6.0,,,,,,,,,,,
87,PT04M19.00S,2023-12-30T00:26:11.1Z,1,REGULAR,3pt,Jump Shot,[],1630591,33.722076215505915,39.21568627450981,1610612753,21,14,2023-12-30T00:26:37Z,830000,False,54.0,264.0,1,left,MISS J. Suggs 26' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,26.99,Missed,,,,,,,,,,,,,,,,,,
88,PT04M15.00S,2023-12-30T00:26:15.1Z,1,REGULAR,rebound,offensive,[],1641710,,,1610612753,21,14,2023-12-30T00:39:06Z,840000,False,,,0,,A. Black REBOUND (Off:2 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Center,,,87.0,,,,,,,3.0,1.0,2.0,,,,,,,,
