actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
79,PT05M13.00S,2024-01-20T00:25:34.4Z,1,REGULAR,substitution,in,[],1630175,,,1610612755,17,21,2024-01-20T00:26:01Z,790000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M13.00S,2024-01-20T00:25:34.4Z,1,REGULAR,substitution,in,[],1628976,,,1610612755,17,21,2024-01-20T00:26:01Z,800000,False,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M13.00S,2024-01-20T00:25:34.4Z,1,REGULAR,substitution,in,[],201976,,,1610612755,17,21,2024-01-20T00:26:01Z,810000,False,,,0,,SUB in: P. Beverley,[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M13.00S,2024-01-20T00:26:03.2Z,1,REGULAR,freethrow,2 of 2,[],202699,,,1610612755,17,22,2024-01-20T00:26:03Z,820000,False,,,0,,T. Harris Free Throw 2 of 2 (7 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
83,PT04M55.00S,2024-01-20T00:26:22.6Z,1,REGULAR,turnover,bad pass,[],1629643,,,1610612753,17,22,2024-01-20T00:26:29Z,830000,False,,,0,,C. Okeke bad pass TURNOVER (1 TO),"[1629643, 202699]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Harris,202699.0,,,,,
84,PT04M55.00S,2024-01-20T00:26:22.6Z,1,REGULAR,steal,,[],202699,,,1610612755,17,22,2024-01-20T00:26:24Z,840000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
85,PT04M51.00S,2024-01-20T00:26:26.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,91.5407358738502,47.549019607843135,1610612755,17,22,2024-01-20T00:26:34Z,850000,False,-12.0,27.0,1,right,MISS T. Harris running Layup - blocked,"[202699, 1630591]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.97,Missed,,,,,,,,,Suggs,1630591.0,,,,,,,,
86,PT04M51.00S,2024-01-20T00:26:26.7Z,1,REGULAR,block,,[],1630591,,,1610612755,17,22,2024-01-20T00:26:29Z,860000,False,,,0,,J. Suggs BLOCK (1 BLK),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
87,PT04M47.00S,2024-01-20T00:26:30.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,17,22,2024-01-20T00:26:34Z,870000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,
88,PT04M40.00S,2024-01-20T00:26:37.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,6.258212877792378,48.03921568627451,1610612753,17,22,2024-01-20T00:26:47Z,880000,False,10.0,6.0,1,left,MISS J. Suggs driving reverse Layup,[1630591],1610612753.0,ORL,driving reverse,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.17,Missed,,,,,,,,,,,,,,,,,,
89,PT04M38.00S,2024-01-20T00:26:39.2Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,17,22,2024-01-20T00:26:47Z,890000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,88.0,2.0,1.0,1.0,,,,,,,,,,
90,PT04M37.00S,2024-01-20T00:26:40.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628976,6.1268068331143235,49.754901960784316,1610612753,19,22,2024-01-20T00:26:57Z,900000,False,1.0,5.0,1,left,W. Carter Jr. putback DUNK (2 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.52,Made,2.0,,,,,,,,,,,,,,,,,
91,PT04M26.00S,2024-01-20T00:26:54.4Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612755,19,22,2024-01-20T00:27:12Z,910000,False,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628976, 203954]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Embiid,203954.0
