actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
20,PT10M27.00S,2024-01-10T00:12:48.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,67.88764783180025,65.44117647058823,1610612750,0,5,2024-01-10T00:13:37Z,200000,False,77.0,249.0,1,right,MISS A. Edwards 26' running pullup 3PT,[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,26.11,Missed,,,,,,,,,,,,,,,,,,
21,PT10M23.00S,2024-01-10T00:12:52.0Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,0,5,2024-01-10T00:12:56Z,210000,False,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Center,,,20.0,,,,,,1.0,1.0,0.0,,,,,,,,,
22,PT10M04.00S,2024-01-10T00:13:11.1Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,0,5,2024-01-10T00:13:18Z,220000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1626157]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Towns,1626157.0,,
23,PT10M04.00S,2024-01-10T00:13:11.1Z,1,REGULAR,steal,,[],1626157,,,1610612750,0,5,2024-01-10T00:13:14Z,230000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2024-01-10T00:13:21.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,92.46057818659659,46.07843137254902,1610612750,0,5,2024-01-10T00:14:23Z,240000,False,-20.0,18.0,1,right,MISS K. Towns driving Layup - blocked,"[1626157, 1631094]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,Banchero,1631094.0
25,PT09M53.00S,2024-01-10T00:13:21.2Z,1,REGULAR,block,,[],1631094,,,1610612750,0,5,2024-01-10T00:13:24Z,250000,False,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2024-01-10T00:13:25.2Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,0,5,2024-01-10T00:13:27Z,260000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,24.0,,,,,,1.0,1.0,0.0,,,,,,,,,
27,PT09M47.00S,2024-01-10T00:13:28.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631094,9.674770039421814,43.38235294117647,1610612753,0,5,2024-01-10T00:14:03Z,270000,False,33.0,38.0,1,left,MISS P. Banchero running Layup,[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,5.07,Missed,,,,,,,,,,,,,,,,,,
28,PT09M43.00S,2024-01-10T00:13:32.4Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,5,2024-01-10T00:14:03Z,280000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,27.0,,,,,,1.0,1.0,0.0,,,,,,,,,
29,PT09M42.00S,2024-01-10T00:13:35.1Z,1,REGULAR,foul,personal,[],1631216,,,1610612750,0,5,2024-01-10T00:13:44Z,290000,False,,,0,,C. Houstan personal FOUL (1 PF),"[1631216, 1630183]",1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,In The Paint (Non-RA),8-16 Center,,,,1630886.0,,,,,,,,1.0,0.0,McDaniels,1630183.0,,,,,
31,PT09M37.00S,2024-01-10T00:13:58.0Z,1,REGULAR,3pt,Jump Shot,[],1626157,82.21090670170827,93.62745098039215,1610612750,0,8,2024-01-10T00:14:06Z,310000,False,218.0,115.0,1,right,K. Towns 24' 3PT  (6 PTS) (M. Conley 1 AST),"[1626157, 201144]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,24.64,Made,,,6.0,M. Conley,201144.0,1.0,,,,,,,,,,,,
33,PT09M20.00S,2024-01-10T00:14:14.3Z,1,REGULAR,3pt,Jump Shot,[],1629643,24.129434954007884,86.51960784313727,1610612753,0,8,2024-01-10T00:14:19Z,330000,False,-183.0,174.0,1,left,MISS C. Okeke 25' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
34,PT09M16.00S,2024-01-10T00:14:18.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,8,2024-01-10T00:14:19Z,340000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,33.0,,,,,,2.0,2.0,0.0,,,,,,,,,
36,PT09M08.00S,2024-01-10T00:14:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.32917214191852,43.38235294117647,1610612750,0,10,2024-01-10T00:14:42Z,360000,False,-33.0,20.0,1,right,R. Gobert Layup (4 PTS) (M. Conley 2 AST),"[203497, 201144]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,3.85,Made,,,4.0,M. Conley,201144.0,2.0,,,,,,,,,,,,
38,PT09M08.00S,2024-01-10T00:14:35.0Z,1,REGULAR,foul,personal,['1freethrow'],1629048,,,1610612750,0,10,2024-01-10T00:14:52Z,380000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Gobert 1 FT),"[1629048, 203497]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,2003.0,,,,,,,,1.0,0.0,Gobert,203497.0,,,,,
40,PT09M08.00S,2024-01-10T00:14:47.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,0,10,2024-01-10T00:14:47Z,400000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M08.00S,2024-01-10T00:17:45.4Z,1,REGULAR,freethrow,1 of 1,[],203497,,,1610612750,0,11,2024-01-10T00:17:48Z,410000,False,,,0,,R. Gobert Free Throw 1 of 1 (5 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,5.0,,,,,,,,,,,,,,,
42,PT09M02.00S,2024-01-10T00:17:54.5Z,1,REGULAR,foul,personal,[],1630162,,,1610612753,0,11,2024-01-10T00:18:05Z,420000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1630591]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,1630886.0,,,,,,,,1.0,0.0,Suggs,1630591.0,,,,,
44,PT08M50.00S,2024-01-10T00:18:23.6Z,1,REGULAR,3pt,Jump Shot,[],1631216,13.091327201051248,3.6764705882352944,1610612753,3,11,2024-01-10T00:18:28Z,440000,False,232.0,71.0,1,left,C. Houstan 24' 3PT  (3 PTS) (J. Suggs 1 AST),"[1631216, 1630591]",1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Right Corner 3,24+ Right,24.21,Made,,,3.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,
46,PT08M29.00S,2024-01-10T00:18:42.9Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,3,11,2024-01-10T00:18:51Z,460000,False,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 1631094]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1.0,Banchero,1631094.0,,
47,PT08M29.00S,2024-01-10T00:18:42.9Z,1,REGULAR,steal,,[],1631094,,,1610612753,3,11,2024-01-10T00:18:47Z,470000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
48,PT08M25.00S,2024-01-10T00:18:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631094,7.30946123521682,53.92156862745098,1610612753,3,11,2024-01-10T00:18:57Z,480000,False,-20.0,16.0,1,left,MISS P. Banchero running Layup,[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.54,Missed,,,,,,,,,,,,,,,,,,
50,PT08M20.00S,2024-01-10T00:18:53.3Z,1,REGULAR,rebound,offensive,[],1629643,,,1610612753,3,11,2024-01-10T00:18:57Z,500000,False,,,0,,C. Okeke REBOUND (Off:1 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,,,48.0,,,,,,2.0,1.0,1.0,,,,,,,,,
51,PT08M20.00S,2024-01-10T00:18:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629643,7.966491458607096,54.65686274509803,1610612753,3,11,2024-01-10T00:19:14Z,510000,False,-23.0,22.0,1,left,MISS C. Okeke tip Layup,[1629643],1610612753.0,ORL,tip,,,Okeke,C. Okeke,,,,,Restricted Area,0-8 Center,3.23,Missed,,,,,,,,,,,,,,,,,,
52,PT08M18.00S,2024-01-10T00:18:54.6Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,3,11,2024-01-10T00:18:54Z,520000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,51.0,,,,,,2.0,2.0,0.0,,,,,,,,,
53,PT08M09.00S,2024-01-10T00:19:04.3Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,3,11,2024-01-10T00:19:27Z,530000,False,,,0,,A. Edwards lost ball TURNOVER (2 TO),"[1630162, 1629048]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2.0,Bitadze,1629048.0,,
54,PT08M09.00S,2024-01-10T00:19:04.3Z,1,REGULAR,steal,,[],1629048,,,1610612753,3,11,2024-01-10T00:36:08Z,540000,False,,,0,,G. Bitadze STEAL (1 STL),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M54.00S,2024-01-10T00:19:19.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630591,29.911300919842315,72.05882352941177,1610612753,6,11,2024-01-10T00:20:10Z,550000,False,-110.0,229.0,1,left,J. Suggs 25' 3PT pullup (3 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,25.39,Made,,,3.0,,,,,,,,,,,,,,,
56,PT07M34.00S,2024-01-10T00:19:39.2Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612750,6,11,2024-01-10T00:19:45Z,560000,False,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 1631094]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,Banchero,1631094.0,,
57,PT07M34.00S,2024-01-10T00:19:39.2Z,1,REGULAR,steal,,[],1631094,,,1610612753,6,11,2024-01-10T00:19:41Z,570000,False,,,0,,P. Banchero STEAL (2 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
58,PT07M30.00S,2024-01-10T00:19:43.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631094,7.835085413929041,47.30392156862745,1610612753,8,11,2024-01-10T00:19:50Z,580000,False,13.0,21.0,1,left,P. Banchero running finger roll Layup (2 PTS),[1631094],1610612753.0,ORL,running finger roll,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.5,Made,,,2.0,,,,,,,,,,,,,,,
59,PT07M15.00S,2024-01-10T00:19:57.5Z,1,REGULAR,2pt,Jump Shot,[],201144,86.28449408672799,28.921568627450984,1610612750,8,11,2024-01-10T00:20:11Z,590000,False,-105.0,76.0,1,right,MISS M. Conley 13' driving floating Shot,[201144],1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,Mid-Range,8-16 Left,13.02,Missed,,,,,,,,,,,,,,,,,,
60,PT07M14.00S,2024-01-10T00:20:02.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,8,11,2024-01-10T00:20:02Z,600000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Mid-Range,8-16 Left,,,59.0,,,,,,,,,,,,,,,,,
62,PT07M11.00S,2024-01-10T00:20:20.4Z,1,REGULAR,turnover,traveling,[],1626157,,,1610612750,8,11,2024-01-10T00:20:26Z,620000,False,,,0,,K. Towns traveling TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Right Center,,,,1662.0,,,,,,,,,,,,1.0,,,,
63,PT06M59.00S,2024-01-10T00:20:41.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631094,15.850854139290407,44.36274509803921,1610612753,8,11,2024-01-10T00:21:27Z,630000,False,28.0,96.0,1,left,MISS P. Banchero 10' floating Shot,[1631094],1610612753.0,ORL,floating,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,10.05,Missed,,,,,,,,,,,,,,,,,,
64,PT06M56.00S,2024-01-10T00:20:44.7Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,8,11,2024-01-10T00:20:53Z,640000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:3),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,63.0,,,,,,3.0,3.0,0.0,,,,,,,,,
65,PT06M49.00S,2024-01-10T00:20:52.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.11760840998686,50.98039215686274,1610612750,8,13,2024-01-10T00:20:58Z,650000,False,5.0,12.0,1,right,R. Gobert cutting DUNK (7 PTS) (K. Towns 2 AST),"[203497, 1626157]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.31,Made,,,7.0,K. Towns,1626157.0,2.0,,,,,,,,,,,,
67,PT06M40.00S,2024-01-10T00:21:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,15.719448094612352,36.51960784313725,1610612753,8,13,2024-01-10T00:21:06Z,670000,False,67.0,95.0,1,left,MISS J. Suggs 11' turnaround Shot,[1630591],1610612753.0,ORL,turnaround,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Right,11.67,Missed,,,,,,,,,,,,,,,,,,
68,PT06M37.00S,2024-01-10T00:21:03.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,8,13,2024-01-10T00:21:06Z,680000,False,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Right,,,67.0,,,,,,3.0,3.0,0.0,,,,,,,,,
69,PT06M19.00S,2024-01-10T00:21:21.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,92.32917214191852,54.166666666666664,1610612750,8,15,2024-01-10T00:21:27Z,690000,False,21.0,20.0,1,right,A. Edwards driving Layup (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.86,Made,,,2.0,,,,,,,,,,,,,,,
70,PT06M05.00S,2024-01-10T00:21:38.3Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612753,8,15,2024-01-10T00:21:56Z,700000,False,,,0,,A. Edwards shooting personal FOUL (2 PF) (Banchero 2 FT),"[1630162, 1631094]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Center,,,,1662.0,,,,,,,,2.0,0.0,Banchero,1631094.0,,,,,
72,PT06M05.00S,2024-01-10T00:22:11.5Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,9,15,2024-01-10T00:22:43Z,720000,False,,,0,,P. Banchero Free Throw 1 of 2 (3 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,3.0,,,,,,,,,,,,,,,
73,PT06M05.00S,2024-01-10T00:22:22.4Z,1,REGULAR,substitution,out,[],1629643,,,1610612753,9,15,2024-01-10T00:22:26Z,730000,False,,,0,,SUB out: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M05.00S,2024-01-10T00:22:22.4Z,1,REGULAR,substitution,in,[],1628365,,,1610612753,9,15,2024-01-10T00:22:26Z,740000,False,,,0,,SUB in: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M05.00S,2024-01-10T00:22:11.5Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,9,15,2024-01-10T00:22:43Z,750000,False,,,0,,MISS P. Banchero Free Throw 2 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
76,PT06M03.00S,2024-01-10T00:22:13.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,9,15,2024-01-10T00:22:43Z,760000,False,,,0,,R. Gobert REBOUND (Off:0 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,75.0,,,,,,4.0,4.0,0.0,,,,,,,,,
77,PT05M51.00S,2024-01-10T00:22:56.0Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612750,9,15,2024-01-10T00:23:04Z,770000,False,,,0,,G. Bitadze shooting personal FOUL (2 PF) (Edwards 2 FT),"[1629048, 1630162]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,1662.0,,,,,,,,2.0,0.0,Edwards,1630162.0,,,,,
79,PT05M51.00S,2024-01-10T00:23:22.9Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,9,16,2024-01-10T00:23:22Z,790000,False,,,0,,A. Edwards Free Throw 1 of 2 (3 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,3.0,,,,,,,,,,,,,,,
80,PT05M51.00S,2024-01-10T00:23:36.8Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,9,17,2024-01-10T00:23:36Z,800000,False,,,0,,A. Edwards Free Throw 2 of 2 (4 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,4.0,,,,,,,,,,,,,,,
81,PT05M39.00S,2024-01-10T00:23:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,6.783837056504599,45.83333333333333,1610612753,9,17,2024-01-10T00:24:01Z,810000,False,21.0,11.0,1,left,MISS G. Bitadze reverse Layup - blocked,"[1629048, 203497]",1610612753.0,ORL,reverse,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,2.37,Missed,,,,,,,,,,,,,,,,,Gobert,203497.0
82,PT05M39.00S,2024-01-10T00:23:51.7Z,1,REGULAR,block,,[],203497,,,1610612753,9,17,2024-01-10T00:23:54Z,820000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
83,PT05M35.00S,2024-01-10T00:23:55.7Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,9,17,2024-01-10T00:24:01Z,830000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,81.0,,,,,,2.0,1.0,1.0,,,,,,,,,
84,PT05M26.00S,2024-01-10T00:24:04.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630591,30.436925098554536,80.3921568627451,1610612753,9,17,2024-01-10T00:24:10Z,840000,False,-152.0,234.0,1,left,MISS J. Suggs 27' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,27.87,Missed,,,,,,,,,,,,,,,,,,
85,PT05M22.00S,2024-01-10T00:24:08.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,9,17,2024-01-10T00:24:10Z,850000,False,,,0,,R. Gobert REBOUND (Off:0 Def:5),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,84.0,,,,,,5.0,5.0,0.0,,,,,,,,,
