actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
51,PT06M26.00S,2024-03-19T23:21:02.7Z,1,REGULAR,substitution,out,[],1630544,,,1610612753,8,6,2024-03-19T23:21:35Z,470000,False,,,0,,SUB out: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M26.00S,2024-03-19T23:21:02.7Z,1,REGULAR,substitution,in,[],1630197,,,1610612753,8,6,2024-03-19T23:21:35Z,480000,False,,,0,,SUB in: A. Pokusevski,[1630197],1610612766.0,CHA,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M09.00S,2024-03-19T23:22:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,92.9862023653088,57.35294117647059,1610612753,8,6,2024-03-19T23:50:15Z,500000,False,37.0,13.0,1,right,MISS F. Wagner driving finger roll Layup,[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.92,Missed,,,,,,,,,,,,,,,,,,
55,PT06M06.00S,2024-03-19T23:22:24.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,8,6,2024-03-19T23:22:26Z,510000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,
56,PT06M03.00S,2024-03-19T23:22:27.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628970,19.004599211563733,53.431372549019606,1610612766,8,6,2024-03-19T23:23:00Z,520000,False,-17.0,126.0,1,left,MISS M. Bridges 12' driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,12.73,Missed,,,,,,,,,,,,,,,,,,
57,PT05M57.00S,2024-03-19T23:22:33.1Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,8,6,2024-03-19T23:36:39Z,530000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,
60,PT05M49.00S,2024-03-19T23:22:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,87.99277266754271,51.225490196078425,1610612753,8,6,2024-03-19T23:36:43Z,560000,False,6.0,60.0,1,right,MISS W. Carter Jr. 6' turnaround fadeaway Shot,[1628976],1610612753.0,ORL,turnaround fadeaway,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.07,Missed,,,,,,,,,,,,,,,,,,
61,PT05M45.00S,2024-03-19T23:22:45.9Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,8,6,2024-03-19T23:22:45Z,570000,False,,,0,,B. Miller REBOUND (Off:0 Def:3),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,60.0,3.0,3.0,0.0,,,,
62,PT05M38.00S,2024-03-19T23:22:52.1Z,1,REGULAR,turnover,lost ball,[],1628970,,,1610612766,8,6,2024-03-19T23:23:01Z,580000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628970, 1630591]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,,,,,,,Suggs,1630591.0
63,PT05M38.00S,2024-03-19T23:22:52.1Z,1,REGULAR,steal,,[],1630591,,,1610612753,8,6,2024-03-19T23:22:54Z,590000,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
64,PT05M33.00S,2024-03-19T23:22:59.9Z,1,REGULAR,turnover,traveling,[],203914,,,1610612753,8,6,2024-03-19T23:23:12Z,600000,False,,,0,,G. Harris traveling TURNOVER (2 TO),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Left Center,,,,1628480.0,,,,,,,,2.0,,,,,,,,
66,PT05M15.00S,2024-03-19T23:23:45.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,35.955978975032856,52.69607843137255,1610612766,8,9,2024-03-19T23:23:51Z,620000,False,-13.0,285.0,1,left,B. Miller 28' 3PT  (3 PTS) (V. Micic 1 AST),"[1641706, 203995]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,28.58,Made,3.0,,V. Micic,203995.0,1.0,,,,,,,,,,,,,
68,PT04M55.00S,2024-03-19T23:24:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,92.32917214191852,54.90196078431373,1610612753,10,9,2024-03-19T23:24:13Z,640000,False,25.0,20.0,1,right,F. Wagner driving Layup (6 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.14,Made,6.0,,,,,,,,,,,,,,,,,
69,PT04M55.00S,2024-03-19T23:24:11.6Z,1,REGULAR,foul,personal,['1freethrow'],1630197,,,1610612753,10,9,2024-03-19T23:24:30Z,650000,False,,,0,,A. Pokusevski shooting personal FOUL (1 PF) (Wagner 1 FT),"[1630197, 1630532]",1610612766.0,CHA,shooting,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,1627962.0,,,,1.0,0.0,Wagner,1630532.0,,,,,,,,,
71,PT04M55.00S,2024-03-19T23:24:23.1Z,1,REGULAR,substitution,out,[],1630208,,,1610612753,10,9,2024-03-19T23:24:28Z,670000,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M55.00S,2024-03-19T23:24:23.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612753,10,9,2024-03-19T23:24:28Z,680000,False,,,0,,SUB in: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M55.00S,2024-03-19T23:24:42.5Z,1,REGULAR,freethrow,1 of 1,[],1630532,,,1610612753,11,9,2024-03-19T23:24:42Z,690000,False,,,0,,F. Wagner Free Throw 1 of 1 (7 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
74,PT04M43.00S,2024-03-19T23:24:55.9Z,1,REGULAR,turnover,bad pass,[],1629684,,,1610612766,11,9,2024-03-19T23:28:04Z,700000,False,,,0,,G. Williams bad pass TURNOVER (1 TO),"[1629684, 1628976]",1610612766.0,CHA,,,,Williams,G. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,,,,,,,Carter Jr.,1628976.0
75,PT04M43.00S,2024-03-19T23:24:55.9Z,1,REGULAR,steal,,[],1628976,,,1610612753,11,9,2024-03-19T23:40:48Z,710000,False,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
76,PT04M39.00S,2024-03-19T23:25:00.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630591,92.72339027595268,49.01960784313725,1610612753,13,9,2024-03-20T00:19:26Z,720000,False,-5.0,16.0,1,right,J. Suggs running reverse Layup (4 PTS),[1630591],1610612753.0,ORL,running reverse,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.66,Made,4.0,,,,,,,,,,,,,,,,,
77,PT04M24.00S,2024-03-19T23:25:14.7Z,1,REGULAR,2pt,Jump Shot,[],203995,20.45006570302234,59.80392156862745,1610612766,13,9,2024-03-19T23:25:18Z,730000,False,-49.0,140.0,1,left,MISS V. Micic 14' pullup Shot,[203995],1610612766.0,CHA,pullup,,,Micic,V. Micic,,,,,Mid-Range,8-16 Center,14.8,Missed,,,,,,,,,,,,,,,,,,
78,PT04M22.00S,2024-03-19T23:25:16.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,13,9,2024-03-19T23:25:18Z,740000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:4),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,77.0,4.0,4.0,0.0,,,,
79,PT04M16.00S,2024-03-19T23:25:23.4Z,1,REGULAR,3pt,Jump Shot,[],1631094,67.36202365308804,66.66666666666666,1610612753,16,9,2024-03-19T23:28:51Z,750000,False,83.0,254.0,1,right,P. Banchero 26' 3PT  (5 PTS) (F. Wagner 1 AST),"[1631094, 1630532]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,26.76,Made,5.0,,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,
81,PT04M15.00S,2024-03-19T23:25:31.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,16,9,2024-03-19T23:25:31Z,770000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M15.00S,2024-03-19T23:27:38.8Z,1,REGULAR,substitution,out,[],203914,,,1610612766,16,9,2024-03-19T23:28:12Z,780000,False,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M15.00S,2024-03-19T23:27:38.8Z,1,REGULAR,substitution,out,[],1630532,,,1610612766,16,9,2024-03-19T23:28:12Z,790000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M15.00S,2024-03-19T23:27:38.8Z,1,REGULAR,substitution,out,[],1628976,,,1610612766,16,9,2024-03-19T23:28:12Z,800000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M15.00S,2024-03-19T23:27:38.8Z,1,REGULAR,substitution,in,[],1628365,,,1610612766,16,9,2024-03-19T23:28:12Z,810000,False,,,0,,SUB in: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M15.00S,2024-03-19T23:27:38.8Z,1,REGULAR,substitution,in,[],204060,,,1610612766,16,9,2024-03-19T23:28:12Z,820000,False,,,0,,SUB in: J. Ingles,[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M15.00S,2024-03-19T23:27:38.8Z,1,REGULAR,substitution,in,[],1628371,,,1610612766,16,9,2024-03-19T23:28:12Z,830000,False,,,0,,SUB in: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M01.00S,2024-03-19T23:28:40.7Z,1,REGULAR,foul,personal,['2freethrow'],1628365,,,1610612766,16,9,2024-03-19T23:29:03Z,860000,False,,,0,,M. Fultz shooting personal FOUL (1 PF) (Miller 2 FT),"[1628365, 1641706]",1610612753.0,ORL,shooting,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,1627962.0,,,,1.0,0.0,Miller,1641706.0,,,,,,,,,
