actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal
18,PT11M08.00S,2023-12-21T00:14:26.6Z,1,REGULAR,block,,[],1630532,,,1610612748,0,2,2023-12-21T00:14:29Z,160000,False,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT11M08.00S,2023-12-21T00:14:26.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,2,2023-12-21T00:14:40Z,170000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,17.0,,,,,,,,,,,,1.0,1.0,0.0,,,
20,PT11M03.00S,2023-12-21T00:14:32.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630532,7.703679369250986,51.225490196078425,1610612753,0,2,2023-12-21T00:16:31Z,180000,False,-6.0,20.0,1,left,MISS F. Wagner running Layup,[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.08,Missed,,,,,,,,,,,,,,,,,,
21,PT11M00.00S,2023-12-21T00:14:35.1Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,2,2023-12-21T00:14:35Z,190000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,20.0,,,,,,,,,,,,1.0,1.0,0.0,,,
22,PT10M57.00S,2023-12-21T00:14:37.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628389,93.11760840998686,51.225490196078425,1610612748,0,2,2023-12-21T00:16:56Z,200000,False,6.0,12.0,1,right,MISS B. Adebayo running Layup,[1628389],1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.36,Missed,,,,,,,,,,,,,,,,,,
23,PT10M54.00S,2023-12-21T00:14:40.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,2,2023-12-21T00:14:58Z,210000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,22.0,,,,,,,,,,,,1.0,1.0,0.0,,,
24,PT10M46.00S,2023-12-21T00:14:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,6.783837056504599,51.9607843137255,1610612753,2,2,2023-12-21T00:17:14Z,220000,False,-10.0,11.0,1,left,J. Suggs cutting Layup (2 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,cutting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.5,Made,,,,,,,2.0,,,,,,,,,F. Wagner,1630532.0,1.0
26,PT10M22.00S,2023-12-21T00:15:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,81.15965834428384,52.69607843137255,1610612748,2,2,2023-12-21T00:15:19Z,240000,False,13.0,125.0,1,right,MISS B. Adebayo 12' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,12.53,Missed,,,,,,,,,,,,,,,,,,
27,PT10M17.00S,2023-12-21T00:15:16.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,2,2,2023-12-21T00:15:19Z,250000,False,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,26.0,,,,,,,,,,,,2.0,2.0,0.0,,,
28,PT10M12.00S,2023-12-21T00:15:21.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630532,7.046649145860711,48.529411764705884,1610612753,2,2,2023-12-21T00:15:28Z,260000,False,7.0,14.0,1,left,MISS F. Wagner running Layup - blocked,"[1630532, 1631170]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.56,Missed,,,,,,,,,,,Jaquez Jr.,1631170.0,,,,,,
29,PT10M12.00S,2023-12-21T00:15:21.9Z,1,REGULAR,block,,[],1631170,,,1610612753,2,2,2023-12-21T00:15:25Z,270000,False,,,0,,J. Jaquez Jr. BLOCK (1 BLK),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT10M12.00S,2023-12-21T00:15:21.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,2,2,2023-12-21T00:16:30Z,280000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,28.0,,,,,,,,,,,,1.0,1.0,0.0,,,
31,PT09M56.00S,2023-12-21T00:15:37.9Z,1,REGULAR,3pt,Jump Shot,[],1629639,67.23061760840999,49.26470588235294,1610612748,2,5,2023-12-21T00:19:40Z,290000,False,-4.0,256.0,1,right,T. Herro 25' 3PT pullup (5 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,25.55,Made,,,,,,,5.0,,,,,,,,,,,
33,PT09M35.00S,2023-12-21T00:16:12.1Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612753,2,5,2023-12-21T00:16:22Z,310000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Wagner 2 FT),"[1628389, 1630532]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,2004.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,,,,
35,PT09M35.00S,2023-12-21T00:16:32.6Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,3,5,2023-12-21T00:16:32Z,330000,False,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
36,PT09M35.00S,2023-12-21T00:16:49.2Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,4,5,2023-12-21T00:16:49Z,340000,False,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
37,PT09M22.00S,2023-12-21T00:17:06.4Z,1,REGULAR,foul,personal,['2freethrow'],1641710,,,1610612748,4,5,2023-12-21T00:17:17Z,350000,False,,,0,,A. Black shooting personal FOUL (2 PF) (Herro 2 FT),"[1641710, 1629639]",1610612753.0,ORL,shooting,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,,202035.0,2.0,0.0,Herro,1629639.0,,,,,,,,,,,,
39,PT09M22.00S,2023-12-21T00:17:34.2Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,4,6,2023-12-21T00:17:34Z,370000,False,,,0,,T. Herro Free Throw 1 of 2 (6 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
40,PT09M22.00S,2023-12-21T00:17:49.9Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,4,7,2023-12-21T00:17:49Z,380000,False,,,0,,T. Herro Free Throw 2 of 2 (7 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
41,PT09M04.00S,2023-12-21T00:18:08.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641710,15.456636005256241,58.08823529411765,1610612753,4,7,2023-12-21T00:20:14Z,390000,False,-40.0,93.0,1,left,MISS A. Black 10' floating Shot,[1641710],1610612753.0,ORL,floating,,,Black,A. Black,,,,,In The Paint (Non-RA),8-16 Center,10.12,Missed,,,,,,,,,,,,,,,,,,
42,PT09M01.00S,2023-12-21T00:18:11.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,4,7,2023-12-21T00:23:54Z,400000,False,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,41.0,,,,,,,,,,,,2.0,2.0,0.0,,,
43,PT08M58.00S,2023-12-21T00:18:15.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629639,81.2910643889619,93.87254901960785,1610612748,4,7,2023-12-21T00:21:07Z,410000,False,219.0,123.0,1,right,MISS T. Herro 25' running 3PT,[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,,,,,,,,,,,,,,,,,
44,PT08M53.00S,2023-12-21T00:18:20.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,7,2023-12-21T00:18:51Z,420000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,43.0,,,,,,,,,,,,1.0,1.0,0.0,,,
45,PT08M38.00S,2023-12-21T00:18:34.7Z,1,REGULAR,2pt,Jump Shot,[],1631094,21.369908015768726,35.049019607843135,1610612753,6,7,2023-12-21T00:21:31Z,430000,False,75.0,148.0,1,left,P. Banchero 16' pullup Jump Shot (2 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,16.62,Made,,,,,,,2.0,,,,,,,,,,,
46,PT08M22.00S,2023-12-21T00:18:51.4Z,1,REGULAR,2pt,Jump Shot,[],1628389,81.2910643889619,32.1078431372549,1610612748,6,7,2023-12-21T00:19:12Z,440000,False,-89.0,123.0,1,right,MISS B. Adebayo 15' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,15.24,Missed,,,,,,,,,,,,,,,,,,
47,PT08M22.00S,2023-12-21T00:18:51.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,6,7,2023-12-21T00:19:12Z,450000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,46.0,,,,,,,,,,,,2.0,2.0,0.0,,,
48,PT08M04.00S,2023-12-21T00:19:08.6Z,1,REGULAR,3pt,Jump Shot,[],1630591,7.046649145860711,96.32352941176471,1610612753,6,7,2023-12-21T00:19:17Z,460000,False,-232.0,14.0,1,left,MISS J. Suggs 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,23.2,Missed,,,,,,,,,,,,,,,,,,
49,PT08M04.00S,2023-12-21T00:19:08.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,6,7,2023-12-21T00:19:17Z,470000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,48.0,,,,,,,,,,,,1.0,1.0,0.0,,,
50,PT07M50.00S,2023-12-21T00:19:23.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,81.42247043363994,50.0,1610612748,6,9,2023-12-21T00:19:33Z,480000,False,0.0,122.0,1,right,B. Adebayo 12' turnaround Jump Shot (2 PTS),[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,12.21,Made,,,,,,,2.0,,,,,,,,,,,
51,PT07M38.00S,2023-12-21T00:19:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.652431011826544,55.392156862745104,1610612753,8,9,2023-12-21T00:19:42Z,490000,False,-27.0,10.0,1,left,F. Wagner cutting Layup (4 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.88,Made,,,,,,,4.0,,,,,,,,,P. Banchero,1631094.0,1.0
53,PT07M30.00S,2023-12-21T00:19:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,92.32917214191852,53.67647058823529,1610612748,8,11,2023-12-21T00:24:45Z,510000,False,18.0,20.0,1,right,J. Jaquez Jr. Layup (2 PTS) (K. Lowry 1 AST),"[1631170, 200768]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,2.69,Made,,,,,,,2.0,,,,,,,,,K. Lowry,200768.0,1.0
55,PT07M16.00S,2023-12-21T00:19:57.4Z,1,REGULAR,2pt,Jump Shot,[],1631094,14.668199737187912,31.127450980392158,1610612753,8,11,2023-12-21T00:25:12Z,530000,False,94.0,85.0,1,left,MISS P. Banchero 12' pullup bank Shot,[1631094],1610612753.0,ORL,pullup bank,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,12.73,Missed,,,,,,,,,,,,,,,,,,
56,PT07M16.00S,2023-12-21T00:19:57.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,8,11,2023-12-21T00:38:37Z,540000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,8-16 Right,,,55.0,,,,,,,,,,,,,,,,,
58,PT07M04.00S,2023-12-21T00:20:19.7Z,1,REGULAR,violation,kicked ball,[],1631094,,,1610612748,8,11,2023-12-21T00:25:52Z,560000,False,,,0,,P. Banchero kicked ball VIOLATION,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,2004.0,,,,,,,,,,,,,,,,
59,PT06M49.00S,2023-12-21T00:20:47.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,90.22667542706965,73.77450980392157,1610612748,8,13,2023-12-21T00:38:48Z,570000,False,119.0,39.0,1,right,B. Adebayo 12' turnaround fadeaway Jump Shot (4 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,12.53,Made,,,,,,,4.0,,,,,,,,,T. Herro,1629639.0,1.0
61,PT06M27.00S,2023-12-21T00:21:09.9Z,1,REGULAR,2pt,Jump Shot,[],1630591,12.828515111695138,31.862745098039213,1610612753,10,13,2023-12-21T00:21:14Z,590000,False,91.0,68.0,1,left,J. Suggs 11' pullup Jump Shot (4 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Right,11.34,Made,,,,,,,4.0,,,,,,,,,,,
62,PT06M20.00S,2023-12-21T00:21:16.9Z,1,REGULAR,3pt,Jump Shot,[],200768,70.38436268068331,25.49019607843137,1610612748,10,13,2023-12-21T00:21:22Z,600000,False,-123.0,226.0,1,right,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,25.7,Missed,,,,,,,,,,,,,,,,,,
63,PT06M16.00S,2023-12-21T00:21:20.9Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,10,13,2023-12-21T00:21:22Z,610000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,62.0,,,,,,,,,,,,1.0,1.0,0.0,,,
64,PT06M07.00S,2023-12-21T00:21:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,7.046649145860711,50.49019607843137,1610612753,12,13,2023-12-21T00:21:35Z,620000,False,-2.0,14.0,1,left,F. Wagner Layup (6 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,,6.0,,,,,,,,,J. Suggs,1630591.0,1.0
66,PT05M51.00S,2023-12-21T00:21:45.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,92.32917214191852,47.794117647058826,1610612748,12,13,2023-12-21T00:21:49Z,640000,False,-11.0,20.0,1,right,MISS T. Herro pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,2.25,Missed,,,,,,,,,,,,,,,,,,
67,PT05M49.00S,2023-12-21T00:21:47.5Z,1,REGULAR,rebound,offensive,[],1629639,,,1610612748,12,13,2023-12-21T00:44:11Z,650000,False,,,0,,T. Herro REBOUND (Off:1 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,66.0,,,,,,,,,,,,2.0,1.0,1.0,,,
194,PT05M49.00S,2023-12-21T00:21:48.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629639,95.05584756898817,45.58823529411765,1610612748,12,13,2023-12-21T00:44:41Z,655000,False,-22.0,-6.0,1,right,MISS T. Herro tip Layup,[1629639],1610612748.0,MIA,tip,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,2.29,Missed,,,,,,,,,,,,,,,,,,
195,PT05M49.00S,2023-12-21T00:21:48.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,12,13,2023-12-21T00:44:41Z,657500,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,194.0,,,,,,,,,,,,2.0,2.0,0.0,,,
68,PT05M45.00S,2023-12-21T00:21:51.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630591,4.28712220762155,4.6568627450980395,1610612753,12,13,2023-12-21T00:22:08Z,660000,False,227.0,-12.0,1,left,MISS J. Suggs running 3PT,[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,Right Corner 3,24+ Right,22.7,Missed,,,,,,,,,,,,,,,,,,
69,PT05M41.00S,2023-12-21T00:21:55.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,12,13,2023-12-21T00:22:00Z,670000,False,,,0,,C. Martin REBOUND (Off:0 Def:3),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,68.0,,,,,,,,,,,,3.0,3.0,0.0,,,
70,PT05M38.00S,2023-12-21T00:22:01.7Z,1,REGULAR,foul,personal,[],1630532,,,1610612748,12,13,2023-12-21T00:22:10Z,680000,False,,,0,,F. Wagner personal FOUL (1 PF),"[1630532, 200768]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Right Center,,,,1628487.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,
72,PT05M38.00S,2023-12-21T00:22:11.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,12,13,2023-12-21T00:22:11Z,700000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,out,[],1641710,,,1610612748,12,13,2023-12-21T00:24:53Z,710000,False,,,0,,SUB out: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,out,[],1628976,,,1610612748,12,13,2023-12-21T00:24:53Z,720000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,out,[],1630532,,,1610612748,12,13,2023-12-21T00:24:53Z,730000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,12,13,2023-12-21T00:24:53Z,740000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,out,[],1631170,,,1610612748,12,13,2023-12-21T00:24:53Z,750000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,in,[],1629048,,,1610612748,12,13,2023-12-21T00:24:53Z,760000,False,,,0,,SUB in: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,in,[],203914,,,1610612748,12,13,2023-12-21T00:24:53Z,770000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,in,[],1630175,,,1610612748,12,13,2023-12-21T00:24:53Z,780000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,in,[],1628418,,,1610612748,12,13,2023-12-21T00:24:53Z,790000,False,,,0,,SUB in: T. Bryant,[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M38.00S,2023-12-21T00:24:15.8Z,1,REGULAR,substitution,in,[],1626196,,,1610612748,12,13,2023-12-21T00:24:53Z,800000,False,,,0,,SUB in: J. Richardson,[1626196],1610612748.0,MIA,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
